actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
16,PT10M25.00S,2023-10-28T00:12:34.9Z,1,REGULAR,steal,,[],1630172,,,1610612741,0,4,2023-10-28T00:12:36Z,160000,False,,,0,,P. Williams STEAL (1 STL),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M14.00S,2023-10-28T00:12:45.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629632,69.99014454664915,20.833333333333336,1610612741,0,4,2023-10-28T00:12:51Z,170000,False,-146.0,230.0,1,right,MISS C. White 27' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,27.2,Missed,,,,,,,,,,,,,,,,,,
18,PT10M12.00S,2023-10-28T00:12:47.8Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,4,2023-10-28T00:12:51Z,180000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT09M58.00S,2023-10-28T00:13:02.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,5.075558475689881,50.49019607843137,1610612761,0,6,2023-10-28T00:13:06Z,190000,False,-2.0,-5.0,1,left,J. Poeltl cutting Layup (2 PTS) (D. Schroder 1 AST),"[1627751, 203471]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,0.54,Made,,,,,2.0,,,,,D. Schroder,203471.0,1.0,,,,,,
21,PT09M48.00S,2023-10-28T00:13:12.1Z,1,REGULAR,3pt,Jump Shot,[],1630172,70.25295663600527,24.019607843137255,1610612741,0,6,2023-10-28T00:13:17Z,210000,False,-130.0,227.0,1,right,MISS P. Williams 26' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,26.16,Missed,,,,,,,,,,,,,,,,,,
22,PT09M45.00S,2023-10-28T00:13:15.1Z,1,REGULAR,rebound,defensive,[],203471,,,1610612761,0,6,2023-10-28T00:13:17Z,220000,False,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,Above the Break 3,24+ Left Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M36.00S,2023-10-28T00:13:24.8Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,0,6,2023-10-28T00:13:28Z,230000,False,,,0,,S. Barnes bad pass TURNOVER (1 TO),"[1630567, 201942]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Right,,,,,,,,1.0,DeRozan,201942.0,,,,,,,,,,
24,PT09M36.00S,2023-10-28T00:13:24.8Z,1,REGULAR,steal,,[],201942,,,1610612741,0,6,2023-10-28T00:13:26Z,240000,False,,,0,,D. DeRozan STEAL (1 STL),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
25,PT09M13.00S,2023-10-28T00:13:48.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630172,70.64717477003943,78.43137254901961,1610612741,0,6,2023-10-28T00:13:55Z,250000,False,142.0,223.0,1,right,MISS P. Williams 26' 3PT - blocked,"[1630172, 1630567]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,26.48,Missed,,,,,,,,,,,,,Barnes,1630567.0,,,,
26,PT09M13.00S,2023-10-28T00:13:48.9Z,1,REGULAR,block,,[],1630567,,,1610612741,0,6,2023-10-28T00:13:53Z,260000,False,,,0,,S. Barnes BLOCK (1 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
27,PT09M13.00S,2023-10-28T00:13:48.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,0,6,2023-10-28T00:13:55Z,270000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Right Center,,,25.0,,,,,,,,,,,,,,,,,
29,PT09M09.00S,2023-10-28T00:14:35.3Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",201942,84.83902759526939,29.166666666666668,1610612741,0,6,2023-10-28T00:14:41Z,290000,False,-104.0,90.0,1,right,MISS D. DeRozan 13' turnaround fadeaway Shot,[201942],1610612741.0,CHI,turnaround fadeaway,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,13.77,Missed,,,,,,,,,,,,,,,,,,
30,PT09M07.00S,2023-10-28T00:14:37.4Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,6,2023-10-28T00:14:37Z,300000,False,,,0,,S. Barnes REBOUND (Off:0 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,
31,PT09M00.00S,2023-10-28T00:14:45.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,8.360709592641262,48.03921568627451,1610612761,0,8,2023-10-28T00:14:49Z,310000,False,10.0,26.0,1,left,P. Siakam driving Layup (2 PTS) (S. Barnes 1 AST),"[1627783, 1630567]",1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,2.79,Made,,,,,2.0,,,,,S. Barnes,1630567.0,1.0,,,,,,
33,PT09M00.00S,2023-10-28T00:14:50.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,0,8,2023-10-28T00:14:50Z,330000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M42.00S,2023-10-28T00:18:01.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,94.03745072273325,48.77450980392157,1610612741,2,8,2023-10-28T00:18:09Z,340000,False,-6.0,4.0,1,right,D. DeRozan driving finger roll Layup (2 PTS),[201942],1610612741.0,CHI,driving finger roll,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,0.7,Made,,,,,2.0,,,,,,,,,,,,,
35,PT08M23.00S,2023-10-28T00:18:21.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,13.009198423127463,39.26164215686275,1610612761,2,10,2023-10-28T00:21:03Z,350000,False,54.0,70.0,1,left,S. Barnes 8' floating Jump Shot (2 PTS),[1630567],1610612761.0,TOR,floating,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Right,8.81,Made,,,,,2.0,,,,,,,,,,,,,
36,PT08M05.00S,2023-10-28T00:18:39.5Z,1,REGULAR,3pt,Jump Shot,[],1630172,95.3515111695138,95.34313725490196,1610612741,2,10,2023-10-28T00:18:44Z,360000,False,227.0,-9.0,1,right,MISS P. Williams 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Right Corner 3,24+ Right,22.69,Missed,,,,,,,,,,,,,,,,,,
37,PT08M02.00S,2023-10-28T00:18:42.5Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,2,10,2023-10-28T00:18:44Z,370000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Right Corner 3,24+ Right,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT07M55.00S,2023-10-28T00:18:48.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,5.863994743758213,47.549019607843135,1610612761,2,10,2023-10-28T00:18:53Z,380000,False,12.0,3.0,1,left,MISS D. Schroder driving finger roll Layup,[203471],1610612761.0,TOR,driving finger roll,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,1.26,Missed,,,,,,,,,,,,,,,,,,
39,PT07M53.00S,2023-10-28T00:18:50.7Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,2,10,2023-10-28T00:18:53Z,390000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT07M38.00S,2023-10-28T00:19:05.9Z,1,REGULAR,2pt,Jump Shot,[],1630172,74.32654402102497,49.754901960784316,1610612741,2,10,2023-10-28T00:19:10Z,400000,False,-1.0,189.0,1,right,MISS P. Williams 18' Jump Shot,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,16-24 Center,18.88,Missed,,,,,,,,,,,,,,,,,,
41,PT07M35.00S,2023-10-28T00:19:08.9Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,2,10,2023-10-28T00:19:10Z,410000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:2),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Center,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,,,
42,PT07M17.00S,2023-10-28T00:19:27.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,10.068988173455978,36.76470588235294,1610612761,2,12,2023-10-28T00:19:32Z,420000,False,66.0,42.0,1,left,J. Poeltl 7' floating Jump Shot (4 PTS) (D. Schroder 2 AST),"[1627751, 203471]",1610612761.0,TOR,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,7.85,Made,,,,,4.0,,,,,D. Schroder,203471.0,2.0,,,,,,
44,PT06M56.00S,2023-10-28T00:19:47.0Z,1,REGULAR,2pt,Jump Shot,[],201942,88.38699080157687,20.34313725490196,1610612741,2,12,2023-10-28T00:19:51Z,440000,False,-148.0,57.0,1,right,MISS D. DeRozan 15' Jump Shot,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,15.88,Missed,,,,,,,,,,,,,,,,,,
45,PT06M54.00S,2023-10-28T00:19:49.0Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,2,12,2023-10-28T00:19:51Z,450000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,,
46,PT06M45.00S,2023-10-28T00:19:59.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,5.995400788436268,47.30392156862745,1610612761,2,14,2023-10-28T00:20:06Z,460000,False,13.0,4.0,1,left,J. Poeltl cutting Layup (6 PTS) (S. Barnes 2 AST),"[1627751, 1630567]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.41,Made,,,,,6.0,,,,,S. Barnes,1630567.0,2.0,,,,,,
48,PT06M34.00S,2023-10-28T00:20:11.7Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612741,2,14,2023-10-28T00:20:23Z,480000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (White 2 FT),"[1627751, 1629632]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,201638.0,,,,,,1.0,0.0,White,1629632.0
50,PT06M34.00S,2023-10-28T00:20:33.7Z,1,REGULAR,freethrow,1 of 2,[],1629632,,,1610612741,3,14,2023-10-28T00:20:33Z,500000,False,,,0,,C. White Free Throw 1 of 2 (1 PTS),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
51,PT06M34.00S,2023-10-28T00:20:35.0Z,1,REGULAR,substitution,out,[],203897,,,1610612741,3,14,2023-10-28T00:20:45Z,510000,False,,,0,,SUB out: Z. LaVine,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M34.00S,2023-10-28T00:20:35.0Z,1,REGULAR,substitution,out,[],1630172,,,1610612741,3,14,2023-10-28T00:20:45Z,520000,False,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M34.00S,2023-10-28T00:20:35.0Z,1,REGULAR,substitution,out,[],1630567,,,1610612741,3,14,2023-10-28T00:20:45Z,530000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M34.00S,2023-10-28T00:20:35.0Z,1,REGULAR,substitution,in,[],1628470,,,1610612741,3,14,2023-10-28T00:20:45Z,540000,False,,,0,,SUB in: T. Craig,[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M34.00S,2023-10-28T00:20:35.0Z,1,REGULAR,substitution,in,[],1627936,,,1610612741,3,14,2023-10-28T00:20:45Z,550000,False,,,0,,SUB in: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M34.00S,2023-10-28T00:20:35.0Z,1,REGULAR,substitution,in,[],1629018,,,1610612741,3,14,2023-10-28T00:20:45Z,560000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M34.00S,2023-10-28T00:20:56.0Z,1,REGULAR,freethrow,2 of 2,[],1629632,,,1610612741,4,14,2023-10-28T00:20:56Z,570000,False,,,0,,C. White Free Throw 2 of 2 (2 PTS),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
58,PT06M19.00S,2023-10-28T00:21:13.7Z,1,REGULAR,3pt,Jump Shot,[],1629018,26.49474375821288,18.38235294117647,1610612761,4,14,2023-10-28T00:21:20Z,580000,False,158.0,197.0,1,left,MISS G. Trent Jr. 25' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,25.23,Missed,,,,,,,,,,,,,,,,,,
59,PT06M13.00S,2023-10-28T00:21:19.7Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,4,14,2023-10-28T00:21:20Z,590000,False,,,0,,P. Siakam REBOUND (Off:1 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,58.0,2.0,1.0,1.0,,,,,,,,,,,,,,
60,PT06M13.00S,2023-10-28T00:21:19.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627783,5.590000152587891,50.0,1610612761,4,16,2023-10-28T00:21:19Z,600000,False,0.0,0.0,1,left,P. Siakam putback Layup (4 PTS),[1627783],1610612761.0,TOR,putback,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,4.0,,,,,,,,,,,,,
61,PT06M01.00S,2023-10-28T00:21:32.5Z,1,REGULAR,turnover,lost ball,[],202696,,,1610612741,4,16,2023-10-28T00:21:37Z,610000,False,,,0,,N. Vucevic lost ball TURNOVER (1 TO),"[202696, 1628384]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,Anunoby,1628384.0,,,,,,,,,,
62,PT06M01.00S,2023-10-28T00:21:32.5Z,1,REGULAR,steal,,[],1628384,,,1610612761,4,16,2023-10-28T00:22:25Z,620000,False,,,0,,O. Anunoby STEAL (2 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
63,PT05M49.00S,2023-10-28T00:21:44.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627751,7.703679369250986,50.245098039215684,1610612761,4,16,2023-10-28T00:21:50Z,630000,False,-1.0,20.0,1,left,MISS J. Poeltl floating Shot,[1627751],1610612761.0,TOR,floating,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.99,Missed,,,,,,,,,,,,,,,,,,
64,PT05M46.00S,2023-10-28T00:21:47.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,4,16,2023-10-28T00:21:50Z,640000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,63.0,1.0,1.0,0.0,,,,,,,,,,,,,,
65,PT05M41.00S,2023-10-28T00:21:51.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629632,92.46057818659659,49.26470588235294,1610612741,6,16,2023-10-28T00:23:05Z,650000,False,-4.0,18.0,1,right,C. White running Layup (4 PTS),[1629632],1610612741.0,CHI,running,,,White,C. White,,,,,Restricted Area,0-8 Center,1.88,Made,,,,,4.0,,,,,,,,,,,,,
66,PT05M27.00S,2023-10-28T00:22:11.5Z,1,REGULAR,foul,offensive,[],1628384,,,1610612761,6,16,2023-10-28T00:22:17Z,660000,False,,,0,,O. Anunoby charge offensive FOUL (1 PF),"[1628384, 1629632]",1610612761.0,TOR,charge,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Left,,,,,,,,,,,201638.0,,,,,,1.0,0.0,White,1629632.0
68,PT05M27.00S,2023-10-28T00:22:11.5Z,1,REGULAR,turnover,offensive foul,[],1628384,,,1610612761,6,16,2023-10-28T00:22:11Z,680000,False,,,0,,O. Anunoby offensive foul TURNOVER (1 TO),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,,,201638.0,,,,,,,,,
69,PT05M27.00S,2023-10-28T00:22:16.1Z,1,REGULAR,substitution,out,[],1628384,,,1610612741,6,16,2023-10-28T00:22:24Z,690000,False,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M27.00S,2023-10-28T00:22:16.1Z,1,REGULAR,substitution,out,[],203471,,,1610612741,6,16,2023-10-28T00:22:24Z,700000,False,,,0,,SUB out: D. Schroder,[203471],1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M27.00S,2023-10-28T00:22:16.1Z,1,REGULAR,substitution,in,[],1630201,,,1610612741,6,16,2023-10-28T00:22:24Z,710000,False,,,0,,SUB in: M. Flynn,[1630201],1610612761.0,TOR,,,,Flynn,M. Flynn,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M27.00S,2023-10-28T00:22:16.1Z,1,REGULAR,substitution,in,[],1629667,,,1610612741,6,16,2023-10-28T00:22:24Z,720000,False,,,0,,SUB in: J. McDaniels,[1629667],1610612761.0,TOR,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M06.00S,2023-10-28T00:22:51.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202696,94.1688567674113,46.568627450980394,1610612741,8,16,2023-10-28T00:22:57Z,730000,False,-17.0,2.0,1,right,N. Vucevic Layup (2 PTS) (C. White 1 AST),"[202696, 1629632]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,1.74,Made,,,,,2.0,,,,,C. White,1629632.0,1.0,,,,,,
75,PT05M06.00S,2023-10-28T00:22:54.7Z,1,REGULAR,foul,personal,['1freethrow'],1627751,,,1610612741,8,16,2023-10-28T00:23:04Z,750000,False,,,0,,J. Poeltl shooting personal FOUL (2 PF) (Vucevic 1 FT),"[1627751, 202696]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627529.0,,,,,,2.0,0.0,Vucevic,202696.0
77,PT05M06.00S,2023-10-28T00:23:08.2Z,1,REGULAR,substitution,out,[],1627751,,,1610612741,8,16,2023-10-28T00:23:12Z,770000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M06.00S,2023-10-28T00:23:08.2Z,1,REGULAR,substitution,in,[],1630173,,,1610612741,8,16,2023-10-28T00:23:12Z,780000,False,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M06.00S,2023-10-28T00:23:35.8Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],202696,,,1610612741,8,16,2023-10-28T00:23:41Z,790000,False,,,0,,MISS N. Vucevic Free Throw 1 of 1,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
80,PT05M04.00S,2023-10-28T00:23:37.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,8,16,2023-10-28T00:23:41Z,800000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,
82,PT04M48.00S,2023-10-28T00:24:01.2Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",202696,86.02168199737189,20.098039215686274,1610612741,10,16,2023-10-28T00:24:12Z,820000,False,-150.0,79.0,1,right,N. Vucevic 16' fadeaway Jump Shot (4 PTS),[202696],1610612741.0,CHI,fadeaway,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Left,16.9,Made,,,,,4.0,,,,,,,,,,,,,
83,PT04M29.00S,2023-10-28T00:24:21.3Z,1,REGULAR,3pt,Jump Shot,[],1627783,32.276609724047304,40.931372549019606,1610612761,10,16,2023-10-28T00:24:26Z,830000,False,45.0,251.0,1,left,MISS P. Siakam 25' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,25.5,Missed,,,,,,,,,,,,,,,,,,
