actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT11M01.00S,2024-03-17T00:12:38.0Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,2,3,2024-03-17T00:12:38Z,170000,False,,,0,,MISS D. DeRozan Free Throw 1 of 2,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
18,PT11M01.00S,2024-03-17T00:12:38.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612741,2,3,2024-03-17T00:12:38Z,180000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,
19,PT11M01.00S,2024-03-17T00:12:51.2Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612741,3,3,2024-03-17T00:12:51Z,190000,False,,,0,,D. DeRozan Free Throw 2 of 2 (1 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
20,PT10M49.00S,2024-03-17T00:13:04.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,92.85479632063075,51.9607843137255,1610612764,3,3,2024-03-17T00:13:09Z,200000,False,10.0,15.0,1,right,MISS J. Poole driving reverse Layup,[1629673],1610612764.0,WAS,driving reverse,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,1.77,Missed,,,,,,,,,,,,,,,,,,
21,PT10M45.00S,2024-03-17T00:13:07.4Z,1,REGULAR,rebound,offensive,[],1626158,,,1610612764,3,3,2024-03-17T00:13:07Z,210000,False,,,0,,R. Holmes REBOUND (Off:1 Def:0),[1626158],1610612764.0,WAS,,,,Holmes,R. Holmes,,,,,Restricted Area,0-8 Center,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,,
22,PT10M45.00S,2024-03-17T00:13:07.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626158,94.40999984741211,50.0,1610612764,3,3,2024-03-17T00:13:07Z,220000,False,0.0,0.0,1,right,MISS R. Holmes tip Layup,[1626158],1610612764.0,WAS,tip,,,Holmes,R. Holmes,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
23,PT10M44.00S,2024-03-17T00:13:08.9Z,1,REGULAR,rebound,offensive,[],1641731,,,1610612764,3,3,2024-03-17T00:13:08Z,230000,False,,,0,,B. Coulibaly REBOUND (Off:1 Def:0),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,8-16 Left,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,,
24,PT10M43.00S,2024-03-17T00:13:09.7Z,1,REGULAR,turnover,lost ball,[],1641731,,,1610612764,3,3,2024-03-17T00:13:14Z,240000,False,,,0,,B. Coulibaly lost ball TURNOVER (1 TO),"[1641731, 1627936]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Caruso,1627936.0,,
25,PT10M43.00S,2024-03-17T00:13:09.7Z,1,REGULAR,steal,,[],1627936,,,1610612741,3,3,2024-03-17T00:13:11Z,250000,False,,,0,,A. Caruso STEAL (1 STL),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT10M39.00S,2024-03-17T00:13:13.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627936,5.601182654402102,49.26470588235294,1610612741,5,3,2024-03-17T00:13:18Z,260000,False,4.0,0.0,1,left,A. Caruso running Layup (4 PTS) (D. DeRozan 1 AST),"[1627936, 201942]",1610612741.0,CHI,running,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,0.37,Made,,,,,4.0,,D. DeRozan,201942.0,1.0,,,,,,,,,
28,PT10M29.00S,2024-03-17T00:13:25.1Z,1,REGULAR,3pt,Jump Shot,[],1630557,66.5735873850197,44.11764705882353,1610612764,5,3,2024-03-17T00:13:28Z,280000,False,-29.0,262.0,1,right,MISS C. Kispert 26' pullup 3PT,[1630557],1610612764.0,WAS,pullup,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Center,26.33,Missed,,,,,,,,,,,,,,,,,,
29,PT10M26.00S,2024-03-17T00:13:28.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,5,3,2024-03-17T00:13:28Z,290000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT10M02.00S,2024-03-17T00:14:05.5Z,1,REGULAR,turnover,bad pass,[],1630245,,,1610612741,5,3,2024-03-17T00:14:09Z,310000,False,,,0,,A. Dosunmu bad pass TURNOVER (1 TO),"[1630245, 1630557]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Kispert,1630557.0,,
32,PT10M02.00S,2024-03-17T00:14:05.5Z,1,REGULAR,steal,,[],1630557,,,1610612764,5,3,2024-03-17T00:14:31Z,320000,False,,,0,,C. Kispert STEAL (1 STL),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
33,PT09M59.00S,2024-03-17T00:14:14.4Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629673,70.12155059132719,26.225490196078432,1610612764,5,3,2024-03-17T00:15:32Z,330000,False,-119.0,228.0,1,right,MISS J. Poole 25' running 3PT,[1629673],1610612764.0,WAS,running,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,25.75,Missed,,,,,,,,,,,,,,,,,,
34,PT09M55.00S,2024-03-17T00:14:18.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,5,3,2024-03-17T00:15:32Z,340000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,,
35,PT09M44.00S,2024-03-17T00:14:23.5Z,1,REGULAR,3pt,Jump Shot,[],1628470,7.178055190538765,3.1862745098039214,1610612741,5,3,2024-03-17T00:14:29Z,350000,False,234.0,15.0,1,left,MISS T. Craig 3PT,[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,Right Corner 3,24+ Right,23.46,Missed,,,,,,,,,,,,,,,,,,
36,PT09M41.00S,2024-03-17T00:14:26.5Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,5,3,2024-03-17T00:14:29Z,360000,False,,,0,,B. Coulibaly REBOUND (Off:1 Def:1),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Right Corner 3,24+ Right,,,35.0,2.0,1.0,1.0,,,,,,,,,,,,,,
37,PT09M38.00S,2024-03-17T00:14:37.0Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612764,5,3,2024-03-17T00:14:44Z,370000,False,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Coulibaly 2 FT),"[201942, 1641731]",1610612741.0,CHI,shooting,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2002.0,,,,1.0,0.0,Coulibaly,1641731.0,,,,,
39,PT09M38.00S,2024-03-17T00:15:06.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641731,,,1610612764,5,3,2024-03-17T00:16:05Z,390000,False,,,0,,MISS B. Coulibaly Free Throw 1 of 2,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
40,PT09M38.00S,2024-03-17T00:15:06.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612764,5,3,2024-03-17T00:16:05Z,400000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,
41,PT09M38.00S,2024-03-17T00:15:06.5Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641731,,,1610612764,5,4,2024-03-17T00:16:05Z,410000,False,,,0,,B. Coulibaly Free Throw 2 of 2 (1 PTS),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
42,PT09M12.00S,2024-03-17T00:15:48.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627936,12.434296977660972,48.529411764705884,1610612741,5,4,2024-03-17T00:15:52Z,420000,False,7.0,64.0,1,left,MISS A. Caruso 6' driving floating Shot,[1627936],1610612741.0,CHI,driving floating,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),0-8 Center,6.48,Missed,,,,,,,,,,,,,,,,,,
43,PT09M11.00S,2024-03-17T00:15:49.7Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,5,4,2024-03-17T00:15:52Z,430000,False,,,0,,B. Coulibaly REBOUND (Off:1 Def:2),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,,,42.0,3.0,2.0,1.0,,,,,,,,,,,,,,
44,PT09M04.00S,2024-03-17T00:15:56.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626158,94.03745072273325,48.529411764705884,1610612764,5,6,2024-03-17T00:17:01Z,440000,False,-7.0,4.0,1,right,R. Holmes cutting DUNK (2 PTS),[1626158],1610612764.0,WAS,cutting,,,Holmes,R. Holmes,,,,,Restricted Area,0-8 Center,0.82,Made,,,,,2.0,,,,,,,,,,,,,
46,PT08M46.00S,2024-03-17T00:16:17.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,13.222733245729303,52.94117647058824,1610612741,7,6,2024-03-17T00:16:22Z,460000,False,-15.0,72.0,1,left,N. Vucevic 7' driving Hook (2 PTS),[202696],1610612741.0,CHI,driving,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,7.33,Made,,,,,2.0,,,,,,,,,,,,,
47,PT08M46.00S,2024-03-17T00:16:23.5Z,1,REGULAR,foul,personal,['1freethrow'],1626158,,,1610612741,7,6,2024-03-17T00:16:37Z,470000,False,,,0,,R. Holmes shooting personal FOUL (1 PF) (Vucevic 1 FT),"[1626158, 202696]",1610612764.0,WAS,shooting,,,Holmes,R. Holmes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2002.0,,,,1.0,0.0,Vucevic,202696.0,,,,,
49,PT08M46.00S,2024-03-17T00:16:41.9Z,1,REGULAR,freethrow,1 of 1,[],202696,,,1610612741,8,6,2024-03-17T00:16:41Z,490000,False,,,0,,N. Vucevic Free Throw 1 of 1 (3 PTS),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
50,PT08M26.00S,2024-03-17T00:17:05.1Z,1,REGULAR,3pt,Jump Shot,[],1626158,97.32260183968464,3.431372549019608,1610612764,8,6,2024-03-17T00:17:09Z,500000,False,-233.0,-27.0,1,right,MISS R. Holmes 3PT,[1626158],1610612764.0,WAS,,,,Holmes,R. Holmes,,,,,Left Corner 3,24+ Left,23.44,Missed,,,,,,,,,,,,,,,,,,
51,PT08M23.00S,2024-03-17T00:17:08.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,8,6,2024-03-17T00:17:09Z,510000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Left Corner 3,24+ Left,,,50.0,3.0,3.0,0.0,,,,,,,,,,,,,,
52,PT08M04.00S,2024-03-17T00:17:26.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,15.588042049934298,51.225490196078425,1610612741,10,6,2024-03-17T00:17:34Z,520000,False,-6.0,94.0,1,left,N. Vucevic 9' driving floating Jump Shot (5 PTS) (A. Caruso 1 AST),"[202696, 1627936]",1610612741.0,CHI,driving floating,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,9.42,Made,,,,,5.0,,A. Caruso,1627936.0,1.0,,,,,,,,,
54,PT07M50.00S,2024-03-17T00:17:41.2Z,1,REGULAR,2pt,Jump Shot,[],1626158,79.58278580814718,49.26470588235294,1610612764,10,6,2024-03-17T00:17:45Z,540000,False,-4.0,139.0,1,right,MISS R. Holmes 13' floating Shot,[1626158],1610612764.0,WAS,floating,,,Holmes,R. Holmes,,,,,Mid-Range,8-16 Center,13.94,Missed,,,,,,,,,,,,,,,,,,
55,PT07M48.00S,2024-03-17T00:17:43.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,10,6,2024-03-17T00:17:45Z,550000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:4),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Center,,,54.0,4.0,4.0,0.0,,,,,,,,,,,,,,
56,PT07M35.00S,2024-03-17T00:17:55.9Z,1,REGULAR,3pt,Jump Shot,[],1628470,32.013797634691194,62.00980392156863,1610612741,10,6,2024-03-17T00:18:00Z,560000,False,-60.0,248.0,1,left,MISS T. Craig 25' 3PT,[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Center,25.55,Missed,,,,,,,,,,,,,,,,,,
57,PT07M31.00S,2024-03-17T00:17:59.9Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,10,6,2024-03-17T00:18:00Z,570000,False,,,0,,B. Coulibaly REBOUND (Off:1 Def:3),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Center,,,56.0,4.0,3.0,1.0,,,,,,,,,,,,,,
58,PT07M23.00S,2024-03-17T00:18:16.3Z,1,REGULAR,foul,personal,['2freethrow'],1630245,,,1610612764,10,6,2024-03-17T00:18:48Z,580000,False,,,0,,A. Dosunmu shooting personal FOUL (1 PF) (Poole 2 FT),"[1630245, 1629673]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,,,,,,2002.0,,,,1.0,0.0,Poole,1629673.0,,,,,
60,PT07M23.00S,2024-03-17T00:18:49.2Z,1,REGULAR,freethrow,1 of 2,[],1629673,,,1610612764,10,7,2024-03-17T00:22:24Z,600000,False,,,0,,J. Poole Free Throw 1 of 2 (1 PTS),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
61,PT07M23.00S,2024-03-17T00:18:53.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,10,7,2024-03-17T00:18:53Z,610000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M23.00S,2024-03-17T00:21:37.6Z,1,REGULAR,substitution,out,[],1627936,,,1610612764,10,7,2024-03-17T00:21:40Z,620000,False,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M23.00S,2024-03-17T00:21:37.6Z,1,REGULAR,substitution,in,[],1628975,,,1610612764,10,7,2024-03-17T00:21:40Z,630000,False,,,0,,SUB in: J. Carter,[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M23.00S,2024-03-17T00:18:49.2Z,1,REGULAR,freethrow,2 of 2,[],1629673,,,1610612764,10,8,2024-03-17T00:22:24Z,640000,False,,,0,,J. Poole Free Throw 2 of 2 (2 PTS),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
65,PT07M12.00S,2024-03-17T00:22:15.5Z,1,REGULAR,foul,personal,['2freethrow'],1641731,,,1610612741,10,8,2024-03-17T00:22:23Z,650000,False,,,0,,B. Coulibaly shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1641731, 201942]",1610612764.0,WAS,shooting,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2002.0,,,,1.0,0.0,DeRozan,201942.0,,,,,
67,PT07M12.00S,2024-03-17T00:22:40.6Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,10,8,2024-03-17T00:22:59Z,670000,False,,,0,,MISS D. DeRozan Free Throw 1 of 2,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
68,PT07M12.00S,2024-03-17T00:22:40.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612741,10,8,2024-03-17T00:22:59Z,680000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,
69,PT07M12.00S,2024-03-17T00:22:40.6Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612741,10,8,2024-03-17T00:22:59Z,690000,False,,,0,,MISS D. DeRozan Free Throw 2 of 2,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
70,PT07M10.00S,2024-03-17T00:22:42.6Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,10,8,2024-03-17T00:22:59Z,700000,False,,,0,,B. Coulibaly REBOUND (Off:1 Def:4),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,69.0,5.0,4.0,1.0,,,,,,,,,,,,,,
71,PT06M49.00S,2024-03-17T00:23:21.7Z,1,REGULAR,turnover,traveling,[],1629673,,,1610612764,10,8,2024-03-17T00:23:26Z,710000,False,,,0,,J. Poole traveling TURNOVER (1 TO),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627962.0,,,,,,,,1.0,,,,
72,PT06M38.00S,2024-03-17T00:23:45.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630245,13.091327201051248,33.57843137254902,1610612741,12,8,2024-03-17T00:23:49Z,720000,False,82.0,71.0,1,left,A. Dosunmu 10' driving floating Jump Shot (2 PTS),[1630245],1610612741.0,CHI,driving floating,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,8-16 Right,10.83,Made,,,,,2.0,,,,,,,,,,,,,
74,PT06M20.00S,2024-03-17T00:24:07.5Z,1,REGULAR,substitution,out,[],201942,,,1610612764,12,8,2024-03-17T00:24:40Z,740000,False,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M20.00S,2024-03-17T00:24:07.5Z,1,REGULAR,substitution,in,[],1641931,,,1610612764,12,8,2024-03-17T00:24:40Z,760000,False,,,0,,SUB in: O. Bitim,[1641931],1610612741.0,CHI,,,,Bitim,O. Bitim,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M20.00S,2024-03-17T00:24:07.5Z,1,REGULAR,substitution,in,[],1630551,,,1610612764,12,8,2024-03-17T00:24:40Z,770000,False,,,0,,SUB in: J. Champagnie,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M20.00S,2024-03-17T00:24:07.5Z,1,REGULAR,substitution,out,[],1630557,,,1610612764,12,8,2024-03-17T00:25:03Z,775000,False,,,0,,SUB out: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M09.00S,2024-03-17T00:24:42.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626158,91.40932982917214,50.245098039215684,1610612764,12,10,2024-03-17T00:24:50Z,780000,False,1.0,28.0,1,right,R. Holmes driving floating Jump Shot (4 PTS) (J. Poole 2 AST),"[1626158, 1629673]",1610612764.0,WAS,driving floating,,,Holmes,R. Holmes,,,,,Restricted Area,0-8 Center,2.83,Made,,,,,4.0,,J. Poole,1629673.0,2.0,,,,,,,,,
80,PT06M02.00S,2024-03-17T00:24:49.3Z,1,REGULAR,3pt,Jump Shot,[],202696,28.86005256241787,21.323529411764707,1610612741,15,10,2024-03-17T00:24:53Z,800000,False,143.0,219.0,1,left,N. Vucevic 26' 3PT  (8 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Right Center,26.16,Made,,,,,8.0,,A. Dosunmu,1630245.0,1.0,,,,,,,,,
83,PT05M47.00S,2024-03-17T00:25:04.4Z,1,REGULAR,2pt,Jump Shot,[],1629673,72.61826544021025,48.529411764705884,1610612764,15,10,2024-03-17T00:25:31Z,820000,False,-7.0,205.0,1,right,MISS J. Poole 20' pullup Shot,[1629673],1610612764.0,WAS,pullup,,,Poole,J. Poole,,,,,Mid-Range,16-24 Center,20.5,Missed,,,,,,,,,,,,,,,,,,
84,PT05M45.00S,2024-03-17T00:25:06.4Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,15,10,2024-03-17T00:26:46Z,830000,False,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,16-24 Center,,,83.0,1.0,1.0,0.0,,,,,,,,,,,,,,
85,PT05M38.00S,2024-03-17T00:25:13.0Z,1,REGULAR,3pt,Jump Shot,[],1628975,31.09395532194481,34.068627450980394,1610612741,15,10,2024-03-17T00:25:19Z,840000,False,80.0,240.0,1,left,MISS J. Carter 25' pullup 3PT,[1628975],1610612741.0,CHI,pullup,,,Carter,J. Carter,,,,,Above the Break 3,24+ Center,25.27,Missed,,,,,,,,,,,,,,,,,,
