actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
24,PT09M41.00S,2023-12-13T01:13:08.8Z,1,REGULAR,3pt,Jump Shot,[],202704,71.43561103810775,78.92156862745098,1610612743,0,5,2023-12-13T01:18:23Z,240000,False,145.0,216.0,1,right,MISS R. Jackson 25' step back 3PT,[202704],1610612743.0,DEN,step back,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Right Center,25.99,Missed,,,,,,,,,,,,,,,,,,
25,PT09M37.00S,2023-12-13T01:13:12.2Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,5,2023-12-13T01:13:12Z,250000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Right Center,,,,,,,,24.0,2.0,2.0,0.0,,,,,,,,,
26,PT09M30.00S,2023-12-13T01:13:19.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,13.485545335085414,49.26470588235294,1610612741,0,5,2023-12-13T01:18:50Z,260000,False,4.0,74.0,1,left,MISS N. Vucevic 7' driving floating Shot,[202696],1610612741.0,CHI,driving floating,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,7.44,Missed,,,,,,,,,,,,,,,,,,
27,PT09M28.00S,2023-12-13T01:13:21.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,5,2023-12-13T01:14:26Z,270000,False,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,
29,PT09M18.00S,2023-12-13T01:13:46.9Z,1,REGULAR,3pt,Jump Shot,[],1629008,72.48685939553219,17.892156862745097,1610612743,0,5,2023-12-13T01:14:29Z,290000,False,-161.0,206.0,1,right,MISS M. Porter Jr. 26' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,26.12,Missed,,,,,,,,,,,,,,,,,,
30,PT09M16.00S,2023-12-13T01:13:48.9Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,0,5,2023-12-13T01:14:29Z,300000,False,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,
31,PT09M04.00S,2023-12-13T01:14:01.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,5.206964520367937,51.9607843137255,1610612741,2,5,2023-12-13T01:14:32Z,310000,False,-10.0,-4.0,1,left,C. White driving Layup (2 PTS) (A. Dosunmu 1 AST),"[1629632, 1630245]",1610612741.0,CHI,driving,,,White,C. White,,,,,Restricted Area,0-8 Center,1.04,Made,2.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,,,,,
32,PT08M47.00S,2023-12-13T01:14:19.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,93.77463863337714,50.0,1610612743,2,7,2023-12-13T01:19:56Z,320000,False,0.0,6.0,1,right,A. Gordon driving finger roll Layup (2 PTS),[203932],1610612743.0,DEN,driving finger roll,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,0.6,Made,2.0,,,,,,,,,,,,,,,,,
33,PT08M32.00S,2023-12-13T01:14:34.8Z,1,REGULAR,turnover,out-of-bounds,[],1629632,,,1610612741,2,7,2023-12-13T01:14:42Z,330000,False,,,0,,C. White bad pass out-of-bounds TURNOVER (1 TO),[1629632],1610612741.0,CHI,bad pass,,,White,C. White,,,,,Above the Break 3,24+ Right Center,,,,,,,1628159.0,,,,,,,,,1.0,,,,
35,PT08M20.00S,2023-12-13T01:14:55.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629008,94.03745072273325,52.450980392156865,1610612743,2,9,2023-12-13T01:20:21Z,340000,False,12.0,4.0,1,right,M. Porter Jr. Layup (2 PTS) (A. Gordon 1 AST),"[1629008, 203932]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,1.28,Made,2.0,A. Gordon,203932.0,1.0,,,,,,,,,,,,,,
37,PT08M20.00S,2023-12-13T01:15:00.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,2,9,2023-12-13T01:15:00Z,360000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M06.00S,2023-12-13T01:18:09.7Z,1,REGULAR,3pt,Jump Shot,[],1629632,24.129434954007884,85.04901960784314,1610612741,2,9,2023-12-13T01:20:40Z,370000,False,-175.0,174.0,1,left,MISS C. White 24' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,24.71,Missed,,,,,,,,,,,,,,,,,,
39,PT08M01.00S,2023-12-13T01:18:14.7Z,1,REGULAR,rebound,defensive,[],202704,,,1610612743,2,9,2023-12-13T01:18:17Z,380000,False,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Left Center,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,
40,PT07M59.00S,2023-12-13T01:18:16.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629008,93.9060446780552,50.245098039215684,1610612743,2,11,2023-12-13T01:21:18Z,390000,False,1.0,5.0,1,right,M. Porter Jr. running Layup (4 PTS) (R. Jackson 1 AST),"[1629008, 202704]",1610612743.0,DEN,running,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,0.49,Made,4.0,R. Jackson,202704.0,1.0,,,,,,,,,,,,,,
42,PT07M46.00S,2023-12-13T01:18:28.9Z,1,REGULAR,2pt,Jump Shot,[],202696,21.369908015768726,46.568627450980394,1610612741,4,11,2023-12-13T01:21:58Z,410000,False,17.0,148.0,1,left,N. Vucevic 14' turnaround Jump Shot (2 PTS) (D. DeRozan 1 AST),"[202696, 201942]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Center,14.94,Made,2.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,
44,PT07M45.00S,2023-12-13T01:18:37.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,4,11,2023-12-13T01:18:37Z,430000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M45.00S,2023-12-13T01:20:43.0Z,1,REGULAR,substitution,out,[],203484,,,1610612743,4,11,2023-12-13T01:20:47Z,440000,False,,,0,,SUB out: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M45.00S,2023-12-13T01:20:43.0Z,1,REGULAR,substitution,in,[],1631128,,,1610612743,4,11,2023-12-13T01:20:47Z,450000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M35.00S,2023-12-13T01:21:45.2Z,1,REGULAR,3pt,Jump Shot,[],202704,66.83639947437582,51.71568627450981,1610612743,4,11,2023-12-13T01:22:24Z,460000,False,9.0,259.0,1,right,MISS R. Jackson 25' pullup 3PT,[202704],1610612743.0,DEN,pullup,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Center,25.93,Missed,,,,,,,,,,,,,,,,,,
48,PT07M33.00S,2023-12-13T01:21:47.2Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,4,11,2023-12-13T01:21:53Z,470000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Center,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,
49,PT07M23.00S,2023-12-13T01:21:57.0Z,1,REGULAR,3pt,Jump Shot,[],201942,7.30946123521682,4.411764705882353,1610612741,4,11,2023-12-13T01:22:04Z,480000,False,228.0,16.0,1,left,MISS D. DeRozan 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Right Corner 3,24+ Right,22.85,Missed,,,,,,,,,,,,,,,,,,
50,PT07M18.00S,2023-12-13T01:22:02.0Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,4,11,2023-12-13T01:22:04Z,490000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Right Corner 3,24+ Right,,,,,,,,49.0,3.0,2.0,1.0,,,,,,,,,
51,PT07M17.00S,2023-12-13T01:22:02.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630172,30.042706964520367,66.42156862745098,1610612741,4,11,2023-12-13T01:22:07Z,500000,False,-82.0,230.0,1,left,MISS P. Williams 24' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,24.41,Missed,,,,,,,,,,,,,,,,,,
52,PT07M17.00S,2023-12-13T01:22:02.0Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,4,11,2023-12-13T01:22:07Z,510000,False,,,0,,N. Jokic REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,,,,,,,,51.0,3.0,3.0,0.0,,,,,,,,,
53,PT07M02.00S,2023-12-13T01:22:17.4Z,1,REGULAR,3pt,Jump Shot,[],1631128,71.04139290407359,24.754901960784316,1610612743,4,14,2023-12-13T01:22:22Z,520000,False,-126.0,220.0,1,right,C. Braun 25' 3PT  (3 PTS) (N. Jokic 3 AST),"[1631128, 203999]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Left Center,25.34,Made,3.0,N. Jokic,203999.0,3.0,,,,,,,,,,,,,,
55,PT06M43.00S,2023-12-13T01:22:35.7Z,1,REGULAR,3pt,Jump Shot,[],1630172,26.49474375821288,18.38235294117647,1610612741,7,14,2023-12-13T01:22:40Z,540000,False,158.0,197.0,1,left,P. Williams 25' 3PT  (3 PTS) (A. Dosunmu 2 AST),"[1630172, 1630245]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,25.23,Made,3.0,A. Dosunmu,1630245.0,2.0,,,,,,,,,,,,,,
57,PT06M23.00S,2023-12-13T01:22:56.7Z,1,REGULAR,3pt,Jump Shot,[],1629008,81.02825229960578,8.088235294117647,1610612743,7,14,2023-12-13T01:23:01Z,560000,False,-210.0,126.0,1,right,MISS M. Porter Jr. 24' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,24.45,Missed,,,,,,,,,,,,,,,,,,
58,PT06M19.00S,2023-12-13T01:23:00.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,7,14,2023-12-13T01:23:01Z,570000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,,,,,,57.0,4.0,3.0,1.0,,,,,,,,,
59,PT06M17.00S,2023-12-13T01:23:02.5Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1630172,25.706307490144546,65.19607843137256,1610612741,7,14,2023-12-13T01:23:24Z,580000,False,-76.0,189.0,1,left,MISS P. Williams 20' running pullup Shot,[1630172],1610612741.0,CHI,running pullup,,,Williams,P. Williams,,,,,Mid-Range,16-24 Left Center,20.38,Missed,,,,,,,,,,,,,,,,,,
60,PT06M11.00S,2023-12-13T01:23:08.5Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,7,14,2023-12-13T01:23:09Z,590000,False,,,0,,N. Vucevic REBOUND (Off:2 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Left Center,,,,,,,,59.0,5.0,3.0,2.0,,,,,,,,,
61,PT06M11.00S,2023-12-13T01:23:07.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202696,5.590000152587891,50.0,1610612741,9,14,2023-12-13T01:23:07Z,600000,False,0.0,0.0,1,left,N. Vucevic tip Layup (4 PTS),[202696],1610612741.0,CHI,tip,,,Vucevic,N. Vucevic,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
62,PT05M50.00S,2023-12-13T01:23:28.5Z,1,REGULAR,3pt,Jump Shot,[],1629008,68.67608409986859,30.392156862745097,1610612743,9,14,2023-12-13T01:23:32Z,610000,False,-98.0,242.0,1,right,MISS M. Porter Jr. 26' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,26.1,Missed,,,,,,,,,,,,,,,,,,
63,PT05M50.00S,2023-12-13T01:23:28.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,9,14,2023-12-13T01:23:56Z,620000,False,,,0,,N. Vucevic REBOUND (Off:2 Def:4),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,,,,,,62.0,6.0,4.0,2.0,,,,,,,,,
64,PT05M32.00S,2023-12-13T01:23:47.1Z,1,REGULAR,3pt,Jump Shot,[],201942,4.02431011826544,95.34313725490196,1610612741,12,14,2023-12-13T01:23:52Z,630000,False,-227.0,-15.0,1,left,D. DeRozan 3PT  (3 PTS) (C. White 1 AST),"[201942, 1629632]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Left Corner 3,24+ Left,22.72,Made,3.0,C. White,1629632.0,1.0,,,,,,,,,,,,,,
66,PT05M19.00S,2023-12-13T01:24:00.4Z,1,REGULAR,3pt,Jump Shot,[],1631128,87.20433639947439,3.9215686274509802,1610612743,12,14,2023-12-13T01:24:06Z,650000,False,-230.0,68.0,1,right,MISS C. Braun 24' 3PT,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Left Corner 3,24+ Left,24.02,Missed,,,,,,,,,,,,,,,,,,
67,PT05M17.00S,2023-12-13T01:24:02.4Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,12,14,2023-12-13T01:24:06Z,660000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:2),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Left Corner 3,24+ Left,,,,,,,,66.0,2.0,2.0,0.0,,,,,,,,,
68,PT05M09.00S,2023-12-13T01:24:10.8Z,1,REGULAR,3pt,Jump Shot,[],1629632,30.305519053876477,66.91176470588235,1610612741,15,14,2023-12-13T01:24:14Z,670000,False,-85.0,232.0,1,left,C. White 24' 3PT  (5 PTS) (N. Vucevic 1 AST),"[1629632, 202696]",1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,24.73,Made,5.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,,
70,PT04M58.00S,2023-12-13T01:24:28.1Z,1,REGULAR,foul,personal,[],1630245,,,1610612743,15,14,2023-12-13T01:24:42Z,690000,False,,,0,,A. Dosunmu personal FOUL (1 PF),"[1630245, 203932]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1193.0,,,,,1.0,0.0,Gordon,203932.0,,,,,
72,PT04M58.00S,2023-12-13T01:24:33.0Z,1,REGULAR,substitution,out,[],201942,,,1610612743,15,14,2023-12-13T01:24:47Z,710000,False,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M58.00S,2023-12-13T01:24:33.0Z,1,REGULAR,substitution,out,[],1630245,,,1610612743,15,14,2023-12-13T01:24:47Z,720000,False,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M58.00S,2023-12-13T01:24:33.0Z,1,REGULAR,substitution,out,[],1629008,,,1610612743,15,14,2023-12-13T01:24:47Z,730000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M58.00S,2023-12-13T01:24:33.0Z,1,REGULAR,substitution,out,[],202704,,,1610612743,15,14,2023-12-13T01:24:47Z,740000,False,,,0,,SUB out: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M58.00S,2023-12-13T01:24:33.0Z,1,REGULAR,substitution,in,[],1628470,,,1610612743,15,14,2023-12-13T01:24:47Z,750000,False,,,0,,SUB in: T. Craig,[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M58.00S,2023-12-13T01:24:33.0Z,1,REGULAR,substitution,in,[],1628975,,,1610612743,15,14,2023-12-13T01:24:47Z,760000,False,,,0,,SUB in: J. Carter,[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M58.00S,2023-12-13T01:24:33.0Z,1,REGULAR,substitution,in,[],203200,,,1610612743,15,14,2023-12-13T01:24:47Z,770000,False,,,0,,SUB in: J. Holiday,[203200],1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M58.00S,2023-12-13T01:24:33.0Z,1,REGULAR,substitution,in,[],1631124,,,1610612743,15,14,2023-12-13T01:24:47Z,780000,False,,,0,,SUB in: J. Strawther,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M50.00S,2023-12-13T01:24:55.6Z,1,REGULAR,3pt,Jump Shot,[],203200,95.6143232588699,95.34313725490196,1610612743,15,17,2023-12-13T01:26:33Z,790000,False,227.0,-11.0,1,right,J. Holiday 3PT  (3 PTS) (N. Jokic 4 AST),"[203200, 203999]",1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,22.7,Made,3.0,N. Jokic,203999.0,4.0,,,,,,,,,,,,,,
82,PT04M26.00S,2023-12-13T01:25:23.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,8.327858081471746,38.23529411764706,1610612741,15,17,2023-12-13T01:26:50Z,810000,False,59.0,26.0,1,left,MISS C. White 6' driving Layup - blocked,"[1629632, 1631128]",1610612741.0,CHI,driving,,,White,C. White,,,,,In The Paint (Non-RA),0-8 Center,6.42,Missed,,,,,,,,,,,,,,,Braun,1631128.0,,
83,PT04M26.00S,2023-12-13T01:25:23.0Z,1,REGULAR,block,,[],1631128,,,1610612741,15,17,2023-12-13T01:26:01Z,820000,False,,,0,,C. Braun BLOCK (1 BLK),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
84,PT04M26.00S,2023-12-13T01:25:23.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,15,17,2023-12-13T01:26:01Z,830000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,82.0,,,,,,,,,,,,
86,PT04M26.00S,2023-12-13T01:25:33.2Z,1,REGULAR,substitution,out,[],203932,,,1610612741,15,17,2023-12-13T01:25:35Z,850000,False,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
