actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId
81,PT04M50.00S,2025-01-09T02:56:43.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629646,16.376478318002626,40.931372549019606,1610612759,15,19,2025-01-09T02:56:48Z,810000,False,45.0,101.0,1,left,C. Bassey 11' floating Jump Shot (2 PTS) (D. Vassell 2 AST),"[1629646, 1630170]",1610612759.0,SAS,floating,,,Bassey,C. Bassey,,,,,In The Paint (Non-RA),8-16 Center,,,,Made,2.0,11.11,,,,,,,,,,D. Vassell,1630170.0,2.0,,
84,PT04M35.00S,2025-01-09T02:57:03.6Z,1,REGULAR,substitution,out,[],201572,,,1610612749,15,19,2025-01-09T02:57:31Z,840000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M35.00S,2025-01-09T02:57:03.6Z,1,REGULAR,substitution,out,[],1627752,,,1610612749,15,19,2025-01-09T02:57:31Z,850000,False,,,0,,SUB out: T. Prince,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M35.00S,2025-01-09T02:57:03.6Z,1,REGULAR,substitution,out,[],101108,,,1610612749,15,19,2025-01-09T02:57:31Z,860000,False,,,0,,SUB out: C. Paul,[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M35.00S,2025-01-09T02:57:03.6Z,1,REGULAR,substitution,out,[],203084,,,1610612749,15,19,2025-01-09T02:57:31Z,870000,False,,,0,,SUB out: H. Barnes,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M35.00S,2025-01-09T02:57:03.6Z,1,REGULAR,substitution,in,[],203114,,,1610612749,15,19,2025-01-09T02:57:31Z,880000,False,,,0,,SUB in: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M35.00S,2025-01-09T02:57:03.6Z,1,REGULAR,substitution,in,[],1626171,,,1610612749,15,19,2025-01-09T02:57:31Z,890000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M35.00S,2025-01-09T02:57:03.6Z,1,REGULAR,substitution,in,[],1629640,,,1610612749,15,19,2025-01-09T02:57:31Z,900000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M35.00S,2025-01-09T02:57:03.6Z,1,REGULAR,substitution,in,[],1630200,,,1610612749,15,19,2025-01-09T02:57:31Z,910000,False,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M28.00S,2025-01-09T02:57:33.5Z,1,REGULAR,foul,personal,['2freethrow'],1629646,,,1610612749,15,19,2025-01-09T02:57:48Z,920000,False,,,0,,C. Bassey shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1629646, 203507]",1610612759.0,SAS,shooting,,,Bassey,C. Bassey,,,,,Restricted Area,0-8 Center,201639.0,1.0,0.0,,,,,,,,,,,,,,,,Antetokounmpo,203507.0
94,PT04M28.00S,2025-01-09T02:58:09.5Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,15,19,2025-01-09T02:58:09Z,940000,False,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
95,PT04M28.00S,2025-01-09T02:58:09.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,15,19,2025-01-09T02:58:09Z,950000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,94.0,,,,,,,,,,,,,
96,PT04M28.00S,2025-01-09T02:58:11.0Z,1,REGULAR,substitution,out,[],1641748,,,1610612749,15,19,2025-01-09T02:58:16Z,960000,False,,,0,,SUB out: A. Jackson Jr.,[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PT04M28.00S,2025-01-09T02:58:11.0Z,1,REGULAR,substitution,in,[],1631260,,,1610612749,15,19,2025-01-09T02:58:16Z,970000,False,,,0,,SUB in: A. Green,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PT04M28.00S,2025-01-09T02:58:37.1Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,16,19,2025-01-09T02:58:37Z,980000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (5 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
99,PT04M13.00S,2025-01-09T02:58:53.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630170,7.703679369250986,54.41176470588235,1610612759,16,19,2025-01-09T02:58:59Z,990000,False,-22.0,20.0,1,left,MISS D. Vassell driving Layup,[1630170],1610612759.0,SAS,driving,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,,,,Missed,,2.97,,,,,,,,,,,,,,
100,PT04M10.00S,2025-01-09T02:58:56.3Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,16,19,2025-01-09T02:58:59Z,1000000,False,,,0,,D. Lillard REBOUND (Off:0 Def:3),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,,,,,,,99.0,3.0,3.0,0.0,,,,,,,,,,
101,PT04M06.00S,2025-01-09T02:58:59.7Z,1,REGULAR,3pt,Jump Shot,[],203114,69.99014454664915,11.76470588235294,1610612749,19,19,2025-01-09T02:59:10Z,1010000,False,-191.0,230.0,1,right,K. Middleton 29' 3PT  (3 PTS) (D. Lillard 3 AST),"[203114, 203081]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,,,,Made,3.0,29.88,,,,,,,,,,D. Lillard,203081.0,3.0,,
103,PT03M50.00S,2025-01-09T02:59:15.9Z,1,REGULAR,3pt,Jump Shot,[],1630577,6.915243101182654,4.411764705882353,1610612759,19,22,2025-01-09T02:59:21Z,1030000,False,228.0,13.0,1,left,J. Champagnie 3PT  (3 PTS) (K. Johnson 1 AST),"[1630577, 1629640]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Right Corner 3,24+ Right,,,,Made,3.0,22.82,,,,,,,,,,K. Johnson,1629640.0,1.0,,
106,PT03M39.00S,2025-01-09T02:59:34.3Z,1,REGULAR,substitution,out,[],203081,,,1610612749,19,22,2025-01-09T02:59:39Z,1060000,False,,,0,,SUB out: D. Lillard,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M39.00S,2025-01-09T02:59:34.3Z,1,REGULAR,substitution,in,[],1629018,,,1610612749,19,22,2025-01-09T02:59:39Z,1070000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M37.00S,2025-01-09T02:59:48.8Z,1,REGULAR,3pt,Jump Shot,[],1631260,75.77201051248358,9.803921568627452,1610612749,22,22,2025-01-09T02:59:53Z,1080000,False,-201.0,175.0,1,right,A. Green 26' 3PT  (3 PTS) (K. Middleton 1 AST),"[1631260, 203114]",1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Left Center,,,,Made,3.0,26.66,,,,,,,,,,K. Middleton,203114.0,1.0,,
110,PT03M18.00S,2025-01-09T03:00:07.4Z,1,REGULAR,2pt,Jump Shot,[],1630170,20.18725361366623,31.61764705882353,1610612759,22,22,2025-01-09T03:00:14Z,1100000,False,92.0,137.0,1,left,MISS D. Vassell 16' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Right Center,,,,Missed,,16.52,,,,,,,,,,,,,,
111,PT03M14.00S,2025-01-09T03:00:11.4Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,22,22,2025-01-09T03:00:14Z,1110000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Right Center,,,,,,,110.0,4.0,4.0,0.0,,,,,,,,,,
112,PT03M09.00S,2025-01-09T03:00:16.1Z,1,REGULAR,3pt,Jump Shot,[],1631260,94.82588699080158,96.32352941176471,1610612749,25,22,2025-01-09T03:00:49Z,1120000,False,232.0,-4.0,1,right,A. Green 3PT  (6 PTS) (G. Antetokounmpo 3 AST),"[1631260, 203507]",1610612749.0,MIL,,,,Green,A. Green,,,,,Right Corner 3,24+ Right,,,,Made,6.0,23.16,,,,,,,,,,G. Antetokounmpo,203507.0,3.0,,
114,PT02M47.00S,2025-01-09T03:00:38.2Z,1,REGULAR,3pt,Jump Shot,[],1629640,31.61957950065703,72.05882352941177,1610612759,25,22,2025-01-09T03:00:42Z,1140000,False,-110.0,245.0,1,left,MISS K. Johnson 26' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,,,,Missed,,26.84,,,,,,,,,,,,,,
115,PT02M43.00S,2025-01-09T03:00:42.2Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,25,22,2025-01-09T03:00:42Z,1150000,False,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,,,,,,,114.0,1.0,1.0,0.0,,,,,,,,,,
116,PT02M35.00S,2025-01-09T03:00:50.1Z,1,REGULAR,3pt,Jump Shot,[],1626171,69.99014454664915,16.176470588235293,1610612749,25,22,2025-01-09T03:00:55Z,1160000,False,-169.0,230.0,1,right,MISS B. Portis 28' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Above the Break 3,24+ Left Center,,,,Missed,,28.52,,,,,,,,,,,,,,
117,PT02M32.00S,2025-01-09T03:00:53.1Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,25,22,2025-01-09T03:00:55Z,1170000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,,116.0,1.0,1.0,0.0,,,,,,,,,,
118,PT02M29.00S,2025-01-09T03:00:58.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629640,9.017739816031538,45.83333333333333,1610612759,25,22,2025-01-09T03:02:42Z,1180000,False,21.0,32.0,1,left,MISS K. Johnson running Layup,[1629640],1610612759.0,SAS,running,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,Missed,,3.84,,,,,,,,,,,,,,
119,PT02M27.00S,2025-01-09T03:01:00.7Z,1,REGULAR,rebound,offensive,[],1629640,,,1610612759,25,22,2025-01-09T03:02:42Z,1190000,False,,,0,,K. Johnson REBOUND (Off:1 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,118.0,2.0,1.0,1.0,,,,,,,,,,
120,PT02M13.00S,2025-01-09T03:01:12.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630170,8.360709592641262,55.88235294117647,1610612759,25,22,2025-01-09T03:01:16Z,1200000,False,-29.0,26.0,1,left,MISS D. Vassell driving Layup,[1630170],1610612759.0,SAS,driving,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,,,,Missed,,3.93,,,,,,,,,,,,,,
121,PT02M09.00S,2025-01-09T03:01:16.3Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612749,25,22,2025-01-09T03:01:16Z,1210000,False,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,,,,,,,120.0,1.0,1.0,0.0,,,,,,,,,,
122,PT02M06.00S,2025-01-09T03:01:19.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,93.11760840998686,49.50980392156863,1610612749,27,22,2025-01-09T03:01:28Z,1220000,False,-2.0,12.0,1,right,G. Antetokounmpo cutting DUNK (7 PTS) (G. Trent Jr. 1 AST),"[203507, 1629018]",1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,Made,7.0,1.25,,,,,,,,,,G. Trent Jr.,1629018.0,1.0,,
124,PT02M06.00S,2025-01-09T03:01:28.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,27,22,2025-01-09T03:01:28Z,1240000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PT02M06.00S,2025-01-09T03:03:55.6Z,1,REGULAR,substitution,out,[],1630170,,,1610612759,27,22,2025-01-09T03:04:37Z,1250000,False,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PT02M06.00S,2025-01-09T03:03:55.6Z,1,REGULAR,substitution,out,[],1629646,,,1610612759,27,22,2025-01-09T03:04:37Z,1260000,False,,,0,,SUB out: C. Bassey,[1629646],1610612759.0,SAS,,,,Bassey,C. Bassey,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PT02M06.00S,2025-01-09T03:03:55.6Z,1,REGULAR,substitution,in,[],1642264,,,1610612759,27,22,2025-01-09T03:04:37Z,1270000,False,,,0,,SUB in: S. Castle,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PT02M06.00S,2025-01-09T03:03:55.6Z,1,REGULAR,substitution,in,[],1641705,,,1610612759,27,22,2025-01-09T03:04:37Z,1280000,False,,,0,,SUB in: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
129,PT01M49.00S,2025-01-09T03:05:18.7Z,1,REGULAR,foul,personal,[],1629018,,,1610612759,27,22,2025-01-09T03:05:25Z,1290000,False,,,0,,G. Trent Jr. personal FOUL (1 PF),"[1629018, 1641705]",1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),8-16 Left,201639.0,1.0,0.0,,,,,,,,,,,,,,,,Wembanyama,1641705.0
131,PT01M40.00S,2025-01-09T03:05:36.7Z,1,REGULAR,turnover,out-of-bounds,[],1641705,,,1610612759,27,22,2025-01-09T03:05:47Z,1310000,False,,,0,,V. Wembanyama bad pass out-of-bounds TURNOVER (1 TO),[1641705],1610612759.0,SAS,bad pass,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Left,1204.0,,,,,,,,,,1.0,,,,,,,,,
132,PT01M22.00S,2025-01-09T03:06:04.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1626171,82.34231274638634,46.81372549019608,1610612749,27,22,2025-01-09T03:06:12Z,1320000,False,-16.0,113.0,1,right,MISS B. Portis 11' driving Hook,[1626171],1610612749.0,MIL,driving,,,Portis,B. Portis,,,,,In The Paint (Non-RA),8-16 Center,,,,Missed,,11.46,,,,,,,,,,,,,,
133,PT01M17.00S,2025-01-09T03:06:10.0Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,27,22,2025-01-09T03:06:10Z,1330000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,132.0,5.0,4.0,1.0,,,,,,,,,,
134,PT01M17.00S,2025-01-09T03:06:10.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",203507,94.40999984741211,50.0,1610612749,29,22,2025-01-09T03:06:10Z,1340000,False,0.0,0.0,1,right,G. Antetokounmpo putback DUNK (9 PTS),[203507],1610612749.0,MIL,putback,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Left,,,,Made,9.0,0.0,,,,,,,,,,,,,,
135,PT01M00.00S,2025-01-09T03:06:26.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629640,10.85742444152431,50.0,1610612759,29,24,2025-01-09T03:06:31Z,1350000,False,0.0,50.0,1,left,K. Johnson driving Hook (2 PTS) (T. Jones 1 AST),"[1629640, 1630200]",1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,Made,2.0,4.96,,,,,,,,,,T. Jones,1630200.0,1.0,,
137,PT00M50.70S,2025-01-09T03:06:37.3Z,1,REGULAR,2pt,Jump Shot,[],203114,77.87450722733246,70.09803921568627,1610612749,29,24,2025-01-09T03:06:41Z,1370000,False,100.0,155.0,1,right,MISS K. Middleton 18' step back Shot,[203114],1610612749.0,MIL,step back,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Right Center,,,,Missed,,18.51,,,,,,,,,,,,,,
138,PT00M48.00S,2025-01-09T03:06:40.0Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,29,24,2025-01-09T03:06:40Z,1380000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,16-24 Right Center,,,,,,,137.0,1.0,1.0,0.0,,,,,,,,,,
139,PT00M29.00S,2025-01-09T03:06:59.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642264,8.754927726675426,61.76470588235294,1610612759,29,24,2025-01-09T03:07:06Z,1390000,False,-59.0,30.0,1,left,MISS S. Castle 6' driving Layup,[1642264],1610612759.0,SAS,driving,,,Castle,S. Castle,,,,,In The Paint (Non-RA),0-8 Center,,,,Missed,,6.59,,,,,,,,,,,,,,
140,PT00M25.80S,2025-01-09T03:07:02.2Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,29,24,2025-01-09T03:07:06Z,1400000,False,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,139.0,1.0,1.0,0.0,,,,,,,,,,
141,PT00M20.70S,2025-01-09T03:07:08.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,93.77463863337714,49.754901960784316,1610612749,31,24,2025-01-09T03:07:14Z,1410000,False,-1.0,6.0,1,right,G. Antetokounmpo driving DUNK (11 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,Made,11.0,0.61,,,,,,,,,,,,,,
142,PT00M02.80S,2025-01-09T03:07:29.9Z,1,REGULAR,3pt,Jump Shot,[],1630577,26.757555847568987,8.57843137254902,1610612759,31,27,2025-01-09T03:07:39Z,1420000,False,207.0,199.0,1,left,J. Champagnie 28' 3PT  (6 PTS) (T. Jones 2 AST),"[1630577, 1630200]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,,Made,6.0,28.72,,,,,,,,,,T. Jones,1630200.0,2.0,,
144,PT00M01.00S,2025-01-09T03:07:40.8Z,1,REGULAR,3pt,Jump Shot,[],1631260,42.526281208935615,28.676470588235293,1610612749,31,27,2025-01-09T03:11:51Z,1440000,False,-107.0,488.0,1,right,MISS A. Green 49' pullup 3PT,[1631260],1610612749.0,MIL,pullup,,,Green,A. Green,,,,,Above the Break 3,24+ Center,,,,Missed,,49.93,,,,,,,,,,,,,,
145,PT00M01.00S,2025-01-09T03:07:40.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,31,27,2025-01-09T03:11:51Z,1450000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,144.0,,,,,,,,,,,,,
146,PT00M00.00S,2025-01-09T03:07:51.1Z,1,REGULAR,period,end,[],0,,,1610612749,31,27,2025-01-09T03:07:51Z,1460000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,PT12M00.00S,2025-01-09T03:09:45.4Z,2,REGULAR,substitution,out,['startperiod'],1631260,,,1610612749,31,27,2025-01-09T03:11:15Z,1470000,False,,,0,,SUB out: A. Green,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
148,PT12M00.00S,2025-01-09T03:09:45.4Z,2,REGULAR,substitution,out,['startperiod'],203507,,,1610612749,31,27,2025-01-09T03:11:15Z,1480000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PT12M00.00S,2025-01-09T03:09:45.4Z,2,REGULAR,substitution,in,['startperiod'],203081,,,1610612749,31,27,2025-01-09T03:11:15Z,1490000,False,,,0,,SUB in: D. Lillard,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
150,PT12M00.00S,2025-01-09T03:09:45.4Z,2,REGULAR,substitution,in,['startperiod'],201572,,,1610612749,31,27,2025-01-09T03:11:15Z,1500000,False,,,0,,SUB in: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
151,PT12M00.00S,2025-01-09T03:11:19.5Z,2,REGULAR,period,start,[],0,,,1610612749,31,27,2025-01-09T03:11:19Z,1510000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,PT11M40.00S,2025-01-09T03:11:38.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,83.52496714848883,43.38235294117647,1610612749,33,27,2025-01-09T03:11:43Z,1520000,False,-33.0,102.0,1,right,G. Trent Jr. 10' driving floating Jump Shot (2 PTS),[1629018],1610612749.0,MIL,driving floating,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,Made,2.0,10.76,,,,,,,,,,,,,,
153,PT11M29.00S,2025-01-09T03:11:49.3Z,2,REGULAR,3pt,Jump Shot,[],1630577,32.63386990801577,48.24984681372549,1610612759,33,30,2025-01-09T03:11:58Z,1530000,False,9.0,254.0,1,left,J. Champagnie 25' 3PT  (9 PTS) (S. Castle 1 AST),"[1630577, 1642264]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Center,,,,Made,9.0,25.45,,,,,,,,,,S. Castle,1642264.0,1.0,,
155,PT11M14.00S,2025-01-09T03:12:04.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203081,91.40932982917214,50.0,1610612749,33,30,2025-01-09T03:12:14Z,1550000,False,0.0,28.0,1,right,MISS D. Lillard driving finger roll Layup,[203081],1610612749.0,MIL,driving finger roll,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,,,,Missed,,2.83,,,,,,,,,,,,,,
156,PT11M11.00S,2025-01-09T03:12:07.8Z,2,REGULAR,rebound,defensive,[],1641705,,,1610612759,33,30,2025-01-09T03:12:14Z,1560000,False,,,0,,V. Wembanyama REBOUND (Off:2 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,155.0,3.0,1.0,2.0,,,,,,,,,,
157,PT11M10.00S,2025-01-09T03:12:14.0Z,2,REGULAR,foul,personal,['2freethrow'],203114,,,1610612759,33,30,2025-01-09T03:16:19Z,1570000,False,,,0,,K. Middleton shooting personal FOUL (1 PF) (Johnson 2 FT),"[203114, 1629640]",1610612749.0,MIL,shooting,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),0-8 Center,202027.0,1.0,0.0,,,,,,,,,,,,,,,,Johnson,1629640.0
160,PT11M10.00S,2025-01-09T03:12:34.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,33,30,2025-01-09T03:16:19Z,1600000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT11M10.00S,2025-01-09T03:12:36.5Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1629640,,,1610612759,33,31,2025-01-09T03:48:01Z,1605000,False,,,0,,K. Johnson Free Throw 1 of 2 (3 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
167,PT11M10.00S,2025-01-09T03:12:36.5Z,2,REGULAR,freethrow,2 of 2,['fastbreak'],1629640,,,1610612759,33,32,2025-01-09T03:48:01Z,1607500,False,,,0,,K. Johnson Free Throw 2 of 2 (4 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
162,PT10M58.00S,2025-01-09T03:16:30.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201572,90.62089356110381,51.470588235294116,1610612749,33,32,2025-01-09T03:17:07Z,1620000,False,7.0,36.0,1,right,MISS B. Lopez floating Shot,[201572],1610612749.0,MIL,floating,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,Missed,,3.65,,,,,,,,,,,,,,
163,PT10M56.00S,2025-01-09T03:16:32.5Z,2,REGULAR,rebound,defensive,[],1630200,,,1610612759,33,32,2025-01-09T03:18:30Z,1630000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,,162.0,1.0,1.0,0.0,,,,,,,,,,
164,PT10M55.00S,2025-01-09T03:16:36.6Z,2,REGULAR,foul,personal,['2freethrow'],203114,,,1610612759,33,32,2025-01-09T03:16:49Z,1640000,False,,,0,,K. Middleton shooting personal FOUL (2 PF) (Castle 2 FT),"[203114, 1642264]",1610612749.0,MIL,shooting,,,Middleton,K. Middleton,,,,,Restricted Area,0-8 Center,202027.0,2.0,0.0,,,,,,,,,,,,,,,,Castle,1642264.0
168,PT10M55.00S,2025-01-09T03:17:05.7Z,2,REGULAR,freethrow,1 of 2,['fastbreak'],1642264,,,1610612759,33,33,2025-01-09T03:17:05Z,1660000,False,,,0,,S. Castle Free Throw 1 of 2 (3 PTS),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
