actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
256,PT03M34.00S,2025-01-05T01:52:50.7Z,2,REGULAR,substitution,out,[],201572,,,1610612749,42,41,2025-01-05T01:53:00Z,2500000,False,,,0,,SUB out: B. Lopez,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT03M34.00S,2025-01-05T01:52:50.7Z,2,REGULAR,substitution,out,[],1631260,,,1610612749,42,41,2025-01-05T01:53:00Z,2510000,False,,,0,,SUB out: A. Green,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT03M34.00S,2025-01-05T01:52:50.7Z,2,REGULAR,substitution,out,[],203114,,,1610612749,42,41,2025-01-05T01:53:00Z,2520000,False,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT03M34.00S,2025-01-05T01:52:50.7Z,2,REGULAR,substitution,in,[],1626171,,,1610612749,42,41,2025-01-05T01:53:00Z,2530000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT03M34.00S,2025-01-05T01:52:50.7Z,2,REGULAR,substitution,in,[],203081,,,1610612749,42,41,2025-01-05T01:53:00Z,2540000,False,,,0,,SUB in: D. Lillard,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
261,PT03M34.00S,2025-01-05T01:52:50.7Z,2,REGULAR,substitution,in,[],1627752,,,1610612749,42,41,2025-01-05T01:53:00Z,2550000,False,,,0,,SUB in: T. Prince,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT03M34.00S,2025-01-05T01:53:19.4Z,2,REGULAR,freethrow,1 of 1,['fastbreak'],203507,,,1610612749,43,41,2025-01-05T01:53:19Z,2560000,False,,,0,,G. Antetokounmpo Free Throw 1 of 1 (11 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,11.0,,,,,,,,,,,,,
263,PT03M22.00S,2025-01-05T01:53:37.0Z,2,REGULAR,foul,offensive,[],1630166,,,1610612757,43,41,2025-01-05T01:53:49Z,2570000,False,,,0,,D. Avdija offensive FOUL (1 PF),"[1630166, 203081]",1610612757.0,POR,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,1151.0,1.0,0.0,Lillard,203081.0,,
265,PT03M22.00S,2025-01-05T01:53:37.0Z,2,REGULAR,turnover,offensive foul,[],1630166,,,1610612757,43,41,2025-01-05T01:53:37Z,2590000,False,,,0,,D. Avdija offensive foul TURNOVER (3 TO),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,3.0,,,1151.0,,,,,,
266,PT03M22.00S,2025-01-05T01:53:50.0Z,2,REGULAR,substitution,out,[],1630703,,,1610612749,43,41,2025-01-05T01:53:56Z,2600000,False,,,0,,SUB out: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
