actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
40,PT07M57.00S,2025-04-11T00:14:45.4Z,1,REGULAR,3pt,Jump Shot,[],1631255,23.653088042049937,12.522977941176471,1610612740,7,10,2025-04-11T00:16:31Z,400000,False,187.0,170.0,1,left,MISS K. Matković 25' 3PT,[1631255],1610612740.0,NOP,,,,Matković,K. Matković,,,,,Above the Break 3,24+ Right Center,25.29,Missed,,,,,,,,,,,,,,,,,,
41,PT07M55.00S,2025-04-11T00:14:47.4Z,1,REGULAR,rebound,offensive,[],1630526,,,1610612740,7,10,2025-04-11T00:16:31Z,410000,False,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:0),[1630526],1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Right Center,,,,40.0,1.0,0.0,1.0,,,,,,,,,,,,,
42,PT07M54.00S,2025-04-11T00:14:50.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630526,5.590000152587891,50.0,1610612740,7,12,2025-04-11T00:16:37Z,420000,False,0.0,0.0,1,left,J. Robinson-Earl tip Layup (5 PTS),[1630526],1610612740.0,NOP,tip,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,0.0,Made,5.0,,,,,,,,,,,,,,,,,
43,PT07M53.00S,2025-04-11T00:14:56.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,7,12,2025-04-11T00:14:56Z,430000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M42.00S,2025-04-11T00:18:03.5Z,1,REGULAR,turnover,3-second-violation,[],201572,,,1610612749,7,12,2025-04-11T00:18:20Z,440000,False,,,0,,B. Lopez 3-second-violation TURNOVER (1 TO),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1628951.0,1.0,,,,,,,,
46,PT07M22.00S,2025-04-11T00:18:28.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1641810,21.50131406044678,45.09803921568628,1610612740,7,12,2025-04-11T00:19:05Z,450000,False,25.0,150.0,1,left,MISS A. Reeves 15' driving floating Shot,[1641810],1610612740.0,NOP,driving floating,,,Reeves,A. Reeves,,,,,Mid-Range,8-16 Center,15.16,Missed,,,,,,,,,,,,,,,,,,
47,PT07M21.00S,2025-04-11T00:18:29.4Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,7,12,2025-04-11T00:19:05Z,460000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Center,,,,46.0,3.0,3.0,0.0,,,,,,,,,,,,,
48,PT07M05.00S,2025-04-11T00:18:47.9Z,1,REGULAR,foul,personal,['2freethrow'],1631255,,,1610612749,7,12,2025-04-11T00:19:18Z,470000,False,,,0,,K. Matković shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1631255, 203507]",1610612740.0,NOP,shooting,,,Matković,K. Matković,,,,,Restricted Area,0-8 Center,,,,,,,,,,,201639.0,,1.0,0.0,Antetokounmpo,203507.0,,,,
50,PT07M05.00S,2025-04-11T00:19:31.1Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,8,12,2025-04-11T00:19:58Z,490000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (5 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
51,PT07M05.00S,2025-04-11T00:19:31.1Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,8,12,2025-04-11T00:19:58Z,500000,False,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
52,PT07M04.00S,2025-04-11T00:19:32.1Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612740,8,12,2025-04-11T00:20:08Z,510000,False,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:1),[1630526],1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,51.0,2.0,1.0,1.0,,,,,,,,,,,,,
53,PT06M53.00S,2025-04-11T00:20:09.0Z,1,REGULAR,turnover,bad pass,[],203901,,,1610612740,8,12,2025-04-11T00:20:42Z,520000,False,,,0,,E. Payton bad pass TURNOVER (1 TO),"[203901, 1631157]",1610612740.0,NOP,,,,Payton,E. Payton,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,1.0,,,,,Rollins,1631157.0,,
54,PT06M53.00S,2025-04-11T00:20:09.0Z,1,REGULAR,steal,,[],1631157,,,1610612749,8,12,2025-04-11T00:20:11Z,530000,False,,,0,,R. Rollins STEAL (1 STL),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
55,PT06M52.00S,2025-04-11T00:20:12.3Z,1,REGULAR,turnover,bad pass,[],1631157,,,1610612749,8,12,2025-04-11T00:20:50Z,540000,False,,,0,,R. Rollins bad pass TURNOVER (1 TO),"[1631157, 1630526]",1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,1.0,,,,,Robinson-Earl,1630526.0,,
56,PT06M52.00S,2025-04-11T00:20:12.3Z,1,REGULAR,steal,,[],1630526,,,1610612740,8,12,2025-04-11T00:20:15Z,550000,False,,,0,,J. Robinson-Earl STEAL (1 STL),[1630526],1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
57,PT06M51.00S,2025-04-11T00:20:16.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630526,5.995400788436268,53.67647058823529,1610612740,8,14,2025-04-11T00:20:56Z,560000,False,-18.0,4.0,1,left,J. Robinson-Earl Layup (7 PTS),[1630526],1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,1.88,Made,7.0,,,,,,,,,,,,,,,,,
58,PT06M33.00S,2025-04-11T00:20:26.1Z,1,REGULAR,3pt,Jump Shot,[],1627752,94.03745072273325,2.941176470588235,1610612749,11,14,2025-04-11T00:20:31Z,570000,False,-235.0,4.0,1,right,T. Prince 3PT  (3 PTS) (B. Lopez 1 AST),"[1627752, 201572]",1610612749.0,MIL,,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,23.53,Made,3.0,,,,,B. Lopez,201572.0,1.0,,,,,,,,,,
60,PT06M16.00S,2025-04-11T00:20:47.2Z,1,REGULAR,3pt,Jump Shot,[],1631232,32.013797634691194,22.058823529411764,1610612740,11,14,2025-04-11T00:21:44Z,590000,False,140.0,248.0,1,left,MISS K. Brooks Jr. 28' 3PT,[1631232],1610612740.0,NOP,,,,Brooks Jr.,K. Brooks Jr.,,,,,Above the Break 3,24+ Right Center,28.5,Missed,,,,,,,,,,,,,,,,,,
61,PT06M14.00S,2025-04-11T00:20:49.2Z,1,REGULAR,rebound,offensive,[],1630526,,,1610612740,11,14,2025-04-11T00:21:44Z,600000,False,,,0,,J. Robinson-Earl REBOUND (Off:2 Def:1),[1630526],1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Right Center,,,,60.0,3.0,1.0,2.0,,,,,,,,,,,,,
62,PT06M10.00S,2025-04-11T00:20:51.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630526,14.931011826544022,50.245098039215684,1610612740,11,16,2025-04-11T00:21:57Z,610000,False,-1.0,88.0,1,left,J. Robinson-Earl 8' Jump Shot (9 PTS),[1630526],1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,In The Paint (Non-RA),8-16 Center,8.79,Made,9.0,,,,,,,,,,,,,,,,,
63,PT05M47.00S,2025-04-11T00:21:12.9Z,1,REGULAR,3pt,Jump Shot,[],203507,67.82399802890933,44.53507965686275,1610612749,11,16,2025-04-11T00:22:32Z,620000,False,-27.0,250.0,1,right,MISS G. Antetokounmpo 25' pullup 3PT,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,25.15,Missed,,,,,,,,,,,,,,,,,,
64,PT05M44.00S,2025-04-11T00:21:15.9Z,1,REGULAR,rebound,defensive,[],203901,,,1610612740,11,16,2025-04-11T00:21:23Z,630000,False,,,0,,E. Payton REBOUND (Off:0 Def:2),[203901],1610612740.0,NOP,,,,Payton,E. Payton,,,,,Above the Break 3,24+ Center,,,,63.0,2.0,2.0,0.0,,,,,,,,,,,,,
65,PT05M26.00S,2025-04-11T00:21:33.5Z,1,REGULAR,3pt,Jump Shot,[],1631255,32.43676084099869,44.89889705882353,1610612740,11,19,2025-04-11T00:21:40Z,640000,False,26.0,252.0,1,left,K. Matković 25' 3PT  (6 PTS) (E. Payton 3 AST),"[1631255, 203901]",1610612740.0,NOP,,,,Matković,K. Matković,,,,,Above the Break 3,24+ Center,25.37,Made,6.0,,,,,E. Payton,203901.0,3.0,,,,,,,,,,
67,PT05M10.00S,2025-04-11T00:21:49.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631157,93.77463863337714,50.73529411764706,1610612749,13,19,2025-04-11T00:21:54Z,660000,False,4.0,6.0,1,right,R. Rollins driving Layup (5 PTS),[1631157],1610612749.0,MIL,driving,,,Rollins,R. Rollins,,,,,Restricted Area,0-8 Center,0.7,Made,5.0,,,,,,,,,,,,,,,,,
68,PT05M04.00S,2025-04-11T00:21:55.1Z,1,REGULAR,3pt,Jump Shot,[],1630526,30.305519053876477,24.754901960784316,1610612740,13,19,2025-04-11T00:22:00Z,670000,False,126.0,232.0,1,left,MISS J. Robinson-Earl 26' 3PT,[1630526],1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Right Center,26.45,Missed,,,,,,,,,,,,,,,,,,
69,PT05M01.00S,2025-04-11T00:21:58.1Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,13,19,2025-04-11T00:22:00Z,680000,False,,,0,,T. Prince REBOUND (Off:0 Def:2),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,,,,68.0,2.0,2.0,0.0,,,,,,,,,,,,,
70,PT04M48.00S,2025-04-11T00:22:11.6Z,1,REGULAR,2pt,Jump Shot,[],203507,75.64060446780552,45.09803921568628,1610612749,15,19,2025-04-11T00:23:39Z,690000,False,-25.0,176.0,1,right,G. Antetokounmpo 17' pullup Jump Shot (7 PTS),[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,17.82,Made,7.0,,,,,,,,,,,,,,,,,
71,PT04M48.00S,2025-04-11T00:22:20.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,15,19,2025-04-11T00:22:20Z,700000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M48.00S,2025-04-11T00:24:12.3Z,1,REGULAR,substitution,out,[],1628398,,,1610612740,15,19,2025-04-11T00:24:51Z,710000,False,,,0,,SUB out: K. Kuzma,[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M48.00S,2025-04-11T00:24:12.3Z,1,REGULAR,substitution,out,[],203507,,,1610612740,15,19,2025-04-11T00:24:51Z,720000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M48.00S,2025-04-11T00:24:12.3Z,1,REGULAR,substitution,out,[],1631232,,,1610612740,15,19,2025-04-11T00:24:51Z,730000,False,,,0,,SUB out: K. Brooks Jr.,[1631232],1610612740.0,NOP,,,,Brooks Jr.,K. Brooks Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M48.00S,2025-04-11T00:24:12.3Z,1,REGULAR,substitution,out,[],203901,,,1610612740,15,19,2025-04-11T00:24:51Z,740000,False,,,0,,SUB out: E. Payton,[203901],1610612740.0,NOP,,,,Payton,E. Payton,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M48.00S,2025-04-11T00:24:12.3Z,1,REGULAR,substitution,out,[],1631255,,,1610612740,15,19,2025-04-11T00:24:51Z,750000,False,,,0,,SUB out: K. Matković,[1631255],1610612740.0,NOP,,,,Matković,K. Matković,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M48.00S,2025-04-11T00:24:12.3Z,1,REGULAR,substitution,in,[],1629018,,,1610612740,15,19,2025-04-11T00:24:51Z,760000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M48.00S,2025-04-11T00:24:12.3Z,1,REGULAR,substitution,in,[],1626171,,,1610612740,15,19,2025-04-11T00:24:51Z,770000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M48.00S,2025-04-11T00:24:12.3Z,1,REGULAR,substitution,in,[],1631311,,,1610612740,15,19,2025-04-11T00:24:51Z,780000,False,,,0,,SUB in: L. Quinones,[1631311],1610612740.0,NOP,,,,Quinones,L. Quinones,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M48.00S,2025-04-11T00:24:12.3Z,1,REGULAR,substitution,in,[],1630283,,,1610612740,15,19,2025-04-11T00:24:51Z,790000,False,,,0,,SUB in: K. Kelley,[1630283],1610612740.0,NOP,,,,Kelley,K. Kelley,,,,,,,,,,,,,,,,,,,,,,,,,,
