actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
16,PT11M17.00S,2025-01-18T01:14:19.1Z,1,REGULAR,3pt,Jump Shot,[],201572,69.59592641261499,75.49019607843137,1610612749,1,0,2025-01-18T01:14:27Z,160000,False,127.0,233.0,1,right,MISS B. Lopez 26' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,26.59,Missed,,,,,,,,,,,,,,,,,,
17,PT11M14.00S,2025-01-18T01:14:22.5Z,1,REGULAR,rebound,offensive,[],1631157,,,1610612749,1,0,2025-01-18T01:14:22Z,170000,False,,,0,,R. Rollins REBOUND (Off:1 Def:0),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Right Center,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,
18,PT11M12.00S,2025-01-18T01:14:25.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631157,90.22667542706965,51.9607843137255,1610612749,1,0,2025-01-18T01:14:30Z,180000,False,10.0,39.0,1,right,MISS R. Rollins putback Layup - blocked,"[1631157, 1630567]",1610612749.0,MIL,putback,,,Rollins,R. Rollins,,,,,Restricted Area,0-8 Center,4.06,Missed,,,,,,,,,,,Barnes,1630567.0,,,,,,
19,PT11M12.00S,2025-01-18T01:14:25.0Z,1,REGULAR,block,,[],1630567,,,1610612749,1,0,2025-01-18T01:14:27Z,190000,False,,,0,,S. Barnes BLOCK (1 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT11M12.00S,2025-01-18T01:14:25.0Z,1,REGULAR,rebound,offensive,[],1631157,,,1610612749,1,0,2025-01-18T01:14:30Z,200000,False,,,0,,R. Rollins REBOUND (Off:2 Def:0),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Restricted Area,0-8 Center,,,18.0,2.0,0.0,2.0,,,,,,,,,,,,,,
21,PT10M59.00S,2025-01-18T01:14:37.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203081,71.56701708278581,12.254901960784313,1610612749,1,0,2025-01-18T01:15:31Z,210000,False,-189.0,215.0,1,right,MISS D. Lillard 28' step back 3PT,[203081],1610612749.0,MIL,step back,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,28.59,Missed,,,,,,,,,,,,,,,,,,
22,PT10M57.00S,2025-01-18T01:14:39.9Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,1,0,2025-01-18T01:14:39Z,220000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,21.0,2.0,1.0,1.0,,,,,,,,,,,,,,
23,PT10M54.00S,2025-01-18T01:14:45.7Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612749,1,0,2025-01-18T01:14:56Z,230000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1627751, 203507]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,202056.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,
25,PT10M54.00S,2025-01-18T01:15:15.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203507,,,1610612749,2,0,2025-01-18T01:15:15Z,250000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (2 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
26,PT10M54.00S,2025-01-18T01:15:30.7Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203507,,,1610612749,3,0,2025-01-18T01:15:30Z,260000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (3 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,,,3.0,,,,,,,,
27,PT10M34.00S,2025-01-18T01:15:55.7Z,1,REGULAR,turnover,out-of-bounds,[],1630567,,,1610612761,3,0,2025-01-18T01:16:05Z,270000,False,,,0,,S. Barnes bad pass out-of-bounds TURNOVER (1 TO),[1630567],1610612761.0,TOR,bad pass,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Right,,,,,,,201246.0,,,,,,,,1.0,,,,,
28,PT10M17.00S,2025-01-18T01:16:16.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203081,69.72733245729303,20.833333333333336,1610612749,6,0,2025-01-18T01:17:39Z,280000,False,-146.0,232.0,1,right,D. Lillard 27' 3PT pullup (3 PTS) (G. Antetokounmpo 1 AST),"[203081, 203507]",1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,27.41,Made,,,,,,,,,,3.0,,,,G. Antetokounmpo,203507.0,1.0,,
30,PT10M07.00S,2025-01-18T01:16:28.5Z,1,REGULAR,foul,personal,[],1627752,,,1610612761,6,0,2025-01-18T01:16:35Z,300000,False,,,0,,T. Prince personal FOUL (1 PF),"[1627752, 1629628]",1610612749.0,MIL,,,,Prince,T. Prince,,,,,Mid-Range,16-24 Left Center,,,,,,,202056.0,1.0,0.0,Barrett,1629628.0,,,,,,,,,
32,PT09M58.00S,2025-01-18T01:16:56.2Z,1,REGULAR,2pt,Jump Shot,[],1627751,24.52365308804205,56.127450980392155,1610612761,6,0,2025-01-18T01:17:03Z,320000,False,-31.0,178.0,1,left,MISS J. Poeltl 18' floating Shot,[1627751],1610612761.0,TOR,floating,,,Poeltl,J. Poeltl,,,,,Mid-Range,16-24 Center,18.06,Missed,,,,,,,,,,,,,,,,,,
33,PT09M55.00S,2025-01-18T01:16:59.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,6,0,2025-01-18T01:17:03Z,330000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,,,32.0,3.0,2.0,1.0,,,,,,,,,,,,,,
34,PT09M45.00S,2025-01-18T01:17:08.3Z,1,REGULAR,2pt,Jump Shot,[],203081,95.0886990801577,20.34313725490196,1610612749,8,0,2025-01-18T01:17:13Z,340000,False,-148.0,-6.0,1,right,D. Lillard 14' step back Jump Shot (5 PTS) (T. Prince 1 AST),"[203081, 1627752]",1610612749.0,MIL,step back,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Left,14.84,Made,,,,,,,,,,5.0,,,,T. Prince,1627752.0,1.0,,
36,PT09M33.00S,2025-01-18T01:17:23.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630558,10.90670170827858,44.10615808823529,1610612761,8,2,2025-01-18T01:18:07Z,360000,False,29.0,50.0,1,left,D. Mitchell driving bank Jump Shot (2 PTS) (G. Dick 1 AST),"[1630558, 1641711]",1610612761.0,TOR,driving bank,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,5.81,Made,,,,,,,,,,2.0,,,,G. Dick,1641711.0,1.0,,
38,PT09M33.00S,2025-01-18T01:17:27.2Z,1,REGULAR,foul,personal,['1freethrow'],1631157,,,1610612761,8,2,2025-01-18T01:17:53Z,380000,False,,,0,,R. Rollins shooting personal FOUL (1 PF) (Mitchell 1 FT),"[1631157, 1630558]",1610612749.0,MIL,shooting,,,Rollins,R. Rollins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1628480.0,1.0,0.0,Mitchell,1630558.0,,,,,,,,,
40,PT09M33.00S,2025-01-18T01:17:54.2Z,1,REGULAR,freethrow,1 of 1,[],1630558,,,1610612761,8,3,2025-01-18T01:17:54Z,400000,False,,,0,,D. Mitchell Free Throw 1 of 1 (3 PTS),[1630558],1610612761.0,TOR,,,,Mitchell,D. Mitchell,,,,,,,,Made,,,,,,,,,,3.0,,,,,,,,
41,PT09M16.00S,2025-01-18T01:18:14.0Z,1,REGULAR,foul,personal,['2freethrow'],1630567,,,1610612749,8,3,2025-01-18T01:18:45Z,410000,False,,,0,,S. Barnes shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1630567, 203507]",1610612761.0,TOR,shooting,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Center,,,,,,,201246.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,
43,PT09M16.00S,2025-01-18T01:18:46.5Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,9,3,2025-01-18T01:18:46Z,430000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (4 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,,,4.0,,,,,,,,
44,PT09M16.00S,2025-01-18T01:18:59.6Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,10,3,2025-01-18T01:18:59Z,440000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (5 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,,,5.0,,,,,,,,
45,PT09M06.00S,2025-01-18T01:19:10.0Z,1,REGULAR,turnover,bad pass,[],1630567,,,1610612761,10,3,2025-01-18T01:19:18Z,450000,False,,,0,,S. Barnes bad pass TURNOVER (2 TO),"[1630567, 203081]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,2.0,,,,Lillard,203081.0
46,PT09M06.00S,2025-01-18T01:19:10.0Z,1,REGULAR,steal,,[],203081,,,1610612749,10,3,2025-01-18T01:19:12Z,460000,False,,,0,,D. Lillard STEAL (1 STL),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
47,PT09M01.00S,2025-01-18T01:19:15.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627752,97.32260183968464,5.392156862745098,1610612749,10,3,2025-01-18T01:19:21Z,470000,False,-223.0,-27.0,1,right,MISS T. Prince running 3PT,[1627752],1610612749.0,MIL,running,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,22.47,Missed,,,,,,,,,,,,,,,,,,
48,PT08M57.00S,2025-01-18T01:19:19.5Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,10,3,2025-01-18T01:19:21Z,480000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Left Corner 3,24+ Left,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,,,
49,PT08M42.00S,2025-01-18T01:19:33.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,7.703679369250986,42.40196078431372,1610612761,10,3,2025-01-18T01:19:38Z,490000,False,38.0,20.0,1,left,MISS J. Poeltl driving Layup,[1627751],1610612761.0,TOR,driving,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,4.29,Missed,,,,,,,,,,,,,,,,,,
50,PT08M39.00S,2025-01-18T01:19:36.9Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,10,3,2025-01-18T01:19:38Z,500000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,,,
51,PT08M30.00S,2025-01-18T01:19:46.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,92.85479632063075,49.754901960784316,1610612749,10,3,2025-01-18T01:21:29Z,510000,False,-1.0,15.0,1,right,MISS G. Antetokounmpo driving DUNK,[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.47,Missed,,,,,,,,,,,,,,,,,,
52,PT08M27.00S,2025-01-18T01:19:49.1Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,10,3,2025-01-18T01:21:29Z,520000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,51.0,2.0,2.0,0.0,,,,,,,,,,,,,,
53,PT08M23.00S,2025-01-18T01:19:53.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641711,31.488173455978973,68.13725490196079,1610612761,10,3,2025-01-18T01:19:59Z,530000,False,-91.0,243.0,1,left,MISS G. Dick 25' running 3PT,[1641711],1610612761.0,TOR,running,,,Dick,G. Dick,,,,,Above the Break 3,24+ Left Center,25.98,Missed,,,,,,,,,,,,,,,,,,
54,PT08M19.00S,2025-01-18T01:19:57.3Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,10,3,2025-01-18T01:19:59Z,540000,False,,,0,,B. Lopez REBOUND (Off:0 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,,,
55,PT08M15.00S,2025-01-18T01:20:04.4Z,1,REGULAR,foul,personal,['2freethrow'],1629628,,,1610612749,10,3,2025-01-18T01:20:33Z,550000,False,,,0,,R. Barrett shooting personal FOUL (1 PF) (Lillard 2 FT),"[1629628, 203081]",1610612761.0,TOR,shooting,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,202056.0,1.0,0.0,Lillard,203081.0,,,,,,,,,
57,PT08M15.00S,2025-01-18T01:20:34.0Z,1,REGULAR,freethrow,1 of 2,[],203081,,,1610612749,11,3,2025-01-18T01:20:34Z,570000,False,,,0,,D. Lillard Free Throw 1 of 2 (6 PTS),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,Made,,,,,,,,,,6.0,,,,,,,,
58,PT08M15.00S,2025-01-18T01:20:49.7Z,1,REGULAR,freethrow,2 of 2,[],203081,,,1610612749,12,3,2025-01-18T01:20:49Z,580000,False,,,0,,D. Lillard Free Throw 2 of 2 (7 PTS),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,Made,,,,,,,,,,7.0,,,,,,,,
59,PT08M00.00S,2025-01-18T01:21:08.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641711,8.492115637319317,52.20588235294118,1610612761,12,3,2025-01-18T01:21:16Z,590000,False,-11.0,27.0,1,left,MISS G. Dick driving DUNK - blocked,"[1641711, 201572]",1610612761.0,TOR,driving,,,Dick,G. Dick,,,,,Restricted Area,0-8 Center,2.94,Missed,,,,,,,,,,,Lopez,201572.0,,,,,,
60,PT08M00.00S,2025-01-18T01:21:08.2Z,1,REGULAR,block,,[],201572,,,1610612761,12,3,2025-01-18T01:21:12Z,600000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
61,PT07M55.00S,2025-01-18T01:21:13.2Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,12,3,2025-01-18T01:21:16Z,610000,False,,,0,,B. Lopez REBOUND (Off:0 Def:3),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,59.0,3.0,3.0,0.0,,,,,,,,,,,,,,
62,PT07M50.00S,2025-01-18T01:21:19.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,93.64323258869908,50.245098039215684,1610612749,14,3,2025-01-18T01:21:25Z,620000,False,1.0,7.0,1,right,G. Antetokounmpo alley-oop DUNK (7 PTS) (D. Lillard 1 AST),"[203507, 203081]",1610612749.0,MIL,alley-oop,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,0.74,Made,,,,,,,,,,7.0,,,,D. Lillard,203081.0,1.0,,
64,PT07M50.00S,2025-01-18T01:21:29.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,14,3,2025-01-18T01:21:29Z,640000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M42.00S,2025-01-18T01:24:35.4Z,1,REGULAR,turnover,traveling,[],1627751,,,1610612761,14,3,2025-01-18T01:24:42Z,650000,False,,,0,,J. Poeltl traveling TURNOVER (1 TO),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201246.0,,,,,,,,1.0,,,,,
66,PT07M33.00S,2025-01-18T01:24:57.9Z,1,REGULAR,foul,offensive,[],203507,,,1610612749,14,3,2025-01-18T01:25:08Z,660000,False,,,0,,G. Antetokounmpo offensive FOUL (1 PF),"[203507, 1630558]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,201246.0,1.0,0.0,Mitchell,1630558.0,,,,,,,,,
68,PT07M33.00S,2025-01-18T01:24:57.9Z,1,REGULAR,turnover,offensive foul,[],203507,,,1610612749,14,3,2025-01-18T01:24:57Z,680000,False,,,0,,G. Antetokounmpo offensive foul TURNOVER (1 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,201246.0,,,,,,,,1.0,,,,,
69,PT07M17.00S,2025-01-18T01:25:21.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627751,6.1268068331143235,51.470588235294116,1610612761,14,5,2025-01-18T01:25:26Z,690000,False,-7.0,5.0,1,left,J. Poeltl cutting Layup (2 PTS) (R. Barrett 1 AST),"[1627751, 1629628]",1610612761.0,TOR,cutting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,0.9,Made,,,,,,,,,,2.0,,,,R. Barrett,1629628.0,1.0,,
71,PT07M05.00S,2025-01-18T01:25:33.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627752,82.86793692509855,38.970588235294116,1610612749,16,5,2025-01-18T01:25:37Z,710000,False,-55.0,109.0,1,right,T. Prince 12' driving floating bank Jump Shot (2 PTS) (B. Lopez 1 AST),"[1627752, 201572]",1610612749.0,MIL,driving floating bank,,,Prince,T. Prince,,,,,In The Paint (Non-RA),8-16 Center,12.17,Made,,,,,,,,,,2.0,,,,B. Lopez,201572.0,1.0,,
74,PT06M53.00S,2025-01-18T01:25:51.5Z,1,REGULAR,substitution,out,[],1631157,,,1610612761,16,5,2025-01-18T01:26:02Z,740000,False,,,0,,SUB out: R. Rollins,[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M53.00S,2025-01-18T01:25:51.5Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,16,5,2025-01-18T01:26:02Z,750000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M53.00S,2025-01-18T01:25:51.5Z,1,REGULAR,substitution,in,[],1631260,,,1610612761,16,5,2025-01-18T01:26:02Z,760000,False,,,0,,SUB in: A. Green,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M53.00S,2025-01-18T01:25:51.5Z,1,REGULAR,substitution,in,[],1642367,,,1610612761,16,5,2025-01-18T01:26:02Z,770000,False,,,0,,SUB in: J. Mogbo,[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M42.00S,2025-01-18T01:26:16.0Z,1,REGULAR,3pt,Jump Shot,[],1629628,32.276609724047304,31.862745098039213,1610612761,16,8,2025-01-18T01:26:20Z,780000,False,91.0,251.0,1,left,R. Barrett 26' 3PT  (3 PTS) (G. Dick 2 AST),"[1629628, 1641711]",1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,26.68,Made,,,,,,,,,,3.0,,,,G. Dick,1641711.0,2.0,,
80,PT06M29.00S,2025-01-18T01:26:29.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,93.24901445466492,52.20588235294118,1610612749,16,8,2025-01-18T01:26:40Z,800000,False,11.0,11.0,1,right,MISS D. Lillard driving Layup,[203081],1610612749.0,MIL,driving,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,1.56,Missed,,,,,,,,,,,,,,,,,,
81,PT06M26.00S,2025-01-18T01:26:32.6Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,16,8,2025-01-18T01:26:40Z,810000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:3),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,80.0,3.0,3.0,0.0,,,,,,,,,,,,,,
82,PT06M23.00S,2025-01-18T01:26:39.7Z,1,REGULAR,foul,personal,['2freethrow'],201572,,,1610612761,16,8,2025-01-18T01:26:52Z,820000,False,,,0,,B. Lopez shooting personal FOUL (1 PF) (Dick 2 FT),"[201572, 1641711]",1610612749.0,MIL,shooting,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,201246.0,1.0,0.0,Dick,1641711.0,,,,,,,,,
84,PT06M23.00S,2025-01-18T01:27:03.5Z,1,REGULAR,freethrow,1 of 2,[],1641711,,,1610612761,16,9,2025-01-18T01:27:03Z,840000,False,,,0,,G. Dick Free Throw 1 of 2 (1 PTS),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
85,PT06M23.00S,2025-01-18T01:27:18.2Z,1,REGULAR,freethrow,2 of 2,[],1641711,,,1610612761,16,10,2025-01-18T01:27:18Z,850000,False,,,0,,G. Dick Free Throw 2 of 2 (2 PTS),[1641711],1610612761.0,TOR,,,,Dick,G. Dick,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
86,PT06M05.00S,2025-01-18T01:27:38.5Z,1,REGULAR,3pt,Jump Shot,[],1627752,94.56307490144546,95.83333333333334,1610612749,16,10,2025-01-18T01:27:44Z,860000,False,229.0,-1.0,1,right,MISS T. Prince 3PT,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Right Corner 3,24+ Right,22.92,Missed,,,,,,,,,,,,,,,,,,
