actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
43,PT09M01.00S,2025-01-03T03:09:48.8Z,1,REGULAR,3pt,Jump Shot,[],203471,81.42247043363994,4.411764705882353,1610612744,11,4,2025-01-03T03:09:53Z,430000,False,-228.0,122.0,1,right,D. Schröder 25' 3PT  (6 PTS) (S. Curry 2 AST),"[203471, 201939]",1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Left Center,,,,25.85,Made,6.0,S. Curry,201939.0,2.0,,,,,,,,,,,
45,PT08M42.00S,2025-01-03T03:10:07.8Z,1,REGULAR,3pt,Jump Shot,[],203954,28.991458607095925,77.45098039215686,1610612755,11,4,2025-01-03T03:10:11Z,450000,False,-137.0,220.0,1,left,MISS J. Embiid 25' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Left Center,,,,25.93,Missed,,,,,,,,,,,,,,,
46,PT08M40.00S,2025-01-03T03:10:09.8Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,11,4,2025-01-03T03:10:11Z,460000,False,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,45.0,2.0,2.0,0.0,,,,
47,PT08M22.00S,2025-01-03T03:10:29.2Z,1,REGULAR,3pt,Jump Shot,[],203952,70.77858081471747,13.480392156862745,1610612744,11,4,2025-01-03T03:10:33Z,470000,False,-183.0,222.0,1,right,MISS A. Wiggins 28' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,,,,28.76,Missed,,,,,,,,,,,,,,,
48,PT08M19.00S,2025-01-03T03:10:32.2Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,11,4,2025-01-03T03:10:33Z,480000,False,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,47.0,2.0,2.0,0.0,,,,
51,PT08M12.00S,2025-01-03T03:10:47.2Z,1,REGULAR,foul,offensive,[],202331,,,1610612755,11,4,2025-01-03T03:10:55Z,510000,False,,,0,,P. George charge offensive FOUL (1 PF),"[202331, 203471]",1610612755.0,PHI,charge,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1151.0,,,,,,,1.0,0.0,Schröder,203471.0
53,PT08M12.00S,2025-01-03T03:10:47.2Z,1,REGULAR,turnover,offensive foul,[],202331,,,1610612755,11,4,2025-01-03T03:10:47Z,530000,False,,,0,,P. George offensive foul TURNOVER (2 TO),[202331],1610612755.0,PHI,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,2.0,,,,,,,,,1151.0,,,,,,,,,,
54,PT08M01.00S,2025-01-03T03:11:09.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203952,92.06636005256242,39.950980392156865,1610612744,13,4,2025-01-03T03:56:52Z,540000,False,-50.0,22.0,1,right,A. Wiggins cutting Layup (2 PTS) (T. Jackson-Davis 1 AST),"[203952, 1631218]",1610612744.0,GSW,cutting,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,,,5.48,Made,2.0,T. Jackson-Davis,1631218.0,1.0,,,,,,,,,,,
56,PT07M51.00S,2025-01-03T03:11:23.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,13,4,2025-01-03T03:11:23Z,560000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M40.00S,2025-01-03T03:15:12.3Z,1,REGULAR,foul,personal,['2freethrow'],203952,,,1610612755,13,4,2025-01-03T03:15:20Z,570000,False,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Lowry 2 FT),"[203952, 200768]",1610612744.0,GSW,shooting,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1627529.0,,,,,,,1.0,0.0,Lowry,200768.0
