actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
20,PT10M22.00S,2024-11-26T03:13:18.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630592,97.94678055190539,95.34313725490196,1610612751,2,9,2024-11-26T03:13:28Z,190000,False,227.0,-33.0,1,right,J. Wilson 3PT running (3 PTS) (C. Johnson 1 AST),"[1630592, 1629661]",1610612751.0,BKN,running,,,Wilson,J. Wilson,,,,,Right Corner 3,24+ Right,22.91,Made,,,,3.0,C. Johnson,1629661.0,1.0,,,,,,,,,,,
22,PT10M21.00S,2024-11-26T03:13:29.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,2,9,2024-11-26T03:15:47Z,210000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M08.00S,2024-11-26T03:16:38.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,12.089356110381075,53.09436274509804,1610612744,4,9,2024-11-26T03:16:45Z,220000,False,-15.0,61.0,1,left,A. Wiggins 6' driving Layup (2 PTS),[203952],1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,6.3,Made,,,,2.0,,,,,,,,,,,,,,
24,PT10M08.00S,2024-11-26T03:16:47.1Z,1,REGULAR,foul,personal,['1freethrow'],1630592,,,1610612744,4,9,2024-11-26T03:16:57Z,230000,False,,,0,,J. Wilson shooting personal FOUL (1 PF) (Wiggins 1 FT),"[1630592, 203952]",1610612751.0,BKN,shooting,,,Wilson,J. Wilson,,,,,In The Paint (Non-RA),0-8 Center,,,,200834.0,,,,,,,,1.0,0.0,Wiggins,203952.0,,,,,
26,PT10M08.00S,2024-11-26T03:17:03.4Z,1,REGULAR,freethrow,1 of 1,[],203952,,,1610612744,4,9,2024-11-26T03:17:07Z,250000,False,,,0,,MISS A. Wiggins Free Throw 1 of 1,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
27,PT10M04.00S,2024-11-26T03:17:07.4Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612751,4,9,2024-11-26T03:17:07Z,260000,False,,,0,,Z. Williams REBOUND (Off:0 Def:1),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,26.0,,,,,,,,,,,,,1.0,1.0,0.0,,
28,PT09M48.00S,2024-11-26T03:17:22.4Z,1,REGULAR,2pt,Jump Shot,[],1630560,87.0400788436268,30.637254901960787,1610612751,4,11,2024-11-26T03:19:16Z,270000,False,-97.0,69.0,1,right,C. Thomas 11' step back Jump Shot (5 PTS) (Z. Williams 1 AST),"[1630560, 1630533]",1610612751.0,BKN,step back,,,Thomas,C. Thomas,,,,,Mid-Range,8-16 Left,11.9,Made,,,,5.0,Z. Williams,1630533.0,1.0,,,,,,,,,,,
29,PT09M38.00S,2024-11-26T03:17:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631218,5.831143232588701,44.36274509803921,1610612744,6,11,2024-11-26T03:17:35Z,280000,False,28.0,2.0,1,left,T. Jackson-Davis driving reverse Layup (2 PTS) (L. Waters III 1 AST),"[1631218, 1630322]",1610612744.0,GSW,driving reverse,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,2.83,Made,,,,2.0,L. Waters III,1630322.0,1.0,,,,,,,,,,,
31,PT09M22.00S,2024-11-26T03:17:47.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630592,93.61038107752957,57.35294117647059,1610612751,6,11,2024-11-26T03:18:04Z,300000,False,37.0,8.0,1,right,MISS J. Wilson driving Layup,[1630592],1610612751.0,BKN,driving,,,Wilson,J. Wilson,,,,,Restricted Area,0-8 Center,3.76,Missed,,,,,,,,,,,,,,,,,,
35,PT09M22.00S,2024-11-26T03:17:47.2Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,6,11,2024-11-26T03:18:04Z,315000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,31.0,,,,,,,,,,,,,1.0,1.0,0.0,,
33,PT09M17.00S,2024-11-26T03:17:52.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630322,6.8823915900131425,43.872549019607845,1610612744,8,11,2024-11-26T03:21:19Z,320000,False,31.0,12.0,1,left,L. Waters III running DUNK (4 PTS) (D. Green 2 AST),"[1630322, 203110]",1610612744.0,GSW,running,,,Waters III,L. Waters III,,,,,Restricted Area,0-8 Center,3.29,Made,,,,4.0,D. Green,203110.0,2.0,,,,,,,,,,,
36,PT09M04.00S,2024-11-26T03:18:08.6Z,1,REGULAR,foul,personal,['2freethrow'],1630322,,,1610612751,8,11,2024-11-26T03:59:11Z,340000,False,,,0,,L. Waters III shooting personal FOUL (1 PF) (Thomas 2 FT),"[1630322, 1630560]",1610612744.0,GSW,shooting,,,Waters III,L. Waters III,,,,,Restricted Area,0-8 Center,,,,200834.0,,,,,,,,1.0,0.0,Thomas,1630560.0,,,,,
38,PT09M04.00S,2024-11-26T03:18:41.8Z,1,REGULAR,freethrow,1 of 2,[],1630560,,,1610612751,8,12,2024-11-26T03:18:41Z,360000,False,,,0,,C. Thomas Free Throw 1 of 2 (6 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,Made,,,,6.0,,,,,,,,,,,,,,
39,PT09M04.00S,2024-11-26T03:18:57.0Z,1,REGULAR,freethrow,2 of 2,[],1630560,,,1610612751,8,13,2024-11-26T03:18:57Z,370000,False,,,0,,C. Thomas Free Throw 2 of 2 (7 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,Made,,,,7.0,,,,,,,,,,,,,,
40,PT08M48.00S,2024-11-26T03:19:16.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,11.613009198423129,55.63725490196079,1610612744,8,13,2024-11-26T03:19:21Z,380000,False,-28.0,57.0,1,left,MISS A. Wiggins 6' driving floating Shot,[203952],1610612744.0,GSW,driving floating,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,6.33,Missed,,,,,,,,,,,,,,,,,,
41,PT08M44.00S,2024-11-26T03:19:20.8Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612751,8,13,2024-11-26T03:19:21Z,390000,False,,,0,,Z. Williams REBOUND (Off:0 Def:2),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,40.0,,,,,,,,,,,,,2.0,2.0,0.0,,
42,PT08M39.00S,2024-11-26T03:19:25.4Z,1,REGULAR,3pt,Jump Shot,[],1630592,70.08869908015768,27.205882352941174,1610612751,8,13,2024-11-26T03:19:31Z,400000,False,-114.0,229.0,1,right,MISS J. Wilson 25' 3PT,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Above the Break 3,24+ Left Center,25.55,Missed,,,,,,,,,,,,,,,,,,
43,PT08M34.00S,2024-11-26T03:19:30.4Z,1,REGULAR,rebound,defensive,[],1630322,,,1610612744,8,13,2024-11-26T03:19:31Z,410000,False,,,0,,L. Waters III REBOUND (Off:0 Def:1),[1630322],1610612744.0,GSW,,,,Waters III,L. Waters III,,,,,Above the Break 3,24+ Left Center,,,42.0,,,,,,,,,,,,,1.0,1.0,0.0,,
44,PT08M26.00S,2024-11-26T03:19:37.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,7.013797634691201,54.65686274509804,1610612744,8,13,2024-11-26T03:19:41Z,420000,False,-23.0,13.0,1,left,MISS D. Green driving Layup,[203110],1610612744.0,GSW,driving,,,Green,D. Green,,,,,Restricted Area,0-8 Center,2.69,Missed,,,,,,,,,,,,,,,,,,
45,PT08M23.00S,2024-11-26T03:19:40.5Z,1,REGULAR,rebound,defensive,[],1630592,,,1610612751,8,13,2024-11-26T03:19:41Z,430000,False,,,0,,J. Wilson REBOUND (Off:0 Def:1),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Restricted Area,0-8 Center,,,44.0,,,,,,,,,,,,,1.0,1.0,0.0,,
46,PT08M18.00S,2024-11-26T03:19:45.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630533,93.87319316688567,56.127450980392155,1610612751,8,13,2024-11-26T03:23:52Z,440000,False,31.0,5.0,1,right,MISS Z. Williams driving Layup,[1630533],1610612751.0,BKN,driving,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,3.1,Missed,,,,,,,,,,,,,,,,,,
47,PT08M13.00S,2024-11-26T03:19:50.5Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,8,13,2024-11-26T03:19:51Z,450000,False,,,0,,T. Jackson-Davis REBOUND (Off:0 Def:1),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,,,46.0,,,,,,,,,,,,,1.0,1.0,0.0,,
48,PT08M13.00S,2024-11-26T03:19:51.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630322,27.77595269382391,84.31372549019608,1610612744,11,13,2024-11-26T03:26:15Z,460000,False,-172.0,209.0,1,left,L. Waters III 27' 3PT running pullup (7 PTS) (S. Curry 1 AST),"[1630322, 201939]",1610612744.0,GSW,running pullup,,,Waters III,L. Waters III,,,,,Above the Break 3,24+ Left Center,27.01,Made,,,,7.0,S. Curry,201939.0,1.0,,,,,,,,,,,
50,PT07M54.00S,2024-11-26T03:20:09.4Z,1,REGULAR,3pt,Jump Shot,[],1630592,95.31865965834429,95.34313725490196,1610612751,11,13,2024-11-26T03:20:13Z,480000,False,227.0,-8.0,1,right,MISS J. Wilson 3PT,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Right Corner 3,24+ Right,22.69,Missed,,,,,,,,,,,,,,,,,,
51,PT07M51.00S,2024-11-26T03:20:12.4Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,11,13,2024-11-26T03:20:13Z,490000,False,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Right Corner 3,24+ Right,,,50.0,,,,,,,,,,,,,2.0,2.0,0.0,,
52,PT07M49.00S,2024-11-26T03:20:15.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201939,28.56438896189225,83.33333333333334,1610612744,14,13,2024-11-26T03:27:02Z,500000,False,-167.0,216.0,1,left,S. Curry 27' 3PT running pullup (3 PTS) (D. Green 3 AST),"[201939, 203110]",1610612744.0,GSW,running pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,27.28,Made,,,,3.0,D. Green,203110.0,3.0,,,,,,,,,,,
54,PT07M33.00S,2024-11-26T03:20:30.0Z,1,REGULAR,3pt,Jump Shot,[],203471,70.08869908015768,25.980392156862735,1610612751,14,13,2024-11-26T03:20:37Z,520000,False,-120.0,229.0,1,right,MISS D. Schröder 25' 3PT,[203471],1610612751.0,BKN,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Left Center,25.83,Missed,,,,,,,,,,,,,,,,,,
55,PT07M29.00S,2024-11-26T03:20:34.0Z,1,REGULAR,rebound,defensive,[],1630322,,,1610612744,14,13,2024-11-26T03:21:32Z,530000,False,,,0,,L. Waters III REBOUND (Off:0 Def:2),[1630322],1610612744.0,GSW,,,,Waters III,L. Waters III,,,,,Above the Break 3,24+ Left Center,,,54.0,,,,,,,,,,,,,2.0,2.0,0.0,,
65,PT07M29.00S,2024-11-26T03:20:34.0Z,1,REGULAR,turnover,bad pass,[],1630322,,,1610612744,14,13,2024-11-26T03:21:57Z,535000,False,,,0,,L. Waters III bad pass TURNOVER (1 TO),"[1630322, 203471]",1610612744.0,GSW,,,,Waters III,L. Waters III,,,,,In The Paint (Non-RA),8-16 Center,,,,,1.0,,,,,Schröder,203471.0,,,,,,,,,
66,PT07M29.00S,2024-11-26T03:20:34.0Z,1,REGULAR,steal,,[],203471,,,1610612751,14,13,2024-11-26T03:21:48Z,537500,False,,,0,,D. Schröder STEAL (1 STL),[203471],1610612751.0,BKN,,,,Schröder,D. Schröder,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
56,PT07M26.00S,2024-11-26T03:20:38.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630533,94.26741130091985,48.0392156862745,1610612751,14,15,2024-11-26T03:21:48Z,540000,False,-10.0,1.0,1,right,Z. Williams alley-oop DUNK (2 PTS) (D. Schröder 1 AST),"[1630533, 203471]",1610612751.0,BKN,alley-oop,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,0.99,Made,,,,2.0,D. Schröder,203471.0,1.0,,,,,,,,,,,
58,PT07M11.00S,2024-11-26T03:20:52.1Z,1,REGULAR,3pt,Jump Shot,[],203110,27.513140604467807,86.02941176470588,1610612744,14,15,2024-11-26T03:20:56Z,560000,False,-180.0,206.0,1,left,MISS D. Green 27' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,27.37,Missed,,,,,,,,,,,,,,,,,,
59,PT07M08.00S,2024-11-26T03:20:55.1Z,1,REGULAR,rebound,defensive,[],203471,,,1610612751,14,15,2024-11-26T03:20:56Z,570000,False,,,0,,D. Schröder REBOUND (Off:0 Def:1),[203471],1610612751.0,BKN,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Left Center,,,58.0,,,,,,,,,,,,,1.0,1.0,0.0,,
60,PT06M58.00S,2024-11-26T03:21:10.4Z,1,REGULAR,foul,personal,[],203110,,,1610612751,14,15,2024-11-26T03:21:17Z,580000,False,,,0,,D. Green personal FOUL (1 PF),"[203110, 1630560]",1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,202037.0,,,,,,,,1.0,0.0,Thomas,1630560.0,,,,,
62,PT06M58.00S,2024-11-26T03:21:29.5Z,1,REGULAR,substitution,out,[],1631218,,,1610612751,14,15,2024-11-26T03:21:37Z,600000,False,,,0,,SUB out: T. Jackson-Davis,[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M58.00S,2024-11-26T03:21:29.5Z,1,REGULAR,substitution,in,[],203937,,,1610612751,14,15,2024-11-26T03:21:37Z,610000,False,,,0,,SUB in: K. Anderson,[203937],1610612744.0,GSW,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M58.00S,2024-11-26T03:21:29.5Z,1,REGULAR,substitution,out,[],203471,,,1610612751,14,15,2024-11-26T03:22:27Z,615000,False,,,0,,SUB out: D. Schröder,[203471],1610612751.0,BKN,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M58.00S,2024-11-26T03:21:29.5Z,1,REGULAR,substitution,in,[],1629003,,,1610612751,14,15,2024-11-26T03:22:27Z,617500,False,,,0,,SUB in: S. Milton,[1629003],1610612751.0,BKN,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M53.00S,2024-11-26T03:21:43.3Z,1,REGULAR,turnover,traveling,[],1630560,,,1610612751,14,15,2024-11-26T03:28:48Z,620000,False,,,0,,C. Thomas traveling TURNOVER (1 TO),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Mid-Range,16-24 Right Center,,,,200834.0,1.0,,,,,,,,,,,,,,,
67,PT06M36.00S,2024-11-26T03:22:11.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203952,29.352825229960573,78.67647058823529,1610612744,14,15,2024-11-26T04:00:44Z,630000,False,-143.0,223.0,1,left,MISS A. Wiggins 26' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,26.55,Missed,,,,,,,,,,,,,,,,,,
85,PT06M36.00S,2024-11-26T03:22:11.0Z,1,REGULAR,rebound,defensive,[],1630560,,,1610612751,14,15,2024-11-26T04:00:44Z,645000,False,,,0,,C. Thomas REBOUND (Off:0 Def:1),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Left Center,,,67.0,,,,,,,,,,,,,1.0,1.0,0.0,,
71,PT06M22.00S,2024-11-26T03:22:32.1Z,1,REGULAR,3pt,Jump Shot,[],1630533,70.87713534822602,75.24509803921569,1610612751,14,18,2024-11-26T03:32:55Z,650000,False,126.0,221.0,1,right,Z. Williams 25' 3PT  (5 PTS) (J. Wilson 1 AST),"[1630533, 1630592]",1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Right Center,25.48,Made,,,,5.0,J. Wilson,1630592.0,1.0,,,,,,,,,,,
73,PT06M01.00S,2024-11-26T03:22:45.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203110,16.475032851511173,49.754901960784316,1610612744,14,18,2024-11-26T03:22:56Z,670000,False,1.0,102.0,1,left,MISS D. Green 10' driving floating Shot,[203110],1610612744.0,GSW,driving floating,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Center,10.24,Missed,,,,,,,,,,,,,,,,,,
75,PT06M01.00S,2024-11-26T03:22:45.4Z,1,REGULAR,rebound,defensive,[],1630560,,,1610612751,14,18,2024-11-26T03:22:56Z,680000,False,,,0,,C. Thomas REBOUND (Off:0 Def:2),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),8-16 Center,,,73.0,,,,,,,,,,,,,2.0,2.0,0.0,,
76,PT05M52.00S,2024-11-26T03:23:00.9Z,1,REGULAR,3pt,Jump Shot,[],1630592,74.03088042049934,86.76470588235294,1610612751,14,18,2024-11-26T03:40:37Z,690000,False,184.0,192.0,1,right,MISS J. Wilson 26' 3PT,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Above the Break 3,24+ Right Center,26.55,Missed,,,,,,,,,,,,,,,,,,
77,PT05M50.00S,2024-11-26T03:23:02.9Z,1,REGULAR,rebound,offensive,[],1629661,,,1610612751,14,18,2024-11-26T03:40:37Z,700000,False,,,0,,C. Johnson REBOUND (Off:1 Def:0),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,,,76.0,,,,,,,,,,,,,1.0,0.0,1.0,,
81,PT05M43.00S,2024-11-26T03:23:03.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629661,91.37647831800263,53.431372549019606,1610612751,14,18,2024-11-26T03:42:14Z,705000,False,17.0,29.0,1,right,MISS C. Johnson putback Layup,[1629661],1610612751.0,BKN,putback,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,3.34,Missed,,,,,,,,,,,,,,,,,,
82,PT05M41.00S,2024-11-26T03:23:05.7Z,1,REGULAR,rebound,offensive,[],1629661,,,1610612751,14,18,2024-11-26T03:25:14Z,707500,False,,,0,,C. Johnson REBOUND (Off:2 Def:0),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,81.0,,,,,,,,,,,,,2.0,0.0,2.0,,
78,PT05M40.00S,2024-11-26T03:23:06.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629661,84.1491458607096,51.71568627450981,1610612751,14,20,2024-11-26T03:42:25Z,710000,False,9.0,96.0,1,right,C. Johnson 9' tip Layup (5 PTS),[1629661],1610612751.0,BKN,tip,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),8-16 Center,9.69,Made,,,,5.0,,,,,,,,,,,,,,
79,PT05M30.00S,2024-11-26T03:23:16.2Z,1,REGULAR,3pt,Jump Shot,[],201939,29.09001314060447,83.33333333333334,1610612744,17,20,2024-11-26T03:42:57Z,720000,False,-167.0,221.0,1,left,S. Curry 27' 3PT  (6 PTS) (K. Anderson 1 AST),"[201939, 203937]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,27.67,Made,,,,6.0,K. Anderson,203937.0,1.0,,,,,,,,,,,
83,PT05M26.00S,2024-11-26T03:25:20.3Z,1,REGULAR,timeout,full,['team'],0,,,1610612751,17,20,2024-11-26T03:25:20Z,740000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M26.00S,2024-11-26T03:26:03.0Z,1,REGULAR,substitution,out,[],1630322,,,1610612751,17,20,2024-11-26T03:26:26Z,760000,False,,,0,,SUB out: L. Waters III,[1630322],1610612744.0,GSW,,,,Waters III,L. Waters III,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M26.00S,2024-11-26T03:26:03.0Z,1,REGULAR,substitution,out,[],203952,,,1610612751,17,20,2024-11-26T03:26:26Z,770000,False,,,0,,SUB out: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M26.00S,2024-11-26T03:26:03.0Z,1,REGULAR,substitution,out,[],1629661,,,1610612751,17,20,2024-11-26T03:26:26Z,780000,False,,,0,,SUB out: C. Johnson,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M26.00S,2024-11-26T03:26:03.0Z,1,REGULAR,substitution,in,[],1630541,,,1610612751,17,20,2024-11-26T03:26:26Z,790000,False,,,0,,SUB in: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M26.00S,2024-11-26T03:26:03.0Z,1,REGULAR,substitution,in,[],1627741,,,1610612751,17,20,2024-11-26T03:26:26Z,800000,False,,,0,,SUB in: B. Hield,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M26.00S,2024-11-26T03:26:03.0Z,1,REGULAR,substitution,in,[],1630553,,,1610612751,17,20,2024-11-26T03:26:26Z,810000,False,,,0,,SUB in: K. Johnson,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
