actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
20,PT09M57.00S,2025-01-05T01:46:28.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627741,25.57490144546649,10.784313725490197,1610612744,12,2,2025-01-05T01:46:42Z,200000,False,196.0,188.0,1,left,B. Hield 27' 3PT pullup (3 PTS) (D. Schröder 1 AST),"[1627741, 203471]",1610612744.0,GSW,pullup,,,Hield,B. Hield,,,,,Above the Break 3,24+ Right Center,27.16,Made,3.0,,,,D. Schröder,203471.0,1.0,,,,,,,,,,,
22,PT09M41.00S,2025-01-05T01:46:44.7Z,1,REGULAR,3pt,Jump Shot,[],1630217,93.24901445466492,3.9215686274509802,1610612763,12,2,2025-01-05T01:46:50Z,220000,False,-230.0,11.0,1,right,MISS D. Bane 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Left Corner 3,24+ Left,23.07,Missed,,,,,,,,,,,,,,,,,,
23,PT09M35.00S,2025-01-05T01:46:50.7Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612744,12,2,2025-01-05T01:46:50Z,230000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Left Corner 3,24+ Left,,,,,,,,,,22.0,,1.0,1.0,0.0,,,,,,
24,PT09M29.00S,2025-01-05T01:46:59.2Z,1,REGULAR,foul,offensive,[],1627741,,,1610612744,12,2,2025-01-05T01:47:06Z,240000,False,,,0,,B. Hield offensive FOUL (1 PF),"[1627741, 1630590]",1610612744.0,GSW,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,,,,,,,,,,,202007.0,,,,1.0,0.0,Pippen Jr.,1630590.0,,
26,PT09M29.00S,2025-01-05T01:46:59.2Z,1,REGULAR,turnover,offensive foul,[],1627741,,,1610612744,12,2,2025-01-05T01:46:59Z,260000,False,,,0,,B. Hield offensive foul TURNOVER (1 TO),[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,,,,1.0,,,,,,,202007.0,,,,,,,,,
27,PT09M17.00S,2025-01-05T01:47:24.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628991,82.7365308804205,48.529411764705884,1610612763,12,2,2025-01-05T01:48:24Z,270000,False,-7.0,110.0,1,right,MISS J. Jackson Jr. 11' driving floating Shot,[1628991],1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Center,11.0,Missed,,,,,,,,,,,,,,,,,,
28,PT09M14.00S,2025-01-05T01:47:27.3Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,12,2,2025-01-05T01:47:48Z,280000,False,,,0,,T. Jackson-Davis REBOUND (Off:0 Def:1),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,27.0,,1.0,1.0,0.0,,,,,,
29,PT09M00.00S,2025-01-05T01:47:40.3Z,1,REGULAR,3pt,Jump Shot,[],203952,27.808804204993432,14.460784313725492,1610612744,12,2,2025-01-05T01:48:57Z,290000,False,178.0,209.0,1,left,MISS A. Wiggins 27' pullup 3PT,[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,27.43,Missed,,,,,,,,,,,,,,,,,,
30,PT08M57.00S,2025-01-05T01:47:43.3Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,12,2,2025-01-05T01:47:44Z,300000,False,,,0,,Z. Edey REBOUND (Off:0 Def:1),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,29.0,,1.0,1.0,0.0,,,,,,
31,PT08M49.00S,2025-01-05T01:47:51.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630590,90.14454664914587,61.78768382352941,1610612763,12,2,2025-01-05T01:53:12Z,310000,False,59.0,40.0,1,right,MISS S. Pippen Jr. 7' driving Layup,[1630590],1610612763.0,MEM,driving,,,Pippen Jr.,S. Pippen Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.13,Missed,,,,,,,,,,,,,,,,,,
32,PT08M47.00S,2025-01-05T01:47:53.4Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,12,2,2025-01-05T01:47:58Z,320000,False,,,0,,T. Jackson-Davis REBOUND (Off:0 Def:2),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Mid-Range,8-16 Right,,,,,,,,,,31.0,,2.0,2.0,0.0,,,,,,
33,PT08M43.00S,2025-01-05T01:47:59.9Z,1,REGULAR,turnover,traveling,[],1627741,,,1610612744,12,2,2025-01-05T01:48:07Z,330000,False,,,0,,B. Hield traveling TURNOVER (2 TO),[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Left Corner 3,24+ Left,,,,2.0,,,,,,,202007.0,,,,,,,,,
34,PT08M35.00S,2025-01-05T01:48:24.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630590,80.02628120893561,91.44454656862744,1610612763,12,5,2025-01-05T01:48:29Z,340000,False,207.0,135.0,1,right,S. Pippen Jr. 24' 3PT  (3 PTS) (J. Wells 1 AST),"[1630590, 1642377]",1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Above the Break 3,24+ Right Center,24.75,Made,3.0,,,,J. Wells,1642377.0,1.0,,,,,,,,,,,
36,PT08M12.00S,2025-01-05T01:48:47.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,11.645860709592641,47.05882352941176,1610612744,12,5,2025-01-05T01:48:49Z,360000,False,15.0,57.0,1,left,MISS A. Wiggins driving floating Shot,[203952],1610612744.0,GSW,driving floating,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,5.89,Missed,,,,,,,,,,,,,,,,,,
37,PT08M10.00S,2025-01-05T01:48:49.2Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,12,5,2025-01-05T01:48:49Z,370000,False,,,0,,Z. Edey REBOUND (Off:0 Def:2),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,36.0,,2.0,2.0,0.0,,,,,,
38,PT08M06.00S,2025-01-05T01:48:53.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630217,89.04402102496715,41.911764705882355,1610612763,12,5,2025-01-05T01:51:39Z,380000,False,-40.0,50.0,1,right,MISS D. Bane 6' driving floating bank Shot,[1630217],1610612763.0,MEM,driving floating bank,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,6.47,Missed,,,,,,,,,,,,,,,,,,
39,PT08M03.00S,2025-01-05T01:48:56.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,12,5,2025-01-05T02:19:30Z,390000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,38.0,,,,,,,,,,
46,PT08M03.00S,2025-01-05T01:49:05.1Z,1,REGULAR,turnover,illegal assist,[],1641744,,,1610612763,12,5,2025-01-05T02:33:56Z,395000,False,,,0,,Z. Edey illegal assist TURNOVER (1 TO),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,,,,1.0,,,,,,,202007.0,,,,,,,,,
42,PT07M51.00S,2025-01-05T01:49:28.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203471,16.245072273324574,23.03921568627451,1610612744,12,5,2025-01-05T01:55:44Z,420000,False,135.0,100.0,1,left,MISS D. Schröder 16' pullup Shot,[203471],1610612744.0,GSW,pullup,,,Schröder,D. Schröder,,,,,Mid-Range,16-24 Right Center,16.8,Missed,,,,,,,,,,,,,,,,,,
43,PT07M47.00S,2025-01-05T01:49:32.5Z,1,REGULAR,rebound,offensive,[],1627741,,,1610612744,12,5,2025-01-05T01:49:32Z,430000,False,,,0,,B. Hield REBOUND (Off:1 Def:1),[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,42.0,,2.0,1.0,1.0,,,,,,
44,PT07M47.00S,2025-01-05T01:49:32.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1627741,5.590000152587891,50.0,1610612744,12,5,2025-01-05T02:06:25Z,440000,False,0.0,0.0,1,left,MISS B. Hield tip Layup,[1627741],1610612744.0,GSW,tip,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
45,PT07M46.00S,2025-01-05T01:49:33.5Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,12,5,2025-01-05T02:06:25Z,450000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,44.0,,1.0,1.0,0.0,,,,,,
47,PT07M38.00S,2025-01-05T01:49:40.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,92.32917214191852,41.66666666666667,1610612763,12,7,2025-01-05T01:49:51Z,460000,False,-42.0,20.0,1,right,D. Bane driving Layup (4 PTS) (S. Pippen Jr. 1 AST),"[1630217, 1630590]",1610612763.0,MEM,driving,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,4.61,Made,4.0,,,,S. Pippen Jr.,1630590.0,1.0,,,,,,,,,,,
48,PT07M32.00S,2025-01-05T01:49:47.1Z,1,REGULAR,3pt,Jump Shot,[],203952,24.917871222076215,85.5392156862745,1610612744,12,7,2025-01-05T01:49:54Z,470000,False,-178.0,182.0,1,left,MISS A. Wiggins 25' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,25.41,Missed,,,,,,,,,,,,,,,,,,
49,PT07M32.00S,2025-01-05T01:49:47.1Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,12,7,2025-01-05T01:49:54Z,480000,False,,,0,,Z. Edey REBOUND (Off:0 Def:3),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,48.0,,3.0,3.0,0.0,,,,,,
50,PT07M23.00S,2025-01-05T01:49:55.8Z,1,REGULAR,3pt,Jump Shot,[],1630590,67.09921156373193,63.48039215686274,1610612763,12,10,2025-01-05T02:00:52Z,490000,False,67.0,257.0,1,right,S. Pippen Jr. 26' 3PT  (6 PTS) (D. Bane 1 AST),"[1630590, 1630217]",1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Above the Break 3,24+ Center,26.55,Made,6.0,,,,D. Bane,1630217.0,1.0,,,,,,,,,,,
52,PT07M22.00S,2025-01-05T01:50:01.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,12,10,2025-01-05T01:50:01Z,510000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M04.00S,2025-01-05T01:53:20.6Z,1,REGULAR,3pt,Jump Shot,[],203110,33.44489159001314,23.06219362745098,1610612744,15,10,2025-01-05T01:53:32Z,520000,False,135.0,262.0,1,left,D. Green 29' 3PT  (6 PTS) (B. Hield 1 AST),"[203110, 1627741]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,29.45,Made,6.0,,,,B. Hield,1627741.0,1.0,,,,,,,,,,,
57,PT06M41.00S,2025-01-05T01:53:44.0Z,1,REGULAR,3pt,Jump Shot,[],1642377,73.27529566360053,88.23529411764706,1610612763,15,10,2025-01-05T02:01:40Z,540000,False,191.0,199.0,1,right,MISS J. Wells 27' step back 3PT,[1642377],1610612763.0,MEM,step back,,,Wells,J. Wells,,,,,Above the Break 3,24+ Right Center,27.58,Missed,,,,,,,,,,,,,,,,,,
58,PT06M37.00S,2025-01-05T01:53:48.0Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,15,10,2025-01-05T01:53:48Z,550000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,57.0,,1.0,1.0,0.0,,,,,,
59,PT06M27.00S,2025-01-05T01:53:57.7Z,1,REGULAR,turnover,lost ball,[],203952,,,1610612744,15,10,2025-01-05T01:54:01Z,560000,False,,,0,,A. Wiggins lost ball TURNOVER (1 TO),"[203952, 1630217]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,,,,1.0,Bane,1630217.0,,,,,,,,,,,,,,
60,PT06M27.00S,2025-01-05T01:53:57.7Z,1,REGULAR,steal,,[],1630217,,,1610612763,15,10,2025-01-05T01:53:59Z,570000,False,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
61,PT06M25.00S,2025-01-05T01:53:59.9Z,1,REGULAR,turnover,bad pass,[],1630217,,,1610612763,15,10,2025-01-05T01:54:03Z,580000,False,,,0,,D. Bane bad pass TURNOVER (1 TO),"[1630217, 203952]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,,,,1.0,Wiggins,203952.0,,,,,,,,,,,,,,
62,PT06M25.00S,2025-01-05T01:53:59.9Z,1,REGULAR,steal,,[],203952,,,1610612744,15,10,2025-01-05T01:54:01Z,590000,False,,,0,,A. Wiggins STEAL (1 STL),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
63,PT06M22.00S,2025-01-05T01:54:06.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631218,9.067017082785808,54.92493872549019,1610612744,15,10,2025-01-05T02:03:34Z,600000,False,-25.0,33.0,1,left,MISS T. Jackson-Davis cutting Layup,[1631218],1610612744.0,GSW,cutting,,,Jackson-Davis,T. Jackson-Davis,,,,,Restricted Area,0-8 Center,4.09,Missed,,,,,,,,,,,,,,,,,,
64,PT06M22.00S,2025-01-05T01:54:06.9Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,15,10,2025-01-05T01:55:20Z,610000,False,,,0,,Z. Edey REBOUND (Off:0 Def:4),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,,,,,,,,,,63.0,,4.0,4.0,0.0,,,,,,
65,PT06M22.00S,2025-01-05T01:54:15.1Z,1,REGULAR,turnover,traveling,[],1641744,,,1610612763,15,10,2025-01-05T01:55:22Z,620000,False,,,0,,Z. Edey traveling TURNOVER (2 TO),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),0-8 Center,,,,2.0,,,,,,,202007.0,,,,,,,,,
66,PT06M22.00S,2025-01-05T01:54:23.0Z,1,REGULAR,substitution,out,[],1631218,,,1610612744,15,10,2025-01-05T01:54:46Z,630000,False,,,0,,SUB out: T. Jackson-Davis,[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M22.00S,2025-01-05T01:54:23.0Z,1,REGULAR,substitution,out,[],1641744,,,1610612744,15,10,2025-01-05T01:54:46Z,640000,False,,,0,,SUB out: Z. Edey,[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M22.00S,2025-01-05T01:54:23.0Z,1,REGULAR,substitution,out,[],1628991,,,1610612744,15,10,2025-01-05T01:54:46Z,650000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M22.00S,2025-01-05T01:54:23.0Z,1,REGULAR,substitution,out,[],1630590,,,1610612744,15,10,2025-01-05T01:54:46Z,660000,False,,,0,,SUB out: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M22.00S,2025-01-05T01:54:23.0Z,1,REGULAR,substitution,in,[],1630228,,,1610612744,15,10,2025-01-05T01:54:46Z,670000,False,,,0,,SUB in: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M22.00S,2025-01-05T01:54:23.0Z,1,REGULAR,substitution,in,[],1630643,,,1610612744,15,10,2025-01-05T01:54:46Z,680000,False,,,0,,SUB in: J. Huff,[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M22.00S,2025-01-05T01:54:23.0Z,1,REGULAR,substitution,in,[],1629634,,,1610612744,15,10,2025-01-05T01:54:46Z,690000,False,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M22.00S,2025-01-05T01:54:23.0Z,1,REGULAR,substitution,in,[],1631222,,,1610612744,15,10,2025-01-05T01:54:46Z,700000,False,,,0,,SUB in: J. LaRavia,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M12.00S,2025-01-05T01:54:47.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627741,32.53942181340342,64.4607843137255,1610612744,15,10,2025-01-05T01:54:53Z,710000,False,-72.0,253.0,1,left,MISS B. Hield 26' pullup 3PT - blocked,"[1627741, 1630217]",1610612744.0,GSW,pullup,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,26.35,Missed,,,,,,,,,,,,,,,,,Bane,1630217.0
75,PT06M12.00S,2025-01-05T01:54:47.1Z,1,REGULAR,block,,[],1630217,,,1610612744,15,10,2025-01-05T01:54:49Z,720000,False,,,0,,D. Bane BLOCK (1 BLK),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
76,PT06M09.00S,2025-01-05T01:54:50.1Z,1,REGULAR,rebound,defensive,[],1631222,,,1610612763,15,10,2025-01-05T01:54:53Z,730000,False,,,0,,J. LaRavia REBOUND (Off:0 Def:1),[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Center,,,,,,,,,,74.0,,1.0,1.0,0.0,,,,,,
77,PT06M04.00S,2025-01-05T01:54:59.0Z,1,REGULAR,turnover,double dribble,[],1631222,,,1610612763,15,10,2025-01-05T01:55:05Z,740000,False,,,0,,J. LaRavia double dribble TURNOVER (1 TO),[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,Mid-Range,8-16 Left,,,,1.0,,,,,,,1629178.0,,,,,,,,,
78,PT05M39.00S,2025-01-05T01:55:30.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203471,37.13863337713535,62.768075980392155,1610612744,15,10,2025-01-05T01:55:37Z,750000,False,-64.0,297.0,1,left,MISS D. Schröder 30' 3PT,[203471],1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Center,30.34,Missed,,,,,,,,,,,,,,,,,,
79,PT05M35.00S,2025-01-05T01:55:34.5Z,1,REGULAR,rebound,defensive,[],1629634,,,1610612763,15,10,2025-01-05T01:55:37Z,760000,False,,,0,,B. Clarke REBOUND (Off:0 Def:1),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,Above the Break 3,24+ Center,,,,,,,,,,78.0,,1.0,1.0,0.0,,,,,,
80,PT05M24.00S,2025-01-05T01:55:45.6Z,1,REGULAR,turnover,bad pass,[],1631222,,,1610612763,15,10,2025-01-05T01:55:50Z,770000,False,,,0,,J. LaRavia bad pass TURNOVER (2 TO),"[1631222, 203110]",1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,In The Paint (Non-RA),0-8 Center,,,,2.0,Green,203110.0,,,,,,,,,,,,,,
81,PT05M24.00S,2025-01-05T01:55:45.6Z,1,REGULAR,steal,,[],203110,,,1610612744,15,10,2025-01-05T02:15:11Z,780000,False,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
82,PT05M22.00S,2025-01-05T01:55:53.8Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,15,10,2025-01-05T01:56:00Z,790000,False,,,0,,D. Green lost ball out-of-bounds TURNOVER (1 TO),[203110],1610612744.0,GSW,lost ball,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,,,,1.0,,,,,,,1629178.0,,,,,,,,,
83,PT05M14.00S,2025-01-05T01:56:12.5Z,1,REGULAR,turnover,traveling,[],1630217,,,1610612763,15,10,2025-01-05T01:56:16Z,800000,False,,,0,,D. Bane traveling TURNOVER (2 TO),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Center,,,,2.0,,,,,,,1629178.0,,,,,,,,,
