actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
72,PT06M19.00S,2026-02-04T00:53:49.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629008,93.24901445466492,50.49019607843137,1610612751,11,19,2026-02-04T00:53:55Z,720000,False,2.0,11.0,1,right,M. Porter Jr. putback DUNK (6 PTS),[1629008],1610612751.0,BKN,putback,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,1.13,Made,6.0,,,,,,,,,,,,,,,
73,PT06M12.00S,2026-02-04T00:54:03.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,10.200394218134035,46.81372549019608,1610612747,11,21,2026-02-04T00:54:23Z,730000,False,16.0,43.0,1,left,L. James turnaround Jump Shot (4 PTS),[2544],1610612747.0,LAL,turnaround,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,4.62,Made,4.0,,,,,,,,,,,,,,,
74,PT06M12.00S,2026-02-04T00:54:06.0Z,1,REGULAR,foul,personal,['1freethrow'],1630533,,,1610612747,11,21,2026-02-04T00:54:12Z,740000,False,,,0,,Z. Williams shooting personal FOUL (1 PF) (James 1 FT),"[1630533, 2544]",1610612751.0,BKN,shooting,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202007.0,1.0,0.0,James,2544.0,,,,,,,
76,PT06M12.00S,2026-02-04T00:54:13.4Z,1,REGULAR,substitution,out,[],1642856,,,1610612747,11,21,2026-02-04T00:54:33Z,760000,False,,,0,,SUB out: E. Dëmin,[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M12.00S,2026-02-04T00:54:13.4Z,1,REGULAR,substitution,in,[],1642879,,,1610612747,11,21,2026-02-04T00:54:33Z,770000,False,,,0,,SUB in: B. Saraf,[1642879],1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M12.00S,2026-02-04T00:54:32.3Z,1,REGULAR,freethrow,1 of 1,[],2544,,,1610612747,11,21,2026-02-04T00:54:36Z,780000,False,,,0,,MISS L. James Free Throw 1 of 1,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Missed,,,,,,,,,,,,,,,,
79,PT06M10.00S,2026-02-04T00:54:34.3Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,11,21,2026-02-04T00:54:36Z,790000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,78.0,1.0,1.0,0.0,,,
80,PT05M57.00S,2026-02-04T00:54:45.9Z,1,REGULAR,3pt,Jump Shot,[],1629008,73.9323258869908,13.480392156862745,1610612751,11,21,2026-02-04T00:54:50Z,800000,False,-183.0,193.0,1,right,MISS M. Porter Jr. 26' 3PT,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,26.53,Missed,,,,,,,,,,,,,,,,
81,PT05M53.00S,2026-02-04T00:54:49.9Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,11,21,2026-02-04T00:54:50Z,810000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,80.0,1.0,1.0,0.0,,,
82,PT05M50.00S,2026-02-04T00:54:53.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],2544,41.869250985545335,50.245098039215684,1610612747,11,21,2026-02-04T01:06:31Z,820000,False,-1.0,341.0,1,left,MISS L. James 34' running pullup 3PT,[2544],1610612747.0,LAL,running pullup,,,James,L. James,,,,,Above the Break 3,24+ Center,34.11,Missed,,,,,,,,,,,,,,,,
