actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT10M57.00S,2026-03-20T23:42:09.6Z,1,REGULAR,turnover,double dribble,[],1642849,,,1610612751,0,0,2026-03-20T23:42:15Z,190000,False,,,0,,N. Traore double dribble TURNOVER (2 TO),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Above the Break 3,24+ Left Center,2.0,,,,,,,,,,,202049.0,,,,,,,,
20,PT10M52.00S,2026-03-20T23:42:23.1Z,1,REGULAR,turnover,out-of-bounds,[],1626157,,,1610612752,0,0,2026-03-20T23:44:03Z,200000,False,,,0,,K. Towns bad pass out-of-bounds TURNOVER (1 TO),[1626157],1610612752.0,NYK,bad pass,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,,,202049.0,,,,,,,,
21,PT10M41.00S,2026-03-20T23:42:42.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630533,88.12417871222075,4.411764705882353,1610612751,0,0,2026-03-20T23:42:49Z,210000,False,-228.0,59.0,1,right,MISS Z. Williams 3PT,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Left Corner 3,24+ Left,,,,23.54,Missed,,,,,,,,,,,,,,,
22,PT10M37.00S,2026-03-20T23:42:46.1Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,0,0,2026-03-20T23:42:46Z,220000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,
23,PT10M24.00S,2026-03-20T23:42:59.7Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612752,0,0,2026-03-20T23:44:11Z,230000,False,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 1642849]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Left Center,1.0,Traore,1642849.0,,,,,,,,,,,,,,,,,
24,PT10M24.00S,2026-03-20T23:42:59.7Z,1,REGULAR,steal,,[],1642849,,,1610612751,0,0,2026-03-20T23:43:23Z,240000,False,,,0,,N. Traore STEAL (1 STL),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
25,PT10M18.00S,2026-03-20T23:43:05.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642849,87.86136662286465,49.754901960784316,1610612751,2,0,2026-03-20T23:43:10Z,250000,False,-1.0,62.0,1,right,N. Traore 6' running pullup Jump Shot (2 PTS),[1642849],1610612751.0,BKN,running pullup,,,Traore,N. Traore,,,,,In The Paint (Non-RA),0-8 Center,,,,6.16,Made,,,,,,,,2.0,,,,,,,
26,PT10M01.00S,2026-03-20T23:43:22.0Z,1,REGULAR,3pt,Jump Shot,[],1629013,25.18068331143233,16.911764705882355,1610612752,2,3,2026-03-20T23:43:26Z,260000,False,165.0,184.0,1,left,L. Shamet 24' 3PT  (3 PTS) (M. Bridges 1 AST),"[1629013, 1628969]",1610612752.0,NYK,,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Right Center,,,,24.76,Made,,,,,,,,3.0,M. Bridges,1628969.0,1.0,,,,
28,PT09M37.00S,2026-03-20T23:43:57.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630533,89.17542706964521,41.911764705882355,1610612751,2,3,2026-03-20T23:44:20Z,280000,False,-40.0,49.0,1,right,MISS Z. Williams 6' driving floating Shot,[1630533],1610612751.0,BKN,driving floating,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,6.37,Missed,,,,,,,,,,,,,,,
29,PT09M37.00S,2026-03-20T23:44:00.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,2,3,2026-03-20T23:44:00Z,290000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,28.0,,,,,,,,,,,,,,
31,PT09M20.00S,2026-03-20T23:44:20.2Z,1,REGULAR,2pt,Jump Shot,[],1628973,27.020367936925098,63.23529411764706,1610612752,2,3,2026-03-20T23:44:44Z,310000,False,-66.0,201.0,1,left,MISS J. Brunson 21' step back Shot,[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Left Center,,,,21.21,Missed,,,,,,,,,,,,,,,
32,PT09M17.00S,2026-03-20T23:44:23.2Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,2,3,2026-03-20T23:44:26Z,320000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Left Center,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,
33,PT09M05.00S,2026-03-20T23:44:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,94.56307490144546,52.69607843137255,1610612751,4,3,2026-03-20T23:44:40Z,330000,False,13.0,-1.0,1,right,N. Claxton Layup (2 PTS) (D. Powell 1 AST),"[1629651, 1642962]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,1.36,Made,,,,,,,,2.0,D. Powell,1642962.0,1.0,,,,
35,PT08M47.00S,2026-03-20T23:44:53.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,8.360709592641262,55.14705882352941,1610612752,4,3,2026-03-20T23:44:57Z,350000,False,-26.0,26.0,1,left,MISS M. Bridges cutting Layup,[1628969],1610612752.0,NYK,cutting,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,3.66,Missed,,,,,,,,,,,,,,,
36,PT08M45.00S,2026-03-20T23:44:55.3Z,1,REGULAR,rebound,defensive,[],1642874,,,1610612751,4,3,2026-03-20T23:44:57Z,360000,False,,,0,,D. Wolf REBOUND (Off:0 Def:2),[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,Restricted Area,0-8 Center,,,,,,35.0,2.0,2.0,0.0,,,,,,,,,,,
37,PT08M38.00S,2026-03-20T23:45:01.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642962,87.20433639947439,39.46078431372549,1610612751,4,3,2026-03-20T23:45:06Z,370000,False,-53.0,68.0,1,right,MISS D. Powell 8' driving floating bank Shot,[1642962],1610612751.0,BKN,driving floating bank,,,Powell,D. Powell,,,,,In The Paint (Non-RA),8-16 Left,,,,8.59,Missed,,,,,,,,,,,,,,,
38,PT08M36.00S,2026-03-20T23:45:03.3Z,1,REGULAR,rebound,offensive,[],1642962,,,1610612751,4,3,2026-03-20T23:45:06Z,380000,False,,,0,,D. Powell REBOUND (Off:1 Def:0),[1642962],1610612751.0,BKN,,,,Powell,D. Powell,,,,,In The Paint (Non-RA),8-16 Left,,,,,,37.0,1.0,0.0,1.0,,,,,,,,,,,
39,PT08M35.00S,2026-03-20T23:45:04.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1642962,86.28449408672799,49.01960784313725,1610612751,6,3,2026-03-20T23:45:27Z,390000,False,-5.0,76.0,1,right,D. Powell 7' floating Jump Shot (2 PTS),[1642962],1610612751.0,BKN,floating,,,Powell,D. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,7.66,Made,,,,,,,,2.0,,,,,,,
40,PT08M17.00S,2026-03-20T23:45:25.7Z,1,REGULAR,foul,personal,[],1642962,,,1610612752,6,3,2026-03-20T23:45:38Z,400000,False,,,0,,D. Powell personal FOUL (1 PF),"[1642962, 1628973]",1610612751.0,BKN,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,202007.0,,,,,1.0,0.0,Brunson,1628973.0
42,PT08M06.00S,2026-03-20T23:45:51.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,18.478975032851512,44.36274509803921,1610612752,6,3,2026-03-20T23:45:58Z,420000,False,28.0,121.0,1,left,MISS K. Towns 12' floating Shot,[1626157],1610612752.0,NYK,floating,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,,12.44,Missed,,,,,,,,,,,,,,,
43,PT08M04.00S,2026-03-20T23:45:53.5Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612752,6,3,2026-03-20T23:45:58Z,430000,False,,,0,,K. Towns REBOUND (Off:2 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,,,,42.0,3.0,1.0,2.0,,,,,,,,,,,
44,PT08M03.00S,2026-03-20T23:45:55.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626157,7.046649145860711,47.549019607843135,1610612752,6,3,2026-03-20T23:46:00Z,440000,False,12.0,14.0,1,left,MISS K. Towns putback Layup,[1626157],1610612752.0,NYK,putback,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,1.84,Missed,,,,,,,,,,,,,,,
45,PT08M00.00S,2026-03-20T23:45:58.3Z,1,REGULAR,rebound,defensive,[],1642874,,,1610612751,6,3,2026-03-20T23:46:00Z,450000,False,,,0,,D. Wolf REBOUND (Off:0 Def:3),[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,Restricted Area,0-8 Center,,,,,,44.0,3.0,3.0,0.0,,,,,,,,,,,
46,PT07M56.00S,2026-03-20T23:46:02.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642849,93.64323258869908,54.90196078431373,1610612751,6,3,2026-03-20T23:46:07Z,460000,False,25.0,7.0,1,right,MISS N. Traore running Layup,[1642849],1610612751.0,BKN,running,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,,,,2.56,Missed,,,,,,,,,,,,,,,
47,PT07M53.00S,2026-03-20T23:46:05.2Z,1,REGULAR,rebound,offensive,[],1630533,,,1610612751,6,3,2026-03-20T23:46:05Z,470000,False,,,0,,Z. Williams REBOUND (Off:1 Def:0),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,,,,,,46.0,1.0,0.0,1.0,,,,,,,,,,,
48,PT07M51.00S,2026-03-20T23:46:06.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642874,72.22404730617609,78.43137254901961,1610612751,9,3,2026-03-20T23:46:12Z,480000,False,142.0,209.0,1,right,D. Wolf 25' 3PT  (3 PTS) (Z. Williams 1 AST),"[1642874, 1630533]",1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,Above the Break 3,24+ Right Center,,,,25.25,Made,,,,,,,,3.0,Z. Williams,1630533.0,1.0,,,,
50,PT07M51.00S,2026-03-20T23:46:12.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,9,3,2026-03-20T23:46:12Z,500000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M40.00S,2026-03-20T23:49:21.5Z,1,REGULAR,2pt,Jump Shot,[],1628969,18.478975032851512,32.84313725490196,1610612752,9,5,2026-03-20T23:49:27Z,510000,False,86.0,121.0,1,left,M. Bridges 14' pullup Jump Shot (2 PTS),[1628969],1610612752.0,NYK,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,,,,14.85,Made,,,,,,,,2.0,,,,,,,
52,PT07M17.00S,2026-03-20T23:49:42.8Z,1,REGULAR,3pt,Jump Shot,[],1642962,84.31340341655716,4.901960784313726,1610612751,9,5,2026-03-20T23:49:47Z,520000,False,-225.0,95.0,1,right,MISS D. Powell 24' 3PT,[1642962],1610612751.0,BKN,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Left Center,,,,24.47,Missed,,,,,,,,,,,,,,,
53,PT07M14.00S,2026-03-20T23:49:45.8Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,9,5,2026-03-20T23:49:47Z,530000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,
54,PT07M02.00S,2026-03-20T23:50:04.7Z,1,REGULAR,turnover,3-second-violation,[],1626157,,,1610612752,9,5,2026-03-20T23:50:14Z,540000,False,,,0,,K. Towns 3-second-violation TURNOVER (2 TO),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,2.0,,,,,,,,,,,202049.0,,,,,,,,
55,PT06M54.00S,2026-03-20T23:50:30.0Z,1,REGULAR,foul,personal,[],1626157,,,1610612751,9,5,2026-03-20T23:50:58Z,550000,False,,,0,,K. Towns personal FOUL (1 PF),"[1626157, 1629651]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,202049.0,,,,,1.0,0.0,Claxton,1629651.0
57,PT06M49.00S,2026-03-20T23:51:01.1Z,1,REGULAR,turnover,bad pass,[],1629651,,,1610612751,9,5,2026-03-20T23:51:08Z,570000,False,,,0,,N. Claxton bad pass TURNOVER (1 TO),"[1629651, 1628384]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Left Center,1.0,Anunoby,1628384.0,,,,,,,,,,,,,,,,,
58,PT06M49.00S,2026-03-20T23:51:01.1Z,1,REGULAR,steal,,[],1628384,,,1610612752,9,5,2026-03-20T23:51:03Z,580000,False,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
59,PT06M44.00S,2026-03-20T23:51:07.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628384,9.411957950065702,53.18627450980392,1610612752,9,5,2026-03-20T23:51:46Z,590000,False,-16.0,36.0,1,left,MISS O. Anunoby running Layup - blocked,"[1628384, 1642849]",1610612752.0,NYK,running,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,3.94,Missed,,,,,Traore,1642849.0,,,,,,,,,
60,PT06M44.00S,2026-03-20T23:51:07.2Z,1,REGULAR,block,,[],1642849,,,1610612752,9,5,2026-03-20T23:51:09Z,600000,False,,,0,,N. Traore BLOCK (2 BLK),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
64,PT06M39.00S,2026-03-20T23:51:12.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,9,5,2026-03-20T23:51:46Z,610000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,,,,59.0,,,,,,,,,,,,,,
61,PT06M39.00S,2026-03-20T23:51:44.3Z,1,REGULAR,jumpball,recovered,[],1629013,,,1610612752,9,5,2026-03-20T23:51:44Z,620000,False,,,0,,Jump Ball O. Anunoby vs. N. Traore: Tip to L. Shamet,"[1629013, 1628384, 1642849]",1610612752.0,NYK,heldball,L. Shamet,1629013.0,Shamet,L. Shamet,Anunoby,1628384.0,Traore,1642849.0,,,,,,,,,,,,,,,,,,,,,,
65,PT06M33.00S,2026-03-20T23:51:54.3Z,1,REGULAR,foul,personal,[],1630533,,,1610612752,9,5,2026-03-20T23:52:14Z,650000,False,,,0,,Z. Williams personal FOUL (1 PF),"[1630533, 1629013]",1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,202007.0,,,,,1.0,0.0,Shamet,1629013.0
67,PT06M27.00S,2026-03-20T23:52:24.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629013,23.99802890932983,86.76470588235294,1610612752,9,5,2026-03-20T23:52:28Z,670000,False,-184.0,173.0,1,left,MISS L. Shamet 25' pullup 3PT,[1629013],1610612752.0,NYK,pullup,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Left Center,,,,25.25,Missed,,,,,,,,,,,,,,,
68,PT06M24.00S,2026-03-20T23:52:27.2Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,9,5,2026-03-20T23:52:28Z,680000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,,,,67.0,2.0,2.0,0.0,,,,,,,,,,,
69,PT06M19.00S,2026-03-20T23:52:32.0Z,1,REGULAR,turnover,lost ball,[],1629651,,,1610612751,9,5,2026-03-20T23:52:36Z,690000,False,,,0,,N. Claxton lost ball TURNOVER (2 TO),"[1629651, 1626157]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,2.0,Towns,1626157.0,,,,,,,,,,,,,,,,,
70,PT06M19.00S,2026-03-20T23:52:32.0Z,1,REGULAR,steal,,[],1626157,,,1610612752,9,5,2026-03-20T23:52:33Z,700000,False,,,0,,K. Towns STEAL (1 STL),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
71,PT06M16.00S,2026-03-20T23:52:38.3Z,1,REGULAR,foul,personal,['2freethrow'],1642849,,,1610612752,9,5,2026-03-20T23:52:48Z,710000,False,,,0,,N. Traore shooting personal FOUL (1 PF) (Bridges 2 FT),"[1642849, 1628969]",1610612751.0,BKN,shooting,,,Traore,N. Traore,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1628171.0,,,,,1.0,0.0,Bridges,1628969.0
73,PT06M16.00S,2026-03-20T23:53:14.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1628969,,,1610612752,9,6,2026-03-20T23:53:14Z,730000,False,,,0,,M. Bridges Free Throw 1 of 2 (3 PTS),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,,,,,,,Made,,,,,,,,3.0,,,,,,,
74,PT06M16.00S,2026-03-20T23:53:15.0Z,1,REGULAR,substitution,out,[],1628384,,,1610612752,9,6,2026-03-20T23:53:25Z,740000,False,,,0,,SUB out: O. Anunoby,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M16.00S,2026-03-20T23:53:15.0Z,1,REGULAR,substitution,out,[],1626157,,,1610612752,9,6,2026-03-20T23:53:25Z,750000,False,,,0,,SUB out: K. Towns,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M16.00S,2026-03-20T23:53:15.0Z,1,REGULAR,substitution,out,[],1629013,,,1610612752,9,6,2026-03-20T23:53:25Z,760000,False,,,0,,SUB out: L. Shamet,[1629013],1610612752.0,NYK,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M16.00S,2026-03-20T23:53:15.0Z,1,REGULAR,substitution,in,[],203903,,,1610612752,9,6,2026-03-20T23:53:25Z,770000,False,,,0,,SUB in: J. Clarkson,[203903],1610612752.0,NYK,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M16.00S,2026-03-20T23:53:15.0Z,1,REGULAR,substitution,in,[],1629011,,,1610612752,9,6,2026-03-20T23:53:25Z,780000,False,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M16.00S,2026-03-20T23:53:15.0Z,1,REGULAR,substitution,in,[],1642885,,,1610612752,9,6,2026-03-20T23:53:25Z,790000,False,,,0,,SUB in: M. Diawara,[1642885],1610612752.0,NYK,,,,Diawara,M. Diawara,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M16.00S,2026-03-20T23:53:41.8Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1628969,,,1610612752,9,7,2026-03-20T23:53:41Z,800000,False,,,0,,M. Bridges Free Throw 2 of 2 (4 PTS),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,,,,,,,Made,,,,,,,,4.0,,,,,,,
81,PT05M57.00S,2026-03-20T23:54:03.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642849,93.38042049934296,54.90196078431373,1610612751,9,7,2026-03-20T23:54:43Z,810000,False,25.0,10.0,1,right,MISS N. Traore driving finger roll Layup,[1642849],1610612751.0,BKN,driving finger roll,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,,,,2.64,Missed,,,,,,,,,,,,,,,
82,PT05M55.00S,2026-03-20T23:54:05.2Z,1,REGULAR,rebound,defensive,[],1642885,,,1610612752,9,7,2026-03-20T23:54:08Z,820000,False,,,0,,M. Diawara REBOUND (Off:0 Def:1),[1642885],1610612752.0,NYK,,,,Diawara,M. Diawara,,,,,Restricted Area,0-8 Center,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,,,
