actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
21,PT10M26.00S,2025-11-19T00:43:09.9Z,1,REGULAR,block,,[],1629674,,,1610612751,3,4,2025-11-19T00:43:13Z,210000,False,,,0,,N. Queta BLOCK (1 BLK),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M25.00S,2025-11-19T00:43:10.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,3,4,2025-11-19T00:48:41Z,220000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,20.0,,,,,,,,
22,PT10M25.00S,2025-11-19T00:43:33.8Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,3,4,2025-11-19T00:48:15Z,230000,False,,,0,,Jump Ball N. Queta vs. N. Claxton: Tip to J. Brown,"[1627759, 1629674, 1629651]",1610612738.0,BOS,heldball,J. Brown,1627759.0,Brown,J. Brown,Queta,1629674.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
26,PT10M16.00S,2025-11-19T00:43:37.0Z,1,REGULAR,3pt,Jump Shot,[],1627759,28.728646517739815,72.79411764705883,1610612738,3,4,2025-11-19T00:43:41Z,260000,False,-114.0,218.0,1,left,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,24.56,Missed,,,,,,,,,,,,,
27,PT10M13.00S,2025-11-19T00:43:40.0Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,3,4,2025-11-19T00:43:41Z,270000,False,,,0,,N. Clowney REBOUND (Off:0 Def:1),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,
28,PT09M59.00S,2025-11-19T00:43:54.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,92.85479632063075,49.754901960784316,1610612751,3,4,2025-11-19T00:44:17Z,280000,False,-1.0,15.0,1,right,MISS N. Claxton Layup - blocked,"[1629651, 1629674]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,1.47,Missed,,,,,,,,,,Queta,1629674.0,,
29,PT09M59.00S,2025-11-19T00:43:54.5Z,1,REGULAR,block,,[],1629674,,,1610612751,3,4,2025-11-19T00:43:56Z,290000,False,,,0,,N. Queta BLOCK (2 BLK),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT09M59.00S,2025-11-19T00:43:54.5Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,3,4,2025-11-19T00:44:17Z,300000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,28.0,1.0,0.0,1.0,,,,,
31,PT09M59.00S,2025-11-19T00:43:59.3Z,1,REGULAR,foul,personal,['2freethrow'],1629674,,,1610612751,3,4,2025-11-19T00:44:19Z,310000,False,,,0,,N. Queta shooting personal FOUL (1 PF) (Claxton 2 FT),"[1629674, 1629651]",1610612738.0,BOS,shooting,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,200834.0,1.0,0.0,Claxton,1629651.0,,,,,,,,,,,,,,,
33,PT09M59.00S,2025-11-19T00:44:26.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629651,,,1610612751,4,4,2025-11-19T00:44:51Z,330000,False,,,0,,N. Claxton Free Throw 1 of 2 (1 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
34,PT09M59.00S,2025-11-19T00:44:26.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629651,,,1610612751,4,4,2025-11-19T00:44:51Z,340000,False,,,0,,MISS N. Claxton Free Throw 2 of 2,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
35,PT09M55.00S,2025-11-19T00:44:30.3Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,4,4,2025-11-19T00:44:51Z,350000,False,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,34.0,2.0,2.0,0.0,,,,,
36,PT09M52.00S,2025-11-19T00:44:51.3Z,1,REGULAR,foul,personal,[],1641730,,,1610612738,4,4,2025-11-19T00:45:15Z,360000,False,,,0,,N. Clowney personal FOUL (1 PF),"[1641730, 1629674]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Mid-Range,16-24 Center,1628951.0,1.0,0.0,Queta,1629674.0,,,,,,,,,,,,,,,
38,PT09M43.00S,2025-11-19T00:45:23.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629674,9.806176084099869,51.225490196078425,1610612738,4,4,2025-11-19T00:45:28Z,380000,False,-6.0,40.0,1,left,MISS N. Queta Hook - blocked,"[1629674, 1629651]",1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,4.02,Missed,,,,,,,,,,Claxton,1629651.0,,
39,PT09M43.00S,2025-11-19T00:45:23.0Z,1,REGULAR,block,,[],1629651,,,1610612738,4,4,2025-11-19T00:45:25Z,390000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
40,PT09M39.00S,2025-11-19T00:45:27.0Z,1,REGULAR,rebound,defensive,[],1642856,,,1610612751,4,4,2025-11-19T00:45:28Z,400000,False,,,0,,E. Dëmin REBOUND (Off:0 Def:1),[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,
41,PT09M33.00S,2025-11-19T00:45:33.1Z,1,REGULAR,3pt,Jump Shot,[],1629611,93.9060446780552,4.901960784313726,1610612751,4,4,2025-11-19T00:45:37Z,410000,False,-225.0,5.0,1,right,MISS T. Mann 3PT,[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,Left Corner 3,24+ Left,,,,,,22.56,Missed,,,,,,,,,,,,,
42,PT09M29.00S,2025-11-19T00:45:37.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,4,4,2025-11-19T00:45:37Z,420000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,41.0,1.0,1.0,0.0,,,,,
43,PT09M21.00S,2025-11-19T00:45:44.3Z,1,REGULAR,3pt,Jump Shot,[],1628401,10.33180026281209,4.166666666666666,1610612738,4,4,2025-11-19T00:45:49Z,430000,False,229.0,45.0,1,left,MISS D. White 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,,,,,,23.35,Missed,,,,,,,,,,,,,
44,PT09M18.00S,2025-11-19T00:45:47.3Z,1,REGULAR,rebound,defensive,[],1642856,,,1610612751,4,4,2025-11-19T00:45:49Z,440000,False,,,0,,E. Dëmin REBOUND (Off:0 Def:2),[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,43.0,2.0,2.0,0.0,,,,,
45,PT09M15.00S,2025-11-19T00:45:50.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641730,71.69842312746385,19.362745098039216,1610612751,7,4,2025-11-19T00:45:55Z,450000,False,-153.0,214.0,1,right,N. Clowney 26' 3PT running (3 PTS) (E. Dëmin 1 AST),"[1641730, 1642856]",1610612751.0,BKN,running,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,,,,,,26.28,Made,3.0,E. Dëmin,1642856.0,1.0,,,,,,,,,
82,PT09M05.00S,2025-11-19T00:45:59.1Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,7,4,2025-11-19T00:52:00Z,480000,False,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 1641730]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,,,Clowney,1641730.0
83,PT09M05.00S,2025-11-19T00:45:59.1Z,1,REGULAR,steal,,[],1641730,,,1610612751,7,4,2025-11-19T00:52:00Z,490000,False,,,0,,N. Clowney STEAL (1 STL),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
50,PT08M59.00S,2025-11-19T00:46:07.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1641730,69.85873850197109,26.96078431372549,1610612751,10,4,2025-11-19T00:52:00Z,500000,False,-115.0,231.0,1,right,N. Clowney 25' 3PT running pullup (6 PTS) (M. Porter Jr. 1 AST),"[1641730, 1629008]",1610612751.0,BKN,running pullup,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,,,,,,25.8,Made,6.0,M. Porter Jr.,1629008.0,1.0,,,,,,,,,
51,PT08M57.00S,2025-11-19T00:46:12.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,10,4,2025-11-19T00:46:12Z,510000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M45.00S,2025-11-19T00:49:26.4Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,10,4,2025-11-19T00:49:34Z,520000,False,,,0,,J. Brown bad pass TURNOVER (2 TO),"[1627759, 1642856]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,2.0,,,Dëmin,1642856.0
53,PT08M45.00S,2025-11-19T00:49:26.4Z,1,REGULAR,steal,,[],1642856,,,1610612751,10,4,2025-11-19T00:49:29Z,530000,False,,,0,,E. Dëmin STEAL (1 STL),[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
54,PT08M41.00S,2025-11-19T00:49:30.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642856,93.64323258869908,52.20588235294118,1610612751,10,4,2025-11-19T00:49:37Z,540000,False,11.0,7.0,1,right,MISS E. Dëmin running Layup,[1642856],1610612751.0,BKN,running,,,Dëmin,E. Dëmin,,,,,Restricted Area,0-8 Center,,,,,,1.32,Missed,,,,,,,,,,,,,
55,PT08M39.00S,2025-11-19T00:49:32.6Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,10,4,2025-11-19T00:49:32Z,550000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:2),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,54.0,2.0,2.0,0.0,,,,,
56,PT08M34.00S,2025-11-19T00:49:37.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630202,30.436925098554536,23.03921568627451,1610612738,10,4,2025-11-19T00:50:02Z,560000,False,135.0,234.0,1,left,MISS P. Pritchard 26' running 3PT,[1630202],1610612738.0,BOS,running,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Right Center,,,,,,26.97,Missed,,,,,,,,,,,,,
57,PT08M31.00S,2025-11-19T00:49:40.2Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,10,4,2025-11-19T00:49:42Z,570000,False,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,56.0,2.0,1.0,1.0,,,,,
58,PT08M26.00S,2025-11-19T00:49:46.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642856,97.45400788436268,97.05882352941177,1610612751,13,4,2025-11-19T00:53:16Z,580000,False,235.0,-29.0,1,right,E. Dëmin 3PT running (3 PTS) (T. Mann 2 AST),"[1642856, 1629611]",1610612751.0,BKN,running,,,Dëmin,E. Dëmin,,,,,Right Corner 3,24+ Right,,,,,,23.7,Made,3.0,T. Mann,1629611.0,2.0,,,,,,,,,
60,PT08M08.00S,2025-11-19T00:50:03.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,12.565703022339028,39.950980392156865,1610612738,13,4,2025-11-19T00:50:09Z,600000,False,50.0,66.0,1,left,MISS D. White 8' driving bank Shot,[1628401],1610612738.0,BOS,driving bank,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Right,,,,,,8.26,Missed,,,,,,,,,,,,,
61,PT08M04.00S,2025-11-19T00:50:07.1Z,1,REGULAR,rebound,offensive,[],1629674,,,1610612738,13,4,2025-11-19T00:50:07Z,610000,False,,,0,,N. Queta REBOUND (Off:1 Def:0),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,60.0,1.0,0.0,1.0,,,,,
62,PT08M04.00S,2025-11-19T00:50:07.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629674,5.590000152587891,50.0,1610612738,13,6,2025-11-19T00:50:07Z,620000,False,0.0,0.0,1,left,N. Queta tip Layup (2 PTS),[1629674],1610612738.0,BOS,tip,,,Queta,N. Queta,,,,,Mid-Range,8-16 Left,,,,,,0.0,Made,2.0,,,,,,,,,,,,
63,PT07M48.00S,2025-11-19T00:50:22.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641730,94.82588699080158,64.95098039215686,1610612751,13,6,2025-11-19T00:50:26Z,630000,False,75.0,-4.0,1,right,MISS N. Clowney 7' Hook,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,7.49,Missed,,,,,,,,,,,,,
64,PT07M46.00S,2025-11-19T00:50:24.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,13,6,2025-11-19T00:50:26Z,640000,False,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,63.0,2.0,2.0,0.0,,,,,
65,PT07M39.00S,2025-11-19T00:50:32.7Z,1,REGULAR,3pt,Jump Shot,[],1630202,32.40801576872536,35.78431372549019,1610612738,13,9,2025-11-19T00:50:36Z,650000,False,71.0,252.0,1,left,P. Pritchard 26' 3PT  (3 PTS) (J. Brown 1 AST),"[1630202, 1627759]",1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,,,,,,26.19,Made,3.0,J. Brown,1627759.0,1.0,,,,,,,,,
67,PT07M31.00S,2025-11-19T00:50:42.7Z,1,REGULAR,foul,personal,[],1628401,,,1610612751,13,9,2025-11-19T00:50:49Z,670000,False,,,0,,D. White personal FOUL (2 PF),"[1628401, 1642856]",1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Left Center,200834.0,2.0,0.0,Dëmin,1642856.0,,,,,,,,,,,,,,,
70,PT07M31.00S,2025-11-19T00:50:51.3Z,1,REGULAR,substitution,out,[],1629674,,,1610612751,13,9,2025-11-19T00:50:59Z,690000,False,,,0,,SUB out: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M31.00S,2025-11-19T00:50:51.3Z,1,REGULAR,substitution,out,[],1628401,,,1610612751,13,9,2025-11-19T00:50:59Z,700000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M31.00S,2025-11-19T00:50:51.3Z,1,REGULAR,substitution,in,[],1629014,,,1610612751,13,9,2025-11-19T00:50:59Z,710000,False,,,0,,SUB in: A. Simons,[1629014],1610612738.0,BOS,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT07M31.00S,2025-11-19T00:50:51.3Z,1,REGULAR,substitution,in,[],1630568,,,1610612751,13,9,2025-11-19T00:50:59Z,720000,False,,,0,,SUB in: L. Garza,[1630568],1610612738.0,BOS,,,,Garza,L. Garza,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT07M23.00S,2025-11-19T00:51:13.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629008,80.6340341655716,58.82352941176471,1610612751,13,9,2025-11-19T00:51:17Z,730000,False,44.0,130.0,1,right,MISS M. Porter Jr. 13' pullup Shot,[1629008],1610612751.0,BKN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,13.68,Missed,,,,,,,,,,,,,
75,PT07M20.00S,2025-11-19T00:51:15.7Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,13,9,2025-11-19T00:51:15Z,740000,False,,,0,,N. Claxton REBOUND (Off:2 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,74.0,3.0,1.0,2.0,,,,,
76,PT07M18.00S,2025-11-19T00:51:17.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629611,94.03745072273325,51.470588235294116,1610612751,15,9,2025-11-19T00:51:23Z,750000,False,7.0,4.0,1,right,T. Mann cutting DUNK (2 PTS) (N. Claxton 1 AST),"[1629611, 1629651]",1610612751.0,BKN,cutting,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,,,,,,0.82,Made,2.0,N. Claxton,1629651.0,1.0,,,,,,,,,
78,PT07M06.00S,2025-11-19T00:51:29.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,25.312089356110377,83.08823529411765,1610612738,15,9,2025-11-19T00:54:24Z,770000,False,-165.0,185.0,1,left,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,24.85,Missed,,,,,,,,,,,,,
79,PT07M06.00S,2025-11-19T00:51:29.4Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,15,9,2025-11-19T00:54:24Z,780000,False,,,0,,N. Claxton REBOUND (Off:2 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,78.0,4.0,2.0,2.0,,,,,
80,PT06M55.00S,2025-11-19T00:51:42.4Z,1,REGULAR,foul,personal,['2freethrow'],1630568,,,1610612751,15,9,2025-11-19T00:51:56Z,790000,False,,,0,,L. Garza shooting personal FOUL (1 PF) (Mann 2 FT),"[1630568, 1629611]",1610612738.0,BOS,shooting,,,Garza,L. Garza,,,,,Restricted Area,0-8 Center,1627526.0,1.0,0.0,Mann,1629611.0,,,,,,,,,,,,,,,
84,PT06M55.00S,2025-11-19T00:52:13.6Z,1,REGULAR,freethrow,1 of 2,[],1629611,,,1610612751,16,9,2025-11-19T00:52:38Z,810000,False,,,0,,T. Mann Free Throw 1 of 2 (3 PTS),[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
85,PT06M55.00S,2025-11-19T00:52:15.3Z,1,REGULAR,substitution,out,[],1641775,,,1610612751,16,9,2025-11-19T00:52:20Z,820000,False,,,0,,SUB out: J. Walsh,[1641775],1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M55.00S,2025-11-19T00:52:15.3Z,1,REGULAR,substitution,in,[],1630573,,,1610612751,16,9,2025-11-19T00:52:20Z,830000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M55.00S,2025-11-19T00:52:13.6Z,1,REGULAR,freethrow,2 of 2,[],1629611,,,1610612751,16,9,2025-11-19T00:52:38Z,840000,False,,,0,,MISS T. Mann Free Throw 2 of 2,[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
88,PT06M52.00S,2025-11-19T00:52:16.6Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,16,9,2025-11-19T00:52:38Z,850000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,87.0,1.0,1.0,0.0,,,,,
