actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
29,PT08M46.00S,2025-11-25T00:46:48.7Z,1,REGULAR,foul,personal,['2freethrow'],1628969,,,1610612751,4,7,2025-11-25T00:46:56Z,270000,False,,,0,,M. Bridges shooting personal FOUL (1 PF) (Claxton 2 FT),"[1628969, 1629651]",1610612752.0,NYK,shooting,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202007.0,1.0,1.0,,,,Claxton,1629651.0,,,,,
31,PT08M46.00S,2025-11-25T00:47:16.4Z,1,REGULAR,freethrow,1 of 2,[],1629651,,,1610612751,5,7,2025-11-25T00:47:16Z,290000,False,,,0,,N. Claxton Free Throw 1 of 2 (1 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
32,PT08M46.00S,2025-11-25T00:47:36.2Z,1,REGULAR,freethrow,2 of 2,[],1629651,,,1610612751,6,7,2025-11-25T00:47:36Z,300000,False,,,0,,N. Claxton Free Throw 2 of 2 (2 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
33,PT08M32.00S,2025-11-25T00:47:51.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630540,7.703679369250986,41.911764705882355,1610612752,6,7,2025-11-25T00:47:59Z,310000,False,40.0,20.0,1,left,MISS M. McBride driving Layup,[1630540],1610612752.0,NYK,driving,,,McBride,M. McBride,,,,,In The Paint (Non-RA),0-8 Center,4.5,Missed,,,,,,,,,,,,,,,,,,
34,PT08M30.00S,2025-11-25T00:47:53.7Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,6,7,2025-11-25T00:47:59Z,320000,False,,,0,,N. Clowney REBOUND (Off:0 Def:1),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,
35,PT08M21.00S,2025-11-25T00:48:01.9Z,1,REGULAR,3pt,Jump Shot,[],1629611,72.09264126149803,18.627450980392158,1610612751,9,7,2025-11-25T00:48:06Z,330000,False,-157.0,210.0,1,right,T. Mann 26' 3PT  (3 PTS) (E. Dëmin 1 AST),"[1629611, 1642856]",1610612751.0,BKN,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,26.2,Made,,,,,3.0,,,,E. Dëmin,1642856.0,1.0,,,,,,,
37,PT07M59.00S,2025-11-25T00:48:25.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,6.521024967148489,61.76470588235294,1610612752,9,7,2025-11-25T00:48:29Z,350000,False,-59.0,9.0,1,left,MISS K. Towns driving Layup - blocked,"[1626157, 1629651]",1610612752.0,NYK,driving,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,5.95,Missed,,,,,,,,,,,,,,Claxton,1629651.0,,,
38,PT07M59.00S,2025-11-25T00:48:25.3Z,1,REGULAR,block,,[],1629651,,,1610612752,9,7,2025-11-25T00:48:27Z,360000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
39,PT07M59.00S,2025-11-25T00:48:25.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,9,7,2025-11-25T00:48:29Z,370000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,37.0,,,,,,,,,,,,,,,,,
41,PT07M55.00S,2025-11-25T00:48:49.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628973,20.844283837056505,90.93137254901961,1610612752,9,7,2025-11-25T00:50:08Z,390000,False,-205.0,143.0,1,left,MISS J. Brunson 24' step back 3PT,[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,24.99,Missed,,,,,,,,,,,,,,,,,,
