actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
33,PT09M50.00S,2025-10-24T23:47:27.0Z,1,REGULAR,freethrow,1 of 2,[],1630596,,,1610612739,0,5,2025-10-24T23:47:27Z,330000,False,,,0,,E. Mobley Free Throw 1 of 2 (5 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,Made,,,,,5.0,,,,,,,,,
34,PT09M50.00S,2025-10-24T23:47:47.1Z,1,REGULAR,freethrow,2 of 2,[],1630596,,,1610612739,0,6,2025-10-24T23:47:47Z,340000,False,,,0,,E. Mobley Free Throw 2 of 2 (6 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,Made,,,,,6.0,,,,,,,,,
36,PT09M33.00S,2025-10-24T23:48:08.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629008,17.559132720105126,61.76470588235294,1610612751,2,6,2025-10-24T23:48:15Z,350000,False,-59.0,113.0,1,left,M. Porter Jr. 12' fadeaway Jump Shot (2 PTS),[1629008],1610612751.0,BKN,fadeaway,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,12.7,Made,,,,,2.0,,,,,,,,,
37,PT09M19.00S,2025-10-24T23:48:21.0Z,1,REGULAR,3pt,Jump Shot,[],1630241,67.88764783180025,69.36274509803921,1610612739,2,9,2025-10-24T23:48:26Z,360000,False,97.0,249.0,1,right,S. Merrill 26' 3PT step back (3 PTS) (J. Tyson 1 AST),"[1630241, 1642281]",1610612739.0,CLE,step back,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Right Center,,,,,26.75,Made,,,,,3.0,J. Tyson,1642281.0,1.0,,,,,,
39,PT09M02.00S,2025-10-24T23:48:38.3Z,1,REGULAR,3pt,Jump Shot,[],1629008,26.757555847568987,79.90196078431373,1610612751,5,9,2025-10-24T23:48:42Z,380000,False,-150.0,199.0,1,left,M. Porter Jr. 24' 3PT  (5 PTS) (T. Mann 1 AST),"[1629008, 1629611]",1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,24.89,Made,,,,,5.0,T. Mann,1629611.0,1.0,,,,,,
41,PT08M47.00S,2025-10-24T23:48:53.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628378,87.59855453350855,48.77450980392157,1610612739,5,9,2025-10-24T23:54:07Z,400000,False,-6.0,64.0,1,right,MISS D. Mitchell 6' driving Hook,[1628378],1610612739.0,CLE,driving,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,6.44,Missed,,,,,,,,,,,,,,
42,PT08M43.00S,2025-10-24T23:48:57.4Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,5,9,2025-10-24T23:54:07Z,410000,False,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,41.0,2.0,1.0,1.0,,,,,,,,,,
43,PT08M36.00S,2025-10-24T23:49:04.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,5.206964520367937,51.470588235294116,1610612751,7,9,2025-10-24T23:49:19Z,420000,False,-7.0,-4.0,1,left,N. Claxton alley-oop DUNK (2 PTS) (C. Thomas 1 AST),"[1629651, 1630560]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,0.82,Made,,,,,2.0,C. Thomas,1630560.0,1.0,,,,,,
45,PT08M21.00S,2025-10-24T23:49:18.5Z,1,REGULAR,2pt,Jump Shot,[],1628378,76.5604467805519,72.79411764705883,1610612739,7,11,2025-10-24T23:56:43Z,440000,False,114.0,168.0,1,right,D. Mitchell 20' step back Jump Shot (2 PTS) (S. Merrill 1 AST),"[1628378, 1630241]",1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Right Center,,,,,20.29,Made,,,,,2.0,S. Merrill,1630241.0,1.0,,,,,,
46,PT08M05.00S,2025-10-24T23:49:35.5Z,1,REGULAR,turnover,bad pass,[],1642879,,,1610612751,7,11,2025-10-24T23:49:40Z,450000,False,,,0,,B. Saraf bad pass TURNOVER (1 TO),"[1642879, 1628378]",1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,Mid-Range,8-16 Right,1.0,Mitchell,1628378.0,,,,,,,,,,,,,,,,,
47,PT08M05.00S,2025-10-24T23:49:35.5Z,1,REGULAR,steal,,[],1628378,,,1610612739,7,11,2025-10-24T23:49:38Z,460000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
48,PT08M01.00S,2025-10-24T23:49:39.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642281,93.64323258869908,54.90196078431373,1610612739,7,13,2025-10-24T23:49:44Z,470000,False,25.0,7.0,1,right,J. Tyson running alley-oop DUNK (2 PTS) (D. Mitchell 2 AST),"[1642281, 1628378]",1610612739.0,CLE,running alley-oop,,,Tyson,J. Tyson,,,,,Restricted Area,0-8 Center,,,,,2.56,Made,,,,,2.0,D. Mitchell,1628378.0,2.0,,,,,,
50,PT07M53.00S,2025-10-24T23:49:47.8Z,1,REGULAR,turnover,bad pass,[],1630560,,,1610612751,7,13,2025-10-24T23:49:52Z,490000,False,,,0,,C. Thomas bad pass TURNOVER (2 TO),"[1630560, 1642281]",1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Mid-Range,16-24 Center,2.0,Tyson,1642281.0,,,,,,,,,,,,,,,,,
51,PT07M53.00S,2025-10-24T23:49:47.8Z,1,REGULAR,steal,,[],1642281,,,1610612739,7,13,2025-10-24T23:49:50Z,500000,False,,,0,,J. Tyson STEAL (2 STL),[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
52,PT07M48.00S,2025-10-24T23:49:52.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630241,72.7496714848883,18.38235294117647,1610612739,7,16,2025-10-24T23:49:56Z,510000,False,-158.0,204.0,1,right,S. Merrill 25' 3PT  (6 PTS) (D. Mitchell 3 AST),"[1630241, 1628378]",1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Left Center,,,,,25.79,Made,,,,,6.0,D. Mitchell,1628378.0,3.0,,,,,,
54,PT07M48.00S,2025-10-24T23:49:56.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,7,16,2025-10-24T23:49:56Z,530000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M38.00S,2025-10-24T23:53:08.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,8.886333771353483,57.84313725490197,1610612751,7,16,2025-10-24T23:53:16Z,540000,False,-39.0,31.0,1,left,MISS N. Claxton driving Hook,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,5.0,Missed,,,,,,,,,,,,,,
56,PT07M36.00S,2025-10-24T23:53:10.1Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,7,16,2025-10-24T23:53:16Z,550000,False,,,0,,E. Mobley REBOUND (Off:0 Def:3),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,55.0,3.0,3.0,0.0,,,,,,,,,,
57,PT07M27.00S,2025-10-24T23:53:19.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,88.64980289093299,52.69607843137255,1610612739,7,18,2025-10-24T23:53:23Z,560000,False,13.0,54.0,1,right,J. Allen Hook (2 PTS) (S. Merrill 2 AST),"[1628386, 1630241]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,5.59,Made,,,,,2.0,S. Merrill,1630241.0,2.0,,,,,,
59,PT07M11.00S,2025-10-24T23:53:35.1Z,1,REGULAR,3pt,Jump Shot,[],1630560,29.38567674113009,74.75490196078431,1610612751,7,18,2025-10-24T23:53:40Z,580000,False,-124.0,224.0,1,left,MISS C. Thomas 25' pullup 3PT,[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Left Center,,,,,25.57,Missed,,,,,,,,,,,,,,
60,PT07M07.00S,2025-10-24T23:53:39.1Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,7,18,2025-10-24T23:53:40Z,590000,False,,,0,,E. Mobley REBOUND (Off:0 Def:4),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Left Center,,,,,,,59.0,4.0,4.0,0.0,,,,,,,,,,
61,PT07M02.00S,2025-10-24T23:53:43.6Z,1,REGULAR,3pt,Jump Shot,[],1642281,70.38436268068331,76.9607843137255,1610612739,7,18,2025-10-24T23:53:50Z,600000,False,135.0,226.0,1,right,MISS J. Tyson 26' 3PT,[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Above the Break 3,24+ Right Center,,,,,26.31,Missed,,,,,,,,,,,,,,
62,PT07M00.00S,2025-10-24T23:53:45.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,7,18,2025-10-24T23:53:50Z,610000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,61.0,,,,,,,,,,,,,
64,PT07M00.00S,2025-10-24T23:53:50.8Z,1,REGULAR,substitution,out,[],1628386,,,1610612751,7,18,2025-10-24T23:54:00Z,630000,False,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M00.00S,2025-10-24T23:53:50.8Z,1,REGULAR,substitution,out,[],1628378,,,1610612751,7,18,2025-10-24T23:54:00Z,640000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M00.00S,2025-10-24T23:53:50.8Z,1,REGULAR,substitution,in,[],1628366,,,1610612751,7,18,2025-10-24T23:54:00Z,650000,False,,,0,,SUB in: L. Ball,[1628366],1610612739.0,CLE,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M00.00S,2025-10-24T23:53:50.8Z,1,REGULAR,substitution,in,[],1629731,,,1610612751,7,18,2025-10-24T23:54:00Z,660000,False,,,0,,SUB in: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M41.00S,2025-10-24T23:54:33.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,6.521024967148489,53.92156862745098,1610612751,7,18,2025-10-24T23:54:41Z,670000,False,-20.0,9.0,1,left,MISS N. Claxton driving Layup,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,2.15,Missed,,,,,,,,,,,,,,
69,PT06M38.00S,2025-10-24T23:54:36.6Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,7,18,2025-10-24T23:54:41Z,680000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Restricted Area,0-8 Center,,,,,,,68.0,1.0,1.0,0.0,,,,,,,,,,
70,PT06M32.00S,2025-10-24T23:54:41.7Z,1,REGULAR,3pt,Jump Shot,[],1630596,70.12155059132719,76.7156862745098,1610612739,7,18,2025-10-24T23:54:45Z,690000,False,134.0,228.0,1,right,MISS E. Mobley 26' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,,,,,26.46,Missed,,,,,,,,,,,,,,
71,PT06M29.00S,2025-10-24T23:54:44.4Z,1,REGULAR,rebound,offensive,[],1642281,,,1610612739,7,18,2025-10-24T23:54:44Z,700000,False,,,0,,J. Tyson REBOUND (Off:1 Def:0),[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Above the Break 3,24+ Right Center,,,,,,,70.0,1.0,0.0,1.0,,,,,,,,,,
72,PT06M24.00S,2025-10-24T23:54:49.7Z,1,REGULAR,turnover,lost ball,[],1630596,,,1610612739,7,18,2025-10-24T23:54:52Z,710000,False,,,0,,E. Mobley lost ball TURNOVER (2 TO),"[1630596, 1629651]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),8-16 Center,2.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,
73,PT06M24.00S,2025-10-24T23:54:49.7Z,1,REGULAR,steal,,[],1629651,,,1610612751,7,18,2025-10-24T23:55:27Z,720000,False,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
74,PT06M19.00S,2025-10-24T23:54:57.4Z,1,REGULAR,turnover,traveling,[],1642879,,,1610612751,7,18,2025-10-24T23:55:02Z,730000,False,,,0,,B. Saraf traveling TURNOVER (2 TO),[1642879],1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,In The Paint (Non-RA),0-8 Center,2.0,,,202056.0,,,,,,,,,,,,,,,,
75,PT06M07.00S,2025-10-24T23:55:20.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628366,92.46057818659659,51.9607843137255,1610612739,7,18,2025-10-24T23:55:24Z,740000,False,10.0,18.0,1,right,MISS L. Ball driving finger roll Layup,[1628366],1610612739.0,CLE,driving finger roll,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,,,,,2.08,Missed,,,,,,,,,,,,,,
76,PT06M03.00S,2025-10-24T23:55:24.7Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612751,7,18,2025-10-24T23:55:24Z,750000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,75.0,1.0,1.0,0.0,,,,,,,,,,
77,PT05M53.00S,2025-10-24T23:55:33.9Z,1,REGULAR,3pt,Jump Shot,[],1629008,28.33442838370565,75.24509803921569,1610612751,10,18,2025-10-24T23:55:38Z,760000,False,-126.0,214.0,1,left,M. Porter Jr. 24' 3PT  (8 PTS) (C. Thomas 2 AST),"[1629008, 1630560]",1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,24.83,Made,,,,,8.0,C. Thomas,1630560.0,2.0,,,,,,
79,PT05M38.00S,2025-10-24T23:55:49.6Z,1,REGULAR,3pt,Jump Shot,[],1630241,66.96780551905388,57.84313725490197,1610612739,10,21,2025-10-24T23:55:57Z,780000,False,39.0,258.0,1,right,S. Merrill 26' 3PT  (9 PTS) (E. Mobley 1 AST),"[1630241, 1630596]",1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Center,,,,,26.1,Made,,,,,9.0,E. Mobley,1630596.0,1.0,,,,,,
81,PT05M23.00S,2025-10-24T23:56:05.0Z,1,REGULAR,turnover,bad pass,[],1642879,,,1610612751,10,21,2025-10-24T23:56:08Z,800000,False,,,0,,B. Saraf bad pass TURNOVER (3 TO),"[1642879, 1628366]",1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,In The Paint (Non-RA),0-8 Center,3.0,Ball,1628366.0,,,,,,,,,,,,,,,,,
82,PT05M23.00S,2025-10-24T23:56:05.0Z,1,REGULAR,steal,,[],1628366,,,1610612739,10,21,2025-10-24T23:56:07Z,810000,False,,,0,,L. Ball STEAL (1 STL),[1628366],1610612739.0,CLE,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
83,PT05M16.00S,2025-10-24T23:56:11.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629731,91.14651773981603,5.147058823529411,1610612739,10,21,2025-10-24T23:56:21Z,820000,False,-224.0,31.0,1,right,MISS D. Wade 3PT,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Left Corner 3,24+ Left,,,,,22.64,Missed,,,,,,,,,,,,,,
84,PT05M14.00S,2025-10-24T23:56:14.0Z,1,REGULAR,rebound,offensive,[],1630241,,,1610612739,10,21,2025-10-24T23:56:14Z,830000,False,,,0,,S. Merrill REBOUND (Off:1 Def:0),[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Left Corner 3,24+ Left,,,,,,,83.0,1.0,0.0,1.0,,,,,,,,,,
85,PT05M11.00S,2025-10-24T23:56:16.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628366,65.65374507227332,33.82352941176471,1610612739,10,21,2025-10-24T23:56:24Z,840000,False,-81.0,270.0,1,right,MISS L. Ball 28' 3PT,[1628366],1610612739.0,CLE,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,,,,,28.22,Missed,,,,,,,,,,,,,,
