actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT10M30.00S,2026-03-31T23:42:51.8Z,1,REGULAR,rebound,defensive,[],1642962,,,1610612751,2,3,2026-03-31T23:42:53Z,190000,False,,,0,,D. Powell REBOUND (Off:0 Def:1),[1642962],1610612751.0,BKN,,,,Powell,D. Powell,,,,,Left Corner 3,24+ Left,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,
20,PT10M18.00S,2026-03-31T23:43:05.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,8.229303547963205,49.01960784313725,1610612751,2,3,2026-03-31T23:44:00Z,200000,False,5.0,25.0,1,left,MISS N. Claxton driving Layup,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,2.54,Missed,,,,,,,,,,,,,,,,
21,PT10M17.00S,2026-03-31T23:43:06.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,2,3,2026-03-31T23:44:00Z,210000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,20.0,,,,,,,,,,,
22,PT10M17.00S,2026-03-31T23:43:15.1Z,1,REGULAR,turnover,traveling,[],1629651,,,1610612751,2,3,2026-03-31T23:43:26Z,220000,False,,,0,,N. Claxton traveling TURNOVER (1 TO),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,202056.0,1.0,,,,,,,,,,,,,,,,,,
23,PT10M07.00S,2026-03-31T23:43:35.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642851,66.3107752956636,53.18627450980392,1610612766,2,3,2026-03-31T23:43:42Z,230000,False,16.0,264.0,1,right,MISS K. Knueppel 26' 3PT,[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,Above the Break 3,24+ Center,,,26.47,Missed,,,,,,,,,,,,,,,,
24,PT10M02.00S,2026-03-31T23:43:40.3Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,2,3,2026-03-31T23:43:42Z,240000,False,,,0,,N. Clowney REBOUND (Off:0 Def:1),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Center,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,
25,PT09M58.00S,2026-03-31T23:43:44.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1641730,11.514454664914586,46.81372549019608,1610612751,4,3,2026-03-31T23:46:11Z,250000,False,16.0,56.0,1,left,N. Clowney running pullup Jump Shot (2 PTS),[1641730],1610612751.0,BKN,running pullup,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,,,5.79,Made,2.0,,,,,,,,,,,,,,,
26,PT09M44.00S,2026-03-31T23:43:57.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641706,91.67214191852825,53.92156862745098,1610612766,4,5,2026-03-31T23:46:50Z,260000,False,20.0,26.0,1,right,B. Miller driving finger roll Layup (5 PTS),[1641706],1610612766.0,CHA,driving finger roll,,,Miller,B. Miller,,,,,Restricted Area,0-8 Center,,,3.24,Made,5.0,,,,,,,,,,,,,,,
27,PT09M28.00S,2026-03-31T23:44:13.8Z,1,REGULAR,3pt,Jump Shot,[],1630533,26.888961892247043,18.872549019607842,1610612751,4,5,2026-03-31T23:44:18Z,270000,False,156.0,200.0,1,left,MISS Z. Williams 25' 3PT,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Right Center,,,25.36,Missed,,,,,,,,,,,,,,,,
28,PT09M24.00S,2026-03-31T23:44:17.8Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,4,5,2026-03-31T23:44:18Z,280000,False,,,0,,L. Ball REBOUND (Off:0 Def:2),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,
29,PT09M14.00S,2026-03-31T23:44:28.0Z,1,REGULAR,3pt,Jump Shot,[],1630163,66.3107752956636,48.28431372549019,1610612766,4,5,2026-03-31T23:44:31Z,290000,False,-9.0,264.0,1,right,MISS L. Ball 26' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,,,26.43,Missed,,,,,,,,,,,,,,,,
30,PT09M11.00S,2026-03-31T23:44:31.0Z,1,REGULAR,rebound,defensive,[],1642849,,,1610612751,4,5,2026-03-31T23:44:31Z,300000,False,,,0,,N. Traore REBOUND (Off:0 Def:1),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Above the Break 3,24+ Center,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,
31,PT09M04.00S,2026-03-31T23:44:38.4Z,1,REGULAR,turnover,bad pass,[],1630533,,,1610612751,4,5,2026-03-31T23:44:45Z,310000,False,,,0,,Z. Williams bad pass TURNOVER (1 TO),"[1630533, 1628970]",1610612751.0,BKN,,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),8-16 Center,,1.0,,,,,,,,,,,Bridges,1628970.0,,,,,,
32,PT09M04.00S,2026-03-31T23:44:38.4Z,1,REGULAR,steal,,[],1628970,,,1610612766,4,5,2026-03-31T23:45:42Z,320000,False,,,0,,M. Bridges STEAL (1 STL),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
33,PT08M59.00S,2026-03-31T23:44:43.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642851,93.11760840998686,53.431372549019606,1610612766,4,7,2026-03-31T23:44:52Z,330000,False,17.0,12.0,1,right,K. Knueppel running Layup (2 PTS),[1642851],1610612766.0,CHA,running,,,Knueppel,K. Knueppel,,,,,Restricted Area,0-8 Center,,,2.11,Made,2.0,,,,,,,,,,,,,,,
34,PT08M59.00S,2026-03-31T23:44:51.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,4,7,2026-03-31T23:44:51Z,340000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M34.00S,2026-03-31T23:48:28.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642962,13.091327201051248,51.71568627450981,1610612751,4,7,2026-03-31T23:49:07Z,350000,False,-9.0,71.0,1,left,MISS D. Powell 7' fadeaway Shot - blocked,"[1642962, 1642851]",1610612751.0,BKN,fadeaway,,,Powell,D. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,7.11,Missed,,,,,,,,,,,Knueppel,1642851.0,,,,
36,PT08M34.00S,2026-03-31T23:48:28.6Z,1,REGULAR,block,,[],1642851,,,1610612751,4,7,2026-03-31T23:48:31Z,360000,False,,,0,,K. Knueppel BLOCK (1 BLK),[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT08M31.00S,2026-03-31T23:48:31.6Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,4,7,2026-03-31T23:48:33Z,370000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,
38,PT08M21.00S,2026-03-31T23:48:41.9Z,1,REGULAR,3pt,Jump Shot,[],1630163,77.34888304862024,9.313725490196079,1610612766,4,10,2026-03-31T23:48:45Z,380000,False,-203.0,160.0,1,right,L. Ball 25' 3PT  (3 PTS) (B. Miller 1 AST),"[1630163, 1641706]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,25.9,Made,3.0,B. Miller,1641706.0,1.0,,,,,,,,,,,,
40,PT08M08.00S,2026-03-31T23:48:54.2Z,1,REGULAR,3pt,Jump Shot,[],1642962,26.757555847568987,16.42156862745098,1610612751,4,10,2026-03-31T23:48:57Z,400000,False,168.0,199.0,1,left,MISS D. Powell 26' 3PT,[1642962],1610612751.0,BKN,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Right Center,,,26.04,Missed,,,,,,,,,,,,,,,,
41,PT08M07.00S,2026-03-31T23:48:55.2Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,4,10,2026-03-31T23:48:57Z,410000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,
42,PT08M04.00S,2026-03-31T23:49:04.7Z,1,REGULAR,foul,personal,[],1642849,,,1610612766,4,10,2026-03-31T23:49:17Z,420000,False,,,0,,N. Traore personal FOUL (1 PF),"[1642849, 1631217]",1610612751.0,BKN,,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,201246.0,,,,,,,,,,,,,,,,1.0,0.0,Diabaté,1631217.0
44,PT07M47.00S,2026-03-31T23:49:39.5Z,1,REGULAR,3pt,Jump Shot,[],1630163,75.24638633377135,11.76470588235294,1610612766,4,10,2026-03-31T23:49:44Z,440000,False,-191.0,180.0,1,right,MISS L. Ball 26' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,26.27,Missed,,,,,,,,,,,,,,,,
45,PT07M44.00S,2026-03-31T23:49:42.5Z,1,REGULAR,rebound,defensive,[],1642849,,,1610612751,4,10,2026-03-31T23:49:44Z,450000,False,,,0,,N. Traore REBOUND (Off:0 Def:2),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Above the Break 3,24+ Left Center,,,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,
46,PT07M34.00S,2026-03-31T23:49:52.2Z,1,REGULAR,3pt,Jump Shot,[],1641730,25.18068331143233,15.196078431372548,1610612751,4,10,2026-03-31T23:49:56Z,460000,False,174.0,184.0,1,left,MISS N. Clowney 25' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Right Center,,,25.34,Missed,,,,,,,,,,,,,,,,
47,PT07M32.00S,2026-03-31T23:49:54.2Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,4,10,2026-03-31T23:49:56Z,470000,False,,,0,,L. Ball REBOUND (Off:0 Def:3),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,,,,,,,46.0,3.0,3.0,0.0,,,,,,,,
48,PT07M29.00S,2026-03-31T23:49:57.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642851,92.59198423127464,46.568627450980394,1610612766,4,10,2026-03-31T23:50:03Z,480000,False,-17.0,17.0,1,right,MISS K. Knueppel running Layup - blocked,"[1642851, 1641730]",1610612766.0,CHA,running,,,Knueppel,K. Knueppel,,,,,Restricted Area,0-8 Center,,,2.43,Missed,,,,,,,,,,,Clowney,1641730.0,,,,
49,PT07M29.00S,2026-03-31T23:49:57.9Z,1,REGULAR,block,,[],1641730,,,1610612766,4,10,2026-03-31T23:50:00Z,490000,False,,,0,,N. Clowney BLOCK (1 BLK),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
50,PT07M25.00S,2026-03-31T23:50:01.9Z,1,REGULAR,rebound,offensive,[],1631217,,,1610612766,4,10,2026-03-31T23:50:03Z,500000,False,,,0,,M. Diabaté REBOUND (Off:1 Def:0),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,Restricted Area,0-8 Center,,,,,,,,,48.0,1.0,0.0,1.0,,,,,,,,
51,PT07M23.00S,2026-03-31T23:50:03.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630163,91.80354796320631,3.1862745098039214,1610612766,4,13,2026-03-31T23:50:09Z,510000,False,-234.0,25.0,1,right,L. Ball 3PT  (6 PTS) (M. Bridges 1 AST),"[1630163, 1628970]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Left Corner 3,24+ Left,,,23.54,Made,6.0,M. Bridges,1628970.0,1.0,,,,,,,,,,,,
53,PT07M02.00S,2026-03-31T23:50:23.9Z,1,REGULAR,3pt,Jump Shot,[],1642962,21.23850197109067,7.8431372549019605,1610612751,4,13,2026-03-31T23:50:28Z,530000,False,211.0,147.0,1,left,MISS D. Powell 25' 3PT,[1642962],1610612751.0,BKN,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Right Center,,,25.71,Missed,,,,,,,,,,,,,,,,
54,PT06M58.00S,2026-03-31T23:50:27.9Z,1,REGULAR,rebound,defensive,[],1642851,,,1610612766,4,13,2026-03-31T23:50:28Z,540000,False,,,0,,K. Knueppel REBOUND (Off:0 Def:1),[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,Above the Break 3,24+ Right Center,,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,
55,PT06M50.00S,2026-03-31T23:50:36.1Z,1,REGULAR,3pt,Jump Shot,[],1641706,71.04139290407359,78.43137254901961,1610612766,4,16,2026-03-31T23:50:40Z,550000,False,142.0,220.0,1,right,B. Miller 26' 3PT  (8 PTS) (L. Ball 2 AST),"[1641706, 1630163]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,,,26.17,Made,8.0,L. Ball,1630163.0,2.0,,,,,,,,,,,,
57,PT06M38.00S,2026-03-31T23:50:52.5Z,1,REGULAR,foul,personal,[],1641706,,,1610612751,4,16,2026-03-31T23:50:59Z,570000,False,,,0,,B. Miller personal FOUL (1 PF),"[1641706, 1641730]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,1629178.0,,,,,,,,,,,,,,,,1.0,0.0,Clowney,1641730.0
59,PT06M30.00S,2026-03-31T23:51:22.4Z,1,REGULAR,3pt,Jump Shot,[],1642849,7.30946123521682,95.34313725490196,1610612751,4,16,2026-03-31T23:51:27Z,590000,False,-227.0,16.0,1,left,MISS N. Traore 3PT,[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Left Corner 3,24+ Left,,,22.73,Missed,,,,,,,,,,,,,,,,
60,PT06M26.00S,2026-03-31T23:51:26.4Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,4,16,2026-03-31T23:51:27Z,600000,False,,,0,,L. Ball REBOUND (Off:0 Def:4),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Left Corner 3,24+ Left,,,,,,,,,59.0,4.0,4.0,0.0,,,,,,,,
61,PT06M12.00S,2026-03-31T23:51:41.9Z,1,REGULAR,turnover,traveling,[],1631217,,,1610612766,4,16,2026-03-31T23:52:05Z,610000,False,,,0,,M. Diabaté traveling TURNOVER (1 TO),[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,In The Paint (Non-RA),0-8 Center,201246.0,1.0,,,,,,,,,,,,,,,,,,
62,PT06M12.00S,2026-03-31T23:51:45.4Z,1,REGULAR,substitution,out,[],1642962,,,1610612751,4,16,2026-03-31T23:52:01Z,620000,False,,,0,,SUB out: D. Powell,[1642962],1610612751.0,BKN,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M12.00S,2026-03-31T23:51:45.4Z,1,REGULAR,substitution,out,[],1642849,,,1610612751,4,16,2026-03-31T23:52:01Z,630000,False,,,0,,SUB out: N. Traore,[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M12.00S,2026-03-31T23:51:45.4Z,1,REGULAR,substitution,in,[],1642879,,,1610612751,4,16,2026-03-31T23:52:01Z,640000,False,,,0,,SUB in: B. Saraf,[1642879],1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M12.00S,2026-03-31T23:51:45.4Z,1,REGULAR,substitution,in,[],1631169,,,1610612751,4,16,2026-03-31T23:52:01Z,650000,False,,,0,,SUB in: J. Minott,[1631169],1610612751.0,BKN,,,,Minott,J. Minott,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M59.00S,2026-03-31T23:52:21.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641730,31.750985545335087,56.61764705882353,1610612751,4,16,2026-03-31T23:52:36Z,660000,False,-33.0,246.0,1,left,MISS N. Clowney 24' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Center,,,24.82,Missed,,,,,,,,,,,,,,,,
67,PT05M59.00S,2026-03-31T23:52:21.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,4,16,2026-03-31T23:52:36Z,670000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,66.0,,,,,,,,,,,
103,PT05M59.00S,2026-03-31T23:52:48.2Z,1,REGULAR,substitution,out,[],1642851,,,1610612766,4,16,2026-03-31T23:57:36Z,715000,False,,,0,,SUB out: K. Knueppel,[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT05M59.00S,2026-03-31T23:52:48.2Z,1,REGULAR,substitution,in,[],1642883,,,1610612766,4,16,2026-03-31T23:57:36Z,722500,False,,,0,,SUB in: S. James,[1642883],1610612766.0,CHA,,,,James,S. James,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M43.00S,2026-03-31T23:52:58.7Z,1,REGULAR,foul,personal,['2freethrow'],1629651,,,1610612766,4,16,2026-03-31T23:53:13Z,730000,False,,,0,,N. Claxton shooting personal FOUL (1 PF) (Bridges 2 FT),"[1629651, 1628970]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,201246.0,,,,,,,,,,,,,,,,1.0,0.0,Bridges,1628970.0
73,PT05M43.00S,2026-03-31T23:53:29.2Z,1,REGULAR,freethrow,1 of 2,[],1628970,,,1610612766,4,17,2026-03-31T23:53:29Z,750000,False,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
74,PT05M43.00S,2026-03-31T23:53:30.1Z,1,REGULAR,substitution,out,[],1629651,,,1610612766,4,17,2026-03-31T23:53:36Z,760000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M43.00S,2026-03-31T23:53:30.1Z,1,REGULAR,substitution,in,[],1643052,,,1610612766,4,17,2026-03-31T23:53:36Z,770000,False,,,0,,SUB in: C. Johnson,[1643052],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M43.00S,2026-03-31T23:53:53.6Z,1,REGULAR,freethrow,2 of 2,[],1628970,,,1610612766,4,18,2026-03-31T23:53:53Z,780000,False,,,0,,M. Bridges Free Throw 2 of 2 (2 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
77,PT05M33.00S,2026-03-31T23:54:09.9Z,1,REGULAR,foul,personal,[],1642883,,,1610612751,4,18,2026-04-01T00:04:27Z,790000,False,,,0,,S. James personal FOUL (1 PF),"[1642883, 1630533]",1610612766.0,CHA,,,,James,S. James,,,,,Mid-Range,8-16 Left,202056.0,,,,,,,,,,,,,,,,1.0,0.0,Williams,1630533.0
79,PT05M33.00S,2026-03-31T23:54:16.5Z,1,REGULAR,substitution,out,[],1630163,,,1610612751,4,18,2026-03-31T23:54:37Z,810000,False,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M33.00S,2026-03-31T23:54:16.5Z,1,REGULAR,substitution,in,[],1629632,,,1610612751,4,18,2026-03-31T23:54:37Z,820000,False,,,0,,SUB in: C. White,[1629632],1610612766.0,CHA,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M19.00S,2026-03-31T23:55:20.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612751,4,18,2026-03-31T23:55:33Z,840000,False,,,0,,BKN shot clock Team TURNOVER,[],1610612751.0,BKN,,,,,,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
83,PT04M57.00S,2026-03-31T23:55:55.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628970,66.83639947437582,46.07843137254902,1610612766,4,18,2026-03-31T23:56:57Z,850000,False,-20.0,259.0,1,right,MISS M. Bridges 25' pullup 3PT,[1628970],1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,,,25.99,Missed,,,,,,,,,,,,,,,,
84,PT04M54.00S,2026-03-31T23:55:58.0Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,4,18,2026-03-31T23:55:59Z,860000,False,,,0,,N. Clowney REBOUND (Off:0 Def:2),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Center,,,,,,,,,83.0,2.0,2.0,0.0,,,,,,,,
85,PT04M44.00S,2026-03-31T23:56:08.0Z,1,REGULAR,3pt,Jump Shot,[],1642879,26.231931668856767,18.627450980392158,1610612751,4,18,2026-03-31T23:56:14Z,870000,False,157.0,194.0,1,left,MISS B. Saraf 24' 3PT,[1642879],1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,Above the Break 3,24+ Right Center,,,24.96,Missed,,,,,,,,,,,,,,,,
86,PT04M40.00S,2026-03-31T23:56:12.0Z,1,REGULAR,rebound,offensive,[],1642879,,,1610612751,4,18,2026-03-31T23:56:14Z,880000,False,,,0,,B. Saraf REBOUND (Off:1 Def:0),[1642879],1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,Above the Break 3,24+ Right Center,,,,,,,,,85.0,1.0,0.0,1.0,,,,,,,,
