actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT10M10.00S,2024-01-26T03:43:00.4Z,1,REGULAR,3pt,Jump Shot,[],1627752,27.38173455978975,22.058823529411768,1610612747,8,7,2024-01-26T03:43:05Z,190000,False,140.0,205.0,1,left,T. Prince 24' 3PT  (3 PTS) (A. Davis 2 AST),"[1627752, 203076]",1610612747.0,LAL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,24.8,Made,3.0,A. Davis,203076.0,2.0,,,,,,,,,,,,,,
21,PT10M01.00S,2024-01-26T03:43:10.0Z,1,REGULAR,3pt,Jump Shot,[],1630172,72.19119579500656,18.382352941176478,1610612741,8,7,2024-01-26T03:43:14Z,210000,False,-158.0,209.0,1,right,MISS P. Williams 26' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,26.2,Missed,,,,,,,,,,,,,,,,,,
22,PT09M58.00S,2024-01-26T03:43:13.0Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612747,8,7,2024-01-26T03:43:14Z,220000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,
23,PT09M50.00S,2024-01-26T03:43:22.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,8.459264126149804,48.28431372549019,1610612747,8,7,2024-01-26T03:43:27Z,230000,False,9.0,27.0,1,left,MISS A. Davis driving Layup - blocked,"[203076, 1630172]",1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,2.83,Missed,,,,,,,,,,,,,Williams,1630172.0,,,,
24,PT09M50.00S,2024-01-26T03:43:22.6Z,1,REGULAR,block,,[],1630172,,,1610612747,8,7,2024-01-26T03:43:25Z,240000,False,,,0,,P. Williams BLOCK (1 BLK),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT09M50.00S,2024-01-26T03:43:22.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,8,7,2024-01-26T03:43:27Z,250000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,23.0,,,,,,,,,
27,PT09M43.00S,2024-01-26T03:43:40.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],2544,29.878449408672807,80.14705882352942,1610612747,8,7,2024-01-26T03:43:46Z,270000,False,-151.0,228.0,1,left,MISS L. James 27' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,27.36,Missed,,,,,,,,,,,,,,,,,,
28,PT09M38.00S,2024-01-26T03:43:45.3Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,8,7,2024-01-26T03:43:46Z,280000,False,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,
29,PT09M30.00S,2024-01-26T03:43:53.2Z,1,REGULAR,3pt,Jump Shot,[],1627936,72.45400788436268,17.15686274509804,1610612741,8,10,2024-01-26T03:43:57Z,290000,False,-164.0,206.0,1,right,A. Caruso 26' 3PT  (8 PTS) (D. DeRozan 1 AST),"[1627936, 201942]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Left Center,26.37,Made,8.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,
31,PT09M14.00S,2024-01-26T03:44:09.9Z,1,REGULAR,2pt,Jump Shot,[],203076,16.212220762155056,24.509803921568633,1610612747,8,10,2024-01-26T03:44:14Z,310000,False,127.0,100.0,1,left,MISS A. Davis 16' step back Shot,[203076],1610612747.0,LAL,step back,,,Davis,A. Davis,,,,,Mid-Range,16-24 Right Center,16.2,Missed,,,,,,,,,,,,,,,,,,
32,PT09M11.00S,2024-01-26T03:44:12.9Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,8,10,2024-01-26T03:44:14Z,320000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,
33,PT09M04.00S,2024-01-26T03:44:19.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630172,92.82194480946123,46.568627450980394,1610612741,8,10,2024-01-26T03:44:23Z,330000,False,-17.0,15.0,1,right,MISS P. Williams driving reverse Layup,[1630172],1610612741.0,CHI,driving reverse,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,2.28,Missed,,,,,,,,,,,,,,,,,,
35,PT09M01.00S,2024-01-26T03:44:22.7Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,8,10,2024-01-26T03:44:23Z,350000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,
36,PT08M57.00S,2024-01-26T03:44:26.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203076,8.459264126149804,52.94117647058824,1610612747,8,10,2024-01-26T03:44:36Z,360000,False,-15.0,27.0,1,left,MISS A. Davis running Layup,[203076],1610612747.0,LAL,running,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,3.07,Missed,,,,,,,,,,,,,,,,,,
37,PT08M55.00S,2024-01-26T03:44:28.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,8,10,2024-01-26T03:44:36Z,370000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,
38,PT08M49.00S,2024-01-26T03:44:35.1Z,1,REGULAR,3pt,Jump Shot,[],1630172,88.48554533508542,95.58823529411765,1610612741,8,10,2024-01-26T03:44:39Z,380000,False,228.0,56.0,1,right,MISS P. Williams 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Right Corner 3,24+ Right,23.46,Missed,,,,,,,,,,,,,,,,,,
39,PT08M46.00S,2024-01-26T03:44:38.1Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612747,8,10,2024-01-26T03:44:39Z,390000,False,,,0,,T. Prince REBOUND (Off:0 Def:2),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Right Corner 3,24+ Right,,,,,,,,,,,38.0,2.0,2.0,0.0,,,,,,
40,PT08M43.00S,2024-01-26T03:44:45.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,8,10,2024-01-26T03:44:45Z,400000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M40.00S,2024-01-26T03:47:41.5Z,1,REGULAR,3pt,Jump Shot,[],1630559,10.82457293035479,97.05882352941177,1610612747,11,10,2024-01-26T03:47:46Z,410000,False,-235.0,49.0,1,left,A. Reaves 24' 3PT  (3 PTS) (D. Russell 1 AST),"[1630559, 1626156]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Left Corner 3,24+ Left,24.04,Made,3.0,D. Russell,1626156.0,1.0,,,,,,,,,,,,,,
43,PT08M29.00S,2024-01-26T03:47:52.3Z,1,REGULAR,2pt,Jump Shot,[],201942,76.39618922470433,45.58823529411765,1610612741,11,12,2024-01-26T03:47:56Z,430000,False,-22.0,169.0,1,right,D. DeRozan 17' pullup Jump Shot (4 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Center,17.08,Made,4.0,,,,,,,,,,,,,,,,,
44,PT08M06.00S,2024-01-26T03:48:15.8Z,1,REGULAR,3pt,Jump Shot,[],1626156,20.41721419185282,92.6470588235294,1610612747,14,12,2024-01-26T03:48:23Z,440000,False,-213.0,139.0,1,left,D. Russell 25' 3PT  (3 PTS) (A. Reaves 1 AST),"[1626156, 1630559]",1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,25.47,Made,3.0,A. Reaves,1630559.0,1.0,,,,,,,,,,,,,,
46,PT07M58.00S,2024-01-26T03:48:23.5Z,1,REGULAR,turnover,bad pass,[],1629632,,,1610612741,14,12,2024-01-26T03:49:42Z,460000,False,,,0,,C. White bad pass TURNOVER (1 TO),"[1629632, 1627752]",1610612741.0,CHI,,,,White,C. White,,,,,Mid-Range,8-16 Left,,,,,,,,1.0,Prince,1627752.0,,,,,,,,,,
47,PT07M58.00S,2024-01-26T03:48:23.5Z,1,REGULAR,steal,,[],1627752,,,1610612747,14,12,2024-01-26T03:48:26Z,470000,False,,,0,,T. Prince STEAL (1 STL),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
48,PT07M54.00S,2024-01-26T03:48:27.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627752,28.56438896189225,19.117647058823522,1610612747,14,12,2024-01-26T03:48:33Z,480000,False,154.0,216.0,1,left,MISS T. Prince 26' 3PT,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,26.55,Missed,,,,,,,,,,,,,,,,,,
49,PT07M51.00S,2024-01-26T03:48:30.2Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,14,12,2024-01-26T03:48:30Z,490000,False,,,0,,C. White REBOUND (Off:0 Def:2),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,48.0,2.0,2.0,0.0,,,,,,
51,PT07M39.00S,2024-01-26T03:48:58.9Z,1,REGULAR,2pt,Jump Shot,[],201942,78.36727989487517,65.68627450980392,1610612741,14,12,2024-01-26T03:49:22Z,510000,False,78.0,151.0,1,right,MISS D. DeRozan 17' Jump Shot,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right Center,17.0,Missed,,,,,,,,,,,,,,,,,,
52,PT07M34.00S,2024-01-26T03:49:02.6Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,14,12,2024-01-26T03:49:02Z,520000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,51.0,1.0,1.0,0.0,,,,,,
53,PT07M16.00S,2024-01-26T03:49:20.5Z,1,REGULAR,3pt,Jump Shot,[],1626156,31.980946123521676,69.6078431372549,1610612747,14,12,2024-01-26T03:49:25Z,530000,False,-98.0,248.0,1,left,MISS D. Russell 26' 3PT,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,26.68,Missed,,,,,,,,,,,,,,,,,,
54,PT07M14.00S,2024-01-26T03:49:22.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,14,12,2024-01-26T03:49:25Z,540000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,53.0,2.0,2.0,0.0,,,,,,
55,PT07M01.00S,2024-01-26T03:49:38.4Z,1,REGULAR,foul,personal,['2freethrow'],1627752,,,1610612741,14,12,2024-01-26T03:50:00Z,550000,False,,,0,,T. Prince shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1627752, 201942]",1610612747.0,LAL,shooting,,,Prince,T. Prince,,,,,Mid-Range,8-16 Right,,,,,,,202037.0,,,,,,,,,,1.0,0.0,DeRozan,201942.0
57,PT07M01.00S,2024-01-26T03:50:07.1Z,1,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,14,13,2024-01-26T03:50:07Z,570000,False,,,0,,D. DeRozan Free Throw 1 of 2 (5 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
58,PT07M01.00S,2024-01-26T03:50:08.4Z,1,REGULAR,substitution,out,[],1627936,,,1610612741,14,13,2024-01-26T03:50:12Z,580000,False,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M01.00S,2024-01-26T03:50:08.4Z,1,REGULAR,substitution,in,[],1630245,,,1610612741,14,13,2024-01-26T03:50:12Z,590000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M01.00S,2024-01-26T03:50:22.0Z,1,REGULAR,freethrow,2 of 2,[],201942,,,1610612741,14,14,2024-01-26T03:50:22Z,600000,False,,,0,,D. DeRozan Free Throw 2 of 2 (6 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
61,PT06M49.00S,2024-01-26T03:50:36.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,9.510512483574246,50.0,1610612747,14,14,2024-01-26T03:50:42Z,610000,False,0.0,37.0,1,left,MISS L. James cutting finger roll Layup,[2544],1610612747.0,LAL,cutting finger roll,,,James,L. James,,,,,Restricted Area,0-8 Center,3.69,Missed,,,,,,,,,,,,,,,,,,
62,PT06M44.00S,2024-01-26T03:50:40.8Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,14,14,2024-01-26T03:50:40Z,620000,False,,,0,,A. Davis REBOUND (Off:1 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,61.0,2.0,1.0,1.0,,,,,,
63,PT06M44.00S,2024-01-26T03:50:40.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203076,5.590000152587891,50.0,1610612747,14,14,2024-01-26T03:50:50Z,630000,False,0.0,0.0,1,left,MISS A. Davis tip Layup,[203076],1610612747.0,LAL,tip,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
64,PT06M43.00S,2024-01-26T03:50:41.8Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,14,14,2024-01-26T03:50:50Z,640000,False,,,0,,A. Davis REBOUND (Off:2 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,63.0,3.0,1.0,2.0,,,,,,
65,PT06M42.00S,2024-01-26T03:50:42.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203076,8.590670170827863,47.30392156862745,1610612747,14,14,2024-01-26T03:50:47Z,650000,False,13.0,28.0,1,left,MISS A. Davis putback Layup,[203076],1610612747.0,LAL,putback,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,3.14,Missed,,,,,,,,,,,,,,,,,,
66,PT06M40.00S,2024-01-26T03:50:44.1Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,14,14,2024-01-26T03:50:44Z,660000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,65.0,3.0,3.0,0.0,,,,,,
67,PT06M35.00S,2024-01-26T03:50:49.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629632,82.57227332457293,64.4607843137255,1610612741,14,14,2024-01-26T03:51:00Z,670000,False,72.0,111.0,1,right,MISS C. White 13' pullup Shot,[1629632],1610612741.0,CHI,pullup,,,White,C. White,,,,,In The Paint (Non-RA),8-16 Right,13.27,Missed,,,,,,,,,,,,,,,,,,
68,PT06M30.00S,2024-01-26T03:50:54.4Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,14,14,2024-01-26T03:51:00Z,680000,False,,,0,,N. Vucevic REBOUND (Off:1 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,67.0,4.0,3.0,1.0,,,,,,
69,PT06M30.00S,2024-01-26T03:50:54.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202696,94.40999984741211,50.0,1610612741,14,16,2024-01-26T03:51:03Z,690000,False,0.0,0.0,1,right,N. Vucevic tip Layup (2 PTS),[202696],1610612741.0,CHI,tip,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
70,PT06M14.00S,2024-01-26T03:51:10.3Z,1,REGULAR,2pt,Jump Shot,[],203076,20.236530880420503,67.52450980392157,1610612747,14,16,2024-01-26T03:51:17Z,700000,False,-88.0,138.0,1,left,MISS A. Davis 16' Jump Shot,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Left Center,16.32,Missed,,,,,,,,,,,,,,,,,,
71,PT06M12.00S,2024-01-26T03:51:12.3Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,14,16,2024-01-26T03:51:17Z,710000,False,,,0,,P. Williams REBOUND (Off:0 Def:2),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,70.0,2.0,2.0,0.0,,,,,,
72,PT06M06.00S,2024-01-26T03:51:18.6Z,1,REGULAR,3pt,Jump Shot,[],202696,91.50788436268068,97.05882352941177,1610612741,14,16,2024-01-26T03:51:23Z,720000,False,235.0,27.0,1,right,MISS N. Vucevic 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Right Corner 3,24+ Right,23.69,Missed,,,,,,,,,,,,,,,,,,
73,PT06M03.00S,2024-01-26T03:51:22.1Z,1,REGULAR,rebound,offensive,[],1629632,,,1610612741,14,16,2024-01-26T03:51:22Z,730000,False,,,0,,C. White REBOUND (Off:1 Def:2),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Right Corner 3,24+ Right,,,,,,,,,,,72.0,3.0,2.0,1.0,,,,,,
74,PT06M02.00S,2024-01-26T03:51:23.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630172,68.64323258869908,80.14705882352942,1610612741,14,16,2024-01-26T03:51:28Z,740000,False,151.0,242.0,1,right,MISS P. Williams 28' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,28.53,Missed,,,,,,,,,,,,,,,,,,
75,PT05M59.00S,2024-01-26T03:51:26.3Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,14,16,2024-01-26T03:51:28Z,750000,False,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,74.0,2.0,2.0,0.0,,,,,,
76,PT05M54.00S,2024-01-26T03:51:31.4Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],2544,20.942838370565042,50.245098039215684,1610612747,14,16,2024-01-26T03:51:41Z,760000,False,-1.0,144.0,1,left,MISS L. James 14' running pullup Shot,[2544],1610612747.0,LAL,running pullup,,,James,L. James,,,,,Mid-Range,8-16 Center,14.44,Missed,,,,,,,,,,,,,,,,,,
77,PT05M51.00S,2024-01-26T03:51:34.4Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,14,16,2024-01-26T03:51:41Z,770000,False,,,0,,P. Williams REBOUND (Off:0 Def:3),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,8-16 Center,,,,,,,,,,,76.0,3.0,3.0,0.0,,,,,,
78,PT05M44.00S,2024-01-26T03:51:42.6Z,1,REGULAR,turnover,out-of-bounds,[],202696,,,1610612741,14,16,2024-01-26T03:51:49Z,780000,False,,,0,,N. Vucevic bad pass out-of-bounds TURNOVER (1 TO),[202696],1610612741.0,CHI,bad pass,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Left,,,,,,,1628484.0,1.0,,,,,,,,,,,,
79,PT05M44.00S,2024-01-26T03:51:48.4Z,1,REGULAR,substitution,out,[],1626156,,,1610612747,14,16,2024-01-26T03:51:51Z,790000,False,,,0,,SUB out: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M44.00S,2024-01-26T03:51:48.4Z,1,REGULAR,substitution,in,[],1631108,,,1610612747,14,16,2024-01-26T03:51:51Z,800000,False,,,0,,SUB in: M. Christie,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M33.00S,2024-01-26T03:52:13.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630559,7.145203679369246,54.411764705882355,1610612747,16,16,2024-01-26T03:52:26Z,810000,False,-22.0,15.0,1,left,A. Reaves driving Layup (5 PTS),[1630559],1610612747.0,LAL,driving,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,2.65,Made,5.0,,,,,,,,,,,,,,,,,
82,PT05M33.00S,2024-01-26T03:52:16.9Z,1,REGULAR,foul,personal,['1freethrow'],1630245,,,1610612747,16,16,2024-01-26T03:52:23Z,820000,False,,,0,,A. Dosunmu shooting personal FOUL (1 PF) (Reaves 1 FT),"[1630245, 1630559]",1610612741.0,CHI,shooting,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,,,,,2534.0,,,,,,,,,,1.0,0.0,Reaves,1630559.0
84,PT05M33.00S,2024-01-26T03:52:26.0Z,1,REGULAR,substitution,out,[],1627752,,,1610612747,16,16,2024-01-26T03:53:19Z,840000,False,,,0,,SUB out: T. Prince,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M33.00S,2024-01-26T03:52:26.0Z,1,REGULAR,substitution,out,[],1629632,,,1610612747,16,16,2024-01-26T03:53:19Z,850000,False,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
