actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
17,PT10M20.00S,2023-12-06T03:14:55.6Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,3,2,2023-12-06T03:14:59Z,170000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,,,16.0,,,,,,,1.0,1.0,0.0,,,,,,,,
18,PT10M09.00S,2023-12-06T03:15:05.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,16.343626806833115,64.70588235294117,1610612756,3,4,2023-12-06T03:15:09Z,180000,False,-74.0,101.0,1,left,D. Booker 12' fadeaway Jump Shot (2 PTS) (J. Nurkic 1 AST),"[1626164, 203994]",1610612756.0,PHX,fadeaway,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Left,12.5,Made,,2.0,J. Nurkic,203994.0,1.0,,,,,,,,,,,,,
20,PT09M54.00S,2023-12-06T03:15:20.1Z,1,REGULAR,2pt,Jump Shot,[],2544,93.74178712220763,73.2843137254902,1610612747,3,4,2023-12-06T03:15:25Z,200000,False,116.0,6.0,1,right,MISS L. James 11' pullup Shot,[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,Mid-Range,8-16 Right,11.66,Missed,,,,,,,,,,,,,,,,,,
22,PT09M51.00S,2023-12-06T03:15:23.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,3,4,2023-12-06T03:15:25Z,210000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,,,20.0,,,,,,,1.0,1.0,0.0,,,,,,,,
23,PT09M42.00S,2023-12-06T03:15:32.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,6.356767411300922,46.07843137254902,1610612756,3,6,2023-12-06T03:15:37Z,220000,False,20.0,7.0,1,left,J. Nurkic cutting Layup (2 PTS) (D. Booker 1 AST),"[203994, 1626164]",1610612756.0,PHX,cutting,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,2.09,Made,,2.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,,
25,PT09M24.00S,2023-12-06T03:15:50.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,92.95335085413929,55.14705882352941,1610612747,5,6,2023-12-06T03:15:55Z,240000,False,26.0,14.0,1,right,L. James driving Layup (2 PTS) (A. Davis 1 AST),"[2544, 203076]",1610612747.0,LAL,driving,,,James,L. James,,,,,Restricted Area,0-8 Center,2.91,Made,,2.0,A. Davis,203076.0,1.0,,,,,,,,,,,,,
27,PT09M06.00S,2023-12-06T03:16:09.2Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,5,6,2023-12-06T03:16:13Z,260000,False,,,0,,D. Booker bad pass TURNOVER (1 TO),"[1626164, 2544]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,1.0,,,,James,2544.0,,,,,,
28,PT09M06.00S,2023-12-06T03:16:09.2Z,1,REGULAR,steal,,[],2544,,,1610612747,5,6,2023-12-06T03:16:11Z,270000,False,,,0,,L. James STEAL (1 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
29,PT09M02.00S,2023-12-06T03:16:12.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626156,92.55913272010513,49.754901960784316,1610612747,7,6,2023-12-06T03:16:19Z,280000,False,-1.0,17.0,1,right,D. Russell running finger roll Layup (5 PTS) (L. James 2 AST),"[1626156, 2544]",1610612747.0,LAL,running finger roll,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,1.74,Made,,5.0,L. James,2544.0,2.0,,,,,,,,,,,,,
31,PT08M49.00S,2023-12-06T03:16:28.4Z,1,REGULAR,foul,personal,[],2544,,,1610612756,7,6,2023-12-06T03:16:35Z,300000,False,,,0,,L. James personal FOUL (1 PF),"[2544, 1626164]",1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,16-24 Right Center,,,,,,,,1199.0,,,,,,,1.0,0.0,Booker,1626164.0,,
33,PT08M39.00S,2023-12-06T03:16:54.3Z,1,REGULAR,3pt,Jump Shot,[],1628960,18.00262812089356,7.820159313725497,1610612756,7,9,2023-12-06T03:17:04Z,320000,False,211.0,117.0,1,left,G. Allen 24' 3PT  (3 PTS) (D. Booker 2 AST),"[1628960, 1626164]",1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Right Center,24.1,Made,,3.0,D. Booker,1626164.0,2.0,,,,,,,,,,,,,
35,PT08M11.00S,2023-12-06T03:17:21.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627752,93.61038107752957,53.92156862745098,1610612747,9,9,2023-12-06T03:17:26Z,340000,False,20.0,8.0,1,right,T. Prince cutting Layup (2 PTS) (D. Russell 1 AST),"[1627752, 1626156]",1610612747.0,LAL,cutting,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,2.1,Made,,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,,,,
37,PT07M59.00S,2023-12-06T03:17:43.7Z,1,REGULAR,turnover,bad pass,[],203994,,,1610612756,9,9,2023-12-06T03:17:47Z,360000,False,,,0,,J. Nurkic bad pass TURNOVER (2 TO),"[203994, 2544]",1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,,2.0,,,,James,2544.0,,,,,,
38,PT07M59.00S,2023-12-06T03:17:43.7Z,1,REGULAR,steal,,[],2544,,,1610612747,9,9,2023-12-06T03:17:45Z,370000,False,,,0,,L. James STEAL (2 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
39,PT07M56.00S,2023-12-06T03:17:48.8Z,1,REGULAR,foul,personal,[],1628960,,,1610612747,9,9,2023-12-06T03:18:09Z,380000,False,,,0,,G. Allen personal FOUL (1 PF),"[1628960, 2544]",1610612756.0,PHX,,,,Allen,G. Allen,,,,,Mid-Range,16-24 Center,,,,,,,,201639.0,,,,,,,1.0,0.0,James,2544.0,,
41,PT07M47.00S,2023-12-06T03:18:19.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629629,68.64323258869908,33.82352941176471,1610612747,9,9,2023-12-06T03:18:23Z,400000,False,-81.0,242.0,1,right,MISS C. Reddish 25' 3PT,[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,Above the Break 3,24+ Left Center,25.54,Missed,,,,,,,,,,,,,,,,,,
42,PT07M43.00S,2023-12-06T03:18:23.2Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,9,9,2023-12-06T03:18:23Z,410000,False,,,0,,D. Booker REBOUND (Off:0 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,41.0,,,,,,,2.0,2.0,0.0,,,,,,,,
43,PT07M35.00S,2023-12-06T03:18:33.5Z,1,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,9,9,2023-12-06T03:18:37Z,420000,False,,,0,,D. Booker bad pass out-of-bounds TURNOVER (2 TO),[1626164],1610612756.0,PHX,bad pass,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,,,200833.0,2.0,,,,,,,,,,,
44,PT07M29.00S,2023-12-06T03:18:46.5Z,1,REGULAR,foul,personal,['2freethrow'],203994,,,1610612747,9,9,2023-12-06T03:18:51Z,430000,False,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Reddish 2 FT),"[203994, 1629629]",1610612756.0,PHX,shooting,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,200833.0,,,,,,,1.0,0.0,Reddish,1629629.0,,
46,PT07M29.00S,2023-12-06T03:19:20.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1629629,,,1610612747,10,9,2023-12-06T03:19:20Z,450000,False,,,0,,C. Reddish Free Throw 1 of 2 (1 PTS),[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,,,,Made,,1.0,,,,,,,,,,,,,,,,
47,PT07M29.00S,2023-12-06T03:19:35.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629629,,,1610612747,11,9,2023-12-06T03:19:35Z,460000,False,,,0,,C. Reddish Free Throw 2 of 2 (2 PTS),[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,,,,Made,,2.0,,,,,,,,,,,,,,,,
48,PT07M18.00S,2023-12-06T03:19:47.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,8.984888304862025,55.3921568627451,1610612756,11,9,2023-12-06T03:19:57Z,470000,False,-27.0,32.0,1,left,MISS D. Booker driving bank Shot,[1626164],1610612756.0,PHX,driving bank,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,4.19,Missed,,,,,,,,,,,,,,,,,,
50,PT07M16.00S,2023-12-06T03:19:49.1Z,1,REGULAR,rebound,offensive,[],1626164,,,1610612756,11,9,2023-12-06T03:19:57Z,490000,False,,,0,,D. Booker REBOUND (Off:1 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,,,48.0,,,,,,,3.0,2.0,1.0,,,,,,,,
51,PT07M15.00S,2023-12-06T03:19:53.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626164,5.590000152587891,50.0,1610612756,11,11,2023-12-06T03:20:02Z,500000,False,0.0,0.0,1,left,D. Booker tip Layup (4 PTS),[1626164],1610612756.0,PHX,tip,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,0.0,Made,,4.0,,,,,,,,,,,,,,,,
52,PT07M00.00S,2023-12-06T03:20:08.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,89.93101182654402,47.549019607843135,1610612747,13,11,2023-12-06T03:20:12Z,510000,False,-12.0,42.0,1,right,A. Davis driving floating Jump Shot (2 PTS) (D. Russell 2 AST),"[203076, 1626156]",1610612747.0,LAL,driving floating,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,4.39,Made,,2.0,D. Russell,1626156.0,2.0,,,,,,,,,,,,,
54,PT07M00.00S,2023-12-06T03:20:10.5Z,1,REGULAR,foul,personal,['1freethrow'],203994,,,1610612747,13,11,2023-12-06T03:20:18Z,530000,False,,,0,,J. Nurkic shooting personal FOUL (2 PF) (Davis 1 FT),"[203994, 203076]",1610612756.0,PHX,shooting,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,201639.0,,,,,,,2.0,0.0,Davis,203076.0,,
56,PT07M00.00S,2023-12-06T03:20:40.3Z,1,REGULAR,freethrow,1 of 1,[],203076,,,1610612747,14,11,2023-12-06T03:20:40Z,550000,False,,,0,,A. Davis Free Throw 1 of 1 (3 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
57,PT06M46.00S,2023-12-06T03:20:55.3Z,1,REGULAR,2pt,Jump Shot,[],1626164,21.813403416557165,37.47702205882353,1610612756,14,11,2023-12-06T03:21:01Z,560000,False,63.0,153.0,1,left,MISS D. Booker 16' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right Center,16.48,Missed,,,,,,,,,,,,,,,,,,
58,PT06M44.00S,2023-12-06T03:20:57.3Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612747,14,11,2023-12-06T03:21:01Z,570000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Mid-Range,16-24 Right Center,,,57.0,,,,,,,1.0,1.0,0.0,,,,,,,,
59,PT06M35.00S,2023-12-06T03:21:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,92.69053876478318,46.81372549019608,1610612747,14,11,2023-12-06T03:21:09Z,580000,False,-16.0,16.0,1,right,MISS A. Davis Layup,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,2.27,Missed,,,,,,,,,,,,,,,,,,
60,PT06M33.00S,2023-12-06T03:21:08.2Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,14,11,2023-12-06T03:21:09Z,590000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,59.0,,,,,,,1.0,1.0,0.0,,,,,,,,
61,PT06M23.00S,2023-12-06T03:21:18.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628960,7.013797634691201,43.13725490196079,1610612756,14,11,2023-12-06T03:21:24Z,600000,False,34.0,13.0,1,left,MISS G. Allen driving bank Shot,[1628960],1610612756.0,PHX,driving bank,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,3.68,Missed,,,,,,,,,,,,,,,,,,
62,PT06M20.00S,2023-12-06T03:21:21.2Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,14,11,2023-12-06T03:21:24Z,610000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,61.0,,,,,,,1.0,1.0,0.0,,,,,,,,
63,PT06M14.00S,2023-12-06T03:21:27.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627752,93.2161629434954,53.431372549019606,1610612747,16,11,2023-12-06T03:21:35Z,620000,False,17.0,11.0,1,right,T. Prince reverse Layup (4 PTS) (L. James 3 AST),"[1627752, 2544]",1610612747.0,LAL,reverse,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,2.06,Made,,4.0,L. James,2544.0,3.0,,,,,,,,,,,,,
65,PT06M03.00S,2023-12-06T03:21:40.2Z,1,REGULAR,turnover,out-of-bounds,[],201142,,,1610612756,16,11,2023-12-06T03:21:53Z,640000,False,,,0,,K. Durant bad pass out-of-bounds TURNOVER (1 TO),[201142],1610612756.0,PHX,bad pass,,,Durant,K. Durant,,,,,Mid-Range,24+ Right,,,,,,,,,1.0,,,,,,,,,,,
66,PT06M03.00S,2023-12-06T03:21:46.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,16,11,2023-12-06T03:21:46Z,650000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M03.00S,2023-12-06T03:25:11.2Z,1,REGULAR,substitution,out,[],1629629,,,1610612747,16,11,2023-12-06T03:25:16Z,660000,False,,,0,,SUB out: C. Reddish,[1629629],1610612747.0,LAL,,,,Reddish,C. Reddish,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M03.00S,2023-12-06T03:25:11.2Z,1,REGULAR,substitution,out,[],203994,,,1610612747,16,11,2023-12-06T03:25:16Z,670000,False,,,0,,SUB out: J. Nurkic,[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M03.00S,2023-12-06T03:25:11.2Z,1,REGULAR,substitution,in,[],1631108,,,1610612747,16,11,2023-12-06T03:25:16Z,680000,False,,,0,,SUB in: M. Christie,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M03.00S,2023-12-06T03:25:11.2Z,1,REGULAR,substitution,in,[],1629234,,,1610612747,16,11,2023-12-06T03:25:16Z,690000,False,,,0,,SUB in: D. Eubanks,[1629234],1610612756.0,PHX,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M47.00S,2023-12-06T03:25:26.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203076,94.53022339027595,47.30392156862745,1610612747,18,11,2023-12-06T03:25:33Z,700000,False,-13.0,-1.0,1,right,A. Davis alley-oop Layup (5 PTS) (L. James 4 AST),"[203076, 2544]",1610612747.0,LAL,alley-oop,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,1.35,Made,,5.0,L. James,2544.0,4.0,,,,,,,,,,,,,
73,PT05M34.00S,2023-12-06T03:25:44.5Z,1,REGULAR,foul,personal,[],1631108,,,1610612756,18,11,2023-12-06T03:26:03Z,720000,False,,,0,,M. Christie personal FOUL (1 PF),"[1631108, 1629234]",1610612747.0,LAL,,,,Christie,M. Christie,,,,,Mid-Range,16-24 Left Center,,,,,,,,201639.0,,,,,,,1.0,0.0,Eubanks,1629234.0,,
75,PT05M27.00S,2023-12-06T03:26:04.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629234,7.408015768725363,51.71568627450981,1610612756,18,13,2023-12-06T03:26:09Z,740000,False,-9.0,17.0,1,left,D. Eubanks cutting DUNK (2 PTS) (K. Durant 1 AST),"[1629234, 201142]",1610612756.0,PHX,cutting,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,1.91,Made,,2.0,K. Durant,201142.0,1.0,,,,,,,,,,,,,
77,PT05M06.00S,2023-12-06T03:26:25.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,82.70367936925098,47.549019607843135,1610612747,18,13,2023-12-06T03:26:29Z,760000,False,-12.0,110.0,1,right,MISS D. Russell 11' driving floating Shot,[1626156],1610612747.0,LAL,driving floating,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,11.08,Missed,,,,,,,,,,,,,,,,,,
78,PT05M04.00S,2023-12-06T03:26:27.5Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,18,13,2023-12-06T03:26:29Z,770000,False,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,77.0,,,,,,,2.0,2.0,0.0,,,,,,,,
79,PT05M01.00S,2023-12-06T03:26:30.4Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],201142,22.339027595269386,37.967218137254896,1610612756,18,15,2023-12-06T03:26:38Z,780000,False,60.0,157.0,1,left,K. Durant 16' running pullup Jump Shot (4 PTS),[201142],1610612756.0,PHX,running pullup,,,Durant,K. Durant,,,,,Mid-Range,16-24 Right Center,16.86,Made,,4.0,,,,,,,,,,,,,,,,
80,PT04M46.00S,2023-12-06T03:26:44.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,92.69053876478318,54.90196078431372,1610612747,18,15,2023-12-06T03:26:48Z,790000,False,25.0,16.0,1,right,MISS A. Davis driving Layup,[203076],1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,2.94,Missed,,,,,,,,,,,,,,,,,,
81,PT04M43.00S,2023-12-06T03:26:47.2Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,18,15,2023-12-06T03:26:48Z,800000,False,,,0,,A. Davis REBOUND (Off:1 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,80.0,,,,,,,2.0,1.0,1.0,,,,,,,,
82,PT04M43.00S,2023-12-06T03:26:47.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203076,94.40999984741211,50.0,1610612747,20,15,2023-12-06T03:26:47Z,810000,False,0.0,0.0,1,right,A. Davis tip Layup (7 PTS),[203076],1610612747.0,LAL,tip,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,0.0,Made,,7.0,,,,,,,,,,,,,,,,
83,PT04M27.00S,2023-12-06T03:27:03.7Z,1,REGULAR,turnover,bad pass,[],1629234,,,1610612756,20,15,2023-12-06T03:27:06Z,820000,False,,,0,,D. Eubanks bad pass TURNOVER (1 TO),"[1629234, 2544]",1610612756.0,PHX,,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,1.0,,,,James,2544.0,,,,,,
84,PT04M27.00S,2023-12-06T03:27:03.7Z,1,REGULAR,steal,,[],2544,,,1610612747,20,15,2023-12-06T03:27:05Z,830000,False,,,0,,L. James STEAL (3 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
85,PT04M23.00S,2023-12-06T03:27:08.0Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,20,15,2023-12-06T03:27:13Z,840000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1629234]",1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,,,,Eubanks,1629234.0,,,,,,
86,PT04M23.00S,2023-12-06T03:27:08.0Z,1,REGULAR,steal,,[],1629234,,,1610612756,20,15,2023-12-06T03:27:10Z,850000,False,,,0,,D. Eubanks STEAL (1 STL),[1629234],1610612756.0,PHX,,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
87,PT04M20.00S,2023-12-06T03:27:13.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628960,6.8823915900131425,52.450980392156865,1610612756,20,17,2023-12-06T03:30:21Z,860000,False,-12.0,12.0,1,left,G. Allen running Layup (5 PTS) (K. Durant 2 AST),"[1628960, 201142]",1610612756.0,PHX,running,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,1.73,Made,,5.0,K. Durant,201142.0,2.0,,,,,,,,,,,,,
89,PT04M20.00S,2023-12-06T03:27:15.9Z,1,REGULAR,foul,personal,['1freethrow'],1626156,,,1610612756,20,17,2023-12-06T03:27:53Z,880000,False,,,0,,D. Russell shooting personal FOUL (1 PF) (Allen 1 FT),"[1626156, 1628960]",1610612747.0,LAL,shooting,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,,,,,200833.0,,,,,,,1.0,0.0,Allen,1628960.0,,
91,PT04M20.00S,2023-12-06T03:27:27.8Z,1,REGULAR,substitution,out,[],1626156,,,1610612756,20,17,2023-12-06T03:27:51Z,900000,False,,,0,,SUB out: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
