actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
30,PT09M22.00S,2023-11-15T03:44:30.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626156,33.6892247043364,32.59803921568627,1610612747,5,6,2023-11-15T03:45:24Z,300000,False,87.0,264.0,1,left,MISS D. Russell 27' step back 3PT,[1626156],1610612747.0,LAL,step back,,,,,,Above the Break 3,24+ Right Center,27.82,Missed,,Russell,D. Russell,,,,,,,,,,,,,,,,,
31,PT09M19.00S,2023-11-15T03:44:33.3Z,1,REGULAR,rebound,defensive,[],202687,,,1610612763,5,6,2023-11-15T03:44:35Z,310000,False,,,0,,B. Biyombo REBOUND (Off:1 Def:1),[202687],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Biyombo,B. Biyombo,,,,,,30.0,2.0,1.0,1.0,,,,,,,,
32,PT09M16.00S,2023-11-15T03:44:39.4Z,1,REGULAR,turnover,out-of-bounds,[],1630217,,,1610612763,5,6,2023-11-15T03:44:47Z,320000,False,,,0,,D. Bane bad pass out-of-bounds TURNOVER (1 TO),[1630217],1610612763.0,MEM,bad pass,,,,,,Above the Break 3,24+ Right Center,,,,Bane,D. Bane,,,,,,,,,,202049.0,1.0,,,,,,
33,PT09M00.00S,2023-11-15T03:45:06.9Z,1,REGULAR,foul,personal,['2freethrow'],1628991,,,1610612747,5,6,2023-11-15T03:45:16Z,330000,False,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Davis 2 FT),"[1628991, 203076]",1610612763.0,MEM,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,202049.0,,1.0,0.0,Davis,203076.0,,
35,PT09M00.00S,2023-11-15T03:45:45.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203076,,,1610612747,6,6,2023-11-15T03:45:45Z,350000,False,,,0,,A. Davis Free Throw 1 of 2 (3 PTS),[203076],1610612747.0,LAL,,,,,,,,,,Made,3.0,Davis,A. Davis,,,,,,,,,,,,,,,,,
36,PT09M00.00S,2023-11-15T03:46:07.8Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203076,,,1610612747,7,6,2023-11-15T03:46:07Z,360000,False,,,0,,A. Davis Free Throw 2 of 2 (4 PTS),[203076],1610612747.0,LAL,,,,,,,,,,Made,4.0,Davis,A. Davis,,,,,,,,,,,,,,,,,
37,PT08M50.00S,2023-11-15T03:46:19.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,89.27398160315374,55.88235294117647,1610612763,7,6,2023-11-15T03:47:03Z,370000,False,29.0,48.0,1,right,MISS J. Jackson Jr. driving floating Shot - blocked,"[1628991, 203076]",1610612763.0,MEM,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,5.65,Missed,,Jackson Jr.,J. Jackson Jr.,,,,Davis,203076.0,,,,,,,,,,,,
38,PT08M50.00S,2023-11-15T03:46:19.9Z,1,REGULAR,block,,[],203076,,,1610612763,7,6,2023-11-15T03:46:22Z,380000,False,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,
39,PT08M47.00S,2023-11-15T03:46:22.9Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,7,6,2023-11-15T03:46:22Z,390000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:0),[1628991],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Jackson Jr.,J. Jackson Jr.,,,,,,37.0,1.0,0.0,1.0,,,,,,,,
40,PT08M47.00S,2023-11-15T03:46:23.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628991,88.61695137976346,51.71568627450981,1610612763,7,6,2023-11-15T03:47:08Z,400000,False,9.0,55.0,1,right,MISS J. Jackson Jr. fadeaway Shot - blocked,"[1628991, 203076]",1610612763.0,MEM,fadeaway,,,,,,In The Paint (Non-RA),0-8 Center,5.52,Missed,,Jackson Jr.,J. Jackson Jr.,,,,Davis,203076.0,,,,,,,,,,,,
41,PT08M47.00S,2023-11-15T03:46:23.4Z,1,REGULAR,block,,[],203076,,,1610612763,7,6,2023-11-15T03:46:25Z,410000,False,,,0,,A. Davis BLOCK (2 BLK),[203076],1610612747.0,LAL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,
42,PT08M47.00S,2023-11-15T03:46:23.4Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,7,6,2023-11-15T03:46:28Z,420000,False,,,0,,J. Jackson Jr. REBOUND (Off:2 Def:0),[1628991],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Jackson Jr.,J. Jackson Jr.,,,,,,40.0,2.0,0.0,2.0,,,,,,,,
43,PT08M45.00S,2023-11-15T03:46:28.5Z,1,REGULAR,turnover,out-of-bounds,[],1628991,,,1610612763,7,6,2023-11-15T03:46:50Z,430000,False,,,0,,J. Jackson Jr. lost ball out-of-bounds TURNOVER (1 TO),[1628991],1610612763.0,MEM,lost ball,,,,,,In The Paint (Non-RA),0-8 Center,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,202049.0,1.0,,,,,,
44,PT08M37.00S,2023-11-15T03:46:39.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],2544,22.78252299605782,27.205882352941174,1610612747,9,6,2023-11-15T03:46:43Z,440000,False,114.0,162.0,1,left,L. James 19' fadeaway Jump Shot (2 PTS) (A. Davis 1 AST),"[2544, 203076]",1610612747.0,LAL,fadeaway,,,,,,Mid-Range,16-24 Right Center,19.78,Made,2.0,James,L. James,A. Davis,203076.0,1.0,,,,,,,,,,,,,,
45,PT08M21.00S,2023-11-15T03:46:55.5Z,1,REGULAR,3pt,Jump Shot,[],1630217,67.19776609724047,68.38235294117646,1610612763,9,9,2023-11-15T03:46:59Z,450000,False,92.0,256.0,1,right,D. Bane 27' 3PT  (3 PTS) (B. Biyombo 2 AST),"[1630217, 202687]",1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,27.18,Made,3.0,Bane,D. Bane,B. Biyombo,202687.0,2.0,,,,,,,,,,,,,,
47,PT08M11.00S,2023-11-15T03:47:09.9Z,1,REGULAR,violation,kicked ball,[],202687,,,1610612747,9,9,2023-11-15T03:47:13Z,470000,False,,,0,,B. Biyombo kicked ball VIOLATION,[202687],1610612763.0,MEM,,,,,,,,,,,,Biyombo,B. Biyombo,,,,,,,,,,1626300.0,,,,,,,
48,PT08M05.00S,2023-11-15T03:47:31.2Z,1,REGULAR,3pt,Jump Shot,[],2544,30.535479632063073,21.32352941176471,1610612747,12,9,2023-11-15T03:47:35Z,480000,False,143.0,235.0,1,left,L. James 27' 3PT  (5 PTS) (D. Russell 1 AST),"[2544, 1626156]",1610612747.0,LAL,,,,,,,Above the Break 3,24+ Right Center,27.49,Made,5.0,James,L. James,D. Russell,1626156.0,1.0,,,,,,,,,,,,,,
50,PT07M45.00S,2023-11-15T03:47:50.6Z,1,REGULAR,2pt,Jump Shot,[],1628991,77.57884362680683,40.68627450980392,1610612763,12,9,2023-11-15T03:48:44Z,500000,False,-47.0,158.0,1,right,MISS J. Jackson Jr. 16' driving floating Shot,[1628991],1610612763.0,MEM,driving floating,,,,,,Mid-Range,16-24 Center,16.5,Missed,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
51,PT07M43.00S,2023-11-15T03:47:52.6Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,12,9,2023-11-15T03:47:55Z,510000,False,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,,,,Mid-Range,16-24 Center,,,,James,L. James,,,,,,50.0,2.0,2.0,0.0,,,,,,,,
52,PT07M33.00S,2023-11-15T03:48:03.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,9.116294349540084,43.38235294117647,1610612747,12,9,2023-11-15T03:48:13Z,520000,False,33.0,33.0,1,left,MISS L. James driving Layup - blocked,"[2544, 1628991]",1610612747.0,LAL,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.69,Missed,,James,L. James,,,,Jackson Jr.,1628991.0,,,,,,,,,,,,
53,PT07M33.00S,2023-11-15T03:48:03.2Z,1,REGULAR,block,,[],1628991,,,1610612747,12,9,2023-11-15T03:49:34Z,530000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
54,PT07M33.00S,2023-11-15T03:48:03.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,12,9,2023-11-15T03:48:13Z,540000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,52.0,,,,,,,,,,,
56,PT07M27.00S,2023-11-15T03:48:24.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],2544,31.192509855453352,27.205882352941174,1610612747,15,9,2023-11-15T03:48:27Z,560000,False,114.0,241.0,1,left,L. James 26' 3PT  (8 PTS) (A. Davis 2 AST),"[2544, 203076]",1610612747.0,LAL,,,,,,,Above the Break 3,24+ Right Center,26.63,Made,8.0,James,L. James,A. Davis,203076.0,2.0,,,,,,,,,,,,,,
58,PT07M26.00S,2023-11-15T03:48:32.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,15,9,2023-11-15T03:48:32Z,580000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M26.00S,2023-11-15T03:50:54.2Z,1,REGULAR,substitution,out,[],1628991,,,1610612763,15,9,2023-11-15T03:51:26Z,590000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
61,PT07M26.00S,2023-11-15T03:50:54.2Z,1,REGULAR,substitution,in,[],1630583,,,1610612763,15,9,2023-11-15T03:51:26Z,600000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,,,,,,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,
62,PT07M13.00S,2023-11-15T03:51:41.4Z,1,REGULAR,3pt,Jump Shot,[],1631367,77.57884362680683,90.68627450980392,1610612763,15,9,2023-11-15T03:51:46Z,610000,False,203.0,158.0,1,right,MISS J. Gilyard 25' 3PT,[1631367],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,25.77,Missed,,Gilyard,J. Gilyard,,,,,,,,,,,,,,,,,
63,PT07M10.00S,2023-11-15T03:51:44.4Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,15,9,2023-11-15T03:51:46Z,620000,False,,,0,,L. James REBOUND (Off:0 Def:3),[2544],1610612747.0,LAL,,,,,,,Above the Break 3,24+ Right Center,,,,James,L. James,,,,,,62.0,3.0,3.0,0.0,,,,,,,,
64,PT07M02.00S,2023-11-15T03:51:52.5Z,1,REGULAR,3pt,Jump Shot,[],1627752,30.404073587385014,26.960784313725497,1610612747,18,9,2023-11-15T03:51:57Z,630000,False,115.0,233.0,1,left,T. Prince 26' 3PT  (3 PTS) (D. Russell 2 AST),"[1627752, 1626156]",1610612747.0,LAL,,,,,,,Above the Break 3,24+ Right Center,26.02,Made,3.0,Prince,T. Prince,D. Russell,1626156.0,2.0,,,,,,,,,,,,,,
66,PT06M39.00S,2023-11-15T03:52:15.1Z,1,REGULAR,2pt,Jump Shot,[],1630217,77.05321944809461,33.33333333333334,1610612763,18,11,2023-11-15T03:52:19Z,650000,False,-83.0,163.0,1,right,D. Bane 18' pullup Jump Shot (5 PTS) (S. Aldama 1 AST),"[1630217, 1630583]",1610612763.0,MEM,pullup,,,,,,Mid-Range,16-24 Left Center,18.32,Made,5.0,Bane,D. Bane,S. Aldama,1630583.0,1.0,,,,,,,,,,,,,,
68,PT06M25.00S,2023-11-15T03:52:29.4Z,1,REGULAR,3pt,Jump Shot,[],2544,29.352825229960573,83.57843137254902,1610612747,18,11,2023-11-15T03:52:34Z,670000,False,-168.0,223.0,1,left,MISS L. James 27' 3PT,[2544],1610612747.0,LAL,,,,,,,Above the Break 3,24+ Left Center,27.95,Missed,,James,L. James,,,,,,,,,,,,,,,,,
69,PT06M22.00S,2023-11-15T03:52:32.4Z,1,REGULAR,rebound,defensive,[],1631367,,,1610612763,18,11,2023-11-15T03:52:34Z,680000,False,,,0,,J. Gilyard REBOUND (Off:0 Def:1),[1631367],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Left Center,,,,Gilyard,J. Gilyard,,,,,,68.0,1.0,1.0,0.0,,,,,,,,
70,PT06M17.00S,2023-11-15T03:52:37.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630583,91.50788436268068,49.754901960784316,1610612763,18,13,2023-11-15T03:52:46Z,690000,False,-1.0,27.0,1,right,S. Aldama running reverse DUNK (2 PTS) (D. Bane 1 AST),"[1630583, 1630217]",1610612763.0,MEM,running reverse,,,,,,Restricted Area,0-8 Center,2.73,Made,2.0,Aldama,S. Aldama,D. Bane,1630217.0,1.0,,,,,,,,,,,,,,
72,PT06M04.00S,2023-11-15T03:52:50.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626156,12.66425755584757,50.245098039215684,1610612747,18,13,2023-11-15T03:53:48Z,710000,False,-1.0,67.0,1,left,MISS D. Russell 6' driving Hook,[1626156],1610612747.0,LAL,driving,,,,,,In The Paint (Non-RA),0-8 Center,6.65,Missed,,Russell,D. Russell,,,,,,,,,,,,,,,,,
73,PT06M02.00S,2023-11-15T03:52:52.2Z,1,REGULAR,rebound,defensive,[],202687,,,1610612763,18,13,2023-11-15T03:52:55Z,720000,False,,,0,,B. Biyombo REBOUND (Off:1 Def:2),[202687],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Biyombo,B. Biyombo,,,,,,72.0,3.0,2.0,1.0,,,,,,,,
74,PT05M49.00S,2023-11-15T03:53:05.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202687,86.38304862023654,49.26470588235294,1610612763,18,13,2023-11-15T03:53:31Z,730000,False,-4.0,75.0,1,right,MISS B. Biyombo 7' turnaround Hook,[202687],1610612763.0,MEM,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,7.56,Missed,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,
75,PT05M48.00S,2023-11-15T03:53:06.2Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612747,18,13,2023-11-15T03:53:17Z,740000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612747.0,LAL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Prince,T. Prince,,,,,,74.0,1.0,1.0,0.0,,,,,,,,
76,PT05M46.00S,2023-11-15T03:53:10.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626156,9.904730617608408,46.568627450980394,1610612747,18,13,2023-11-15T03:53:59Z,750000,False,17.0,41.0,1,left,MISS D. Russell running Layup - blocked,"[1626156, 203935]",1610612747.0,LAL,running,,,,,,In The Paint (Non-RA),0-8 Center,4.41,Missed,,Russell,D. Russell,,,,Smart,203935.0,,,,,,,,,,,,
77,PT05M46.00S,2023-11-15T03:53:10.3Z,1,REGULAR,block,,[],203935,,,1610612747,18,13,2023-11-15T03:53:12Z,760000,False,,,0,,M. Smart BLOCK (1 BLK),[203935],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,
78,PT05M45.00S,2023-11-15T03:53:11.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,18,13,2023-11-15T03:53:59Z,770000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,76.0,,,,,,,,,,,
80,PT05M45.00S,2023-11-15T03:53:23.5Z,1,REGULAR,substitution,out,[],1627752,,,1610612747,18,13,2023-11-15T03:53:27Z,790000,False,,,0,,SUB out: T. Prince,[1627752],1610612747.0,LAL,,,,,,,,,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,
81,PT05M45.00S,2023-11-15T03:53:23.5Z,1,REGULAR,substitution,out,[],1631367,,,1610612747,18,13,2023-11-15T03:53:27Z,800000,False,,,0,,SUB out: J. Gilyard,[1631367],1610612763.0,MEM,,,,,,,,,,,,Gilyard,J. Gilyard,,,,,,,,,,,,,,,,,
82,PT05M45.00S,2023-11-15T03:53:23.5Z,1,REGULAR,substitution,in,[],1630559,,,1610612747,18,13,2023-11-15T03:53:27Z,810000,False,,,0,,SUB in: A. Reaves,[1630559],1610612747.0,LAL,,,,,,,,,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,
83,PT05M45.00S,2023-11-15T03:53:23.5Z,1,REGULAR,substitution,in,[],1628379,,,1610612747,18,13,2023-11-15T03:53:27Z,820000,False,,,0,,SUB in: L. Kennard,[1628379],1610612763.0,MEM,,,,,,,,,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,
84,PT05M34.00S,2023-11-15T03:53:46.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],2544,32.769382391590014,42.15686274509803,1610612747,18,13,2023-11-15T03:53:50Z,830000,False,39.0,256.0,1,left,MISS L. James 25' 3PT,[2544],1610612747.0,LAL,,,,,,,Above the Break 3,24+ Center,25.85,Missed,,James,L. James,,,,,,,,,,,,,,,,,
85,PT05M30.00S,2023-11-15T03:53:50.1Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,18,13,2023-11-15T03:53:50Z,840000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,,,,Bane,D. Bane,,,,,,84.0,1.0,1.0,0.0,,,,,,,,
86,PT05M22.00S,2023-11-15T03:53:57.3Z,1,REGULAR,3pt,Jump Shot,[],1630217,73.11103810775296,84.06862745098039,1610612763,18,16,2023-11-15T03:56:41Z,850000,False,170.0,200.0,1,right,D. Bane 26' 3PT step back (8 PTS),[1630217],1610612763.0,MEM,step back,,,,,,Above the Break 3,24+ Right Center,26.29,Made,8.0,Bane,D. Bane,,,,,,,,,,,,,,,,,
