actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
46,PT08M15.00S,2024-02-14T03:46:36.9Z,1,REGULAR,2pt,Jump Shot,[],1630595,79.54993429697765,56.127450980392155,1610612765,6,6,2024-02-14T03:46:42Z,460000,False,31.0,140.0,1,right,MISS C. Cunningham 14' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Center,,,,,,Missed,,,14.3,,,,,,,,,,,
47,PT08M11.00S,2024-02-14T03:46:40.9Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,6,6,2024-02-14T03:46:42Z,470000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Center,,,,,,,46.0,,,,,,1.0,1.0,0.0,,,,,
48,PT08M09.00S,2024-02-14T03:46:43.7Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629060,6.750985545335084,47.05882352941176,1610612747,8,6,2024-02-14T03:51:36Z,480000,False,15.0,11.0,1,left,R. Hachimura running DUNK (5 PTS),[1629060],1610612747.0,LAL,running,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,,,,Made,,5.0,1.84,,,,,,,,,,,
49,PT07M53.00S,2024-02-14T03:46:59.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631323,87.69710906701708,52.205882352941174,1610612765,8,6,2024-02-14T03:52:16Z,490000,False,11.0,63.0,1,right,MISS S. Fontecchio 6' driving floating Shot,[1631323],1610612765.0,DET,driving floating,,,Fontecchio,S. Fontecchio,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,6.41,,,,,,,,,,,
50,PT07M51.00S,2024-02-14T03:47:01.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,8,6,2024-02-14T03:47:09Z,500000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,49.0,,,,,,,,,,,,,
52,PT07M39.00S,2024-02-14T03:47:22.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,6.225361366622863,50.73529411764706,1610612747,10,6,2024-02-14T03:47:29Z,520000,False,-4.0,6.0,1,left,R. Hachimura reverse Layup (7 PTS) (D. Russell 1 AST),"[1629060, 1626156]",1610612747.0,LAL,reverse,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,,,,Made,,7.0,0.7,D. Russell,1626156.0,1.0,,,,,,,,
54,PT07M14.00S,2024-02-14T03:47:47.5Z,1,REGULAR,2pt,Jump Shot,[],1630595,79.54993429697765,61.51960784313725,1610612765,10,6,2024-02-14T03:47:51Z,540000,False,58.0,140.0,1,right,MISS C. Cunningham 15' step back Shot,[1630595],1610612765.0,DET,step back,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Center,,,,,,Missed,,,15.11,,,,,,,,,,,
55,PT07M12.00S,2024-02-14T03:47:49.5Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,10,6,2024-02-14T03:47:51Z,550000,False,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Center,,,,,,,54.0,,,,,,2.0,2.0,0.0,,,,,
56,PT07M06.00S,2024-02-14T03:47:56.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,7.408015768725363,49.01960784313726,1610612747,12,6,2024-02-14T03:48:07Z,560000,False,5.0,17.0,1,left,L. James cutting Layup (2 PTS) (A. Davis 1 AST),"[2544, 203076]",1610612747.0,LAL,cutting,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,1.78,A. Davis,203076.0,1.0,,,,,,,,
58,PT07M06.00S,2024-02-14T03:48:00.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,12,6,2024-02-14T03:48:00Z,580000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M54.00S,2024-02-14T03:51:06.1Z,1,REGULAR,3pt,Jump Shot,[],1641709,93.34756898817345,98.2843137254902,1610612765,12,9,2024-02-14T03:51:11Z,590000,False,241.0,10.0,1,right,A. Thompson 24' 3PT  (5 PTS) (J. Ivey 1 AST),"[1641709, 1631093]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Right Corner 3,24+ Right,,,,,,Made,,5.0,24.16,J. Ivey,1631093.0,1.0,,,,,,,,
61,PT06M37.00S,2024-02-14T03:51:22.7Z,1,REGULAR,3pt,Jump Shot,[],1630559,6.750985545335084,1.9607843137254974,1610612747,15,9,2024-02-14T03:51:27Z,610000,False,240.0,11.0,1,left,A. Reaves 24' 3PT  (3 PTS) (L. James 1 AST),"[1630559, 2544]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Right Corner 3,24+ Right,,,,,,Made,,3.0,24.05,L. James,2544.0,1.0,,,,,,,,
63,PT06M24.00S,2024-02-14T03:51:35.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631093,91.11366622864652,48.529411764705884,1610612765,15,9,2024-02-14T03:51:39Z,630000,False,-7.0,31.0,1,right,MISS J. Ivey pullup Shot - blocked,"[1631093, 1626156]",1610612765.0,DET,pullup,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,3.19,,,,,,,,Russell,1626156.0,,
64,PT06M24.00S,2024-02-14T03:51:35.8Z,1,REGULAR,block,,[],1626156,,,1610612765,15,9,2024-02-14T03:51:38Z,640000,False,,,0,,D. Russell BLOCK (1 BLK),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
65,PT06M21.00S,2024-02-14T03:51:38.8Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,15,9,2024-02-14T03:51:39Z,650000,False,,,0,,A. Reaves REBOUND (Off:0 Def:2),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,,,,,,63.0,,,,,,2.0,2.0,0.0,,,,,
66,PT06M20.00S,2024-02-14T03:51:40.1Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",2544,6.356767411300922,49.50980392156863,1610612747,17,9,2024-02-14T03:54:59Z,660000,False,2.0,7.0,1,left,L. James running DUNK (4 PTS) (A. Reaves 2 AST),"[2544, 1630559]",1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,,Made,,4.0,0.77,A. Reaves,1630559.0,2.0,,,,,,,,
68,PT06M04.00S,2024-02-14T03:51:55.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,90.06241787122208,50.73529411764706,1610612765,17,9,2024-02-14T03:52:01Z,680000,False,4.0,41.0,1,right,MISS J. Duren Layup - blocked,"[1631105, 203076]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,4.11,,,,,,,,Davis,203076.0,,
69,PT06M04.00S,2024-02-14T03:51:55.2Z,1,REGULAR,block,,[],203076,,,1610612765,17,9,2024-02-14T03:51:57Z,690000,False,,,0,,A. Davis BLOCK (2 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
70,PT06M01.00S,2024-02-14T03:51:58.2Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,17,9,2024-02-14T03:52:01Z,700000,False,,,0,,J. Duren REBOUND (Off:1 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,68.0,,,,,,3.0,2.0,1.0,,,,,
71,PT05M57.00S,2024-02-14T03:52:02.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1631105,89.79960578186596,49.754901960784316,1610612765,17,9,2024-02-14T03:52:07Z,710000,False,-1.0,43.0,1,right,MISS J. Duren Hook,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,4.34,,,,,,,,,,,
72,PT05M56.00S,2024-02-14T03:52:04.7Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,17,9,2024-02-14T03:52:04Z,720000,False,,,0,,A. Davis REBOUND (Off:0 Def:3),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,71.0,,,,,,3.0,3.0,0.0,,,,,
73,PT05M53.00S,2024-02-14T03:52:06.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630559,7.013797634691201,51.22549019607843,1610612747,19,9,2024-02-14T04:43:28Z,730000,False,-6.0,13.0,1,left,A. Reaves running reverse Layup (5 PTS) (L. James 2 AST),"[1630559, 2544]",1610612747.0,LAL,running reverse,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,,,,,Made,,5.0,1.47,L. James,2544.0,2.0,,,,,,,,
75,PT05M40.00S,2024-02-14T03:52:20.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,80.33837056504599,37.254901960784316,1610612765,19,11,2024-02-14T03:52:30Z,750000,False,-64.0,132.0,1,right,C. Cunningham 14' pullup Jump Shot (2 PTS),[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,,2.0,14.68,,,,,,,,,,,
76,PT05M24.00S,2024-02-14T03:52:39.8Z,1,REGULAR,foul,personal,[],1641709,,,1610612747,19,11,2024-02-14T03:52:46Z,760000,False,,,0,,A. Thompson personal FOUL (2 PF),"[1641709, 203076]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,202041.0,2.0,0.0,Davis,203076.0,,,,,,,,,,,,,,,
78,PT05M24.00S,2024-02-14T03:52:46.1Z,1,REGULAR,substitution,out,[],1626156,,,1610612747,19,11,2024-02-14T03:52:56Z,780000,False,,,0,,SUB out: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M24.00S,2024-02-14T03:52:46.1Z,1,REGULAR,substitution,out,[],1641709,,,1610612747,19,11,2024-02-14T03:52:56Z,790000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M24.00S,2024-02-14T03:52:46.1Z,1,REGULAR,substitution,in,[],203915,,,1610612747,19,11,2024-02-14T03:52:56Z,800000,False,,,0,,SUB in: S. Dinwiddie,[203915],1610612747.0,LAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M24.00S,2024-02-14T03:52:46.1Z,1,REGULAR,substitution,in,[],203095,,,1610612747,19,11,2024-02-14T03:52:56Z,810000,False,,,0,,SUB in: E. Fournier,[203095],1610612765.0,DET,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M24.00S,2024-02-14T03:52:46.1Z,1,REGULAR,substitution,out,[],1631093,,,1610612747,19,11,2024-02-14T03:53:01Z,820000,False,,,0,,SUB out: J. Ivey,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M24.00S,2024-02-14T03:52:46.1Z,1,REGULAR,substitution,in,[],1628972,,,1610612747,19,11,2024-02-14T03:53:01Z,830000,False,,,0,,SUB in: T. Brown Jr.,[1628972],1610612765.0,DET,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M13.00S,2024-02-14T03:53:15.7Z,1,REGULAR,2pt,Jump Shot,[],203076,12.00722733245729,26.225490196078425,1610612747,21,11,2024-02-14T03:53:20Z,840000,False,119.0,60.0,1,left,A. Davis 13' Jump Shot (2 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Right,,,,,,Made,,2.0,13.34,,,,,,,,,,,
85,PT04M58.00S,2024-02-14T03:53:30.9Z,1,REGULAR,3pt,Jump Shot,[],203095,92.82194480946123,4.901960784313729,1610612765,21,11,2024-02-14T03:53:35Z,850000,False,-225.0,15.0,1,right,MISS E. Fournier 3PT,[203095],1610612765.0,DET,,,,Fournier,E. Fournier,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,22.6,,,,,,,,,,,
86,PT04M55.00S,2024-02-14T03:53:33.9Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,21,11,2024-02-14T03:53:35Z,860000,False,,,0,,A. Reaves REBOUND (Off:0 Def:3),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Left Corner 3,24+ Left,,,,,,,85.0,,,,,,3.0,3.0,0.0,,,,,
