actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
20,PT10M27.00S,2023-10-31T02:42:28.8Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,4,6,2023-10-31T02:42:31Z,200000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Right,,,19.0,,,,,,,,,,1.0,1.0,0.0,,,,,
21,PT10M18.00S,2023-10-31T02:42:38.0Z,1,REGULAR,3pt,Jump Shot,[],1627752,68.70072273324573,21.055453431372555,1610612747,4,6,2023-10-31T02:42:44Z,210000,False,-145.0,242.0,1,right,MISS T. Prince 28' 3PT,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,28.17,Missed,,,,,,,,,,,,,,,,,,
22,PT10M14.00S,2023-10-31T02:42:42.0Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,4,6,2023-10-31T02:42:44Z,220000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,,,21.0,,,,,,,,,,1.0,1.0,0.0,,,,,
24,PT09M52.00S,2023-10-31T02:43:23.8Z,1,REGULAR,2pt,Jump Shot,[],1630591,8.935611038107751,69.33976715686275,1610612753,4,6,2023-10-31T02:43:51Z,240000,False,-97.0,31.0,1,left,MISS J. Suggs 10' driving bank Shot,[1630591],1610612753.0,ORL,driving bank,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Left,10.17,Missed,,,,,,,,,,,,,,,,,,
25,PT09M51.00S,2023-10-31T02:43:24.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,4,6,2023-10-31T02:43:30Z,250000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,24.0,,,,,,,,,,,,,,,,,
27,PT09M34.00S,2023-10-31T02:43:48.4Z,1,REGULAR,2pt,Jump Shot,[],2544,86.12023653088042,88.48039215686275,1610612747,4,6,2023-10-31T02:43:54Z,270000,False,192.0,78.0,1,right,MISS L. James 20' step back Shot,[2544],1610612747.0,LAL,step back,,,James,L. James,,,,,Mid-Range,16-24 Right,20.76,Missed,,,,,,,,,,,,,,,,,,
28,PT09M32.00S,2023-10-31T02:43:50.4Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,4,6,2023-10-31T02:43:54Z,280000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,16-24 Right,,,27.0,,,,,,,,,,1.0,1.0,0.0,,,,,
29,PT09M25.00S,2023-10-31T02:43:57.6Z,1,REGULAR,2pt,Jump Shot,[],1628365,11.826544021024972,83.06525735294117,1610612753,4,6,2023-10-31T02:44:24Z,290000,False,-165.0,59.0,1,left,MISS M. Fultz 17' pullup Shot,[1628365],1610612753.0,ORL,pullup,,,Fultz,M. Fultz,,,,,Mid-Range,16-24 Left,17.54,Missed,,,,,,,,,,,,,,,,,,
30,PT09M21.00S,2023-10-31T02:44:01.6Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,4,6,2023-10-31T02:44:05Z,300000,False,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Left Center,,,29.0,,,,,,,,,,2.0,2.0,0.0,,,,,
32,PT09M11.00S,2023-10-31T02:44:24.9Z,1,REGULAR,2pt,Jump Shot,[],1626156,77.57884362680683,68.87254901960785,1610612747,6,6,2023-10-31T02:45:25Z,320000,False,94.0,158.0,1,right,D. Russell 18' pullup Jump Shot (2 PTS),[1626156],1610612747.0,LAL,pullup,,,Russell,D. Russell,,,,,Mid-Range,16-24 Right Center,18.43,Made,,,,,,,2.0,,,,,,,,,,,
33,PT08M59.00S,2023-10-31T02:44:36.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628365,8.54139290407359,39.68290441176471,1610612753,6,6,2023-10-31T02:44:42Z,330000,False,52.0,28.0,1,left,MISS M. Fultz driving bank Hook,[1628365],1610612753.0,ORL,driving bank,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,5.86,Missed,,,,,,,,,,,,,,,,,,
34,PT08M58.00S,2023-10-31T02:44:37.0Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,6,6,2023-10-31T02:44:42Z,340000,False,,,0,,A. Davis REBOUND (Off:0 Def:3),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,33.0,,,,,,,,,,3.0,3.0,0.0,,,,,
35,PT08M56.00S,2023-10-31T02:44:39.8Z,1,REGULAR,turnover,lost ball,[],2544,,,1610612747,6,6,2023-10-31T02:44:45Z,350000,False,,,0,,L. James lost ball TURNOVER (1 TO),"[2544, 1630532]",1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1.0,Wagner,1630532.0,,
36,PT08M56.00S,2023-10-31T02:44:39.8Z,1,REGULAR,steal,,[],1630532,,,1610612753,6,6,2023-10-31T02:44:42Z,360000,False,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
37,PT08M51.00S,2023-10-31T02:44:44.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630532,6.4881734559789805,48.28431372549019,1610612753,6,8,2023-10-31T02:44:52Z,370000,False,9.0,8.0,1,left,F. Wagner Layup (2 PTS) (P. Banchero 1 AST),"[1630532, 1631094]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.21,Made,,,,,,,2.0,P. Banchero,1631094.0,1.0,,,,,,,,
39,PT08M37.00S,2023-10-31T02:44:58.5Z,1,REGULAR,2pt,Jump Shot,[],1626156,79.15571616294349,76.7156862745098,1610612747,6,8,2023-10-31T02:45:11Z,390000,False,134.0,143.0,1,right,MISS D. Russell 19' step back Shot,[1626156],1610612747.0,LAL,step back,,,Russell,D. Russell,,,,,Mid-Range,16-24 Right Center,19.6,Missed,,,,,,,,,,,,,,,,,,
40,PT08M35.00S,2023-10-31T02:45:00.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,6,8,2023-10-31T02:45:11Z,400000,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Mid-Range,16-24 Right Center,,,39.0,,,,,,,,,,,,,,,,,
42,PT08M22.00S,2023-10-31T02:45:24.2Z,1,REGULAR,turnover,lost ball,[],1630532,,,1610612753,6,8,2023-10-31T02:45:28Z,420000,False,,,0,,F. Wagner lost ball TURNOVER (1 TO),"[1630532, 2544]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,James,2544.0,,
43,PT08M22.00S,2023-10-31T02:45:24.2Z,1,REGULAR,steal,,[],2544,,,1610612747,6,8,2023-10-31T02:45:26Z,430000,False,,,0,,L. James STEAL (1 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
44,PT08M18.00S,2023-10-31T02:45:27.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630559,90.71944809461235,51.71568627450981,1610612747,8,8,2023-10-31T02:45:35Z,440000,False,9.0,35.0,1,right,A. Reaves running Layup (4 PTS) (L. James 2 AST),"[1630559, 2544]",1610612747.0,LAL,running,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,3.57,Made,,,,,,,4.0,L. James,2544.0,2.0,,,,,,,,
46,PT08M03.00S,2023-10-31T02:45:45.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,8.40998685939553,44.424019607843135,1610612753,8,8,2023-10-31T02:47:51Z,460000,False,28.0,27.0,1,left,MISS F. Wagner driving Layup - blocked,"[1630532, 1627752]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.85,Missed,,,,,,,,,,,,,,,,,Prince,1627752.0
47,PT08M03.00S,2023-10-31T02:45:45.1Z,1,REGULAR,block,,[],1627752,,,1610612753,8,8,2023-10-31T02:45:47Z,470000,False,,,0,,T. Prince BLOCK (1 BLK),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
48,PT08M02.00S,2023-10-31T02:45:46.1Z,1,REGULAR,rebound,offensive,[],1631094,,,1610612753,8,8,2023-10-31T02:47:09Z,480000,False,,,0,,P. Banchero REBOUND (Off:1 Def:0),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,46.0,,,,,,,,,,1.0,0.0,1.0,,,,,
49,PT08M02.00S,2023-10-31T02:45:49.7Z,1,REGULAR,foul,personal,['2freethrow'],1626156,,,1610612753,8,8,2023-10-31T02:45:59Z,490000,False,,,0,,D. Russell shooting personal FOUL (1 PF) (Banchero 2 FT),"[1626156, 1631094]",1610612747.0,LAL,shooting,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,202901.0,1.0,0.0,Banchero,1631094.0,,,,,,,,,,,,
51,PT08M02.00S,2023-10-31T02:46:15.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1631094,,,1610612753,8,8,2023-10-31T02:46:34Z,510000,False,,,0,,MISS P. Banchero Free Throw 1 of 2,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
52,PT08M02.00S,2023-10-31T02:46:15.9Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612753,8,8,2023-10-31T02:46:34Z,520000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,
53,PT08M02.00S,2023-10-31T02:46:15.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1631094,,,1610612753,8,8,2023-10-31T02:46:34Z,530000,False,,,0,,MISS P. Banchero Free Throw 2 of 2,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
54,PT08M00.00S,2023-10-31T02:46:17.9Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,8,8,2023-10-31T02:46:34Z,540000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,53.0,,,,,,,,,,1.0,1.0,0.0,,,,,
55,PT07M54.00S,2023-10-31T02:46:38.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626156,94.61235216819973,46.40395220588235,1610612747,10,8,2023-10-31T02:46:47Z,550000,False,-18.0,-2.0,1,right,D. Russell driving DUNK (4 PTS) (A. Davis 1 AST),"[1626156, 203076]",1610612747.0,LAL,driving,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,1.81,Made,,,,,,,4.0,A. Davis,203076.0,1.0,,,,,,,,
57,PT07M45.00S,2023-10-31T02:46:49.0Z,1,REGULAR,foul,offensive,[],1631094,,,1610612753,10,8,2023-10-31T02:47:01Z,570000,False,,,0,,P. Banchero charge offensive FOUL (1 PF),"[1631094, 1627752]",1610612753.0,ORL,charge,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,1148.0,1.0,0.0,Prince,1627752.0,,,,,,,,,,,,
59,PT07M45.00S,2023-10-31T02:46:49.0Z,1,REGULAR,turnover,offensive foul,[],1631094,,,1610612753,10,8,2023-10-31T02:47:01Z,590000,False,,,0,,P. Banchero offensive foul TURNOVER (1 TO),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,1148.0,,,,,,,,,,,,1.0,,,,
60,PT07M32.00S,2023-10-31T02:47:14.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203076,92.77266754270697,35.02604166666666,1610612747,10,8,2023-10-31T02:47:21Z,600000,False,-75.0,15.0,1,right,MISS A. Davis 7' turnaround fadeaway Shot,[203076],1610612747.0,LAL,turnaround fadeaway,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,7.65,Missed,,,,,,,,,,,,,,,,,,
61,PT07M30.00S,2023-10-31T02:47:16.9Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,10,8,2023-10-31T02:47:21Z,610000,False,,,0,,M. Fultz REBOUND (Off:0 Def:1),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,,,60.0,,,,,,,,,,1.0,1.0,0.0,,,,,
62,PT07M25.00S,2023-10-31T02:47:22.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630591,11.48160315374507,5.14705882352942,1610612753,10,8,2023-10-31T02:47:34Z,620000,False,224.0,55.0,1,left,MISS J. Suggs running 3PT,[1630591],1610612753.0,ORL,running,,,Suggs,J. Suggs,,,,,Right Corner 3,24+ Right,23.1,Missed,,,,,,,,,,,,,,,,,,
63,PT07M25.00S,2023-10-31T02:47:22.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,10,8,2023-10-31T02:47:34Z,630000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Right Corner 3,24+ Right,,,62.0,,,,,,,,,,,,,,,,,
66,PT07M03.00S,2023-10-31T02:48:28.7Z,1,REGULAR,turnover,bad pass,[],1630559,,,1610612747,10,8,2023-10-31T02:48:34Z,660000,False,,,0,,A. Reaves bad pass TURNOVER (1 TO),"[1630559, 1630532]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,1.0,Wagner,1630532.0,,
67,PT07M03.00S,2023-10-31T02:48:28.7Z,1,REGULAR,steal,,[],1630532,,,1610612753,10,8,2023-10-31T02:48:31Z,670000,False,,,0,,F. Wagner STEAL (2 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
68,PT06M59.00S,2023-10-31T02:48:33.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630532,9.116294349540084,48.529411764705884,1610612753,10,8,2023-10-31T02:48:38Z,680000,False,7.0,33.0,1,left,MISS F. Wagner running Layup - blocked,"[1630532, 203076]",1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.4,Missed,,,,,,,,,,,,,,,,,Davis,203076.0
69,PT06M59.00S,2023-10-31T02:48:33.2Z,1,REGULAR,block,,[],203076,,,1610612753,10,8,2023-10-31T02:48:35Z,690000,False,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
70,PT06M57.00S,2023-10-31T02:48:35.2Z,1,REGULAR,rebound,offensive,[],1630532,,,1610612753,10,8,2023-10-31T02:48:38Z,700000,False,,,0,,F. Wagner REBOUND (Off:1 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,68.0,,,,,,,,,,2.0,1.0,1.0,,,,,
72,PT06M57.00S,2023-10-31T02:48:42.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,10,8,2023-10-31T02:48:42Z,720000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M52.00S,2023-10-31T02:51:43.8Z,1,REGULAR,foul,personal,['2freethrow'],1626156,,,1610612753,10,8,2023-10-31T02:51:54Z,730000,False,,,0,,D. Russell shooting personal FOUL (2 PF) (Suggs 2 FT),"[1626156, 1630591]",1610612747.0,LAL,shooting,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,,,,1628951.0,2.0,0.0,Suggs,1630591.0,,,,,,,,,,,,
75,PT06M52.00S,2023-10-31T02:52:13.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1630591,,,1610612753,10,9,2023-10-31T02:52:13Z,750000,False,,,0,,J. Suggs Free Throw 1 of 2 (4 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,
76,PT06M52.00S,2023-10-31T02:52:29.9Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1630591,,,1610612753,10,10,2023-10-31T02:52:29Z,760000,False,,,0,,J. Suggs Free Throw 2 of 2 (5 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
77,PT06M36.00S,2023-10-31T02:52:47.6Z,1,REGULAR,3pt,Jump Shot,[],2544,67.06636005256242,40.931372549019606,1610612747,10,10,2023-10-31T02:52:51Z,770000,False,-45.0,257.0,1,right,MISS L. James 26' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Center,26.11,Missed,,,,,,,,,,,,,,,,,,
78,PT06M33.00S,2023-10-31T02:52:50.6Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,10,10,2023-10-31T02:52:51Z,780000,False,,,0,,P. Banchero REBOUND (Off:1 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,,,77.0,,,,,,,,,,2.0,1.0,1.0,,,,,
79,PT06M27.00S,2023-10-31T02:52:56.5Z,1,REGULAR,3pt,Jump Shot,[],1628365,9.461235216819972,95.81035539215686,1610612753,10,10,2023-10-31T02:53:03Z,790000,False,-229.0,36.0,1,left,MISS M. Fultz 3PT,[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Left Corner 3,24+ Left,23.2,Missed,,,,,,,,,,,,,,,,,,
80,PT06M25.00S,2023-10-31T02:52:58.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,10,10,2023-10-31T02:53:03Z,800000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Left Corner 3,24+ Left,,,79.0,,,,,,,,,,,,,,,,,
82,PT06M25.00S,2023-10-31T02:53:10.5Z,1,REGULAR,substitution,out,[],1626156,,,1610612747,10,10,2023-10-31T02:53:14Z,820000,False,,,0,,SUB out: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M25.00S,2023-10-31T02:53:10.5Z,1,REGULAR,substitution,in,[],1629216,,,1610612747,10,10,2023-10-31T02:53:14Z,830000,False,,,0,,SUB in: G. Vincent,[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M08.00S,2023-10-31T02:53:37.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,84.62549277266754,45.630361519607845,1610612747,10,10,2023-10-31T02:53:41Z,840000,False,-22.0,92.0,1,right,MISS A. Reaves 9' turnaround fadeaway Shot,[1630559],1610612747.0,LAL,turnaround fadeaway,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,9.45,Missed,,,,,,,,,,,,,,,,,,
85,PT06M05.00S,2023-10-31T02:53:40.3Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,10,10,2023-10-31T02:56:18Z,850000,False,,,0,,P. Banchero REBOUND (Off:1 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,84.0,,,,,,,,,,3.0,2.0,1.0,,,,,
86,PT06M01.00S,2023-10-31T02:53:44.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631094,8.459264126149804,46.07843137254902,1610612753,10,12,2023-10-31T02:53:52Z,860000,False,20.0,27.0,1,left,P. Banchero running Layup (2 PTS),[1631094],1610612753.0,ORL,running,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,3.34,Made,,,,,,,2.0,,,,,,,,,,,
87,PT05M46.00S,2023-10-31T02:53:59.6Z,1,REGULAR,3pt,Jump Shot,[],1630559,75.08212877792378,12.25490196078431,1610612747,10,12,2023-10-31T02:54:03Z,870000,False,-189.0,182.0,1,right,MISS A. Reaves 26' 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,26.2,Missed,,,,,,,,,,,,,,,,,,
88,PT05M44.00S,2023-10-31T02:54:01.6Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,10,12,2023-10-31T02:54:03Z,880000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,,,87.0,,,,,,,,,,1.0,1.0,0.0,,,,,
89,PT05M28.00S,2023-10-31T02:54:17.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628365,19.973718791064385,40.41819852941176,1610612753,10,14,2023-10-31T02:54:23Z,890000,False,48.0,135.0,1,left,M. Fultz 14' pullup Jump Shot (2 PTS),[1628365],1610612753.0,ORL,pullup,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),8-16 Center,14.35,Made,,,,,,,2.0,,,,,,,,,,,
90,PT05M16.00S,2023-10-31T02:54:29.3Z,1,REGULAR,2pt,Jump Shot,[],203076,86.2023653088042,70.3201593137255,1610612747,12,14,2023-10-31T02:54:37Z,900000,False,102.0,77.0,1,right,A. Davis 12' Jump Shot (4 PTS) (G. Vincent 1 AST),"[203076, 1629216]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Right,12.76,Made,,,,,,,4.0,G. Vincent,1629216.0,1.0,,,,,,,,
