actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
38,PT08M21.00S,2024-03-09T03:21:12.2Z,1,REGULAR,3pt,Jump Shot,[],1627736,29.09001314060447,26.225490196078425,1610612749,6,9,2024-03-09T03:21:52Z,380000,False,119.0,221.0,1,left,M. Beasley 25' 3PT  (3 PTS) (G. Antetokounmpo 2 AST),"[1627736, 203507]",1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,25.09,Made,3.0,,,,,,,G. Antetokounmpo,203507.0,2.0,,,,,,,,
40,PT07M59.00S,2024-03-09T03:21:34.2Z,1,REGULAR,2pt,Jump Shot,[],203076,78.76149802890933,56.61764705882353,1610612747,8,9,2024-03-09T03:21:38Z,400000,False,33.0,147.0,1,right,A. Davis 15' step back Jump Shot (6 PTS),[203076],1610612747.0,LAL,step back,,,Davis,A. Davis,,,,,Mid-Range,8-16 Center,15.08,Made,6.0,,,,,,,,,,,,,,,,,
41,PT07M42.00S,2024-03-09T03:21:50.6Z,1,REGULAR,3pt,Jump Shot,[],201572,25.016425755584763,16.666666666666657,1610612749,8,12,2024-03-09T03:21:55Z,410000,False,167.0,183.0,1,left,B. Lopez 24' 3PT  (5 PTS) (D. Lillard 1 AST),"[201572, 203081]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,24.73,Made,5.0,,,,,,,D. Lillard,203081.0,1.0,,,,,,,,
43,PT07M29.00S,2024-03-09T03:22:04.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,86.12023653088042,46.568627450980394,1610612747,8,12,2024-03-09T03:22:07Z,430000,False,-17.0,78.0,1,right,MISS D. Russell 7' fadeaway Shot,[1626156],1610612747.0,LAL,fadeaway,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,7.99,Missed,,,,,,,,,,,,,,,,,,
44,PT07M27.00S,2024-03-09T03:22:06.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,8,12,2024-03-09T03:22:07Z,440000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,43.0,3.0,3.0,0.0,,,,,,,,,,,,,
45,PT07M21.00S,2024-03-09T03:22:11.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,5.831143232588701,46.81372549019608,1610612749,8,14,2024-03-09T03:22:17Z,450000,False,16.0,2.0,1,left,G. Antetokounmpo running Layup (4 PTS),[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.61,Made,4.0,,,,,,,,,,,,,,,,,
46,PT07M10.00S,2024-03-09T03:22:25.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,90.32522996057818,41.42156862745098,1610612747,10,14,2024-03-09T03:22:29Z,460000,False,-43.0,38.0,1,right,A. Reaves driving floating bank Jump Shot (2 PTS),[1630559],1610612747.0,LAL,driving floating bank,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),0-8 Center,5.76,Made,2.0,,,,,,,,,,,,,,,,,
47,PT07M10.00S,2024-03-09T03:22:30.8Z,1,REGULAR,foul,personal,['1freethrow'],203109,,,1610612747,10,14,2024-03-09T03:22:36Z,470000,False,,,0,,J. Crowder shooting personal FOUL (1 PF) (Reaves 1 FT),"[203109, 1630559]",1610612749.0,MIL,shooting,,,Crowder,J. Crowder,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202041.0,,,,,1.0,0.0,Reaves,1630559.0,,,,
49,PT07M10.00S,2024-03-09T03:22:49.7Z,1,REGULAR,freethrow,1 of 1,[],1630559,,,1610612747,11,14,2024-03-09T03:22:49Z,490000,False,,,0,,A. Reaves Free Throw 1 of 1 (3 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
50,PT06M51.00S,2024-03-09T03:23:10.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,7.276609724047319,43.38235294117647,1610612749,11,14,2024-03-09T03:23:15Z,500000,False,33.0,16.0,1,left,MISS G. Antetokounmpo alley-oop DUNK,[203507],1610612749.0,MIL,alley-oop,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,3.67,Missed,,,,,,,,,,,,,,,,,,
51,PT06M49.00S,2024-03-09T03:23:12.4Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,11,14,2024-03-09T03:23:15Z,510000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:3),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,,50.0,3.0,3.0,0.0,,,,,,,,,,,,,
52,PT06M45.00S,2024-03-09T03:23:15.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203915,86.90867279894876,95.83333333333333,1610612747,14,14,2024-03-09T03:23:22Z,520000,False,229.0,71.0,1,right,S. Dinwiddie 3PT running (3 PTS) (A. Reaves 1 AST),"[203915, 1630559]",1610612747.0,LAL,running,,,Dinwiddie,S. Dinwiddie,,,,,Right Corner 3,24+ Right,23.98,Made,3.0,,,,,,,A. Reaves,1630559.0,1.0,,,,,,,,
54,PT06M32.00S,2024-03-09T03:23:31.1Z,1,REGULAR,foul,offensive,[],203507,,,1610612749,14,14,2024-03-09T03:24:21Z,540000,False,,,0,,G. Antetokounmpo charge offensive FOUL (1 PF),"[203507, 1630559]",1610612749.0,MIL,charge,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,202041.0,,,,,1.0,0.0,Reaves,1630559.0,,,,
56,PT06M32.00S,2024-03-09T03:23:31.1Z,1,REGULAR,turnover,offensive foul,[],203507,,,1610612749,14,14,2024-03-09T03:23:31Z,560000,False,,,0,,G. Antetokounmpo offensive foul TURNOVER (1 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,202041.0,1.0,,,,,,,,,,,
57,PT06M32.00S,2024-03-09T03:23:46.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,14,14,2024-03-09T03:23:46Z,570000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M15.00S,2024-03-09T03:27:26.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629060,69.56307490144546,75.98039215686275,1610612747,14,14,2024-03-09T03:27:30Z,580000,False,130.0,234.0,1,right,MISS R. Hachimura 26' 3PT,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Right Center,26.73,Missed,,,,,,,,,,,,,,,,,,
59,PT06M11.00S,2024-03-09T03:27:29.4Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612749,14,14,2024-03-09T03:27:29Z,590000,False,,,0,,M. Beasley REBOUND (Off:0 Def:1),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,
60,PT05M52.00S,2024-03-09T03:27:48.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,7.539421813403408,51.22549019607843,1610612749,14,16,2024-03-09T03:27:51Z,600000,False,-6.0,18.0,1,left,G. Antetokounmpo driving reverse Layup (6 PTS),[203507],1610612749.0,MIL,driving reverse,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.94,Made,6.0,,,,,,,,,,,,,,,,,
61,PT05M39.00S,2024-03-09T03:28:02.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,85.5946123521682,56.86274509803921,1610612747,14,16,2024-03-09T03:28:05Z,610000,False,34.0,83.0,1,right,MISS A. Davis 8' floating Shot,[203076],1610612747.0,LAL,floating,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,8.97,Missed,,,,,,,,,,,,,,,,,,
62,PT05M37.00S,2024-03-09T03:28:04.6Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,14,16,2024-03-09T03:28:05Z,620000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:4),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,,61.0,4.0,4.0,0.0,,,,,,,,,,,,,
63,PT05M28.00S,2024-03-09T03:28:13.5Z,1,REGULAR,3pt,Jump Shot,[],1627736,22.78252299605782,8.82352941176471,1610612749,14,19,2024-03-09T03:28:17Z,630000,False,206.0,162.0,1,left,M. Beasley 26' 3PT  (6 PTS) (D. Lillard 2 AST),"[1627736, 203081]",1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,26.18,Made,6.0,,,,,,,D. Lillard,203081.0,2.0,,,,,,,,
65,PT05M05.00S,2024-03-09T03:28:35.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,92.69053876478318,48.28431372549019,1610612747,16,19,2024-03-09T03:28:42Z,650000,False,-9.0,16.0,1,right,R. Hachimura driving Layup (2 PTS) (A. Reaves 2 AST),"[1629060, 1630559]",1610612747.0,LAL,driving,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,1.83,Made,2.0,,,,,,,A. Reaves,1630559.0,2.0,,,,,,,,
67,PT04M40.00S,2024-03-09T03:29:00.4Z,1,REGULAR,3pt,Jump Shot,[],203081,28.95860709592641,23.284313725490193,1610612749,16,19,2024-03-09T03:29:48Z,670000,False,134.0,220.0,1,left,MISS D. Lillard 25' pullup 3PT - blocked,"[203081, 203915]",1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,25.71,Missed,,,,,,,,,,,,,,,Dinwiddie,203915.0,,
68,PT04M40.00S,2024-03-09T03:29:00.4Z,1,REGULAR,block,,[],203915,,,1610612749,16,19,2024-03-09T03:29:02Z,680000,False,,,0,,S. Dinwiddie BLOCK (1 BLK),[203915],1610612747.0,LAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
69,PT04M38.00S,2024-03-09T03:29:02.4Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,16,19,2024-03-09T03:29:03Z,690000,False,,,0,,A. Reaves REBOUND (Off:0 Def:2),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,,,,67.0,2.0,2.0,0.0,,,,,,,,,,,,,
70,PT04M35.00S,2024-03-09T03:29:08.2Z,1,REGULAR,foul,personal,[],203109,,,1610612747,16,19,2024-03-09T03:29:18Z,700000,False,,,0,,J. Crowder personal FOUL (2 PF),"[203109, 203076]",1610612749.0,MIL,,,,Crowder,J. Crowder,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1629178.0,,,,,2.0,0.0,Davis,203076.0,,,,
72,PT04M35.00S,2024-03-09T03:29:18.9Z,1,REGULAR,substitution,out,[],1629060,,,1610612747,16,19,2024-03-09T03:29:39Z,720000,False,,,0,,SUB out: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M35.00S,2024-03-09T03:29:18.9Z,1,REGULAR,substitution,out,[],1626156,,,1610612747,16,19,2024-03-09T03:29:39Z,730000,False,,,0,,SUB out: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M35.00S,2024-03-09T03:29:18.9Z,1,REGULAR,substitution,out,[],203109,,,1610612747,16,19,2024-03-09T03:29:39Z,740000,False,,,0,,SUB out: J. Crowder,[203109],1610612749.0,MIL,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M35.00S,2024-03-09T03:29:18.9Z,1,REGULAR,substitution,out,[],203507,,,1610612747,16,19,2024-03-09T03:29:39Z,750000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M35.00S,2024-03-09T03:29:18.9Z,1,REGULAR,substitution,in,[],1627752,,,1610612747,16,19,2024-03-09T03:29:39Z,760000,False,,,0,,SUB in: T. Prince,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M35.00S,2024-03-09T03:29:18.9Z,1,REGULAR,substitution,in,[],1629637,,,1610612747,16,19,2024-03-09T03:29:39Z,770000,False,,,0,,SUB in: J. Hayes,[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M35.00S,2024-03-09T03:29:18.9Z,1,REGULAR,substitution,in,[],1626192,,,1610612747,16,19,2024-03-09T03:29:39Z,780000,False,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M35.00S,2024-03-09T03:29:18.9Z,1,REGULAR,substitution,in,[],1626171,,,1610612747,16,19,2024-03-09T03:29:39Z,790000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M28.00S,2024-03-09T03:29:49.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,85.85742444152432,51.470588235294116,1610612747,16,19,2024-03-09T03:29:53Z,800000,False,7.0,80.0,1,right,MISS A. Reaves 8' driving floating Shot,[1630559],1610612747.0,LAL,driving floating,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,8.07,Missed,,,,,,,,,,,,,,,,,,
