actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
31,PT09M29.00S,2023-11-23T03:44:05.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641726,6.225361366622863,52.69607843137255,1610612742,3,4,2023-11-23T03:44:08Z,310000,False,-13.0,6.0,1,left,D. Lively II cutting DUNK (2 PTS) (L. Doncic 1 AST),"[1641726, 1629029]",1610612742.0,DAL,cutting,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,,,,1.48,Made,,,,,,,2.0,L. Doncic,1629029.0,1.0,,
33,PT09M02.00S,2023-11-23T03:44:30.9Z,1,REGULAR,3pt,Jump Shot,[],1627752,90.06241787122208,94.8529411764706,1610612747,3,4,2023-11-23T03:44:34Z,330000,False,224.0,41.0,1,right,MISS T. Prince 3PT,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Right Corner 3,24+ Right,,,,,,,22.8,Missed,,,,,,,,,,,,
34,PT09M00.00S,2023-11-23T03:44:32.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,3,4,2023-11-23T03:44:34Z,340000,False,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Right Corner 3,24+ Right,,,,,,,,,,,33.0,2.0,2.0,0.0,,,,,,
35,PT08M49.00S,2023-11-23T03:44:44.7Z,1,REGULAR,3pt,Jump Shot,[],1629029,7.802233902759525,4.656862745098039,1610612742,3,4,2023-11-23T03:50:21Z,350000,False,227.0,21.0,1,left,MISS L. Doncic 3PT,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Right Corner 3,24+ Right,,,,,,,22.77,Missed,,,,,,,,,,,,
36,PT08M45.00S,2023-11-23T03:44:48.7Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,3,4,2023-11-23T03:50:21Z,360000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Right Corner 3,24+ Right,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,
37,PT08M39.00S,2023-11-23T03:44:54.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],2544,92.69053876478318,50.0,1610612747,5,4,2023-11-23T03:44:58Z,370000,False,0.0,16.0,1,right,L. James DUNK (2 PTS) (T. Prince 1 AST),"[2544, 1627752]",1610612747.0,LAL,,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,,,1.62,Made,,,,,,,2.0,T. Prince,1627752.0,1.0,,
39,PT08M22.00S,2023-11-23T03:45:11.5Z,1,REGULAR,3pt,Jump Shot,[],1629684,9.247700394218143,2.941176470588232,1610612742,5,4,2023-11-23T03:45:16Z,390000,False,235.0,34.0,1,left,MISS G. Williams 3PT,[1629684],1610612742.0,DAL,,,,Williams,G. Williams,,,,,Right Corner 3,24+ Right,,,,,,,23.78,Missed,,,,,,,,,,,,
40,PT08M20.00S,2023-11-23T03:45:13.5Z,1,REGULAR,rebound,defensive,[],1631108,,,1610612747,5,4,2023-11-23T03:45:16Z,400000,False,,,0,,M. Christie REBOUND (Off:0 Def:1),[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Right Corner 3,24+ Right,,,,,,,,,,,39.0,1.0,1.0,0.0,,,,,,
41,PT08M12.00S,2023-11-23T03:45:21.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,89.93101182654402,48.529411764705884,1610612747,5,4,2023-11-23T03:45:26Z,410000,False,-7.0,42.0,1,right,MISS D. Russell floating Shot,[1626156],1610612747.0,LAL,floating,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,,,,4.27,Missed,,,,,,,,,,,,
42,PT08M10.00S,2023-11-23T03:45:23.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,5,4,2023-11-23T03:45:26Z,420000,False,,,0,,L. Doncic REBOUND (Off:0 Def:3),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,41.0,3.0,3.0,0.0,,,,,,
43,PT08M04.00S,2023-11-23T03:45:29.1Z,1,REGULAR,3pt,Jump Shot,[],1629684,10.167542706964511,96.07843137254902,1610612742,5,7,2023-11-23T03:45:34Z,430000,False,-230.0,43.0,1,left,G. Williams 3PT  (3 PTS) (D. Lively II 1 AST),"[1629684, 1641726]",1610612742.0,DAL,,,,Williams,G. Williams,,,,,Left Corner 3,24+ Left,,,,,,,23.44,Made,,,,,,,3.0,D. Lively II,1641726.0,1.0,,
45,PT07M50.00S,2023-11-23T03:45:44.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,83.36070959264126,65.44117647058823,1610612747,5,7,2023-11-23T03:45:48Z,450000,False,77.0,104.0,1,right,MISS A. Davis 12' floating Shot,[203076],1610612747.0,LAL,floating,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,12.94,Missed,,,,,,,,,,,,
46,PT07M48.00S,2023-11-23T03:45:46.5Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,5,7,2023-11-23T03:45:48Z,460000,False,,,0,,L. Doncic REBOUND (Off:0 Def:4),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,45.0,4.0,4.0,0.0,,,,,,
47,PT07M45.00S,2023-11-23T03:45:49.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202681,27.38173455978975,85.5392156862745,1610612742,5,10,2023-11-23T03:45:58Z,470000,False,-178.0,205.0,1,left,K. Irving 27' 3PT running pullup (5 PTS) (L. Doncic 2 AST),"[202681, 1629029]",1610612742.0,DAL,running pullup,,,Irving,K. Irving,,,,,Above the Break 3,24+ Left Center,,,,,,,27.12,Made,,,,,,,5.0,L. Doncic,1629029.0,2.0,,
49,PT07M29.00S,2023-11-23T03:46:06.4Z,1,REGULAR,foul,personal,['2freethrow'],1627884,,,1610612747,5,10,2023-11-23T03:46:21Z,490000,False,,,0,,D. Jones Jr. shooting personal FOUL (1 PF) (Russell 2 FT),"[1627884, 1626156]",1610612742.0,DAL,shooting,,,Jones Jr.,D. Jones Jr.,,,,,Restricted Area,0-8 Center,2534.0,1.0,0.0,Russell,1626156.0,,,,,,,,,,,,,,,
51,PT07M29.00S,2023-11-23T03:46:35.7Z,1,REGULAR,freethrow,1 of 2,[],1626156,,,1610612747,6,10,2023-11-23T03:46:35Z,510000,False,,,0,,D. Russell Free Throw 1 of 2 (1 PTS),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,Made,,,,,,,1.0,,,,,
52,PT07M29.00S,2023-11-23T03:46:48.6Z,1,REGULAR,freethrow,2 of 2,[],1626156,,,1610612747,7,10,2023-11-23T03:46:48Z,520000,False,,,0,,D. Russell Free Throw 2 of 2 (2 PTS),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,Made,,,,,,,2.0,,,,,
53,PT07M11.00S,2023-11-23T03:47:07.4Z,1,REGULAR,2pt,Jump Shot,[],1629029,10.036136662286467,80.63725490196079,1610612742,7,10,2023-11-23T03:47:12Z,530000,False,-153.0,42.0,1,left,MISS L. Doncic 15' fadeaway Shot,[1629029],1610612742.0,DAL,fadeaway,,,Doncic,L. Doncic,,,,,Mid-Range,8-16 Left,,,,,,,15.88,Missed,,,,,,,,,,,,
54,PT07M10.00S,2023-11-23T03:47:08.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,7,10,2023-11-23T03:47:12Z,540000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,53.0,,,,,,,,,
56,PT07M10.00S,2023-11-23T03:47:14.0Z,1,REGULAR,substitution,out,[],202681,,,1610612747,7,10,2023-11-23T03:47:19Z,560000,False,,,0,,SUB out: K. Irving,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M10.00S,2023-11-23T03:47:14.0Z,1,REGULAR,substitution,in,[],203501,,,1610612747,7,10,2023-11-23T03:47:19Z,570000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M47.00S,2023-11-23T03:47:46.0Z,1,REGULAR,3pt,Jump Shot,[],1627752,76.13337713534823,89.2156862745098,1610612747,10,10,2023-11-23T03:47:49Z,580000,False,196.0,172.0,1,right,T. Prince 26' 3PT  (3 PTS),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,,,,,,,26.07,Made,,,,,,,3.0,,,,,
59,PT06M34.00S,2023-11-23T03:48:00.3Z,1,REGULAR,foul,personal,['2freethrow'],203076,,,1610612742,10,10,2023-11-23T03:48:09Z,590000,False,,,0,,A. Davis shooting personal FOUL (1 PF) (Doncic 2 FT),"[203076, 1629029]",1610612747.0,LAL,shooting,,,Davis,A. Davis,,,,,Mid-Range,16-24 Right Center,201245.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,,,,,,,
61,PT06M34.00S,2023-11-23T03:48:11.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,10,10,2023-11-23T03:48:11Z,610000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M34.00S,2023-11-23T03:50:46.1Z,1,REGULAR,substitution,out,[],1631108,,,1610612742,10,10,2023-11-23T03:51:06Z,620000,False,,,0,,SUB out: M. Christie,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M34.00S,2023-11-23T03:50:46.1Z,1,REGULAR,substitution,out,[],1627884,,,1610612742,10,10,2023-11-23T03:51:06Z,630000,False,,,0,,SUB out: D. Jones Jr.,[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M34.00S,2023-11-23T03:50:46.1Z,1,REGULAR,substitution,in,[],1629060,,,1610612742,10,10,2023-11-23T03:51:06Z,640000,False,,,0,,SUB in: R. Hachimura,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M34.00S,2023-11-23T03:50:46.1Z,1,REGULAR,substitution,in,[],1630182,,,1610612742,10,10,2023-11-23T03:51:06Z,650000,False,,,0,,SUB in: J. Green,[1630182],1610612742.0,DAL,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M34.00S,2023-11-23T03:51:32.1Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,10,11,2023-11-23T03:51:50Z,660000,False,,,0,,L. Doncic Free Throw 1 of 2 (1 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,Made,,,,,,,1.0,,,,,
67,PT06M34.00S,2023-11-23T03:51:32.1Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,10,11,2023-11-23T03:51:50Z,670000,False,,,0,,MISS L. Doncic Free Throw 2 of 2,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,Missed,,,,,,,,,,,,
68,PT06M32.00S,2023-11-23T03:51:34.1Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,10,11,2023-11-23T03:51:50Z,680000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,67.0,1.0,1.0,0.0,,,,,,
69,PT06M14.00S,2023-11-23T03:52:06.3Z,1,REGULAR,3pt,Jump Shot,[],1626156,88.2227332457293,96.32352941176471,1610612747,10,11,2023-11-23T03:52:10Z,690000,False,232.0,58.0,1,right,MISS D. Russell 3PT,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Right Corner 3,24+ Right,,,,,,,23.88,Missed,,,,,,,,,,,,
70,PT06M12.00S,2023-11-23T03:52:08.3Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,10,11,2023-11-23T03:52:10Z,700000,False,,,0,,D. Lively II REBOUND (Off:0 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Right Corner 3,24+ Right,,,,,,,,,,,69.0,1.0,1.0,0.0,,,,,,
71,PT06M09.00S,2023-11-23T03:52:12.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630182,8.722076215505908,50.73529411764706,1610612742,10,13,2023-11-23T03:52:21Z,710000,False,-4.0,29.0,1,left,J. Green running DUNK (2 PTS) (L. Doncic 3 AST),"[1630182, 1629029]",1610612742.0,DAL,running,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,2.97,Made,,,,,,,2.0,L. Doncic,1629029.0,3.0,,
73,PT05M59.00S,2023-11-23T03:52:22.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,89.79960578186596,54.90196078431372,1610612747,10,13,2023-11-23T03:52:30Z,730000,False,25.0,43.0,1,right,MISS D. Russell driving bank Shot,[1626156],1610612747.0,LAL,driving bank,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,4.98,Missed,,,,,,,,,,,,
74,PT05M53.00S,2023-11-23T03:52:27.7Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,10,13,2023-11-23T03:52:27Z,740000,False,,,0,,A. Davis REBOUND (Off:1 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,73.0,3.0,2.0,1.0,,,,,,
75,PT05M53.00S,2023-11-23T03:52:27.7Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",203076,94.40999984741211,50.0,1610612747,12,13,2023-11-23T03:52:32Z,750000,False,0.0,0.0,1,right,A. Davis putback DUNK (2 PTS),[203076],1610612747.0,LAL,putback,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,0.0,Made,,,,,,,2.0,,,,,
76,PT05M40.00S,2023-11-23T03:52:41.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641726,11.087385019710908,51.470588235294116,1610612742,12,13,2023-11-23T03:52:44Z,760000,False,-7.0,52.0,1,left,MISS D. Lively II Hook,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,5.22,Missed,,,,,,,,,,,,
77,PT05M38.00S,2023-11-23T03:52:43.2Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,12,13,2023-11-23T03:52:44Z,770000,False,,,0,,A. Davis REBOUND (Off:1 Def:3),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,76.0,4.0,3.0,1.0,,,,,,
78,PT05M33.00S,2023-11-23T03:52:47.7Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629060,93.87319316688567,50.73529411764706,1610612747,14,13,2023-11-23T03:52:54Z,780000,False,4.0,5.0,1,right,R. Hachimura running DUNK (2 PTS) (L. James 1 AST),"[1629060, 2544]",1610612747.0,LAL,running,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,,,,,0.63,Made,,,,,,,2.0,L. James,2544.0,1.0,,
80,PT05M14.00S,2023-11-23T03:53:06.3Z,1,REGULAR,3pt,Jump Shot,[],203501,31.586727989487514,78.18627450980392,1610612742,14,16,2023-11-23T03:53:11Z,800000,False,-141.0,244.0,1,left,T. Hardaway Jr. 28' 3PT  (3 PTS) (J. Green 1 AST),"[203501, 1630182]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,28.21,Made,,,,,,,3.0,J. Green,1630182.0,1.0,,
82,PT04M54.00S,2023-11-23T03:53:26.9Z,1,REGULAR,3pt,Jump Shot,[],1629060,96.10709592641261,6.127450980392155,1610612747,17,16,2023-11-23T03:53:30Z,820000,False,-219.0,-16.0,1,right,R. Hachimura 3PT  (5 PTS) (D. Russell 1 AST),"[1629060, 1626156]",1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Left Corner 3,24+ Left,,,,,,,22.0,Made,,,,,,,5.0,D. Russell,1626156.0,1.0,,
84,PT04M42.00S,2023-11-23T03:53:38.2Z,1,REGULAR,3pt,Jump Shot,[],203501,29.221419185282528,79.41176470588235,1610612742,17,16,2023-11-23T03:53:45Z,840000,False,-147.0,222.0,1,left,MISS T. Hardaway Jr. 26' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,26.65,Missed,,,,,,,,,,,,
85,PT04M41.00S,2023-11-23T03:53:39.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,17,16,2023-11-23T03:53:45Z,850000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,84.0,,,,,,,,,
86,PT04M41.00S,2023-11-23T03:53:45.3Z,1,REGULAR,foul,personal,[],1629060,,,1610612742,17,16,2023-11-23T03:53:52Z,860000,False,,,0,,R. Hachimura loose ball personal FOUL (1 PF),"[1629060, 1629684]",1610612747.0,LAL,loose ball,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,2534.0,1.0,0.0,Williams,1629684.0,,,,,,,,,,,,,,,
88,PT04M41.00S,2023-11-23T03:53:51.9Z,1,REGULAR,substitution,out,[],1626156,,,1610612742,17,16,2023-11-23T03:53:57Z,880000,False,,,0,,SUB out: D. Russell,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
