actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
18,PT10M37.00S,2026-02-25T02:11:49.1Z,1,REGULAR,3pt,Jump Shot,[],1628401,26.465998685939553,13.258272058823529,1610612738,3,6,2026-02-25T02:12:03Z,180000,False,184.0,196.0,1,left,MISS D. White 26' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,26.88,Missed,,,,,,,,,,,,,,,
19,PT10M34.00S,2026-02-25T02:11:52.1Z,1,REGULAR,rebound,offensive,[],1631199,,,1610612738,3,6,2026-02-25T02:24:26Z,190000,False,,,0,,R. Harper Jr. REBOUND (Off:1 Def:0),[1631199],1610612738.0,BOS,,,,Harper Jr.,R. Harper Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,18.0,1.0,0.0,1.0,,,,,
20,PT10M33.00S,2026-02-25T02:11:53.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631199,12.302890932982917,46.568627450980394,1610612738,3,8,2026-02-25T02:24:44Z,200000,False,17.0,63.0,1,left,R. Harper Jr. 6' putback Layup (2 PTS),[1631199],1610612738.0,BOS,putback,,,Harper Jr.,R. Harper Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,6.54,Made,2.0,,,,,,,,,,,,,,
22,PT10M12.00S,2026-02-25T02:12:15.5Z,1,REGULAR,foul,personal,[],1631199,,,1610612756,3,8,2026-02-25T02:12:22Z,220000,False,,,0,,R. Harper Jr. personal FOUL (1 PF),"[1631199, 1631221]",1610612738.0,BOS,,,,Harper Jr.,R. Harper Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Gillespie,1631221.0
24,PT10M07.00S,2026-02-25T02:12:43.2Z,1,REGULAR,2pt,Jump Shot,[],1631221,95.40078843626807,68.65042892156863,1610612756,3,8,2026-02-25T02:13:03Z,240000,False,93.0,-9.0,1,right,MISS C. Gillespie 9' driving floating Shot,[1631221],1610612756.0,PHX,driving floating,,,Gillespie,C. Gillespie,,,,,Mid-Range,8-16 Right,,,,9.38,Missed,,,,,,,,,,,,,,,
25,PT10M05.00S,2026-02-25T02:12:45.2Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,3,8,2026-02-25T02:12:46Z,250000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,
26,PT09M59.00S,2026-02-25T02:12:51.3Z,1,REGULAR,3pt,Jump Shot,[],1631248,26.62614980289093,12.5,1610612738,3,8,2026-02-25T02:12:57Z,260000,False,188.0,198.0,1,left,MISS B. Scheierman 27' 3PT,[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Above the Break 3,24+ Right Center,,,,27.25,Missed,,,,,,,,,,,,,,,
27,PT09M55.00S,2026-02-25T02:12:55.3Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612756,3,8,2026-02-25T02:12:57Z,270000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,
28,PT09M40.00S,2026-02-25T02:13:10.5Z,1,REGULAR,2pt,Jump Shot,[],1630224,74.32654402102497,33.088235294117645,1610612756,3,8,2026-02-25T02:13:15Z,280000,False,-85.0,189.0,1,right,MISS J. Green 20' pullup Shot,[1630224],1610612756.0,PHX,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,,,,20.69,Missed,,,,,,,,,,,,,,,
29,PT09M37.00S,2026-02-25T02:13:13.5Z,1,REGULAR,rebound,offensive,[],1642346,,,1610612756,3,8,2026-02-25T02:13:15Z,290000,False,,,0,,R. Dunn REBOUND (Off:1 Def:0),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,28.0,1.0,0.0,1.0,,,,,
30,PT09M36.00S,2026-02-25T02:13:14.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642346,94.03745072273325,50.73529411764706,1610612756,5,8,2026-02-25T02:13:23Z,300000,False,4.0,4.0,1,right,R. Dunn putback Layup (2 PTS),[1642346],1610612756.0,PHX,putback,,,Dunn,R. Dunn,,,,,Restricted Area,0-8 Center,,,,0.51,Made,2.0,,,,,,,,,,,,,,
31,PT09M19.00S,2026-02-25T02:13:31.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,16.770696452036795,47.05882352941176,1610612738,5,8,2026-02-25T02:16:14Z,310000,False,15.0,105.0,1,left,MISS D. White 10' fadeaway Shot,[1628401],1610612738.0,BOS,fadeaway,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,10.61,Missed,,,,,,,,,,,,,,,
32,PT09M16.00S,2026-02-25T02:13:34.2Z,1,REGULAR,rebound,offensive,[],1631199,,,1610612738,5,8,2026-02-25T02:13:36Z,320000,False,,,0,,R. Harper Jr. REBOUND (Off:2 Def:0),[1631199],1610612738.0,BOS,,,,Harper Jr.,R. Harper Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,31.0,2.0,0.0,2.0,,,,,
33,PT09M15.00S,2026-02-25T02:13:35.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631199,6.1268068331143235,48.529411764705884,1610612738,5,8,2026-02-25T02:13:39Z,330000,False,7.0,5.0,1,left,MISS R. Harper Jr. putback Layup,[1631199],1610612738.0,BOS,putback,,,Harper Jr.,R. Harper Jr.,,,,,Restricted Area,0-8 Center,,,,0.9,Missed,,,,,,,,,,,,,,,
34,PT09M14.00S,2026-02-25T02:13:36.0Z,1,REGULAR,rebound,offensive,[],1629674,,,1610612738,5,8,2026-02-25T02:16:45Z,340000,False,,,0,,N. Queta REBOUND (Off:1 Def:0),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,33.0,1.0,0.0,1.0,,,,,
35,PT09M14.00S,2026-02-25T02:13:38.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629674,7.178055190538765,47.30392156862745,1610612738,5,10,2026-02-25T02:16:35Z,350000,False,13.0,15.0,1,left,N. Queta tip DUNK (2 PTS),[1629674],1610612738.0,BOS,tip,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,2.02,Made,2.0,,,,,,,,,,,,,,
37,PT09M01.00S,2026-02-25T02:13:49.1Z,1,REGULAR,2pt,Jump Shot,[],1630224,77.7431011826544,23.284313725490197,1610612756,7,10,2026-02-25T02:14:28Z,370000,False,-134.0,157.0,1,right,J. Green 20' step back Jump Shot (5 PTS) (C. Gillespie 1 AST),"[1630224, 1631221]",1610612756.0,PHX,step back,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,,,,20.59,Made,5.0,C. Gillespie,1631221.0,1.0,,,,,,,,,,,
38,PT08M41.00S,2026-02-25T02:14:09.5Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612738,7,10,2026-02-25T02:14:13Z,380000,False,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 1631221]",1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Right Center,1.0,Gillespie,1631221.0,,,,,,,,,,,,,,,,,
39,PT08M41.00S,2026-02-25T02:14:09.5Z,1,REGULAR,steal,,[],1631221,,,1610612756,7,10,2026-02-25T02:14:11Z,390000,False,,,0,,C. Gillespie STEAL (1 STL),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
40,PT08M36.00S,2026-02-25T02:14:15.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626220,96.40275952693824,1.9607843137254901,1610612756,10,10,2026-02-25T02:14:25Z,400000,False,-240.0,-19.0,1,right,R. O'Neale 24' 3PT running (3 PTS) (R. Dunn 1 AST),"[1626220, 1642346]",1610612756.0,PHX,running,,,O'Neale,R. O'Neale,,,,,Left Corner 3,24+ Left,,,,24.09,Made,3.0,R. Dunn,1642346.0,1.0,,,,,,,,,,,
42,PT08M18.00S,2026-02-25T02:14:31.4Z,1,REGULAR,3pt,Jump Shot,[],1631248,27.808804204993432,79.65686274509804,1610612738,10,10,2026-02-25T02:14:36Z,420000,False,-148.0,209.0,1,left,MISS B. Scheierman 25' 3PT,[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Above the Break 3,24+ Left Center,,,,25.62,Missed,,,,,,,,,,,,,,,
43,PT08M15.00S,2026-02-25T02:14:36.0Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612738,10,10,2026-02-25T02:14:36Z,430000,False,,,0,,D. White REBOUND (Off:1 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,42.0,2.0,1.0,1.0,,,,,
44,PT08M14.00S,2026-02-25T02:14:36.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631199,27.151773981603156,12.254901960784313,1610612738,10,10,2026-02-25T02:14:43Z,440000,False,189.0,203.0,1,left,MISS R. Harper Jr. 27' 3PT,[1631199],1610612738.0,BOS,,,,Harper Jr.,R. Harper Jr.,,,,,Above the Break 3,24+ Right Center,,,,27.69,Missed,,,,,,,,,,,,,,,
45,PT08M07.00S,2026-02-25T02:14:43.8Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,10,10,2026-02-25T02:14:43Z,450000,False,,,0,,R. Dunn REBOUND (Off:1 Def:1),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,44.0,2.0,1.0,1.0,,,,,
46,PT08M01.00S,2026-02-25T02:14:51.2Z,1,REGULAR,foul,personal,[],1631248,,,1610612756,10,10,2026-02-25T02:14:55Z,460000,False,,,0,,B. Scheierman personal FOUL (1 PF),"[1631248, 1630224]",1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Green,1630224.0
48,PT07M48.00S,2026-02-25T02:15:21.6Z,1,REGULAR,3pt,Jump Shot,[],1630224,85.23324572930355,97.54901960784314,1610612756,10,10,2026-02-25T02:15:27Z,480000,False,238.0,86.0,1,right,MISS J. Green 25' pullup 3PT,[1630224],1610612756.0,PHX,pullup,,,Green,J. Green,,,,,Right Corner 3,24+ Right,,,,25.29,Missed,,,,,,,,,,,,,,,
49,PT07M45.00S,2026-02-25T02:15:24.6Z,1,REGULAR,rebound,offensive,[],1642346,,,1610612756,10,10,2026-02-25T02:15:27Z,490000,False,,,0,,R. Dunn REBOUND (Off:2 Def:1),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,48.0,3.0,1.0,2.0,,,,,
50,PT07M43.00S,2026-02-25T02:15:25.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642346,92.9862023653088,49.26470588235294,1610612756,12,10,2026-02-25T02:15:31Z,500000,False,-4.0,13.0,1,right,R. Dunn putback Layup (4 PTS),[1642346],1610612756.0,PHX,putback,,,Dunn,R. Dunn,,,,,Restricted Area,0-8 Center,,,,1.39,Made,4.0,,,,,,,,,,,,,,
52,PT07M26.00S,2026-02-25T02:15:44.7Z,1,REGULAR,violation,kicked ball,[],1631109,,,1610612738,12,10,2026-02-25T02:15:56Z,520000,False,,,0,,M. Williams kicked ball VIOLATION,[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,,,,,,,,,,,,,,,,,,1179.0,,,,
53,PT07M22.00S,2026-02-25T02:16:08.5Z,1,REGULAR,3pt,Jump Shot,[],1630573,33.459264126149804,35.53921568627451,1610612738,12,10,2026-02-25T02:16:14Z,530000,False,72.0,262.0,1,left,MISS S. Hauser 27' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,,,27.18,Missed,,,,,,,,,,,,,,,
54,PT07M18.00S,2026-02-25T02:16:12.5Z,1,REGULAR,rebound,offensive,[],1630573,,,1610612738,12,10,2026-02-25T02:16:14Z,540000,False,,,0,,S. Hauser REBOUND (Off:1 Def:0),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,53.0,1.0,0.0,1.0,,,,,
55,PT07M17.00S,2026-02-25T02:16:13.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631199,4.155716162943495,95.09803921568627,1610612738,12,10,2026-02-25T02:16:17Z,550000,False,-225.0,-13.0,1,left,MISS R. Harper Jr. 3PT,[1631199],1610612738.0,BOS,,,,Harper Jr.,R. Harper Jr.,,,,,Left Corner 3,24+ Left,,,,22.59,Missed,,,,,,,,,,,,,,,
56,PT07M13.00S,2026-02-25T02:16:17.6Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,12,10,2026-02-25T02:16:17Z,560000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,
57,PT07M04.00S,2026-02-25T02:16:25.8Z,1,REGULAR,turnover,lost ball,[],1631109,,,1610612756,12,10,2026-02-25T02:16:29Z,570000,False,,,0,,M. Williams lost ball TURNOVER (1 TO),"[1631109, 1631199]",1610612756.0,PHX,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,1.0,Harper Jr.,1631199.0,,,,,,,,,,,,,,,,,
58,PT07M04.00S,2026-02-25T02:16:25.8Z,1,REGULAR,steal,,[],1631199,,,1610612738,12,10,2026-02-25T02:17:22Z,580000,False,,,0,,R. Harper Jr. STEAL (1 STL),[1631199],1610612738.0,BOS,,,,Harper Jr.,R. Harper Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
59,PT06M58.00S,2026-02-25T02:16:32.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631248,5.732588699080158,0.24509803921568626,1610612738,12,10,2026-02-25T02:16:37Z,590000,False,249.0,1.0,1,left,MISS B. Scheierman 24' 3PT,[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Right Corner 3,24+ Right,,,,24.88,Missed,,,,,,,,,,,,,,,
60,PT06M54.00S,2026-02-25T02:16:36.1Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612756,12,10,2026-02-25T02:16:37Z,600000,False,,,0,,M. Williams REBOUND (Off:0 Def:2),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,59.0,2.0,2.0,0.0,,,,,
61,PT06M42.00S,2026-02-25T02:16:48.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631109,91.40932982917214,48.03921568627451,1610612756,12,10,2026-02-25T02:20:53Z,610000,False,-10.0,28.0,1,right,MISS M. Williams driving Hook,[1631109],1610612756.0,PHX,driving,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,2.99,Missed,,,,,,,,,,,,,,,
62,PT06M39.00S,2026-02-25T02:16:51.4Z,1,REGULAR,rebound,defensive,[],1631248,,,1610612738,12,10,2026-02-25T02:16:52Z,620000,False,,,0,,B. Scheierman REBOUND (Off:0 Def:1),[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,61.0,1.0,1.0,0.0,,,,,
63,PT06M36.00S,2026-02-25T02:16:54.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,12.040078843626807,2.696078431372549,1610612738,12,10,2026-02-25T02:23:30Z,630000,False,237.0,61.0,1,left,MISS D. White 24' running pullup 3PT,[1628401],1610612738.0,BOS,running pullup,,,White,D. White,,,,,Right Corner 3,24+ Right,,,,24.42,Missed,,,,,,,,,,,,,,,
64,PT06M34.00S,2026-02-25T02:16:56.5Z,1,REGULAR,rebound,offensive,[],1630573,,,1610612738,12,10,2026-02-25T02:28:06Z,640000,False,,,0,,S. Hauser REBOUND (Off:2 Def:0),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,63.0,2.0,0.0,2.0,,,,,
65,PT06M34.00S,2026-02-25T02:17:01.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630573,6.915243101182654,47.30392156862745,1610612738,12,10,2026-02-25T02:29:34Z,650000,False,13.0,13.0,1,left,MISS S. Hauser tip Layup,[1630573],1610612738.0,BOS,tip,,,Hauser,S. Hauser,,,,,Restricted Area,0-8 Center,,,,1.84,Missed,,,,,,,,,,,,,,,
66,PT06M32.00S,2026-02-25T02:17:03.6Z,1,REGULAR,rebound,offensive,[],1631199,,,1610612738,12,10,2026-02-25T02:29:34Z,660000,False,,,0,,R. Harper Jr. REBOUND (Off:3 Def:0),[1631199],1610612738.0,BOS,,,,Harper Jr.,R. Harper Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,65.0,3.0,0.0,3.0,,,,,
67,PT06M18.00S,2026-02-25T02:17:11.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1631199,11.251642575558476,51.470588235294116,1610612738,12,10,2026-02-25T02:17:18Z,670000,False,-7.0,53.0,1,left,MISS R. Harper Jr. driving floating Shot,[1631199],1610612738.0,BOS,driving floating,,,Harper Jr.,R. Harper Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,5.38,Missed,,,,,,,,,,,,,,,
68,PT06M15.00S,2026-02-25T02:17:14.6Z,1,REGULAR,rebound,defensive,[],1631221,,,1610612756,12,10,2026-02-25T02:17:14Z,680000,False,,,0,,C. Gillespie REBOUND (Off:0 Def:1),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,67.0,1.0,1.0,0.0,,,,,
69,PT06M06.00S,2026-02-25T02:17:23.6Z,1,REGULAR,3pt,Jump Shot,[],1631221,64.20827858081472,41.17647058823529,1610612756,15,10,2026-02-25T02:17:31Z,690000,False,-44.0,284.0,1,right,C. Gillespie 28' 3PT pullup (3 PTS) (R. Dunn 2 AST),"[1631221, 1642346]",1610612756.0,PHX,pullup,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Center,,,,28.73,Made,3.0,R. Dunn,1642346.0,2.0,,,,,,,,,,,
71,PT05M46.00S,2026-02-25T02:17:43.5Z,1,REGULAR,2pt,Jump Shot,[],1628401,14.273981603153747,33.82352941176471,1610612738,15,12,2026-02-25T02:17:49Z,710000,False,81.0,82.0,1,left,D. White 11' driving floating Jump Shot (5 PTS) (N. Queta 1 AST),"[1628401, 1629674]",1610612738.0,BOS,driving floating,,,White,D. White,,,,,Mid-Range,8-16 Right,,,,11.5,Made,5.0,N. Queta,1629674.0,1.0,,,,,,,,,,,
73,PT05M45.00S,2026-02-25T02:17:48.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,15,12,2026-02-25T02:17:48Z,730000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M45.00S,2026-02-25T02:19:59.1Z,1,REGULAR,substitution,out,[],1626220,,,1610612756,15,12,2026-02-25T02:20:17Z,740000,False,,,0,,SUB out: R. O'Neale,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M45.00S,2026-02-25T02:19:59.1Z,1,REGULAR,substitution,out,[],1631109,,,1610612756,15,12,2026-02-25T02:20:17Z,750000,False,,,0,,SUB out: M. Williams,[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M45.00S,2026-02-25T02:19:59.1Z,1,REGULAR,substitution,out,[],1631221,,,1610612756,15,12,2026-02-25T02:20:17Z,760000,False,,,0,,SUB out: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M45.00S,2026-02-25T02:19:59.1Z,1,REGULAR,substitution,out,[],1631199,,,1610612756,15,12,2026-02-25T02:20:17Z,770000,False,,,0,,SUB out: R. Harper Jr.,[1631199],1610612738.0,BOS,,,,Harper Jr.,R. Harper Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M45.00S,2026-02-25T02:19:59.1Z,1,REGULAR,substitution,out,[],1628401,,,1610612756,15,12,2026-02-25T02:20:17Z,780000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M45.00S,2026-02-25T02:19:59.1Z,1,REGULAR,substitution,out,[],1629674,,,1610612756,15,12,2026-02-25T02:20:17Z,790000,False,,,0,,SUB out: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M45.00S,2026-02-25T02:19:59.1Z,1,REGULAR,substitution,out,[],1631248,,,1610612756,15,12,2026-02-25T02:20:17Z,800000,False,,,0,,SUB out: B. Scheierman,[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M45.00S,2026-02-25T02:19:59.1Z,1,REGULAR,substitution,in,[],1631123,,,1610612756,15,12,2026-02-25T02:20:17Z,810000,False,,,0,,SUB in: J. Bouyea,[1631123],1610612756.0,PHX,,,,Bouyea,J. Bouyea,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M45.00S,2026-02-25T02:19:59.1Z,1,REGULAR,substitution,in,[],1628960,,,1610612756,15,12,2026-02-25T02:20:17Z,820000,False,,,0,,SUB in: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
