actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
15,PT11M05.00S,2026-03-25T03:14:03.8Z,1,REGULAR,rebound,defensive,[],1642345,,,1610612756,3,2,2026-03-25T03:14:10Z,150000,False,,,0,,O. Ighodaro REBOUND (Off:0 Def:1),[1642345],1610612756.0,PHX,,Ighodaro,O. Ighodaro,,Above the Break 3,24+ Left Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
16,PT10M41.00S,2026-03-25T03:14:28.6Z,1,REGULAR,2pt,Jump Shot,[],1631221,24.52365308804205,55.88235294117647,1610612756,5,2,2026-03-25T03:14:38Z,160000,False,-29.0,178.0,1,left,C. Gillespie 18' step back Jump Shot (5 PTS),[1631221],1610612756.0,PHX,,Gillespie,C. Gillespie,step back,Mid-Range,16-24 Center,18.04,Made,5.0,,,,,,,,,,,,,,,,,,,,,,
17,PT10M31.00S,2026-03-25T03:14:40.3Z,1,REGULAR,foul,personal,['2freethrow'],1626220,,,1610612743,5,2,2026-03-25T03:14:57Z,170000,False,,,0,,R. O'Neale shooting personal FOUL (1 PF) (Gordon 2 FT),"[1626220, 203932]",1610612756.0,PHX,204058.0,O'Neale,R. O'Neale,shooting,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,1.0,0.0,Gordon,203932.0,,,,,,,,,,,
19,PT10M31.00S,2026-03-25T03:15:01.7Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,5,2,2026-03-25T03:15:18Z,190000,False,,,0,,MISS A. Gordon Free Throw 1 of 2,[203932],1610612743.0,DEN,,Gordon,A. Gordon,,,,,Missed,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M31.00S,2026-03-25T03:15:01.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612743,5,2,2026-03-25T03:15:18Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,
21,PT10M31.00S,2026-03-25T03:15:01.7Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,5,2,2026-03-25T03:15:18Z,210000,False,,,0,,MISS A. Gordon Free Throw 2 of 2,[203932],1610612743.0,DEN,,Gordon,A. Gordon,,,,,Missed,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M29.00S,2026-03-25T03:15:03.7Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,5,2,2026-03-25T03:15:18Z,220000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612756.0,PHX,,O'Neale,R. O'Neale,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
23,PT10M17.00S,2026-03-25T03:15:29.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642345,6.389618922470433,57.59803921568627,1610612756,7,2,2026-03-25T03:15:33Z,230000,False,-38.0,8.0,1,left,O. Ighodaro cutting Layup (2 PTS) (D. Booker 1 AST),"[1642345, 1626164]",1610612756.0,PHX,,Ighodaro,O. Ighodaro,cutting,Restricted Area,0-8 Center,3.88,Made,2.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,,,,,,,,
25,PT10M08.00S,2026-03-25T03:15:38.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,90.88370565045992,55.63725490196079,1610612743,7,4,2026-03-25T03:16:12Z,250000,False,28.0,33.0,1,right,C. Braun cutting Layup (2 PTS) (N. Jokić 1 AST),"[1631128, 203999]",1610612743.0,DEN,,Braun,C. Braun,cutting,Restricted Area,0-8 Center,4.36,Made,2.0,N. Jokić,203999.0,1.0,,,,,,,,,,,,,,,,,,,
27,PT09M58.00S,2026-03-25T03:15:47.8Z,1,REGULAR,3pt,Jump Shot,[],1626220,8.623521681997373,2.941176470588235,1610612756,7,4,2026-03-25T03:15:52Z,270000,False,235.0,29.0,1,left,MISS R. O'Neale 3PT,[1626220],1610612756.0,PHX,,O'Neale,R. O'Neale,,Right Corner 3,24+ Right,23.7,Missed,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M56.00S,2026-03-25T03:15:49.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,7,4,2026-03-25T03:15:52Z,280000,False,,,0,,N. Jokić REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,Jokić,N. Jokić,,Right Corner 3,24+ Right,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
29,PT09M51.00S,2026-03-25T03:15:55.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203932,92.72339027595268,51.71568627450981,1610612743,7,6,2026-03-25T03:15:59Z,290000,False,9.0,16.0,1,right,A. Gordon running Layup (4 PTS) (N. Jokić 2 AST),"[203932, 203999]",1610612743.0,DEN,,Gordon,A. Gordon,running,Restricted Area,0-8 Center,1.81,Made,4.0,N. Jokić,203999.0,2.0,,,,,,,,,,,,,,,,,,,
31,PT09M35.00S,2026-03-25T03:16:11.9Z,1,REGULAR,3pt,Jump Shot,[],1626220,7.046649145860711,3.1862745098039214,1610612756,10,6,2026-03-25T03:16:17Z,310000,False,234.0,14.0,1,left,R. O'Neale 3PT  (3 PTS) (J. Green 2 AST),"[1626220, 1630224]",1610612756.0,PHX,,O'Neale,R. O'Neale,,Right Corner 3,24+ Right,23.45,Made,3.0,J. Green,1630224.0,2.0,,,,,,,,,,,,,,,,,,,
33,PT09M11.00S,2026-03-25T03:16:34.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,90.09526938239159,51.470588235294116,1610612743,10,8,2026-03-25T03:16:38Z,330000,False,7.0,41.0,1,right,N. Jokić cutting Layup (2 PTS) (C. Braun 1 AST),"[203999, 1631128]",1610612743.0,DEN,,Jokić,N. Jokić,cutting,Restricted Area,0-8 Center,4.13,Made,2.0,C. Braun,1631128.0,1.0,,,,,,,,,,,,,,,,,,,
35,PT08M59.00S,2026-03-25T03:16:46.3Z,1,REGULAR,2pt,Jump Shot,[],1630224,19.136005256241788,20.34313725490196,1610612756,10,8,2026-03-25T03:16:51Z,350000,False,148.0,127.0,1,left,MISS J. Green 19' fadeaway Shot,[1630224],1610612756.0,PHX,,Green,J. Green,fadeaway,Mid-Range,16-24 Right Center,19.55,Missed,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M57.00S,2026-03-25T03:16:48.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,10,8,2026-03-25T03:16:51Z,360000,False,,,0,,N. Jokić REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,Jokić,N. Jokić,,Mid-Range,16-24 Right Center,,,,,,,35.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
37,PT08M45.00S,2026-03-25T03:17:01.5Z,1,REGULAR,3pt,Jump Shot,[],1627750,91.67214191852825,3.9215686274509802,1610612743,10,11,2026-03-25T03:17:05Z,370000,False,-230.0,26.0,1,right,J. Murray 3PT  (3 PTS) (C. Johnson 1 AST),"[1627750, 1629661]",1610612743.0,DEN,,Murray,J. Murray,,Left Corner 3,24+ Left,23.18,Made,3.0,C. Johnson,1629661.0,1.0,,,,,,,,,,,,,,,,,,,
39,PT08M20.00S,2026-03-25T03:17:26.2Z,1,REGULAR,3pt,Jump Shot,[],1631221,18.74178712220762,4.166666666666666,1610612756,13,11,2026-03-25T03:17:36Z,390000,False,229.0,124.0,1,left,C. Gillespie 26' 3PT step back (8 PTS) (R. O'Neale 1 AST),"[1631221, 1626220]",1610612756.0,PHX,,Gillespie,C. Gillespie,step back,Above the Break 3,24+ Right Center,26.05,Made,8.0,R. O'Neale,1626220.0,1.0,,,,,,,,,,,,,,,,,,,
41,PT08M07.00S,2026-03-25T03:17:38.4Z,1,REGULAR,3pt,Jump Shot,[],1629661,92.59198423127464,3.6764705882352944,1610612743,13,11,2026-03-25T03:17:42Z,410000,False,-232.0,17.0,1,right,MISS C. Johnson 3PT,[1629661],1610612743.0,DEN,,Johnson,C. Johnson,,Left Corner 3,24+ Left,23.22,Missed,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M04.00S,2026-03-25T03:17:41.4Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612756,13,11,2026-03-25T03:17:42Z,420000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612756.0,PHX,,Green,J. Green,,Left Corner 3,24+ Left,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
43,PT08M00.00S,2026-03-25T03:17:46.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626164,6.1268068331143235,44.6078431372549,1610612756,15,11,2026-03-25T03:17:55Z,430000,False,27.0,5.0,1,left,D. Booker running Layup (2 PTS) (J. Green 3 AST),"[1626164, 1630224]",1610612756.0,PHX,,Booker,D. Booker,running,Restricted Area,0-8 Center,2.75,Made,2.0,J. Green,1630224.0,3.0,,,,,,,,,,,,,,,,,,,
45,PT07M44.00S,2026-03-25T03:18:06.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,86.5473061760841,43.872549019607845,1610612743,15,11,2026-03-25T03:18:12Z,450000,False,-31.0,74.0,1,right,MISS N. Jokić 8' driving Layup - blocked,"[203999, 1626220]",1610612743.0,DEN,,Jokić,N. Jokić,driving,In The Paint (Non-RA),0-8 Center,8.01,Missed,,,,,,,,,,,,,O'Neale,1626220.0,,,,,,,,,
46,PT07M44.00S,2026-03-25T03:18:06.1Z,1,REGULAR,block,,[],1626220,,,1610612743,15,11,2026-03-25T03:18:08Z,460000,False,,,0,,R. O'Neale BLOCK (1 BLK),[1626220],1610612756.0,PHX,,O'Neale,R. O'Neale,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M44.00S,2026-03-25T03:18:06.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,15,11,2026-03-25T03:18:12Z,470000,False,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,45.0,,,,,,,,,,,,,,,,,,
49,PT07M31.00S,2026-03-25T03:18:21.7Z,1,REGULAR,3pt,Jump Shot,[],1631221,8.360709592641262,94.6078431372549,1610612756,15,11,2026-03-25T03:18:26Z,490000,False,-223.0,26.0,1,left,MISS C. Gillespie step back 3PT,[1631221],1610612756.0,PHX,,Gillespie,C. Gillespie,step back,Left Corner 3,24+ Left,22.45,Missed,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M28.00S,2026-03-25T03:18:24.7Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,15,11,2026-03-25T03:18:26Z,500000,False,,,0,,N. Jokić REBOUND (Off:0 Def:4),[203999],1610612743.0,DEN,,Jokić,N. Jokić,,Left Corner 3,24+ Left,,,,,,,49.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
51,PT07M17.00S,2026-03-25T03:18:36.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,90.3580814717477,42.8921568627451,1610612743,15,11,2026-03-25T03:18:41Z,510000,False,-36.0,38.0,1,right,MISS N. Jokić Layup,[203999],1610612743.0,DEN,,Jokić,N. Jokić,,In The Paint (Non-RA),0-8 Center,5.21,Missed,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M13.00S,2026-03-25T03:18:40.2Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,15,11,2026-03-25T03:18:41Z,520000,False,,,0,,N. Jokić REBOUND (Off:1 Def:4),[203999],1610612743.0,DEN,,Jokić,N. Jokić,,In The Paint (Non-RA),0-8 Center,,,,,,,51.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
53,PT07M13.00S,2026-03-25T03:18:39.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,94.40999984741211,50.0,1610612743,15,13,2026-03-25T03:18:39Z,530000,False,0.0,0.0,1,right,N. Jokić putback Layup (4 PTS),[203999],1610612743.0,DEN,,Jokić,N. Jokić,putback,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,,,,,,
54,PT07M09.00S,2026-03-25T03:18:46.8Z,1,REGULAR,foul,personal,[],1631128,,,1610612756,15,13,2026-03-25T03:19:23Z,540000,False,,,0,,C. Braun personal FOUL (1 PF),"[1631128, 1642345]",1610612743.0,DEN,1628484.0,Braun,C. Braun,,Above the Break 3,24+ Right Center,,,,,,,,,,,1.0,0.0,Ighodaro,1642345.0,,,,,,,,,,,
56,PT07M09.00S,2026-03-25T03:19:02.9Z,1,REGULAR,foul,technical,['1freethrow'],203999,,,1610612756,15,13,2026-03-25T03:19:09Z,560000,False,,,0,,N. Jokić technical FOUL (1 Tech),[203999],1610612743.0,DEN,1628484.0,Jokić,N. Jokić,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,
57,PT07M09.00S,2026-03-25T03:19:30.5Z,1,REGULAR,freethrow,1 of 1,[],1626164,,,1610612756,16,13,2026-03-25T03:19:30Z,570000,False,,,0,,D. Booker technical Free Throw 1 of 1 (3 PTS),[1626164],1610612756.0,PHX,,Booker,D. Booker,technical,,,,Made,3.0,,,,,,,,,,,,,,,,,,,,,,
59,PT07M05.00S,2026-03-25T03:19:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642345,7.5722733245729295,46.32352941176471,1610612756,18,13,2026-03-25T03:19:57Z,580000,False,18.0,19.0,1,left,O. Ighodaro cutting Layup (4 PTS) (D. Booker 2 AST),"[1642345, 1626164]",1610612756.0,PHX,,Ighodaro,O. Ighodaro,cutting,Restricted Area,0-8 Center,2.62,Made,4.0,D. Booker,1626164.0,2.0,,,,,,,,,,,,,,,,,,,
61,PT06M46.00S,2026-03-25T03:20:08.7Z,1,REGULAR,3pt,Jump Shot,[],1629661,88.91261498028909,96.81372549019608,1610612743,18,13,2026-03-25T03:20:13Z,600000,False,234.0,52.0,1,right,MISS C. Johnson 3PT,[1629661],1610612743.0,DEN,,Johnson,C. Johnson,,Right Corner 3,24+ Right,23.97,Missed,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M45.00S,2026-03-25T03:20:09.7Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,18,13,2026-03-25T03:23:08Z,610000,False,,,0,,A. Gordon REBOUND (Off:3 Def:0),[203932],1610612743.0,DEN,,Gordon,A. Gordon,,Right Corner 3,24+ Right,,,,,,,61.0,3.0,0.0,3.0,,,,,,,,,,,,,,,
63,PT06M44.00S,2026-03-25T03:20:13.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203932,91.01511169513797,47.549019607843135,1610612743,18,13,2026-03-25T03:22:50Z,620000,False,-12.0,32.0,1,right,MISS A. Gordon Layup - blocked,"[203932, 1626220]",1610612743.0,DEN,,Gordon,A. Gordon,,Restricted Area,0-8 Center,3.43,Missed,,,,,,,,,,,,,O'Neale,1626220.0,,,,,,,,,
64,PT06M44.00S,2026-03-25T03:20:13.0Z,1,REGULAR,block,,[],1626220,,,1610612743,18,13,2026-03-25T03:20:14Z,630000,False,,,0,,R. O'Neale BLOCK (2 BLK),[1626220],1610612756.0,PHX,,O'Neale,R. O'Neale,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M43.00S,2026-03-25T03:20:14.0Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,18,13,2026-03-25T03:22:50Z,640000,False,,,0,,N. Jokić REBOUND (Off:2 Def:4),[203999],1610612743.0,DEN,,Jokić,N. Jokić,,Restricted Area,0-8 Center,,,,,,,63.0,6.0,4.0,2.0,,,,,,,,,,,,,,,
66,PT06M38.00S,2026-03-25T03:20:18.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612743,18,13,2026-03-25T03:20:27Z,650000,False,,,0,,DEN shot clock Team TURNOVER,[],1610612743.0,DEN,204058.0,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M38.00S,2026-03-25T03:20:27.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,18,13,2026-03-25T03:20:27Z,660000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M38.00S,2026-03-25T03:23:24.3Z,1,REGULAR,substitution,out,[],1631221,,,1610612756,18,13,2026-03-25T03:23:38Z,670000,False,,,0,,SUB out: C. Gillespie,[1631221],1610612756.0,PHX,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M38.00S,2026-03-25T03:23:24.3Z,1,REGULAR,substitution,out,[],1642345,,,1610612756,18,13,2026-03-25T03:23:38Z,680000,False,,,0,,SUB out: O. Ighodaro,[1642345],1610612756.0,PHX,,Ighodaro,O. Ighodaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M38.00S,2026-03-25T03:23:24.3Z,1,REGULAR,substitution,in,[],1642863,,,1610612756,18,13,2026-03-25T03:23:38Z,690000,False,,,0,,SUB in: K. Maluach,[1642863],1610612756.0,PHX,,Maluach,K. Maluach,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M38.00S,2026-03-25T03:23:24.3Z,1,REGULAR,substitution,in,[],1630692,,,1610612756,18,13,2026-03-25T03:23:38Z,700000,False,,,0,,SUB in: J. Goodwin,[1630692],1610612756.0,PHX,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M21.00S,2026-03-25T03:24:09.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630224,7.30946123521682,95.09803921568627,1610612756,18,13,2026-03-25T03:24:16Z,710000,False,-225.0,16.0,1,left,MISS J. Green 3PT,[1630224],1610612756.0,PHX,,Green,J. Green,,Left Corner 3,24+ Left,22.61,Missed,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M18.00S,2026-03-25T03:24:12.2Z,1,REGULAR,rebound,offensive,[],1630692,,,1610612756,18,13,2026-03-25T03:24:16Z,720000,False,,,0,,J. Goodwin REBOUND (Off:1 Def:0),[1630692],1610612756.0,PHX,,Goodwin,J. Goodwin,,Left Corner 3,24+ Left,,,,,,,72.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
76,PT06M06.00S,2026-03-25T03:24:54.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1626164,4.02431011826544,95.09803921568627,1610612756,18,13,2026-03-25T03:24:58Z,750000,False,-225.0,-15.0,1,left,MISS D. Booker 3PT,[1626164],1610612756.0,PHX,,Booker,D. Booker,,Left Corner 3,24+ Left,22.6,Missed,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M03.00S,2026-03-25T03:24:57.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,18,13,2026-03-25T03:24:57Z,760000,False,,,0,,N. Jokić REBOUND (Off:2 Def:5),[203999],1610612743.0,DEN,,Jokić,N. Jokić,,Left Corner 3,24+ Left,,,,,,,76.0,7.0,5.0,2.0,,,,,,,,,,,,,,,
78,PT05M59.00S,2026-03-25T03:25:01.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631128,89.56964520367937,44.11764705882353,1610612743,18,13,2026-03-25T03:25:07Z,770000,False,-29.0,46.0,1,right,MISS C. Braun running Layup - blocked,"[1631128, 1642863]",1610612743.0,DEN,,Braun,C. Braun,running,In The Paint (Non-RA),0-8 Center,5.42,Missed,,,,,,,,,,,,,Maluach,1642863.0,,,,,,,,,
79,PT05M59.00S,2026-03-25T03:25:01.6Z,1,REGULAR,block,,[],1642863,,,1610612743,18,13,2026-03-25T03:25:03Z,780000,False,,,0,,K. Maluach BLOCK (1 BLK),[1642863],1610612756.0,PHX,,Maluach,K. Maluach,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M58.00S,2026-03-25T03:25:02.6Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,18,13,2026-03-25T03:25:07Z,790000,False,,,0,,A. Gordon REBOUND (Off:4 Def:0),[203932],1610612743.0,DEN,,Gordon,A. Gordon,,In The Paint (Non-RA),0-8 Center,,,,,,,78.0,4.0,0.0,4.0,,,,,,,,,,,,,,,
81,PT05M58.00S,2026-03-25T03:25:05.8Z,1,REGULAR,foul,personal,['2freethrow'],1642863,,,1610612743,18,13,2026-03-25T03:25:17Z,800000,False,,,0,,K. Maluach shooting personal FOUL (1 PF) (Gordon 2 FT),"[1642863, 203932]",1610612756.0,PHX,1628484.0,Maluach,K. Maluach,shooting,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Gordon,203932.0,,,,,,,,,,,
83,PT05M58.00S,2026-03-25T03:25:34.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203932,,,1610612743,18,13,2026-03-25T03:25:34Z,820000,False,,,0,,MISS A. Gordon Free Throw 1 of 2,[203932],1610612743.0,DEN,,Gordon,A. Gordon,,,,,Missed,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M58.00S,2026-03-25T03:25:34.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,18,13,2026-03-25T03:25:34Z,830000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,
85,PT05M58.00S,2026-03-25T03:25:35.5Z,1,REGULAR,substitution,out,[],1629661,,,1610612743,18,13,2026-03-25T03:25:40Z,840000,False,,,0,,SUB out: C. Johnson,[1629661],1610612743.0,DEN,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M58.00S,2026-03-25T03:25:35.5Z,1,REGULAR,substitution,in,[],203501,,,1610612743,18,13,2026-03-25T03:25:40Z,850000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612743.0,DEN,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
