actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
17,PT11M05.00S,2026-03-22T02:11:44.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1642345,94.43166885676742,71.07843137254902,1610612756,4,0,2026-03-22T02:11:50Z,170000,False,105.0,0.0,1,right,O. Ighodaro 10' floating Jump Shot (2 PTS) (J. Goodwin 1 AST),"[1642345, 1630692]",1610612756.0,PHX,floating,,,Ighodaro,O. Ighodaro,,,,,Mid-Range,8-16 Right,10.54,Made,,,,2.0,J. Goodwin,1630692.0,1.0,,,,,,,,,,,
19,PT10M50.00S,2026-03-22T02:11:58.6Z,1,REGULAR,3pt,Jump Shot,[],1627752,4.944152431011826,96.81372549019608,1610612749,4,0,2026-03-22T02:12:03Z,190000,False,-234.0,-6.0,1,left,MISS T. Prince 3PT,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,23.42,Missed,,,,,,,,,,,,,,,,,,
20,PT10M47.00S,2026-03-22T02:12:01.6Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612756,4,0,2026-03-22T02:12:03Z,200000,False,,,0,,J. Green REBOUND (Off:1 Def:2),[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,Left Corner 3,24+ Left,,,,,19.0,,,,,3.0,2.0,1.0,,,,,,,,
21,PT10M26.00S,2026-03-22T02:12:22.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642345,92.46057818659659,37.745098039215684,1610612756,6,0,2026-03-22T02:17:34Z,210000,False,-61.0,18.0,1,right,O. Ighodaro 6' bank Jump Shot (4 PTS) (C. Gillespie 1 AST),"[1642345, 1631221]",1610612756.0,PHX,bank,,,Ighodaro,O. Ighodaro,,,,,In The Paint (Non-RA),0-8 Center,6.4,Made,,,,4.0,C. Gillespie,1631221.0,1.0,,,,,,,,,,,
23,PT10M12.00S,2026-03-22T02:12:37.6Z,1,REGULAR,turnover,out-of-bounds,[],1631157,,,1610612749,6,0,2026-03-22T02:12:45Z,230000,False,,,0,,R. Rollins bad pass out-of-bounds TURNOVER (1 TO),[1631157],1610612749.0,MIL,bad pass,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1628951.0,1.0,,,,,,
24,PT09M53.00S,2026-03-22T02:13:03.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630692,95.48291721419186,2.696078431372549,1610612756,6,0,2026-03-22T02:13:08Z,240000,False,-237.0,-10.0,1,right,MISS J. Goodwin 3PT,[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Left Corner 3,24+ Left,23.67,Missed,,,,,,,,,,,,,,,,,,
25,PT09M51.00S,2026-03-22T02:13:05.4Z,1,REGULAR,rebound,offensive,[],1626164,,,1610612756,6,0,2026-03-22T02:13:08Z,250000,False,,,0,,D. Booker REBOUND (Off:1 Def:0),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Left Corner 3,24+ Left,,,,,24.0,,,,,1.0,0.0,1.0,,,,,,,,
26,PT09M50.00S,2026-03-22T02:13:07.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1631221,64.47109067017082,20.34313725490196,1610612756,9,0,2026-03-22T02:13:11Z,260000,False,-148.0,281.0,1,right,C. Gillespie 31' 3PT  (3 PTS) (D. Booker 1 AST),"[1631221, 1626164]",1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,31.82,Made,,,,3.0,D. Booker,1626164.0,1.0,,,,,,,,,,,
28,PT09M48.00S,2026-03-22T02:13:12.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,9,0,2026-03-22T02:13:12Z,280000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M34.00S,2026-03-22T02:16:20.9Z,1,REGULAR,foul,offensive,[],1626167,,,1610612749,9,0,2026-03-22T02:16:27Z,290000,False,,,0,,M. Turner offensive FOUL (1 PF),"[1626167, 1630224]",1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,201246.0,,1.0,0.0,Green,1630224.0,,
31,PT09M34.00S,2026-03-22T02:16:20.9Z,1,REGULAR,turnover,offensive foul,[],1626167,,,1610612749,9,0,2026-03-22T02:16:20Z,310000,False,,,0,,M. Turner offensive foul TURNOVER (1 TO),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,201246.0,1.0,,,,,,
32,PT09M24.00S,2026-03-22T02:16:42.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631221,72.61826544021025,13.23529411764706,1610612756,9,0,2026-03-22T02:16:47Z,320000,False,-184.0,205.0,1,right,MISS C. Gillespie 27' 3PT,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,27.53,Missed,,,,,,,,,,,,,,,,,,
33,PT09M19.00S,2026-03-22T02:16:47.3Z,1,REGULAR,rebound,defensive,[],1631157,,,1610612749,9,0,2026-03-22T02:16:47Z,330000,False,,,0,,R. Rollins REBOUND (Off:0 Def:1),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Left Center,,,,,32.0,,,,,1.0,1.0,0.0,,,,,,,,
34,PT09M10.00S,2026-03-22T02:16:55.3Z,1,REGULAR,3pt,Jump Shot,[],1627752,34.510512483574246,49.01960784313725,1610612749,9,3,2026-03-22T02:16:59Z,340000,False,5.0,272.0,1,left,T. Prince 27' 3PT  (3 PTS) (R. Rollins 1 AST),"[1627752, 1631157]",1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Center,27.19,Made,,,,3.0,R. Rollins,1631157.0,1.0,,,,,,,,,,,
36,PT08M58.00S,2026-03-22T02:17:07.5Z,1,REGULAR,2pt,Jump Shot,[],1626164,79.31997371879106,43.627450980392155,1610612756,9,3,2026-03-22T02:17:12Z,360000,False,-32.0,142.0,1,right,MISS D. Booker 14' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,8-16 Center,14.54,Missed,,,,,,,,,,,,,,,,,,
37,PT08M56.00S,2026-03-22T02:17:09.5Z,1,REGULAR,rebound,defensive,[],1631157,,,1610612749,9,3,2026-03-22T02:17:12Z,370000,False,,,0,,R. Rollins REBOUND (Off:0 Def:2),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Mid-Range,8-16 Center,,,,,36.0,,,,,2.0,2.0,0.0,,,,,,,,
38,PT08M50.00S,2026-03-22T02:17:15.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628398,4.681340341655716,51.225490196078425,1610612749,9,5,2026-03-22T02:17:27Z,380000,False,-6.0,-8.0,1,left,K. Kuzma running finger roll Layup (2 PTS) (R. Rollins 2 AST),"[1628398, 1631157]",1610612749.0,MIL,running finger roll,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,1.05,Made,,,,2.0,R. Rollins,1631157.0,2.0,,,,,,,,,,,
40,PT08M38.00S,2026-03-22T02:17:27.5Z,1,REGULAR,2pt,Jump Shot,[],1630224,86.02168199737189,29.65686274509804,1610612756,11,5,2026-03-22T02:21:16Z,400000,False,-102.0,79.0,1,right,J. Green 12' driving floating bank Jump Shot (4 PTS),[1630224],1610612756.0,PHX,driving floating bank,,,Green,J. Green,,,,,Mid-Range,8-16 Left,12.87,Made,,,,4.0,,,,,,,,,,,,,,
41,PT08M26.00S,2026-03-22T02:17:39.2Z,1,REGULAR,turnover,lost ball,[],1631172,,,1610612749,11,5,2026-03-22T02:17:45Z,410000,False,,,0,,O. Dieng lost ball TURNOVER (1 TO),"[1631172, 1642345]",1610612749.0,MIL,,,,Dieng,O. Dieng,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,,,,,Ighodaro,1642345.0
42,PT08M26.00S,2026-03-22T02:17:39.2Z,1,REGULAR,steal,,[],1642345,,,1610612756,11,5,2026-03-22T02:17:42Z,420000,False,,,0,,O. Ighodaro STEAL (1 STL),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
43,PT08M11.00S,2026-03-22T02:17:55.7Z,1,REGULAR,turnover,out-of-bounds,[],1630692,,,1610612756,11,5,2026-03-22T02:18:11Z,430000,False,,,0,,J. Goodwin lost ball out-of-bounds TURNOVER (1 TO),[1630692],1610612756.0,PHX,lost ball,,,Goodwin,J. Goodwin,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628951.0,1.0,,,,,,
44,PT08M00.00S,2026-03-22T02:18:13.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631157,27.414586070959263,75.98039215686273,1610612749,11,5,2026-03-22T02:23:16Z,440000,False,-130.0,205.0,1,left,MISS R. Rollins 24' step back 3PT,[1631157],1610612749.0,MIL,step back,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Left Center,24.29,Missed,,,,,,,,,,,,,,,,,,
45,PT07M57.00S,2026-03-22T02:18:16.1Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,11,5,2026-03-22T02:18:17Z,450000,False,,,0,,D. Booker REBOUND (Off:1 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,44.0,,,,,2.0,1.0,1.0,,,,,,,,
46,PT07M53.00S,2026-03-22T02:18:21.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630224,73.27529566360053,9.068627450980392,1610612756,11,5,2026-03-22T02:18:29Z,460000,False,-205.0,199.0,1,right,MISS J. Green 28' running 3PT,[1630224],1610612756.0,PHX,running,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,28.53,Missed,,,,,,,,,,,,,,,,,,
47,PT07M49.00S,2026-03-22T02:18:25.0Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,11,5,2026-03-22T02:23:58Z,470000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,,,,,46.0,,,,,1.0,1.0,0.0,,,,,,,,
48,PT07M43.00S,2026-03-22T02:19:05.8Z,1,REGULAR,jumpball,recovered,[],1631221,,,1610612749,11,5,2026-03-22T02:24:54Z,480000,False,,,0,,Jump Ball J. Goodwin vs. T. Prince: Tip to C. Gillespie,"[1631221, 1630692, 1627752]",1610612756.0,PHX,heldball,C. Gillespie,1631221.0,Gillespie,C. Gillespie,Goodwin,1630692.0,Prince,1627752.0,,,,,,,,,,,,,,,,,,,,,,
51,PT07M43.00S,2026-03-22T02:19:05.8Z,1,REGULAR,turnover,lost ball,[],1627752,,,1610612749,11,5,2026-03-22T02:25:10Z,510000,False,,,0,,T. Prince lost ball TURNOVER (1 TO),"[1627752, 1630692]",1610612749.0,MIL,,,,Prince,T. Prince,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,1.0,,,,,Goodwin,1630692.0
52,PT07M43.00S,2026-03-22T02:19:05.8Z,1,REGULAR,steal,,[],1630692,,,1610612756,11,5,2026-03-22T02:19:05Z,520000,False,,,0,,J. Goodwin STEAL (1 STL),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
53,PT07M34.00S,2026-03-22T02:19:11.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626164,93.9060446780552,51.9607843137255,1610612756,11,5,2026-03-22T02:25:41Z,530000,False,10.0,5.0,1,right,MISS D. Booker driving finger roll Layup,[1626164],1610612756.0,PHX,driving finger roll,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,1.09,Missed,,,,,,,,,,,,,,,,,,
54,PT07M31.00S,2026-03-22T02:19:14.7Z,1,REGULAR,rebound,defensive,[],1631172,,,1610612749,11,5,2026-03-22T02:19:16Z,540000,False,,,0,,O. Dieng REBOUND (Off:0 Def:1),[1631172],1610612749.0,MIL,,,,Dieng,O. Dieng,,,,,Restricted Area,0-8 Center,,,,,53.0,,,,,1.0,1.0,0.0,,,,,,,,
55,PT07M27.00S,2026-03-22T02:19:19.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631172,6.389618922470433,50.98039215686274,1610612749,11,7,2026-03-22T02:26:36Z,550000,False,-5.0,8.0,1,left,O. Dieng running Layup (2 PTS),[1631172],1610612749.0,MIL,running,,,Dieng,O. Dieng,,,,,Restricted Area,0-8 Center,0.9,Made,,,,2.0,,,,,,,,,,,,,,
56,PT07M07.00S,2026-03-22T02:19:38.6Z,1,REGULAR,turnover,lost ball,[],1642345,,,1610612756,11,7,2026-03-22T02:20:57Z,560000,False,,,0,,O. Ighodaro lost ball TURNOVER (1 TO),"[1642345, 1626167]",1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1.0,,,,,Turner,1626167.0
58,PT07M07.00S,2026-03-22T02:19:38.6Z,1,REGULAR,steal,,[],1626167,,,1610612749,11,7,2026-03-22T02:22:07Z,565000,False,,,0,,M. Turner STEAL (1 STL),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
57,PT07M04.00S,2026-03-22T02:19:46.0Z,1,REGULAR,turnover,out-of-bounds,[],1628398,,,1610612749,11,7,2026-03-22T02:28:13Z,570000,False,,,0,,K. Kuzma bad pass out-of-bounds TURNOVER (1 TO),[1628398],1610612749.0,MIL,bad pass,,,Kuzma,K. Kuzma,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,201246.0,1.0,,,,,,
59,PT07M04.00S,2026-03-22T02:19:58.6Z,1,REGULAR,substitution,out,[],1642345,,,1610612756,11,7,2026-03-22T02:20:08Z,580000,False,,,0,,SUB out: O. Ighodaro,[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M04.00S,2026-03-22T02:19:58.6Z,1,REGULAR,substitution,out,[],1631221,,,1610612756,11,7,2026-03-22T02:20:08Z,590000,False,,,0,,SUB out: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M04.00S,2026-03-22T02:19:58.6Z,1,REGULAR,substitution,in,[],1642346,,,1610612756,11,7,2026-03-22T02:20:08Z,600000,False,,,0,,SUB in: R. Dunn,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M04.00S,2026-03-22T02:19:58.6Z,1,REGULAR,substitution,in,[],1642863,,,1610612756,11,7,2026-03-22T02:20:08Z,610000,False,,,0,,SUB in: K. Maluach,[1642863],1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M48.00S,2026-03-22T02:20:17.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1642863,90.3580814717477,61.76470588235294,1610612756,11,7,2026-03-22T02:20:21Z,620000,False,59.0,38.0,1,right,MISS K. Maluach 7' turnaround Hook,[1642863],1610612756.0,PHX,turnaround,,,Maluach,K. Maluach,,,,,In The Paint (Non-RA),0-8 Center,7.01,Missed,,,,,,,,,,,,,,,,,,
64,PT06M45.00S,2026-03-22T02:20:20.7Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612749,11,7,2026-03-22T02:20:21Z,630000,False,,,0,,T. Prince REBOUND (Off:0 Def:2),[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,In The Paint (Non-RA),0-8 Center,,,,,63.0,,,,,2.0,2.0,0.0,,,,,,,,
65,PT06M40.00S,2026-03-22T02:20:25.4Z,1,REGULAR,3pt,Jump Shot,[],1631157,29.38567674113009,76.47058823529412,1610612749,11,7,2026-03-22T02:20:30Z,640000,False,-132.0,224.0,1,left,MISS R. Rollins 25' step back 3PT,[1631157],1610612749.0,MIL,step back,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Left Center,25.99,Missed,,,,,,,,,,,,,,,,,,
66,PT06M38.00S,2026-03-22T02:20:27.4Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,11,7,2026-03-22T02:20:30Z,650000,False,,,0,,D. Booker REBOUND (Off:1 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,65.0,,,,,3.0,2.0,1.0,,,,,,,,
67,PT06M25.00S,2026-03-22T02:20:41.2Z,1,REGULAR,2pt,Jump Shot,[],1626164,88.12417871222075,19.607843137254903,1610612756,11,7,2026-03-22T02:29:44Z,660000,False,-152.0,59.0,1,right,MISS D. Booker 16' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left,16.31,Missed,,,,,,,,,,,,,,,,,,
68,PT06M22.00S,2026-03-22T02:20:44.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612749,11,7,2026-03-22T02:29:59Z,670000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Mid-Range,16-24 Left,,,,,67.0,,,,,1.0,1.0,0.0,,,,,,,,
69,PT05M57.00S,2026-03-22T02:21:07.9Z,1,REGULAR,3pt,Jump Shot,[],1627752,1.3961892247043364,94.85294117647058,1610612749,11,7,2026-03-22T02:21:33Z,680000,False,-224.0,-39.0,1,left,MISS T. Prince 3PT,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,22.77,Missed,,,,,,,,,,,,,,,,,,
70,PT05M57.00S,2026-03-22T02:21:11.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,11,7,2026-03-22T02:21:11Z,690000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Left Corner 3,24+ Left,,,,,69.0,,,,,,,,,,,,,,,
71,PT05M57.00S,2026-03-22T02:21:12.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612749,11,7,2026-03-22T02:21:29Z,700000,False,,,0,,MIL shot clock Team TURNOVER,[],1610612749.0,MIL,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,201246.0,,,,,,,
72,PT05M57.00S,2026-03-22T02:21:16.6Z,1,REGULAR,substitution,out,[],1627752,,,1610612756,11,7,2026-03-22T02:21:20Z,710000,False,,,0,,SUB out: T. Prince,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M57.00S,2026-03-22T02:21:16.6Z,1,REGULAR,substitution,in,[],1631260,,,1610612756,11,7,2026-03-22T02:21:20Z,720000,False,,,0,,SUB in: A. Green,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M47.00S,2026-03-22T02:21:44.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630224,94.69448094612353,51.225490196078425,1610612756,13,7,2026-03-22T02:21:55Z,730000,False,6.0,-3.0,1,right,J. Green driving Layup (6 PTS),[1630224],1610612756.0,PHX,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,0.66,Made,,,,6.0,,,,,,,,,,,,,,
75,PT05M47.00S,2026-03-22T02:21:46.4Z,1,REGULAR,foul,personal,['1freethrow'],1626167,,,1610612756,13,7,2026-03-22T02:21:52Z,740000,False,,,0,,M. Turner shooting personal FOUL (2 PF) (Green 1 FT),"[1626167, 1630224]",1610612749.0,MIL,shooting,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627541.0,,2.0,0.0,Green,1630224.0,,
77,PT05M47.00S,2026-03-22T02:22:03.2Z,1,REGULAR,substitution,out,[],1626167,,,1610612756,13,7,2026-03-22T02:22:10Z,760000,False,,,0,,SUB out: M. Turner,[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M47.00S,2026-03-22T02:22:03.2Z,1,REGULAR,substitution,in,[],1630579,,,1610612756,13,7,2026-03-22T02:22:10Z,770000,False,,,0,,SUB in: J. Sims,[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M47.00S,2026-03-22T02:22:15.3Z,1,REGULAR,substitution,out,[],1630692,,,1610612756,13,7,2026-03-22T02:22:26Z,780000,False,,,0,,SUB out: J. Goodwin,[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M47.00S,2026-03-22T02:22:15.3Z,1,REGULAR,substitution,in,[],1642853,,,1610612756,13,7,2026-03-22T02:22:26Z,790000,False,,,0,,SUB in: R. Fleming,[1642853],1610612756.0,PHX,,,,Fleming,R. Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M47.00S,2026-03-22T02:22:40.8Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1630224,,,1610612756,14,7,2026-03-22T02:22:40Z,800000,False,,,0,,J. Green Free Throw 1 of 1 (7 PTS),[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,,,,Made,,,,7.0,,,,,,,,,,,,,,
82,PT05M31.00S,2026-03-22T02:22:58.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631157,6.258212877792378,50.98039215686274,1610612749,14,7,2026-03-22T02:23:02Z,810000,False,-5.0,6.0,1,left,MISS R. Rollins driving Layup,[1631157],1610612749.0,MIL,driving,,,Rollins,R. Rollins,,,,,Restricted Area,0-8 Center,0.8,Missed,,,,,,,,,,,,,,,,,,
83,PT05M29.00S,2026-03-22T02:23:00.6Z,1,REGULAR,rebound,offensive,[],1630579,,,1610612749,14,7,2026-03-22T02:23:02Z,820000,False,,,0,,J. Sims REBOUND (Off:1 Def:0),[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,,,,,82.0,,,,,1.0,0.0,1.0,,,,,,,,
