actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
17,PT10M05.00S,2026-03-06T02:12:47.1Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,2,2,2026-03-06T02:12:49Z,170000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M00.00S,2026-03-06T02:12:52.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626164,29.517082785808146,22.058823529411764,1610612756,2,2,2026-03-06T02:14:55Z,180000,False,140.0,225.0,1,left,MISS D. Booker 26' running pullup 3PT,[1626164],1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,26.48,Missed,,,,,,,,,,,,,,,,,,
19,PT09M56.00S,2026-03-06T02:12:56.7Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612741,2,2,2026-03-06T02:12:57Z,190000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:1),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Right Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT09M52.00S,2026-03-06T02:13:01.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630171,93.38042049934296,46.32352941176471,1610612741,2,2,2026-03-06T02:13:08Z,200000,False,-18.0,10.0,1,right,MISS I. Okoro running Layup,[1630171],1610612741.0,CHI,running,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,2.08,Missed,,,,,,,,,,,,,,,,,,
21,PT09M48.00S,2026-03-06T02:13:05.9Z,1,REGULAR,rebound,defensive,[],1631221,,,1610612756,2,2,2026-03-06T02:13:05Z,210000,False,,,0,,C. Gillespie REBOUND (Off:0 Def:1),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Restricted Area,0-8 Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M41.00S,2026-03-06T02:13:12.9Z,1,REGULAR,3pt,Jump Shot,[],1626164,12.697109067017081,3.1862745098039214,1610612756,2,2,2026-03-06T02:13:17Z,220000,False,234.0,67.0,1,left,MISS D. Booker 24' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Right Corner 3,24+ Right,24.35,Missed,,,,,,,,,,,,,,,,,,
23,PT09M36.00S,2026-03-06T02:13:17.9Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612741,2,2,2026-03-06T02:13:17Z,230000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,Right Corner 3,24+ Right,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT09M32.00S,2026-03-06T02:13:21.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630200,91.80354796320631,47.05882352941176,1610612741,2,2,2026-03-06T02:17:03Z,240000,False,-15.0,25.0,1,right,MISS T. Jones running Layup,[1630200],1610612741.0,CHI,running,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,2.86,Missed,,,,,,,,,,,,,,,,,,
25,PT09M28.00S,2026-03-06T02:13:25.0Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,2,2,2026-03-06T02:13:26Z,250000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT09M26.00S,2026-03-06T02:13:27.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631221,23.078186596583443,88.72549019607843,1610612756,2,2,2026-03-06T02:18:44Z,260000,False,-194.0,164.0,1,left,MISS C. Gillespie 25' running 3PT,[1631221],1610612756.0,PHX,running,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,25.4,Missed,,,,,,,,,,,,,,,,,,
27,PT09M22.00S,2026-03-06T02:13:31.8Z,1,REGULAR,rebound,offensive,[],1642345,,,1610612756,2,2,2026-03-06T02:13:31Z,270000,False,,,0,,O. Ighodaro REBOUND (Off:1 Def:0),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Above the Break 3,24+ Left Center,,,26.0,1.0,0.0,1.0,,,,,,,,,,,,,,
28,PT09M20.00S,2026-03-06T02:13:33.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631221,11.383048620236531,2.941176470588235,1610612756,2,2,2026-03-06T02:13:39Z,280000,False,235.0,55.0,1,left,MISS C. Gillespie 24' 3PT,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Right Corner 3,24+ Right,24.15,Missed,,,,,,,,,,,,,,,,,,
29,PT09M15.00S,2026-03-06T02:13:38.4Z,1,REGULAR,rebound,defensive,[],1631159,,,1610612741,2,2,2026-03-06T02:13:39Z,290000,False,,,0,,L. Miller REBOUND (Off:0 Def:2),[1631159],1610612741.0,CHI,,,,Miller,L. Miller,,,,,Right Corner 3,24+ Right,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT09M09.00S,2026-03-06T02:13:43.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,92.72339027595268,46.07843137254902,1610612741,2,4,2026-03-06T02:13:48Z,300000,False,-20.0,16.0,1,right,C. Sexton driving Layup (4 PTS),[1629012],1610612741.0,CHI,driving,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,2.52,Made,,,,,4.0,,,,,,,,,,,,,
31,PT08M45.00S,2026-03-06T02:14:07.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630224,13.748357424441524,61.76470588235294,1610612756,2,4,2026-03-06T02:14:12Z,310000,False,-59.0,77.0,1,left,MISS J. Green 9' turnaround fadeaway Shot,[1630224],1610612756.0,PHX,turnaround fadeaway,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Left,9.66,Missed,,,,,,,,,,,,,,,,,,
32,PT08M43.00S,2026-03-06T02:14:09.6Z,1,REGULAR,rebound,defensive,[],1631159,,,1610612741,2,4,2026-03-06T02:14:12Z,320000,False,,,0,,L. Miller REBOUND (Off:0 Def:3),[1631159],1610612741.0,CHI,,,,Miller,L. Miller,,,,,In The Paint (Non-RA),8-16 Left,,,31.0,3.0,3.0,0.0,,,,,,,,,,,,,,
33,PT08M35.00S,2026-03-06T02:14:20.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,91.5407358738502,52.20588235294118,1610612741,2,6,2026-03-06T02:14:25Z,330000,False,11.0,27.0,1,right,T. Jones Layup (2 PTS),[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,2.92,Made,,,,,2.0,,,,,,,,,,,,,
34,PT08M35.00S,2026-03-06T02:14:22.1Z,1,REGULAR,foul,personal,['1freethrow'],1642345,,,1610612741,2,6,2026-03-06T02:14:34Z,340000,False,,,0,,O. Ighodaro shooting personal FOUL (1 PF) (Jones 1 FT),"[1642345, 1630200]",1610612756.0,PHX,shooting,,,Ighodaro,O. Ighodaro,,,,,Restricted Area,0-8 Center,,,,,,,,1155.0,,,,1.0,0.0,Jones,1630200.0,,,,,
36,PT08M35.00S,2026-03-06T02:14:42.7Z,1,REGULAR,freethrow,1 of 1,[],1630200,,,1610612741,2,7,2026-03-06T02:14:42Z,360000,False,,,0,,T. Jones Free Throw 1 of 1 (3 PTS),[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
37,PT08M17.00S,2026-03-06T02:15:03.5Z,1,REGULAR,turnover,lost ball,[],1630224,,,1610612756,2,7,2026-03-06T02:15:07Z,370000,False,,,0,,J. Green lost ball TURNOVER (1 TO),"[1630224, 1629012]",1610612756.0,PHX,,,,Green,J. Green,,,,,Mid-Range,8-16 Right,,,,,,,,,1.0,,,,,,,Sexton,1629012.0,,,
38,PT08M17.00S,2026-03-06T02:15:03.5Z,1,REGULAR,steal,,[],1629012,,,1610612741,2,7,2026-03-06T02:15:05Z,380000,False,,,0,,C. Sexton STEAL (1 STL),[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
39,PT08M13.00S,2026-03-06T02:15:07.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630171,92.46057818659659,52.20588235294118,1610612741,2,9,2026-03-06T02:15:11Z,390000,False,11.0,18.0,1,right,I. Okoro running Layup (2 PTS) (G. Yabusele 1 AST),"[1630171, 1627824]",1610612741.0,CHI,running,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,2.14,Made,,,,,2.0,,,,,,,,,,,G. Yabusele,1627824.0,1.0
41,PT08M13.00S,2026-03-06T02:15:11.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,2,9,2026-03-06T02:15:11Z,410000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M13.00S,2026-03-06T02:16:14.7Z,1,REGULAR,substitution,out,[],1631159,,,1610612756,2,9,2026-03-06T02:17:32Z,420000,False,,,0,,SUB out: L. Miller,[1631159],1610612741.0,CHI,,,,Miller,L. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M13.00S,2026-03-06T02:16:14.7Z,1,REGULAR,substitution,out,[],1630200,,,1610612756,2,9,2026-03-06T02:17:32Z,430000,False,,,0,,SUB out: T. Jones,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M13.00S,2026-03-06T02:16:14.7Z,1,REGULAR,substitution,in,[],1642950,,,1610612756,2,9,2026-03-06T02:17:32Z,440000,False,,,0,,SUB in: L. Olbrich,[1642950],1610612741.0,CHI,,,,Olbrich,L. Olbrich,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M13.00S,2026-03-06T02:16:14.7Z,1,REGULAR,substitution,in,[],1642265,,,1610612756,2,9,2026-03-06T02:17:32Z,450000,False,,,0,,SUB in: R. Dillingham,[1642265],1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M57.00S,2026-03-06T02:18:15.6Z,1,REGULAR,3pt,Jump Shot,[],1630224,21.107095926412615,90.44117647058823,1610612756,5,9,2026-03-06T02:18:20Z,460000,False,-202.0,146.0,1,left,J. Green 24' 3PT  (3 PTS) (C. Gillespie 1 AST),"[1630224, 1631221]",1610612756.0,PHX,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,24.93,Made,,,,,3.0,,,,,,,,,,,C. Gillespie,1631221.0,1.0
48,PT07M42.00S,2026-03-06T02:18:30.9Z,1,REGULAR,3pt,Jump Shot,[],1627824,75.77201051248358,12.990196078431374,1610612741,5,12,2026-03-06T02:18:38Z,480000,False,-185.0,175.0,1,right,G. Yabusele 25' 3PT  (3 PTS) (L. Olbrich 1 AST),"[1627824, 1642950]",1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,25.48,Made,,,,,3.0,,,,,,,,,,,L. Olbrich,1642950.0,1.0
50,PT07M26.00S,2026-03-06T02:18:46.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626220,7.966491458607096,55.63725490196079,1610612756,5,12,2026-03-06T02:23:48Z,500000,False,-28.0,22.0,1,left,MISS R. O'Neale driving Layup,[1626220],1610612756.0,PHX,driving,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,3.6,Missed,,,,,,,,,,,,,,,,,,
51,PT07M23.00S,2026-03-06T02:18:49.9Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612741,5,12,2026-03-06T02:18:51Z,510000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:2),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,50.0,2.0,2.0,0.0,,,,,,,,,,,,,,
52,PT07M20.00S,2026-03-06T02:18:52.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642950,93.51182654402102,52.20588235294118,1610612741,5,14,2026-03-06T02:18:59Z,520000,False,11.0,8.0,1,right,L. Olbrich running Layup (2 PTS),[1642950],1610612741.0,CHI,running,,,Olbrich,L. Olbrich,,,,,Restricted Area,0-8 Center,1.39,Made,,,,,2.0,,,,,,,,,,,,,
54,PT07M05.00S,2026-03-06T02:19:08.4Z,1,REGULAR,2pt,Jump Shot,[],1626164,6.1268068331143235,15.686274509803921,1610612756,7,14,2026-03-06T02:19:17Z,540000,False,172.0,5.0,1,left,D. Booker 17' pullup Jump Shot (4 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right,17.17,Made,,,,,4.0,,,,,,,,,,,,,
55,PT06M53.00S,2026-03-06T02:19:19.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629012,92.72339027595268,45.588235294117645,1610612741,7,16,2026-03-06T02:19:28Z,550000,False,-22.0,16.0,1,right,C. Sexton driving Layup (6 PTS),[1629012],1610612741.0,CHI,driving,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,2.72,Made,,,,,6.0,,,,,,,,,,,,,
56,PT06M35.00S,2026-03-06T02:19:38.9Z,1,REGULAR,foul,personal,['2freethrow'],1642265,,,1610612756,7,16,2026-03-06T02:20:11Z,560000,False,,,0,,R. Dillingham shooting personal FOUL (1 PF) (Booker 2 FT),"[1642265, 1626164]",1610612741.0,CHI,shooting,,,Dillingham,R. Dillingham,,,,,Restricted Area,0-8 Center,,,,,,,,1155.0,,,,1.0,0.0,Booker,1626164.0,,,,,
58,PT06M35.00S,2026-03-06T02:20:11.8Z,1,REGULAR,freethrow,1 of 2,[],1626164,,,1610612756,8,16,2026-03-06T02:20:11Z,580000,False,,,0,,D. Booker Free Throw 1 of 2 (5 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
59,PT06M35.00S,2026-03-06T02:20:12.9Z,1,REGULAR,substitution,out,[],1642345,,,1610612756,8,16,2026-03-06T02:20:23Z,590000,False,,,0,,SUB out: O. Ighodaro,[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M35.00S,2026-03-06T02:20:12.9Z,1,REGULAR,substitution,out,[],1631221,,,1610612756,8,16,2026-03-06T02:20:23Z,600000,False,,,0,,SUB out: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M35.00S,2026-03-06T02:20:12.9Z,1,REGULAR,substitution,in,[],1642863,,,1610612756,8,16,2026-03-06T02:20:23Z,610000,False,,,0,,SUB in: K. Maluach,[1642863],1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M35.00S,2026-03-06T02:20:12.9Z,1,REGULAR,substitution,in,[],1628960,,,1610612756,8,16,2026-03-06T02:20:23Z,620000,False,,,0,,SUB in: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M35.00S,2026-03-06T02:20:30.6Z,1,REGULAR,freethrow,2 of 2,[],1626164,,,1610612756,9,16,2026-03-06T02:20:30Z,630000,False,,,0,,D. Booker Free Throw 2 of 2 (6 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
64,PT06M18.00S,2026-03-06T02:20:48.6Z,1,REGULAR,2pt,Jump Shot,[],1629012,85.3646517739816,12.990196078431374,1610612741,9,16,2026-03-06T02:20:55Z,640000,False,-185.0,85.0,1,right,MISS C. Sexton 20' pullup Shot,[1629012],1610612741.0,CHI,pullup,,,Sexton,C. Sexton,,,,,Mid-Range,16-24 Left,20.36,Missed,,,,,,,,,,,,,,,,,,
65,PT06M14.00S,2026-03-06T02:20:52.6Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,9,16,2026-03-06T02:20:55Z,650000,False,,,0,,D. Booker REBOUND (Off:0 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left,,,64.0,2.0,2.0,0.0,,,,,,,,,,,,,,
66,PT06M11.00S,2026-03-06T02:20:55.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630224,21.632720105124836,88.72549019607843,1610612756,9,16,2026-03-06T02:27:35Z,660000,False,-194.0,151.0,1,left,MISS J. Green 24' running 3PT,[1630224],1610612756.0,PHX,running,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,24.54,Missed,,,,,,,,,,,,,,,,,,
67,PT06M06.00S,2026-03-06T02:20:59.5Z,1,REGULAR,rebound,offensive,[],1642863,,,1610612756,9,16,2026-03-06T02:20:59Z,670000,False,,,0,,K. Maluach REBOUND (Off:1 Def:0),[1642863],1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,Above the Break 3,24+ Left Center,,,66.0,1.0,0.0,1.0,,,,,,,,,,,,,,
68,PT06M02.00S,2026-03-06T02:21:03.7Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,9,16,2026-03-06T02:21:07Z,680000,False,,,0,,D. Booker bad pass TURNOVER (1 TO),"[1626164, 1642950]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,,,,Olbrich,1642950.0,,,
69,PT06M02.00S,2026-03-06T02:21:03.7Z,1,REGULAR,steal,,[],1642950,,,1610612741,9,16,2026-03-06T02:22:12Z,690000,False,,,0,,L. Olbrich STEAL (1 STL),[1642950],1610612741.0,CHI,,,,Olbrich,L. Olbrich,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
70,PT05M45.00S,2026-03-06T02:21:21.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629012,92.59198423127464,3.1862745098039214,1610612741,9,16,2026-03-06T02:21:25Z,700000,False,-234.0,17.0,1,right,MISS C. Sexton 3PT,[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,Left Corner 3,24+ Left,23.47,Missed,,,,,,,,,,,,,,,,,,
71,PT05M42.00S,2026-03-06T02:21:24.6Z,1,REGULAR,rebound,defensive,[],1642863,,,1610612756,9,16,2026-03-06T02:21:25Z,710000,False,,,0,,K. Maluach REBOUND (Off:1 Def:1),[1642863],1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,Left Corner 3,24+ Left,,,70.0,2.0,1.0,1.0,,,,,,,,,,,,,,
72,PT05M33.00S,2026-03-06T02:21:33.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,18.084756898817346,54.90196078431373,1610612756,9,16,2026-03-06T02:29:23Z,720000,False,-25.0,117.0,1,left,MISS D. Booker 12' turnaround fadeaway Shot,[1626164],1610612756.0,PHX,turnaround fadeaway,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,12.0,Missed,,,,,,,,,,,,,,,,,,
73,PT05M30.00S,2026-03-06T02:21:36.6Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612741,9,16,2026-03-06T02:30:09Z,730000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,In The Paint (Non-RA),8-16 Center,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,,,
74,PT05M23.00S,2026-03-06T02:21:42.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627824,89.96386333771353,2.941176470588235,1610612741,9,16,2026-03-06T02:21:49Z,740000,False,-235.0,42.0,1,right,MISS G. Yabusele running 3PT,[1627824],1610612741.0,CHI,running,,,Yabusele,G. Yabusele,,,,,Left Corner 3,24+ Left,23.9,Missed,,,,,,,,,,,,,,,,,,
75,PT05M23.00S,2026-03-06T02:21:42.9Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,9,16,2026-03-06T02:21:49Z,750000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Left Corner 3,24+ Left,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,,,
76,PT05M05.00S,2026-03-06T02:22:01.5Z,1,REGULAR,turnover,bad pass,[],1642863,,,1610612756,9,16,2026-03-06T02:22:05Z,760000,False,,,0,,K. Maluach bad pass TURNOVER (1 TO),"[1642863, 1629012]",1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,,,,,,,Sexton,1629012.0,,,
77,PT05M05.00S,2026-03-06T02:22:01.5Z,1,REGULAR,steal,,[],1629012,,,1610612741,9,16,2026-03-06T03:14:46Z,770000,False,,,0,,C. Sexton STEAL (2 STL),[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
78,PT05M01.00S,2026-03-06T02:22:04.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642265,92.19776609724047,55.392156862745104,1610612741,9,18,2026-03-06T02:22:09Z,780000,False,27.0,21.0,1,right,R. Dillingham running Layup (2 PTS) (C. Sexton 1 AST),"[1642265, 1629012]",1610612741.0,CHI,running,,,Dillingham,R. Dillingham,,,,,Restricted Area,0-8 Center,3.41,Made,,,,,2.0,,,,,,,,,,,C. Sexton,1629012.0,1.0
