actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
27,PT09M25.00S,2025-11-03T01:14:28.2Z,1,REGULAR,3pt,Jump Shot,[],1630577,2.8416557161629434,96.32352941176471,1610612759,3,2,2025-11-03T01:14:36Z,270000,False,-232.0,-26.0,1,left,MISS J. Champagnie 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,,,,,23.3,Missed,,,,,,,,,,,,,,
28,PT09M21.00S,2025-11-03T01:14:32.2Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,3,2,2025-11-03T01:14:36Z,280000,False,,,0,,R. Dunn REBOUND (Off:0 Def:1),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Left Corner 3,24+ Left,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,
29,PT09M16.00S,2025-11-03T01:14:37.1Z,1,REGULAR,3pt,Jump Shot,[],1626220,80.1084099868594,3.6764705882352944,1610612756,3,2,2025-11-03T01:14:43Z,290000,False,-232.0,134.0,1,right,MISS R. O'Neale 26' 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,,,,,26.78,Missed,,,,,,,,,,,,,,
30,PT09M11.00S,2025-11-03T01:14:42.1Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,3,2,2025-11-03T01:14:43Z,300000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,
31,PT09M00.00S,2025-11-03T01:14:52.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,18.610381077529567,36.76470588235294,1610612759,3,4,2025-11-03T01:17:49Z,310000,False,66.0,122.0,1,left,D. Vassell 13' fadeaway Jump Shot (4 PTS),[1630170],1610612759.0,SAS,fadeaway,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,,,,,13.92,Made,,,,,,,4.0,,,,,,,
32,PT08M42.00S,2025-11-03T01:15:10.6Z,1,REGULAR,3pt,Jump Shot,[],1642346,65.52233902759527,23.774509803921568,1610612756,6,4,2025-11-03T01:15:15Z,320000,False,-131.0,272.0,1,right,R. Dunn 30' 3PT  (3 PTS) (D. Booker 2 AST),"[1642346, 1626164]",1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Left Center,,,,,30.16,Made,,,,,,,3.0,,,,,D. Booker,1626164.0,2.0
34,PT08M25.00S,2025-11-03T01:15:27.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641705,6.258212877792378,47.30392156862745,1610612759,6,4,2025-11-03T01:15:32Z,340000,False,13.0,6.0,1,left,MISS V. Wembanyama Hook - blocked,"[1641705, 1631109]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,1.49,Missed,,,,,Williams,1631109.0,,,,,,,,
35,PT08M25.00S,2025-11-03T01:15:27.5Z,1,REGULAR,block,,[],1631109,,,1610612759,6,4,2025-11-03T01:15:29Z,350000,False,,,0,,M. Williams BLOCK (2 BLK),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT08M22.00S,2025-11-03T01:15:30.5Z,1,REGULAR,rebound,offensive,[],1641705,,,1610612759,6,4,2025-11-03T01:15:32Z,360000,False,,,0,,V. Wembanyama REBOUND (Off:1 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,34.0,2.0,1.0,1.0,,,,,,,,,,
37,PT08M16.00S,2025-11-03T01:15:36.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1642264,13.091327201051248,67.64705882352942,1610612759,6,6,2025-11-03T01:15:41Z,370000,False,-88.0,71.0,1,left,S. Castle 11' step back Jump Shot (2 PTS),[1642264],1610612759.0,SAS,step back,,,Castle,S. Castle,,,,,Mid-Range,8-16 Left,,,,,11.3,Made,,,,,,,2.0,,,,,,,
38,PT08M00.00S,2025-11-03T01:15:52.3Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,6,6,2025-11-03T01:15:57Z,380000,False,,,0,,D. Booker bad pass TURNOVER (1 TO),"[1626164, 1630577]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,1.0,Champagnie,1630577.0,,,,,,,,,,,,,,,,,
39,PT08M00.00S,2025-11-03T01:15:52.3Z,1,REGULAR,steal,,[],1630577,,,1610612759,6,6,2025-11-03T01:15:54Z,390000,False,,,0,,J. Champagnie STEAL (1 STL),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
40,PT07M51.00S,2025-11-03T01:16:00.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630170,18.610381077529567,4.166666666666666,1610612759,6,6,2025-11-03T01:16:06Z,400000,False,229.0,122.0,1,left,MISS D. Vassell 25' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,,,25.98,Missed,,,,,,,,,,,,,,
41,PT07M48.00S,2025-11-03T01:16:04.7Z,1,REGULAR,rebound,offensive,[],203084,,,1610612759,6,6,2025-11-03T01:16:04Z,410000,False,,,0,,H. Barnes REBOUND (Off:1 Def:1),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,,,,,,,40.0,2.0,1.0,1.0,,,,,,,,,,
42,PT07M47.00S,2025-11-03T01:16:05.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630170,25.443495400788436,12.990196078431374,1610612759,6,6,2025-11-03T01:16:09Z,420000,False,185.0,187.0,1,left,MISS D. Vassell 26' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,,,26.28,Missed,,,,,,,,,,,,,,
43,PT07M44.00S,2025-11-03T01:16:08.7Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612756,6,6,2025-11-03T01:16:09Z,430000,False,,,0,,M. Williams REBOUND (Off:0 Def:2),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,42.0,2.0,2.0,0.0,,,,,,,,,,
44,PT07M27.00S,2025-11-03T01:16:25.8Z,1,REGULAR,2pt,Jump Shot,[],1626164,77.08607095926413,31.372549019607842,1610612756,6,6,2025-11-03T01:16:30Z,440000,False,-93.0,163.0,1,right,MISS D. Booker 18' step back Shot,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left Center,,,,,18.76,Missed,,,,,,,,,,,,,,
45,PT07M24.00S,2025-11-03T01:16:28.8Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,6,6,2025-11-03T01:16:30Z,450000,False,,,0,,D. Vassell REBOUND (Off:0 Def:2),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Left Center,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,,,
46,PT07M19.00S,2025-11-03T01:16:33.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642264,6.1268068331143235,48.77450980392157,1610612759,6,6,2025-11-03T01:16:39Z,460000,False,6.0,5.0,1,left,MISS S. Castle running Layup,[1642264],1610612759.0,SAS,running,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,,,,,0.8,Missed,,,,,,,,,,,,,,
47,PT07M17.00S,2025-11-03T01:16:35.3Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,6,6,2025-11-03T01:16:39Z,470000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:2),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,,,,,46.0,2.0,2.0,0.0,,,,,,,,,,
48,PT07M11.00S,2025-11-03T01:16:41.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628960,94.95729303547962,48.529411764705884,1610612756,8,6,2025-11-03T01:16:45Z,480000,False,-7.0,-5.0,1,right,G. Allen driving DUNK (5 PTS) (R. O'Neale 1 AST),"[1628960, 1626220]",1610612756.0,PHX,driving,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,,0.9,Made,,,,,,,5.0,,,,,R. O'Neale,1626220.0,1.0
50,PT07M11.00S,2025-11-03T01:16:46.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,8,6,2025-11-03T01:16:46Z,500000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M11.00S,2025-11-03T01:18:26.1Z,1,REGULAR,substitution,out,[],1642264,,,1610612759,8,6,2025-11-03T01:21:16Z,515000,False,,,0,,SUB out: S. Castle,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M11.00S,2025-11-03T01:18:26.1Z,1,REGULAR,substitution,in,[],1642844,,,1610612759,8,6,2025-11-03T01:21:16Z,522500,False,,,0,,SUB in: D. Harper,[1642844],1610612759.0,SAS,,,,Harper,D. Harper,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M51.00S,2025-11-03T01:20:05.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642844,7.046649145860711,50.0,1610612759,8,8,2025-11-03T01:26:27Z,530000,False,0.0,14.0,1,left,D. Harper driving Layup (2 PTS),[1642844],1610612759.0,SAS,driving,,,Harper,D. Harper,,,,,Restricted Area,0-8 Center,,,,,1.37,Made,,,,,,,2.0,,,,,,,
54,PT06M51.00S,2025-11-03T01:20:10.4Z,1,REGULAR,foul,personal,['1freethrow'],1631109,,,1610612759,8,8,2025-11-03T01:20:26Z,540000,False,,,0,,M. Williams shooting personal FOUL (1 PF) (Harper 1 FT),"[1631109, 1642844]",1610612756.0,PHX,shooting,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,1628481.0,,,,,,,,,,1.0,0.0,Harper,1642844.0,,,
56,PT06M51.00S,2025-11-03T01:20:54.9Z,1,REGULAR,freethrow,1 of 1,[],1642844,,,1610612759,8,9,2025-11-03T01:20:59Z,560000,False,,,0,,D. Harper Free Throw 1 of 1 (3 PTS),[1642844],1610612759.0,SAS,,,,Harper,D. Harper,,,,,,,,,,,,Made,,,,,,,3.0,,,,,,,
57,PT06M40.00S,2025-11-03T01:21:05.6Z,1,REGULAR,3pt,Jump Shot,[],1626220,96.66557161629436,96.56862745098039,1610612756,11,9,2025-11-03T01:21:12Z,570000,False,233.0,-21.0,1,right,R. O'Neale 3PT  (3 PTS) (D. Booker 3 AST),"[1626220, 1626164]",1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Right Corner 3,24+ Right,,,,,23.38,Made,,,,,,,3.0,,,,,D. Booker,1626164.0,3.0
61,PT06M18.00S,2025-11-03T01:21:29.7Z,1,REGULAR,foul,offensive,[],1641705,,,1610612759,11,9,2025-11-03T01:21:38Z,590000,False,,,0,,V. Wembanyama offensive FOUL (1 PF),"[1641705, 1626220]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,,,,2534.0,,,,,,,,,,1.0,0.0,O'Neale,1626220.0,,,
63,PT06M18.00S,2025-11-03T01:21:29.7Z,1,REGULAR,turnover,offensive foul,[],1641705,,,1610612759,11,9,2025-11-03T01:21:29Z,610000,False,,,0,,V. Wembanyama offensive foul TURNOVER (1 TO),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,2534.0,,,,,,,,,,,,,,,,
64,PT06M16.00S,2025-11-03T01:22:04.3Z,1,REGULAR,foul,personal,[],1630577,,,1610612756,11,9,2025-11-03T01:22:08Z,620000,False,,,0,,J. Champagnie personal FOUL (1 PF),"[1630577, 1628960]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,,2534.0,,,,,,,,,,1.0,0.0,Allen,1628960.0,,,
66,PT06M16.00S,2025-11-03T01:22:10.9Z,1,REGULAR,substitution,out,[],1630577,,,1610612756,11,9,2025-11-03T01:22:12Z,640000,False,,,0,,SUB out: J. Champagnie,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M16.00S,2025-11-03T01:22:10.9Z,1,REGULAR,substitution,in,[],1629640,,,1610612756,11,9,2025-11-03T01:22:12Z,650000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M16.00S,2025-11-03T01:22:10.9Z,1,REGULAR,substitution,out,[],1641705,,,1610612756,11,9,2025-11-03T01:22:20Z,660000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M16.00S,2025-11-03T01:22:10.9Z,1,REGULAR,substitution,in,[],202687,,,1610612756,11,9,2025-11-03T01:22:20Z,670000,False,,,0,,SUB in: B. Biyombo,[202687],1610612759.0,SAS,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M07.00S,2025-11-03T01:22:33.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,68.67608409986859,19.362745098039216,1610612756,14,9,2025-11-03T01:22:38Z,680000,False,-153.0,242.0,1,right,D. Booker 28' 3PT pullup (3 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,28.63,Made,,,,,,,3.0,,,,,,,
71,PT05M48.00S,2025-11-03T01:22:52.3Z,1,REGULAR,3pt,Jump Shot,[],203084,27.414586070959263,15.441176470588236,1610612759,14,12,2025-11-03T01:22:58Z,690000,False,173.0,205.0,1,left,H. Barnes 26' 3PT step back (3 PTS) (B. Biyombo 1 AST),"[203084, 202687]",1610612759.0,SAS,step back,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,,,,,26.83,Made,,,,,,,3.0,,,,,B. Biyombo,202687.0,1.0
73,PT05M22.00S,2025-11-03T01:23:20.2Z,1,REGULAR,foul,personal,['2freethrow'],1630170,,,1610612756,14,12,2025-11-03T01:23:28Z,710000,False,,,0,,D. Vassell shooting personal FOUL (1 PF) (Williams 2 FT),"[1630170, 1631109]",1610612759.0,SAS,shooting,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,,,,1628481.0,,,,,,,,,,1.0,0.0,Williams,1631109.0,,,
75,PT05M22.00S,2025-11-03T01:23:45.3Z,1,REGULAR,freethrow,1 of 2,[],1631109,,,1610612756,14,12,2025-11-03T01:23:45Z,730000,False,,,0,,MISS M. Williams Free Throw 1 of 2,[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
76,PT05M22.00S,2025-11-03T01:23:45.3Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,14,12,2025-11-03T01:23:45Z,740000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,
77,PT05M22.00S,2025-11-03T01:23:46.3Z,1,REGULAR,substitution,out,[],1628960,,,1610612756,14,12,2025-11-03T01:23:49Z,750000,False,,,0,,SUB out: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M22.00S,2025-11-03T01:23:46.3Z,1,REGULAR,substitution,in,[],1631221,,,1610612756,14,12,2025-11-03T01:23:49Z,760000,False,,,0,,SUB in: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M22.00S,2025-11-03T01:24:02.3Z,1,REGULAR,freethrow,2 of 2,[],1631109,,,1610612756,15,12,2025-11-03T01:24:02Z,770000,False,,,0,,M. Williams Free Throw 2 of 2 (1 PTS),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,,,,,,,,Made,,,,,,,1.0,,,,,,,
80,PT05M06.00S,2025-11-03T01:24:21.2Z,1,REGULAR,2pt,Jump Shot,[],1642844,12.302890932982917,32.84313725490196,1610612759,15,12,2025-11-03T01:26:08Z,780000,False,86.0,63.0,1,left,MISS D. Harper 10' driving floating Shot,[1642844],1610612759.0,SAS,driving floating,,,Harper,D. Harper,,,,,Mid-Range,8-16 Right,,,,,10.65,Missed,,,,,,,,,,,,,,
81,PT05M03.00S,2025-11-03T01:24:24.2Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,15,12,2025-11-03T01:24:27Z,790000,False,,,0,,R. Dunn REBOUND (Off:0 Def:2),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Mid-Range,8-16 Right,,,,,,,80.0,2.0,2.0,0.0,,,,,,,,,,
82,PT04M59.00S,2025-11-03T01:24:28.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631221,92.72339027595268,96.07843137254902,1610612756,18,12,2025-11-03T01:24:38Z,800000,False,230.0,16.0,1,right,C. Gillespie 3PT running (3 PTS) (D. Booker 4 AST),"[1631221, 1626164]",1610612756.0,PHX,running,,,Gillespie,C. Gillespie,,,,,Right Corner 3,24+ Right,,,,,23.09,Made,,,,,,,3.0,,,,,D. Booker,1626164.0,4.0
84,PT04M39.00S,2025-11-03T01:24:47.1Z,1,REGULAR,3pt,Jump Shot,[],1630170,33.459264126149804,53.18627450980392,1610612759,18,12,2025-11-03T01:24:52Z,820000,False,-16.0,262.0,1,left,MISS D. Vassell 26' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,,,,,26.25,Missed,,,,,,,,,,,,,,
85,PT04M35.00S,2025-11-03T01:24:51.1Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,18,12,2025-11-03T01:24:52Z,830000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,,,
