actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
33,PT09M14.00S,2025-11-30T02:14:58.3Z,1,REGULAR,steal,,[],1628960,,,1610612756,4,0,2025-11-30T02:15:01Z,330000,False,,,0,,G. Allen STEAL (2 STL),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
34,PT09M11.00S,2025-11-30T02:15:02.2Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1626220,94.30026281208936,50.98039215686274,1610612756,6,0,2025-11-30T02:15:34Z,340000,False,5.0,1.0,1,right,R. O'Neale running DUNK (2 PTS) (G. Allen 1 AST),"[1626220, 1628960]",1610612756.0,PHX,running,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,,0.5,Made,2.0,G. Allen,1628960.0,1.0,,,,,,,,,,,
36,PT09M11.00S,2025-11-30T02:15:06.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,6,0,2025-11-30T02:15:06Z,360000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M01.00S,2025-11-30T02:18:34.5Z,1,REGULAR,foul,offensive,[],1642461,,,1610612743,6,0,2025-11-30T02:19:31Z,370000,False,,,0,,S. Jones offensive FOUL (1 PF),"[1642461, 1628415]",1610612743.0,DEN,,,,Jones,S. Jones,,,,,Above the Break 3,24+ Center,,,,,,,,,,2003.0,1.0,0.0,Brooks,1628415.0,,,,,,
39,PT09M01.00S,2025-11-30T02:18:34.5Z,1,REGULAR,turnover,offensive foul,[],1642461,,,1610612743,6,0,2025-11-30T02:18:34Z,390000,False,,,0,,S. Jones offensive foul TURNOVER (1 TO),[1642461],1610612743.0,DEN,,,,Jones,S. Jones,,,,,Above the Break 3,24+ Center,1.0,,,,,,,,,2003.0,,,,,,,,,,
40,PT08M51.00S,2025-11-30T02:18:58.2Z,1,REGULAR,foul,personal,['2freethrow'],1631212,,,1610612756,6,0,2025-11-30T02:19:15Z,400000,False,,,0,,P. Watson shooting personal FOUL (1 PF) (Brooks 2 FT),"[1631212, 1628415]",1610612743.0,DEN,shooting,,,Watson,P. Watson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,2003.0,1.0,0.0,Brooks,1628415.0,,,,,,
43,PT08M51.00S,2025-11-30T02:19:23.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628415,,,1610612756,7,0,2025-11-30T02:19:23Z,420000,False,,,0,,D. Brooks Free Throw 1 of 2 (3 PTS),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
44,PT08M51.00S,2025-11-30T02:19:43.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628415,,,1610612756,8,0,2025-11-30T02:19:43Z,430000,False,,,0,,D. Brooks Free Throw 2 of 2 (4 PTS),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
45,PT08M31.00S,2025-11-30T02:20:05.1Z,1,REGULAR,3pt,Jump Shot,[],1629661,30.699737187910642,75.0,1610612743,8,0,2025-11-30T02:20:12Z,440000,False,-125.0,236.0,1,left,MISS C. Johnson 26' 3PT,[1629661],1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,,,,26.71,Missed,,,,,,,,,,,,,,,
46,PT08M27.00S,2025-11-30T02:20:09.1Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,8,0,2025-11-30T02:20:12Z,450000,False,,,0,,N. Jokić REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,45.0,1.0,0.0,1.0
47,PT08M25.00S,2025-11-30T02:20:10.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629661,11.251642575558476,47.794117647058826,1610612743,8,0,2025-11-30T02:20:16Z,460000,False,11.0,53.0,1,left,MISS C. Johnson cutting Layup,[1629661],1610612743.0,DEN,cutting,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,5.44,Missed,,,,,,,,,,,,,,,
49,PT08M25.00S,2025-11-30T02:20:10.7Z,1,REGULAR,rebound,offensive,[],1642461,,,1610612743,8,0,2025-11-30T02:20:16Z,480000,False,,,0,,S. Jones REBOUND (Off:1 Def:1),[1642461],1610612743.0,DEN,,,,Jones,S. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,47.0,2.0,1.0,1.0
50,PT08M21.00S,2025-11-30T02:20:15.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642461,8.360709592641262,50.73529411764706,1610612743,8,0,2025-11-30T02:22:32Z,490000,False,-4.0,26.0,1,left,MISS S. Jones Layup,[1642461],1610612743.0,DEN,,,,Jones,S. Jones,,,,,Restricted Area,0-8 Center,,,,2.64,Missed,,,,,,,,,,,,,,,
51,PT08M18.00S,2025-11-30T02:20:18.5Z,1,REGULAR,rebound,offensive,[],1631212,,,1610612743,8,0,2025-11-30T02:20:20Z,500000,False,,,0,,P. Watson REBOUND (Off:1 Def:1),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,50.0,2.0,1.0,1.0
52,PT08M17.00S,2025-11-30T02:20:18.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,5.469776609724048,51.71568627450981,1610612743,8,2,2025-11-30T02:23:09Z,510000,False,-9.0,-1.0,1,left,N. Jokić Layup (2 PTS) (P. Watson 1 AST),"[203999, 1631212]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,,,,0.87,Made,2.0,P. Watson,1631212.0,1.0,,,,,,,,,,,
54,PT07M59.00S,2025-11-30T02:20:37.9Z,1,REGULAR,3pt,Jump Shot,[],1626164,65.52233902759527,48.529411764705884,1610612756,8,2,2025-11-30T02:20:44Z,530000,False,-7.0,272.0,1,right,MISS D. Booker 27' step back 3PT,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,,,,27.17,Missed,,,,,,,,,,,,,,,
55,PT07M55.00S,2025-11-30T02:20:41.9Z,1,REGULAR,rebound,offensive,[],1628415,,,1610612756,8,2,2025-11-30T02:20:44Z,540000,False,,,0,,D. Brooks REBOUND (Off:1 Def:0),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,54.0,1.0,0.0,1.0
56,PT07M52.00S,2025-11-30T02:20:44.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626164,64.73390275952694,42.64705882352941,1610612756,8,2,2025-11-30T02:20:49Z,550000,False,-37.0,279.0,1,right,MISS D. Booker 28' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,,,,28.14,Missed,,,,,,,,,,,,,,,
57,PT07M48.00S,2025-11-30T02:20:48.5Z,1,REGULAR,rebound,defensive,[],1631212,,,1610612743,8,2,2025-11-30T02:20:49Z,560000,False,,,0,,P. Watson REBOUND (Off:1 Def:2),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,56.0,3.0,2.0,1.0
58,PT07M40.00S,2025-11-30T02:20:57.4Z,1,REGULAR,foul,personal,['2freethrow'],1628960,,,1610612743,8,2,2025-11-30T02:21:22Z,570000,False,,,0,,G. Allen shooting personal FOUL (2 PF) (Watson 2 FT),"[1628960, 1631212]",1610612756.0,PHX,shooting,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,2003.0,2.0,0.0,Watson,1631212.0,,,,,,
60,PT07M40.00S,2025-11-30T02:21:28.6Z,1,REGULAR,freethrow,1 of 2,[],1631212,,,1610612743,8,3,2025-11-30T02:21:28Z,590000,False,,,0,,P. Watson Free Throw 1 of 2 (1 PTS),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
61,PT07M40.00S,2025-11-30T02:21:45.5Z,1,REGULAR,freethrow,2 of 2,[],1631212,,,1610612743,8,4,2025-11-30T02:21:45Z,600000,False,,,0,,P. Watson Free Throw 2 of 2 (2 PTS),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
62,PT07M29.00S,2025-11-30T02:21:58.5Z,1,REGULAR,3pt,Jump Shot,[],1628415,90.75229960578186,2.696078431372549,1610612756,11,4,2025-11-30T02:22:03Z,610000,False,-237.0,34.0,1,right,D. Brooks 3PT  (7 PTS) (D. Booker 1 AST),"[1628415, 1626164]",1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Left Corner 3,24+ Left,,,,23.9,Made,7.0,D. Booker,1626164.0,1.0,,,,,,,,,,,
64,PT07M17.00S,2025-11-30T02:22:10.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631212,6.1268068331143235,47.549019607843135,1610612743,11,6,2025-11-30T02:22:15Z,630000,False,12.0,5.0,1,left,P. Watson reverse DUNK (4 PTS) (N. Jokić 1 AST),"[1631212, 203999]",1610612743.0,DEN,reverse,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,,,,1.33,Made,4.0,N. Jokić,203999.0,1.0,,,,,,,,,,,
66,PT06M52.00S,2025-11-30T02:22:35.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628960,94.1688567674113,37.99019607843137,1610612756,11,6,2025-11-30T02:22:40Z,650000,False,-60.0,2.0,1,right,MISS G. Allen 6' driving floating Shot,[1628960],1610612756.0,PHX,driving floating,,,Allen,G. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,6.0,Missed,,,,,,,,,,,,,,,
67,PT06M50.00S,2025-11-30T02:22:37.6Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,11,6,2025-11-30T02:22:40Z,660000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,66.0,1.0,1.0,0.0
68,PT06M44.00S,2025-11-30T02:22:43.2Z,1,REGULAR,3pt,Jump Shot,[],1627750,19.267411300919843,90.93137254901961,1610612743,11,9,2025-11-30T02:22:50Z,670000,False,-205.0,129.0,1,left,J. Murray 24' 3PT  (3 PTS) (C. Johnson 1 AST),"[1627750, 1629661]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,,,,24.17,Made,3.0,C. Johnson,1629661.0,1.0,,,,,,,,,,,
70,PT06M30.00S,2025-11-30T02:22:57.2Z,1,REGULAR,2pt,Jump Shot,[],1628415,80.50262812089356,72.54901960784314,1610612756,11,9,2025-11-30T02:23:14Z,690000,False,113.0,131.0,1,right,MISS D. Brooks 17' Jump Shot,[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Right Center,,,,17.27,Missed,,,,,,,,,,,,,,,
71,PT06M28.00S,2025-11-30T02:22:59.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,11,9,2025-11-30T02:22:59Z,700000,False,,,0,,N. Jokić REBOUND (Off:1 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,70.0,2.0,1.0,1.0
72,PT06M20.00S,2025-11-30T02:23:07.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,7.046649145860711,47.05882352941176,1610612743,11,11,2025-11-30T02:23:33Z,710000,False,15.0,14.0,1,left,J. Murray driving finger roll Layup (5 PTS) (N. Jokić 2 AST),"[1627750, 203999]",1610612743.0,DEN,driving finger roll,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,2.01,Made,5.0,N. Jokić,203999.0,2.0,,,,,,,,,,,
74,PT06M02.00S,2025-11-30T02:23:30.3Z,1,REGULAR,foul,personal,[],1642461,,,1610612756,11,11,2025-11-30T02:23:39Z,730000,False,,,0,,S. Jones personal FOUL (2 PF),"[1642461, 1626220]",1610612743.0,DEN,,,,Jones,S. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1628487.0,2.0,0.0,O'Neale,1626220.0,,,,,,
78,PT06M02.00S,2025-11-30T02:23:45.1Z,1,REGULAR,substitution,out,[],1628960,,,1610612756,11,11,2025-11-30T02:24:30Z,745000,False,,,0,,SUB out: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M02.00S,2025-11-30T02:23:45.1Z,1,REGULAR,substitution,out,[],1642461,,,1610612756,11,11,2025-11-30T02:24:30Z,747500,False,,,0,,SUB out: S. Jones,[1642461],1610612743.0,DEN,,,,Jones,S. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M02.00S,2025-11-30T02:23:45.1Z,1,REGULAR,substitution,in,[],1631221,,,1610612756,11,11,2025-11-30T02:24:30Z,748750,False,,,0,,SUB in: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M02.00S,2025-11-30T02:23:45.1Z,1,REGULAR,substitution,in,[],203501,,,1610612756,11,11,2025-11-30T02:24:30Z,749375,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M52.00S,2025-11-30T02:24:00.0Z,1,REGULAR,3pt,Jump Shot,[],1631221,76.03482260183968,11.029411764705882,1610612756,14,11,2025-11-30T02:24:06Z,750000,False,-195.0,173.0,1,right,C. Gillespie 26' 3PT  (3 PTS) (D. Booker 2 AST),"[1631221, 1626164]",1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,,,,26.05,Made,3.0,D. Booker,1626164.0,2.0,,,,,,,,,,,
100,PT05M38.00S,2025-11-30T02:24:16.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203501,15.111695137976348,48.06219362745098,1610612743,14,11,2025-11-30T02:27:48Z,765000,False,10.0,90.0,1,left,MISS T. Hardaway Jr. 9' driving floating Shot,[203501],1610612743.0,DEN,driving floating,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,9.0,Missed,,,,,,,,,,,,,,,
101,PT05M35.00S,2025-11-30T02:24:19.5Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,14,11,2025-11-30T02:27:48Z,767500,False,,,0,,N. Jokić REBOUND (Off:2 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,100.0,3.0,1.0,2.0
82,PT05M33.00S,2025-11-30T02:24:33.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203999,7.046649145860711,50.98039215686274,1610612743,14,13,2025-11-30T02:28:04Z,770000,False,-5.0,14.0,1,left,N. Jokić putback DUNK (4 PTS),[203999],1610612743.0,DEN,putback,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,,,,1.45,Made,4.0,,,,,,,,,,,,,,
83,PT05M19.00S,2025-11-30T02:24:40.5Z,1,REGULAR,2pt,Layup,[],1626164,84.05059132720105,21.323529411764707,1610612756,14,13,2025-11-30T02:26:38Z,780000,False,-143.0,97.0,1,right,MISS D. Booker 17' driving Layup,[1626164],1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left,,,,17.34,Missed,,,,,,,,,,,,,,,
84,PT05M17.00S,2025-11-30T02:24:43.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,14,13,2025-11-30T02:24:43Z,790000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,83.0,,,
86,PT05M17.00S,2025-11-30T02:24:49.7Z,1,REGULAR,turnover,out-of-bounds,[],1627750,,,1610612743,14,13,2025-11-30T02:25:04Z,810000,False,,,0,,J. Murray bad pass out-of-bounds TURNOVER (2 TO),[1627750],1610612743.0,DEN,bad pass,,,Murray,J. Murray,,,,,Above the Break 3,24+ Center,2.0,,,,,,,,,2003.0,,,,,,,,,,
87,PT05M03.00S,2025-11-30T02:25:04.5Z,1,REGULAR,turnover,out-of-bounds,[],1628415,,,1610612756,14,13,2025-11-30T02:25:13Z,820000,False,,,0,,D. Brooks bad pass out-of-bounds TURNOVER (2 TO),[1628415],1610612756.0,PHX,bad pass,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,2.0,,,,,,,,,1627963.0,,,,,,,,,,
88,PT05M03.00S,2025-11-30T02:25:08.9Z,1,REGULAR,substitution,out,[],1626220,,,1610612743,14,13,2025-11-30T02:25:26Z,830000,False,,,0,,SUB out: R. O'Neale,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
