actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
19,PT10M46.00S,2026-04-08T03:15:07.6Z,1,REGULAR,turnover,offensive foul,[],1630224,,,1610612756,2,3,2026-04-08T03:19:21Z,190000,False,,,0,,J. Green offensive foul TURNOVER (1 TO),[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,202027.0,,,,,1.0,,
20,PT10M34.00S,2026-04-08T03:15:31.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630578,77.7431011826544,7.598039215686274,1610612745,2,3,2026-04-08T03:17:26Z,200000,False,-212.0,157.0,1,right,MISS A. Sengun 26' 3PT,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,26.36,Missed,,,,,,,,,,,,,,,,,,
21,PT10M31.00S,2026-04-08T03:15:34.8Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612756,2,3,2026-04-08T03:15:38Z,210000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,20.0,,,,,,,1.0,1.0,0.0,,,,,,,,
22,PT10M25.00S,2026-04-08T03:15:44.8Z,1,REGULAR,turnover,out-of-bounds,[],1630224,,,1610612756,2,3,2026-04-08T03:15:51Z,220000,False,,,0,,J. Green lost ball out-of-bounds TURNOVER (2 TO),[1630224],1610612756.0,PHX,lost ball,,,Green,J. Green,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,201638.0,,,,,2.0,,
23,PT10M14.00S,2026-04-08T03:15:59.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641708,95.6143232588699,51.225490196078425,1610612745,2,5,2026-04-08T03:17:58Z,230000,False,6.0,-11.0,1,right,A. Thompson cutting Layup (2 PTS) (A. Sengun 2 AST),"[1641708, 1630578]",1610612745.0,HOU,cutting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.28,Made,,2.0,A. Sengun,1630578.0,2.0,,,,,,,,,,,,,
25,PT10M06.00S,2026-04-08T03:16:06.7Z,1,REGULAR,3pt,Jump Shot,[],1626164,29.25427069645204,16.911764705882355,1610612756,5,5,2026-04-08T03:16:16Z,250000,False,165.0,222.0,1,left,D. Booker 27' 3PT step back (5 PTS),[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,27.72,Made,,5.0,,,,,,,,,,,,,,,,
26,PT09M56.00S,2026-04-08T03:16:26.5Z,1,REGULAR,turnover,bad pass,[],1630578,,,1610612745,5,5,2026-04-08T03:16:30Z,260000,False,,,0,,A. Sengun bad pass TURNOVER (1 TO),"[1630578, 1631109]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,1.0,Williams,1631109.0
27,PT09M56.00S,2026-04-08T03:16:26.5Z,1,REGULAR,steal,,[],1631109,,,1610612756,5,5,2026-04-08T03:17:30Z,270000,False,,,0,,M. Williams STEAL (1 STL),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
28,PT09M46.00S,2026-04-08T03:16:36.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630692,5.075558475689881,95.09803921568627,1610612756,8,5,2026-04-08T03:16:41Z,280000,False,-225.0,-5.0,1,left,J. Goodwin 3PT  (3 PTS) (J. Green 1 AST),"[1630692, 1630224]",1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Left Corner 3,24+ Left,22.56,Made,,3.0,J. Green,1630224.0,1.0,,,,,,,,,,,,,
30,PT09M19.00S,2026-04-08T03:17:03.0Z,1,REGULAR,3pt,Jump Shot,[],1641708,91.01511169513797,4.166666666666666,1610612745,8,5,2026-04-08T03:17:07Z,300000,False,-229.0,32.0,1,right,MISS A. Thompson 3PT,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Left Corner 3,24+ Left,23.14,Missed,,,,,,,,,,,,,,,,,,
31,PT09M18.00S,2026-04-08T03:17:04.0Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612756,8,5,2026-04-08T03:17:07Z,310000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Left Corner 3,24+ Left,,,30.0,,,,,,,1.0,1.0,0.0,,,,,,,,
32,PT09M11.00S,2026-04-08T03:17:11.8Z,1,REGULAR,3pt,Jump Shot,[],1626164,32.14520367936925,56.86274509803921,1610612756,11,5,2026-04-08T03:17:16Z,320000,False,-34.0,250.0,1,left,D. Booker 25' 3PT pullup (8 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,25.2,Made,,8.0,,,,,,,,,,,,,,,,
33,PT08M54.00S,2026-04-08T03:17:27.7Z,1,REGULAR,3pt,Jump Shot,[],1642263,67.62483574244416,13.23529411764706,1610612745,11,5,2026-04-08T03:20:41Z,330000,False,-184.0,252.0,1,right,MISS R. Sheppard 31' pullup 3PT,[1642263],1610612745.0,HOU,pullup,,,Sheppard,R. Sheppard,,,,,Above the Break 3,24+ Left Center,31.17,Missed,,,,,,,,,,,,,,,,,,
34,PT08M52.00S,2026-04-08T03:17:29.7Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612756,11,5,2026-04-08T03:17:33Z,340000,False,,,0,,M. Williams REBOUND (Off:0 Def:2),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Left Center,,,33.0,,,,,,,2.0,2.0,0.0,,,,,,,,
35,PT08M45.00S,2026-04-08T03:17:37.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,5.863994743758213,47.549019607843135,1610612756,13,5,2026-04-08T03:17:41Z,350000,False,12.0,3.0,1,left,J. Green driving Layup (2 PTS),[1630224],1610612756.0,PHX,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.26,Made,,2.0,,,,,,,,,,,,,,,,
36,PT08M33.00S,2026-04-08T03:17:49.8Z,1,REGULAR,2pt,Jump Shot,[],201142,87.46714848883047,86.76470588235294,1610612745,13,5,2026-04-08T03:17:54Z,360000,False,184.0,65.0,1,right,MISS K. Durant 19' pullup Shot,[201142],1610612745.0,HOU,pullup,,,Durant,K. Durant,,,,,Mid-Range,16-24 Right,19.51,Missed,,,,,,,,,,,,,,,,,,
37,PT08M29.00S,2026-04-08T03:17:53.8Z,1,REGULAR,rebound,defensive,[],1630692,,,1610612756,13,5,2026-04-08T03:17:54Z,370000,False,,,0,,J. Goodwin REBOUND (Off:0 Def:1),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Mid-Range,16-24 Right,,,36.0,,,,,,,1.0,1.0,0.0,,,,,,,,
38,PT08M22.00S,2026-04-08T03:18:00.9Z,1,REGULAR,2pt,Jump Shot,[],1630224,8.886333771353483,89.2156862745098,1610612756,13,5,2026-04-08T03:18:05Z,380000,False,-196.0,31.0,1,left,MISS J. Green 19' step back Shot,[1630224],1610612756.0,PHX,step back,,,Green,J. Green,,,,,Mid-Range,16-24 Left,19.85,Missed,,,,,,,,,,,,,,,,,,
39,PT08M18.00S,2026-04-08T03:18:04.2Z,1,REGULAR,rebound,offensive,[],1630692,,,1610612756,13,5,2026-04-08T03:18:04Z,390000,False,,,0,,J. Goodwin REBOUND (Off:1 Def:1),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Mid-Range,16-24 Left,,,38.0,,,,,,,2.0,1.0,1.0,,,,,,,,
40,PT08M17.00S,2026-04-08T03:18:05.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628415,22.99605781865965,83.80055147058823,1610612756,13,5,2026-04-08T03:23:04Z,400000,False,-169.0,164.0,1,left,MISS D. Brooks 23' pullup Shot,[1628415],1610612756.0,PHX,pullup,,,Brooks,D. Brooks,,,,,Mid-Range,16-24 Left Center,23.53,Missed,,,,,,,,,,,,,,,,,,
41,PT08M13.00S,2026-04-08T03:18:09.9Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,13,5,2026-04-08T03:18:12Z,410000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Left Center,,,40.0,,,,,,,1.0,1.0,0.0,,,,,,,,
43,PT08M01.00S,2026-04-08T03:18:31.4Z,1,REGULAR,2pt,Jump Shot,[],201142,73.40670170827858,56.372549019607845,1610612745,13,5,2026-04-08T03:18:36Z,430000,False,32.0,197.0,1,right,MISS K. Durant 20' step back Shot,[201142],1610612745.0,HOU,step back,,,Durant,K. Durant,,,,,Mid-Range,16-24 Center,20.01,Missed,,,,,,,,,,,,,,,,,,
44,PT07M58.00S,2026-04-08T03:18:34.4Z,1,REGULAR,rebound,defensive,[],1630692,,,1610612756,13,5,2026-04-08T03:18:36Z,440000,False,,,0,,J. Goodwin REBOUND (Off:1 Def:2),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Mid-Range,16-24 Center,,,43.0,,,,,,,3.0,2.0,1.0,,,,,,,,
45,PT07M54.00S,2026-04-08T03:18:38.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630692,28.465834428383708,81.86274509803921,1610612756,16,5,2026-04-08T03:18:49Z,450000,False,-159.0,215.0,1,left,J. Goodwin 26' 3PT running (6 PTS) (D. Brooks 1 AST),"[1630692, 1628415]",1610612756.0,PHX,running,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Left Center,26.77,Made,,6.0,D. Brooks,1628415.0,1.0,,,,,,,,,,,,,
47,PT07M52.00S,2026-04-08T03:18:43.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,16,5,2026-04-08T03:18:43Z,470000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT07M52.00S,2026-04-08T03:21:28.8Z,1,REGULAR,substitution,out,[],1642263,,,1610612745,16,5,2026-04-08T03:21:50Z,480000,False,,,0,,SUB out: R. Sheppard,[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M52.00S,2026-04-08T03:21:28.8Z,1,REGULAR,substitution,in,[],1629006,,,1610612745,16,5,2026-04-08T03:21:50Z,490000,False,,,0,,SUB in: J. Okogie,[1629006],1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M37.00S,2026-04-08T03:22:21.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,95.3515111695138,50.98039215686274,1610612745,16,5,2026-04-08T03:24:58Z,500000,False,5.0,-9.0,1,right,MISS A. Sengun turnaround Hook,[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.01,Missed,,,,,,,,,,,,,,,,,,
51,PT07M36.00S,2026-04-08T03:22:22.6Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,16,5,2026-04-08T03:24:58Z,510000,False,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,50.0,,,,,,,2.0,1.0,1.0,,,,,,,,
52,PT07M35.00S,2026-04-08T03:22:25.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630578,94.40999984741211,50.0,1610612745,16,5,2026-04-08T03:25:04Z,520000,False,0.0,0.0,1,right,MISS A. Sengun tip Layup,[1630578],1610612745.0,HOU,tip,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
53,PT07M34.00S,2026-04-08T03:22:26.0Z,1,REGULAR,rebound,offensive,[],1630578,,,1610612745,16,5,2026-04-08T03:25:04Z,530000,False,,,0,,A. Sengun REBOUND (Off:2 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,52.0,,,,,,,3.0,1.0,2.0,,,,,,,,
55,PT07M30.00S,2026-04-08T03:22:34.4Z,1,REGULAR,turnover,lost ball,[],1630578,,,1610612745,16,5,2026-04-08T03:27:14Z,550000,False,,,0,,A. Sengun lost ball TURNOVER (2 TO),"[1630578, 1631109]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,2.0,Williams,1631109.0
56,PT07M30.00S,2026-04-08T03:22:34.4Z,1,REGULAR,steal,,[],1631109,,,1610612756,16,5,2026-04-08T03:22:36Z,560000,False,,,0,,M. Williams STEAL (2 STL),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT07M25.00S,2026-04-08T03:22:36.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628415,8.360709592641262,48.529411764705884,1610612756,16,5,2026-04-08T03:27:28Z,580000,False,7.0,26.0,1,left,MISS D. Brooks running reverse Layup,[1628415],1610612756.0,PHX,running reverse,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,2.71,Missed,,,,,,,,,,,,,,,,,,
59,PT07M24.00S,2026-04-08T03:22:37.8Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612756,16,5,2026-04-08T03:27:28Z,590000,False,,,0,,M. Williams REBOUND (Off:1 Def:2),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,58.0,,,,,,,3.0,2.0,1.0,,,,,,,,
60,PT07M23.00S,2026-04-08T03:22:45.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1631109,5.590000152587891,50.0,1610612756,18,5,2026-04-08T03:27:39Z,600000,False,0.0,0.0,1,left,M. Williams tip Layup (2 PTS),[1631109],1610612756.0,PHX,tip,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,0.0,Made,,2.0,,,,,,,,,,,,,,,,
61,PT07M07.00S,2026-04-08T03:22:51.0Z,1,REGULAR,2pt,Jump Shot,[],201142,78.9257555847569,29.901960784313726,1610612745,18,5,2026-04-08T03:28:19Z,610000,False,-100.0,146.0,1,right,MISS K. Durant 17' turnaround Shot,[201142],1610612745.0,HOU,turnaround,,,Durant,K. Durant,,,,,Mid-Range,16-24 Left Center,17.69,Missed,,,,,,,,,,,,,,,,,,
62,PT07M03.00S,2026-04-08T03:22:55.0Z,1,REGULAR,rebound,offensive,[],1641708,,,1610612745,18,5,2026-04-08T03:22:58Z,620000,False,,,0,,A. Thompson REBOUND (Off:1 Def:0),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Left Center,,,61.0,,,,,,,1.0,0.0,1.0,,,,,,,,
63,PT06M58.00S,2026-04-08T03:23:00.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201142,78.66294349540078,8.333333333333332,1610612745,18,5,2026-04-08T03:23:06Z,630000,False,-208.0,148.0,1,right,MISS K. Durant 25' 3PT,[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,25.56,Missed,,,,,,,,,,,,,,,,,,
64,PT06M56.00S,2026-04-08T03:23:02.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,18,5,2026-04-08T03:23:06Z,640000,False,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Above the Break 3,24+ Left Center,,,63.0,,,,,,,,,,,,,,,,,
66,PT06M56.00S,2026-04-08T03:23:08.6Z,1,REGULAR,substitution,out,[],1630692,,,1610612756,18,5,2026-04-08T03:23:13Z,660000,False,,,0,,SUB out: J. Goodwin,[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M56.00S,2026-04-08T03:23:08.6Z,1,REGULAR,substitution,in,[],1628960,,,1610612756,18,5,2026-04-08T03:23:13Z,670000,False,,,0,,SUB in: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M37.00S,2026-04-08T03:23:39.6Z,1,REGULAR,2pt,Jump Shot,[],1630224,23.73521681997372,64.95098039215686,1610612756,18,5,2026-04-08T03:23:45Z,680000,False,-75.0,171.0,1,left,MISS J. Green 18' step back Shot,[1630224],1610612756.0,PHX,step back,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,18.63,Missed,,,,,,,,,,,,,,,,,,
69,PT06M34.00S,2026-04-08T03:23:42.6Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612756,18,5,2026-04-08T03:23:47Z,690000,False,,,0,,M. Williams REBOUND (Off:2 Def:2),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Mid-Range,16-24 Left Center,,,68.0,,,,,,,4.0,2.0,2.0,,,,,,,,
70,PT06M31.00S,2026-04-08T03:23:47.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1631109,5.995400788436268,47.05882352941176,1610612756,20,5,2026-04-08T03:24:02Z,700000,False,15.0,4.0,1,left,M. Williams putback DUNK (4 PTS),[1631109],1610612756.0,PHX,putback,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,1.52,Made,,4.0,,,,,,,,,,,,,,,,
71,PT06M19.00S,2026-04-08T03:24:09.5Z,1,REGULAR,3pt,Jump Shot,[],1629006,97.7168199737188,98.0392156862745,1610612745,20,5,2026-04-08T03:24:16Z,710000,False,240.0,-31.0,1,right,MISS J. Okogie 24' 3PT - blocked,"[1629006, 1630224]",1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,Right Corner 3,24+ Right,24.22,Missed,,,,,,Green,1630224.0,,,,,,,,,,,
72,PT06M19.00S,2026-04-08T03:24:09.5Z,1,REGULAR,block,,[],1630224,,,1610612745,20,5,2026-04-08T03:24:14Z,720000,False,,,0,,J. Green BLOCK (2 BLK),[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
73,PT06M17.00S,2026-04-08T03:24:11.5Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,20,5,2026-04-08T03:30:07Z,730000,False,,,0,,D. Booker REBOUND (Off:0 Def:2),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Right Corner 3,24+ Right,,,71.0,,,,,,,2.0,2.0,0.0,,,,,,,,
74,PT06M13.00S,2026-04-08T03:24:17.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631109,6.1268068331143235,50.0,1610612756,22,5,2026-04-08T03:24:35Z,740000,False,0.0,5.0,1,left,M. Williams running Layup (6 PTS) (D. Booker 1 AST),"[1631109, 1626164]",1610612756.0,PHX,running,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,0.51,Made,,6.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,,
76,PT06M13.00S,2026-04-08T03:24:20.6Z,1,REGULAR,foul,personal,['1freethrow'],201142,,,1610612756,22,5,2026-04-08T03:24:36Z,760000,False,,,0,,K. Durant shooting personal FOUL (1 PF) (Williams 1 FT),"[201142, 1631109]",1610612745.0,HOU,shooting,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,201638.0,1.0,0.0,Williams,1631109.0,,,
78,PT06M13.00S,2026-04-08T03:24:32.0Z,1,REGULAR,substitution,out,[],1630578,,,1610612756,22,5,2026-04-08T03:24:58Z,780000,False,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M13.00S,2026-04-08T03:24:32.0Z,1,REGULAR,substitution,in,[],203991,,,1610612756,22,5,2026-04-08T03:24:58Z,790000,False,,,0,,SUB in: C. Capela,[203991],1610612745.0,HOU,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M13.00S,2026-04-08T03:24:55.4Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1631109,,,1610612756,23,5,2026-04-08T03:24:55Z,800000,False,,,0,,M. Williams Free Throw 1 of 1 (7 PTS),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,,,,Made,,7.0,,,,,,,,,,,,,,,,
150,PT06M01.00S,2026-04-08T03:25:02.4Z,1,REGULAR,turnover,lost ball,[],201142,,,1610612745,23,5,2026-04-08T03:35:08Z,805000,False,,,0,,K. Durant lost ball TURNOVER (1 TO),"[201142, 1631109]",1610612745.0,HOU,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Williams,1631109.0
151,PT06M01.00S,2026-04-08T03:25:02.4Z,1,REGULAR,steal,,[],1631109,,,1610612756,23,5,2026-04-08T03:35:08Z,807500,False,,,0,,M. Williams STEAL (3 STL),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
84,PT05M51.00S,2026-04-08T03:25:21.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631109,6.389618922470433,47.794117647058826,1610612756,25,5,2026-04-08T03:35:11Z,840000,False,11.0,8.0,1,left,M. Williams cutting Layup (9 PTS) (D. Booker 2 AST),"[1631109, 1626164]",1610612756.0,PHX,cutting,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,1.34,Made,,9.0,D. Booker,1626164.0,2.0,,,,,,,,,,,,,
86,PT05M51.00S,2026-04-08T03:25:24.0Z,1,REGULAR,foul,personal,['1freethrow'],203991,,,1610612756,25,5,2026-04-08T03:25:37Z,860000,False,,,0,,C. Capela shooting personal FOUL (1 PF) (Williams 1 FT),"[203991, 1631109]",1610612745.0,HOU,shooting,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628951.0,1.0,0.0,Williams,1631109.0,,,
