actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
16,PT10M40.00S,2024-12-24T01:42:31.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,81.15965834428384,43.872549019607845,1610612757,3,2,2024-12-24T01:42:35Z,160000,False,-31.0,125.0,1,right,D. Ayton 12' Jump Shot (2 PTS) (S. Sharpe 1 AST),"[1629028, 1631101]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,12.83,Made,,,,,,2.0,S. Sharpe,1631101.0,1.0,,,,,,,,,
18,PT10M27.00S,2024-12-24T01:42:44.2Z,1,REGULAR,turnover,bad pass,[],202691,,,1610612742,3,2,2024-12-24T01:42:49Z,180000,False,,,0,,K. Thompson bad pass TURNOVER (1 TO),"[202691, 1631101]",1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,1.0,Sharpe,1631101.0,,,,,,
19,PT10M27.00S,2024-12-24T01:42:44.2Z,1,REGULAR,steal,,[],1631101,,,1610612757,3,2,2024-12-24T02:01:09Z,190000,False,,,0,,S. Sharpe STEAL (1 STL),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M23.00S,2024-12-24T01:42:48.8Z,1,REGULAR,turnover,lost ball,[],1631101,,,1610612757,3,2,2024-12-24T01:42:52Z,200000,False,,,0,,S. Sharpe lost ball TURNOVER (1 TO),"[1631101, 202691]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,1.0,Thompson,202691.0,,,,,,
21,PT10M23.00S,2024-12-24T01:42:48.8Z,1,REGULAR,steal,,[],202691,,,1610612742,3,2,2024-12-24T01:43:56Z,210000,False,,,0,,K. Thompson STEAL (1 STL),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
22,PT10M18.00S,2024-12-24T01:42:53.7Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629023,22.28975032851511,86.51960784313727,1610612742,6,2,2024-12-24T01:44:38Z,220000,False,-183.0,157.0,1,left,P. Washington 24' 3PT running (3 PTS) (K. Thompson 1 AST),"[1629023, 202691]",1610612742.0,DAL,running,,,Washington,P. Washington,,,,,Above the Break 3,24+ Left Center,24.08,Made,,,,,,3.0,K. Thompson,202691.0,1.0,,,,,,,,,
24,PT10M03.00S,2024-12-24T01:43:08.0Z,1,REGULAR,2pt,Jump Shot,[],1631101,75.50919842312747,28.921568627450984,1610612757,6,4,2024-12-24T01:43:17Z,240000,False,-105.0,178.0,1,right,S. Sharpe 20' pullup Jump Shot (2 PTS) (A. Simons 1 AST),"[1631101, 1629014]",1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Left Center,20.66,Made,,,,,,2.0,A. Simons,1629014.0,1.0,,,,,,,,,
26,PT09M51.00S,2024-12-24T01:43:20.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,31.61957950065703,54.90196078431373,1610612742,6,4,2024-12-24T01:43:24Z,260000,False,-25.0,245.0,1,left,MISS L. Dončić 24' 3PT,[1629029],1610612742.0,DAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Center,24.59,Missed,,,,,,,,,,,,,,,,,,
27,PT09M48.00S,2024-12-24T01:43:23.4Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,6,4,2024-12-24T01:43:24Z,270000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Center,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT09M30.00S,2024-12-24T01:43:57.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631101,93.11760840998686,54.90196078431373,1610612757,6,4,2024-12-24T01:44:02Z,290000,False,25.0,12.0,1,right,MISS S. Sharpe driving Layup,[1631101],1610612757.0,POR,driving,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,2.74,Missed,,,,,,,,,,,,,,,,,,
30,PT09M27.00S,2024-12-24T01:44:00.9Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612757,6,4,2024-12-24T01:44:02Z,300000,False,,,0,,D. Ayton REBOUND (Off:1 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,29.0,2.0,1.0,1.0,,,,,,,,,,,,,,
31,PT09M27.00S,2024-12-24T01:44:00.9Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629028,94.40999984741211,50.0,1610612757,6,6,2024-12-24T01:44:08Z,310000,False,0.0,0.0,1,right,D. Ayton tip DUNK (4 PTS),[1629028],1610612757.0,POR,tip,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,4.0,,,,,,,,,,,,
32,PT09M19.00S,2024-12-24T01:44:08.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641726,10.988830486202366,42.15686274509804,1610612742,8,6,2024-12-24T01:46:37Z,320000,False,39.0,51.0,1,left,D. Lively II 6' floating Jump Shot (2 PTS) (K. Irving 1 AST),"[1641726, 202681]",1610612742.0,DAL,floating,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),0-8 Center,6.42,Made,,,,,,2.0,K. Irving,202681.0,1.0,,,,,,,,,
34,PT08M57.00S,2024-12-24T01:44:31.0Z,1,REGULAR,3pt,Jump Shot,[],1629014,69.59592641261499,22.794117647058822,1610612757,8,6,2024-12-24T01:44:36Z,340000,False,-136.0,233.0,1,right,MISS A. Simons 27' pullup bank 3PT,[1629014],1610612757.0,POR,pullup bank,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,27.0,Missed,,,,,,,,,,,,,,,,,,
35,PT08M55.00S,2024-12-24T01:44:33.0Z,1,REGULAR,rebound,defensive,[],202681,,,1610612742,8,6,2024-12-24T01:44:36Z,350000,False,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Left Center,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
36,PT08M46.00S,2024-12-24T01:44:43.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,6.783837056504599,53.92156862745098,1610612742,10,6,2024-12-24T01:47:55Z,360000,False,-20.0,11.0,1,left,P. Washington driving floating Jump Shot (5 PTS),[1629023],1610612742.0,DAL,driving floating,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,2.26,Made,,,,,,5.0,,,,,,,,,,,,
37,PT08M30.00S,2024-12-24T01:44:58.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629014,94.82588699080158,52.94117647058824,1610612757,10,8,2024-12-24T01:45:03Z,370000,False,15.0,-4.0,1,right,A. Simons driving Layup (2 PTS),[1629014],1610612757.0,POR,driving,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,1.52,Made,,,,,,2.0,,,,,,,,,,,,
38,PT08M25.00S,2024-12-24T01:45:03.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202691,5.732588699080158,48.03921568627451,1610612742,12,8,2024-12-24T01:49:31Z,380000,False,10.0,1.0,1,left,K. Thompson cutting DUNK (5 PTS) (L. Dončić 1 AST),"[202691, 1629029]",1610612742.0,DAL,cutting,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,0.99,Made,,,,,,5.0,L. Dončić,1629029.0,1.0,,,,,,,,,
40,PT08M11.00S,2024-12-24T01:45:16.8Z,1,REGULAR,3pt,Jump Shot,[],1631101,69.46452036793693,71.07843137254902,1610612757,12,11,2024-12-24T01:50:03Z,400000,False,105.0,235.0,1,right,S. Sharpe 25' 3PT pullup (5 PTS) (A. Simons 2 AST),"[1631101, 1629014]",1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,25.71,Made,,,,,,5.0,A. Simons,1629014.0,2.0,,,,,,,,,
42,PT07M57.00S,2024-12-24T01:45:31.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,5.075558475689881,46.07843137254902,1610612742,14,11,2024-12-24T01:45:35Z,420000,False,20.0,-5.0,1,left,K. Irving driving Layup (2 PTS),[202681],1610612742.0,DAL,driving,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,2.02,Made,,,,,,2.0,,,,,,,,,,,,
43,PT07M42.00S,2024-12-24T01:45:46.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631101,88.12417871222075,50.245098039215684,1610612757,14,13,2024-12-24T01:45:51Z,430000,False,1.0,59.0,1,right,S. Sharpe driving floating bank Jump Shot (7 PTS) (A. Simons 3 AST),"[1631101, 1629014]",1610612757.0,POR,driving floating bank,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,5.91,Made,,,,,,7.0,A. Simons,1629014.0,3.0,,,,,,,,,
45,PT07M31.00S,2024-12-24T01:45:57.6Z,1,REGULAR,2pt,Jump Shot,[],1629029,6.258212877792378,79.16666666666666,1610612742,14,13,2024-12-24T01:46:01Z,450000,False,-146.0,6.0,1,left,MISS L. Dončić 14' step back Shot,[1629029],1610612742.0,DAL,step back,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Left,14.59,Missed,,,,,,,,,,,,,,,,,,
46,PT07M29.00S,2024-12-24T01:45:59.6Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,14,13,2024-12-24T01:46:01Z,460000,False,,,0,,T. Camara REBOUND (Off:0 Def:2),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Mid-Range,8-16 Left,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,,,
48,PT07M18.00S,2024-12-24T01:46:13.4Z,1,REGULAR,substitution,out,[],1629014,,,1610612757,14,13,2024-12-24T01:46:24Z,480000,False,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M18.00S,2024-12-24T01:46:13.4Z,1,REGULAR,substitution,in,[],1630703,,,1610612757,14,13,2024-12-24T01:46:24Z,490000,False,,,0,,SUB in: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M06.00S,2024-12-24T01:46:42.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612757,14,13,2024-12-24T01:46:51Z,500000,False,,,0,,POR shot clock Team TURNOVER,[],1610612757.0,POR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
51,PT06M56.00S,2024-12-24T01:47:00.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629029,14.98028909329829,64.23866421568627,1610612742,16,13,2024-12-24T01:47:44Z,510000,False,-71.0,88.0,1,left,L. Dončić 11' step back bank Jump Shot (2 PTS),[1629029],1610612742.0,DAL,step back bank,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Left,11.34,Made,,,,,,2.0,,,,,,,,,,,,
52,PT06M56.00S,2024-12-24T01:47:04.5Z,1,REGULAR,foul,personal,['1freethrow'],1641739,,,1610612742,16,13,2024-12-24T01:47:15Z,520000,False,,,0,,T. Camara shooting personal FOUL (1 PF) (Dončić 1 FT),"[1641739, 1629029]",1610612757.0,POR,shooting,,,Camara,T. Camara,,,,,Mid-Range,8-16 Left,,,,,,,1627534.0,,,,,,,,1.0,0.0,Dončić,1629029.0,,
54,PT06M56.00S,2024-12-24T01:47:18.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,16,13,2024-12-24T01:47:18Z,540000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M56.00S,2024-12-24T01:47:20.5Z,1,REGULAR,substitution,out,[],1631101,,,1610612742,16,13,2024-12-24T01:50:07Z,550000,False,,,0,,SUB out: S. Sharpe,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M56.00S,2024-12-24T01:47:20.5Z,1,REGULAR,substitution,in,[],1630166,,,1610612742,16,13,2024-12-24T01:50:07Z,560000,False,,,0,,SUB in: D. Avdija,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M56.00S,2024-12-24T01:50:15.8Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1629029,,,1610612742,16,13,2024-12-24T01:51:24Z,570000,False,,,0,,MISS L. Dončić Free Throw 1 of 1,[1629029],1610612742.0,DAL,,,,Dončić,L. Dončić,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
58,PT06M52.00S,2024-12-24T01:50:19.8Z,1,REGULAR,rebound,offensive,[],1641726,,,1610612742,16,13,2024-12-24T01:51:24Z,580000,False,,,0,,D. Lively II REBOUND (Off:1 Def:0),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,57.0,1.0,0.0,1.0,,,,,,,,,,,,,,
59,PT06M50.00S,2024-12-24T01:50:53.6Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612742,16,13,2024-12-24T01:50:53Z,590000,False,,,0,,Jump Ball D. Ayton vs. D. Lively II: Tip to D. Avdija,"[1630166, 1629028, 1641726]",1610612757.0,POR,heldball,D. Avdija,1630166.0,Avdija,D. Avdija,Ayton,1629028.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,
62,PT06M50.00S,2024-12-24T01:50:53.6Z,1,REGULAR,turnover,lost ball,[],1641726,,,1610612742,16,13,2024-12-24T01:50:53Z,620000,False,,,0,,D. Lively II lost ball TURNOVER (1 TO),"[1641726, 1629028]",1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,1.0,Ayton,1629028.0,,,,,,
63,PT06M50.00S,2024-12-24T01:50:53.6Z,1,REGULAR,steal,,[],1629028,,,1610612757,16,13,2024-12-24T01:50:53Z,630000,False,,,0,,D. Ayton STEAL (1 STL),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M40.00S,2024-12-24T01:51:06.3Z,1,REGULAR,foul,personal,[],1629023,,,1610612757,16,13,2024-12-24T01:51:09Z,640000,False,,,0,,P. Washington personal FOUL (1 PF),"[1629023, 1630703]",1610612742.0,DAL,,,,Washington,P. Washington,,,,,Mid-Range,16-24 Left Center,,,,,,,1628481.0,,,,,,,,1.0,0.0,Henderson,1630703.0,,
66,PT06M40.00S,2024-12-24T01:51:11.9Z,1,REGULAR,substitution,out,[],202691,,,1610612757,16,13,2024-12-24T01:51:23Z,660000,False,,,0,,SUB out: K. Thompson,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M40.00S,2024-12-24T01:51:11.9Z,1,REGULAR,substitution,in,[],1629656,,,1610612757,16,13,2024-12-24T01:51:23Z,670000,False,,,0,,SUB in: Q. Grimes,[1629656],1610612742.0,DAL,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M35.00S,2024-12-24T01:51:30.2Z,1,REGULAR,foul,personal,[],1641726,,,1610612757,16,13,2024-12-24T01:51:45Z,680000,False,,,0,,D. Lively II personal FOUL (1 PF),"[1641726, 203924]",1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2882.0,,,,,,,,1.0,0.0,Grant,203924.0,,
70,PT06M27.00S,2024-12-24T01:51:55.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629028,92.9862023653088,73.77450980392157,1610612757,16,13,2024-12-24T01:52:01Z,700000,False,119.0,13.0,1,right,MISS D. Ayton 11' Jump Shot,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Right,11.97,Missed,,,,,,,,,,,,,,,,,,
71,PT06M25.00S,2024-12-24T01:51:57.8Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612757,16,13,2024-12-24T01:52:01Z,710000,False,,,0,,D. Avdija REBOUND (Off:1 Def:0),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Mid-Range,8-16 Right,,,70.0,1.0,0.0,1.0,,,,,,,,,,,,,,
72,PT06M25.00S,2024-12-24T01:52:01.1Z,1,REGULAR,foul,personal,['2freethrow'],1629023,,,1610612757,16,13,2024-12-24T01:52:12Z,720000,False,,,0,,P. Washington shooting personal FOUL (2 PF) (Avdija 2 FT),"[1629023, 1630166]",1610612742.0,DAL,shooting,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627534.0,,,,,,,,2.0,0.0,Avdija,1630166.0,,
74,PT06M25.00S,2024-12-24T01:52:26.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1630166,,,1610612757,16,14,2024-12-24T01:52:54Z,740000,False,,,0,,D. Avdija Free Throw 1 of 2 (1 PTS),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Made,,,,,,1.0,,,,,,,,,,,,
75,PT06M25.00S,2024-12-24T01:52:27.9Z,1,REGULAR,substitution,out,[],1629023,,,1610612757,16,14,2024-12-24T01:52:39Z,750000,False,,,0,,SUB out: P. Washington,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M25.00S,2024-12-24T01:52:27.9Z,1,REGULAR,substitution,in,[],1628467,,,1610612757,16,14,2024-12-24T01:52:39Z,760000,False,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M25.00S,2024-12-24T01:52:26.0Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1630166,,,1610612757,16,14,2024-12-24T01:52:54Z,770000,False,,,0,,MISS D. Avdija Free Throw 2 of 2,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
78,PT06M21.00S,2024-12-24T01:52:30.0Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,16,14,2024-12-24T01:52:54Z,780000,False,,,0,,D. Lively II REBOUND (Off:1 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,77.0,2.0,1.0,1.0,,,,,,,,,,,,,,
79,PT06M11.00S,2024-12-24T01:53:03.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,6.783837056504599,51.225490196078425,1610612742,18,14,2024-12-24T01:56:12Z,790000,False,-6.0,11.0,1,left,K. Irving driving Layup (4 PTS),[202681],1610612742.0,DAL,driving,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,1.28,Made,,,,,,4.0,,,,,,,,,,,,
80,PT05M53.00S,2024-12-24T01:53:21.2Z,1,REGULAR,2pt,Jump Shot,[],1630703,92.85479632063075,79.65686274509804,1610612757,18,14,2024-12-24T01:56:41Z,800000,False,148.0,15.0,1,right,MISS S. Henderson 14' pullup Shot,[1630703],1610612757.0,POR,pullup,,,Henderson,S. Henderson,,,,,Mid-Range,8-16 Right,14.9,Missed,,,,,,,,,,,,,,,,,,
81,PT05M51.00S,2024-12-24T01:53:23.2Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,18,14,2024-12-24T01:53:31Z,810000,False,,,0,,L. Dončić REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Right,,,80.0,2.0,2.0,0.0,,,,,,,,,,,,,,
82,PT05M42.00S,2024-12-24T01:53:32.8Z,1,REGULAR,2pt,Jump Shot,[],1629029,13.354139290407357,31.61764705882353,1610612742,18,14,2024-12-24T01:57:20Z,820000,False,92.0,73.0,1,left,MISS L. Dončić 11' turnaround fadeaway Shot,[1629029],1610612742.0,DAL,turnaround fadeaway,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Right,11.74,Missed,,,,,,,,,,,,,,,,,,
83,PT05M40.00S,2024-12-24T01:53:34.8Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,18,14,2024-12-24T01:53:36Z,830000,False,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Mid-Range,8-16 Right,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,,,
84,PT05M38.00S,2024-12-24T01:53:40.5Z,1,REGULAR,foul,personal,['2freethrow'],1629656,,,1610612757,18,14,2024-12-24T01:53:46Z,840000,False,,,0,,Q. Grimes shooting personal FOUL (1 PF) (Henderson 2 FT),"[1629656, 1630703]",1610612742.0,DAL,shooting,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628481.0,,,,,,,,1.0,0.0,Henderson,1630703.0,,
86,PT05M38.00S,2024-12-24T01:53:58.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630703,,,1610612757,18,15,2024-12-24T01:53:58Z,860000,False,,,0,,S. Henderson Free Throw 1 of 2 (1 PTS),[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,Made,,,,,,1.0,,,,,,,,,,,,
87,PT05M38.00S,2024-12-24T01:53:59.6Z,1,REGULAR,substitution,out,[],1641726,,,1610612757,18,15,2024-12-24T01:54:20Z,870000,False,,,0,,SUB out: D. Lively II,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M38.00S,2024-12-24T01:53:59.6Z,1,REGULAR,substitution,out,[],1629029,,,1610612757,18,15,2024-12-24T01:54:20Z,880000,False,,,0,,SUB out: L. Dončić,[1629029],1610612742.0,DAL,,,,Dončić,L. Dončić,,,,,,,,,,,,,,,,,,,,,,,,,,
