actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
40,PT08M43.00S,2025-04-03T00:43:54.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,12.089356110381077,59.82689950980392,1610612737,10,9,2025-04-03T00:43:58Z,400000,False,-49.0,61.0,1,left,MISS D. Daniels 7' driving floating Shot - blocked,"[1630700, 202691]",1610612737.0,ATL,driving floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,7.84,Missed,,,,,,,,,,,,Thompson,202691.0,,,,,
41,PT08M43.00S,2025-04-03T00:43:54.4Z,1,REGULAR,block,,[],202691,,,1610612737,10,9,2025-04-03T00:43:56Z,410000,False,,,0,,K. Thompson BLOCK (1 BLK),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT08M41.00S,2025-04-03T00:43:56.4Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,10,9,2025-04-03T00:43:58Z,420000,False,,,0,,D. Lively II REBOUND (Off:0 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),0-8 Center,,,40.0,,,,,,,,1.0,1.0,0.0,,,,,,,
43,PT08M39.00S,2025-04-03T00:44:00.1Z,1,REGULAR,foul,personal,['2freethrow'],1630168,,,1610612742,10,9,2025-04-03T00:44:09Z,430000,False,,,0,,O. Okongwu shooting personal FOUL (1 PF) (Marshall 2 FT),"[1630168, 1630230]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627541.0,1.0,0.0,Marshall,1630230.0
45,PT08M39.00S,2025-04-03T00:44:29.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630230,,,1610612742,11,9,2025-04-03T00:44:29Z,450000,False,,,0,,N. Marshall Free Throw 1 of 2 (3 PTS),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,Made,,3.0,,,,,,,,,,,,,,,,
46,PT08M39.00S,2025-04-03T00:44:35.3Z,1,REGULAR,substitution,out,[],1641726,,,1610612742,11,9,2025-04-03T00:44:43Z,460000,False,,,0,,SUB out: D. Lively II,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M39.00S,2025-04-03T00:44:35.3Z,1,REGULAR,substitution,in,[],1631108,,,1610612742,11,9,2025-04-03T00:44:43Z,470000,False,,,0,,SUB in: M. Christie,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M39.00S,2025-04-03T00:44:51.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630230,,,1610612742,12,9,2025-04-03T00:44:51Z,480000,False,,,0,,N. Marshall Free Throw 2 of 2 (4 PTS),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,Made,,4.0,,,,,,,,,,,,,,,,
49,PT08M27.00S,2025-04-03T00:45:04.2Z,1,REGULAR,2pt,Jump Shot,[],1631243,6.389618922470433,22.058823529411764,1610612737,12,11,2025-04-03T00:45:07Z,490000,False,140.0,8.0,1,left,M. Gueye 13' Jump Shot (5 PTS) (T. Young 2 AST),"[1631243, 1629027]",1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Mid-Range,8-16 Right,13.99,Made,,5.0,T. Young,1629027.0,2.0,,,,,,,,,,,,,
51,PT08M13.00S,2025-04-03T00:45:17.8Z,1,REGULAR,3pt,Jump Shot,[],203915,71.96123521681997,21.323529411764707,1610612742,12,11,2025-04-03T00:45:22Z,510000,False,-143.0,211.0,1,right,MISS S. Dinwiddie 25' step back 3PT,[203915],1610612742.0,DAL,step back,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,25.52,Missed,,,,,,,,,,,,,,,,,,
