actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT11M05.00S,2024-11-28T00:44:59.8Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,0,2,2024-11-28T00:45:01Z,150000,False,,,0,,J. Brunson REBOUND (Off:0 Def:2),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
16,PT10M54.00S,2024-11-28T00:45:10.9Z,1,REGULAR,turnover,lost ball,[],1628969,,,1610612752,0,2,2024-11-28T00:45:44Z,160000,False,,,0,,M. Bridges lost ball TURNOVER (1 TO),"[1628969, 1641726]",1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Lively II,1641726.0,,,,,,,,,,
70,PT10M54.00S,2024-11-28T00:45:10.9Z,1,REGULAR,steal,,[],1641726,,,1610612742,0,2,2024-11-28T00:52:51Z,165000,False,,,0,,D. Lively II STEAL (1 STL),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M50.00S,2024-11-28T00:45:33.6Z,1,REGULAR,jumpball,recovered,[],1629023,,,1610612742,0,2,2024-11-28T00:45:33Z,170000,False,,,0,,Jump Ball D. Lively II vs. M. Bridges: Tip to P. Washington,"[1629023, 1641726, 1628969]",1610612742.0,DAL,heldball,P. Washington,1629023.0,Washington,P. Washington,Lively II,1641726.0,Bridges,1628969.0,,,,,,,,,,,,,,,,,,,,,,
20,PT10M36.00S,2024-11-28T00:45:47.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1641726,93.9060446780552,48.77450980392157,1610612742,2,2,2024-11-28T00:45:51Z,200000,False,-6.0,5.0,1,right,D. Lively II cutting DUNK (2 PTS) (P. Washington 1 AST),"[1641726, 1629023]",1610612742.0,DAL,cutting,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,0.78,Made,,,,,2.0,,,,P. Washington,1629023.0,1.0,,,,,,,
22,PT10M16.00S,2024-11-28T00:46:07.3Z,1,REGULAR,3pt,Jump Shot,[],1628384,22.158344283837057,86.51960784313727,1610612752,2,2,2024-11-28T00:46:13Z,220000,False,-183.0,156.0,1,left,MISS O. Anunoby 24' 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,24.0,Missed,,,,,,,,,,,,,,,,,,
23,PT10M12.00S,2024-11-28T00:46:11.3Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,2,2,2024-11-28T00:46:58Z,230000,False,,,0,,D. Lively II REBOUND (Off:0 Def:2),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Above the Break 3,24+ Left Center,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,,
24,PT10M03.00S,2024-11-28T00:46:19.8Z,1,REGULAR,3pt,Jump Shot,[],1629656,77.4802890932983,10.53921568627451,1610612742,2,2,2024-11-28T00:46:26Z,240000,False,-197.0,159.0,1,right,MISS Q. Grimes 25' 3PT,[1629656],1610612742.0,DAL,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,25.35,Missed,,,,,,,,,,,,,,,,,,
25,PT10M00.00S,2024-11-28T00:46:22.8Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,2,2,2024-11-28T00:46:26Z,250000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Left Center,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT09M38.00S,2024-11-28T00:46:44.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,6.389618922470433,47.05882352941176,1610612752,2,4,2024-11-28T00:46:48Z,260000,False,15.0,8.0,1,left,M. Bridges cutting Layup (4 PTS) (K. Towns 1 AST),"[1628969, 1626157]",1610612752.0,NYK,cutting,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,1.65,Made,,,,,4.0,,,,K. Towns,1626157.0,1.0,,,,,,,
28,PT09M18.00S,2024-11-28T00:47:05.9Z,1,REGULAR,violation,kicked ball,[],1626157,,,1610612742,2,4,2024-11-28T00:47:11Z,280000,False,,,0,,K. Towns kicked ball VIOLATION,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,203591.0,,,,,,
29,PT09M16.00S,2024-11-28T00:47:17.5Z,1,REGULAR,3pt,Jump Shot,[],202681,65.39093298291722,43.13725490196079,1610612742,2,4,2024-11-28T00:47:23Z,290000,False,-34.0,273.0,1,right,MISS K. Irving 27' 3PT,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Center,27.49,Missed,,,,,,,,,,,,,,,,,,
30,PT09M12.00S,2024-11-28T00:47:21.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,2,4,2024-11-28T00:47:23Z,300000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,
31,PT09M02.00S,2024-11-28T00:47:31.6Z,1,REGULAR,2pt,Jump Shot,[],1628969,11.038107752956636,72.57199754901961,1610612752,2,4,2024-11-28T00:47:38Z,310000,False,-113.0,51.0,1,left,MISS M. Bridges 12' turnaround Shot,[1628969],1610612752.0,NYK,turnaround,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,12.4,Missed,,,,,,,,,,,,,,,,,,
32,PT08M59.00S,2024-11-28T00:47:34.6Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,2,4,2024-11-28T00:47:38Z,320000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Mid-Range,8-16 Left,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT08M51.00S,2024-11-28T00:47:43.4Z,1,REGULAR,turnover,bad pass,[],1629656,,,1610612742,2,4,2024-11-28T00:47:46Z,330000,False,,,0,,Q. Grimes bad pass TURNOVER (1 TO),"[1629656, 1628973]",1610612742.0,DAL,,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,Brunson,1628973.0,,,,,,,,,,
34,PT08M51.00S,2024-11-28T00:47:43.4Z,1,REGULAR,steal,,[],1628973,,,1610612752,2,4,2024-11-28T00:53:38Z,340000,False,,,0,,J. Brunson STEAL (1 STL),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT08M43.00S,2024-11-28T00:47:51.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628384,14.668199737187912,3.9215686274509802,1610612752,2,4,2024-11-28T00:48:01Z,350000,False,230.0,85.0,1,left,MISS O. Anunoby 24' 3PT - blocked,"[1628384, 1629023]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Right Corner 3,24+ Right,24.57,Missed,,,,,,,,,,,,,Washington,1629023.0,,,,
39,PT08M43.00S,2024-11-28T00:47:51.0Z,1,REGULAR,block,,[],1629023,,,1610612752,2,4,2024-11-28T00:48:11Z,355000,False,,,0,,P. Washington BLOCK (1 BLK),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
36,PT08M40.00S,2024-11-28T00:47:54.0Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612752,2,4,2024-11-28T00:48:01Z,360000,False,,,0,,O. Anunoby REBOUND (Off:1 Def:0),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Right Corner 3,24+ Right,,,35.0,1.0,0.0,1.0,,,,,,,,,,,,,,
37,PT08M32.00S,2024-11-28T00:48:01.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1626157,32.78786136662287,45.33930759803921,1610612752,2,4,2024-11-28T00:50:50Z,370000,False,23.0,256.0,1,left,MISS K. Towns 25' 3PT,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,25.68,Missed,,,,,,,,,,,,,,,,,,
38,PT08M30.00S,2024-11-28T00:48:03.9Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,2,4,2024-11-28T00:50:50Z,380000,False,,,0,,D. Lively II REBOUND (Off:0 Def:3),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Above the Break 3,24+ Center,,,37.0,3.0,3.0,0.0,,,,,,,,,,,,,,
40,PT08M19.00S,2024-11-28T00:48:15.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,89.43823915900131,35.294117647058826,1610612742,2,4,2024-11-28T00:48:24Z,390000,False,-74.0,47.0,1,right,MISS K. Irving 8' driving bank Shot,[202681],1610612742.0,DAL,driving bank,,,Irving,K. Irving,,,,,In The Paint (Non-RA),8-16 Left,8.71,Missed,,,,,,,,,,,,,,,,,,
41,PT08M13.00S,2024-11-28T00:48:21.0Z,1,REGULAR,rebound,offensive,[],1630230,,,1610612742,2,4,2024-11-28T00:48:24Z,400000,False,,,0,,N. Marshall REBOUND (Off:1 Def:0),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Left,,,40.0,1.0,0.0,1.0,,,,,,,,,,,,,,
42,PT08M12.00S,2024-11-28T00:48:21.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630230,83.39356110381078,49.50980392156863,1610612742,4,4,2024-11-28T00:54:17Z,410000,False,-2.0,104.0,1,right,N. Marshall 10' driving floating Jump Shot (2 PTS),[1630230],1610612742.0,DAL,driving floating,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Center,10.36,Made,,,,,2.0,,,,,,,,,,,,,
43,PT07M55.00S,2024-11-28T00:48:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,6.521024967148489,51.71568627450981,1610612752,4,4,2024-11-28T00:54:48Z,420000,False,-9.0,9.0,1,left,MISS K. Towns driving reverse Layup - blocked,"[1626157, 1641726]",1610612752.0,NYK,driving reverse,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,1.23,Missed,,,,,,,,,,,,,Lively II,1641726.0,,,,
44,PT07M55.00S,2024-11-28T00:48:39.0Z,1,REGULAR,block,,[],1641726,,,1610612752,4,4,2024-11-28T00:48:41Z,430000,False,,,0,,D. Lively II BLOCK (1 BLK),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
45,PT07M52.00S,2024-11-28T00:48:42.0Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,4,4,2024-11-28T00:48:44Z,440000,False,,,0,,P. Washington REBOUND (Off:0 Def:2),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,43.0,2.0,2.0,0.0,,,,,,,,,,,,,,
46,PT07M45.00S,2024-11-28T00:48:49.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,90.48948751642575,53.67647058823529,1610612742,6,4,2024-11-28T00:48:56Z,450000,False,18.0,37.0,1,right,P. Washington driving floating Jump Shot (2 PTS),[1629023],1610612742.0,DAL,driving floating,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,4.12,Made,,,,,2.0,,,,,,,,,,,,,
48,PT07M45.00S,2024-11-28T00:48:53.0Z,1,REGULAR,foul,personal,['1freethrow'],1626157,,,1610612742,6,4,2024-11-28T00:49:05Z,470000,False,,,0,,K. Towns shooting personal FOUL (1 PF) (Washington 1 FT),"[1626157, 1629023]",1610612752.0,NYK,shooting,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2534.0,,,1.0,0.0,Washington,1629023.0
50,PT07M45.00S,2024-11-28T00:49:01.4Z,1,REGULAR,substitution,out,[],1641726,,,1610612742,6,4,2024-11-28T00:49:03Z,490000,False,,,0,,SUB out: D. Lively II,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M45.00S,2024-11-28T00:49:01.4Z,1,REGULAR,substitution,in,[],1628467,,,1610612742,6,4,2024-11-28T00:49:03Z,500000,False,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M45.00S,2024-11-28T00:49:35.9Z,1,REGULAR,freethrow,1 of 1,[],1629023,,,1610612742,6,4,2024-11-28T00:49:39Z,510000,False,,,0,,MISS P. Washington Free Throw 1 of 1,[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
53,PT07M41.00S,2024-11-28T00:49:39.9Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,6,4,2024-11-28T00:49:39Z,520000,False,,,0,,K. Towns REBOUND (Off:0 Def:3),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,52.0,3.0,3.0,0.0,,,,,,,,,,,,,,
54,PT07M36.00S,2024-11-28T00:49:44.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628404,9.937582128777924,45.09803921568628,1610612752,6,4,2024-11-28T00:49:54Z,530000,False,25.0,41.0,1,left,MISS J. Hart driving floating Shot,[1628404],1610612752.0,NYK,driving floating,,,Hart,J. Hart,,,,,In The Paint (Non-RA),0-8 Center,4.77,Missed,,,,,,,,,,,,,,,,,,
55,PT07M33.00S,2024-11-28T00:49:47.0Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,6,4,2024-11-28T00:49:54Z,540000,False,,,0,,P. Washington REBOUND (Off:0 Def:3),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,54.0,3.0,3.0,0.0,,,,,,,,,,,,,,
56,PT07M30.00S,2024-11-28T00:49:50.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629656,92.85479632063075,46.32352941176471,1610612742,8,4,2024-11-28T00:50:01Z,550000,False,-18.0,15.0,1,right,Q. Grimes running reverse Layup (2 PTS) (P. Washington 2 AST),"[1629656, 1629023]",1610612742.0,DAL,running reverse,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,2.36,Made,,,,,2.0,,,,P. Washington,1629023.0,2.0,,,,,,,
57,PT07M30.00S,2024-11-28T00:49:58.2Z,1,REGULAR,foul,personal,['1freethrow'],1628969,,,1610612742,8,4,2024-11-28T00:50:22Z,560000,False,,,0,,M. Bridges shooting personal FOUL (1 PF) (Grimes 1 FT),"[1628969, 1629656]",1610612752.0,NYK,shooting,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,203591.0,,,1.0,0.0,Grimes,1629656.0
60,PT07M30.00S,2024-11-28T00:50:30.0Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1629656,,,1610612742,9,4,2024-11-28T00:50:30Z,590000,False,,,0,,Q. Grimes Free Throw 1 of 1 (3 PTS),[1629656],1610612742.0,DAL,,,,Grimes,Q. Grimes,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
61,PT07M16.00S,2024-11-28T00:50:48.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,14.536793692509855,58.08823529411765,1610612752,9,6,2024-11-28T00:50:55Z,600000,False,-40.0,84.0,1,left,J. Brunson 9' turnaround fadeaway Jump Shot (2 PTS),[1628973],1610612752.0,NYK,turnaround fadeaway,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,9.33,Made,,,,,2.0,,,,,,,,,,,,,
62,PT07M00.00S,2024-11-28T00:51:04.3Z,1,REGULAR,3pt,Jump Shot,[],1629656,74.85216819973719,13.970588235294118,1610612742,9,6,2024-11-28T00:51:08Z,610000,False,-180.0,184.0,1,right,MISS Q. Grimes 25' 3PT,[1629656],1610612742.0,DAL,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,25.74,Missed,,,,,,,,,,,,,,,,,,
63,PT06M59.00S,2024-11-28T00:51:05.3Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,9,6,2024-11-28T00:51:08Z,620000,False,,,0,,K. Towns REBOUND (Off:0 Def:4),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,62.0,4.0,4.0,0.0,,,,,,,,,,,,,,
64,PT06M49.00S,2024-11-28T00:51:16.7Z,1,REGULAR,3pt,Jump Shot,[],1628973,22.28975032851511,88.23529411764706,1610612752,9,6,2024-11-28T00:51:23Z,630000,False,-191.0,157.0,1,left,MISS J. Brunson 24' step back 3PT,[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,24.74,Missed,,,,,,,,,,,,,,,,,,
65,PT06M46.00S,2024-11-28T00:51:19.7Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612752,9,6,2024-11-28T00:51:41Z,640000,False,,,0,,O. Anunoby REBOUND (Off:2 Def:0),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,64.0,2.0,0.0,2.0,,,,,,,,,,,,,,
66,PT06M45.00S,2024-11-28T00:51:21.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628384,8.14717477003942,43.52787990196079,1610612752,9,6,2024-11-28T00:51:34Z,650000,False,32.0,24.0,1,left,MISS O. Anunoby tip Layup,[1628384],1610612752.0,NYK,tip,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,4.04,Missed,,,,,,,,,,,,,,,,,,
67,PT06M44.00S,2024-11-28T00:51:22.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,9,6,2024-11-28T00:51:34Z,660000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Restricted Area,0-8 Center,,,66.0,,,,,,,,,,,,,,,,,
69,PT06M44.00S,2024-11-28T00:51:27.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,9,6,2024-11-28T00:51:27Z,680000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M23.00S,2024-11-28T00:55:15.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630230,85.3646517739816,48.529411764705884,1610612742,11,6,2024-11-28T01:01:27Z,690000,False,-7.0,85.0,1,right,N. Marshall 8' driving floating Jump Shot (4 PTS),[1630230],1610612742.0,DAL,driving floating,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Center,8.54,Made,,,,,4.0,,,,,,,,,,,,,
72,PT05M56.00S,2024-11-28T00:55:41.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628384,17.95335085413929,61.029411764705884,1610612752,11,6,2024-11-28T00:55:45Z,700000,False,-55.0,116.0,1,left,MISS O. Anunoby 12' turnaround fadeaway Shot,[1628384],1610612752.0,NYK,turnaround fadeaway,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,12.87,Missed,,,,,,,,,,,,,,,,,,
73,PT05M54.00S,2024-11-28T00:55:43.0Z,1,REGULAR,rebound,defensive,[],202681,,,1610612742,11,6,2024-11-28T00:55:45Z,710000,False,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,In The Paint (Non-RA),8-16 Center,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,,,
74,PT05M45.00S,2024-11-28T00:55:52.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629023,93.38042049934296,51.470588235294116,1610612742,13,6,2024-11-28T02:04:45Z,720000,False,7.0,10.0,1,right,P. Washington driving Layup (4 PTS),[1629023],1610612742.0,DAL,driving,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,1.22,Made,,,,,4.0,,,,,,,,,,,,,
75,PT05M25.00S,2024-11-28T00:56:12.5Z,1,REGULAR,3pt,Jump Shot,[],1628973,31.61957950065703,71.07843137254902,1610612752,13,6,2024-11-28T01:02:34Z,730000,False,-105.0,245.0,1,left,MISS J. Brunson 26' pullup 3PT,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,26.64,Missed,,,,,,,,,,,,,,,,,,
76,PT05M23.00S,2024-11-28T00:56:14.5Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612752,13,6,2024-11-28T00:57:09Z,740000,False,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,75.0,1.0,0.0,1.0,,,,,,,,,,,,,,
77,PT05M22.00S,2024-11-28T00:56:16.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628969,11.563731931668856,50.04595588235294,1610612752,13,6,2024-11-28T01:03:19Z,750000,False,0.0,56.0,1,left,MISS M. Bridges fadeaway Shot,[1628969],1610612752.0,NYK,fadeaway,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,5.62,Missed,,,,,,,,,,,,,,,,,,
78,PT05M21.00S,2024-11-28T00:56:17.9Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612742,13,6,2024-11-28T00:56:51Z,760000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612742.0,DAL,,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),0-8 Center,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,,,
