actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
21,PT10M35.00S,2025-03-09T19:42:36.2Z,1,REGULAR,2pt,Jump Shot,[],202691,19.530223390275953,75.49019607843137,1610612742,2,0,2025-03-09T19:42:43Z,210000,False,-127.0,131.0,1,left,MISS K. Thompson 18' pullup Shot,[202691],1610612742.0,DAL,pullup,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Left Center,,,,,,,18.29,Missed,,,,,,,,,,,,
22,PT10M33.00S,2025-03-09T19:42:38.2Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,2,0,2025-03-09T19:42:43Z,220000,False,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Left Center,,,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,
23,PT10M24.00S,2025-03-09T19:42:47.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,92.19776609724047,46.81372549019608,1610612756,2,2,2025-03-09T19:42:52Z,230000,False,-16.0,21.0,1,right,N. Richards Layup (2 PTS) (K. Durant 1 AST),"[1630208, 201142]",1610612756.0,PHX,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,2.62,Made,,,,,,,2.0,K. Durant,201142.0,1.0,,
25,PT10M12.00S,2025-03-09T19:42:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630556,8.278580814717477,44.11381740196079,1610612742,2,2,2025-03-09T19:43:09Z,250000,False,29.0,25.0,1,left,MISS K. Edwards cutting Layup,[1630556],1610612742.0,DAL,cutting,,,Edwards,K. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,3.88,Missed,,,,,,,,,,,,
26,PT10M08.00S,2025-03-09T19:43:03.9Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612756,2,2,2025-03-09T19:43:09Z,260000,False,,,0,,B. Bol REBOUND (Off:0 Def:1),[1629626],1610612756.0,PHX,,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,
27,PT09M58.00S,2025-03-09T19:43:12.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629626,93.9060446780552,50.49019607843137,1610612756,2,4,2025-03-09T19:43:19Z,270000,False,2.0,5.0,1,right,B. Bol cutting Layup (2 PTS) (K. Durant 2 AST),"[1629626, 201142]",1610612756.0,PHX,cutting,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,,,,,,,0.54,Made,,,,,,,2.0,K. Durant,201142.0,2.0,,
29,PT09M41.00S,2025-03-09T19:43:30.0Z,1,REGULAR,3pt,Jump Shot,[],202691,25.57490144546649,14.460784313725492,1610612742,2,4,2025-03-09T19:43:34Z,290000,False,178.0,188.0,1,left,MISS K. Thompson 25' 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,25.86,Missed,,,,,,,,,,,,
30,PT09M38.00S,2025-03-09T19:43:33.0Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612756,2,4,2025-03-09T19:43:34Z,300000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Right Center,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,
31,PT09M26.00S,2025-03-09T19:43:45.5Z,1,REGULAR,2pt,Jump Shot,[],1626164,89.04402102496715,30.14705882352941,1610612756,2,4,2025-03-09T19:46:13Z,310000,False,-99.0,50.0,1,right,MISS D. Booker 11' fadeaway bank Shot,[1626164],1610612756.0,PHX,fadeaway bank,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,,,,,,,11.14,Missed,,,,,,,,,,,,
32,PT09M22.00S,2025-03-09T19:43:49.5Z,1,REGULAR,rebound,defensive,[],202691,,,1610612742,2,4,2025-03-09T19:43:52Z,320000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Left,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,
33,PT09M11.00S,2025-03-09T19:43:59.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630230,13.354139290407357,52.69607843137255,1610612742,2,4,2025-03-09T19:46:36Z,330000,False,-13.0,73.0,1,left,MISS N. Marshall 7' driving floating Shot,[1630230],1610612742.0,DAL,driving floating,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,7.42,Missed,,,,,,,,,,,,
34,PT09M09.00S,2025-03-09T19:44:01.6Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612756,2,4,2025-03-09T19:44:05Z,340000,False,,,0,,N. Richards REBOUND (Off:0 Def:2),[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,
35,PT09M03.00S,2025-03-09T19:44:11.6Z,1,REGULAR,foul,personal,[],1631108,,,1610612756,2,4,2025-03-09T19:44:22Z,350000,False,,,0,,M. Christie personal FOUL (1 PF),"[1631108, 201142]",1610612742.0,DAL,,,,Christie,M. Christie,,,,,Mid-Range,8-16 Right,202041.0,1.0,0.0,Durant,201142.0,,,,,,,,,,,,,,,
37,PT08M53.00S,2025-03-09T19:44:40.6Z,1,REGULAR,3pt,Jump Shot,[],1626164,83.919185282523,96.56862745098039,1610612756,2,4,2025-03-09T19:44:45Z,370000,False,233.0,99.0,1,right,MISS D. Booker 25' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,,,,,,,25.29,Missed,,,,,,,,,,,,
38,PT08M50.00S,2025-03-09T19:44:43.6Z,1,REGULAR,rebound,defensive,[],1630314,,,1610612742,2,4,2025-03-09T19:44:45Z,380000,False,,,0,,B. Williams REBOUND (Off:0 Def:1),[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,
39,PT08M44.00S,2025-03-09T19:44:49.7Z,1,REGULAR,3pt,Jump Shot,[],1631108,33.065045992115635,34.80392156862745,1610612742,5,4,2025-03-09T19:47:13Z,390000,False,76.0,258.0,1,left,M. Christie 26' 3PT  (3 PTS) (N. Marshall 1 AST),"[1631108, 1630230]",1610612742.0,DAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Center,,,,,,,26.92,Made,,,,,,,3.0,N. Marshall,1630230.0,1.0,,
41,PT08M31.00S,2025-03-09T19:45:02.0Z,1,REGULAR,2pt,Jump Shot,[],1629626,83.13074901445466,80.3921568627451,1610612756,5,6,2025-03-09T19:47:35Z,410000,False,152.0,106.0,1,right,B. Bol 18' pullup Jump Shot (4 PTS) (K. Durant 3 AST),"[1629626, 201142]",1610612756.0,PHX,pullup,,,Bol,B. Bol,,,,,Mid-Range,16-24 Right,,,,,,,18.54,Made,,,,,,,4.0,K. Durant,201142.0,3.0,,
43,PT08M18.00S,2025-03-09T19:45:15.7Z,1,REGULAR,2pt,Jump Shot,[],1630314,22.683968462549277,78.92156862745098,1610612742,7,6,2025-03-09T19:47:50Z,430000,False,-145.0,161.0,1,left,B. Williams 21' step back Jump Shot (4 PTS) (N. Marshall 2 AST),"[1630314, 1630230]",1610612742.0,DAL,step back,,,Williams,B. Williams,,,,,Mid-Range,16-24 Left Center,,,,,,,21.62,Made,,,,,,,4.0,N. Marshall,1630230.0,2.0,,
45,PT08M03.00S,2025-03-09T19:45:30.4Z,1,REGULAR,3pt,Jump Shot,[],201142,69.20170827858082,64.2156862745098,1610612756,7,9,2025-03-09T19:49:06Z,450000,False,71.0,237.0,1,right,K. Durant 24' 3PT pullup (3 PTS),[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Above the Break 3,24+ Center,,,,,,,24.74,Made,,,,,,,3.0,,,,,
46,PT07M43.00S,2025-03-09T19:45:50.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,7.835085413929041,52.69607843137255,1610612742,9,9,2025-03-09T19:49:36Z,460000,False,-13.0,21.0,1,left,K. Thompson driving Layup (2 PTS),[202691],1610612742.0,DAL,driving,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,2.5,Made,,,,,,,2.0,,,,,
47,PT07M20.00S,2025-03-09T19:46:12.7Z,1,REGULAR,turnover,lost ball,[],201142,,,1610612756,9,9,2025-03-09T19:46:17Z,470000,False,,,0,,K. Durant lost ball TURNOVER (2 TO),"[201142, 1630314]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,2.0,,,,,,,Williams,1630314.0,,,,,,
48,PT07M20.00S,2025-03-09T19:46:12.7Z,1,REGULAR,steal,,[],1630314,,,1610612742,9,9,2025-03-09T19:46:14Z,480000,False,,,0,,B. Williams STEAL (2 STL),[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
49,PT07M12.00S,2025-03-09T19:46:21.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202691,31.35676741130092,28.676470588235293,1610612742,12,9,2025-03-09T19:47:16Z,490000,False,107.0,242.0,1,left,K. Thompson 26' 3PT  (5 PTS) (B. Williams 1 AST),"[202691, 1630314]",1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,26.47,Made,,,,,,,5.0,B. Williams,1630314.0,1.0,,
51,PT06M50.00S,2025-03-09T19:46:44.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630208,92.59198423127464,51.9607843137255,1610612756,12,11,2025-03-09T19:46:51Z,510000,False,10.0,17.0,1,right,N. Richards DUNK (4 PTS) (D. Booker 1 AST),"[1630208, 1626164]",1610612756.0,PHX,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,1.97,Made,,,,,,,4.0,D. Booker,1626164.0,1.0,,
53,PT06M37.00S,2025-03-09T19:46:57.5Z,1,REGULAR,foul,personal,['2freethrow'],1630208,,,1610612742,12,11,2025-03-09T19:50:35Z,530000,False,,,0,,N. Richards shooting personal FOUL (2 PF) (Marshall 2 FT),"[1630208, 1630230]",1610612756.0,PHX,shooting,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,1627962.0,2.0,0.0,Marshall,1630230.0,,,,,,,,,,,,,,,
55,PT06M37.00S,2025-03-09T19:47:10.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,12,11,2025-03-09T19:47:10Z,550000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M37.00S,2025-03-09T19:47:10.9Z,1,REGULAR,substitution,out,[],202691,,,1610612742,12,11,2025-03-09T19:50:21Z,560000,False,,,0,,SUB out: K. Thompson,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M37.00S,2025-03-09T19:47:10.9Z,1,REGULAR,substitution,out,[],1630208,,,1610612742,12,11,2025-03-09T19:50:21Z,570000,False,,,0,,SUB out: N. Richards,[1630208],1610612756.0,PHX,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M37.00S,2025-03-09T19:47:10.9Z,1,REGULAR,substitution,in,[],203915,,,1610612742,12,11,2025-03-09T19:50:21Z,580000,False,,,0,,SUB in: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M37.00S,2025-03-09T19:47:10.9Z,1,REGULAR,substitution,in,[],203486,,,1610612742,12,11,2025-03-09T19:50:21Z,590000,False,,,0,,SUB in: M. Plumlee,[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M37.00S,2025-03-09T19:50:51.1Z,1,REGULAR,foul,technical,['1freethrow'],201142,,,1610612742,12,11,2025-03-09T20:14:05Z,595000,False,,,0,,K. Durant technical FOUL (1 Tech),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,202041.0,0.0,1.0,,,,,,,,,,,,,,,,,
62,PT06M37.00S,2025-03-09T19:51:08.1Z,1,REGULAR,freethrow,1 of 1,[],1630230,,,1610612742,12,11,2025-03-09T20:14:33Z,597500,False,,,0,,MISS N. Marshall technical Free Throw 1 of 1,[1630230],1610612742.0,DAL,technical,,,Marshall,N. Marshall,,,,,,,,,,,,,,Missed,,,,,,,,,,,,
63,PT06M37.00S,2025-03-09T19:51:08.1Z,1,REGULAR,rebound,defensive,"['team', 'deadball']",0,,,1610612756,12,11,2025-03-09T20:14:33Z,598750,False,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,
60,PT06M37.00S,2025-03-09T19:51:49.5Z,1,REGULAR,freethrow,1 of 2,[],1630230,,,1610612742,13,11,2025-03-09T20:15:10Z,600000,False,,,0,,N. Marshall Free Throw 1 of 2 (1 PTS),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,Made,,,,,,,1.0,,,,,
64,PT06M37.00S,2025-03-09T19:51:49.5Z,1,REGULAR,freethrow,2 of 2,[],1630230,,,1610612742,14,11,2025-03-09T20:15:10Z,605000,False,,,0,,N. Marshall Free Throw 2 of 2 (2 PTS),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,Made,,,,,,,2.0,,,,,
65,PT06M13.00S,2025-03-09T19:51:49.9Z,1,REGULAR,turnover,backcourt,[],201142,,,1610612756,14,11,2025-03-09T19:52:08Z,635000,False,,,0,,K. Durant backcourt TURNOVER (3 TO),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,,,,3.0,,,,,,,,,,,,,,
66,PT05M59.00S,2025-03-09T19:52:21.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630556,4.5499342969776615,94.36274509803921,1610612742,17,11,2025-03-09T19:52:26Z,660000,False,-222.0,-10.0,1,left,K. Edwards 3PT  (3 PTS) (N. Marshall 3 AST),"[1630556, 1630230]",1610612742.0,DAL,,,,Edwards,K. Edwards,,,,,Left Corner 3,24+ Left,,,,,,,22.2,Made,,,,,,,3.0,N. Marshall,1630230.0,3.0,,
68,PT05M43.00S,2025-03-09T19:52:36.9Z,1,REGULAR,3pt,Jump Shot,[],1626164,66.44218134034165,50.98039215686274,1610612756,17,11,2025-03-09T19:52:59Z,680000,False,5.0,263.0,1,right,MISS D. Booker 26' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,,,,,,,26.29,Missed,,,,,,,,,,,,
69,PT05M41.00S,2025-03-09T19:52:38.7Z,1,REGULAR,rebound,defensive,[],1630314,,,1610612742,17,11,2025-03-09T19:52:38Z,690000,False,,,0,,B. Williams REBOUND (Off:0 Def:2),[1630314],1610612742.0,DAL,,,,Williams,B. Williams,,,,,Above the Break 3,24+ Center,,,,,,,,,68.0,2.0,2.0,0.0,,,,,,,,
70,PT05M36.00S,2025-03-09T19:52:43.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630230,27.020367936925098,18.38235294117647,1610612742,17,11,2025-03-09T19:53:36Z,700000,False,158.0,201.0,1,left,MISS N. Marshall 25' running 3PT,[1630230],1610612742.0,DAL,running,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,,,,,,,25.61,Missed,,,,,,,,,,,,
71,PT05M33.00S,2025-03-09T19:52:46.2Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612756,17,11,2025-03-09T19:52:50Z,710000,False,,,0,,B. Bol REBOUND (Off:0 Def:2),[1629626],1610612756.0,PHX,,,,Bol,B. Bol,,,,,Above the Break 3,24+ Right Center,,,,,,,,,70.0,2.0,2.0,0.0,,,,,,,,
72,PT05M15.00S,2025-03-09T19:53:04.8Z,1,REGULAR,2pt,Jump Shot,[],201142,90.3580814717477,77.20588235294117,1610612756,17,13,2025-03-09T19:53:08Z,720000,False,136.0,38.0,1,right,K. Durant 14' Jump Shot (5 PTS) (B. Beal 1 AST),"[201142, 203078]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,,,,,,,14.12,Made,,,,,,,5.0,B. Beal,203078.0,1.0,,
74,PT04M57.00S,2025-03-09T19:53:22.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203915,15.193823915900131,47.05882352941176,1610612742,19,13,2025-03-09T19:53:31Z,740000,False,15.0,90.0,1,left,S. Dinwiddie 9' driving floating Jump Shot (2 PTS) (N. Marshall 4 AST),"[203915, 1630230]",1610612742.0,DAL,driving floating,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,9.15,Made,,,,,,,2.0,N. Marshall,1630230.0,4.0,,
76,PT04M44.00S,2025-03-09T19:53:35.3Z,1,REGULAR,3pt,Jump Shot,[],203078,76.16622864651774,12.5,1610612756,19,16,2025-03-09T19:53:45Z,760000,False,-188.0,172.0,1,right,B. Beal 25' 3PT  (3 PTS) (D. Booker 2 AST),"[203078, 1626164]",1610612756.0,PHX,,,,Beal,B. Beal,,,,,Above the Break 3,24+ Left Center,,,,,,,25.41,Made,,,,,,,3.0,D. Booker,1626164.0,2.0,,
78,PT04M23.00S,2025-03-09T19:53:56.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630230,7.30946123521682,46.32352941176471,1610612742,19,16,2025-03-09T20:00:01Z,780000,False,18.0,16.0,1,left,MISS N. Marshall driving Layup,[1630230],1610612742.0,DAL,driving,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,,,,,2.45,Missed,,,,,,,,,,,,
79,PT04M21.00S,2025-03-09T19:53:58.3Z,1,REGULAR,rebound,defensive,[],203078,,,1610612756,19,16,2025-03-09T19:53:59Z,790000,False,,,0,,B. Beal REBOUND (Off:0 Def:2),[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,,,,,,,,,78.0,2.0,2.0,0.0,,,,,,,,
80,PT04M15.00S,2025-03-09T19:54:04.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,91.40932982917214,51.71568627450981,1610612756,19,18,2025-03-09T20:00:20Z,800000,False,9.0,28.0,1,right,B. Beal driving Layup (5 PTS),[203078],1610612756.0,PHX,driving,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,,,,,,,2.96,Made,,,,,,,5.0,,,,,
81,PT04M06.00S,2025-03-09T19:54:13.3Z,1,REGULAR,3pt,Jump Shot,[],1630314,27.414586070959263,79.16666666666666,1610612742,22,18,2025-03-09T19:54:17Z,810000,False,-146.0,205.0,1,left,B. Williams 25' 3PT  (7 PTS) (N. Marshall 5 AST),"[1630314, 1630230]",1610612742.0,DAL,,,,Williams,B. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,25.17,Made,,,,,,,7.0,N. Marshall,1630230.0,5.0,,
83,PT03M46.00S,2025-03-09T19:54:33.4Z,1,REGULAR,2pt,Jump Shot,[],1626164,93.11760840998686,33.57843137254902,1610612756,22,20,2025-03-09T20:00:46Z,830000,False,-82.0,12.0,1,right,D. Booker 8' step back Jump Shot (2 PTS),[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,,,,,,,8.3,Made,,,,,,,2.0,,,,,
84,PT03M31.00S,2025-03-09T19:54:48.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630556,7.046649145860711,47.05882352941176,1610612742,22,20,2025-03-09T19:54:54Z,840000,False,15.0,14.0,1,left,MISS K. Edwards Layup,[1630556],1610612742.0,DAL,,,,Edwards,K. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,2.01,Missed,,,,,,,,,,,,
85,PT03M28.00S,2025-03-09T19:54:51.5Z,1,REGULAR,rebound,defensive,[],203486,,,1610612756,22,20,2025-03-09T19:54:54Z,850000,False,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612756.0,PHX,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,
