actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
62,PT06M39.00S,2024-11-04T00:48:18.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,10.5946123521682,55.392156862745104,1610612753,11,15,2024-11-04T00:48:21Z,620000,False,-27.0,47.0,1,left,MISS F. Wagner driving floating Shot,[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,5.43,Missed,,,,,,,,,,,,,,,,,,
63,PT06M37.00S,2024-11-04T00:48:20.5Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,11,15,2024-11-04T00:48:21Z,630000,False,,,0,,L. Dončić REBOUND (Off:0 Def:3),[1629029],1610612742.0,DAL,,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,62.0,,,,3.0,3.0,0.0,,,,,
64,PT06M20.00S,2024-11-04T00:48:36.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,87.64783180026281,35.56219362745098,1610612742,13,15,2024-11-04T00:48:42Z,640000,False,-72.0,64.0,1,right,K. Irving 9' pullup Jump Shot (2 PTS),[202681],1610612742.0,DAL,pullup,,,Irving,K. Irving,,,,,In The Paint (Non-RA),8-16 Left,9.62,Made,2.0,,,,,,,,,,,,,,,,,
65,PT05M56.00S,2024-11-04T00:49:00.9Z,1,REGULAR,3pt,Jump Shot,[],1630532,30.305519053876477,33.088235294117645,1610612753,13,15,2024-11-04T00:51:00Z,650000,False,85.0,232.0,1,left,MISS F. Wagner 24' step back 3PT,[1630532],1610612753.0,ORL,step back,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,24.73,Missed,,,,,,,,,,,,,,,,,,
66,PT05M53.00S,2024-11-04T00:49:03.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,13,15,2024-11-04T00:49:05Z,660000,False,,,0,,L. Dončić REBOUND (Off:0 Def:4),[1629029],1610612742.0,DAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,,,,,,,,,65.0,,,,4.0,4.0,0.0,,,,,
67,PT05M45.00S,2024-11-04T00:49:12.1Z,1,REGULAR,3pt,Jump Shot,[],1629029,66.83639947437582,37.00980392156863,1610612742,13,15,2024-11-04T00:49:16Z,670000,False,-65.0,259.0,1,right,MISS L. Dončić 26' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Center,26.72,Missed,,,,,,,,,,,,,,,,,,
68,PT05M43.00S,2024-11-04T00:49:14.1Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,13,15,2024-11-04T00:49:16Z,680000,False,,,0,,F. Wagner REBOUND (Off:1 Def:2),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Center,,,,,,,,,67.0,,,,3.0,2.0,1.0,,,,,
69,PT05M35.00S,2024-11-04T00:49:22.0Z,1,REGULAR,3pt,Jump Shot,[],1628371,10.33180026281209,3.6764705882352944,1610612753,13,15,2024-11-04T00:49:25Z,690000,False,232.0,45.0,1,left,MISS J. Isaac 3PT,[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,Right Corner 3,24+ Right,23.59,Missed,,,,,,,,,,,,,,,,,,
70,PT05M33.00S,2024-11-04T00:49:24.0Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,13,15,2024-11-04T00:49:25Z,700000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Right Corner 3,24+ Right,,,,,,,,,69.0,,,,1.0,1.0,0.0,,,,,
71,PT05M23.00S,2024-11-04T00:49:36.9Z,1,REGULAR,foul,personal,['2freethrow'],1630591,,,1610612742,13,15,2024-11-04T00:49:42Z,710000,False,,,0,,J. Suggs shooting personal FOUL (1 PF) (Dončić 2 FT),"[1630591, 1629029]",1610612753.0,ORL,shooting,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1626302.0,1.0,0.0,Dončić,1629029.0
73,PT05M23.00S,2024-11-04T00:49:45.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,13,15,2024-11-04T00:49:45Z,730000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M23.00S,2024-11-04T00:49:47.5Z,1,REGULAR,substitution,out,[],202691,,,1610612742,13,15,2024-11-04T00:52:57Z,740000,False,,,0,,SUB out: K. Thompson,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M23.00S,2024-11-04T00:49:47.5Z,1,REGULAR,substitution,out,[],1630591,,,1610612742,13,15,2024-11-04T00:52:57Z,750000,False,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M23.00S,2024-11-04T00:49:47.5Z,1,REGULAR,substitution,out,[],1641783,,,1610612742,13,15,2024-11-04T00:52:57Z,760000,False,,,0,,SUB out: T. da Silva,[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M23.00S,2024-11-04T00:49:47.5Z,1,REGULAR,substitution,in,[],1630230,,,1610612742,13,15,2024-11-04T00:52:57Z,770000,False,,,0,,SUB in: N. Marshall,[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M23.00S,2024-11-04T00:49:47.5Z,1,REGULAR,substitution,in,[],1629021,,,1610612742,13,15,2024-11-04T00:52:57Z,780000,False,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M23.00S,2024-11-04T00:49:47.5Z,1,REGULAR,substitution,in,[],1641724,,,1610612742,13,15,2024-11-04T00:52:57Z,790000,False,,,0,,SUB in: J. Howard,[1641724],1610612753.0,ORL,,,,Howard,J. Howard,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M23.00S,2024-11-04T00:53:05.3Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612742,14,15,2024-11-04T00:53:28Z,800000,False,,,0,,L. Dončić Free Throw 1 of 2 (6 PTS),[1629029],1610612742.0,DAL,,,,Dončić,L. Dončić,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
81,PT05M23.00S,2024-11-04T00:53:05.3Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612742,14,15,2024-11-04T00:53:28Z,810000,False,,,0,,MISS L. Dončić Free Throw 2 of 2,[1629029],1610612742.0,DAL,,,,Dončić,L. Dončić,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
82,PT05M21.00S,2024-11-04T00:53:07.3Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612753,14,15,2024-11-04T00:53:28Z,820000,False,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,81.0,,,,1.0,1.0,0.0,,,,,
