actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
32,PT09M04.00S,2024-02-10T20:44:07.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201935,67.09921156373193,72.79411764705883,1610612746,9,2,2024-02-10T20:44:23Z,320000,False,114.0,257.0,1,right,J. Harden 28' 3PT  (3 PTS) (K. Leonard 1 AST),"[201935, 202695]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,28.1,Made,,,,3.0,K. Leonard,202695.0,1.0,,,,,,,,,,,
34,PT08M49.00S,2024-02-10T20:44:22.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631093,10.726018396846255,39.705882352941174,1610612765,9,2,2024-02-10T20:51:45Z,340000,False,51.0,48.0,1,left,MISS J. Ivey 7' floating Shot,[1631093],1610612765.0,DET,floating,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),0-8 Center,7.06,Missed,,,,,,,,,,,,,,,,,,
35,PT08M49.00S,2024-02-10T20:44:22.0Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,9,2,2024-02-10T20:44:26Z,350000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,,,,,34.0,,,,,1.0,1.0,0.0,,,,,,,,
36,PT08M41.00S,2024-02-10T20:44:30.0Z,1,REGULAR,3pt,Jump Shot,[],202695,89.43823915900131,4.411764705882353,1610612746,12,2,2024-02-10T20:44:35Z,360000,False,-228.0,47.0,1,right,K. Leonard 3PT  (3 PTS) (T. Mann 1 AST),"[202695, 1629611]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Left Corner 3,24+ Left,23.27,Made,,,,3.0,T. Mann,1629611.0,1.0,,,,,,,,,,,
38,PT08M40.00S,2024-02-10T20:44:39.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,12,2,2024-02-10T20:44:39Z,380000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M22.00S,2024-02-10T20:47:40.8Z,1,REGULAR,3pt,Jump Shot,[],203488,32.24375821287779,43.872549019607845,1610612765,12,2,2024-02-10T20:53:46Z,410000,False,31.0,251.0,1,left,MISS M. Muscala 25' 3PT,[203488],1610612765.0,DET,,,,Muscala,M. Muscala,,,,,Above the Break 3,24+ Center,25.25,Missed,,,,,,,,,,,,,,,,,,
42,PT08M21.00S,2024-02-10T20:47:41.8Z,1,REGULAR,rebound,offensive,[],1631093,,,1610612765,12,2,2024-02-10T20:55:41Z,420000,False,,,0,,J. Ivey REBOUND (Off:1 Def:0),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Center,,,,,41.0,,,,,1.0,0.0,1.0,,,,,,,,
88,PT08M20.00S,2024-02-10T20:47:48.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641709,5.436925098554539,52.450980392156865,1610612765,12,2,2024-02-10T20:55:04Z,425000,False,-12.0,-1.0,1,left,MISS A. Thompson turnaround bank Shot,[1641709],1610612765.0,DET,turnaround bank,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.24,Missed,,,,,,,,,,,,,,,,,,
89,PT08M20.00S,2024-02-10T20:47:48.4Z,1,REGULAR,rebound,offensive,[],1641709,,,1610612765,12,2,2024-02-10T20:55:04Z,427500,False,,,0,,A. Thompson REBOUND (Off:1 Def:0),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,88.0,,,,,1.0,0.0,1.0,,,,,,,,
100,PT08M16.00S,2024-02-10T20:47:52.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641709,8.065045992115643,50.49019607843137,1610612765,12,2,2024-02-10T20:57:06Z,428750,False,-2.0,23.0,1,left,MISS A. Thompson pullup Shot,[1641709],1610612765.0,DET,pullup,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,2.34,Missed,,,,,,,,,,,,,,,,,,
102,PT08M16.00S,2024-02-10T20:47:52.2Z,1,REGULAR,rebound,offensive,[],1641709,,,1610612765,12,2,2024-02-10T20:57:06Z,429375,False,,,0,,A. Thompson REBOUND (Off:2 Def:0),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,100.0,,,,,2.0,0.0,2.0,,,,,,,,
43,PT08M14.00S,2024-02-10T20:47:56.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641709,6.915243101182654,50.49019607843137,1610612765,12,4,2024-02-10T20:57:17Z,430000,False,-2.0,13.0,1,left,A. Thompson tip Layup (2 PTS),[1641709],1610612765.0,DET,tip,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.27,Made,,,,2.0,,,,,,,,,,,,,,
44,PT07M44.00S,2024-02-10T20:48:19.1Z,1,REGULAR,3pt,Jump Shot,[],201935,71.96123521681997,85.29411764705883,1610612746,12,4,2024-02-10T20:58:37Z,440000,False,176.0,211.0,1,right,MISS J. Harden 27' step back 3PT,[201935],1610612746.0,LAC,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,27.52,Missed,,,,,,,,,,,,,,,,,,
45,PT07M44.00S,2024-02-10T20:48:19.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,12,4,2024-02-10T20:49:22Z,450000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,44.0,,,,,,,,,,,,,,,
47,PT07M32.00S,2024-02-10T20:48:42.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,8.623521681997373,46.81372549019608,1610612765,12,6,2024-02-10T20:49:25Z,470000,False,16.0,29.0,1,left,J. Ivey Layup (2 PTS) (J. Duren 1 AST),"[1631093, 1631105]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,3.27,Made,,,,2.0,J. Duren,1631105.0,1.0,,,,,,,,,,,
49,PT07M11.00S,2024-02-10T20:49:07.3Z,1,REGULAR,violation,kicked ball,[],1631093,,,1610612746,12,6,2024-02-10T20:49:33Z,490000,False,,,0,,J. Ivey kicked ball VIOLATION,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,2003.0,,,,,,,
50,PT07M11.00S,2024-02-10T20:49:15.1Z,1,REGULAR,substitution,out,[],201935,,,1610612746,12,6,2024-02-10T20:49:21Z,500000,False,,,0,,SUB out: J. Harden,[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M11.00S,2024-02-10T20:49:15.1Z,1,REGULAR,substitution,out,[],203488,,,1610612746,12,6,2024-02-10T20:49:21Z,510000,False,,,0,,SUB out: M. Muscala,[203488],1610612765.0,DET,,,,Muscala,M. Muscala,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M11.00S,2024-02-10T20:49:15.1Z,1,REGULAR,substitution,in,[],201566,,,1610612746,12,6,2024-02-10T20:49:21Z,520000,False,,,0,,SUB in: R. Westbrook,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M11.00S,2024-02-10T20:49:15.1Z,1,REGULAR,substitution,in,[],1631323,,,1610612746,12,6,2024-02-10T20:49:21Z,530000,False,,,0,,SUB in: S. Fontecchio,[1631323],1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M06.00S,2024-02-10T20:49:32.0Z,1,REGULAR,3pt,Jump Shot,[],202331,69.33311432325887,74.26470588235294,1610612746,12,6,2024-02-10T20:49:38Z,540000,False,121.0,236.0,1,right,MISS P. George 26' 3PT,[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,26.52,Missed,,,,,,,,,,,,,,,,,,
55,PT07M00.00S,2024-02-10T20:49:38.0Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,12,6,2024-02-10T20:49:38Z,550000,False,,,0,,J. Duren REBOUND (Off:0 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Right Center,,,,,54.0,,,,,2.0,2.0,0.0,,,,,,,,
56,PT06M55.00S,2024-02-10T20:49:43.7Z,1,REGULAR,turnover,lost ball,[],1631323,,,1610612765,12,6,2024-02-10T20:49:47Z,560000,False,,,0,,S. Fontecchio lost ball TURNOVER (1 TO),"[1631323, 201566]",1610612765.0,DET,,,,Fontecchio,S. Fontecchio,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1.0,Westbrook,201566.0,,,,
57,PT06M55.00S,2024-02-10T20:49:43.7Z,1,REGULAR,steal,,[],201566,,,1610612746,12,6,2024-02-10T20:49:45Z,570000,False,,,0,,R. Westbrook STEAL (1 STL),[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT06M49.00S,2024-02-10T20:49:49.3Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",202331,87.07293035479631,97.05882352941177,1610612746,12,6,2024-02-10T20:49:59Z,580000,False,235.0,69.0,1,right,MISS P. George 24' running 3PT,[202331],1610612746.0,LAC,running,,,George,P. George,,,,,Right Corner 3,24+ Right,24.52,Missed,,,,,,,,,,,,,,,,,,
59,PT06M45.00S,2024-02-10T20:49:53.3Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,12,6,2024-02-10T20:49:59Z,590000,False,,,0,,J. Ivey REBOUND (Off:1 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Right Corner 3,24+ Right,,,,,58.0,,,,,2.0,1.0,1.0,,,,,,,,
60,PT06M36.00S,2024-02-10T20:50:01.4Z,1,REGULAR,3pt,Jump Shot,[],1631093,32.40801576872536,34.068627450980394,1610612765,12,9,2024-02-10T20:50:08Z,600000,False,80.0,252.0,1,left,J. Ivey 26' 3PT step back (5 PTS),[1631093],1610612765.0,DET,step back,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Center,26.44,Made,,,,5.0,,,,,,,,,,,,,,
61,PT06M25.00S,2024-02-10T20:50:13.2Z,1,REGULAR,3pt,Jump Shot,[],202695,66.96780551905388,38.970588235294116,1610612746,12,9,2024-02-10T20:50:18Z,610000,False,-55.0,258.0,1,right,MISS K. Leonard 26' 3PT,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Center,26.38,Missed,,,,,,,,,,,,,,,,,,
62,PT06M22.00S,2024-02-10T20:50:16.2Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,12,9,2024-02-10T20:50:18Z,620000,False,,,0,,J. Ivey REBOUND (Off:1 Def:2),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Center,,,,,61.0,,,,,3.0,2.0,1.0,,,,,,,,
63,PT06M19.00S,2024-02-10T20:50:19.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631323,16.63929040735874,95.58823529411765,1610612765,12,9,2024-02-10T20:50:29Z,630000,False,-228.0,104.0,1,left,MISS S. Fontecchio 25' running 3PT,[1631323],1610612765.0,DET,running,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Left Center,25.05,Missed,,,,,,,,,,,,,,,,,,
64,PT06M14.00S,2024-02-10T20:50:24.4Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,12,9,2024-02-10T20:50:29Z,640000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Left Center,,,,,63.0,,,,,1.0,1.0,0.0,,,,,,,,
65,PT06M05.00S,2024-02-10T20:50:33.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,92.46057818659659,46.32352941176471,1610612746,14,9,2024-02-10T20:50:38Z,650000,False,-18.0,18.0,1,right,I. Zubac turnaround Hook (4 PTS) (K. Leonard 2 AST),"[1627826, 202695]",1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,2.6,Made,,,,4.0,K. Leonard,202695.0,2.0,,,,,,,,,,,
67,PT05M49.00S,2024-02-10T20:50:48.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631105,10.5946123521682,47.05882352941176,1610612765,14,11,2024-02-10T20:50:52Z,670000,False,15.0,47.0,1,left,J. Duren floating Jump Shot (4 PTS) (C. Cunningham 1 AST),"[1631105, 1630595]",1610612765.0,DET,floating,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,4.93,Made,,,,4.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,
69,PT05M36.00S,2024-02-10T20:51:01.6Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612746,14,11,2024-02-10T20:51:05Z,690000,False,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 1631105]",1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,Duren,1631105.0,,,,
70,PT05M36.00S,2024-02-10T20:51:01.6Z,1,REGULAR,steal,,[],1631105,,,1610612765,14,11,2024-02-10T20:51:03Z,700000,False,,,0,,J. Duren STEAL (1 STL),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
71,PT05M30.00S,2024-02-10T20:51:08.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630595,8.754927726675426,48.77450980392157,1610612765,14,11,2024-02-10T20:51:56Z,710000,False,6.0,30.0,1,left,MISS C. Cunningham driving Layup,[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,3.04,Missed,,,,,,,,,,,,,,,,,,
73,PT05M24.00S,2024-02-10T20:51:14.7Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,14,11,2024-02-10T20:51:56Z,730000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,,71.0,,,,,1.0,1.0,0.0,,,,,,,,
74,PT05M16.00S,2024-02-10T20:51:22.1Z,1,REGULAR,3pt,Jump Shot,[],201566,65.52233902759527,53.92156862745098,1610612746,14,11,2024-02-10T20:51:26Z,740000,False,20.0,272.0,1,right,MISS R. Westbrook 27' 3PT,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Center,27.23,Missed,,,,,,,,,,,,,,,,,,
75,PT05M13.00S,2024-02-10T20:51:25.1Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,14,11,2024-02-10T20:51:26Z,750000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:2),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,,,,,74.0,,,,,2.0,2.0,0.0,,,,,,,,
76,PT05M08.00S,2024-02-10T20:51:30.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631323,26.757555847568987,12.990196078431374,1610612765,14,14,2024-02-10T20:51:43Z,760000,False,185.0,199.0,1,left,S. Fontecchio 27' 3PT running (3 PTS) (C. Cunningham 2 AST),"[1631323, 1630595]",1610612765.0,DET,running,,,Fontecchio,S. Fontecchio,,,,,Above the Break 3,24+ Right Center,27.17,Made,,,,3.0,C. Cunningham,1630595.0,2.0,,,,,,,,,,,
78,PT05M08.00S,2024-02-10T20:51:37.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,14,14,2024-02-10T20:51:37Z,780000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M08.00S,2024-02-10T20:54:04.8Z,1,REGULAR,substitution,out,[],202331,,,1610612746,14,14,2024-02-10T20:54:28Z,790000,False,,,0,,SUB out: P. George,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M08.00S,2024-02-10T20:54:04.8Z,1,REGULAR,substitution,out,[],1627826,,,1610612746,14,14,2024-02-10T20:54:28Z,800000,False,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M08.00S,2024-02-10T20:54:04.8Z,1,REGULAR,substitution,out,[],1641709,,,1610612746,14,14,2024-02-10T20:54:28Z,810000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M08.00S,2024-02-10T20:54:04.8Z,1,REGULAR,substitution,in,[],1626181,,,1610612746,14,14,2024-02-10T20:54:28Z,820000,False,,,0,,SUB in: N. Powell,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M08.00S,2024-02-10T20:54:04.8Z,1,REGULAR,substitution,in,[],203486,,,1610612746,14,14,2024-02-10T20:54:28Z,830000,False,,,0,,SUB in: M. Plumlee,[203486],1610612746.0,LAC,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M08.00S,2024-02-10T20:54:04.8Z,1,REGULAR,substitution,in,[],1628972,,,1610612746,14,14,2024-02-10T20:54:28Z,840000,False,,,0,,SUB in: T. Brown Jr.,[1628972],1610612765.0,DET,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
