actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
23,PT10M36.00S,2023-10-30T01:13:15.6Z,1,REGULAR,3pt,Jump Shot,[],203496,92.29632063074901,3.67647058823529,1610612746,0,3,2023-10-30T01:13:33Z,230000,False,-232.0,20.0,1,right,MISS R. Covington step back 3PT,[203496],1610612746.0,LAC,step back,,,Covington,R. Covington,,,,,Left Corner 3,24+ Left,,,,23.25,Missed,,,,,,,,,,,,,,,
24,PT10M33.00S,2023-10-30T01:13:18.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,0,3,2023-10-30T01:13:23Z,240000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Left Corner 3,24+ Left,,,,,,23.0,,,,,,,,,,,,,,
26,PT10M31.00S,2023-10-30T01:13:37.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202331,87.82851511169514,21.07843137254902,1610612746,0,3,2023-10-30T01:13:43Z,260000,False,-145.0,62.0,1,right,MISS P. George 15' Jump Shot,[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,8-16 Left,,,,15.73,Missed,,,,,,,,,,,,,,,
27,PT10M27.00S,2023-10-30T01:13:41.4Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,0,3,2023-10-30T01:13:43Z,270000,False,,,0,,J. Sochan REBOUND (Off:0 Def:2),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,8-16 Left,,,,,,26.0,,,,,,,2.0,2.0,0.0,,,,,
28,PT10M21.00S,2023-10-30T01:13:47.4Z,1,REGULAR,turnover,bad pass,[],1641705,,,1610612759,0,3,2023-10-30T01:13:52Z,280000,False,,,0,,V. Wembanyama bad pass TURNOVER (2 TO),"[1641705, 202695]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Center,2.0,Leonard,202695.0,,,,,,,,,,,,,,,,,
29,PT10M21.00S,2023-10-30T01:13:47.4Z,1,REGULAR,steal,,[],202695,,,1610612746,0,3,2023-10-30T01:13:50Z,290000,False,,,0,,K. Leonard STEAL (1 STL),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
30,PT10M12.00S,2023-10-30T01:13:57.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202695,91.90210249671485,56.127450980392155,1610612746,0,3,2023-10-30T01:14:02Z,300000,False,31.0,24.0,1,right,MISS K. Leonard Layup,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,,,,3.86,Missed,,,,,,,,,,,,,,,
31,PT10M09.00S,2023-10-30T01:14:00.5Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,0,3,2023-10-30T01:14:02Z,310000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,30.0,,,,,,,1.0,1.0,0.0,,,,,
32,PT10M06.00S,2023-10-30T01:14:03.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629640,8.459264126149804,3.4313725490196134,1610612759,0,3,2023-10-30T01:14:11Z,320000,False,233.0,27.0,1,left,MISS K. Johnson running 3PT,[1629640],1610612759.0,SAS,running,,,Johnson,K. Johnson,,,,,Right Corner 3,24+ Right,,,,23.44,Missed,,,,,,,,,,,,,,,
33,PT10M02.00S,2023-10-30T01:14:07.4Z,1,REGULAR,rebound,defensive,[],201566,,,1610612746,0,3,2023-10-30T01:14:11Z,330000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Right Corner 3,24+ Right,,,,,,32.0,,,,,,,1.0,1.0,0.0,,,,,
34,PT09M56.00S,2023-10-30T01:14:12.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,91.63929040735874,45.833333333333336,1610612746,2,3,2023-10-30T01:14:25Z,340000,False,-21.0,26.0,1,right,I. Zubac Hook (2 PTS) (R. Westbrook 1 AST),"[1627826, 201566]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,3.34,Made,,2.0,R. Westbrook,201566.0,1.0,,,,,,,,,,
36,PT09M44.00S,2023-10-30T01:14:25.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629640,7.539421813403408,43.13725490196079,1610612759,2,3,2023-10-30T01:14:32Z,360000,False,34.0,18.0,1,left,MISS K. Johnson Hook,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,3.89,Missed,,,,,,,,,,,,,,,
37,PT09M42.00S,2023-10-30T01:14:27.3Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,2,3,2023-10-30T01:14:32Z,370000,False,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,36.0,,,,,,,2.0,2.0,0.0,,,,,
38,PT09M29.00S,2023-10-30T01:14:40.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,86.38304862023654,54.90196078431372,1610612746,2,3,2023-10-30T01:15:45Z,380000,False,25.0,75.0,1,right,MISS K. Leonard 7' driving floating Shot,[202695],1610612746.0,LAC,driving floating,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),0-8 Center,,,,7.94,Missed,,,,,,,,,,,,,,,
39,PT09M25.00S,2023-10-30T01:14:44.2Z,1,REGULAR,rebound,offensive,[],203496,,,1610612746,2,3,2023-10-30T01:14:44Z,390000,False,,,0,,R. Covington REBOUND (Off:1 Def:0),[203496],1610612746.0,LAC,,,,Covington,R. Covington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,38.0,,,,,,,1.0,0.0,1.0,,,,,
40,PT09M14.00S,2023-10-30T01:14:55.2Z,1,REGULAR,turnover,lost ball,[],202695,,,1610612746,2,3,2023-10-30T01:14:59Z,400000,False,,,0,,K. Leonard lost ball TURNOVER (1 TO),"[202695, 1630170]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Mid-Range,8-16 Right,1.0,Vassell,1630170.0,,,,,,,,,,,,,,,,,
41,PT09M14.00S,2023-10-30T01:14:55.2Z,1,REGULAR,steal,,[],1630170,,,1610612759,2,3,2023-10-30T01:14:57Z,410000,False,,,0,,D. Vassell STEAL (1 STL),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
43,PT09M07.00S,2023-10-30T01:15:18.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641705,13.32128777923785,62.254901960784316,1610612759,2,3,2023-10-30T01:16:35Z,430000,False,-61.0,73.0,1,left,MISS V. Wembanyama 9' floating Shot,[1641705],1610612759.0,SAS,floating,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),8-16 Left,,,,9.51,Missed,,,,,,,,,,,,,,,
44,PT09M05.00S,2023-10-30T01:15:20.1Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,2,3,2023-10-30T01:15:22Z,440000,False,,,0,,I. Zubac REBOUND (Off:0 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Left,,,,,,43.0,,,,,,,3.0,3.0,0.0,,,,,
45,PT08M53.00S,2023-10-30T01:15:31.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,86.64586070959264,53.92156862745098,1610612746,2,3,2023-10-30T01:15:54Z,450000,False,20.0,73.0,1,right,MISS P. George 7' floating Shot,[202331],1610612746.0,LAC,floating,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,7.56,Missed,,,,,,,,,,,,,,,
46,PT08M51.00S,2023-10-30T01:15:33.5Z,1,REGULAR,rebound,offensive,[],202331,,,1610612746,2,3,2023-10-30T01:15:38Z,460000,False,,,0,,P. George REBOUND (Off:1 Def:0),[202331],1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,45.0,,,,,,,1.0,0.0,1.0,,,,,
47,PT08M51.00S,2023-10-30T01:15:36.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202331,89.14257555847568,50.245098039215684,1610612746,4,3,2023-10-30T01:15:41Z,470000,False,1.0,50.0,1,right,P. George putback Layup (2 PTS),[202331],1610612746.0,LAC,putback,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,4.96,Made,,2.0,,,,,,,,,,,,,
48,PT08M51.00S,2023-10-30T01:15:41.2Z,1,REGULAR,foul,personal,['1freethrow'],1629640,,,1610612746,4,3,2023-10-30T01:15:46Z,480000,False,,,0,,K. Johnson shooting personal FOUL (1 PF) (George 1 FT),"[1629640, 202331]",1610612759.0,SAS,shooting,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,203593.0,1.0,0.0,George,202331.0
50,PT08M51.00S,2023-10-30T01:16:03.6Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],202331,,,1610612746,5,3,2023-10-30T01:16:03Z,500000,False,,,0,,P. George Free Throw 1 of 1 (3 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,Made,,3.0,,,,,,,,,,,,,
51,PT08M31.00S,2023-10-30T01:16:25.5Z,1,REGULAR,3pt,Jump Shot,[],1631110,31.192509855453352,30.637254901960787,1610612759,5,3,2023-10-30T01:17:40Z,510000,False,97.0,241.0,1,left,MISS J. Sochan 25' pullup 3PT,[1631110],1610612759.0,SAS,pullup,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Right Center,,,,25.94,Missed,,,,,,,,,,,,,,,
52,PT08M28.00S,2023-10-30T01:16:28.5Z,1,REGULAR,rebound,defensive,[],201566,,,1610612746,5,3,2023-10-30T01:16:29Z,520000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:2),[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Right Center,,,,,,51.0,,,,,,,2.0,2.0,0.0,,,,,
53,PT08M21.00S,2023-10-30T01:16:35.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,90.98226018396846,57.35294117647059,1610612746,5,3,2023-10-30T01:16:39Z,530000,False,37.0,32.0,1,right,MISS R. Westbrook driving Layup - blocked,"[201566, 1631110]",1610612746.0,LAC,driving,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,,,,4.9,Missed,,,,,,Sochan,1631110.0,,,,,,,,
54,PT08M21.00S,2023-10-30T01:16:35.4Z,1,REGULAR,block,,[],1631110,,,1610612746,5,3,2023-10-30T01:16:37Z,540000,False,,,0,,J. Sochan BLOCK (1 BLK),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT08M18.00S,2023-10-30T01:16:38.4Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,5,3,2023-10-30T01:16:39Z,550000,False,,,0,,I. Zubac REBOUND (Off:1 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,53.0,,,,,,,4.0,3.0,1.0,,,,,
56,PT08M16.00S,2023-10-30T01:16:40.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202695,92.29632063074901,95.09803921568627,1610612746,8,3,2023-10-30T01:16:45Z,560000,False,225.0,20.0,1,right,K. Leonard 3PT  (3 PTS) (P. George 1 AST),"[202695, 202331]",1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Right Corner 3,24+ Right,,,,22.64,Made,,3.0,P. George,202331.0,1.0,,,,,,,,,,
58,PT07M59.00S,2023-10-30T01:16:56.7Z,1,REGULAR,turnover,bad pass,[],1631110,,,1610612759,8,3,2023-10-30T01:17:02Z,580000,False,,,0,,J. Sochan bad pass TURNOVER (1 TO),"[1631110, 202331]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Left Center,1.0,George,202331.0,,,,,,,,,,,,,,,,,
59,PT07M59.00S,2023-10-30T01:16:56.7Z,1,REGULAR,steal,,[],202331,,,1610612746,8,3,2023-10-30T01:16:58Z,590000,False,,,0,,P. George STEAL (2 STL),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
60,PT07M57.00S,2023-10-30T01:17:00.2Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202331,94.13600525624179,50.0,1610612746,10,3,2023-10-30T01:17:16Z,600000,False,0.0,3.0,1,right,P. George running DUNK (5 PTS),[202331],1610612746.0,LAC,running,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,0.26,Made,,5.0,,,,,,,,,,,,,
61,PT07M57.00S,2023-10-30T01:17:05.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,10,3,2023-10-30T01:17:05Z,610000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M44.00S,2023-10-30T01:20:16.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641705,9.247700394218143,49.50980392156863,1610612759,10,5,2023-10-30T01:20:25Z,620000,False,2.0,34.0,1,left,V. Wembanyama alley-oop Layup (2 PTS) (Z. Collins 2 AST),"[1641705, 1628380]",1610612759.0,SAS,alley-oop,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,3.45,Made,,2.0,Z. Collins,1628380.0,2.0,,,,,,,,,,
64,PT07M22.00S,2023-10-30T01:20:37.7Z,1,REGULAR,3pt,Jump Shot,[],201566,69.4316688567674,75.98039215686275,1610612746,10,5,2023-10-30T01:21:05Z,640000,False,130.0,235.0,1,right,MISS R. Westbrook 26' pullup 3PT,[201566],1610612746.0,LAC,pullup,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Right Center,,,,26.83,Missed,,,,,,,,,,,,,,,
65,PT07M19.00S,2023-10-30T01:20:40.7Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,10,5,2023-10-30T01:20:42Z,650000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Right Center,,,,,,64.0,,,,,,,1.0,1.0,0.0,,,,,
66,PT07M12.00S,2023-10-30T01:20:48.6Z,1,REGULAR,turnover,lost ball,[],1630170,,,1610612759,10,5,2023-10-30T01:20:52Z,660000,False,,,0,,D. Vassell lost ball TURNOVER (1 TO),"[1630170, 202331]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,1.0,George,202331.0,,,,,,,,,,,,,,,,,
67,PT07M12.00S,2023-10-30T01:20:48.6Z,1,REGULAR,steal,,[],202331,,,1610612746,10,5,2023-10-30T01:20:50Z,670000,False,,,0,,P. George STEAL (3 STL),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
68,PT07M09.00S,2023-10-30T01:20:51.5Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202331,94.00459921156373,49.26470588235294,1610612746,12,5,2023-10-30T01:20:59Z,680000,False,-4.0,4.0,1,right,P. George running DUNK (7 PTS),[202331],1610612746.0,LAC,running,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,0.54,Made,,7.0,,,,,,,,,,,,,
69,PT06M54.00S,2023-10-30T01:21:05.2Z,1,REGULAR,2pt,Jump Shot,[],1630170,20.285808147174762,70.34313725490196,1610612759,12,7,2023-10-30T01:21:09Z,690000,False,-102.0,138.0,1,left,D. Vassell 17' pullup Jump Shot (2 PTS) (Z. Collins 3 AST),"[1630170, 1628380]",1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Left Center,,,,17.16,Made,,2.0,Z. Collins,1628380.0,3.0,,,,,,,,,,
72,PT06M38.00S,2023-10-30T01:21:26.6Z,1,REGULAR,substitution,out,[],1641705,,,1610612746,12,7,2023-10-30T01:21:38Z,720000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M38.00S,2023-10-30T01:21:26.6Z,1,REGULAR,substitution,in,[],1626224,,,1610612746,12,7,2023-10-30T01:21:38Z,730000,False,,,0,,SUB in: C. Osman,[1626224],1610612759.0,SAS,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M38.00S,2023-10-30T01:21:41.2Z,1,REGULAR,substitution,out,[],201566,,,1610612746,12,7,2023-10-30T01:21:43Z,740000,False,,,0,,SUB out: R. Westbrook,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M38.00S,2023-10-30T01:21:41.2Z,1,REGULAR,substitution,in,[],1630538,,,1610612746,12,7,2023-10-30T01:21:43Z,750000,False,,,0,,SUB in: B. Hyland,[1630538],1610612746.0,LAC,,,,Hyland,B. Hyland,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M26.00S,2023-10-30T01:22:07.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202695,88.35413929040736,49.754901960784316,1610612746,14,7,2023-10-30T01:22:12Z,760000,False,-1.0,57.0,1,right,K. Leonard driving Hook (5 PTS),[202695],1610612746.0,LAC,driving,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),0-8 Center,,,,5.7,Made,,5.0,,,,,,,,,,,,,
77,PT06M13.00S,2023-10-30T01:22:20.1Z,1,REGULAR,turnover,bad pass,[],1628380,,,1610612759,14,7,2023-10-30T01:22:25Z,770000,False,,,0,,Z. Collins bad pass TURNOVER (1 TO),"[1628380, 202331]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,16-24 Left Center,1.0,George,202331.0,,,,,,,,,,,,,,,,,
78,PT06M13.00S,2023-10-30T01:22:20.1Z,1,REGULAR,steal,,[],202331,,,1610612746,14,7,2023-10-30T01:22:21Z,780000,False,,,0,,P. George STEAL (4 STL),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
79,PT06M08.00S,2023-10-30T01:22:25.4Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627826,93.61038107752957,48.774509803921575,1610612746,16,7,2023-10-30T01:22:51Z,790000,False,-6.0,8.0,1,right,I. Zubac running DUNK (4 PTS) (P. George 2 AST),"[1627826, 202331]",1610612746.0,LAC,running,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,0.97,Made,,4.0,P. George,202331.0,2.0,,,,,,,,,,
81,PT06M07.00S,2023-10-30T01:22:31.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,16,7,2023-10-30T01:22:31Z,810000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M50.00S,2023-10-30T01:25:42.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628380,12.401445466491452,54.411764705882355,1610612759,16,7,2023-10-30T01:25:48Z,820000,False,-22.0,64.0,1,left,MISS Z. Collins 6' turnaround Hook,[1628380],1610612759.0,SAS,turnaround,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,6.78,Missed,,,,,,,,,,,,,,,
83,PT05M48.00S,2023-10-30T01:25:44.4Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,16,7,2023-10-30T01:25:48Z,830000,False,,,0,,P. George REBOUND (Off:1 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,82.0,,,,,,,2.0,1.0,1.0,,,,,
84,PT05M43.00S,2023-10-30T01:25:49.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202331,91.90210249671485,50.0,1610612746,18,7,2023-10-30T02:15:10Z,840000,False,0.0,24.0,1,right,P. George running Layup (9 PTS),[202331],1610612746.0,LAC,running,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,2.36,Made,,9.0,,,,,,,,,,,,,
