actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
25,PT10M45.00S,2023-11-01T02:42:52.5Z,1,REGULAR,freethrow,1 of 2,"['2ndchance', 'fromturnover']",202695,,,1610612746,1,0,2023-11-01T02:58:20Z,250000,False,,,0,,K. Leonard Free Throw 1 of 2 (1 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,,,,Made,,,,,,,,,,,,1.0,,,
27,PT10M45.00S,2023-11-01T02:44:07.4Z,1,REGULAR,freethrow,2 of 2,"['2ndchance', 'fromturnover']",202695,,,1610612746,2,0,2023-11-01T02:58:20Z,270000,False,,,0,,K. Leonard Free Throw 2 of 2 (2 PTS),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,,,,Made,,,,,,,,,,,,2.0,,,
28,PT10M34.00S,2023-11-01T02:44:20.8Z,1,REGULAR,3pt,Jump Shot,[],1628976,33.42641261498029,46.81372549019608,1610612753,2,0,2023-11-01T02:44:25Z,280000,False,16.0,262.0,1,left,MISS W. Carter Jr. 26' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Center,,,,26.22,Missed,,,,,,,,,,,,,,,
29,PT10M30.00S,2023-11-01T02:44:24.8Z,1,REGULAR,rebound,defensive,[],201566,,,1610612746,2,0,2023-11-01T02:44:25Z,290000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Center,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,,
30,PT10M26.00S,2023-11-01T02:44:28.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202331,66.80354796320631,66.42156862745098,1610612746,2,0,2023-11-01T02:44:38Z,300000,False,82.0,260.0,1,right,MISS P. George 27' running 3PT,[202331],1610612746.0,LAC,running,,,George,P. George,,,,,Above the Break 3,24+ Center,,,,27.22,Missed,,,,,,,,,,,,,,,
31,PT10M22.00S,2023-11-01T02:44:32.5Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,2,0,2023-11-01T02:44:38Z,310000,False,,,0,,F. Wagner REBOUND (Off:0 Def:3),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Center,,,,,,30.0,3.0,3.0,0.0,,,,,,,,,,,
32,PT10M15.00S,2023-11-01T02:44:39.5Z,1,REGULAR,3pt,Jump Shot,[],1630591,6.4881734559789805,96.07843137254902,1610612753,2,0,2023-11-01T02:44:44Z,320000,False,-230.0,8.0,1,left,MISS J. Suggs 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Left Corner 3,24+ Left,,,,23.06,Missed,,,,,,,,,,,,,,,
33,PT10M12.00S,2023-11-01T02:44:42.5Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,2,0,2023-11-01T02:44:44Z,330000,False,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Left Corner 3,24+ Left,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,,,
34,PT10M04.00S,2023-11-01T02:44:51.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,82.57227332457293,50.73529411764706,1610612746,2,0,2023-11-01T02:44:57Z,340000,False,4.0,111.0,1,right,MISS P. George 11' Jump Shot,[202331],1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,,,,11.14,Missed,,,,,,,,,,,,,,,
35,PT10M00.00S,2023-11-01T02:44:55.4Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,2,0,2023-11-01T02:44:57Z,350000,False,,,0,,M. Fultz REBOUND (Off:0 Def:1),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),8-16 Center,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,
