actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
534,PT10M33.00S,2023-12-17T05:33:40.8Z,4,REGULAR,rebound,defensive,[],1628973,,,1610612752,118,100,2023-12-17T05:33:40Z,5190000,False,,,0,,J. Brunson REBOUND (Off:2 Def:5),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,,,,,,,,,533.0,7.0,5.0,2.0,,,,,,,,
535,PT10M30.00S,2023-12-17T05:33:46.8Z,4,REGULAR,foul,personal,[],202331,,,1610612752,118,100,2023-12-17T05:33:50Z,5200000,False,,,0,,P. George personal FOUL (4 PF),"[202331, 1630193]",1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1628171.0,4.0,0.0,Quickley,1630193.0
537,PT10M30.00S,2023-12-17T05:33:52.5Z,4,REGULAR,substitution,out,[],1628973,,,1610612752,118,100,2023-12-17T05:33:57Z,5220000,False,,,0,,SUB out: J. Brunson,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,
538,PT10M30.00S,2023-12-17T05:33:52.5Z,4,REGULAR,substitution,in,[],1630540,,,1610612752,118,100,2023-12-17T05:33:57Z,5230000,False,,,0,,SUB in: M. McBride,[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,,,,,,,,,,,,,,,,,,,,,,
539,PT10M25.00S,2023-12-17T05:34:17.9Z,4,REGULAR,violation,kicked ball,[],1628464,,,1610612752,118,100,2023-12-17T05:34:22Z,5240000,False,,,0,,D. Theis kicked ball VIOLATION,[1628464],1610612746.0,LAC,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,202056.0,,,,
540,PT10M17.00S,2023-12-17T05:34:39.1Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1630193,92.95335085413929,55.14705882352941,1610612752,118,102,2023-12-17T05:35:02Z,5250000,False,26.0,14.0,1,right,I. Quickley driving Layup (7 PTS),[1630193],1610612752.0,NYK,driving,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,2.91,Made,7.0,,,,,,,,,,,,,,,,,
541,PT10M17.00S,2023-12-17T05:34:55.0Z,4,REGULAR,violation,defensive goaltending,[],1628464,,,1610612752,118,102,2023-12-17T05:35:02Z,5260000,False,,,0,,D. Theis defensive goaltending VIOLATION,[1628464],1610612746.0,LAC,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,101283.0,,,,
542,PT09M58.00S,2023-12-17T05:35:22.7Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1628464,7.933639947437584,54.65686274509804,1610612746,118,102,2023-12-17T05:35:26Z,5270000,False,-23.0,22.0,1,left,MISS D. Theis Layup,[1628464],1610612746.0,LAC,,,,Theis,D. Theis,,,,,Restricted Area,0-8 Center,3.21,Missed,,,,,,,,,,,,,,,,,,
543,PT09M55.00S,2023-12-17T05:35:25.7Z,4,REGULAR,rebound,offensive,[],201566,,,1610612746,118,102,2023-12-17T05:35:26Z,5280000,False,,,0,,R. Westbrook REBOUND (Off:3 Def:3),[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,,,,,,,,,542.0,6.0,3.0,3.0,,,,,,,,
544,PT09M55.00S,2023-12-17T05:35:25.3Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201566,5.590000152587891,50.0,1610612746,120,102,2023-12-17T05:35:25Z,5290000,False,0.0,0.0,1,left,R. Westbrook tip Layup (10 PTS),[201566],1610612746.0,LAC,tip,,,Westbrook,R. Westbrook,,,,,Mid-Range,8-16 Left,0.0,Made,10.0,,,,,,,,,,,,,,,,,
