actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
18,PT09M59.00S,2024-03-26T02:43:51.8Z,1,REGULAR,2pt,Jump Shot,[],202331,25.410643889618925,70.09803921568627,1610612746,4,2,2024-03-26T02:43:55Z,170000,False,-100.0,186.0,1,left,MISS P. George 21' pullup Shot,[202331],1610612746.0,LAC,pullup,,,,,,Mid-Range,16-24 Left Center,,21.18,Missed,,George,P. George,,,,,,,,,,,,,,,,
19,PT09M56.00S,2024-03-26T02:43:54.8Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,4,2,2024-03-26T02:43:55Z,180000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,,,,Mid-Range,16-24 Left Center,,,,,Siakam,P. Siakam,,,,18.0,1.0,1.0,0.0,,,,,,,,,
20,PT09M49.00S,2024-03-26T02:44:01.7Z,1,REGULAR,2pt,Jump Shot,[],1627783,79.02431011826545,39.70588235294118,1610612754,4,4,2024-03-26T02:44:06Z,190000,False,-51.0,145.0,1,right,P. Siakam 15' pullup Jump Shot (2 PTS) (T. Haliburton 1 AST),"[1627783, 1630169]",1610612754.0,IND,pullup,,,,,,Mid-Range,8-16 Center,,15.36,Made,2.0,Siakam,P. Siakam,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,
22,PT09M25.00S,2024-03-26T02:44:25.8Z,1,REGULAR,2pt,Jump Shot,[],202331,22.125492772667542,31.617647058823522,1610612746,6,4,2024-03-26T03:44:43Z,210000,False,92.0,155.0,1,left,P. George 18' step back Jump Shot (6 PTS) (I. Zubac 1 AST),"[202331, 1627826]",1610612746.0,LAC,step back,,,,,,Mid-Range,16-24 Right Center,,18.06,Made,6.0,George,P. George,I. Zubac,1627826.0,1.0,,,,,,,,,,,,,
24,PT09M01.00S,2024-03-26T02:44:49.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,86.7772667542707,43.872549019607845,1610612754,6,4,2024-03-26T02:44:52Z,230000,False,-31.0,72.0,1,right,MISS P. Siakam 7' driving floating Shot,[1627783],1610612754.0,IND,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,7.8,Missed,,Siakam,P. Siakam,,,,,,,,,,,,,,,,
25,PT09M01.00S,2024-03-26T02:44:52.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,6,4,2024-03-26T02:44:52Z,240000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,24.0,,,,,,,,,,,,
27,PT08M48.00S,2024-03-26T02:45:21.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629614,80.86399474375821,63.72549019607843,1610612754,6,4,2024-03-26T02:45:25Z,260000,False,69.0,127.0,1,right,MISS A. Nembhard 14' pullup Shot,[1629614],1610612754.0,IND,pullup,,,,,,In The Paint (Non-RA),8-16 Center,,14.47,Missed,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,
28,PT08M45.00S,2024-03-26T02:45:24.5Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,6,4,2024-03-26T02:45:25Z,270000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,Mann,T. Mann,,,,27.0,1.0,1.0,0.0,,,,,,,,,
29,PT08M41.00S,2024-03-26T02:45:28.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'defensivegoaltending']",1629611,9.773324572930349,46.81372549019608,1610612746,8,4,2024-03-26T02:45:42Z,280000,False,16.0,39.0,1,left,T. Mann running Layup (2 PTS),[1629611],1610612746.0,LAC,running,,,,,,Restricted Area,0-8 Center,,4.25,Made,2.0,Mann,T. Mann,,,,,,,,,,,,,,,,
30,PT08M41.00S,2024-03-26T02:45:34.8Z,1,REGULAR,violation,defensive goaltending,[],1626167,,,1610612746,8,4,2024-03-26T02:46:08Z,290000,False,,,0,,M. Turner defensive goaltending VIOLATION,[1626167],1610612754.0,IND,,,,,,,,,201246.0,,,,Turner,M. Turner,,,,,,,,,,,,,,,,
31,PT08M30.00S,2024-03-26T02:45:57.0Z,1,REGULAR,foul,personal,[],1629611,,,1610612754,8,4,2024-03-26T02:46:11Z,300000,False,,,0,,T. Mann personal FOUL (1 PF),"[1629611, 1630169]",1610612746.0,LAC,,,,,,,Mid-Range,8-16 Right,1148.0,,,,Mann,T. Mann,,,,,,,,1.0,0.0,Haliburton,1630169.0,,,,,
33,PT08M19.00S,2024-03-26T02:46:16.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,92.29632063074901,50.98039215686275,1610612754,8,6,2024-03-26T02:46:20Z,320000,False,5.0,20.0,1,right,P. Siakam driving Layup (4 PTS),[1627783],1610612754.0,IND,driving,,,,,,Restricted Area,0-8 Center,,2.05,Made,4.0,Siakam,P. Siakam,,,,,,,,,,,,,,,,
34,PT08M03.00S,2024-03-26T02:46:36.3Z,1,REGULAR,foul,personal,['2freethrow'],1630169,,,1610612746,8,6,2024-03-26T02:46:42Z,330000,False,,,0,,T. Haliburton shooting personal FOUL (1 PF) (Mann 2 FT),"[1630169, 1629611]",1610612754.0,IND,shooting,,,,,,In The Paint (Non-RA),8-16 Center,201246.0,,,,Haliburton,T. Haliburton,,,,,,,,1.0,0.0,Mann,1629611.0,,,,,
36,PT08M03.00S,2024-03-26T02:46:58.7Z,1,REGULAR,freethrow,1 of 2,[],1629611,,,1610612746,9,6,2024-03-26T02:46:58Z,350000,False,,,0,,T. Mann Free Throw 1 of 2 (3 PTS),[1629611],1610612746.0,LAC,,,,,,,,,,,Made,3.0,Mann,T. Mann,,,,,,,,,,,,,,,,
37,PT08M03.00S,2024-03-26T02:46:58.7Z,1,REGULAR,freethrow,2 of 2,[],1629611,,,1610612746,9,6,2024-03-26T02:47:22Z,360000,False,,,0,,MISS T. Mann Free Throw 2 of 2,[1629611],1610612746.0,LAC,,,,,,,,,,,Missed,,Mann,T. Mann,,,,,,,,,,,,,,,,
38,PT07M59.00S,2024-03-26T02:47:02.7Z,1,REGULAR,rebound,defensive,[],1641767,,,1610612754,9,6,2024-03-26T02:47:22Z,370000,False,,,0,,B. Sheppard REBOUND (Off:0 Def:1),[1641767],1610612754.0,IND,,,,,,,,,,,,,Sheppard,B. Sheppard,,,,37.0,1.0,1.0,0.0,,,,,,,,,
39,PT07M40.00S,2024-03-26T02:47:39.3Z,1,REGULAR,3pt,Jump Shot,[],1630169,68.24901445466492,41.666666666666664,1610612754,9,9,2024-03-26T02:48:55Z,380000,False,-42.0,246.0,1,right,T. Haliburton 24' 3PT pullup (3 PTS),[1630169],1610612754.0,IND,pullup,,,,,,Above the Break 3,24+ Center,,24.95,Made,3.0,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,
40,PT07M32.00S,2024-03-26T02:47:52.3Z,1,REGULAR,foul,personal,[],1641767,,,1610612746,9,9,2024-03-26T02:48:05Z,390000,False,,,0,,B. Sheppard personal FOUL (1 PF),"[1641767, 202331]",1610612754.0,IND,,,,,,,Mid-Range,16-24 Right,1148.0,,,,Sheppard,B. Sheppard,,,,,,,,1.0,0.0,George,202331.0,,,,,
42,PT07M17.00S,2024-03-26T02:48:18.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,14.635348226018394,57.35294117647059,1610612746,9,9,2024-03-26T02:48:23Z,410000,False,-37.0,85.0,1,left,MISS I. Zubac 9' Hook,[1627826],1610612746.0,LAC,,,,,,,In The Paint (Non-RA),8-16 Center,,9.27,Missed,,Zubac,I. Zubac,,,,,,,,,,,,,,,,
43,PT07M15.00S,2024-03-26T02:48:20.3Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,9,9,2024-03-26T02:48:20Z,420000,False,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,Zubac,I. Zubac,,,,42.0,2.0,1.0,1.0,,,,,,,,,
44,PT07M14.00S,2024-03-26T02:48:21.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627826,7.145203679369246,49.754901960784316,1610612746,11,9,2024-03-26T02:48:25Z,430000,False,1.0,15.0,1,left,I. Zubac putback Layup (2 PTS),[1627826],1610612746.0,LAC,putback,,,,,,Restricted Area,0-8 Center,,1.47,Made,2.0,Zubac,I. Zubac,,,,,,,,,,,,,,,,
45,PT07M02.00S,2024-03-26T02:48:33.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,90.32522996057818,52.69607843137255,1610612754,11,11,2024-03-26T02:48:37Z,440000,False,13.0,38.0,1,right,P. Siakam driving bank Jump Shot (6 PTS),[1627783],1610612754.0,IND,driving bank,,,,,,Restricted Area,0-8 Center,,4.07,Made,6.0,Siakam,P. Siakam,,,,,,,,,,,,,,,,
46,PT06M45.00S,2024-03-26T02:48:50.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,9.247700394218143,54.16666666666667,1610612746,13,11,2024-03-26T02:48:53Z,450000,False,-21.0,34.0,1,left,J. Harden driving Layup (2 PTS),[201935],1610612746.0,LAC,driving,,,,,,Restricted Area,0-8 Center,,4.02,Made,2.0,Harden,J. Harden,,,,,,,,,,,,,,,,
47,PT06M32.00S,2024-03-26T02:49:03.4Z,1,REGULAR,3pt,Jump Shot,[],1626167,68.77463863337714,70.09803921568627,1610612754,13,14,2024-03-26T02:49:09Z,460000,False,100.0,241.0,1,right,M. Turner 26' 3PT  (5 PTS) (T. Haliburton 2 AST),"[1626167, 1630169]",1610612754.0,IND,,,,,,,Above the Break 3,24+ Right Center,,26.11,Made,5.0,Turner,M. Turner,T. Haliburton,1630169.0,2.0,,,,,,,,,,,,,
49,PT06M19.00S,2024-03-26T02:49:19.0Z,1,REGULAR,foul,personal,[],1641767,,,1610612746,13,14,2024-03-26T02:51:15Z,480000,False,,,0,,B. Sheppard personal FOUL (2 PF),"[1641767, 201935]",1610612754.0,IND,,,,,,,Above the Break 3,24+ Center,1148.0,,,,Sheppard,B. Sheppard,,,,,,,,2.0,0.0,Harden,201935.0,,,,,
72,PT06M19.00S,2024-03-26T02:50:43.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,13,14,2024-03-26T02:55:05Z,495000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M19.00S,2024-03-26T02:52:08.5Z,1,REGULAR,substitution,out,[],1641767,,,1610612746,13,14,2024-03-26T02:52:22Z,500000,False,,,0,,SUB out: B. Sheppard,[1641767],1610612754.0,IND,,,,,,,,,,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,
52,PT06M19.00S,2024-03-26T02:52:08.5Z,1,REGULAR,substitution,in,[],1630167,,,1610612746,13,14,2024-03-26T02:52:22Z,510000,False,,,0,,SUB in: O. Toppin,[1630167],1610612754.0,IND,,,,,,,,,,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,
53,PT06M12.00S,2024-03-26T02:52:40.3Z,1,REGULAR,foul,personal,[],1629614,,,1610612746,13,14,2024-03-26T02:52:47Z,520000,False,,,0,,A. Nembhard personal FOUL (1 PF),"[1629614, 201935]",1610612754.0,IND,,,,,,,Mid-Range,16-24 Left Center,1148.0,,,,Nembhard,A. Nembhard,,,,,,,,1.0,0.0,Harden,201935.0,,,,,
55,PT05M57.00S,2024-03-26T02:53:13.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629611,13.715505913272011,53.92156862745098,1610612746,13,14,2024-03-26T02:53:17Z,540000,False,-20.0,76.0,1,left,MISS T. Mann 7' fadeaway Shot,[1629611],1610612746.0,LAC,fadeaway,,,,,,In The Paint (Non-RA),0-8 Center,,7.89,Missed,,Mann,T. Mann,,,,,,,,,,,,,,,,
56,PT05M54.00S,2024-03-26T02:53:16.7Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612754,13,14,2024-03-26T02:53:17Z,550000,False,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612754.0,IND,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,Toppin,O. Toppin,,,,55.0,1.0,1.0,0.0,,,,,,,,,
57,PT05M46.00S,2024-03-26T02:53:24.4Z,1,REGULAR,3pt,Jump Shot,[],1626167,71.53416557161628,79.41176470588235,1610612754,13,14,2024-03-26T02:53:29Z,560000,False,147.0,215.0,1,right,MISS M. Turner 26' 3PT,[1626167],1610612754.0,IND,,,,,,,Above the Break 3,24+ Right Center,,26.06,Missed,,Turner,M. Turner,,,,,,,,,,,,,,,,
58,PT05M43.00S,2024-03-26T02:53:27.4Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,13,14,2024-03-26T02:53:29Z,570000,False,,,0,,T. Mann REBOUND (Off:0 Def:2),[1629611],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Right Center,,,,,Mann,T. Mann,,,,57.0,2.0,2.0,0.0,,,,,,,,,
59,PT05M34.00S,2024-03-26T02:53:36.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,18.31471747700394,60.049019607843135,1610612746,15,14,2024-03-26T02:53:40Z,580000,False,-50.0,120.0,1,left,J. Harden 12' step back Jump Shot (4 PTS),[201935],1610612746.0,LAC,step back,,,,,,In The Paint (Non-RA),8-16 Center,,12.98,Made,4.0,Harden,J. Harden,,,,,,,,,,,,,,,,
60,PT05M24.00S,2024-03-26T02:53:48.2Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612754,15,14,2024-03-26T02:53:54Z,590000,False,,,0,,I. Zubac shooting personal FOUL (1 PF) (Turner 2 FT),"[1627826, 1626167]",1610612746.0,LAC,shooting,,,,,,Restricted Area,0-8 Center,1148.0,,,,Zubac,I. Zubac,,,,,,,,1.0,0.0,Turner,1626167.0,,,,,
62,PT05M24.00S,2024-03-26T02:54:23.4Z,1,REGULAR,freethrow,1 of 2,[],1626167,,,1610612754,15,15,2024-03-26T02:54:23Z,610000,False,,,0,,M. Turner Free Throw 1 of 2 (6 PTS),[1626167],1610612754.0,IND,,,,,,,,,,,Made,6.0,Turner,M. Turner,,,,,,,,,,,,,,,,
63,PT05M24.00S,2024-03-26T02:54:24.2Z,1,REGULAR,substitution,out,[],201935,,,1610612754,15,15,2024-03-26T02:54:43Z,620000,False,,,0,,SUB out: J. Harden,[201935],1610612746.0,LAC,,,,,,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,,,,
64,PT05M24.00S,2024-03-26T02:54:24.2Z,1,REGULAR,substitution,out,[],1629611,,,1610612754,15,15,2024-03-26T02:54:43Z,630000,False,,,0,,SUB out: T. Mann,[1629611],1610612746.0,LAC,,,,,,,,,,,,,Mann,T. Mann,,,,,,,,,,,,,,,,
65,PT05M24.00S,2024-03-26T02:54:24.2Z,1,REGULAR,substitution,out,[],1629614,,,1610612754,15,15,2024-03-26T02:54:43Z,640000,False,,,0,,SUB out: A. Nembhard,[1629614],1610612754.0,IND,,,,,,,,,,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,
66,PT05M24.00S,2024-03-26T02:54:24.2Z,1,REGULAR,substitution,out,[],1627783,,,1610612754,15,15,2024-03-26T02:54:43Z,650000,False,,,0,,SUB out: P. Siakam,[1627783],1610612754.0,IND,,,,,,,,,,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,
67,PT05M24.00S,2024-03-26T02:54:24.2Z,1,REGULAR,substitution,in,[],201566,,,1610612754,15,15,2024-03-26T02:54:43Z,660000,False,,,0,,SUB in: R. Westbrook,[201566],1610612746.0,LAC,,,,,,,,,,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,
68,PT05M24.00S,2024-03-26T02:54:24.2Z,1,REGULAR,substitution,in,[],1626181,,,1610612754,15,15,2024-03-26T02:54:43Z,670000,False,,,0,,SUB in: N. Powell,[1626181],1610612746.0,LAC,,,,,,,,,,,,,Powell,N. Powell,,,,,,,,,,,,,,,,
69,PT05M24.00S,2024-03-26T02:54:24.2Z,1,REGULAR,substitution,in,[],204456,,,1610612754,15,15,2024-03-26T02:54:43Z,680000,False,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,,,,,,,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,
70,PT05M24.00S,2024-03-26T02:54:24.2Z,1,REGULAR,substitution,in,[],203926,,,1610612754,15,15,2024-03-26T02:54:43Z,690000,False,,,0,,SUB in: D. McDermott,[203926],1610612754.0,IND,,,,,,,,,,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,
71,PT05M24.00S,2024-03-26T02:54:48.9Z,1,REGULAR,freethrow,2 of 2,[],1626167,,,1610612754,15,16,2024-03-26T02:54:48Z,700000,False,,,0,,M. Turner Free Throw 2 of 2 (7 PTS),[1626167],1610612754.0,IND,,,,,,,,,,,Made,7.0,Turner,M. Turner,,,,,,,,,,,,,,,,
73,PT05M08.00S,2024-03-26T02:55:09.1Z,1,REGULAR,3pt,Jump Shot,[],1626181,28.95860709592641,73.0392156862745,1610612746,18,16,2024-03-26T02:56:22Z,710000,False,-115.0,220.0,1,left,N. Powell 24' 3PT pullup (3 PTS) (K. Leonard 1 AST),"[1626181, 202695]",1610612746.0,LAC,pullup,,,,,,Above the Break 3,24+ Left Center,,24.81,Made,3.0,Powell,N. Powell,K. Leonard,202695.0,1.0,,,,,,,,,,,,,
75,PT04M54.00S,2024-03-26T02:55:23.4Z,1,REGULAR,3pt,Jump Shot,[],203926,72.32260183968462,19.607843137254903,1610612754,18,16,2024-03-26T02:55:26Z,730000,False,-152.0,208.0,1,right,MISS D. McDermott 25' 3PT,[203926],1610612754.0,IND,,,,,,,Above the Break 3,24+ Left Center,,25.74,Missed,,McDermott,D. McDermott,,,,,,,,,,,,,,,,
76,PT04M52.00S,2024-03-26T02:55:25.4Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,18,16,2024-03-26T02:55:26Z,740000,False,,,0,,I. Zubac REBOUND (Off:1 Def:2),[1627826],1610612746.0,LAC,,,,,,,Above the Break 3,24+ Left Center,,,,,Zubac,I. Zubac,,,,75.0,3.0,2.0,1.0,,,,,,,,,
77,PT04M47.00S,2024-03-26T02:55:30.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627826,8.065045992115643,45.09803921568627,1610612746,20,16,2024-03-26T02:56:26Z,750000,False,25.0,23.0,1,left,I. Zubac bank Jump Shot (4 PTS) (R. Westbrook 1 AST),"[1627826, 201566]",1610612746.0,LAC,bank,,,,,,Restricted Area,0-8 Center,,3.38,Made,4.0,Zubac,I. Zubac,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,
79,PT04M34.00S,2024-03-26T02:55:52.4Z,1,REGULAR,foul,personal,[],202331,,,1610612754,20,16,2024-03-26T02:56:00Z,770000,False,,,0,,P. George personal FOUL (1 PF),"[202331, 204456]",1610612746.0,LAC,,,,,,,Mid-Range,16-24 Right,201246.0,,,,George,P. George,,,,,,,,1.0,0.0,McConnell,204456.0,,,,,
81,PT04M28.00S,2024-03-26T02:56:05.9Z,1,REGULAR,foul,personal,['2freethrow'],1627826,,,1610612754,20,16,2024-03-26T02:56:10Z,790000,False,,,0,,I. Zubac shooting personal FOUL (2 PF) (Turner 2 FT),"[1627826, 1626167]",1610612746.0,LAC,shooting,,,,,,Restricted Area,0-8 Center,202037.0,,,,Zubac,I. Zubac,,,,,,,,2.0,0.0,Turner,1626167.0,,,,,
83,PT04M28.00S,2024-03-26T02:56:37.7Z,1,REGULAR,freethrow,1 of 2,[],1626167,,,1610612754,20,17,2024-03-26T02:57:12Z,810000,False,,,0,,M. Turner Free Throw 1 of 2 (8 PTS),[1626167],1610612754.0,IND,,,,,,,,,,,Made,8.0,Turner,M. Turner,,,,,,,,,,,,,,,,
84,PT04M28.00S,2024-03-26T02:56:43.2Z,1,REGULAR,substitution,out,[],1627826,,,1610612754,20,17,2024-03-26T02:56:45Z,820000,False,,,0,,SUB out: I. Zubac,[1627826],1610612746.0,LAC,,,,,,,,,,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,
86,PT04M28.00S,2024-03-26T02:56:43.2Z,1,REGULAR,substitution,in,[],1629599,,,1610612754,20,17,2024-03-26T02:57:01Z,840000,False,,,0,,SUB in: A. Coffey,[1629599],1610612746.0,LAC,,,,,,,,,,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,
87,PT04M28.00S,2024-03-26T02:56:37.7Z,1,REGULAR,freethrow,2 of 2,[],1626167,,,1610612754,20,17,2024-03-26T02:57:12Z,850000,False,,,0,,MISS M. Turner Free Throw 2 of 2,[1626167],1610612754.0,IND,,,,,,,,,,,Missed,,Turner,M. Turner,,,,,,,,,,,,,,,,
88,PT04M26.00S,2024-03-26T02:56:39.7Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612746,20,17,2024-03-26T02:57:12Z,860000,False,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612746.0,LAC,,,,,,,,,,,,,Powell,N. Powell,,,,87.0,1.0,1.0,0.0,,,,,,,,,
89,PT04M13.00S,2024-03-26T02:57:24.4Z,1,REGULAR,3pt,Jump Shot,[],1626181,33.6892247043364,67.64705882352942,1610612746,23,17,2024-03-26T02:57:28Z,870000,False,-88.0,264.0,1,left,N. Powell 27' 3PT  (6 PTS) (K. Leonard 2 AST),"[1626181, 202695]",1610612746.0,LAC,,,,,,,Above the Break 3,24+ Left Center,,27.85,Made,6.0,Powell,N. Powell,K. Leonard,202695.0,2.0,,,,,,,,,,,,,
91,PT04M08.00S,2024-03-26T02:57:31.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,23,17,2024-03-26T02:57:31Z,890000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M08.00S,2024-03-26T02:59:56.7Z,1,REGULAR,substitution,out,[],202331,,,1610612754,23,17,2024-03-26T03:00:10Z,900000,False,,,0,,SUB out: P. George,[202331],1610612746.0,LAC,,,,,,,,,,,,,George,P. George,,,,,,,,,,,,,,,,
