actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
18,PT09M46.00S,2023-12-12T03:42:31.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641871,7.539421813403408,48.28431372549019,1610612757,8,7,2023-12-12T03:42:36Z,180000,False,9.0,18.0,1,left,D. Reath Layup (2 PTS),[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,Restricted Area,0-8 Center,2.03,Made,2.0,,,,,,,,,,,,,,,,,
19,PT09M38.00S,2023-12-12T03:42:40.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,93.87319316688567,49.26470588235294,1610612746,10,7,2023-12-12T03:42:49Z,190000,False,-4.0,5.0,1,right,I. Zubac alley-oop DUNK (6 PTS) (T. Mann 1 AST),"[1627826, 1629611]",1610612746.0,LAC,alley-oop,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,0.63,Made,6.0,,,,,T. Mann,1629611.0,1.0,,,,,,,,,,
21,PT09M19.00S,2023-12-12T03:42:58.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629014,18.05190538764782,60.049019607843135,1610612757,10,7,2023-12-12T03:43:02Z,210000,False,-50.0,117.0,1,left,MISS A. Simons 12' driving Layup - blocked,"[1629014, 1627826]",1610612757.0,POR,driving,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Center,12.75,Missed,,,,,,,,,Zubac,1627826.0,,,,,,,,
22,PT09M19.00S,2023-12-12T03:42:58.0Z,1,REGULAR,block,,[],1627826,,,1610612757,10,7,2023-12-12T03:43:00Z,220000,False,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
23,PT09M16.00S,2023-12-12T03:43:01.0Z,1,REGULAR,rebound,offensive,[],1641871,,,1610612757,10,7,2023-12-12T03:43:02Z,230000,False,,,0,,D. Reath REBOUND (Off:1 Def:0),[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,In The Paint (Non-RA),8-16 Center,,,,21.0,1.0,0.0,1.0,,,,,,,,,,,,,
24,PT09M16.00S,2023-12-12T03:43:01.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641871,6.750985545335084,50.73529411764706,1610612757,10,7,2023-12-12T03:43:06Z,240000,False,-4.0,11.0,1,left,MISS D. Reath putback Layup - blocked,"[1641871, 202331]",1610612757.0,POR,putback,,,Reath,D. Reath,,,,,Restricted Area,0-8 Center,1.16,Missed,,,,,,,,,George,202331.0,,,,,,,,
25,PT09M16.00S,2023-12-12T03:43:01.9Z,1,REGULAR,block,,[],202331,,,1610612757,10,7,2023-12-12T03:43:04Z,250000,False,,,0,,P. George BLOCK (1 BLK),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT09M13.00S,2023-12-12T03:43:04.9Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,10,7,2023-12-12T03:43:06Z,260000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,
27,PT09M12.00S,2023-12-12T03:43:06.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201935,93.2161629434954,50.98039215686275,1610612746,12,7,2023-12-12T03:43:16Z,270000,False,5.0,11.0,1,right,J. Harden running Layup (2 PTS) (K. Leonard 1 AST),"[201935, 202695]",1610612746.0,LAC,running,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,1.23,Made,2.0,,,,,K. Leonard,202695.0,1.0,,,,,,,,,,
29,PT08M49.00S,2023-12-12T03:43:28.8Z,1,REGULAR,3pt,Jump Shot,[],1631101,34.21484888304862,43.38235294117647,1610612757,12,7,2023-12-12T03:43:33Z,290000,False,33.0,269.0,1,left,MISS S. Sharpe 27' 3PT,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,27.11,Missed,,,,,,,,,,,,,,,,,,
30,PT08M46.00S,2023-12-12T03:43:31.8Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,12,7,2023-12-12T03:43:33Z,300000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,
31,PT08M38.00S,2023-12-12T03:43:40.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,89.4053876478318,49.26470588235294,1610612746,12,7,2023-12-12T03:43:43Z,310000,False,-4.0,47.0,1,right,MISS I. Zubac turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,4.72,Missed,,,,,,,,,,,,,,,,,,
32,PT08M36.00S,2023-12-12T03:43:42.1Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,12,7,2023-12-12T03:43:43Z,320000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,In The Paint (Non-RA),0-8 Center,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,
33,PT08M15.00S,2023-12-12T03:44:03.1Z,1,REGULAR,3pt,Jump Shot,[],1641871,7.670827858081481,96.56862745098039,1610612757,12,7,2023-12-12T03:44:07Z,330000,False,-233.0,20.0,1,left,MISS D. Reath 3PT,[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,Left Corner 3,24+ Left,23.36,Missed,,,,,,,,,,,,,,,,,,
34,PT08M12.00S,2023-12-12T03:44:06.1Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,12,7,2023-12-12T03:44:07Z,340000,False,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Left Corner 3,24+ Left,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,
35,PT08M07.00S,2023-12-12T03:44:11.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,92.82194480946123,50.245098039215684,1610612746,14,7,2023-12-12T03:44:23Z,350000,False,1.0,15.0,1,right,I. Zubac cutting DUNK (8 PTS) (T. Mann 2 AST),"[1627826, 1629611]",1610612746.0,LAC,cutting,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,1.5,Made,8.0,,,,,T. Mann,1629611.0,2.0,,,,,,,,,,
37,PT08M06.00S,2023-12-12T03:44:18.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,14,7,2023-12-12T03:44:18Z,370000,False,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT07M43.00S,2023-12-12T03:47:36.3Z,1,REGULAR,turnover,out-of-bounds,[],1641739,,,1610612757,14,7,2023-12-12T03:47:41Z,380000,False,,,0,,T. Camara bad pass out-of-bounds TURNOVER (1 TO),[1641739],1610612757.0,POR,bad pass,,,Camara,T. Camara,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,1628951.0,1.0,,,,,,
39,PT07M28.00S,2023-12-12T03:47:55.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629611,88.87976346911958,97.05882352941177,1610612746,17,7,2023-12-12T03:47:59Z,390000,False,235.0,52.0,1,right,T. Mann 24' 3PT  (3 PTS) (P. George 2 AST),"[1629611, 202331]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,Right Corner 3,24+ Right,24.1,Made,3.0,,,,,P. George,202331.0,2.0,,,,,,,,,,
41,PT07M17.00S,2023-12-12T03:48:06.0Z,1,REGULAR,turnover,lost ball,[],1631101,,,1610612757,17,7,2023-12-12T03:49:21Z,410000,False,,,0,,S. Sharpe lost ball TURNOVER (1 TO),"[1631101, 201935]",1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,1.0,Harden,201935.0,,,,
42,PT07M17.00S,2023-12-12T03:48:06.0Z,1,REGULAR,steal,,[],201935,,,1610612746,17,7,2023-12-12T03:48:08Z,420000,False,,,0,,J. Harden STEAL (1 STL),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
43,PT07M12.00S,2023-12-12T03:48:11.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202695,92.16491458607096,48.529411764705884,1610612746,19,7,2023-12-12T03:48:40Z,430000,False,-7.0,21.0,1,right,K. Leonard running finger roll Layup (4 PTS) (P. George 3 AST),"[202695, 202331]",1610612746.0,LAC,running finger roll,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,2.24,Made,4.0,,,,,P. George,202331.0,3.0,,,,,,,,,,
46,PT06M58.00S,2023-12-12T03:48:30.2Z,1,REGULAR,substitution,out,[],201935,,,1610612757,19,7,2023-12-12T03:48:45Z,460000,False,,,0,,SUB out: J. Harden,[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT06M58.00S,2023-12-12T03:48:30.2Z,1,REGULAR,substitution,out,[],1641871,,,1610612757,19,7,2023-12-12T03:48:45Z,470000,False,,,0,,SUB out: D. Reath,[1641871],1610612757.0,POR,,,,Reath,D. Reath,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT06M58.00S,2023-12-12T03:48:30.2Z,1,REGULAR,substitution,out,[],1629014,,,1610612757,19,7,2023-12-12T03:48:45Z,480000,False,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT06M58.00S,2023-12-12T03:48:30.2Z,1,REGULAR,substitution,in,[],201566,,,1610612757,19,7,2023-12-12T03:48:45Z,490000,False,,,0,,SUB in: R. Westbrook,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT06M58.00S,2023-12-12T03:48:30.2Z,1,REGULAR,substitution,in,[],1630703,,,1610612757,19,7,2023-12-12T03:48:45Z,500000,False,,,0,,SUB in: S. Henderson,[1630703],1610612757.0,POR,,,,Henderson,S. Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M58.00S,2023-12-12T03:48:30.2Z,1,REGULAR,substitution,in,[],1631133,,,1610612757,19,7,2023-12-12T03:48:45Z,510000,False,,,0,,SUB in: J. Walker,[1631133],1610612757.0,POR,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M54.00S,2023-12-12T03:48:50.0Z,1,REGULAR,3pt,Jump Shot,[],1631101,14.635348226018394,96.81372549019608,1610612757,19,7,2023-12-12T03:48:55Z,520000,False,-234.0,85.0,1,left,MISS S. Sharpe 24' 3PT,[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Left Corner 3,24+ Left,24.91,Missed,,,,,,,,,,,,,,,,,,
53,PT06M54.00S,2023-12-12T03:48:50.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,19,7,2023-12-12T03:48:55Z,530000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Left Corner 3,24+ Left,,,,52.0,,,,,,,,,,,,,,,,
54,PT06M54.00S,2023-12-12T03:48:56.6Z,1,REGULAR,foul,personal,[],1630703,,,1610612746,19,7,2023-12-12T03:49:03Z,540000,False,,,0,,S. Henderson loose ball personal FOUL (1 PF),"[1630703, 1627826]",1610612757.0,POR,loose ball,,,Henderson,S. Henderson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2534.0,,,,1.0,0.0,Zubac,1627826.0
56,PT06M40.00S,2023-12-12T03:49:20.3Z,1,REGULAR,turnover,lost ball,[],201566,,,1610612746,19,7,2023-12-12T03:49:25Z,560000,False,,,0,,R. Westbrook lost ball TURNOVER (1 TO),"[201566, 1631133]",1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1.0,Walker,1631133.0,,,,
57,PT06M40.00S,2023-12-12T03:49:20.3Z,1,REGULAR,steal,,[],1631133,,,1610612757,19,7,2023-12-12T03:49:23Z,570000,False,,,0,,J. Walker STEAL (1 STL),[1631133],1610612757.0,POR,,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT06M35.00S,2023-12-12T03:49:24.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629680,26.72470433639947,86.51960784313725,1610612757,19,7,2023-12-12T03:49:34Z,580000,False,-183.0,199.0,1,left,MISS M. Thybulle 26' running pullup 3PT,[1629680],1610612757.0,POR,running pullup,,,Thybulle,M. Thybulle,,,,,Above the Break 3,24+ Left Center,26.99,Missed,,,,,,,,,,,,,,,,,,
59,PT06M30.00S,2023-12-12T03:49:29.5Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,19,7,2023-12-12T03:49:34Z,590000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Left Center,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,
60,PT06M21.00S,2023-12-12T03:49:39.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627826,92.55913272010513,59.80392156862745,1610612746,21,7,2023-12-12T03:49:46Z,600000,False,49.0,17.0,1,right,I. Zubac floating Jump Shot (10 PTS) (T. Mann 3 AST),"[1627826, 1629611]",1610612746.0,LAC,floating,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,5.2,Made,10.0,,,,,T. Mann,1629611.0,3.0,,,,,,,,,,
62,PT06M14.00S,2023-12-12T03:49:50.0Z,1,REGULAR,foul,personal,[],1629611,,,1610612757,21,7,2023-12-12T03:49:55Z,620000,False,,,0,,T. Mann personal FOUL (1 PF),"[1629611, 1641739]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1627962.0,,,,1.0,0.0,Camara,1641739.0
64,PT06M05.00S,2023-12-12T03:50:13.9Z,1,REGULAR,2pt,Jump Shot,[],1631101,11.218791064388967,14.705882352941174,1610612757,21,9,2023-12-12T03:50:17Z,640000,False,176.0,53.0,1,left,S. Sharpe 18' pullup Jump Shot (7 PTS) (S. Henderson 1 AST),"[1631101, 1630703]",1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Right,18.43,Made,7.0,,,,,S. Henderson,1630703.0,1.0,,,,,,,,,,
66,PT05M54.00S,2023-12-12T03:50:25.6Z,1,REGULAR,3pt,Jump Shot,[],202331,69.82588699080158,78.43137254901961,1610612746,21,9,2023-12-12T03:52:45Z,660000,False,142.0,231.0,1,right,MISS P. George 27' pullup 3PT,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Above the Break 3,24+ Right Center,27.13,Missed,,,,,,,,,,,,,,,,,,
67,PT05M51.00S,2023-12-12T03:50:28.6Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,21,9,2023-12-12T03:50:55Z,670000,False,,,0,,T. Camara REBOUND (Off:0 Def:2),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,,,66.0,2.0,2.0,0.0,,,,,,,,,,,,,
68,PT05M44.00S,2023-12-12T03:50:35.1Z,1,REGULAR,2pt,Jump Shot,[],1630703,23.04533508541394,58.088235294117645,1610612757,21,11,2023-12-12T03:50:46Z,680000,False,-40.0,164.0,1,left,S. Henderson 16' pullup Jump Shot (2 PTS) (T. Camara 1 AST),"[1630703, 1641739]",1610612757.0,POR,pullup,,,Henderson,S. Henderson,,,,,Mid-Range,16-24 Center,16.9,Made,2.0,,,,,T. Camara,1641739.0,1.0,,,,,,,,,,
70,PT05M29.00S,2023-12-12T03:50:56.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,94.79303547963207,46.81372549019608,1610612746,21,11,2023-12-12T03:51:03Z,700000,False,-16.0,-4.0,1,right,MISS R. Westbrook Layup,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,1.63,Missed,,,,,,,,,,,,,,,,,,
71,PT05M26.00S,2023-12-12T03:50:59.6Z,1,REGULAR,rebound,offensive,[],201566,,,1610612746,21,11,2023-12-12T03:51:03Z,710000,False,,,0,,R. Westbrook REBOUND (Off:1 Def:0),[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,,,,70.0,1.0,0.0,1.0,,,,,,,,,,,,,
72,PT05M25.00S,2023-12-12T03:51:00.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201566,94.3988173455979,51.22549019607843,1610612746,23,11,2023-12-12T03:51:08Z,720000,False,6.0,0.0,1,right,R. Westbrook putback Layup (2 PTS),[201566],1610612746.0,LAC,putback,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,0.61,Made,2.0,,,,,,,,,,,,,,,,,
73,PT05M09.00S,2023-12-12T03:51:17.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629680,8.590670170827863,50.0,1610612757,23,13,2023-12-12T03:51:20Z,730000,False,0.0,28.0,1,left,M. Thybulle driving finger roll Layup (2 PTS) (T. Camara 2 AST),"[1629680, 1641739]",1610612757.0,POR,driving finger roll,,,Thybulle,M. Thybulle,,,,,Restricted Area,0-8 Center,2.83,Made,2.0,,,,,T. Camara,1641739.0,2.0,,,,,,,,,,
75,PT04M53.00S,2023-12-12T03:51:32.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629611,93.47897503285151,47.549019607843135,1610612746,25,13,2023-12-12T03:51:37Z,750000,False,-12.0,9.0,1,right,T. Mann driving reverse Layup (5 PTS) (R. Westbrook 1 AST),"[1629611, 201566]",1610612746.0,LAC,driving reverse,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,1.51,Made,5.0,,,,,R. Westbrook,201566.0,1.0,,,,,,,,,,
77,PT04M42.00S,2023-12-12T03:51:44.2Z,1,REGULAR,2pt,Jump Shot,[],1631101,21.59986859395532,35.5392156862745,1610612757,25,15,2023-12-12T03:51:49Z,770000,False,72.0,151.0,1,left,S. Sharpe 16' fadeaway Jump Shot (9 PTS) (S. Henderson 2 AST),"[1631101, 1630703]",1610612757.0,POR,fadeaway,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Right Center,16.7,Made,9.0,,,,,S. Henderson,1630703.0,2.0,,,,,,,,,,
79,PT04M30.00S,2023-12-12T03:51:55.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202331,84.54336399474376,52.69607843137255,1610612746,25,15,2023-12-12T03:52:02Z,790000,False,13.0,93.0,1,right,MISS P. George 9' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,9.38,Missed,,,,,,,,,,,,,,,,,,
80,PT04M26.00S,2023-12-12T03:51:59.7Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,25,15,2023-12-12T03:52:02Z,800000,False,,,0,,I. Zubac REBOUND (Off:1 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,,,,79.0,2.0,1.0,1.0,,,,,,,,,,,,,
81,PT04M26.00S,2023-12-12T03:51:59.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627826,94.40999984741211,50.0,1610612746,27,15,2023-12-12T03:52:04Z,810000,False,0.0,0.0,1,right,I. Zubac tip Layup (12 PTS),[1627826],1610612746.0,LAC,tip,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,0.0,Made,12.0,,,,,,,,,,,,,,,,,
82,PT04M18.00S,2023-12-12T03:52:07.1Z,1,REGULAR,3pt,Jump Shot,[],1630703,32.50657030223391,28.186274509803923,1610612757,27,18,2023-12-12T03:52:15Z,820000,False,109.0,253.0,1,left,S. Henderson 27' 3PT pullup (5 PTS),[1630703],1610612757.0,POR,pullup,,,Henderson,S. Henderson,,,,,Above the Break 3,24+ Right Center,27.56,Made,5.0,,,,,,,,,,,,,,,,,
83,PT04M18.00S,2023-12-12T03:52:12.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,27,18,2023-12-12T03:52:12Z,830000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M18.00S,2023-12-12T03:54:46.6Z,1,REGULAR,substitution,out,[],1629680,,,1610612746,27,18,2023-12-12T03:55:20Z,840000,False,,,0,,SUB out: M. Thybulle,[1629680],1610612757.0,POR,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M18.00S,2023-12-12T03:54:46.6Z,1,REGULAR,substitution,in,[],1629650,,,1610612746,27,18,2023-12-12T03:55:20Z,850000,False,,,0,,SUB in: M. Brown,[1629650],1610612757.0,POR,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT03M57.00S,2023-12-12T03:55:26.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,92.0335085413929,45.34313725490197,1610612746,27,18,2023-12-12T03:55:33Z,860000,False,-23.0,22.0,1,right,MISS I. Zubac reverse Layup,[1627826],1610612746.0,LAC,reverse,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,3.23,Missed,,,,,,,,,,,,,,,,,,
