actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
17,PT10M20.00S,2024-04-11T02:43:03.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630538,93.2161629434954,43.627450980392155,1610612746,2,2,2024-04-11T02:43:14Z,170000,False,-32.0,11.0,1,right,MISS B. Hyland driving reverse Layup,[1630538],1610612746.0,LAC,driving reverse,,,Hyland,B. Hyland,,,,,Restricted Area,0-8 Center,,,,,,,,,Missed,,3.38,,,,,,,,,
18,PT10M18.00S,2024-04-11T02:43:05.3Z,1,REGULAR,rebound,offensive,[],200782,,,1610612746,2,2,2024-04-11T02:43:07Z,180000,False,,,0,,P. Tucker REBOUND (Off:1 Def:0),[200782],1610612746.0,LAC,,,,Tucker,P. Tucker,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,17.0,1.0,0.0,1.0,,
19,PT10M16.00S,2024-04-11T02:43:06.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",200782,93.34756898817345,48.529411764705884,1610612746,4,2,2024-04-11T02:43:10Z,190000,False,-7.0,10.0,1,right,P. Tucker putback Layup (2 PTS),[200782],1610612746.0,LAC,putback,,,Tucker,P. Tucker,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,2.0,1.24,,,,,,,,,
20,PT10M03.00S,2024-04-11T02:43:19.7Z,1,REGULAR,3pt,Jump Shot,[],1626164,25.936268068331145,86.27450980392157,1610612756,4,2,2024-04-11T02:44:13Z,200000,False,-181.0,191.0,1,left,MISS D. Booker 26' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Missed,,26.36,,,,,,,,,
21,PT10M02.00S,2024-04-11T02:43:21.5Z,1,REGULAR,rebound,offensive,[],1626220,,,1610612756,4,2,2024-04-11T02:43:21Z,210000,False,,,0,,R. O'Neale REBOUND (Off:1 Def:0),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,20.0,1.0,0.0,1.0,,
22,PT10M01.00S,2024-04-11T02:43:23.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201142,33.55781865965835,29.65686274509804,1610612756,4,2,2024-04-11T02:43:26Z,220000,False,102.0,263.0,1,left,MISS K. Durant 28' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,,,,,,,,,Missed,,28.19,,,,,,,,,
23,PT09M58.00S,2024-04-11T02:43:26.1Z,1,REGULAR,rebound,defensive,[],1629599,,,1610612746,4,2,2024-04-11T02:43:26Z,230000,False,,,0,,A. Coffey REBOUND (Off:0 Def:1),[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,
24,PT09M56.00S,2024-04-11T02:43:28.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629611,90.32522996057818,50.49019607843137,1610612746,6,2,2024-04-11T02:43:37Z,240000,False,2.0,38.0,1,right,T. Mann running Layup (2 PTS) (B. Hyland 1 AST),"[1629611, 1630538]",1610612746.0,LAC,running,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,2.0,3.85,B. Hyland,1630538.0,1.0,,,,,,
26,PT09M56.00S,2024-04-11T02:43:35.0Z,1,REGULAR,foul,personal,['1freethrow'],203078,,,1610612746,6,2,2024-04-11T02:43:43Z,260000,False,,,0,,B. Beal shooting personal FOUL (1 PF) (Mann 1 FT),"[203078, 1629611]",1610612756.0,PHX,shooting,,,Beal,B. Beal,,,,,In The Paint (Non-RA),0-8 Center,2714.0,,,,1.0,0.0,Mann,1629611.0,,,,,,,,,,,,
28,PT09M56.00S,2024-04-11T02:43:58.5Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1629611,,,1610612746,7,2,2024-04-11T02:43:58Z,280000,False,,,0,,T. Mann Free Throw 1 of 1 (3 PTS),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,Made,3.0,,,,,,,,,,
30,PT09M40.00S,2024-04-11T02:44:28.9Z,1,REGULAR,3pt,Jump Shot,[],1626164,33.6892247043364,51.22549019607843,1610612756,7,2,2024-04-11T02:44:38Z,300000,False,-6.0,264.0,1,left,MISS D. Booker 26' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,,,,,,,,,Missed,,26.43,,,,,,,,,
31,PT09M37.00S,2024-04-11T02:44:31.9Z,1,REGULAR,rebound,defensive,[],1630538,,,1610612746,7,2,2024-04-11T02:44:38Z,310000,False,,,0,,B. Hyland REBOUND (Off:0 Def:1),[1630538],1610612746.0,LAC,,,,Hyland,B. Hyland,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,
32,PT09M20.00S,2024-04-11T02:44:48.0Z,1,REGULAR,2pt,Jump Shot,[],200782,91.37647831800263,8.82352941176471,1610612746,7,2,2024-04-11T02:44:53Z,320000,False,-206.0,29.0,1,right,MISS P. Tucker 20' Jump Shot,[200782],1610612746.0,LAC,,,,Tucker,P. Tucker,,,,,Mid-Range,16-24 Left,,,,,,,,,Missed,,20.79,,,,,,,,,
33,PT09M18.00S,2024-04-11T02:44:50.0Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,7,2,2024-04-11T02:44:53Z,330000,False,,,0,,R. O'Neale REBOUND (Off:1 Def:1),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,32.0,2.0,1.0,1.0,,
34,PT09M11.00S,2024-04-11T02:44:57.1Z,1,REGULAR,3pt,Jump Shot,[],201142,29.48423127463863,28.431372549019613,1610612756,7,2,2024-04-11T02:45:01Z,340000,False,108.0,225.0,1,left,MISS K. Durant 24' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Right Center,,,,,,,,,Missed,,24.92,,,,,,,,,
35,PT09M08.00S,2024-04-11T02:45:00.1Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,7,2,2024-04-11T02:45:01Z,350000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,
36,PT08M51.00S,2024-04-11T02:45:17.4Z,1,REGULAR,3pt,Jump Shot,[],1630538,73.37385019710908,88.48039215686275,1610612746,10,2,2024-04-11T02:45:23Z,360000,False,192.0,198.0,1,right,B. Hyland 27' 3PT pullup (5 PTS),[1630538],1610612746.0,LAC,pullup,,,Hyland,B. Hyland,,,,,Above the Break 3,24+ Right Center,,,,,,,,,Made,5.0,27.59,,,,,,,,,
37,PT08M50.00S,2024-04-11T02:45:26.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,10,2,2024-04-11T02:45:26Z,370000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M34.00S,2024-04-11T02:48:29.2Z,1,REGULAR,2pt,Jump Shot,[],201142,8.590670170827863,66.17647058823529,1610612756,10,4,2024-04-11T02:48:33Z,380000,False,-81.0,28.0,1,left,K. Durant 8' turnaround fadeaway Jump Shot (2 PTS),[201142],1610612756.0,PHX,turnaround fadeaway,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,,,,,,,,,Made,2.0,8.57,,,,,,,,,
39,PT08M12.00S,2024-04-11T02:48:50.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630538,89.6681997371879,54.411764705882355,1610612746,12,4,2024-04-11T02:48:59Z,390000,False,22.0,45.0,1,right,B. Hyland driving Layup (7 PTS) (P. Tucker 1 AST),"[1630538, 200782]",1610612746.0,LAC,driving,,,Hyland,B. Hyland,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Made,7.0,4.98,P. Tucker,200782.0,1.0,,,,,,
41,PT07M54.00S,2024-04-11T02:49:07.7Z,1,REGULAR,3pt,Jump Shot,[],1626164,30.535479632063073,72.79411764705883,1610612756,12,7,2024-04-11T02:49:39Z,410000,False,-114.0,235.0,1,left,D. Booker 26' 3PT pullup (3 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Made,3.0,26.07,,,,,,,,,
42,PT07M32.00S,2024-04-11T02:49:30.6Z,1,REGULAR,turnover,lost ball,[],1630538,,,1610612746,12,7,2024-04-11T02:49:34Z,420000,False,,,0,,B. Hyland lost ball TURNOVER (1 TO),"[1630538, 1626220]",1610612746.0,LAC,,,,Hyland,B. Hyland,,,,,Above the Break 3,24+ Left Center,,1.0,O'Neale,1626220.0,,,,,,,,,,,,,,,,
43,PT07M32.00S,2024-04-11T02:49:30.6Z,1,REGULAR,steal,,[],1626220,,,1610612756,12,7,2024-04-11T02:49:32Z,430000,False,,,0,,R. O'Neale STEAL (2 STL),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
44,PT07M28.00S,2024-04-11T02:49:34.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1626220,9.247700394218143,50.98039215686275,1610612756,12,9,2024-04-11T02:50:20Z,440000,False,-5.0,34.0,1,left,R. O'Neale running finger roll Layup (2 PTS),[1626220],1610612756.0,PHX,running finger roll,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,2.0,3.47,,,,,,,,,
45,PT07M17.00S,2024-04-11T02:49:45.4Z,1,REGULAR,3pt,Jump Shot,[],1630538,66.67214191852825,61.76470588235294,1610612746,15,9,2024-04-11T02:49:50Z,450000,False,59.0,261.0,1,right,B. Hyland 26' 3PT step back (10 PTS),[1630538],1610612746.0,LAC,step back,,,Hyland,B. Hyland,,,,,Above the Break 3,24+ Center,,,,,,,,,Made,10.0,26.73,,,,,,,,,
46,PT07M06.00S,2024-04-11T02:49:58.3Z,1,REGULAR,foul,personal,['2freethrow'],1629599,,,1610612756,15,9,2024-04-11T02:50:06Z,460000,False,,,0,,A. Coffey shooting personal FOUL (1 PF) (Nurkic 2 FT),"[1629599, 203994]",1610612746.0,LAC,shooting,,,Coffey,A. Coffey,,,,,Restricted Area,0-8 Center,202007.0,,,,1.0,0.0,Nurkic,203994.0,,,,,,,,,,,,
48,PT07M06.00S,2024-04-11T02:50:18.9Z,1,REGULAR,freethrow,1 of 2,[],203994,,,1610612756,15,9,2024-04-11T02:50:18Z,480000,False,,,0,,MISS J. Nurkic Free Throw 1 of 2,[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,Missed,,,,,,,,,,,
49,PT07M06.00S,2024-04-11T02:50:18.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,15,9,2024-04-11T02:50:18Z,490000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,
50,PT07M06.00S,2024-04-11T02:50:30.9Z,1,REGULAR,freethrow,2 of 2,[],203994,,,1610612756,15,10,2024-04-11T02:50:30Z,500000,False,,,0,,J. Nurkic Free Throw 2 of 2 (1 PTS),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,Made,1.0,,,,,,,,,,
51,PT06M54.00S,2024-04-11T02:50:47.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203486,91.50788436268068,49.26470588235294,1610612746,15,10,2024-04-11T02:50:53Z,510000,False,-4.0,27.0,1,right,MISS M. Plumlee driving Hook,[203486],1610612746.0,LAC,driving,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,,,,Missed,,2.75,,,,,,,,,
52,PT06M52.00S,2024-04-11T02:50:49.4Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,15,10,2024-04-11T02:50:53Z,520000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,51.0,1.0,1.0,0.0,,
53,PT06M52.00S,2024-04-11T02:50:53.0Z,1,REGULAR,foul,personal,[],203486,,,1610612756,15,10,2024-04-11T02:51:02Z,530000,False,,,0,,M. Plumlee personal FOUL (1 PF),"[203486, 203994]",1610612746.0,LAC,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,202007.0,,,,1.0,0.0,Nurkic,203994.0,,,,,,,,,,,,
55,PT06M43.00S,2024-04-11T02:51:13.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626164,10.036136662286467,51.470588235294116,1610612756,15,12,2024-04-11T02:51:16Z,550000,False,-7.0,42.0,1,left,D. Booker driving DUNK (5 PTS),[1626164],1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,5.0,4.24,,,,,,,,,
56,PT06M25.00S,2024-04-11T02:51:30.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629599,90.06241787122208,43.872549019607845,1610612746,15,12,2024-04-11T02:51:37Z,560000,False,-31.0,41.0,1,right,MISS A. Coffey driving bank Shot,[1629599],1610612746.0,LAC,driving bank,,,Coffey,A. Coffey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Missed,,5.11,,,,,,,,,
57,PT06M23.00S,2024-04-11T02:51:32.1Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,15,12,2024-04-11T02:51:37Z,570000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,56.0,2.0,2.0,0.0,,
58,PT06M18.00S,2024-04-11T02:51:37.6Z,1,REGULAR,3pt,Jump Shot,[],1626220,7.670827858081481,96.56862745098039,1610612756,15,12,2024-04-11T02:51:51Z,580000,False,-233.0,20.0,1,left,MISS R. O'Neale 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Left Corner 3,24+ Left,,,,,,,,,Missed,,23.36,,,,,,,,,
59,PT06M14.00S,2024-04-11T02:51:41.6Z,1,REGULAR,rebound,offensive,[],1626220,,,1610612756,15,12,2024-04-11T02:51:51Z,590000,False,,,0,,R. O'Neale REBOUND (Off:2 Def:1),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,58.0,3.0,1.0,2.0,,
60,PT06M11.00S,2024-04-11T02:51:44.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626220,11.875821287779246,97.30392156862744,1610612756,15,12,2024-04-11T02:51:53Z,600000,False,-237.0,59.0,1,left,MISS R. O'Neale 24' 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Left Corner 3,24+ Left,,,,,,,,,Missed,,24.38,,,,,,,,,
61,PT06M10.00S,2024-04-11T02:51:45.8Z,1,REGULAR,rebound,offensive,[],1626164,,,1610612756,15,12,2024-04-11T02:51:45Z,610000,False,,,0,,D. Booker REBOUND (Off:1 Def:0),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,60.0,1.0,0.0,1.0,,
62,PT06M08.00S,2024-04-11T02:51:47.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626164,14.109724047306173,4.656862745098039,1610612756,15,15,2024-04-11T02:51:55Z,620000,False,227.0,80.0,1,left,D. Booker 24' 3PT  (8 PTS) (K. Durant 1 AST),"[1626164, 201142]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Right Corner 3,24+ Right,,,,,,,,,Made,8.0,24.04,K. Durant,201142.0,1.0,,,,,,
64,PT05M54.00S,2024-04-11T02:52:01.6Z,1,REGULAR,3pt,Jump Shot,[],1629611,67.7233902759527,73.52941176470588,1610612746,15,15,2024-04-11T02:52:06Z,640000,False,118.0,251.0,1,right,MISS T. Mann 27' 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,,,,,,,,,Missed,,27.71,,,,,,,,,
65,PT05M50.00S,2024-04-11T02:52:05.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,15,15,2024-04-11T02:52:06Z,650000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:3),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,64.0,3.0,3.0,0.0,,
66,PT05M42.00S,2024-04-11T02:52:13.0Z,1,REGULAR,2pt,Jump Shot,[],201142,12.13863337713535,30.637254901960787,1610612756,15,15,2024-04-11T02:52:17Z,660000,False,97.0,62.0,1,left,MISS K. Durant 11' pullup Shot,[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Mid-Range,8-16 Right,,,,,,,,,Missed,,11.47,,,,,,,,,
67,PT05M40.00S,2024-04-11T02:52:15.0Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,15,15,2024-04-11T02:52:17Z,670000,False,,,0,,T. Mann REBOUND (Off:0 Def:2),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,66.0,2.0,2.0,0.0,,
68,PT05M35.00S,2024-04-11T02:52:20.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629611,92.82194480946123,43.872549019607845,1610612746,15,15,2024-04-11T02:54:11Z,680000,False,-31.0,15.0,1,right,MISS T. Mann running pullup Shot,[1629611],1610612746.0,LAC,running pullup,,,Mann,T. Mann,,,,,Restricted Area,0-8 Center,,,,,,,,,Missed,,3.41,,,,,,,,,
69,PT05M33.00S,2024-04-11T02:52:22.8Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,15,15,2024-04-11T02:52:27Z,690000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:4),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,68.0,4.0,4.0,0.0,,
70,PT05M27.00S,2024-04-11T02:52:28.6Z,1,REGULAR,3pt,Jump Shot,[],1626164,29.352825229960573,77.94117647058823,1610612756,15,18,2024-04-11T02:53:08Z,700000,False,-140.0,223.0,1,left,D. Booker 26' 3PT step back (11 PTS),[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,,,,Made,11.0,26.35,,,,,,,,,
71,PT05M27.00S,2024-04-11T02:52:39.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,15,18,2024-04-11T02:52:39Z,710000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M27.00S,2024-04-11T02:55:07.0Z,1,REGULAR,substitution,out,[],1629599,,,1610612746,15,18,2024-04-11T02:55:33Z,720000,False,,,0,,SUB out: A. Coffey,[1629599],1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M27.00S,2024-04-11T02:55:07.0Z,1,REGULAR,substitution,out,[],203486,,,1610612746,15,18,2024-04-11T02:55:33Z,730000,False,,,0,,SUB out: M. Plumlee,[203486],1610612746.0,LAC,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M27.00S,2024-04-11T02:55:07.0Z,1,REGULAR,substitution,out,[],203078,,,1610612746,15,18,2024-04-11T02:55:33Z,740000,False,,,0,,SUB out: B. Beal,[203078],1610612756.0,PHX,,,,Beal,B. Beal,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M27.00S,2024-04-11T02:55:07.0Z,1,REGULAR,substitution,out,[],1626220,,,1610612746,15,18,2024-04-11T02:55:33Z,750000,False,,,0,,SUB out: R. O'Neale,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M27.00S,2024-04-11T02:55:07.0Z,1,REGULAR,substitution,in,[],1630527,,,1610612746,15,18,2024-04-11T02:55:33Z,760000,False,,,0,,SUB in: B. Boston Jr.,[1630527],1610612746.0,LAC,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M27.00S,2024-04-11T02:55:07.0Z,1,REGULAR,substitution,in,[],1628464,,,1610612746,15,18,2024-04-11T02:55:33Z,770000,False,,,0,,SUB in: D. Theis,[1628464],1610612746.0,LAC,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M27.00S,2024-04-11T02:55:07.0Z,1,REGULAR,substitution,in,[],1628960,,,1610612746,15,18,2024-04-11T02:55:33Z,780000,False,,,0,,SUB in: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M27.00S,2024-04-11T02:55:07.0Z,1,REGULAR,substitution,in,[],201569,,,1610612746,15,18,2024-04-11T02:55:33Z,790000,False,,,0,,SUB in: E. Gordon,[201569],1610612756.0,PHX,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M02.00S,2024-04-11T02:55:54.9Z,1,REGULAR,2pt,Jump Shot,[],1630527,91.24507227332458,24.509803921568633,1610612746,17,18,2024-04-11T02:55:58Z,800000,False,-127.0,30.0,1,right,B. Boston Jr. 13' step back Jump Shot (2 PTS) (B. Hyland 2 AST),"[1630527, 1630538]",1610612746.0,LAC,step back,,,Boston Jr.,B. Boston Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,Made,2.0,13.09,B. Hyland,1630538.0,2.0,,,,,,
