actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
37,PT08M34.00S,2023-03-11T01:17:01.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,6.258212877792378,48.28431372549019,1610612748,10,7,2023-03-11T01:17:18Z,370000,False,9.0,6.0,1,left,J. Butler Layup (4 PTS) (B. Adebayo 1 AST),"[202710, 1628389]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,1.07,Made,4.0,,B. Adebayo,1628389.0,1.0,,,,,,,,,,
39,PT08M07.00S,2023-03-11T01:17:29.1Z,1,REGULAR,3pt,Jump Shot,[],1627747,73.27529566360053,79.16666666666666,1610612739,10,7,2023-03-11T01:17:41Z,390000,False,146.0,199.0,1,right,MISS C. LeVert 24' 3PT,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Right Center,,,,24.65,Missed,,,,,,,,,,,,,,,
40,PT08M04.00S,2023-03-11T01:17:32.1Z,1,REGULAR,rebound,defensive,[],201567,,,1610612748,10,7,2023-03-11T01:17:41Z,400000,False,,,0,,K. Love REBOUND (Off:0 Def:2),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,39.0,,,,,2.0,2.0,0.0,,
41,PT08M00.00S,2023-03-11T01:17:38.9Z,1,REGULAR,foul,personal,[],1628378,,,1610612748,10,7,2023-03-11T01:17:55Z,410000,False,,,0,,D. Mitchell personal FOUL (1 PF),"[1628378, 1628389]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,202026.0,,,,,1.0,0.0,Adebayo,1628389.0,,,,,
43,PT07M43.00S,2023-03-11T01:18:18.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,6.176084099868594,35.57368259803921,1610612748,10,7,2023-03-11T01:18:54Z,430000,False,72.0,6.0,1,left,MISS B. Adebayo 7' turnaround fadeaway Shot,[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,7.23,Missed,,,,,,,,,,,,,,,
44,PT07M41.00S,2023-03-11T01:18:20.9Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,10,7,2023-03-11T01:18:25Z,440000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:2),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Right,,,,,,,,,,,43.0,,,,,2.0,2.0,0.0,,
45,PT07M34.00S,2023-03-11T01:18:27.1Z,1,REGULAR,3pt,Jump Shot,[],1628378,71.43561103810775,17.892156862745097,1610612739,10,10,2023-03-11T01:18:51Z,450000,False,-161.0,216.0,1,right,D. Mitchell 26' 3PT pullup (8 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,,,26.91,Made,8.0,,,,,,,,,,,,,,
46,PT07M17.00S,2023-03-11T01:18:43.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629216,8.14717477003942,41.57475490196079,1610612748,12,10,2023-03-11T01:19:02Z,460000,False,42.0,24.0,1,left,G. Vincent driving Layup (2 PTS) (J. Butler 1 AST),"[1629216, 202710]",1610612748.0,MIA,driving,,,Vincent,G. Vincent,,,,,In The Paint (Non-RA),0-8 Center,,,,4.85,Made,2.0,,J. Butler,202710.0,1.0,,,,,,,,,,
48,PT07M02.00S,2023-03-11T01:18:58.9Z,1,REGULAR,3pt,Jump Shot,[],1630596,94.43166885676742,97.54901960784314,1610612739,12,13,2023-03-11T01:19:09Z,480000,False,238.0,0.0,1,right,E. Mobley 3PT  (3 PTS) (J. Allen 2 AST),"[1630596, 1628386]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Right Corner 3,24+ Right,,,,23.77,Made,3.0,,J. Allen,1628386.0,2.0,,,,,,,,,,
50,PT06M44.00S,2023-03-11T01:19:17.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,9.806176084099869,49.50980392156863,1610612748,12,13,2023-03-11T01:22:09Z,500000,False,2.0,40.0,1,left,MISS T. Herro turnaround Shot - blocked,"[1629639, 1628386]",1610612748.0,MIA,turnaround,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,3.98,Missed,,,,,,,,,,,,,,Allen,1628386.0
51,PT06M44.00S,2023-03-11T01:19:17.0Z,1,REGULAR,block,,[],1628386,,,1610612748,12,13,2023-03-11T01:19:19Z,510000,False,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
52,PT06M40.00S,2023-03-11T01:19:21.0Z,1,REGULAR,rebound,offensive,[],201567,,,1610612748,12,13,2023-03-11T01:19:24Z,520000,False,,,0,,K. Love REBOUND (Off:1 Def:2),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Restricted Area,0-8 Center,,,,,,,,,,,50.0,,,,,3.0,2.0,1.0,,
53,PT06M39.00S,2023-03-11T01:19:22.1Z,1,REGULAR,turnover,bad pass,[],201567,,,1610612748,12,13,2023-03-11T01:19:35Z,530000,False,,,0,,K. Love bad pass TURNOVER (1 TO),"[201567, 1630171]",1610612748.0,MIA,,,,Love,K. Love,,,,,In The Paint (Non-RA),8-16 Center,1.0,Okoro,1630171.0,,,,,,,,,,,,,,,,,
54,PT06M39.00S,2023-03-11T01:19:22.1Z,1,REGULAR,steal,,[],1630171,,,1610612739,12,13,2023-03-11T01:19:24Z,540000,False,,,0,,I. Okoro STEAL (1 STL),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
55,PT06M33.00S,2023-03-11T01:19:27.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627747,93.9060446780552,53.67647058823529,1610612739,12,15,2023-03-11T01:20:31Z,550000,False,18.0,5.0,1,right,C. LeVert running Layup (2 PTS) (I. Okoro 1 AST),"[1627747, 1630171]",1610612739.0,CLE,running,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,,,,1.9,Made,2.0,,I. Okoro,1630171.0,1.0,,,,,,,,,,
56,PT06M22.00S,2023-03-11T01:19:42.0Z,1,REGULAR,turnover,traveling,[],1628389,,,1610612748,12,15,2023-03-11T01:19:53Z,560000,False,,,0,,B. Adebayo traveling TURNOVER (1 TO),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,1.0,,,,,,202026.0,,,,,,,,,,,,,
58,PT06M22.00S,2023-03-11T01:19:48.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,12,15,2023-03-11T01:19:48Z,570000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M09.00S,2023-03-11T01:22:58.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628378,80.89684625492772,93.38235294117648,1610612739,12,15,2023-03-11T01:23:04Z,580000,False,217.0,127.0,1,right,MISS D. Mitchell 25' 3PT,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,,,,25.14,Missed,,,,,,,,,,,,,,,
60,PT06M07.00S,2023-03-11T01:23:00.5Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,12,15,2023-03-11T01:23:04Z,590000,False,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,59.0,,,,,2.0,2.0,0.0,,
61,PT05M57.00S,2023-03-11T01:23:11.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,6.652431011826544,56.372549019607845,1610612748,12,15,2023-03-11T01:23:17Z,600000,False,-32.0,10.0,1,left,MISS J. Butler Layup,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,3.34,Missed,,,,,,,,,,,,,,,
62,PT05M51.00S,2023-03-11T01:23:15.6Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,12,15,2023-03-11T01:23:15Z,610000,False,,,0,,J. Butler REBOUND (Off:1 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,61.0,,,,,2.0,1.0,1.0,,
63,PT05M48.00S,2023-03-11T01:23:20.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629639,9.543363994743759,49.754901960784316,1610612748,14,15,2023-03-11T01:23:28Z,620000,False,1.0,37.0,1,left,T. Herro driving finger roll Layup (4 PTS),[1629639],1610612748.0,MIA,driving finger roll,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,3.72,Made,4.0,,,,,,,,,,,,,,
64,PT05M31.00S,2023-03-11T01:23:39.6Z,1,REGULAR,foul,personal,['2freethrow'],1629639,,,1610612739,14,15,2023-03-11T01:23:46Z,630000,False,,,0,,T. Herro shooting personal FOUL (1 PF) (Okoro 2 FT),"[1629639, 1630171]",1610612748.0,MIA,shooting,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,,,,201639.0,,,,,1.0,0.0,Okoro,1630171.0,,,,,
66,PT05M31.00S,2023-03-11T01:24:05.9Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,14,15,2023-03-11T01:24:12Z,650000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M31.00S,2023-03-11T01:24:05.9Z,1,REGULAR,substitution,out,[],1627747,,,1610612739,14,15,2023-03-11T01:24:12Z,660000,False,,,0,,SUB out: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M31.00S,2023-03-11T01:24:05.9Z,1,REGULAR,substitution,in,[],1630205,,,1610612739,14,15,2023-03-11T01:24:12Z,670000,False,,,0,,SUB in: L. Stevens,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M31.00S,2023-03-11T01:24:05.9Z,1,REGULAR,substitution,in,[],1626224,,,1610612739,14,15,2023-03-11T01:24:12Z,680000,False,,,0,,SUB in: C. Osman,[1626224],1610612739.0,CLE,,,,Osman,C. Osman,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M31.00S,2023-03-11T01:24:25.7Z,1,REGULAR,freethrow,1 of 2,[],1630171,,,1610612739,14,16,2023-03-11T01:24:25Z,690000,False,,,0,,I. Okoro Free Throw 1 of 2 (3 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
71,PT05M31.00S,2023-03-11T01:24:26.3Z,1,REGULAR,freethrow,2 of 2,[],1630171,,,1610612739,14,17,2023-03-11T01:24:26Z,700000,False,,,0,,I. Okoro Free Throw 2 of 2 (4 PTS),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
72,PT05M10.00S,2023-03-11T01:24:44.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,6.389618922470433,52.450980392156865,1610612748,16,17,2023-03-11T01:24:50Z,710000,False,-12.0,8.0,1,left,T. Herro driving Layup (6 PTS),[1629639],1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,1.45,Made,6.0,,,,,,,,,,,,,,
74,PT04M56.00S,2023-03-11T01:25:09.4Z,1,REGULAR,turnover,out-of-bounds,[],1628378,,,1610612739,16,17,2023-03-11T01:25:16Z,730000,False,,,0,,D. Mitchell bad pass out-of-bounds TURNOVER (1 TO),[1628378],1610612739.0,CLE,bad pass,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,1.0,,,,,,201639.0,,,,,,,,,,,,,
75,PT04M56.00S,2023-03-11T01:25:13.7Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,16,17,2023-03-11T01:25:22Z,740000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M56.00S,2023-03-11T01:25:13.7Z,1,REGULAR,substitution,out,[],1629639,,,1610612748,16,17,2023-03-11T01:25:22Z,750000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M56.00S,2023-03-11T01:25:13.7Z,1,REGULAR,substitution,in,[],203469,,,1610612748,16,17,2023-03-11T01:25:22Z,760000,False,,,0,,SUB in: C. Zeller,[203469],1610612748.0,MIA,,,,Zeller,C. Zeller,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M56.00S,2023-03-11T01:25:13.7Z,1,REGULAR,substitution,in,[],203506,,,1610612748,16,17,2023-03-11T01:25:22Z,770000,False,,,0,,SUB in: V. Oladipo,[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M39.00S,2023-03-11T01:25:34.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629216,25.837713534822605,16.911764705882355,1610612748,16,17,2023-03-11T01:25:39Z,780000,False,165.0,190.0,1,left,MISS G. Vincent 25' 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Right Center,,,,25.22,Missed,,,,,,,,,,,,,,,
80,PT04M34.00S,2023-03-11T01:25:39.1Z,1,REGULAR,rebound,offensive,[],201567,,,1610612748,16,17,2023-03-11T01:25:39Z,790000,False,,,0,,K. Love REBOUND (Off:2 Def:2),[201567],1610612748.0,MIA,,,,Love,K. Love,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,79.0,,,,,4.0,2.0,2.0,,
81,PT04M34.00S,2023-03-11T01:25:39.4Z,1,REGULAR,turnover,bad pass,[],201567,,,1610612748,16,17,2023-03-11T01:25:43Z,800000,False,,,0,,K. Love bad pass TURNOVER (2 TO),"[201567, 1628378]",1610612748.0,MIA,,,,Love,K. Love,,,,,Mid-Range,16-24 Right,2.0,Mitchell,1628378.0,,,,,,,,,,,,,,,,,
82,PT04M34.00S,2023-03-11T01:25:39.4Z,1,REGULAR,steal,,[],1628378,,,1610612739,16,17,2023-03-11T01:25:41Z,810000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
