actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
18,PT10M41.00S,2022-11-24T00:45:13.3Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,2,5,2022-11-24T00:45:15Z,150000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,
19,PT10M27.00S,2022-11-24T00:45:28.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,82.86793692509855,49.754901960784316,1610612748,2,5,2022-11-24T00:45:34Z,160000,False,-1.0,109.0,1,right,MISS B. Adebayo 10' turnaround fadeaway Shot,[1628389],1610612748.0,MIA,turnaround fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,10.85,Missed,,,,,,,,,,,,,,,,,,
20,PT10M22.00S,2022-11-24T00:45:32.5Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,2,5,2022-11-24T00:45:32Z,170000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,
21,PT10M17.00S,2022-11-24T00:45:37.7Z,1,REGULAR,3pt,Jump Shot,[],1630166,19.267411300919843,3.6764705882352944,1610612764,2,5,2022-11-24T00:45:46Z,180000,False,232.0,129.0,1,left,MISS D. Avdija 26' 3PT,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,26.49,Missed,,,,,,,,,,,,,,,,,,
22,PT10M12.00S,2022-11-24T00:45:42.7Z,1,REGULAR,rebound,defensive,[],1631107,,,1610612748,2,5,2022-11-24T00:45:46Z,190000,False,,,0,,N. Jovic REBOUND (Off:0 Def:1),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,
23,PT10M06.00S,2022-11-24T00:45:49.1Z,1,REGULAR,2pt,Jump Shot,[],1629639,95.0886990801577,69.85294117647058,1610612748,2,5,2022-11-24T00:45:53Z,200000,False,99.0,-6.0,1,right,MISS T. Herro 9' pullup Shot,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Mid-Range,8-16 Right,9.95,Missed,,,,,,,,,,,,,,,,,,
24,PT10M03.00S,2022-11-24T00:45:52.1Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,2,5,2022-11-24T00:45:53Z,210000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Mid-Range,8-16 Right,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,
25,PT09M59.00S,2022-11-24T00:46:00.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,7.966491458607096,52.69607843137255,1610612764,2,7,2022-11-24T00:46:05Z,220000,False,-13.0,22.0,1,left,K. Kuzma cutting Layup (2 PTS) (D. Avdija 2 AST),"[1628398, 1630166]",1610612764.0,WAS,cutting,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,2.62,Made,2.0,,,,D. Avdija,1630166.0,2.0,,,,,,,,,,,
27,PT09M59.00S,2022-11-24T00:46:02.9Z,1,REGULAR,foul,personal,['1freethrow'],1628389,,,1610612764,2,7,2022-11-24T00:46:13Z,240000,False,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Kuzma 1 FT),"[1628389, 1628398]",1610612748.0,MIA,shooting,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2005.0,1.0,0.0,Kuzma,1628398.0,,
29,PT09M59.00S,2022-11-24T00:46:31.4Z,1,REGULAR,freethrow,1 of 1,[],1628398,,,1610612764,2,8,2022-11-24T00:46:31Z,260000,False,,,0,,K. Kuzma Free Throw 1 of 1 (3 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
30,PT09M45.00S,2022-11-24T00:46:46.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,80.6340341655716,39.950980392156865,1610612748,2,8,2022-11-24T00:46:50Z,270000,False,-50.0,130.0,1,right,MISS B. Adebayo 13' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,13.89,Missed,,,,,,,,,,,,,,,,,,
31,PT09M42.00S,2022-11-24T00:46:49.2Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,2,8,2022-11-24T00:46:49Z,280000,False,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,30.0,2.0,2.0,0.0,,,,,,,
32,PT09M37.00S,2022-11-24T00:47:00.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630166,9.017739816031538,45.34313725490196,1610612764,2,10,2022-11-24T00:47:23Z,290000,False,23.0,32.0,1,left,D. Avdija Jump Shot (2 PTS) (J. Goodwin 1 AST),"[1630166, 1630692]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,3.98,Made,2.0,,,,J. Goodwin,1630692.0,1.0,,,,,,,,,,,
34,PT09M37.00S,2022-11-24T00:47:05.0Z,1,REGULAR,foul,personal,['1freethrow'],1629639,,,1610612764,2,10,2022-11-24T00:47:14Z,310000,False,,,0,,T. Herro shooting personal FOUL (1 PF) (Avdija 1 FT),"[1629639, 1630166]",1610612748.0,MIA,shooting,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1198.0,1.0,0.0,Avdija,1630166.0,,
36,PT09M37.00S,2022-11-24T00:47:27.1Z,1,REGULAR,freethrow,1 of 1,[],1630166,,,1610612764,2,11,2022-11-24T00:47:27Z,330000,False,,,0,,D. Avdija Free Throw 1 of 1 (3 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
37,PT09M11.00S,2022-11-24T00:47:53.6Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612748,2,11,2022-11-24T00:48:01Z,340000,False,,,0,,K. Lowry bad pass TURNOVER (1 TO),"[200768, 1630557]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),8-16 Center,,,,1.0,Kispert,1630557.0,,,,,,,,,,,,,,
38,PT09M11.00S,2022-11-24T00:47:53.6Z,1,REGULAR,steal,,[],1630557,,,1610612764,2,11,2022-11-24T00:53:00Z,350000,False,,,0,,C. Kispert STEAL (1 STL),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
39,PT09M01.00S,2022-11-24T00:48:04.8Z,1,REGULAR,turnover,bad pass,[],1630557,,,1610612764,2,11,2022-11-24T00:48:09Z,360000,False,,,0,,C. Kispert bad pass TURNOVER (1 TO),"[1630557, 1628997]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Mid-Range,16-24 Left Center,,,,1.0,Martin,1628997.0,,,,,,,,,,,,,,
40,PT09M01.00S,2022-11-24T00:48:04.8Z,1,REGULAR,steal,,[],1628997,,,1610612748,2,11,2022-11-24T00:48:07Z,370000,False,,,0,,C. Martin STEAL (1 STL),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
41,PT08M53.00S,2022-11-24T00:48:12.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628997,94.30026281208936,54.166666666666664,1610612748,4,11,2022-11-24T00:48:17Z,380000,False,21.0,1.0,1,right,C. Martin cutting Layup (2 PTS) (K. Lowry 2 AST),"[1628997, 200768]",1610612748.0,MIA,cutting,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,2.08,Made,2.0,,,,K. Lowry,200768.0,2.0,,,,,,,,,,,
43,PT08M43.00S,2022-11-24T00:48:26.7Z,1,REGULAR,foul,personal,['2freethrow'],1629639,,,1610612764,4,11,2022-11-24T00:48:35Z,400000,False,,,0,,T. Herro shooting personal FOUL (2 PF) (Goodwin 2 FT),"[1629639, 1630692]",1610612748.0,MIA,shooting,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,2005.0,2.0,0.0,Goodwin,1630692.0,,
45,PT08M43.00S,2022-11-24T00:48:52.7Z,1,REGULAR,freethrow,1 of 2,[],1630692,,,1610612764,4,11,2022-11-24T00:49:13Z,420000,False,,,0,,MISS J. Goodwin Free Throw 1 of 2,[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
46,PT08M43.00S,2022-11-24T00:48:52.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612764,4,11,2022-11-24T00:49:13Z,430000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,
47,PT08M43.00S,2022-11-24T00:48:52.7Z,1,REGULAR,freethrow,2 of 2,[],1630692,,,1610612764,4,11,2022-11-24T00:49:13Z,440000,False,,,0,,MISS J. Goodwin Free Throw 2 of 2,[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
48,PT08M41.00S,2022-11-24T00:48:54.7Z,1,REGULAR,rebound,defensive,[],1631107,,,1610612748,4,11,2022-11-24T00:49:13Z,450000,False,,,0,,N. Jovic REBOUND (Off:0 Def:2),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,,,,,,,,,,,47.0,2.0,2.0,0.0,,,,,,,
49,PT08M34.00S,2022-11-24T00:49:17.1Z,1,REGULAR,3pt,Jump Shot,[],1629639,86.28449408672799,95.58823529411765,1610612748,4,11,2022-11-24T00:49:21Z,460000,False,228.0,76.0,1,right,MISS T. Herro 24' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Right Corner 3,24+ Right,24.04,Missed,,,,,,,,,,,,,,,,,,
50,PT08M32.00S,2022-11-24T00:49:19.1Z,1,REGULAR,rebound,defensive,[],1630692,,,1610612764,4,11,2022-11-24T00:49:21Z,470000,False,,,0,,J. Goodwin REBOUND (Off:0 Def:1),[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,Right Corner 3,24+ Right,,,,,,,,,,49.0,1.0,1.0,0.0,,,,,,,
51,PT08M22.00S,2022-11-24T00:49:29.3Z,1,REGULAR,2pt,Jump Shot,[],1628398,24.26084099868594,36.27450980392157,1610612764,4,13,2022-11-24T00:49:38Z,480000,False,69.0,176.0,1,left,K. Kuzma 18' fadeaway Jump Shot (5 PTS),[1628398],1610612764.0,WAS,fadeaway,,,Kuzma,K. Kuzma,,,,,Mid-Range,16-24 Right Center,18.85,Made,5.0,,,,,,,,,,,,,,,,,
52,PT08M01.00S,2022-11-24T00:49:50.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628997,94.1688567674113,45.83333333333333,1610612748,6,13,2022-11-24T00:49:56Z,490000,False,-21.0,2.0,1,right,C. Martin driving Layup (4 PTS),[1628997],1610612748.0,MIA,driving,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,2.09,Made,4.0,,,,,,,,,,,,,,,,,
53,PT07M49.00S,2022-11-24T00:50:08.5Z,1,REGULAR,foul,personal,['2freethrow'],200768,,,1610612764,6,13,2022-11-24T00:50:18Z,500000,False,,,0,,K. Lowry shooting personal FOUL (1 PF) (Porzingis 2 FT),"[200768, 204001]",1610612748.0,MIA,shooting,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,202049.0,1.0,0.0,Porzingis,204001.0,,
55,PT07M49.00S,2022-11-24T00:50:38.1Z,1,REGULAR,freethrow,1 of 2,[],204001,,,1610612764,6,14,2022-11-24T00:50:38Z,520000,False,,,0,,K. Porzingis Free Throw 1 of 2 (3 PTS),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
56,PT07M49.00S,2022-11-24T00:50:53.5Z,1,REGULAR,freethrow,2 of 2,[],204001,,,1610612764,6,15,2022-11-24T00:50:53Z,530000,False,,,0,,K. Porzingis Free Throw 2 of 2 (4 PTS),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
57,PT07M35.00S,2022-11-24T00:51:08.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628997,94.56307490144546,52.450980392156865,1610612748,8,15,2022-11-24T00:51:13Z,540000,False,12.0,-1.0,1,right,C. Martin driving Layup (6 PTS) (T. Herro 1 AST),"[1628997, 1629639]",1610612748.0,MIA,driving,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,1.24,Made,6.0,,,,T. Herro,1629639.0,1.0,,,,,,,,,,,
58,PT07M19.00S,2022-11-24T00:51:24.1Z,1,REGULAR,3pt,Jump Shot,[],1628398,27.151773981603156,79.65686274509804,1610612764,8,15,2022-11-24T00:51:28Z,550000,False,-148.0,203.0,1,left,MISS K. Kuzma 25' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,25.12,Missed,,,,,,,,,,,,,,,,,,
59,PT07M16.00S,2022-11-24T00:51:27.1Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,8,15,2022-11-24T00:51:28Z,560000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,
60,PT07M14.00S,2022-11-24T00:51:30.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631107,94.30026281208936,47.549019607843135,1610612748,10,15,2022-11-24T00:51:37Z,570000,False,-12.0,1.0,1,right,N. Jovic cutting DUNK (4 PTS) (C. Martin 1 AST),"[1631107, 1628997]",1610612748.0,MIA,cutting,,,Jovic,N. Jovic,,,,,Restricted Area,0-8 Center,1.23,Made,4.0,,,,C. Martin,1628997.0,1.0,,,,,,,,,,,
63,PT07M14.00S,2022-11-24T00:51:39.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,10,15,2022-11-24T00:51:39Z,590000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M14.00S,2022-11-24T00:51:43.4Z,1,REGULAR,substitution,out,[],1630692,,,1610612764,10,15,2022-11-24T00:54:17Z,600000,False,,,0,,SUB out: J. Goodwin,[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M14.00S,2022-11-24T00:51:43.4Z,1,REGULAR,substitution,in,[],203115,,,1610612764,10,15,2022-11-24T00:54:17Z,610000,False,,,0,,SUB in: W. Barton,[203115],1610612764.0,WAS,,,,Barton,W. Barton,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M04.00S,2022-11-24T00:54:47.5Z,1,REGULAR,violation,kicked ball,[],1628997,,,1610612764,10,15,2022-11-24T00:55:13Z,630000,False,,,0,,C. Martin kicked ball VIOLATION,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,202049.0,,,,,,
68,PT07M01.00S,2022-11-24T00:54:57.7Z,1,REGULAR,turnover,traveling,[],204001,,,1610612764,10,15,2022-11-24T00:55:05Z,640000,False,,,0,,K. Porzingis traveling TURNOVER (1 TO),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,,,,1.0,,,,,,,,,,202049.0,,,,,,
69,PT06M48.00S,2022-11-24T00:55:15.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",200768,83.39356110381078,51.225490196078425,1610612748,12,15,2022-11-24T00:55:21Z,650000,False,6.0,104.0,1,right,K. Lowry 10' pullup Jump Shot (2 PTS) (B. Adebayo 1 AST),"[200768, 1628389]",1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),8-16 Center,10.38,Made,2.0,,,,B. Adebayo,1628389.0,1.0,,,,,,,,,,,
70,PT06M35.00S,2022-11-24T00:55:29.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,6.258212877792378,47.549019607843135,1610612764,12,17,2022-11-24T00:55:35Z,660000,False,12.0,6.0,1,left,K. Kuzma cutting Layup (7 PTS) (D. Avdija 3 AST),"[1628398, 1630166]",1610612764.0,WAS,cutting,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,1.38,Made,7.0,,,,D. Avdija,1630166.0,3.0,,,,,,,,,,,
72,PT06M27.00S,2022-11-24T00:55:46.6Z,1,REGULAR,foul,personal,[],203115,,,1610612748,12,17,2022-11-24T00:55:58Z,680000,False,,,0,,W. Barton personal FOUL (1 PF),"[203115, 1629639]",1610612764.0,WAS,,,,Barton,W. Barton,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,202049.0,1.0,0.0,Herro,1629639.0,,
75,PT06M24.00S,2022-11-24T00:55:56.9Z,1,REGULAR,3pt,Jump Shot,[],1628997,70.64717477003943,75.73529411764706,1610612748,12,17,2022-11-24T00:56:01Z,700000,False,129.0,223.0,1,right,MISS C. Martin 25' 3PT,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,25.78,Missed,,,,,,,,,,,,,,,,,,
76,PT06M22.00S,2022-11-24T00:55:59.0Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,12,17,2022-11-24T00:55:59Z,710000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,75.0,1.0,0.0,1.0,,,,,,,
77,PT06M12.00S,2022-11-24T00:56:32.0Z,1,REGULAR,foul,personal,['2freethrow'],204001,,,1610612748,12,17,2022-11-24T00:56:54Z,720000,False,,,0,,K. Porzingis shooting personal FOUL (1 PF) (Herro 2 FT),"[204001, 1629639]",1610612764.0,WAS,shooting,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1198.0,1.0,0.0,Herro,1629639.0,,
79,PT06M12.00S,2022-11-24T00:57:27.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629639,,,1610612748,12,17,2022-11-24T00:58:02Z,740000,False,,,0,,MISS T. Herro Free Throw 1 of 2,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
80,PT06M12.00S,2022-11-24T00:57:27.4Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612748,12,17,2022-11-24T00:58:02Z,750000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,,,
81,PT06M12.00S,2022-11-24T00:57:36.4Z,1,REGULAR,substitution,out,[],1631107,,,1610612748,12,17,2022-11-24T00:57:46Z,760000,False,,,0,,SUB out: N. Jovic,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M12.00S,2022-11-24T00:57:36.4Z,1,REGULAR,substitution,in,[],1629216,,,1610612748,12,17,2022-11-24T00:57:46Z,770000,False,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M12.00S,2022-11-24T00:57:27.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629639,,,1610612748,12,17,2022-11-24T00:58:02Z,780000,False,,,0,,MISS T. Herro Free Throw 2 of 2,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
84,PT06M08.00S,2022-11-24T00:57:31.4Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,12,17,2022-11-24T00:58:02Z,790000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,83.0,1.0,1.0,0.0,,,,,,,
85,PT05M57.00S,2022-11-24T00:58:11.4Z,1,REGULAR,turnover,bad pass,[],1630557,,,1610612764,12,17,2022-11-24T00:58:28Z,800000,False,,,0,,C. Kispert bad pass TURNOVER (2 TO),"[1630557, 1628389]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Right Center,,,,2.0,Adebayo,1628389.0,,,,,,,,,,,,,,
86,PT05M57.00S,2022-11-24T00:58:11.4Z,1,REGULAR,steal,,[],1628389,,,1610612748,12,17,2022-11-24T00:58:13Z,810000,False,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
87,PT05M50.00S,2022-11-24T00:58:17.8Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629216,95.3515111695138,3.6764705882352944,1610612748,12,17,2022-11-24T00:58:40Z,820000,False,-232.0,-9.0,1,right,MISS G. Vincent 3PT,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Left Corner 3,24+ Left,23.18,Missed,,,,,,,,,,,,,,,,,,
