actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT11M06.00S,2022-10-19T23:47:37.9Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,2,0,2022-10-19T23:47:42Z,140000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT11M03.00S,2022-10-19T23:47:41.4Z,1,REGULAR,3pt,Jump Shot,[],1629639,71.69842312746385,78.92156862745098,1610612748,5,0,2022-10-19T23:50:14Z,150000,145.0,214.0,1,right,T. Herro 25' 3PT pullup (3 PTS),[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,25.79,Made,,,,,,,,,,3.0,,,,,,,,
17,PT10M41.00S,2022-10-19T23:48:02.8Z,1,REGULAR,2pt,Jump Shot,[],201942,23.340998685939553,72.05882352941177,1610612741,5,2,2022-10-19T23:48:14Z,160000,-110.0,167.0,1,left,D. DeRozan 20' pullup Jump Shot (2 PTS),[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left Center,20.01,Made,,,,,,,,,,2.0,,,,,,,,
18,PT10M28.00S,2022-10-19T23:48:15.6Z,1,REGULAR,2pt,Jump Shot,[],1628389,90.09526938239159,67.64705882352942,1610612748,5,2,2022-10-19T23:48:24Z,170000,88.0,41.0,1,right,MISS B. Adebayo 9' fadeaway Shot,[1628389],1610612748.0,MIA,fadeaway,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,9.71,Missed,,,,,,,,,,,,,,,,,,
19,PT10M24.00S,2022-10-19T23:48:19.6Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,5,2,2022-10-19T23:48:24Z,180000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Right,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,
20,PT10M21.00S,2022-10-19T23:48:23.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,7.703679369250986,43.13725490196079,1610612741,5,2,2022-10-19T23:48:33Z,190000,34.0,20.0,1,left,MISS A. Dosunmu driving Layup,[1630245],1610612741.0,CHI,driving,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,3.97,Missed,,,,,,,,,,,,,,,,,,
21,PT10M21.00S,2022-10-19T23:48:23.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,5,2,2022-10-19T23:48:33Z,200000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,
22,PT09M58.00S,2022-10-19T23:48:46.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,85.75886990801577,50.98039215686274,1610612748,7,2,2022-10-19T23:48:55Z,210000,5.0,81.0,1,right,T. Herro 8' driving floating Jump Shot (5 PTS),[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,8.15,Made,,,,,,,,,,5.0,,,,,,,,
23,PT09M40.00S,2022-10-19T23:49:04.6Z,1,REGULAR,2pt,Jump Shot,[],1627936,6.521024967148489,19.607843137254903,1610612741,7,4,2022-10-19T23:49:11Z,220000,152.0,9.0,1,left,A. Caruso 15' Jump Shot (2 PTS) (D. DeRozan 1 AST),"[1627936, 201942]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Mid-Range,8-16 Right,15.23,Made,,,,,,,,,,2.0,D. DeRozan,201942.0,1.0,,,,,
25,PT09M28.00S,2022-10-19T23:49:15.3Z,1,REGULAR,3pt,Jump Shot,[],1629639,95.0886990801577,2.941176470588235,1610612748,10,4,2022-10-19T23:49:22Z,240000,-235.0,-6.0,1,right,T. Herro 3PT  (8 PTS) (C. Martin 1 AST),"[1629639, 1628997]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Left Corner 3,24+ Left,23.54,Made,,,,,,,,,,8.0,C. Martin,1628997.0,1.0,,,,,
27,PT09M15.00S,2022-10-19T23:49:29.4Z,1,REGULAR,3pt,Jump Shot,[],201942,5.075558475689881,96.07843137254902,1610612741,10,4,2022-10-19T23:49:43Z,260000,-230.0,-5.0,1,left,MISS D. DeRozan 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Left Corner 3,24+ Left,23.04,Missed,,,,,,,,,,,,,,,,,,
28,PT09M11.00S,2022-10-19T23:49:33.4Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,10,4,2022-10-19T23:49:43Z,270000,,,0,,J. Butler REBOUND (Off:0 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Left Corner 3,24+ Left,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,
29,PT09M04.00S,2022-10-19T23:49:40.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,93.38042049934296,62.00980392156863,1610612748,10,4,2022-10-19T23:54:12Z,280000,60.0,10.0,1,right,MISS J. Butler 6' driving floating bank Shot,[202710],1610612748.0,MIA,driving floating bank,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,6.08,Missed,,,,,,,,,,,,,,,,,,
31,PT09M04.00S,2022-10-19T23:49:40.0Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,10,4,2022-10-19T23:57:08Z,300000,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,
32,PT09M01.00S,2022-10-19T23:49:48.5Z,1,REGULAR,foul,offensive,[],202696,,,1610612741,10,4,2022-10-19T23:56:16Z,310000,,,0,,N. Vucevic off-the-ball offensive FOUL (1 PF),"[202696, 1628997]",1610612741.0,CHI,off-the-ball,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,101284.0,1.0,0.0,Martin,1628997.0
34,PT09M01.00S,2022-10-19T23:49:48.5Z,1,REGULAR,turnover,offensive foul,[],202696,,,1610612741,10,4,2022-10-19T23:49:48Z,330000,,,0,,N. Vucevic offensive foul TURNOVER (1 TO),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,,,,101284.0,,,,
35,PT08M44.00S,2022-10-19T23:50:24.6Z,1,REGULAR,foul,personal,['2freethrow'],1630172,,,1610612748,10,4,2022-10-19T23:50:34Z,340000,,,0,,P. Williams shooting personal FOUL (1 PF) (Butler 2 FT),"[1630172, 202710]",1610612741.0,CHI,shooting,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627519.0,1.0,0.0,Butler,202710.0
37,PT08M44.00S,2022-10-19T23:50:52.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],202710,,,1610612748,10,4,2022-10-19T23:50:52Z,360000,,,0,,MISS J. Butler Free Throw 1 of 2,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
38,PT08M44.00S,2022-10-19T23:50:52.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,10,4,2022-10-19T23:50:52Z,370000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,
39,PT08M44.00S,2022-10-19T23:51:05.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],202710,,,1610612748,11,4,2022-10-19T23:51:05Z,380000,,,0,,J. Butler Free Throw 2 of 2 (3 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,Made,,,,,,,,,,3.0,,,,,,,,
40,PT08M34.00S,2022-10-19T23:51:16.1Z,1,REGULAR,turnover,bad pass,[],1627936,,,1610612741,11,4,2022-10-19T23:51:22Z,390000,,,0,,A. Caruso bad pass TURNOVER (2 TO),"[1627936, 1628997]",1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Right Center,,,,,,,,,2.0,Martin,1628997.0,,,,,,,,,
41,PT08M34.00S,2022-10-19T23:51:16.1Z,1,REGULAR,steal,,[],1628997,,,1610612748,11,4,2022-10-19T23:51:18Z,400000,,,0,,C. Martin STEAL (1 STL),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
42,PT08M30.00S,2022-10-19T23:51:19.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202710,93.51182654402102,50.0,1610612748,13,4,2022-10-19T23:51:28Z,410000,0.0,8.0,1,right,J. Butler running DUNK (5 PTS) (C. Martin 2 AST),"[202710, 1628997]",1610612748.0,MIA,running,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,0.85,Made,,,,,,,,,,5.0,C. Martin,1628997.0,2.0,,,,,
44,PT08M18.00S,2022-10-19T23:51:31.8Z,1,REGULAR,3pt,Jump Shot,[],202696,23.340998685939553,87.5,1610612741,13,4,2022-10-19T23:51:38Z,430000,-188.0,167.0,1,left,MISS N. Vucevic 25' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,25.1,Missed,,,,,,,,,,,,,,,,,,
45,PT08M15.00S,2022-10-19T23:51:34.8Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,13,4,2022-10-19T23:51:38Z,440000,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,,,44.0,2.0,2.0,0.0,,,,,,,,,,,,
46,PT08M06.00S,2022-10-19T23:51:44.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,84.05059132720105,44.11764705882353,1610612748,13,4,2022-10-19T23:57:55Z,450000,-29.0,97.0,1,right,MISS B. Adebayo 10' floating Shot,[1628389],1610612748.0,MIA,floating,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,10.17,Missed,,,,,,,,,,,,,,,,,,
47,PT08M04.00S,2022-10-19T23:51:46.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,13,4,2022-10-19T23:51:51Z,460000,,,0,,N. Vucevic REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,,,,,46.0,3.0,3.0,0.0,,,,,,,,,,,,
48,PT08M01.00S,2022-10-19T23:51:49.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630245,5.863994743758213,54.90196078431373,1610612741,13,4,2022-10-19T23:52:11Z,470000,-25.0,3.0,1,left,MISS A. Dosunmu Layup - blocked,"[1630245, 1628389]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,2.46,Missed,Adebayo,1628389.0,,,,,,,,,,,,,,,,
49,PT08M01.00S,2022-10-19T23:51:49.2Z,1,REGULAR,block,,[],1628389,,,1610612741,13,4,2022-10-19T23:51:52Z,480000,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
50,PT08M01.00S,2022-10-19T23:51:49.2Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,13,4,2022-10-19T23:52:11Z,490000,,,0,,N. Vucevic REBOUND (Off:1 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,48.0,4.0,3.0,1.0,,,,,,,,,,,,
51,PT07M54.00S,2022-10-19T23:51:56.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627936,10.85742444152431,2.2058823529411766,1610612741,13,4,2022-10-19T23:52:15Z,500000,239.0,50.0,1,left,MISS A. Caruso 24' 3PT,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Right Corner 3,24+ Right,24.41,Missed,,,,,,,,,,,,,,,,,,
52,PT07M53.00S,2022-10-19T23:51:57.1Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,13,4,2022-10-19T23:52:15Z,510000,,,0,,N. Vucevic REBOUND (Off:2 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Right Corner 3,24+ Right,,,,,51.0,5.0,3.0,2.0,,,,,,,,,,,,
53,PT07M53.00S,2022-10-19T23:52:02.1Z,1,REGULAR,foul,personal,['2freethrow'],1629639,,,1610612741,13,4,2022-10-19T23:52:23Z,520000,,,0,,T. Herro shooting personal FOUL (1 PF) (Vucevic 2 FT),"[1629639, 202696]",1610612748.0,MIA,shooting,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627519.0,1.0,0.0,Vucevic,202696.0
55,PT07M53.00S,2022-10-19T23:52:30.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202696,,,1610612741,13,5,2022-10-19T23:52:30Z,540000,,,0,,N. Vucevic Free Throw 1 of 2 (1 PTS),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
56,PT07M53.00S,2022-10-19T23:52:46.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202696,,,1610612741,13,6,2022-10-19T23:52:46Z,550000,,,0,,N. Vucevic Free Throw 2 of 2 (2 PTS),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
57,PT07M42.00S,2022-10-19T23:52:58.5Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,13,6,2022-10-19T23:53:16Z,560000,,,0,,B. Adebayo bad pass out-of-bounds TURNOVER (1 TO),[1628389],1610612748.0,MIA,bad pass,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,,,,,,,1626302.0,,,,
58,PT07M30.00S,2022-10-19T23:53:29.2Z,1,REGULAR,foul,personal,['2freethrow'],200768,,,1610612741,13,6,2022-10-19T23:53:43Z,570000,,,0,,K. Lowry shooting personal FOUL (1 PF) (DeRozan 2 FT),"[200768, 201942]",1610612748.0,MIA,shooting,,,Lowry,K. Lowry,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,101284.0,1.0,0.0,DeRozan,201942.0
60,PT07M30.00S,2022-10-19T23:53:52.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201942,,,1610612741,13,7,2022-10-19T23:53:52Z,590000,,,0,,D. DeRozan Free Throw 1 of 2 (3 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,,,,,,,,,,3.0,,,,,,,,
61,PT07M30.00S,2022-10-19T23:53:55.3Z,1,REGULAR,substitution,out,[],1627936,,,1610612741,13,7,2022-10-19T23:54:04Z,600000,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M30.00S,2022-10-19T23:53:55.3Z,1,REGULAR,substitution,out,[],1630172,,,1610612741,13,7,2022-10-19T23:54:04Z,610000,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M30.00S,2022-10-19T23:53:55.3Z,1,REGULAR,substitution,in,[],1629750,,,1610612741,13,7,2022-10-19T23:54:04Z,620000,,,0,,SUB in: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M30.00S,2022-10-19T23:53:55.3Z,1,REGULAR,substitution,in,[],1629632,,,1610612741,13,7,2022-10-19T23:54:04Z,630000,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M30.00S,2022-10-19T23:54:13.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201942,,,1610612741,13,8,2022-10-19T23:54:13Z,640000,,,0,,D. DeRozan Free Throw 2 of 2 (4 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,,,,,,,,,,4.0,,,,,,,,
66,PT07M16.00S,2022-10-19T23:54:28.4Z,1,REGULAR,3pt,Jump Shot,[],1629639,75.90341655716163,87.99019607843137,1610612748,16,8,2022-10-19T23:54:34Z,650000,190.0,174.0,1,right,T. Herro 25' 3PT  (11 PTS) (C. Martin 3 AST),"[1629639, 1628997]",1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,25.76,Made,,,,,,,,,,11.0,C. Martin,1628997.0,3.0,,,,,
68,PT06M58.00S,2022-10-19T23:54:46.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202696,5.995400788436268,50.98039215686274,1610612741,16,10,2022-10-19T23:54:54Z,670000,-5.0,4.0,1,left,N. Vucevic cutting DUNK (4 PTS) (J. Green 1 AST),"[202696, 1629750]",1610612741.0,CHI,cutting,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,0.63,Made,,,,,,,,,,4.0,J. Green,1629750.0,1.0,,,,,
70,PT06M40.00S,2022-10-19T23:55:07.8Z,1,REGULAR,foul,personal,[],1629750,,,1610612748,16,10,2022-10-19T23:55:24Z,690000,,,0,,J. Green personal FOUL (1 PF),"[1629750, 202710]",1610612741.0,CHI,,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,1626302.0,1.0,0.0,Butler,202710.0
72,PT06M40.00S,2022-10-19T23:55:22.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,16,10,2022-10-19T23:55:22Z,710000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M32.00S,2022-10-19T23:58:15.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,84.57621550591328,47.549019607843135,1610612748,16,10,2022-10-20T00:01:13Z,720000,-12.0,92.0,1,right,MISS B. Adebayo 9' driving floating Shot,[1628389],1610612748.0,MIA,driving floating,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,9.33,Missed,,,,,,,,,,,,,,,,,,
75,PT06M30.00S,2022-10-19T23:58:17.7Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,16,10,2022-10-19T23:58:22Z,730000,,,0,,D. DeRozan REBOUND (Off:0 Def:2),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Center,,,,,74.0,2.0,2.0,0.0,,,,,,,,,,,,
76,PT06M18.00S,2022-10-19T23:58:30.0Z,1,REGULAR,2pt,Jump Shot,[],1629632,21.76412614980289,73.77450980392157,1610612741,16,10,2022-10-19T23:58:38Z,740000,-119.0,152.0,1,left,MISS C. White 19' pullup Shot,[1629632],1610612741.0,CHI,pullup,,,White,C. White,,,,,Mid-Range,16-24 Left Center,19.31,Missed,,,,,,,,,,,,,,,,,,
77,PT06M15.00S,2022-10-19T23:58:33.0Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,16,10,2022-10-19T23:58:38Z,750000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Left Center,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,
78,PT06M05.00S,2022-10-19T23:58:43.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628389,92.72339027595268,37.254901960784316,1610612748,16,10,2022-10-19T23:58:53Z,760000,-64.0,16.0,1,right,MISS B. Adebayo 6' turnaround Hook,[1628389],1610612748.0,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,6.57,Missed,,,,,,,,,,,,,,,,,,
79,PT06M00.00S,2022-10-19T23:58:48.7Z,1,REGULAR,rebound,defensive,[],1629750,,,1610612741,16,10,2022-10-19T23:58:53Z,770000,,,0,,J. Green REBOUND (Off:0 Def:1),[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,
80,PT05M57.00S,2022-10-19T23:58:51.4Z,1,REGULAR,3pt,Jump Shot,[],202696,33.327858081471746,36.51960784313725,1610612741,16,10,2022-10-20T00:02:19Z,780000,67.0,261.0,1,left,MISS N. Vucevic 26' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,26.94,Missed,,,,,,,,,,,,,,,,,,
81,PT05M57.00S,2022-10-19T23:58:51.4Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,16,10,2022-10-19T23:59:10Z,790000,,,0,,J. Butler REBOUND (Off:0 Def:3),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Center,,,,,80.0,3.0,3.0,0.0,,,,,,,,,,,,
82,PT05M43.00S,2022-10-19T23:59:05.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628997,93.9060446780552,51.470588235294116,1610612748,18,10,2022-10-19T23:59:18Z,800000,7.0,5.0,1,right,C. Martin cutting DUNK (2 PTS) (B. Adebayo 1 AST),"[1628997, 1628389]",1610612748.0,MIA,cutting,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,0.88,Made,,,,,,,,,,2.0,B. Adebayo,1628389.0,1.0,,,,,
84,PT05M29.00S,2022-10-19T23:59:19.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629750,7.178055190538765,49.01960784313725,1610612741,18,12,2022-10-19T23:59:28Z,820000,5.0,15.0,1,left,J. Green cutting Layup (2 PTS) (A. Dosunmu 1 AST),"[1629750, 1630245]",1610612741.0,CHI,cutting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.58,Made,,,,,,,,,,2.0,A. Dosunmu,1630245.0,1.0,,,,,
