actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
24,PT10M30.00S,2022-10-21T23:47:44.2Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,2,2,2022-10-21T23:53:39Z,240000,,,0,,M. Smart step out-of-bounds TURNOVER (1 TO),[203935],1610612738.0,BOS,step,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,1162.0,,,,,1.0,,,,,,,,,,,,,,
25,PT10M18.00S,2022-10-21T23:48:00.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629639,7.5722733245729295,45.83333333333333,1610612748,4,2,2022-10-21T23:48:07Z,250000,21.0,19.0,1,left,T. Herro driving finger roll Layup (2 PTS),[1629639],1610612748.0,MIA,driving finger roll,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,,,,,,2.8,Made,2.0,,,,,,,,,
26,PT10M01.00S,2022-10-21T23:48:16.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.46057818659659,46.32352941176471,1610612738,4,2,2022-10-21T23:48:26Z,260000,-18.0,18.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,,,,2.6,Missed,,,,,,,,,,
27,PT09M59.00S,2022-10-21T23:48:18.5Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,4,2,2022-10-21T23:48:26Z,270000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,
28,PT09M54.00S,2022-10-21T23:48:25.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200768,7.5722733245729295,51.9607843137255,1610612748,4,2,2022-10-21T23:48:42Z,280000,-10.0,19.0,1,left,MISS K. Lowry Layup,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,,,,,,,,,2.11,Missed,,,,,,,,,,
29,PT09M54.00S,2022-10-21T23:48:25.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612748,4,2,2022-10-21T23:54:28Z,290000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,28.0,,,,,,,,
62,PT09M54.00S,2022-10-21T23:48:31.9Z,1,REGULAR,turnover,offensive goaltending,[],1628389,,,1610612748,4,2,2022-10-21T23:54:03Z,300000,,,0,,B. Adebayo offensive goaltending TURNOVER (2 TO),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,202007.0,,,,,2.0,,,,,,,,,,,,,,
32,PT09M43.00S,2022-10-21T23:48:56.1Z,1,REGULAR,foul,personal,['2freethrow'],1629639,,,1610612738,4,2,2022-10-21T23:49:09Z,320000,,,0,,T. Herro shooting personal FOUL (1 PF) (Tatum 2 FT),"[1629639, 1628369]",1610612748.0,MIA,shooting,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,1162.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
34,PT09M43.00S,2022-10-21T23:49:24.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628369,,,1610612738,4,3,2022-10-21T23:54:03Z,340000,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,Made,1.0,,,,,,,,,
35,PT09M43.00S,2022-10-21T23:49:32.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628369,,,1610612738,4,4,2022-10-21T23:54:03Z,350000,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,Made,2.0,,,,,,,,,
36,PT09M32.00S,2022-10-21T23:49:45.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,14.536793692509855,52.20588235294118,1610612748,4,4,2022-10-21T23:49:53Z,360000,-11.0,84.0,1,left,MISS T. Herro 8' driving floating Shot,[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,8.48,Missed,,,,,,,,,,
37,PT09M30.00S,2022-10-21T23:49:48.4Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,4,4,2022-10-21T23:49:48Z,370000,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,36.0,1.0,0.0,1.0,,,,,
38,PT09M30.00S,2022-10-21T23:49:52.0Z,1,REGULAR,foul,personal,[],1627759,,,1610612748,4,4,2022-10-21T23:54:13Z,380000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 1628997]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,201245.0,1.0,0.0,Martin,1628997.0,,,,,,,,,,,,,,,
40,PT09M20.00S,2022-10-21T23:50:15.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628389,20.71287779237845,68.87254901960785,1610612748,6,4,2022-10-21T23:58:18Z,400000,-94.0,142.0,1,left,B. Adebayo 17' turnaround Jump Shot (2 PTS) (J. Butler 1 AST),"[1628389, 202710]",1610612748.0,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Left Center,,,,,,,,,17.07,Made,2.0,,,,,J. Butler,202710.0,1.0,,
41,PT09M03.00S,2022-10-21T23:50:32.9Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.96123521681997,17.15686274509804,1610612738,6,4,2022-10-21T23:50:38Z,410000,-164.0,211.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,,,26.74,Missed,,,,,,,,,,
42,PT09M03.00S,2022-10-21T23:50:32.9Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,6,4,2022-10-21T23:50:38Z,420000,,,0,,C. Martin REBOUND (Off:1 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,41.0,2.0,1.0,1.0,,,,,
43,PT08M39.00S,2022-10-21T23:50:57.7Z,1,REGULAR,3pt,Jump Shot,[],200768,21.369908015768726,92.8921568627451,1610612748,9,4,2022-10-21T23:51:05Z,430000,-214.0,148.0,1,left,K. Lowry 26' 3PT  (3 PTS) (T. Herro 2 AST),"[200768, 1629639]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Left Center,,,,,,,,,26.08,Made,3.0,,,,,T. Herro,1629639.0,2.0,,
45,PT08M20.00S,2022-10-21T23:51:16.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,94.1688567674113,52.69607843137255,1610612738,9,4,2022-10-21T23:51:23Z,450000,13.0,2.0,1,right,MISS M. Smart driving Layup,[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,,,,,,,,1.37,Missed,,,,,,,,,,
46,PT08M20.00S,2022-10-21T23:51:16.6Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,9,4,2022-10-21T23:51:23Z,460000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,,
47,PT08M11.00S,2022-10-21T23:51:25.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,7.966491458607096,50.73529411764706,1610612748,9,4,2022-10-21T23:51:34Z,470000,-4.0,22.0,1,left,MISS T. Herro driving Layup - blocked,"[1629639, 1628401]",1610612748.0,MIA,driving,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,,,,,,2.27,Missed,,,,,,,,,White,1628401.0
109,PT08M11.00S,2022-10-21T23:51:25.8Z,1,REGULAR,block,,[],1628401,,,1610612748,9,4,2022-10-22T00:03:51Z,475000,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
48,PT08M06.00S,2022-10-21T23:51:30.8Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,9,4,2022-10-21T23:51:34Z,480000,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,47.0,2.0,2.0,0.0,,,,,
49,PT08M03.00S,2022-10-21T23:51:32.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628369,93.11760840998686,48.28431372549019,1610612738,9,6,2022-10-21T23:51:40Z,490000,-9.0,12.0,1,right,J. Tatum DUNK (4 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,,,,1.49,Made,4.0,,,,,J. Brown,1627759.0,1.0,,
51,PT07M38.00S,2022-10-21T23:51:57.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,10.463206307490145,40.44117647058824,1610612748,9,6,2022-10-22T00:02:20Z,510000,48.0,46.0,1,left,MISS J. Butler 6' pullup Shot,[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,6.63,Missed,,,,,,,,,,
52,PT07M36.00S,2022-10-21T23:51:59.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,9,6,2022-10-22T00:02:20Z,520000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,51.0,2.0,2.0,0.0,,,,,
53,PT07M32.00S,2022-10-21T23:52:04.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,93.24901445466492,54.41176470588235,1610612738,9,8,2022-10-21T23:52:24Z,530000,22.0,11.0,1,right,J. Brown driving Layup (4 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,2.47,Made,4.0,,,,,,,,,
54,PT07M11.00S,2022-10-21T23:52:24.9Z,1,REGULAR,2pt,Jump Shot,[],1628389,24.52365308804205,50.245098039215684,1610612748,11,8,2022-10-21T23:52:33Z,540000,-1.0,178.0,1,left,B. Adebayo 17' Jump Shot (4 PTS) (K. Lowry 1 AST),"[1628389, 200768]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Center,,,,,,,,,17.8,Made,4.0,,,,,K. Lowry,200768.0,1.0,,
56,PT06M58.00S,2022-10-21T23:52:37.8Z,1,REGULAR,3pt,Jump Shot,[],203935,88.78120893561103,1.715686274509804,1610612738,11,8,2022-10-21T23:52:48Z,560000,-241.0,53.0,1,right,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Left Corner 3,24+ Left,,,,,,,,,24.71,Missed,,,,,,,,,,
57,PT06M55.00S,2022-10-21T23:52:40.8Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,11,8,2022-10-21T23:52:48Z,570000,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,56.0,2.0,2.0,0.0,,,,,
58,PT06M44.00S,2022-10-21T23:52:51.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,8.360709592641262,42.8921568627451,1610612748,13,8,2022-10-21T23:53:05Z,580000,36.0,26.0,1,left,B. Adebayo driving floating Jump Shot (6 PTS),[1628389],1610612748.0,MIA,driving floating,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,4.41,Made,6.0,,,,,,,,,
59,PT06M38.00S,2022-10-21T23:53:02.4Z,1,REGULAR,foul,personal,[],1628389,,,1610612738,13,8,2022-10-21T23:53:15Z,590000,,,0,,B. Adebayo personal FOUL (1 PF),"[1628389, 201143]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,202007.0,1.0,0.0,Horford,201143.0,,,,,,,,,,,,,,,
61,PT06M38.00S,2022-10-21T23:53:20.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,13,8,2022-10-21T23:53:20Z,610000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M28.00S,2022-10-21T23:56:43.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.67608409986859,70.83333333333334,1610612738,13,8,2022-10-21T23:56:50Z,620000,104.0,242.0,1,right,MISS J. Tatum 26' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,,,26.34,Missed,,,,,,,,,,
64,PT06M24.00S,2022-10-21T23:56:47.0Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,13,8,2022-10-21T23:56:50Z,630000,,,0,,A. Horford REBOUND (Off:1 Def:0),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,63.0,1.0,0.0,1.0,,,,,
65,PT06M18.00S,2022-10-21T23:56:52.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,92.32917214191852,1.715686274509804,1610612738,13,8,2022-10-21T23:57:06Z,640000,-241.0,20.0,1,right,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Left Corner 3,24+ Left,,,,,,,,,24.22,Missed,,,,,,,,,,
66,PT06M16.00S,2022-10-21T23:56:54.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,13,8,2022-10-21T23:57:06Z,650000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,65.0,,,,,,,,
67,PT06M16.00S,2022-10-21T23:57:04.2Z,1,REGULAR,foul,personal,[],1628389,,,1610612738,13,8,2022-10-21T23:57:14Z,660000,,,0,,B. Adebayo loose ball personal FOUL (2 PF),"[1628389, 201143]",1610612748.0,MIA,loose ball,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,1162.0,2.0,0.0,Horford,201143.0,,,,,,,,,,,,,,,
69,PT06M16.00S,2022-10-21T23:57:11.5Z,1,REGULAR,substitution,out,[],1628389,,,1610612738,13,8,2022-10-21T23:57:16Z,680000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M16.00S,2022-10-21T23:57:11.5Z,1,REGULAR,substitution,in,[],203473,,,1610612738,13,8,2022-10-21T23:57:16Z,690000,,,0,,SUB in: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M09.00S,2022-10-21T23:57:34.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628401,94.1688567674113,96.07843137254902,1610612738,13,11,2022-10-21T23:57:42Z,700000,230.0,2.0,1,right,D. White 3PT  (3 PTS) (J. Tatum 1 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,,,,,,,,,23.04,Made,3.0,,,,,J. Tatum,1628369.0,1.0,,
74,PT05M42.00S,2022-10-21T23:58:00.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,9.280551905387648,41.911764705882355,1610612748,13,11,2022-10-22T00:06:02Z,720000,40.0,35.0,1,left,MISS J. Butler driving Layup,[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,5.33,Missed,,,,,,,,,,
75,PT05M41.00S,2022-10-21T23:58:01.7Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,13,11,2022-10-21T23:58:19Z,730000,,,0,,D. White REBOUND (Off:0 Def:3),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,74.0,3.0,3.0,0.0,,,,,
76,PT05M41.00S,2022-10-21T23:58:07.9Z,1,REGULAR,foul,personal,[],203473,,,1610612738,13,11,2022-10-21T23:58:14Z,740000,,,0,,D. Dedmon personal FOUL (1 PF),"[203473, 1628401]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,In The Paint (Non-RA),0-8 Center,201245.0,1.0,0.0,White,1628401.0,,,,,,,,,,,,,,,
78,PT05M41.00S,2022-10-21T23:58:16.1Z,1,REGULAR,substitution,out,[],202710,,,1610612738,13,11,2022-10-21T23:58:25Z,760000,,,0,,SUB out: J. Butler,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M41.00S,2022-10-21T23:58:16.1Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,13,11,2022-10-21T23:58:25Z,770000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M41.00S,2022-10-21T23:58:16.1Z,1,REGULAR,substitution,in,[],1629622,,,1610612738,13,11,2022-10-21T23:58:25Z,780000,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M41.00S,2022-10-21T23:58:16.1Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,13,11,2022-10-21T23:58:25Z,790000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M25.00S,2022-10-21T23:58:40.0Z,1,REGULAR,3pt,Jump Shot,[],201143,87.99277266754271,3.1862745098039214,1610612738,13,14,2022-10-21T23:58:45Z,800000,-234.0,60.0,1,right,A. Horford 24' 3PT  (3 PTS) (J. Brown 2 AST),"[201143, 1627759]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Left Corner 3,24+ Left,,,,,,,,,24.18,Made,3.0,,,,,J. Brown,1627759.0,2.0,,
84,PT05M14.00S,2022-10-21T23:58:51.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200768,7.30946123521682,52.94117647058824,1610612748,15,14,2022-10-21T23:59:15Z,820000,-15.0,16.0,1,left,K. Lowry driving Layup (5 PTS) (M. Strus 1 AST),"[200768, 1629622]",1610612748.0,MIA,driving,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,,,,,,,,,2.19,Made,5.0,,,,,M. Strus,1629622.0,1.0,,
85,PT04M51.00S,2022-10-21T23:59:14.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,93.11760840998686,41.42156862745098,1610612738,15,16,2022-10-21T23:59:24Z,830000,-43.0,12.0,1,right,M. Smart turnaround Jump Shot (2 PTS),[203935],1610612738.0,BOS,turnaround,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,4.46,Made,2.0,,,,,,,,,
