actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
55,PT06M08.00S,2022-11-02T23:51:48.8Z,1,REGULAR,turnover,out-of-bounds,[],1628989,,,1610612758,14,18,2022-11-02T23:52:03Z,550000,,,0,,K. Huerter bad pass out-of-bounds TURNOVER (1 TO),[1628989],1610612758.0,SAC,bad pass,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1.0,,,,,,,,
56,PT05M56.00S,2022-11-02T23:52:02.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",200768,14.668199737187912,37.99019607843137,1610612748,16,18,2022-11-02T23:52:08Z,560000,60.0,85.0,1,left,K. Lowry 10' fadeaway Jump Shot (8 PTS),[200768],1610612748.0,MIA,fadeaway,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),8-16 Right,10.44,Made,,,,,8.0,,,,,,,,,,,,,
57,PT05M36.00S,2022-11-02T23:52:22.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,92.46057818659659,56.86274509803921,1610612758,16,18,2022-11-02T23:52:27Z,570000,34.0,18.0,1,right,MISS H. Barnes driving floating Shot,[203084],1610612758.0,SAC,driving floating,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,3.89,Missed,,,,,,,,,,,,,,,,,,
58,PT05M34.00S,2022-11-02T23:52:24.5Z,1,REGULAR,rebound,offensive,[],203084,,,1610612758,16,18,2022-11-02T23:52:24Z,580000,,,0,,H. Barnes REBOUND (Off:1 Def:0),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,,,57.0,1.0,0.0,1.0,,,,,,,,,,,,,,
59,PT05M32.00S,2022-11-02T23:52:27.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627734,81.2910643889619,49.01960784313725,1610612758,16,18,2022-11-02T23:52:32Z,590000,-5.0,123.0,1,right,MISS D. Sabonis 12' Jump Shot,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,12.35,Missed,,,,,,,,,,,,,,,,,,
60,PT05M29.00S,2022-11-02T23:52:30.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,16,18,2022-11-02T23:52:32Z,600000,,,0,,B. Adebayo REBOUND (Off:0 Def:2),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,59.0,2.0,2.0,0.0,,,,,,,,,,,,,,
61,PT05M16.00S,2022-11-02T23:52:42.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200768,5.732588699080158,52.94117647058824,1610612748,18,18,2022-11-02T23:52:47Z,610000,-15.0,1.0,1,left,K. Lowry driving Layup (10 PTS),[200768],1610612748.0,MIA,driving,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,1.48,Made,,,,,10.0,,,,,,,,,,,,,
62,PT04M54.00S,2022-11-02T23:53:04.5Z,1,REGULAR,3pt,Jump Shot,[],1630558,77.34888304862024,88.97058823529412,1610612758,18,18,2022-11-02T23:53:20Z,620000,195.0,160.0,1,right,MISS D. Mitchell 25' 3PT,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,25.24,Missed,,,,,,,,,,,,,,,,,,
63,PT04M46.00S,2022-11-02T23:53:12.5Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,18,18,2022-11-02T23:53:20Z,630000,,,0,,C. Martin REBOUND (Off:1 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Right Center,,,62.0,2.0,1.0,1.0,,,,,,,,,,,,,,
64,PT04M35.00S,2022-11-02T23:53:25.4Z,1,REGULAR,turnover,out-of-bounds,[],1629639,,,1610612748,18,18,2022-11-02T23:53:32Z,640000,,,0,,T. Herro bad pass out-of-bounds TURNOVER (1 TO),[1629639],1610612748.0,MIA,bad pass,,,Herro,T. Herro,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,2715.0,1.0,,,,,,,,
65,PT04M35.00S,2022-11-02T23:53:29.7Z,1,REGULAR,substitution,out,[],200768,,,1610612758,18,18,2022-11-02T23:53:43Z,650000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT04M35.00S,2022-11-02T23:53:29.7Z,1,REGULAR,substitution,out,[],1628389,,,1610612758,18,18,2022-11-02T23:53:43Z,660000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT04M35.00S,2022-11-02T23:53:29.7Z,1,REGULAR,substitution,out,[],1629622,,,1610612758,18,18,2022-11-02T23:53:43Z,670000,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT04M35.00S,2022-11-02T23:53:29.7Z,1,REGULAR,substitution,out,[],1628989,,,1610612758,18,18,2022-11-02T23:53:43Z,680000,,,0,,SUB out: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT04M35.00S,2022-11-02T23:53:29.7Z,1,REGULAR,substitution,out,[],1630558,,,1610612758,18,18,2022-11-02T23:53:43Z,690000,,,0,,SUB out: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT04M35.00S,2022-11-02T23:53:29.7Z,1,REGULAR,substitution,out,[],203084,,,1610612758,18,18,2022-11-02T23:53:43Z,700000,,,0,,SUB out: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT04M35.00S,2022-11-02T23:53:29.7Z,1,REGULAR,substitution,in,[],1629216,,,1610612758,18,18,2022-11-02T23:53:43Z,710000,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M35.00S,2022-11-02T23:53:29.7Z,1,REGULAR,substitution,in,[],1629130,,,1610612758,18,18,2022-11-02T23:53:43Z,720000,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M35.00S,2022-11-02T23:53:29.7Z,1,REGULAR,substitution,in,[],203473,,,1610612758,18,18,2022-11-02T23:53:43Z,730000,,,0,,SUB in: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M35.00S,2022-11-02T23:53:29.7Z,1,REGULAR,substitution,in,[],1628370,,,1610612758,18,18,2022-11-02T23:53:43Z,740000,,,0,,SUB in: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M35.00S,2022-11-02T23:53:29.7Z,1,REGULAR,substitution,in,[],203521,,,1610612758,18,18,2022-11-02T23:53:43Z,750000,,,0,,SUB in: M. Dellavedova,[203521],1610612758.0,SAC,,,,Dellavedova,M. Dellavedova,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M35.00S,2022-11-02T23:53:29.7Z,1,REGULAR,substitution,in,[],1631099,,,1610612758,18,18,2022-11-02T23:53:43Z,760000,,,0,,SUB in: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M25.00S,2022-11-02T23:54:03.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628370,90.48948751642575,55.14705882352941,1610612758,18,18,2022-11-02T23:54:09Z,770000,26.0,37.0,1,right,MISS M. Monk driving floating Shot,[1628370],1610612758.0,SAC,driving floating,,,Monk,M. Monk,,,,,In The Paint (Non-RA),0-8 Center,4.5,Missed,,,,,,,,,,,,,,,,,,
78,PT04M23.00S,2022-11-02T23:54:05.1Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,18,18,2022-11-02T23:54:09Z,780000,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,,,
79,PT04M02.00S,2022-11-02T23:54:25.7Z,1,REGULAR,2pt,Jump Shot,[],1629216,21.50131406044678,56.61764705882353,1610612748,18,18,2022-11-02T23:54:34Z,790000,-33.0,150.0,1,left,MISS G. Vincent 15' pullup Shot,[1629216],1610612748.0,MIA,pullup,,,Vincent,G. Vincent,,,,,Mid-Range,8-16 Center,15.32,Missed,,,,,,,,,,,,,,,,,,
80,PT04M00.00S,2022-11-02T23:54:27.7Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,18,18,2022-11-02T23:54:34Z,800000,,,0,,D. Sabonis REBOUND (Off:0 Def:5),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Center,,,79.0,5.0,5.0,0.0,,,,,,,,,,,,,,
81,PT03M52.00S,2022-11-02T23:54:36.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,92.46057818659659,44.36274509803921,1610612758,18,20,2022-11-02T23:54:43Z,810000,-28.0,18.0,1,right,D. Sabonis driving Layup (6 PTS) (M. Monk 1 AST),"[1627734, 1628370]",1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,3.37,Made,,,,,6.0,M. Monk,1628370.0,1.0,,,,,,,,,,
