actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
35,PT08M37.00S,2022-12-21T00:47:06.1Z,1,REGULAR,turnover,bad pass,[],203897,,,1610612741,5,4,2022-12-21T00:47:09Z,350000,False,,,0,,Z. LaVine bad pass TURNOVER (1 TO),"[203897, 203506]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,1.0,Oladipo,203506.0,,,,,
36,PT08M37.00S,2022-12-21T00:47:06.1Z,1,REGULAR,steal,,[],203506,,,1610612748,5,4,2022-12-21T00:47:07Z,360000,False,,,0,,V. Oladipo STEAL (1 STL),[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,
37,PT08M30.00S,2022-12-21T00:47:13.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629639,14.848883048620237,97.28094362745098,1610612748,5,4,2022-12-21T00:47:30Z,370000,False,-236.0,87.0,1,left,MISS T. Herro 25' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Left Corner 3,24+ Left,25.19,Missed,,,,,,,,,,,,,,,,
38,PT08M29.00S,2022-12-21T00:47:14.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,5,4,2022-12-21T00:47:30Z,380000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Left Corner 3,24+ Left,,,37.0,,,,,,,,,,,,,,,
40,PT08M16.00S,2022-12-21T00:47:35.2Z,1,REGULAR,2pt,Jump Shot,[],202696,73.76806833114324,50.49019607843137,1610612741,5,6,2022-12-21T00:50:07Z,400000,False,2.0,194.0,1,right,N. Vucevic 19' pullup Jump Shot (6 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,pullup,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Center,19.41,Made,,,,,6.0,Z. LaVine,203897.0,1.0,,,,,,,,
42,PT07M56.00S,2022-12-21T00:47:53.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629622,6.356767411300922,44.11764705882353,1610612748,5,6,2022-12-21T00:47:59Z,420000,False,29.0,7.0,1,left,MISS M. Strus driving Layup,[1629622],1610612748.0,MIA,driving,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,3.03,Missed,,,,,,,,,,,,,,,,
43,PT07M54.00S,2022-12-21T00:47:55.9Z,1,REGULAR,rebound,offensive,[],1629622,,,1610612748,5,6,2022-12-21T00:47:59Z,430000,False,,,0,,M. Strus REBOUND (Off:1 Def:1),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,,,42.0,2.0,1.0,1.0,,,,,,,,,,,,
44,PT07M54.00S,2022-12-21T00:47:57.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629622,5.590000152587891,50.0,1610612748,5,6,2022-12-21T00:47:57Z,440000,False,0.0,0.0,1,left,MISS M. Strus tip Layup,[1629622],1610612748.0,MIA,tip,,,Strus,M. Strus,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,
45,PT07M52.00S,2022-12-21T00:47:58.4Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,5,6,2022-12-21T00:47:58Z,450000,False,,,0,,B. Adebayo REBOUND (Off:2 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,,,44.0,2.0,0.0,2.0,,,,,,,,,,,,
46,PT07M51.00S,2022-12-21T00:48:00.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628389,9.773324572930349,49.754901960784316,1610612748,7,6,2022-12-21T00:53:29Z,460000,False,1.0,39.0,1,left,B. Adebayo floating Jump Shot (4 PTS),[1628389],1610612748.0,MIA,floating,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,3.94,Made,,,,,4.0,,,,,,,,,,,
47,PT07M30.00S,2022-12-21T00:48:19.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,87.9599211563732,49.50980392156863,1610612741,7,8,2022-12-21T00:48:30Z,470000,False,-2.0,61.0,1,right,N. Vucevic 6' turnaround Hook (8 PTS) (A. Caruso 1 AST),"[202696, 1627936]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,6.08,Made,,,,,8.0,A. Caruso,1627936.0,1.0,,,,,,,,
49,PT07M15.00S,2022-12-21T00:48:35.9Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,7,8,2022-12-21T00:49:09Z,490000,False,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1630172]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,1.0,Williams,1630172.0,,,,,
50,PT07M15.00S,2022-12-21T00:48:35.9Z,1,REGULAR,steal,,[],1630172,,,1610612741,7,8,2022-12-21T00:49:47Z,500000,False,,,0,,P. Williams STEAL (1 STL),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,
51,PT07M09.00S,2022-12-21T00:48:44.3Z,1,REGULAR,foul,personal,['2freethrow'],203506,,,1610612741,7,8,2022-12-21T00:48:54Z,510000,False,,,0,,V. Oladipo shooting personal FOUL (1 PF) (DeRozan 2 FT),"[203506, 201942]",1610612748.0,MIA,shooting,,,Oladipo,V. Oladipo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1628480.0,1.0,0.0,DeRozan,201942.0
53,PT07M09.00S,2022-12-21T00:49:09.6Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201942,,,1610612741,7,9,2022-12-21T00:49:09Z,530000,False,,,0,,D. DeRozan Free Throw 1 of 2 (1 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,,,,,1.0,,,,,,,,,,,
54,PT07M09.00S,2022-12-21T00:49:25.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201942,,,1610612741,7,10,2022-12-21T00:49:25Z,540000,False,,,0,,D. DeRozan Free Throw 2 of 2 (2 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,,,,,2.0,,,,,,,,,,,
55,PT06M49.00S,2022-12-21T00:49:47.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203506,6.4881734559789805,46.32352941176471,1610612748,9,10,2022-12-21T00:49:58Z,550000,False,18.0,8.0,1,left,V. Oladipo driving Layup (2 PTS) (H. Highsmith 1 AST),"[203506, 1629312]",1610612748.0,MIA,driving,,,Oladipo,V. Oladipo,,,,,Restricted Area,0-8 Center,2.03,Made,,,,,2.0,H. Highsmith,1629312.0,1.0,,,,,,,,
56,PT06M31.00S,2022-12-21T00:50:05.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,86.51445466491458,59.80392156862745,1610612741,9,12,2022-12-21T00:50:16Z,560000,False,49.0,74.0,1,right,D. DeRozan 8' bank Jump Shot (4 PTS),[201942],1610612741.0,CHI,bank,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),8-16 Right,8.9,Made,,,,,4.0,,,,,,,,,,,
57,PT06M22.00S,2022-12-21T00:50:19.9Z,1,REGULAR,foul,personal,['2freethrow'],201942,,,1610612748,9,12,2022-12-21T00:50:38Z,570000,False,,,0,,D. DeRozan shooting personal FOUL (1 PF) (Strus 2 FT),"[201942, 1629622]",1610612741.0,CHI,shooting,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1628480.0,1.0,0.0,Strus,1629622.0
61,PT06M22.00S,2022-12-21T00:51:46.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,9,12,2022-12-21T00:51:46Z,610000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M22.00S,2022-12-21T00:53:07.0Z,1,REGULAR,substitution,out,[],203506,,,1610612748,9,12,2022-12-21T00:53:21Z,640000,False,,,0,,SUB out: V. Oladipo,[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M22.00S,2022-12-21T00:53:07.0Z,1,REGULAR,substitution,out,[],1630172,,,1610612748,9,12,2022-12-21T00:53:21Z,650000,False,,,0,,SUB out: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M22.00S,2022-12-21T00:53:07.0Z,1,REGULAR,substitution,out,[],1627936,,,1610612748,9,12,2022-12-21T00:53:21Z,660000,False,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M22.00S,2022-12-21T00:53:07.0Z,1,REGULAR,substitution,in,[],1629130,,,1610612748,9,12,2022-12-21T00:53:21Z,670000,False,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M22.00S,2022-12-21T00:53:07.0Z,1,REGULAR,substitution,in,[],1629632,,,1610612748,9,12,2022-12-21T00:53:21Z,680000,False,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M22.00S,2022-12-21T00:53:07.0Z,1,REGULAR,substitution,in,[],1627884,,,1610612748,9,12,2022-12-21T00:53:21Z,690000,False,,,0,,SUB in: D. Jones Jr.,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M22.00S,2022-12-21T00:53:35.4Z,1,REGULAR,freethrow,1 of 2,[],1629622,,,1610612748,10,12,2022-12-21T00:53:52Z,700000,False,,,0,,M. Strus Free Throw 1 of 2 (4 PTS),[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,Made,,,,,4.0,,,,,,,,,,,
71,PT06M22.00S,2022-12-21T00:53:35.4Z,1,REGULAR,freethrow,2 of 2,[],1629622,,,1610612748,10,12,2022-12-21T00:53:52Z,710000,False,,,0,,MISS M. Strus Free Throw 2 of 2,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,Missed,,,,,,,,,,,,,,,,
72,PT06M20.00S,2022-12-21T00:53:37.4Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,10,12,2022-12-21T00:53:52Z,720000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,71.0,2.0,2.0,0.0,,,,,,,,,,,,
73,PT05M56.00S,2022-12-21T00:54:15.2Z,1,REGULAR,2pt,Jump Shot,[],201942,78.23587385019711,68.87254901960785,1610612741,10,12,2022-12-21T00:54:20Z,730000,False,94.0,152.0,1,right,MISS D. DeRozan 17' Jump Shot,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right Center,17.9,Missed,,,,,,,,,,,,,,,,
74,PT05M53.00S,2022-12-21T00:54:18.2Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,10,12,2022-12-21T00:54:18Z,740000,False,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Right Center,,,73.0,2.0,2.0,0.0,,,,,,,,,,,,
75,PT05M49.00S,2022-12-21T00:54:22.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1628389,7.013797634691201,50.49019607843137,1610612748,12,12,2022-12-21T00:54:27Z,750000,False,-2.0,13.0,1,left,B. Adebayo running DUNK (6 PTS) (T. Herro 2 AST),"[1628389, 1629639]",1610612748.0,MIA,running,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,1.36,Made,,,,,6.0,T. Herro,1629639.0,2.0,,,,,,,,
77,PT05M28.00S,2022-12-21T00:54:43.1Z,1,REGULAR,3pt,Jump Shot,[],1629632,65.62089356110381,45.14016544117647,1610612741,12,15,2022-12-21T00:54:48Z,770000,False,-24.0,271.0,1,right,C. White 27' 3PT  (3 PTS) (N. Vucevic 1 AST),"[1629632, 202696]",1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Center,27.18,Made,,,,,3.0,N. Vucevic,202696.0,1.0,,,,,,,,
79,PT05M12.00S,2022-12-21T00:54:58.5Z,1,REGULAR,3pt,Jump Shot,[],1629622,5.568331143232584,4.901960784313729,1610612748,12,15,2022-12-21T00:55:02Z,790000,False,225.0,0.0,1,left,MISS M. Strus 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Right Corner 3,24+ Right,22.55,Missed,,,,,,,,,,,,,,,,
80,PT05M10.00S,2022-12-21T00:55:00.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,12,15,2022-12-21T00:55:02Z,800000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Right Corner 3,24+ Right,,,79.0,3.0,3.0,0.0,,,,,,,,,,,,
81,PT05M00.00S,2022-12-21T00:55:11.7Z,1,REGULAR,3pt,Jump Shot,[],1627884,92.16491458607096,4.411764705882348,1610612741,12,15,2022-12-21T00:55:17Z,810000,False,-228.0,21.0,1,right,MISS D. Jones Jr. 3PT,[1627884],1610612741.0,CHI,,,,Jones Jr.,D. Jones Jr.,,,,,Left Corner 3,24+ Left,22.89,Missed,,,,,,,,,,,,,,,,
82,PT04M57.00S,2022-12-21T00:55:14.7Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,12,15,2022-12-21T00:55:17Z,820000,False,,,0,,B. Adebayo REBOUND (Off:2 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Left Corner 3,24+ Left,,,81.0,3.0,1.0,2.0,,,,,,,,,,,,
83,PT04M51.00S,2022-12-21T00:55:19.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628389,18.31471747700394,62.254901960784316,1610612748,14,15,2022-12-21T00:55:35Z,830000,False,-61.0,120.0,1,left,B. Adebayo 13' pullup Jump Shot (8 PTS),[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,13.45,Made,,,,,8.0,,,,,,,,,,,
84,PT04M36.00S,2022-12-21T00:55:34.5Z,1,REGULAR,3pt,Jump Shot,[],203897,65.88370565045992,55.88235294117647,1610612741,14,18,2022-12-21T00:55:39Z,840000,False,29.0,268.0,1,right,Z. LaVine 26' 3PT  (3 PTS) (D. Jones Jr. 1 AST),"[203897, 1627884]",1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Center,26.98,Made,,,,,3.0,D. Jones Jr.,1627884.0,1.0,,,,,,,,
86,PT04M19.00S,2022-12-21T00:55:55.2Z,1,REGULAR,turnover,out-of-bounds,[],1629639,,,1610612748,14,18,2022-12-21T00:56:00Z,860000,False,,,0,,T. Herro bad pass out-of-bounds TURNOVER (1 TO),[1629639],1610612748.0,MIA,bad pass,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,203591.0,,,,
87,PT04M19.00S,2022-12-21T00:56:00.9Z,1,REGULAR,substitution,out,[],202696,,,1610612741,14,18,2022-12-21T00:56:10Z,870000,False,,,0,,SUB out: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M19.00S,2022-12-21T00:56:00.9Z,1,REGULAR,substitution,out,[],201942,,,1610612741,14,18,2022-12-21T00:56:10Z,880000,False,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M19.00S,2022-12-21T00:56:00.9Z,1,REGULAR,substitution,in,[],201609,,,1610612741,14,18,2022-12-21T00:56:10Z,890000,False,,,0,,SUB in: G. Dragic,[201609],1610612741.0,CHI,,,,Dragic,G. Dragic,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M19.00S,2022-12-21T00:56:00.9Z,1,REGULAR,substitution,in,[],1630172,,,1610612741,14,18,2022-12-21T00:56:10Z,900000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,
