actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
32,PT09M28.00S,2022-11-08T01:36:23.9Z,1,REGULAR,foul,personal,['2freethrow'],1629622,,,1610612757,3,8,2022-11-08T01:36:36Z,310000,,,0,,M. Strus shooting personal FOUL (1 PF) (Nurkic 2 FT),"[1629622, 203994]",1610612748.0,MIA,shooting,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,202058.0,1.0,0.0,Nurkic,203994.0,,
34,PT09M28.00S,2022-11-08T01:36:43.4Z,1,REGULAR,freethrow,1 of 2,[],203994,,,1610612757,3,9,2022-11-08T01:36:43Z,330000,,,0,,J. Nurkic Free Throw 1 of 2 (1 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
35,PT09M28.00S,2022-11-08T01:36:56.4Z,1,REGULAR,freethrow,2 of 2,[],203994,,,1610612757,3,10,2022-11-08T01:36:56Z,340000,,,0,,J. Nurkic Free Throw 2 of 2 (2 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
36,PT09M15.00S,2022-11-08T01:37:10.4Z,1,REGULAR,3pt,Jump Shot,[],200768,14.536793692509855,94.11764705882352,1610612748,6,10,2022-11-08T01:37:19Z,350000,-221.0,84.0,1,left,K. Lowry 3PT  (6 PTS) (C. Martin 1 AST),"[200768, 1628997]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Left Corner 3,24+ Left,,,,23.61,Made,6.0,C. Martin,1628997.0,1.0,,,,,,,,,,,
38,PT09M02.00S,2022-11-08T01:37:28.0Z,1,REGULAR,turnover,traveling,[],1628404,,,1610612757,6,10,2022-11-08T01:37:36Z,370000,,,0,,J. Hart traveling TURNOVER (1 TO),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Right Center,1.0,,,,,,,,,,,,,202058.0,,,,,,
39,PT08M53.00S,2022-11-08T01:37:41.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202710,6.652431011826544,52.69607843137255,1610612748,8,10,2022-11-08T01:37:48Z,380000,-13.0,10.0,1,left,J. Butler driving reverse Layup (2 PTS),[202710],1610612748.0,MIA,driving reverse,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,1.68,Made,2.0,,,,,,,,,,,,,,
40,PT08M43.00S,2022-11-08T01:37:51.7Z,1,REGULAR,3pt,Jump Shot,[],1629014,72.22404730617609,18.872549019607842,1610612757,8,10,2022-11-08T01:37:59Z,390000,-156.0,209.0,1,right,MISS A. Simons 26' pullup 3PT,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,,,,26.02,Missed,,,,,,,,,,,,,,,
41,PT08M40.00S,2022-11-08T01:37:54.7Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,8,10,2022-11-08T01:37:59Z,400000,,,0,,J. Butler REBOUND (Off:0 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,40.0,2.0,2.0,0.0,,,,,,,
42,PT08M32.00S,2022-11-08T01:38:08.6Z,1,REGULAR,foul,personal,['2freethrow'],1628404,,,1610612748,8,10,2022-11-08T01:38:15Z,410000,,,0,,J. Hart shooting personal FOUL (1 PF) (Butler 2 FT),"[1628404, 202710]",1610612757.0,POR,shooting,,,Hart,J. Hart,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1627963.0,1.0,0.0,Butler,202710.0,,
46,PT08M32.00S,2022-11-08T01:38:35.8Z,1,REGULAR,freethrow,1 of 2,[],202710,,,1610612748,9,10,2022-11-08T01:38:35Z,430000,,,0,,J. Butler Free Throw 1 of 2 (3 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
47,PT08M32.00S,2022-11-08T01:38:36.9Z,1,REGULAR,substitution,out,[],1629014,,,1610612748,9,10,2022-11-08T01:38:41Z,440000,,,0,,SUB out: A. Simons,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M32.00S,2022-11-08T01:38:36.9Z,1,REGULAR,substitution,in,[],1626159,,,1610612748,9,10,2022-11-08T01:38:41Z,450000,,,0,,SUB in: J. Winslow,[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M32.00S,2022-11-08T01:38:59.1Z,1,REGULAR,freethrow,2 of 2,[],202710,,,1610612748,10,10,2022-11-08T01:38:59Z,460000,,,0,,J. Butler Free Throw 2 of 2 (4 PTS),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
50,PT08M09.00S,2022-11-08T01:39:23.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,92.19776609724047,49.50980392156863,1610612757,10,10,2022-11-08T01:39:29Z,470000,-2.0,21.0,1,right,MISS J. Grant driving reverse Layup,[203924],1610612757.0,POR,driving reverse,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,,2.09,Missed,,,,,,,,,,,,,,,
51,PT08M06.00S,2022-11-08T01:39:26.6Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,10,10,2022-11-08T01:39:29Z,480000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,
52,PT08M01.00S,2022-11-08T01:39:31.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628389,6.783837056504599,53.67647058823529,1610612748,10,10,2022-11-08T01:47:13Z,490000,-18.0,11.0,1,left,MISS B. Adebayo running Layup,[1628389],1610612748.0,MIA,running,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,2.16,Missed,,,,,,,,,,,,,,,
53,PT07M58.00S,2022-11-08T01:39:34.2Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,10,10,2022-11-08T01:39:38Z,500000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,,,,52.0,1.0,1.0,0.0,,,,,,,
54,PT07M55.00S,2022-11-08T01:39:41.2Z,1,REGULAR,turnover,out-of-bounds,[],1628404,,,1610612757,10,10,2022-11-08T01:39:47Z,510000,,,0,,J. Hart bad pass out-of-bounds TURNOVER (2 TO),[1628404],1610612757.0,POR,bad pass,,,Hart,J. Hart,,,,,Mid-Range,16-24 Right Center,2.0,,,,,,,,,,,,,1627963.0,,,,,,
55,PT07M41.00S,2022-11-08T01:39:56.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202710,7.178055190538765,49.754901960784316,1610612748,10,10,2022-11-08T01:40:02Z,520000,1.0,15.0,1,left,MISS J. Butler driving Layup,[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,1.5,Missed,,,,,,,,,,,,,,,
