actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
14,PT10M21.00S,2023-01-25T00:35:52.6Z,1,REGULAR,foul,personal,['2freethrow'],200768,,,1610612738,2,4,2023-01-25T00:36:19Z,140000,False,,,0,,K. Lowry shooting personal FOUL (1 PF) (White 2 FT),"[200768, 1628401]",1610612748.0,MIA,202026.0,Lowry,K. Lowry,shooting,Mid-Range,8-16 Left,,,,,,,,,,,1.0,0.0,White,1628401.0,,,,,
16,PT10M21.00S,2023-01-25T00:36:13.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628401,,,1610612738,2,5,2023-01-25T00:41:55Z,160000,False,,,0,,D. White Free Throw 1 of 2 (3 PTS),[1628401],1610612738.0,BOS,,White,D. White,,,,,Made,,,,,3.0,,,,,,,,,,,,
18,PT10M21.00S,2023-01-25T00:36:13.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628401,,,1610612738,2,5,2023-01-25T00:41:55Z,170000,False,,,0,,MISS D. White Free Throw 2 of 2,[1628401],1610612738.0,BOS,,White,D. White,,,,,Missed,,,,,,,,,,,,,,,,,
19,PT10M18.00S,2023-01-25T00:36:16.5Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,2,5,2023-01-25T00:36:32Z,180000,False,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612748.0,MIA,,Strus,M. Strus,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT10M04.00S,2023-01-25T00:36:45.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,17.559132720105126,52.94117647058824,1610612748,2,5,2023-01-25T00:55:59Z,190000,False,-15.0,113.0,1,left,MISS T. Herro 11' pullup Shot,[1629639],1610612748.0,MIA,,Herro,T. Herro,pullup,In The Paint (Non-RA),8-16 Center,11.36,Missed,,,,,,,,,,,,,,,,,
21,PT10M01.00S,2023-01-25T00:36:48.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,5,2023-01-25T00:38:03Z,200000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,Tatum,J. Tatum,,In The Paint (Non-RA),8-16 Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT09M52.00S,2023-01-25T00:36:57.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,93.64323258869908,54.166666666666664,1610612738,2,7,2023-01-25T00:37:41Z,210000,False,21.0,7.0,1,right,J. Tatum cutting finger roll Layup (4 PTS) (D. White 1 AST),"[1628369, 1628401]",1610612738.0,BOS,,Tatum,J. Tatum,cutting finger roll,Restricted Area,0-8 Center,2.2,Made,,,,,4.0,D. White,1628401.0,1.0,,,,,,,,,
25,PT09M39.00S,2023-01-25T00:37:17.5Z,1,REGULAR,foul,personal,['2freethrow'],1629057,,,1610612748,2,7,2023-01-25T00:37:27Z,230000,False,,,0,,R. Williams III shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1629057, 1628389]",1610612738.0,BOS,202901.0,Williams III,R. Williams III,shooting,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,0.0,Adebayo,1628389.0,,,,,
27,PT09M39.00S,2023-01-25T00:37:42.0Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,3,7,2023-01-25T00:37:42Z,250000,False,,,0,,B. Adebayo Free Throw 1 of 2 (1 PTS),[1628389],1610612748.0,MIA,,Adebayo,B. Adebayo,,,,,Made,,,,,1.0,,,,,,,,,,,,
28,PT09M39.00S,2023-01-25T00:38:03.0Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,4,7,2023-01-25T00:38:03Z,260000,False,,,0,,B. Adebayo Free Throw 2 of 2 (2 PTS),[1628389],1610612748.0,MIA,,Adebayo,B. Adebayo,,,,,Made,,,,,2.0,,,,,,,,,,,,
29,PT09M31.00S,2023-01-25T00:38:18.6Z,1,REGULAR,turnover,out-of-bounds,[],1630202,,,1610612738,4,7,2023-01-25T00:38:24Z,270000,False,,,0,,P. Pritchard bad pass out-of-bounds TURNOVER (1 TO),[1630202],1610612738.0,BOS,202901.0,Pritchard,P. Pritchard,bad pass,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,1.0,,,,
30,PT09M13.00S,2023-01-25T00:38:39.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628389,18.347568988173457,48.03921568627451,1610612748,4,7,2023-01-25T00:38:44Z,280000,False,10.0,120.0,1,left,MISS B. Adebayo 12' pullup Shot,[1628389],1610612748.0,MIA,,Adebayo,B. Adebayo,pullup,In The Paint (Non-RA),8-16 Center,12.04,Missed,,,,,,,,,,,,,,,,,
31,PT09M11.00S,2023-01-25T00:38:41.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,7,2023-01-25T00:38:44Z,290000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,Tatum,J. Tatum,,In The Paint (Non-RA),8-16 Center,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,
32,PT09M08.00S,2023-01-25T00:38:52.5Z,1,REGULAR,foul,personal,[],1628997,,,1610612738,4,7,2023-01-25T00:39:15Z,300000,False,,,0,,C. Martin personal FOUL (1 PF),"[1628997, 1628369]",1610612748.0,MIA,2003.0,Martin,C. Martin,,Mid-Range,16-24 Center,,,,,,,,,,,1.0,0.0,Tatum,1628369.0,,,,,
34,PT08M56.00S,2023-01-25T00:39:13.7Z,1,REGULAR,2pt,Jump Shot,[],1628369,87.72996057818659,30.392156862745097,1610612738,4,7,2023-01-25T00:39:17Z,320000,False,-98.0,63.0,1,right,MISS J. Tatum 11' driving floating Shot,[1628369],1610612738.0,BOS,,Tatum,J. Tatum,driving floating,Mid-Range,8-16 Left,11.64,Missed,,,,,,,,,,,,,,,,,
35,PT08M54.00S,2023-01-25T00:39:15.7Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,4,7,2023-01-25T00:39:37Z,330000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,Herro,T. Herro,,Mid-Range,8-16 Left,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,
36,PT08M48.00S,2023-01-25T00:39:22.1Z,1,REGULAR,3pt,Jump Shot,[],1629639,27.151773981603156,80.63725490196079,1610612748,4,7,2023-01-25T00:39:29Z,340000,False,-153.0,203.0,1,left,MISS T. Herro 25' 3PT,[1629639],1610612748.0,MIA,,Herro,T. Herro,,Above the Break 3,24+ Left Center,25.41,Missed,,,,,,,,,,,,,,,,,
37,PT08M46.00S,2023-01-25T00:39:24.1Z,1,REGULAR,rebound,offensive,[],1629622,,,1610612748,4,7,2023-01-25T00:39:42Z,350000,False,,,0,,M. Strus REBOUND (Off:1 Def:1),[1629622],1610612748.0,MIA,,Strus,M. Strus,,Above the Break 3,24+ Left Center,,,36.0,2.0,1.0,1.0,,,,,,,,,,,,,
38,PT08M43.00S,2023-01-25T00:39:26.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629622,26.49474375821288,84.55882352941177,1610612748,7,7,2023-01-25T00:39:31Z,360000,False,-173.0,197.0,1,left,M. Strus 26' 3PT  (3 PTS) (K. Lowry 1 AST),"[1629622, 200768]",1610612748.0,MIA,,Strus,M. Strus,,Above the Break 3,24+ Left Center,26.17,Made,,,,,3.0,K. Lowry,200768.0,1.0,,,,,,,,,
40,PT08M27.00S,2023-01-25T00:39:42.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,83.26215505913272,40.44117647058824,1610612738,7,7,2023-01-25T00:39:51Z,380000,False,-48.0,105.0,1,right,MISS J. Tatum 11' turnaround fadeaway Shot,[1628369],1610612738.0,BOS,,Tatum,J. Tatum,turnaround fadeaway,In The Paint (Non-RA),8-16 Center,11.52,Missed,,,,,,,,,,,,,,,,,
41,PT08M25.00S,2023-01-25T00:39:44.1Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,7,7,2023-01-25T00:39:51Z,390000,False,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,Lowry,K. Lowry,,In The Paint (Non-RA),8-16 Center,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,
42,PT08M14.00S,2023-01-25T00:39:54.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629622,5.732588699080158,47.794117647058826,1610612748,7,7,2023-01-25T00:40:11Z,400000,False,11.0,1.0,1,left,MISS M. Strus Layup - blocked,"[1629622, 1628401]",1610612748.0,MIA,,Strus,M. Strus,,Restricted Area,0-8 Center,1.11,Missed,,,,,,,,,,,,,,White,1628401.0,,
43,PT08M14.00S,2023-01-25T00:39:54.9Z,1,REGULAR,block,,[],1628401,,,1610612748,7,7,2023-01-25T00:40:00Z,410000,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,White,D. White,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
44,PT08M14.00S,2023-01-25T00:39:54.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,7,7,2023-01-25T00:40:11Z,420000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,Restricted Area,0-8 Center,,,42.0,,,,,,,,,,,,,,,,
46,PT08M00.00S,2023-01-25T00:40:18.4Z,1,REGULAR,3pt,Jump Shot,[],1630202,66.70499342969777,50.0,1610612738,7,7,2023-01-25T00:40:21Z,440000,False,0.0,260.0,1,right,MISS P. Pritchard 26' 3PT,[1630202],1610612738.0,BOS,,Pritchard,P. Pritchard,,Above the Break 3,24+ Center,26.05,Missed,,,,,,,,,,,,,,,,,
47,PT07M58.00S,2023-01-25T00:40:20.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,7,7,2023-01-25T00:40:21Z,450000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,Adebayo,B. Adebayo,,Above the Break 3,24+ Center,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,
48,PT07M48.00S,2023-01-25T00:40:31.3Z,1,REGULAR,3pt,Jump Shot,[],1628997,22.28975032851511,90.19607843137256,1610612748,10,7,2023-01-25T00:40:36Z,460000,False,-201.0,157.0,1,left,C. Martin 25' 3PT  (3 PTS) (T. Herro 1 AST),"[1628997, 1629639]",1610612748.0,MIA,,Martin,C. Martin,,Above the Break 3,24+ Left Center,25.5,Made,,,,,3.0,T. Herro,1629639.0,1.0,,,,,,,,,
50,PT07M35.00S,2023-01-25T00:40:52.5Z,1,REGULAR,foul,personal,[],1628997,,,1610612738,10,7,2023-01-25T00:41:00Z,480000,False,,,0,,C. Martin personal FOUL (2 PF),"[1628997, 1628369]",1610612748.0,MIA,202026.0,Martin,C. Martin,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2.0,0.0,Tatum,1628369.0,,,,,
52,PT07M35.00S,2023-01-25T00:40:59.3Z,1,REGULAR,substitution,out,[],1628997,,,1610612738,10,7,2023-01-25T00:41:06Z,500000,False,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,
53,PT07M35.00S,2023-01-25T00:40:59.3Z,1,REGULAR,substitution,in,[],203506,,,1610612738,10,7,2023-01-25T00:41:06Z,510000,False,,,0,,SUB in: V. Oladipo,[203506],1610612748.0,MIA,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,,,,,,,
54,PT07M27.00S,2023-01-25T00:41:26.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,86.28449408672799,50.0,1610612738,10,9,2023-01-25T00:42:03Z,520000,False,0.0,76.0,1,right,J. Tatum 7' Jump Shot (6 PTS),[1628369],1610612738.0,BOS,,Tatum,J. Tatum,,In The Paint (Non-RA),0-8 Center,7.64,Made,,,,,6.0,,,,,,,,,,,,
56,PT07M27.00S,2023-01-25T00:41:29.5Z,1,REGULAR,foul,personal,['1freethrow'],1629639,,,1610612738,10,9,2023-01-25T00:41:41Z,540000,False,,,0,,T. Herro shooting personal FOUL (1 PF) (Tatum 1 FT),"[1629639, 1628369]",1610612748.0,MIA,2003.0,Herro,T. Herro,shooting,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,0.0,Tatum,1628369.0,,,,,
58,PT07M27.00S,2023-01-25T00:41:54.8Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,10,9,2023-01-25T00:41:54Z,560000,False,,,0,,MISS J. Tatum Free Throw 1 of 1,[1628369],1610612738.0,BOS,,Tatum,J. Tatum,,,,,Missed,,,,,,,,,,,,,,,,,
61,PT07M23.00S,2023-01-25T00:41:56.5Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612748,10,9,2023-01-25T00:41:56Z,570000,False,,,0,,M. Strus REBOUND (Off:1 Def:2),[1629622],1610612748.0,MIA,,Strus,M. Strus,,,,,,58.0,3.0,2.0,1.0,,,,,,,,,,,,,
62,PT07M14.00S,2023-01-25T00:42:05.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200768,14.668199737187912,48.529411764705884,1610612748,10,9,2023-01-25T00:42:16Z,580000,False,7.0,85.0,1,left,MISS K. Lowry 8' floating Shot,[200768],1610612748.0,MIA,,Lowry,K. Lowry,floating,In The Paint (Non-RA),8-16 Center,8.57,Missed,,,,,,,,,,,,,,,,,
63,PT07M11.00S,2023-01-25T00:42:08.6Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,10,9,2023-01-25T00:42:16Z,590000,False,,,0,,D. White REBOUND (Off:1 Def:2),[1628401],1610612738.0,BOS,,White,D. White,,In The Paint (Non-RA),8-16 Center,,,62.0,3.0,2.0,1.0,,,,,,,,,,,,,
64,PT07M10.00S,2023-01-25T00:42:12.3Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1628401,90.22667542706965,51.9607843137255,1610612738,10,9,2023-01-25T00:46:58Z,600000,False,10.0,39.0,1,right,MISS D. White running Shot,[1628401],1610612738.0,BOS,,White,D. White,running,Restricted Area,0-8 Center,4.06,Missed,,,,,,,,,,,,,,,,,
65,PT07M09.00S,2023-01-25T00:42:13.3Z,1,REGULAR,rebound,offensive,[],1630202,,,1610612738,10,9,2023-01-25T00:46:58Z,610000,False,,,0,,P. Pritchard REBOUND (Off:1 Def:0),[1630202],1610612738.0,BOS,,Pritchard,P. Pritchard,,Restricted Area,0-8 Center,,,64.0,1.0,0.0,1.0,,,,,,,,,,,,,
66,PT07M08.00S,2023-01-25T00:42:17.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', '2ndchance']",1630202,91.40932982917214,46.07843137254902,1610612738,10,11,2023-01-25T00:56:42Z,620000,False,-20.0,28.0,1,right,P. Pritchard putback Layup (2 PTS),[1630202],1610612738.0,BOS,,Pritchard,P. Pritchard,putback,Restricted Area,0-8 Center,3.44,Made,,,,,2.0,,,,,,,,,,,,
67,PT06M54.00S,2023-01-25T00:42:25.4Z,1,REGULAR,3pt,Jump Shot,[],203506,27.54599211563732,20.098039215686274,1610612748,10,11,2023-01-25T00:42:33Z,630000,False,150.0,206.0,1,left,MISS V. Oladipo 25' 3PT,[203506],1610612748.0,MIA,,Oladipo,V. Oladipo,,Above the Break 3,24+ Right Center,25.49,Missed,,,,,,,,,,,,,,,,,
68,PT06M54.00S,2023-01-25T00:42:25.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,10,11,2023-01-25T00:42:33Z,640000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,Tatum,J. Tatum,,Above the Break 3,24+ Right Center,,,67.0,3.0,3.0,0.0,,,,,,,,,,,,,
69,PT06M35.00S,2023-01-25T00:42:44.4Z,1,REGULAR,2pt,Jump Shot,[],1628401,89.88173455978975,74.04258578431373,1610612738,10,13,2023-01-25T00:49:02Z,650000,False,120.0,43.0,1,right,D. White 12' driving floating Jump Shot (5 PTS) (J. Tatum 1 AST),"[1628401, 1628369]",1610612738.0,BOS,,White,D. White,driving floating,Mid-Range,8-16 Right,12.75,Made,,,,,5.0,J. Tatum,1628369.0,1.0,,,,,,,,,
70,PT06M12.00S,2023-01-25T00:43:07.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629622,14.98028909329829,43.16023284313725,1610612748,12,13,2023-01-25T00:48:54Z,660000,False,34.0,88.0,1,left,M. Strus 9' driving floating Jump Shot (5 PTS),[1629622],1610612748.0,MIA,,Strus,M. Strus,driving floating,In The Paint (Non-RA),8-16 Center,9.47,Made,,,,,5.0,,,,,,,,,,,,
71,PT05M52.00S,2023-01-25T00:43:27.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.15045992115637,43.38235294117647,1610612738,12,13,2023-01-25T00:43:31Z,670000,False,-33.0,247.0,1,right,MISS J. Tatum 24' 3PT,[1628369],1610612738.0,BOS,,Tatum,J. Tatum,,Above the Break 3,24+ Center,24.91,Missed,,,,,,,,,,,,,,,,,
72,PT05M49.00S,2023-01-25T00:43:30.3Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,12,13,2023-01-25T00:43:31Z,680000,False,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,Herro,T. Herro,,Above the Break 3,24+ Center,,,71.0,2.0,2.0,0.0,,,,,,,,,,,,,
73,PT05M41.00S,2023-01-25T00:43:38.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,9.674770039421814,60.78431372549019,1610612748,14,13,2023-01-25T00:43:47Z,690000,False,-54.0,38.0,1,left,T. Herro 6' pullup Jump Shot (4 PTS),[1629639],1610612748.0,MIA,,Herro,T. Herro,pullup,In The Paint (Non-RA),0-8 Center,6.62,Made,,,,,4.0,,,,,,,,,,,,
74,PT05M23.00S,2023-01-25T00:44:03.8Z,1,REGULAR,foul,personal,"['inpenalty', '3freethrow']",203506,,,1610612738,14,13,2023-01-25T00:44:10Z,700000,False,,,0,,V. Oladipo shooting personal FOUL (1 PF) (White 3 FT),"[203506, 1628401]",1610612748.0,MIA,2003.0,Oladipo,V. Oladipo,shooting,Above the Break 3,24+ Right Center,,,,,,,,,,,1.0,0.0,White,1628401.0,,,,,
76,PT05M23.00S,2023-01-25T00:44:14.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,14,13,2023-01-25T00:44:14Z,720000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M23.00S,2023-01-25T00:44:19.3Z,1,REGULAR,substitution,out,[],1628389,,,1610612738,14,13,2023-01-25T00:47:43Z,730000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,
78,PT05M23.00S,2023-01-25T00:44:19.3Z,1,REGULAR,substitution,out,[],1629622,,,1610612738,14,13,2023-01-25T00:47:43Z,740000,False,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,
79,PT05M23.00S,2023-01-25T00:44:19.3Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,14,13,2023-01-25T00:47:43Z,750000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,
80,PT05M23.00S,2023-01-25T00:44:19.3Z,1,REGULAR,substitution,in,[],1629216,,,1610612738,14,13,2023-01-25T00:47:43Z,760000,False,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,
81,PT05M23.00S,2023-01-25T00:44:19.3Z,1,REGULAR,substitution,in,[],1631115,,,1610612738,14,13,2023-01-25T00:47:43Z,770000,False,,,0,,SUB in: O. Robinson,[1631115],1610612748.0,MIA,,Robinson,O. Robinson,,,,,,,,,,,,,,,,,,,,,,
82,PT05M23.00S,2023-01-25T00:44:19.3Z,1,REGULAR,substitution,in,[],201933,,,1610612738,14,13,2023-01-25T00:47:43Z,780000,False,,,0,,SUB in: B. Griffin,[201933],1610612738.0,BOS,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,
83,PT05M23.00S,2023-01-25T00:47:53.0Z,1,REGULAR,freethrow,1 of 3,[],1628401,,,1610612738,14,14,2023-01-25T00:47:53Z,790000,False,,,0,,D. White Free Throw 1 of 3 (6 PTS),[1628401],1610612738.0,BOS,,White,D. White,,,,,Made,,,,,6.0,,,,,,,,,,,,
84,PT05M23.00S,2023-01-25T00:48:07.7Z,1,REGULAR,freethrow,2 of 3,[],1628401,,,1610612738,14,15,2023-01-25T00:48:07Z,800000,False,,,0,,D. White Free Throw 2 of 3 (7 PTS),[1628401],1610612738.0,BOS,,White,D. White,,,,,Made,,,,,7.0,,,,,,,,,,,,
85,PT05M23.00S,2023-01-25T00:48:22.1Z,1,REGULAR,freethrow,3 of 3,[],1628401,,,1610612738,14,16,2023-01-25T00:48:22Z,810000,False,,,0,,D. White Free Throw 3 of 3 (8 PTS),[1628401],1610612738.0,BOS,,White,D. White,,,,,Made,,,,,8.0,,,,,,,,,,,,
86,PT05M08.00S,2023-01-25T00:48:43.2Z,1,REGULAR,foul,personal,[],1628401,,,1610612748,14,16,2023-01-25T00:48:46Z,820000,False,,,0,,D. White personal FOUL (1 PF),"[1628401, 1629216]",1610612738.0,BOS,202901.0,White,D. White,,Mid-Range,16-24 Left,,,,,,,,,,,1.0,0.0,Vincent,1629216.0,,,,,
88,PT05M08.00S,2023-01-25T00:48:48.7Z,1,REGULAR,substitution,out,[],1628401,,,1610612748,14,16,2023-01-25T00:48:52Z,840000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,White,D. White,,,,,,,,,,,,,,,,,,,,,,
89,PT05M08.00S,2023-01-25T00:48:48.7Z,1,REGULAR,substitution,in,[],1630573,,,1610612748,14,16,2023-01-25T00:48:52Z,850000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,
