actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
15,PT10M33.00S,2023-01-22T20:44:03.1Z,1,REGULAR,3pt,Jump Shot,[],1630530,6.521024967148489,3.431372549019608,1610612740,2,5,2023-01-22T20:44:19Z,150000,False,233.0,9.0,1,left,T. Murphy III 3PT  (3 PTS) (C. McCollum 1 AST),"[1630530, 203468]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Right Corner 3,24+ Right,,,,23.3,Made,3.0,,,,,C. McCollum,203468.0,1.0,,,,,,,
17,PT10M17.00S,2023-01-22T20:44:18.3Z,1,REGULAR,2pt,Jump Shot,[],1629639,74.45795006570303,24.509803921568626,1610612748,2,5,2023-01-22T20:44:26Z,170000,False,-127.0,188.0,1,right,MISS T. Herro 22' step back Shot,[1629639],1610612748.0,MIA,step back,,,Herro,T. Herro,,,,,Mid-Range,16-24 Left Center,,,,22.68,Missed,,,,,,,,,,,,,,,
18,PT10M12.00S,2023-01-22T20:44:23.3Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612740,2,5,2023-01-22T20:44:26Z,180000,False,,,0,,D. Daniels REBOUND (Off:0 Def:2),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Mid-Range,16-24 Left Center,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,
19,PT10M07.00S,2023-01-22T20:44:28.9Z,1,REGULAR,2pt,Jump Shot,[],202685,23.603810775295663,47.549019607843135,1610612740,2,5,2023-01-22T20:44:43Z,190000,False,12.0,169.0,1,left,MISS J. Valanciunas 16' Jump Shot,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Center,,,,16.98,Missed,,,,,,,,,,,,,,,
20,PT10M03.00S,2023-01-22T20:44:32.9Z,1,REGULAR,rebound,defensive,[],1628997,,,1610612748,2,5,2023-01-22T20:44:43Z,200000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Mid-Range,16-24 Center,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,
21,PT09M50.00S,2023-01-22T20:44:45.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628389,94.30026281208936,53.431372549019606,1610612748,2,5,2023-01-22T20:45:00Z,210000,False,17.0,1.0,1,right,MISS B. Adebayo driving reverse DUNK - blocked,"[1628389, 202685]",1610612748.0,MIA,driving reverse,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,1.72,Missed,,,,,,,,,Valanciunas,202685.0,,,,,
25,PT09M50.00S,2023-01-22T20:44:45.8Z,1,REGULAR,block,,[],202685,,,1610612748,2,5,2023-01-22T20:45:00Z,215000,False,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT09M48.00S,2023-01-22T20:44:47.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,5,2023-01-22T20:45:00Z,220000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT09M39.00S,2023-01-22T20:44:57.2Z,1,REGULAR,3pt,Jump Shot,[],1630700,20.97568988173456,5.637254901960785,1610612740,2,5,2023-01-22T20:45:03Z,230000,False,222.0,145.0,1,left,MISS D. Daniels 26' 3PT,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,,,,26.48,Missed,,,,,,,,,,,,,,,
24,PT09M36.00S,2023-01-22T20:45:00.2Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,2,5,2023-01-22T20:45:03Z,240000,False,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,
26,PT09M18.00S,2023-01-22T20:45:18.0Z,1,REGULAR,3pt,Jump Shot,[],1628997,66.96780551905388,57.59803921568627,1610612748,2,5,2023-01-22T20:45:24Z,250000,False,38.0,258.0,1,right,MISS C. Martin 26' 3PT,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Center,,,,26.08,Missed,,,,,,,,,,,,,,,
27,PT09M14.00S,2023-01-22T20:45:22.0Z,1,REGULAR,rebound,offensive,[],1629639,,,1610612748,2,5,2023-01-22T20:49:03Z,260000,False,,,0,,T. Herro REBOUND (Off:1 Def:0),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,,,,26.0,1.0,0.0,1.0,,,,,,,,,,
28,PT09M12.00S,2023-01-22T20:45:24.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629639,94.1688567674113,30.88235294117647,1610612748,2,5,2023-01-22T20:45:30Z,270000,False,-96.0,2.0,1,right,MISS T. Herro 9' pullup Shot,[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Mid-Range,8-16 Left,,,,9.56,Missed,,,,,,,,,,,,,,,
29,PT09M09.00S,2023-01-22T20:45:27.3Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,2,5,2023-01-22T20:45:30Z,280000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Left,,,,,,,28.0,2.0,2.0,0.0,,,,,,,,,,
30,PT08M55.00S,2023-01-22T20:45:41.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202685,7.440867279894875,49.754901960784316,1610612740,2,7,2023-01-22T20:45:47Z,290000,False,1.0,17.0,1,left,J. Valanciunas cutting DUNK (4 PTS) (D. Daniels 1 AST),"[202685, 1630700]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,1.74,Made,4.0,,,,,D. Daniels,1630700.0,1.0,,,,,,,
32,PT08M37.00S,2023-01-22T20:46:02.2Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612748,2,7,2023-01-22T20:46:14Z,310000,False,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Martin 2 FT),"[202685, 1628997]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1662.0,1.0,0.0,Martin,1628997.0
34,PT08M37.00S,2023-01-22T20:46:35.7Z,1,REGULAR,freethrow,1 of 2,[],1628997,,,1610612748,3,7,2023-01-22T20:46:35Z,330000,False,,,0,,C. Martin Free Throw 1 of 2 (1 PTS),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
35,PT08M37.00S,2023-01-22T20:46:56.3Z,1,REGULAR,freethrow,2 of 2,[],1628997,,,1610612748,4,7,2023-01-22T20:46:56Z,340000,False,,,0,,C. Martin Free Throw 2 of 2 (2 PTS),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
36,PT08M27.00S,2023-01-22T20:47:07.5Z,1,REGULAR,turnover,lost ball,[],203468,,,1610612740,4,7,2023-01-22T20:47:13Z,350000,False,,,0,,C. McCollum lost ball TURNOVER (1 TO),"[203468, 200768]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Left,1.0,Lowry,200768.0,,,,,,,,,,,,,,,,,
37,PT08M27.00S,2023-01-22T20:47:07.5Z,1,REGULAR,steal,,[],200768,,,1610612748,4,7,2023-01-22T20:47:09Z,360000,False,,,0,,K. Lowry STEAL (1 STL),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
88,PT08M26.00S,2023-01-22T20:47:14.5Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612748,4,7,2023-01-22T20:57:48Z,365000,False,,,0,,K. Lowry bad pass TURNOVER (2 TO),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Mid-Range,16-24 Center,2.0,,,,,,,,,,,,,,,,,,,
38,PT08M25.00S,2023-01-22T20:47:21.5Z,1,REGULAR,foul,personal,[],202710,,,1610612740,4,7,2023-01-22T20:57:48Z,370000,False,,,0,,J. Butler loose ball personal FOUL (1 PF),"[202710, 1630529]",1610612748.0,MIA,loose ball,,,Butler,J. Butler,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,1627961.0,1.0,0.0,Jones,1630529.0
41,PT08M11.00S,2023-01-22T20:47:54.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202685,16.90210249671485,37.99019607843137,1610612740,4,9,2023-01-22T20:47:21Z,400000,False,60.0,106.0,1,left,J. Valanciunas 12' Jump Shot (6 PTS) (D. Daniels 2 AST),"[202685, 1630700]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,,,,12.22,Made,6.0,,,,,D. Daniels,1630700.0,2.0,,,,,,,
43,PT07M55.00S,2023-01-22T20:48:10.5Z,1,REGULAR,turnover,bad pass,[],202710,,,1610612748,4,9,2023-01-22T20:48:14Z,420000,False,,,0,,J. Butler bad pass TURNOVER (1 TO),"[202710, 1630529]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Center,1.0,Jones,1630529.0,,,,,,,,,,,,,,,,,
44,PT07M55.00S,2023-01-22T20:48:10.5Z,1,REGULAR,steal,,[],1630529,,,1610612740,4,9,2023-01-22T20:48:12Z,430000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
45,PT07M51.00S,2023-01-22T20:48:15.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630529,6.521024967148489,48.28431372549019,1610612740,4,11,2023-01-22T20:48:23Z,440000,False,9.0,9.0,1,left,H. Jones running reverse Layup (2 PTS) (D. Daniels 3 AST),"[1630529, 1630700]",1610612740.0,NOP,running reverse,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,1.23,Made,2.0,,,,,D. Daniels,1630700.0,3.0,,,,,,,
48,PT07M38.00S,2023-01-22T20:48:32.2Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612748,4,11,2023-01-22T20:48:41Z,470000,False,,,0,,J. Valanciunas shooting personal FOUL (2 PF) (Adebayo 2 FT),"[202685, 1628389]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1662.0,2.0,0.0,Adebayo,1628389.0
50,PT07M38.00S,2023-01-22T20:49:04.6Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,5,11,2023-01-22T20:49:04Z,490000,False,,,0,,B. Adebayo Free Throw 1 of 2 (3 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
51,PT07M38.00S,2023-01-22T20:49:05.2Z,1,REGULAR,substitution,out,[],202685,,,1610612748,5,11,2023-01-22T20:49:10Z,500000,False,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M38.00S,2023-01-22T20:49:05.2Z,1,REGULAR,substitution,in,[],1626204,,,1610612748,5,11,2023-01-22T20:49:10Z,510000,False,,,0,,SUB in: L. Nance Jr.,[1626204],1610612740.0,NOP,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M38.00S,2023-01-22T20:49:27.4Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,6,11,2023-01-22T20:49:27Z,520000,False,,,0,,B. Adebayo Free Throw 2 of 2 (4 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
54,PT07M24.00S,2023-01-22T20:49:41.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,19.004599211563733,61.76470588235294,1610612740,6,13,2023-01-22T20:49:55Z,530000,False,-59.0,126.0,1,left,C. McCollum 13' pullup Jump Shot (2 PTS),[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,,,,13.91,Made,2.0,,,,,,,,,,,,,,
55,PT07M06.00S,2023-01-22T20:50:00.1Z,1,REGULAR,turnover,lost ball,[],1628389,,,1610612748,6,13,2023-01-22T20:50:05Z,540000,False,,,0,,B. Adebayo lost ball TURNOVER (1 TO),"[1628389, 1630530]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Right Center,1.0,Murphy III,1630530.0,,,,,,,,,,,,,,,,,
56,PT07M06.00S,2023-01-22T20:50:00.1Z,1,REGULAR,steal,,[],1630530,,,1610612740,6,13,2023-01-22T20:50:02Z,550000,False,,,0,,T. Murphy III STEAL (2 STL),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
57,PT07M00.00S,2023-01-22T20:50:05.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203468,11.908672798948752,0.0,1610612740,6,16,2023-01-22T20:56:47Z,560000,False,250.0,59.0,1,left,C. McCollum 25' 3PT running (5 PTS) (H. Jones 1 AST),"[203468, 1630529]",1610612740.0,NOP,running,,,McCollum,C. McCollum,,,,,Right Corner 3,24+ Right,,,,25.7,Made,5.0,,,,,H. Jones,1630529.0,1.0,,,,,,,
59,PT07M00.00S,2023-01-22T20:50:14.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,6,16,2023-01-22T20:50:14Z,580000,False,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M35.00S,2023-01-22T20:53:37.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,81.15965834428384,35.53921568627451,1610612748,8,16,2023-01-22T20:53:43Z,590000,False,-72.0,125.0,1,right,T. Herro 14' pullup Jump Shot (2 PTS),[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,,,,14.41,Made,2.0,,,,,,,,,,,,,,
62,PT06M13.00S,2023-01-22T20:53:59.9Z,1,REGULAR,3pt,Jump Shot,[],203468,15.325229960578188,97.30392156862744,1610612740,8,16,2023-01-22T20:54:05Z,600000,False,-237.0,92.0,1,left,MISS C. McCollum 25' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left,,,,25.36,Missed,,,,,,,,,,,,,,,
63,PT06M08.00S,2023-01-22T20:54:04.9Z,1,REGULAR,rebound,offensive,[],1630700,,,1610612740,8,16,2023-01-22T20:54:05Z,610000,False,,,0,,D. Daniels REBOUND (Off:1 Def:2),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Left,,,,,,,62.0,3.0,2.0,1.0,,,,,,,,,,
64,PT06M06.00S,2023-01-22T20:54:06.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630530,6.652431011826544,46.568627450980394,1610612740,8,18,2023-01-22T20:54:11Z,620000,False,17.0,10.0,1,left,T. Murphy III DUNK (5 PTS) (D. Daniels 4 AST),"[1630530, 1630700]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,1.99,Made,5.0,,,,,D. Daniels,1630700.0,4.0,,,,,,,
67,PT05M59.00S,2023-01-22T20:54:19.8Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,8,18,2023-01-22T20:54:30Z,650000,False,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M59.00S,2023-01-22T20:54:19.8Z,1,REGULAR,substitution,out,[],1628997,,,1610612748,8,18,2023-01-22T20:54:30Z,660000,False,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M59.00S,2023-01-22T20:54:19.8Z,1,REGULAR,substitution,out,[],1630529,,,1610612748,8,18,2023-01-22T20:54:30Z,670000,False,,,0,,SUB out: H. Jones,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M59.00S,2023-01-22T20:54:19.8Z,1,REGULAR,substitution,in,[],203506,,,1610612748,8,18,2023-01-22T20:54:30Z,680000,False,,,0,,SUB in: V. Oladipo,[203506],1610612748.0,MIA,,,,Oladipo,V. Oladipo,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M59.00S,2023-01-22T20:54:19.8Z,1,REGULAR,substitution,in,[],1631115,,,1610612748,8,18,2023-01-22T20:54:30Z,690000,False,,,0,,SUB in: O. Robinson,[1631115],1610612748.0,MIA,,,,Robinson,O. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M59.00S,2023-01-22T20:54:19.8Z,1,REGULAR,substitution,in,[],1629637,,,1610612748,8,18,2023-01-22T20:54:30Z,700000,False,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M44.00S,2023-01-22T20:54:58.0Z,1,REGULAR,3pt,Jump Shot,[],200768,93.64323258869908,4.411764705882353,1610612748,11,18,2023-01-22T20:55:03Z,710000,False,-228.0,7.0,1,right,K. Lowry 3PT  (3 PTS) (T. Herro 1 AST),"[200768, 1629639]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Left Corner 3,24+ Left,,,,22.8,Made,3.0,,,,,T. Herro,1629639.0,1.0,,,,,,,
75,PT05M29.00S,2023-01-22T20:55:14.1Z,1,REGULAR,turnover,bad pass,[],203468,,,1610612740,11,18,2023-01-22T20:55:18Z,730000,False,,,0,,C. McCollum bad pass TURNOVER (2 TO),"[203468, 200768]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Right Corner 3,24+ Right,2.0,Lowry,200768.0,,,,,,,,,,,,,,,,,
76,PT05M29.00S,2023-01-22T20:55:14.1Z,1,REGULAR,steal,,[],200768,,,1610612748,11,18,2023-01-22T20:55:16Z,740000,False,,,0,,K. Lowry STEAL (2 STL),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
77,PT05M28.00S,2023-01-22T20:55:30.7Z,1,REGULAR,foul,personal,['2freethrow'],1630530,,,1610612748,11,18,2023-01-22T20:56:06Z,750000,False,,,0,,T. Murphy III shooting personal FOUL (1 PF) (Lowry 2 FT),"[1630530, 200768]",1610612740.0,NOP,shooting,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1627961.0,1.0,0.0,Lowry,200768.0
79,PT05M28.00S,2023-01-22T20:55:51.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",200768,,,1610612748,12,18,2023-01-22T20:55:51Z,770000,False,,,0,,K. Lowry Free Throw 1 of 2 (4 PTS),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
80,PT05M28.00S,2023-01-22T20:55:54.0Z,1,REGULAR,substitution,out,[],1630700,,,1610612748,12,18,2023-01-22T20:56:02Z,780000,False,,,0,,SUB out: D. Daniels,[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M28.00S,2023-01-22T20:55:54.0Z,1,REGULAR,substitution,in,[],1628984,,,1610612748,12,18,2023-01-22T20:56:02Z,790000,False,,,0,,SUB in: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M28.00S,2023-01-22T20:56:13.6Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",200768,,,1610612748,13,18,2023-01-22T20:56:13Z,800000,False,,,0,,K. Lowry Free Throw 2 of 2 (5 PTS),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
83,PT05M07.00S,2023-01-22T20:56:34.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,7.30946123521682,50.0,1610612740,13,20,2023-01-22T20:56:43Z,810000,False,0.0,16.0,1,left,C. McCollum driving finger roll Layup (7 PTS),[203468],1610612740.0,NOP,driving finger roll,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,,,,1.62,Made,7.0,,,,,,,,,,,,,,
84,PT04M55.00S,2023-01-22T20:56:51.0Z,1,REGULAR,violation,kicked ball,[],1629637,,,1610612748,13,20,2023-01-22T20:56:56Z,820000,False,,,0,,J. Hayes kicked ball VIOLATION,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,1627961.0,,,,
85,PT04M47.00S,2023-01-22T20:57:16.9Z,1,REGULAR,foul,personal,['2freethrow'],1626204,,,1610612748,13,20,2023-01-22T20:57:25Z,830000,False,,,0,,L. Nance Jr. shooting personal FOUL (1 PF) (Herro 2 FT),"[1626204, 1629639]",1610612740.0,NOP,shooting,,,Nance Jr.,L. Nance Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,2002.0,1.0,0.0,Herro,1629639.0
87,PT04M47.00S,2023-01-22T20:57:47.6Z,1,REGULAR,freethrow,1 of 2,[],1629639,,,1610612748,14,20,2023-01-22T20:57:47Z,850000,False,,,0,,T. Herro Free Throw 1 of 2 (3 PTS),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
