actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
15,PT10M13.00S,2022-10-24T23:42:29.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,85.49605781865965,43.627450980392155,1610612761,2,4,2022-10-24T23:44:47Z,150000,-32.0,84.0,1,right,MISS P. Siakam 8' driving floating Shot,[1627783],1610612761.0,TOR,driving floating,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,8.97,Missed,,,,,,,,,,,,,,,
16,PT10M09.00S,2022-10-24T23:42:33.7Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,2,4,2022-10-24T23:42:44Z,160000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
17,PT10M01.00S,2022-10-24T23:42:40.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,15.719448094612352,47.05882352941176,1610612748,4,4,2022-10-24T23:42:56Z,170000,15.0,95.0,1,left,T. Herro 9' driving floating Jump Shot (4 PTS),[1629639],1610612748.0,MIA,driving floating,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,,,,9.64,Made,4.0,,,,,,,,,,,,,,
18,PT09M47.00S,2022-10-24T23:42:54.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629018,86.41590013140605,53.431372549019606,1610612761,4,6,2022-10-24T23:43:09Z,180000,17.0,75.0,1,right,G. Trent Jr. 7' driving Layup (2 PTS),[1629018],1610612761.0,TOR,driving,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,7.71,Made,2.0,,,,,,,,,,,,,,
19,PT09M40.00S,2022-10-24T23:43:04.4Z,1,REGULAR,foul,personal,[],1631132,,,1610612748,4,6,2022-10-24T23:43:17Z,190000,,,0,,C. Koloko personal FOUL (1 PF),"[1631132, 1628389]",1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Mid-Range,16-24 Left,,,,,,,1146.0,,,,,1.0,0.0,Adebayo,1628389.0,,,,,
21,PT09M33.00S,2022-10-24T23:43:25.7Z,1,REGULAR,2pt,Jump Shot,[],1628389,15.062417871222076,24.264705882352942,1610612748,6,6,2022-10-24T23:43:40Z,210000,129.0,89.0,1,left,B. Adebayo 15' Jump Shot (2 PTS) (M. Strus 1 AST),"[1628389, 1629622]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,,,,15.65,Made,2.0,,,,,,,,,,M. Strus,1629622.0,1.0,,
23,PT09M15.00S,2022-10-24T23:43:43.9Z,1,REGULAR,2pt,Jump Shot,[],1631132,89.88173455978975,33.877144607843135,1610612761,6,8,2022-10-24T23:44:05Z,230000,-81.0,43.0,1,right,C. Koloko 9' floating Jump Shot (2 PTS) (F. VanVleet 1 AST),"[1631132, 1627832]",1610612761.0,TOR,floating,,,Koloko,C. Koloko,,,,,Mid-Range,8-16 Left,,,,9.12,Made,2.0,,,,,,,,,,F. VanVleet,1627832.0,1.0,,
25,PT09M05.00S,2022-10-24T23:43:53.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629622,7.703679369250986,50.49019607843137,1610612748,8,8,2022-10-24T23:44:08Z,250000,-2.0,20.0,1,left,M. Strus cutting Layup (2 PTS) (B. Adebayo 1 AST),"[1629622, 1628389]",1610612748.0,MIA,cutting,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,,,,2.01,Made,2.0,,,,,,,,,,B. Adebayo,1628389.0,1.0,,
27,PT08M52.00S,2022-10-24T23:44:06.8Z,1,REGULAR,3pt,Jump Shot,[],1629018,70.64717477003943,77.94117647058823,1610612761,8,8,2022-10-24T23:44:23Z,270000,140.0,223.0,1,right,MISS G. Trent Jr. 26' 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,,,,26.35,Missed,,,,,,,,,,,,,,,
28,PT08M49.00S,2022-10-24T23:44:09.8Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,8,8,2022-10-24T23:44:23Z,280000,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,
29,PT08M35.00S,2022-10-24T23:44:24.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,17.47700394218134,43.38618259803921,1610612748,8,8,2022-10-24T23:44:44Z,290000,33.0,112.0,1,left,MISS B. Adebayo 11' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,,,,11.66,Missed,,,,,,,,,,,,,,,
30,PT08M30.00S,2022-10-24T23:44:29.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,8,8,2022-10-24T23:44:44Z,300000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,
31,PT08M27.00S,2022-10-24T23:44:36.5Z,1,REGULAR,foul,offensive,[],1628384,,,1610612761,8,8,2022-10-24T23:44:59Z,310000,,,0,,O. Anunoby off-the-ball offensive FOUL (1 PF),"[1628384, 200768]",1610612761.0,TOR,off-the-ball,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Left,,,,,,,202027.0,,,,,1.0,0.0,Lowry,200768.0,,,,,
33,PT08M27.00S,2022-10-24T23:44:36.5Z,1,REGULAR,turnover,offensive foul,[],1628384,,,1610612761,8,8,2022-10-24T23:44:59Z,330000,,,0,,O. Anunoby offensive foul TURNOVER (1 TO),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Left,1.0,,,,,,1628951.0,,,,,,,,,,,,,
34,PT08M15.00S,2022-10-24T23:45:00.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],200768,29.6484888304862,22.30392156862745,1610612748,8,8,2022-10-24T23:45:09Z,340000,138.0,226.0,1,left,MISS K. Lowry 26' 3PT,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,,,,26.52,Missed,,,,,,,,,,,,,,,
35,PT08M10.00S,2022-10-24T23:45:05.3Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,8,8,2022-10-24T23:45:09Z,350000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,
36,PT08M03.00S,2022-10-24T23:45:12.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627832,84.70762155059133,44.36274509803921,1610612761,8,10,2022-10-24T23:45:27Z,360000,-28.0,91.0,1,right,F. VanVleet 9' fadeaway Jump Shot (4 PTS),[1627832],1610612761.0,TOR,fadeaway,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,9.55,Made,4.0,,,,,,,,,,,,,,
37,PT07M48.00S,2022-10-24T23:45:26.7Z,1,REGULAR,3pt,Jump Shot,[],202710,8.886333771353483,4.411764705882353,1610612748,11,10,2022-10-24T23:45:41Z,370000,228.0,31.0,1,left,J. Butler 3PT  (3 PTS) (B. Adebayo 2 AST),"[202710, 1628389]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,Right Corner 3,24+ Right,,,,23.0,Made,3.0,,,,,,,,,,B. Adebayo,1628389.0,2.0,,
39,PT07M21.00S,2022-10-24T23:45:53.6Z,1,REGULAR,2pt,Jump Shot,[],1627832,77.61169513797634,43.13725490196079,1610612761,11,10,2022-10-24T23:46:01Z,390000,-34.0,158.0,1,right,MISS F. VanVleet 16' pullup Shot,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Center,,,,16.17,Missed,,,,,,,,,,,,,,,
40,PT07M17.00S,2022-10-24T23:45:57.6Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,11,10,2022-10-24T23:46:01Z,400000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Mid-Range,16-24 Center,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,
41,PT07M04.00S,2022-10-24T23:46:10.5Z,1,REGULAR,3pt,Jump Shot,[],1629622,6.258212877792378,97.54901960784314,1610612748,11,10,2022-10-24T23:46:15Z,410000,-238.0,6.0,1,left,MISS M. Strus 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Left Corner 3,24+ Left,,,,23.78,Missed,,,,,,,,,,,,,,,
42,PT07M02.00S,2022-10-24T23:46:12.5Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,11,10,2022-10-24T23:46:15Z,420000,,,0,,O. Anunoby REBOUND (Off:0 Def:2),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,
43,PT06M59.00S,2022-10-24T23:46:15.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627783,91.01511169513797,56.127450980392155,1610612761,11,12,2022-10-24T23:46:28Z,430000,31.0,32.0,1,right,P. Siakam alley-oop Layup (4 PTS) (F. VanVleet 2 AST),"[1627783, 1627832]",1610612761.0,TOR,alley-oop,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,4.43,Made,4.0,,,,,,,,,,F. VanVleet,1627832.0,2.0,,
45,PT06M50.00S,2022-10-24T23:46:27.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629639,8.229303547963205,55.392156862745104,1610612748,13,12,2022-10-24T23:46:47Z,450000,-27.0,25.0,1,left,T. Herro cutting Layup (6 PTS) (J. Butler 1 AST),"[1629639, 202710]",1610612748.0,MIA,cutting,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,,,,3.67,Made,6.0,,,,,,,,,,J. Butler,202710.0,1.0,,
47,PT06M50.00S,2022-10-24T23:46:32.7Z,1,REGULAR,foul,personal,['1freethrow'],1629018,,,1610612748,13,12,2022-10-24T23:46:45Z,470000,,,0,,G. Trent Jr. shooting personal FOUL (1 PF) (Herro 1 FT),"[1629018, 1629639]",1610612761.0,TOR,shooting,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,,,,,,,1628951.0,,,,,1.0,0.0,Herro,1629639.0,,,,,
49,PT06M50.00S,2022-10-24T23:46:54.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,13,12,2022-10-24T23:49:50Z,490000,,,0,,MIA Timeout,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT06M50.00S,2022-10-24T23:49:49.0Z,1,REGULAR,freethrow,1 of 1,[],1629639,,,1610612748,13,12,2022-10-24T23:49:55Z,500000,,,0,,MISS T. Herro Free Throw 1 of 1,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
51,PT06M47.00S,2022-10-24T23:49:52.0Z,1,REGULAR,rebound,defensive,[],1631132,,,1610612761,13,12,2022-10-24T23:49:55Z,510000,,,0,,C. Koloko REBOUND (Off:0 Def:1),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,
52,PT06M28.00S,2022-10-24T23:50:09.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,80.23981603153744,47.05882352941176,1610612761,13,12,2022-10-24T23:50:23Z,520000,-15.0,133.0,1,right,MISS P. Siakam 13' turnaround fadeaway Shot,[1627783],1610612761.0,TOR,turnaround fadeaway,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,13.4,Missed,,,,,,,,,,,,,,,
53,PT06M26.00S,2022-10-24T23:50:11.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,13,12,2022-10-24T23:50:23Z,530000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,52.0,,,,,,,,,,,,
55,PT06M15.00S,2022-10-24T23:50:30.3Z,1,REGULAR,foul,technical,['1freethrow'],1631132,,,1610612748,13,12,2022-10-24T23:50:41Z,550000,,,0,,C. Koloko defensive-3-second technical FOUL (1 Tech),[1631132],1610612761.0,TOR,defensive-3-second,,,Koloko,C. Koloko,,,,,,,,,,,,,1146.0,,,,,1.0,1.0,,,,,,,
56,PT06M15.00S,2022-10-24T23:50:53.5Z,1,REGULAR,freethrow,1 of 1,[],202710,,,1610612748,13,12,2022-10-24T23:50:58Z,560000,,,0,,MISS J. Butler technical Free Throw 1 of 1,[202710],1610612748.0,MIA,technical,,,Butler,J. Butler,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
57,PT06M15.00S,2022-10-24T23:50:53.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612748,13,12,2022-10-24T23:50:58Z,570000,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
58,PT06M00.00S,2022-10-24T23:51:19.4Z,1,REGULAR,3pt,Jump Shot,[],1629639,27.677398160315374,16.666666666666664,1610612748,13,12,2022-10-24T23:51:23Z,580000,167.0,208.0,1,left,MISS T. Herro 26' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,,26.63,Missed,,,,,,,,,,,,,,,
59,PT05M57.00S,2022-10-24T23:51:22.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,13,12,2022-10-24T23:51:23Z,590000,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,,,,,58.0,2.0,2.0,0.0,,,,,,,,,
60,PT05M39.00S,2022-10-24T23:51:42.0Z,1,REGULAR,turnover,traveling,[],1629018,,,1610612761,13,12,2022-10-24T23:51:46Z,600000,,,0,,G. Trent Jr. traveling TURNOVER (1 TO),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Center,1.0,,,,,,1146.0,,,,,,,,,,,,,
61,PT05M39.00S,2022-10-24T23:51:48.2Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,13,12,2022-10-24T23:51:56Z,610000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M39.00S,2022-10-24T23:51:48.2Z,1,REGULAR,substitution,out,[],1629622,,,1610612748,13,12,2022-10-24T23:51:56Z,620000,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M39.00S,2022-10-24T23:51:48.2Z,1,REGULAR,substitution,in,[],203473,,,1610612748,13,12,2022-10-24T23:51:56Z,630000,,,0,,SUB in: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M39.00S,2022-10-24T23:51:48.2Z,1,REGULAR,substitution,in,[],1629130,,,1610612748,13,12,2022-10-24T23:51:56Z,640000,,,0,,SUB in: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M26.00S,2022-10-24T23:52:19.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202710,12.302890932982917,33.33333333333333,1610612748,15,12,2022-10-24T23:52:35Z,650000,83.0,63.0,1,left,J. Butler 10' driving bank Jump Shot (5 PTS),[202710],1610612748.0,MIA,driving bank,,,Butler,J. Butler,,,,,Mid-Range,8-16 Right,,,,10.45,Made,5.0,,,,,,,,,,,,,,
66,PT05M16.00S,2022-10-24T23:52:30.6Z,1,REGULAR,foul,personal,[],203473,,,1610612761,15,12,2022-10-24T23:52:45Z,660000,,,0,,D. Dedmon personal FOUL (1 PF),"[203473, 1627832]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,Above the Break 3,24+ Center,,,,,,,1146.0,,,,,1.0,0.0,VanVleet,1627832.0,,,,,
68,PT05M16.00S,2022-10-24T23:52:38.6Z,1,REGULAR,substitution,out,[],1628384,,,1610612761,15,12,2022-10-24T23:52:50Z,680000,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M16.00S,2022-10-24T23:52:38.6Z,1,REGULAR,substitution,out,[],1631132,,,1610612761,15,12,2022-10-24T23:52:50Z,690000,,,0,,SUB out: C. Koloko,[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M16.00S,2022-10-24T23:52:38.6Z,1,REGULAR,substitution,in,[],1630173,,,1610612761,15,12,2022-10-24T23:52:50Z,700000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M16.00S,2022-10-24T23:52:38.6Z,1,REGULAR,substitution,in,[],1628449,,,1610612761,15,12,2022-10-24T23:52:50Z,710000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M07.00S,2022-10-24T23:53:11.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630173,92.32917214191852,51.470588235294116,1610612761,15,14,2022-10-24T23:53:25Z,720000,7.0,20.0,1,right,P. Achiuwa DUNK (2 PTS) (F. VanVleet 3 AST),"[1630173, 1627832]",1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,2.1,Made,2.0,,,,,,,,,,F. VanVleet,1627832.0,3.0,,
74,PT04M52.00S,2022-10-24T23:53:26.5Z,1,REGULAR,3pt,Jump Shot,[],1629639,6.783837056504599,96.56862745098039,1610612748,15,14,2022-10-24T23:53:33Z,740000,-233.0,11.0,1,left,MISS T. Herro 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Left Corner 3,24+ Left,,,,23.31,Missed,,,,,,,,,,,,,,,
75,PT04M49.00S,2022-10-24T23:53:29.5Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612761,15,14,2022-10-24T23:53:33Z,750000,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,Left Corner 3,24+ Left,,,,,,,,74.0,1.0,1.0,0.0,,,,,,,,,
76,PT04M46.00S,2022-10-24T23:53:35.7Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612761,15,14,2022-10-24T23:53:50Z,760000,,,0,,D. Robinson shooting personal FOUL (1 PF) (VanVleet 2 FT),"[1629130, 1627832]",1610612748.0,MIA,shooting,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628951.0,,,,,1.0,0.0,VanVleet,1627832.0,,,,,
78,PT04M46.00S,2022-10-24T23:54:03.1Z,1,REGULAR,freethrow,1 of 2,[],1627832,,,1610612761,15,15,2022-10-24T23:54:03Z,780000,,,0,,F. VanVleet Free Throw 1 of 2 (5 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
79,PT04M46.00S,2022-10-24T23:54:03.9Z,1,REGULAR,substitution,out,[],1629018,,,1610612761,15,15,2022-10-24T23:54:09Z,790000,,,0,,SUB out: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M46.00S,2022-10-24T23:54:03.9Z,1,REGULAR,substitution,in,[],1628384,,,1610612761,15,15,2022-10-24T23:54:09Z,800000,,,0,,SUB in: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M46.00S,2022-10-24T23:54:22.3Z,1,REGULAR,freethrow,2 of 2,[],1627832,,,1610612761,15,16,2022-10-24T23:54:22Z,810000,,,0,,F. VanVleet Free Throw 2 of 2 (6 PTS),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,
82,PT04M26.00S,2022-10-24T23:54:43.2Z,1,REGULAR,3pt,Jump Shot,[],1629130,13.485545335085414,3.431372549019608,1610612748,15,16,2022-10-24T23:54:50Z,820000,233.0,74.0,1,left,MISS D. Robinson 24' step back 3PT,[1629130],1610612748.0,MIA,step back,,,Robinson,D. Robinson,,,,,Right Corner 3,24+ Right,,,,24.44,Missed,,,,,,,,,,,,,,,
83,PT04M22.00S,2022-10-24T23:54:47.2Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,15,16,2022-10-24T23:54:50Z,830000,,,0,,P. Siakam REBOUND (Off:0 Def:3),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Right Corner 3,24+ Right,,,,,,,,82.0,3.0,3.0,0.0,,,,,,,,,
84,PT04M17.00S,2022-10-24T23:54:54.3Z,1,REGULAR,turnover,out-of-bounds,[],1628449,,,1610612761,15,16,2022-10-25T00:00:07Z,840000,,,0,,C. Boucher bad pass out-of-bounds TURNOVER (1 TO),[1628449],1610612761.0,TOR,bad pass,,,Boucher,C. Boucher,,,,,Restricted Area,0-8 Center,1.0,,,,,,202027.0,,,,,,,,,,,,,
85,PT04M17.00S,2022-10-24T23:55:01.1Z,1,REGULAR,substitution,out,[],1627832,,,1610612748,15,16,2022-10-24T23:55:04Z,850000,,,0,,SUB out: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
