actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
55,PT07M07.00S,2022-03-12T01:46:55.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,15.325229960578188,37.5,1610612759,9,14,2022-03-12T01:47:00Z,550000,62.0,92.0,1,left,MISS J. Poeltl 11' Jump Shot,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,11.09,Missed,,,,,,,,,,,,,,,,,
56,PT07M05.00S,2022-03-12T01:46:57.4Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,9,14,2022-03-12T01:47:00Z,560000,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,55.0,2.0,2.0,0.0,,,,,,,,,,,,,
57,PT06M58.00S,2022-03-12T01:47:04.8Z,1,REGULAR,2pt,Jump Shot,[],1627863,92.06636005256242,77.20588235294117,1610612762,9,16,2022-03-12T01:47:09Z,570000,136.0,22.0,1,right,D. House Jr. 13' pullup Jump Shot (5 PTS) (R. O'Neale 2 AST),"[1627863, 1626220]",1610612762.0,UTA,pullup,,,House Jr.,D. House Jr.,,,,,,,13.78,Made,,,,,5.0,R. O'Neale,1626220.0,2.0,,,,,,,,,
59,PT06M56.00S,2022-03-12T01:47:11.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,9,16,2022-03-12T01:47:11Z,590000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M56.00S,2022-03-12T01:49:51.6Z,1,REGULAR,substitution,out,[],201144,,,1610612759,9,16,2022-03-12T01:50:15Z,600000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M56.00S,2022-03-12T01:49:51.6Z,1,REGULAR,substitution,out,[],203497,,,1610612759,9,16,2022-03-12T01:50:15Z,610000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M56.00S,2022-03-12T01:49:51.6Z,1,REGULAR,substitution,out,[],1627863,,,1610612759,9,16,2022-03-12T01:50:15Z,620000,,,0,,SUB out: D. House Jr.,[1627863],1610612762.0,UTA,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M56.00S,2022-03-12T01:49:51.6Z,1,REGULAR,substitution,in,[],202355,,,1610612759,9,16,2022-03-12T01:50:15Z,630000,,,0,,SUB in: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M56.00S,2022-03-12T01:49:51.6Z,1,REGULAR,substitution,in,[],1629638,,,1610612759,9,16,2022-03-12T01:50:15Z,640000,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612762.0,UTA,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M56.00S,2022-03-12T01:49:51.6Z,1,REGULAR,substitution,in,[],1630235,,,1610612759,9,16,2022-03-12T01:50:15Z,650000,,,0,,SUB in: T. Forrest,[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M40.00S,2022-03-12T01:50:25.2Z,1,REGULAR,foul,personal,['2freethrow'],202355,,,1610612759,9,16,2022-03-12T01:50:46Z,660000,,,0,,H. Whiteside shooting personal FOUL (1 PF) (Murray 2 FT),"[202355, 1627749]",1610612762.0,UTA,shooting,,,Whiteside,H. Whiteside,,,,,2714.0,,,,,,,,,,,,,,,,1.0,0.0,Murray,1627749.0,
68,PT06M40.00S,2022-03-12T01:50:47.3Z,1,REGULAR,freethrow,1 of 2,[],1627749,,,1610612759,9,16,2022-03-12T01:51:05Z,680000,,,0,,MISS D. Murray Free Throw 1 of 2,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,Missed,,,,,,,,,,,,,,,,,
69,PT06M40.00S,2022-03-12T01:50:47.3Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612759,9,16,2022-03-12T01:51:05Z,690000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,
70,PT06M40.00S,2022-03-12T01:50:47.3Z,1,REGULAR,freethrow,2 of 2,[],1627749,,,1610612759,9,16,2022-03-12T01:51:05Z,700000,,,0,,MISS D. Murray Free Throw 2 of 2,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,Missed,,,,,,,,,,,,,,,,,
71,PT06M36.00S,2022-03-12T01:50:51.3Z,1,REGULAR,rebound,defensive,[],202355,,,1610612762,9,16,2022-03-12T01:51:05Z,710000,,,0,,H. Whiteside REBOUND (Off:0 Def:1),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,,
72,PT06M23.00S,2022-03-12T01:51:14.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,93.9060446780552,52.69607843137255,1610612762,9,18,2022-03-12T01:51:20Z,720000,13.0,5.0,1,right,D. Mitchell driving finger roll Layup (8 PTS),[1628378],1610612762.0,UTA,driving finger roll,,,Mitchell,D. Mitchell,,,,,,,1.43,Made,,,,,8.0,,,,,,,,,,,,
73,PT06M09.00S,2022-03-12T01:51:28.6Z,1,REGULAR,3pt,Jump Shot,[],1629640,28.465834428383708,73.52941176470588,1610612759,9,18,2022-03-12T01:51:33Z,730000,-118.0,215.0,1,left,MISS K. Johnson 24' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,24.51,Missed,,,,,,,,,,,,,,,,,
74,PT06M04.00S,2022-03-12T01:51:33.1Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,9,18,2022-03-12T01:51:33Z,740000,,,0,,J. Poeltl REBOUND (Off:1 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,73.0,3.0,2.0,1.0,,,,,,,,,,,,,
75,PT05M55.00S,2022-03-12T01:51:41.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630170,22.28975032851511,8.57843137254902,1610612759,12,18,2022-03-12T01:51:47Z,750000,207.0,157.0,1,left,D. Vassell 25' 3PT  (3 PTS) (D. Murray 1 AST),"[1630170, 1627749]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,25.99,Made,,,,,3.0,D. Murray,1627749.0,1.0,,,,,,,,,
77,PT05M33.00S,2022-03-12T01:52:04.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629638,93.11760840998686,44.36274509803921,1610612762,12,18,2022-03-12T01:52:53Z,770000,-28.0,12.0,1,right,MISS N. Alexander-Walker driving floating Shot,[1629638],1610612762.0,UTA,driving floating,,,Alexander-Walker,N. Alexander-Walker,,,,,,,3.07,Missed,,,,,,,,,,,,,,,,,
78,PT05M32.00S,2022-03-12T01:52:05.1Z,1,REGULAR,rebound,offensive,[],202355,,,1610612762,12,18,2022-03-12T01:52:09Z,780000,,,0,,H. Whiteside REBOUND (Off:1 Def:1),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,77.0,2.0,1.0,1.0,,,,,,,,,,,,,
79,PT05M32.00S,2022-03-12T01:52:09.0Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612762,12,18,2022-03-12T01:52:14Z,790000,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Whiteside 2 FT),"[1627751, 202355]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,2714.0,,,,,,,,,,,,,,,,1.0,0.0,Whiteside,202355.0,
81,PT05M32.00S,2022-03-12T01:52:30.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202355,,,1610612762,12,18,2022-03-12T01:52:55Z,810000,,,0,,MISS H. Whiteside Free Throw 1 of 2,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,Missed,,,,,,,,,,,,,,,,,
82,PT05M32.00S,2022-03-12T01:52:30.9Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612762,12,18,2022-03-12T01:52:55Z,820000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,
83,PT05M32.00S,2022-03-12T01:52:31.8Z,1,REGULAR,substitution,out,[],1627749,,,1610612762,12,18,2022-03-12T01:52:41Z,830000,,,0,,SUB out: D. Murray,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M32.00S,2022-03-12T01:52:31.8Z,1,REGULAR,substitution,out,[],1627751,,,1610612762,12,18,2022-03-12T01:52:41Z,840000,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M32.00S,2022-03-12T01:52:31.8Z,1,REGULAR,substitution,in,[],1630200,,,1610612762,12,18,2022-03-12T01:52:41Z,850000,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M32.00S,2022-03-12T01:52:31.8Z,1,REGULAR,substitution,in,[],1628380,,,1610612762,12,18,2022-03-12T01:52:41Z,860000,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M32.00S,2022-03-12T01:52:30.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202355,,,1610612762,12,18,2022-03-12T01:52:55Z,870000,,,0,,MISS H. Whiteside Free Throw 2 of 2,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,Missed,,,,,,,,,,,,,,,,,
88,PT05M28.00S,2022-03-12T01:52:34.9Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,12,18,2022-03-12T01:52:55Z,880000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,87.0,1.0,1.0,0.0,,,,,,,,,,,,,
89,PT05M14.00S,2022-03-12T01:53:08.8Z,1,REGULAR,turnover,bad pass,[],1630170,,,1610612759,12,18,2022-03-12T01:53:13Z,890000,,,0,,D. Vassell bad pass TURNOVER (1 TO),"[1630170, 1630235]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,1.0,,,,,,,,,,,Forrest,1630235.0,,,,,,,
90,PT05M14.00S,2022-03-12T01:53:08.8Z,1,REGULAR,steal,,[],1630235,,,1610612762,12,18,2022-03-12T02:05:09Z,900000,,,0,,T. Forrest STEAL (1 STL),[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M00.00S,2022-03-12T01:53:22.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626220,90.88370565045992,57.107843137254896,1610612762,12,18,2022-03-12T01:53:27Z,910000,36.0,33.0,1,right,MISS R. O'Neale driving Layup,[1626220],1610612762.0,UTA,driving,,,O'Neale,R. O'Neale,,,,,,,4.86,Missed,,,,,,,,,,,,,,,,,
