actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
16,PT10M50.00S,2022-03-13T01:12:23.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,4,0,2022-03-13T01:12:23Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M45.00S,2022-03-13T01:12:36.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630543,6.389618922470433,53.18627450980392,1610612754,4,0,2022-03-13T01:12:46Z,170000,-16.0,8.0,1,left,MISS I. Jackson cutting Layup,[1630543],1610612754.0,IND,cutting,,,Jackson,I. Jackson,,,,,1.76,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M42.00S,2022-03-13T01:12:39.8Z,1,REGULAR,rebound,defensive,[],1626196,,,1610612759,4,0,2022-03-13T01:12:46Z,180000,,,0,,J. Richardson REBOUND (Off:0 Def:1),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
19,PT10M36.00S,2022-03-13T01:12:45.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203926,94.03745072273325,52.69607843137255,1610612759,6,0,2022-03-13T01:12:52Z,190000,13.0,4.0,1,right,D. McDermott driving finger roll Layup (2 PTS) (J. Richardson 1 AST),"[203926, 1626196]",1610612759.0,SAS,driving finger roll,,,McDermott,D. McDermott,,,,,1.39,Made,,,,,2.0,J. Richardson,1626196.0,1.0,,,,,,,,,,,
21,PT10M27.00S,2022-03-13T01:12:55.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630543,7.30946123521682,49.754901960784316,1610612754,6,2,2022-03-13T01:13:28Z,210000,1.0,16.0,1,left,I. Jackson cutting DUNK (2 PTS) (T. Haliburton 1 AST),"[1630543, 1630169]",1610612754.0,IND,cutting,,,Jackson,I. Jackson,,,,,1.62,Made,,,,,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,
23,PT10M27.00S,2022-03-13T01:12:59.4Z,1,REGULAR,foul,personal,['1freethrow'],1628380,,,1610612754,6,2,2022-03-13T01:13:15Z,230000,,,0,,Z. Collins shooting personal FOUL (1 PF) (Jackson 1 FT),"[1628380, 1630543]",1610612759.0,SAS,shooting,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Jackson,1630543.0,,,
25,PT10M27.00S,2022-03-13T01:13:29.0Z,1,REGULAR,freethrow,1 of 1,[],1630543,,,1610612754,6,3,2022-03-13T01:13:29Z,250000,,,0,,I. Jackson Free Throw 1 of 1 (3 PTS),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
26,PT10M16.00S,2022-03-13T01:13:45.1Z,1,REGULAR,turnover,out-of-bounds,[],203926,,,1610612759,6,3,2022-03-13T01:13:55Z,260000,,,0,,D. McDermott bad pass out-of-bounds TURNOVER (1 TO),[203926],1610612759.0,SAS,bad pass,,,McDermott,D. McDermott,,,,,,,,,,,,,,,1.0,,,2005.0,,,,,,,
27,PT09M59.00S,2022-03-13T01:14:06.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630537,17.47700394218134,39.26930147058824,1610612754,6,5,2022-03-13T01:14:52Z,270000,54.0,112.0,1,left,C. Duarte 12' pullup Jump Shot (2 PTS) (T. Haliburton 2 AST),"[1630537, 1630169]",1610612754.0,IND,pullup,,,Duarte,C. Duarte,,,,,12.4,Made,,,,,2.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,,
29,PT09M52.00S,2022-03-13T01:14:18.2Z,1,REGULAR,foul,personal,[],1630537,,,1610612759,6,5,2022-03-13T01:14:37Z,290000,,,0,,C. Duarte personal FOUL (1 PF),"[1630537, 1630170]",1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,2005.0,1.0,0.0,Vassell,1630170.0,,,
31,PT09M44.00S,2022-03-13T01:14:37.6Z,1,REGULAR,2pt,Jump Shot,[],1626196,84.05059132720105,77.69607843137256,1610612759,6,5,2022-03-13T01:15:22Z,310000,138.0,97.0,1,right,MISS J. Richardson 16' pullup Shot,[1626196],1610612759.0,SAS,pullup,,,Richardson,J. Richardson,,,,,16.93,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M39.00S,2022-03-13T01:14:42.6Z,1,REGULAR,rebound,defensive,[],1629052,,,1610612754,6,5,2022-03-13T01:14:46Z,320000,,,0,,O. Brissett REBOUND (Off:0 Def:1),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
33,PT09M29.00S,2022-03-13T01:14:51.4Z,1,REGULAR,3pt,Jump Shot,[],1627741,26.757555847568987,16.176470588235293,1610612754,6,5,2022-03-13T01:14:59Z,330000,169.0,199.0,1,left,MISS B. Hield 26' 3PT,[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,26.11,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M27.00S,2022-03-13T01:14:53.4Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,6,5,2022-03-13T01:14:59Z,340000,,,0,,D. Vassell REBOUND (Off:0 Def:2),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
35,PT09M19.00S,2022-03-13T01:15:02.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,85.49605781865965,53.67647058823529,1610612759,6,5,2022-03-13T01:15:12Z,350000,18.0,84.0,1,right,MISS D. Vassell 8' driving floating Shot,[1630170],1610612759.0,SAS,driving floating,,,Vassell,D. Vassell,,,,,8.58,Missed,,,,,,,,,,,,,,,,,,,
36,PT09M13.00S,2022-03-13T01:15:08.2Z,1,REGULAR,rebound,offensive,[],1630170,,,1610612759,6,5,2022-03-13T01:15:12Z,360000,,,0,,D. Vassell REBOUND (Off:1 Def:2),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,35.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
37,PT09M13.00S,2022-03-13T01:15:07.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630170,94.40999984741211,50.0,1610612759,8,5,2022-03-13T01:15:07Z,370000,0.0,0.0,1,right,D. Vassell putback Layup (2 PTS),[1630170],1610612759.0,SAS,putback,,,Vassell,D. Vassell,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
38,PT09M02.00S,2022-03-13T01:15:18.9Z,1,REGULAR,3pt,Jump Shot,[],1630537,6.783837056504599,96.56862745098039,1610612754,8,5,2022-03-13T01:15:23Z,380000,-233.0,11.0,1,left,MISS C. Duarte 3PT,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,23.31,Missed,,,,,,,,,,,,,,,,,,,
39,PT09M02.00S,2022-03-13T01:15:18.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,8,5,2022-03-13T01:15:23Z,390000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,
40,PT09M02.00S,2022-03-13T01:15:24.7Z,1,REGULAR,foul,personal,[],1630170,,,1610612754,8,5,2022-03-13T01:15:35Z,400000,,,0,,D. Vassell loose ball personal FOUL (1 PF),"[1630170, 1627741]",1610612759.0,SAS,loose ball,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,2005.0,1.0,0.0,Hield,1627741.0,,,
42,PT08M52.00S,2022-03-13T01:15:51.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630169,30.699737187910642,68.13725490196079,1610612754,8,8,2022-03-13T01:15:56Z,420000,-91.0,236.0,1,left,T. Haliburton 25' 3PT pullup (3 PTS),[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,25.29,Made,,,,,3.0,,,,,,,,,,,,,,
43,PT08M40.00S,2022-03-13T01:16:03.7Z,1,REGULAR,foul,personal,['3freethrow'],1629052,,,1610612759,8,8,2022-03-13T01:34:19Z,430000,,,0,,O. Brissett shooting personal FOUL (1 PF) (McDermott 3 FT),"[1629052, 203926]",1610612754.0,IND,shooting,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,2005.0,1.0,0.0,McDermott,203926.0,,,
45,PT08M40.00S,2022-03-13T01:16:47.1Z,1,REGULAR,instantreplay,request,[],0,,,1610612759,8,8,2022-03-13T01:18:24Z,450000,,,0,,,[],,,support,,,,,,,,,,,,,,,,,,,,,,2714.0,,,,,Common Foul Upheld,,
46,PT08M40.00S,2022-03-13T01:18:29.0Z,1,REGULAR,freethrow,1 of 3,[],203926,,,1610612759,9,8,2022-03-13T01:34:26Z,460000,,,0,,D. McDermott Free Throw 1 of 3 (3 PTS),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
47,PT08M40.00S,2022-03-13T01:18:29.0Z,1,REGULAR,freethrow,2 of 3,[],203926,,,1610612759,10,8,2022-03-13T01:34:26Z,470000,,,0,,D. McDermott Free Throw 2 of 3 (4 PTS),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
48,PT08M40.00S,2022-03-13T01:18:29.0Z,1,REGULAR,freethrow,3 of 3,[],203926,,,1610612759,11,8,2022-03-13T01:34:26Z,480000,,,0,,D. McDermott Free Throw 3 of 3 (5 PTS),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,Made,,,,,5.0,,,,,,,,,,,,,,
49,PT08M39.00S,2022-03-13T01:19:09.9Z,1,REGULAR,foul,personal,[],1630200,,,1610612754,11,8,2022-03-13T01:34:37Z,504375,,,0,,T. Jones take personal FOUL (1 PF),"[1630200, 1630169]",1610612759.0,SAS,take,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Haliburton,1630169.0,,,
51,PT08M39.00S,2022-03-13T01:19:11.3Z,1,REGULAR,substitution,out,[],203926,,,1610612754,11,8,2022-03-13T01:19:12Z,528750,,,0,,SUB out: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M39.00S,2022-03-13T01:19:11.3Z,1,REGULAR,substitution,in,[],1628966,,,1610612754,11,8,2022-03-13T01:19:12Z,529375,,,0,,SUB in: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M26.00S,2022-03-13T01:19:28.1Z,1,REGULAR,turnover,out-of-bounds,[],1630537,,,1610612754,11,8,2022-03-13T01:23:02Z,530000,,,0,,C. Duarte step out-of-bounds TURNOVER (1 TO),[1630537],1610612754.0,IND,step,,,Duarte,C. Duarte,,,,,,,,,,,,,,,1.0,,,2714.0,,,,,,,
54,PT08M12.00S,2022-03-13T01:19:50.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,11,8,2022-03-13T01:19:50Z,540000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT08M04.00S,2022-03-13T01:20:15.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626196,85.10183968462549,65.68627450980392,1610612759,11,8,2022-03-13T01:20:28Z,550000,78.0,88.0,1,right,MISS J. Richardson 11' turnaround Shot,[1626196],1610612759.0,SAS,turnaround,,,Richardson,J. Richardson,,,,,11.75,Missed,,,,,,,,,,,,,,,,,,,
56,PT08M02.00S,2022-03-13T01:20:18.0Z,1,REGULAR,rebound,defensive,[],1629052,,,1610612754,11,8,2022-03-13T01:20:18Z,560000,,,0,,O. Brissett REBOUND (Off:0 Def:2),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,55.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
57,PT07M45.00S,2022-03-13T01:20:34.6Z,1,REGULAR,3pt,Jump Shot,[],1630537,32.670827858081466,51.470588235294116,1610612754,11,11,2022-03-13T01:20:41Z,570000,-7.0,255.0,1,left,C. Duarte 25' 3PT  (5 PTS) (B. Hield 1 AST),"[1630537, 1627741]",1610612754.0,IND,,,,Duarte,C. Duarte,,,,,25.47,Made,,,,,5.0,B. Hield,1627741.0,1.0,,,,,,,,,,,
59,PT07M31.00S,2022-03-13T01:20:49.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,92.72339027595268,43.13725490196079,1610612759,11,11,2022-03-13T01:21:15Z,590000,-34.0,16.0,1,right,MISS T. Jones driving Layup,[1630200],1610612759.0,SAS,driving,,,Jones,T. Jones,,,,,3.78,Missed,,,,,,,,,,,,,,,,,,,
60,PT07M31.00S,2022-03-13T01:20:49.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,11,11,2022-03-13T01:21:15Z,600000,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,
61,PT07M31.00S,2022-03-13T01:20:54.1Z,1,REGULAR,foul,personal,[],1628380,,,1610612754,11,11,2022-03-13T01:21:20Z,610000,,,0,,Z. Collins loose ball personal FOUL (2 PF),"[1628380, 1630543]",1610612759.0,SAS,loose ball,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,2714.0,2.0,0.0,Jackson,1630543.0,,,
63,PT07M31.00S,2022-03-13T01:21:02.6Z,1,REGULAR,substitution,out,[],1628380,,,1610612754,11,11,2022-03-13T01:21:08Z,630000,,,0,,SUB out: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M31.00S,2022-03-13T01:21:02.6Z,1,REGULAR,substitution,in,[],1629111,,,1610612754,11,11,2022-03-13T01:21:08Z,640000,,,0,,SUB in: J. Landale,[1629111],1610612759.0,SAS,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M16.00S,2022-03-13T01:21:27.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629052,5.732588699080158,52.20588235294118,1610612754,11,13,2022-03-13T01:21:35Z,650000,-11.0,1.0,1,left,O. Brissett driving Layup (2 PTS),[1629052],1610612754.0,IND,driving,,,Brissett,O. Brissett,,,,,1.11,Made,,,,,2.0,,,,,,,,,,,,,,
66,PT07M01.00S,2022-03-13T01:21:42.3Z,1,REGULAR,3pt,Jump Shot,[],1630170,70.51576872536137,24.019607843137255,1610612759,11,13,2022-03-13T01:21:48Z,660000,-130.0,225.0,1,right,MISS D. Vassell 25' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,25.95,Missed,,,,,,,,,,,,,,,,,,,
67,PT06M58.00S,2022-03-13T01:21:45.3Z,1,REGULAR,rebound,offensive,[],1626196,,,1610612759,11,13,2022-03-13T01:21:48Z,670000,,,0,,J. Richardson REBOUND (Off:1 Def:1),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,66.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
68,PT06M54.00S,2022-03-13T01:21:49.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626196,70.12155059132719,21.568627450980394,1610612759,11,13,2022-03-13T01:21:55Z,680000,-142.0,228.0,1,right,MISS J. Richardson 26' 3PT,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,26.9,Missed,,,,,,,,,,,,,,,,,,,
69,PT06M49.00S,2022-03-13T01:21:54.9Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,11,13,2022-03-13T01:21:55Z,690000,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,68.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
70,PT06M42.00S,2022-03-13T01:22:01.0Z,1,REGULAR,turnover,lost ball,[],1627741,,,1610612754,11,13,2022-03-13T01:22:07Z,700000,,,0,,B. Hield lost ball TURNOVER (2 TO),"[1627741, 1629111]",1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,,,,,2.0,Landale,1629111.0,,,,,,,,
71,PT06M42.00S,2022-03-13T01:22:01.0Z,1,REGULAR,steal,,[],1629111,,,1610612759,11,13,2022-03-13T01:22:04Z,710000,,,0,,J. Landale STEAL (1 STL),[1629111],1610612759.0,SAS,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M40.00S,2022-03-13T01:22:05.3Z,1,REGULAR,turnover,lost ball,[],1629111,,,1610612759,11,13,2022-03-13T01:22:11Z,720000,,,0,,J. Landale lost ball TURNOVER (1 TO),"[1629111, 1630543]",1610612759.0,SAS,,,,Landale,J. Landale,,,,,,,,,,,,,,,1.0,Jackson,1630543.0,,,,,,,,
73,PT06M40.00S,2022-03-13T01:22:05.3Z,1,REGULAR,steal,,[],1630543,,,1610612754,11,13,2022-03-13T01:22:08Z,730000,,,0,,I. Jackson STEAL (1 STL),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M40.00S,2022-03-13T01:22:08.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627741,8.229303547963205,49.01960784313725,1610612754,11,15,2022-03-13T01:22:15Z,740000,5.0,25.0,1,left,B. Hield Layup (2 PTS),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,2.54,Made,,,,,2.0,,,,,,,,,,,,,,
75,PT06M40.00S,2022-03-13T01:22:14.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,11,15,2022-03-13T01:22:15Z,750000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M40.00S,2022-03-13T01:24:05.8Z,1,REGULAR,substitution,out,[],1626196,,,1610612759,11,15,2022-03-13T01:25:14Z,760000,,,0,,SUB out: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M40.00S,2022-03-13T01:24:05.8Z,1,REGULAR,substitution,out,[],1630170,,,1610612759,11,15,2022-03-13T01:25:14Z,770000,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M40.00S,2022-03-13T01:24:05.8Z,1,REGULAR,substitution,out,[],1630169,,,1610612759,11,15,2022-03-13T01:25:14Z,780000,,,0,,SUB out: T. Haliburton,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M40.00S,2022-03-13T01:24:05.8Z,1,REGULAR,substitution,out,[],1630543,,,1610612759,11,15,2022-03-13T01:25:14Z,790000,,,0,,SUB out: I. Jackson,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M40.00S,2022-03-13T01:24:05.8Z,1,REGULAR,substitution,in,[],1630563,,,1610612759,11,15,2022-03-13T01:25:14Z,800000,,,0,,SUB in: J. Primo,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M40.00S,2022-03-13T01:24:05.8Z,1,REGULAR,substitution,in,[],1629022,,,1610612759,11,15,2022-03-13T01:25:14Z,810000,,,0,,SUB in: L. Walker IV,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT06M40.00S,2022-03-13T01:24:05.8Z,1,REGULAR,substitution,in,[],1626208,,,1610612759,11,15,2022-03-13T01:25:14Z,820000,,,0,,SUB in: K. Sykes,[1626208],1610612754.0,IND,,,,Sykes,K. Sykes,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M40.00S,2022-03-13T01:24:05.8Z,1,REGULAR,substitution,in,[],1629048,,,1610612759,11,15,2022-03-13T01:25:14Z,830000,,,0,,SUB in: G. Bitadze,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT06M20.00S,2022-03-13T01:25:21.0Z,1,REGULAR,2pt,Jump Shot,[],1629111,86.94152431011827,29.166666666666668,1610612759,13,15,2022-03-13T01:25:37Z,840000,-104.0,70.0,1,right,J. Landale 12' Jump Shot (2 PTS),[1629111],1610612759.0,SAS,,,,Landale,J. Landale,,,,,12.56,Made,,,,,2.0,,,,,,,,,,,,,,
85,PT06M07.00S,2022-03-13T01:25:33.7Z,1,REGULAR,2pt,Jump Shot,[],1626208,13.748357424441524,26.715686274509803,1610612754,13,15,2022-03-13T01:25:57Z,850000,116.0,77.0,1,left,MISS K. Sykes 13' pullup Shot,[1626208],1610612754.0,IND,pullup,,,Sykes,K. Sykes,,,,,13.94,Missed,,,,,,,,,,,,,,,,,,,
86,PT06M07.00S,2022-03-13T01:25:33.7Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,13,15,2022-03-13T01:25:57Z,860000,,,0,,K. Bates-Diop REBOUND (Off:0 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,85.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
87,PT05M55.00S,2022-03-13T01:25:46.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629111,93.24901445466492,49.754901960784316,1610612759,15,15,2022-03-13T01:26:01Z,870000,-1.0,11.0,1,right,J. Landale DUNK (4 PTS) (J. Primo 1 AST),"[1629111, 1630563]",1610612759.0,SAS,,,,Landale,J. Landale,,,,,1.11,Made,,,,,4.0,J. Primo,1630563.0,1.0,,,,,,,,,,,
89,PT05M41.00S,2022-03-13T01:26:00.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,9.017739816031538,48.28431372549019,1610612754,15,15,2022-03-13T01:26:13Z,890000,9.0,32.0,1,left,MISS B. Hield driving finger roll Layup,[1627741],1610612754.0,IND,driving finger roll,,,Hield,B. Hield,,,,,3.34,Missed,,,,,,,,,,,,,,,,,,,
90,PT05M39.00S,2022-03-13T01:26:02.3Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,15,15,2022-03-13T01:26:13Z,900000,,,0,,K. Bates-Diop REBOUND (Off:0 Def:2),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,89.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
