actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
64,PT06M49.00S,2021-12-28T01:51:29.9Z,1,REGULAR,foul,personal,[],1629640,,,1610612762,10,10,2021-12-28T01:51:41Z,640000,,,0,,K. Johnson personal FOUL (1 PF),"[1629640, 203497]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,202026.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,
66,PT06M49.00S,2021-12-28T01:51:44.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,10,10,2021-12-28T01:51:44Z,660000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M49.00S,2021-12-28T01:54:11.4Z,1,REGULAR,substitution,out,[],1628966,,,1610612762,10,10,2021-12-28T01:54:44Z,670000,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M49.00S,2021-12-28T01:54:11.4Z,1,REGULAR,substitution,out,[],204060,,,1610612762,10,10,2021-12-28T01:54:44Z,680000,,,0,,SUB out: J. Ingles,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M49.00S,2021-12-28T01:54:11.4Z,1,REGULAR,substitution,out,[],201144,,,1610612762,10,10,2021-12-28T01:54:44Z,690000,,,0,,SUB out: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M49.00S,2021-12-28T01:54:11.4Z,1,REGULAR,substitution,out,[],203497,,,1610612762,10,10,2021-12-28T01:54:44Z,700000,,,0,,SUB out: R. Gobert,[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M49.00S,2021-12-28T01:54:11.4Z,1,REGULAR,substitution,in,[],1630170,,,1610612762,10,10,2021-12-28T01:54:44Z,710000,,,0,,SUB in: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M49.00S,2021-12-28T01:54:11.4Z,1,REGULAR,substitution,in,[],203903,,,1610612762,10,10,2021-12-28T01:54:44Z,720000,,,0,,SUB in: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M49.00S,2021-12-28T01:54:11.4Z,1,REGULAR,substitution,in,[],202355,,,1610612762,10,10,2021-12-28T01:54:44Z,730000,,,0,,SUB in: H. Whiteside,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M49.00S,2021-12-28T01:54:11.4Z,1,REGULAR,substitution,in,[],1630235,,,1610612762,10,10,2021-12-28T01:54:44Z,740000,,,0,,SUB in: T. Forrest,[1630235],1610612762.0,UTA,,,,Forrest,T. Forrest,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M39.00S,2021-12-28T01:54:50.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202355,92.59198423127464,52.69607843137255,1610612762,10,12,2021-12-28T01:54:54Z,750000,13.0,17.0,1,right,H. Whiteside Layup (2 PTS) (J. Clarkson 1 AST),"[202355, 203903]",1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,Made,,2.0,2.18,,,,J. Clarkson,203903.0,1.0,,
80,PT06M20.00S,2021-12-28T01:55:08.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629640,11.514454664914586,43.13725490196079,1610612759,12,12,2021-12-28T01:55:51Z,770000,34.0,56.0,1,left,K. Johnson 6' driving Hook (4 PTS),[1629640],1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,,,,,,,,,Made,,4.0,6.54,,,,,,,,
81,PT06M05.00S,2021-12-28T01:55:23.7Z,1,REGULAR,2pt,Jump Shot,[],202711,88.78120893561103,68.13725490196079,1610612762,12,12,2021-12-28T01:56:29Z,780000,91.0,53.0,1,right,MISS B. Bogdanovic 10' turnaround bank Shot,[202711],1610612762.0,UTA,turnaround bank,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,Missed,,,10.5,,,,,,,,
82,PT06M02.00S,2021-12-28T01:55:26.7Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,12,12,2021-12-28T01:55:29Z,790000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,81.0,,,1.0,1.0,0.0,,,,,
83,PT05M53.00S,2021-12-28T01:55:36.2Z,1,REGULAR,2pt,Jump Shot,[],1629022,15.456636005256241,67.40196078431373,1610612759,14,12,2021-12-28T01:55:40Z,800000,-87.0,93.0,1,left,L. Walker IV 12' pullup Jump Shot (2 PTS) (J. Poeltl 2 AST),"[1629022, 1627751]",1610612759.0,SAS,pullup,,,Walker IV,L. Walker IV,,,,,,,,,,,,,Made,,2.0,12.72,,,,J. Poeltl,1627751.0,2.0,,
85,PT05M39.00S,2021-12-28T01:55:49.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630235,88.91261498028909,52.450980392156865,1610612762,14,12,2021-12-28T01:55:55Z,820000,12.0,52.0,1,right,MISS T. Forrest driving Layup,[1630235],1610612762.0,UTA,driving,,,Forrest,T. Forrest,,,,,,,,,,,,,Missed,,,5.31,,,,,,,,
86,PT05M39.00S,2021-12-28T01:55:52.4Z,1,REGULAR,rebound,offensive,[],202355,,,1610612762,14,12,2021-12-28T01:55:52Z,830000,,,0,,H. Whiteside REBOUND (Off:1 Def:0),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,,85.0,,,1.0,0.0,1.0,,,,,
87,PT05M39.00S,2021-12-28T01:55:54.4Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630170,,,1610612762,14,12,2021-12-28T01:56:03Z,840000,,,0,,D. Vassell shooting personal FOUL (1 PF) (Whiteside 2 FT),"[1630170, 202355]",1610612759.0,SAS,shooting,,,Vassell,D. Vassell,,,,,,,,2882.0,1.0,0.0,Whiteside,202355.0,,,,,,,,,,,,
89,PT05M39.00S,2021-12-28T01:56:20.4Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202355,,,1610612762,14,12,2021-12-28T01:56:20Z,860000,,,0,,MISS H. Whiteside Free Throw 1 of 2,[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,Missed,,,,,,,,,,,
90,PT05M39.00S,2021-12-28T01:56:20.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,14,12,2021-12-28T01:56:20Z,870000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,
91,PT05M39.00S,2021-12-28T01:56:21.8Z,1,REGULAR,substitution,out,[],1628401,,,1610612762,14,12,2021-12-28T01:56:33Z,880000,,,0,,SUB out: D. White,[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M39.00S,2021-12-28T01:56:21.8Z,1,REGULAR,substitution,out,[],1627751,,,1610612762,14,12,2021-12-28T01:56:33Z,890000,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,
93,PT05M39.00S,2021-12-28T01:56:21.8Z,1,REGULAR,substitution,in,[],1629111,,,1610612762,14,12,2021-12-28T01:56:33Z,900000,,,0,,SUB in: J. Landale,[1629111],1610612759.0,SAS,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,
94,PT05M39.00S,2021-12-28T01:56:21.8Z,1,REGULAR,substitution,in,[],1630200,,,1610612762,14,12,2021-12-28T01:56:33Z,910000,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,
95,PT05M39.00S,2021-12-28T01:56:40.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202355,,,1610612762,14,13,2021-12-28T01:56:40Z,920000,,,0,,H. Whiteside Free Throw 2 of 2 (3 PTS),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,,,Made,,3.0,,,,,,,,,
