actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
37,PT07M38.00S,2022-02-04T00:15:29.6Z,1,REGULAR,2pt,Jump Shot,[],1630200,93.38042049934296,30.88235294117647,1610612759,5,6,2022-02-04T00:15:40Z,370000,-96.0,10.0,1,right,T. Jones 9' driving floating Jump Shot (2 PTS) (D. Vassell 1 AST),"[1630200, 1630170]",1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,,,,,9.61,Made,2.0,,,,,,,,,D. Vassell,1630170.0,1.0,,
39,PT07M24.00S,2022-02-04T00:15:42.5Z,1,REGULAR,3pt,Jump Shot,[],1629130,32.013797634691194,50.49019607843137,1610612748,5,9,2022-02-04T00:15:47Z,390000,-2.0,248.0,1,left,D. Robinson 24' 3PT  (3 PTS) (J. Butler 1 AST),"[1629130, 202710]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,24.84,Made,3.0,,,,,,,,,J. Butler,202710.0,1.0,,
41,PT07M11.00S,2022-02-04T00:15:56.0Z,1,REGULAR,3pt,Jump Shot,[],1628401,90.62089356110381,95.34313725490196,1610612759,8,9,2022-02-04T00:16:03Z,410000,227.0,36.0,1,right,D. White 3PT step back (6 PTS) (D. Vassell 2 AST),"[1628401, 1630170]",1610612759.0,SAS,step back,,,White,D. White,,,,,,,,,22.95,Made,6.0,,,,,,,,,D. Vassell,1630170.0,2.0,,
43,PT06M58.00S,2022-02-04T00:16:12.5Z,1,REGULAR,foul,personal,[],1630200,,,1610612748,8,9,2022-02-04T00:16:17Z,430000,,,0,,T. Jones personal FOUL (1 PF),"[1630200, 1628389]",1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,1627541.0,,,,,,,,1.0,0.0,Adebayo,1628389.0,,,,,
45,PT06M58.00S,2022-02-04T00:16:20.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,8,9,2022-02-04T00:16:20Z,450000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT06M58.00S,2022-02-04T00:18:35.0Z,1,REGULAR,substitution,out,[],201152,,,1610612748,8,9,2022-02-04T00:18:56Z,460000,,,0,,SUB out: T. Young,[201152],1610612759.0,SAS,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,
47,PT06M58.00S,2022-02-04T00:18:35.0Z,1,REGULAR,substitution,out,[],1630200,,,1610612748,8,9,2022-02-04T00:18:56Z,470000,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,
48,PT06M58.00S,2022-02-04T00:18:35.0Z,1,REGULAR,substitution,out,[],1628389,,,1610612748,8,9,2022-02-04T00:18:56Z,480000,,,0,,SUB out: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,
49,PT06M58.00S,2022-02-04T00:18:35.0Z,1,REGULAR,substitution,in,[],1629234,,,1610612748,8,9,2022-02-04T00:18:56Z,490000,,,0,,SUB in: D. Eubanks,[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,
50,PT06M58.00S,2022-02-04T00:18:35.0Z,1,REGULAR,substitution,in,[],1629022,,,1610612748,8,9,2022-02-04T00:18:56Z,500000,,,0,,SUB in: L. Walker IV,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M58.00S,2022-02-04T00:18:35.0Z,1,REGULAR,substitution,in,[],203473,,,1610612748,8,9,2022-02-04T00:18:56Z,510000,,,0,,SUB in: D. Dedmon,[203473],1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,,,,,,,,,,,,,,,,
125,PT06M43.00S,2022-02-04T00:19:01.5Z,1,REGULAR,2pt,Jump Shot,[],202710,19.267411300919843,69.85294117647058,1610612748,8,9,2022-02-04T00:31:15Z,525000,-99.0,129.0,1,left,MISS J. Butler 16' pullup Shot,[202710],1610612748.0,MIA,pullup,,,Butler,J. Butler,,,,,,,,,16.25,Missed,,,,,,,,,,,,,,
126,PT06M43.00S,2022-02-04T00:19:01.5Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,8,9,2022-02-04T00:31:15Z,532500,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,125.0,1.0,1.0,0.0,,,,,,,,,
54,PT06M41.00S,2022-02-04T00:19:28.1Z,1,REGULAR,foul,personal,['2freethrow'],200768,,,1610612759,8,9,2022-02-04T00:19:35Z,540000,,,0,,K. Lowry shooting personal FOUL (1 PF) (Vassell 2 FT),"[200768, 1630170]",1610612748.0,MIA,shooting,,,Lowry,K. Lowry,,,,,,,,1627541.0,,,,,,,,1.0,0.0,Vassell,1630170.0,,,,,
56,PT06M41.00S,2022-02-04T00:19:56.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630170,,,1610612759,9,9,2022-02-04T00:30:14Z,560000,,,0,,D. Vassell Free Throw 1 of 2 (1 PTS),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
57,PT06M41.00S,2022-02-04T00:20:12.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630170,,,1610612759,10,9,2022-02-04T00:30:14Z,570000,,,0,,D. Vassell Free Throw 2 of 2 (2 PTS),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
58,PT06M26.00S,2022-02-04T00:20:30.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203473,9.017739816031538,36.51960784313725,1610612748,10,9,2022-02-04T00:20:34Z,580000,67.0,32.0,1,left,MISS D. Dedmon 7' turnaround Hook,[203473],1610612748.0,MIA,turnaround,,,Dedmon,D. Dedmon,,,,,,,,,7.47,Missed,,,,,,,,,,,,,,
59,PT06M24.00S,2022-02-04T00:20:32.0Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612759,10,9,2022-02-04T00:20:34Z,590000,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,
60,PT06M15.00S,2022-02-04T00:20:40.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629234,94.30026281208936,49.50980392156863,1610612759,12,9,2022-02-04T00:20:47Z,600000,-2.0,1.0,1,right,D. Eubanks DUNK (2 PTS) (D. White 1 AST),"[1629234, 1628401]",1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,0.27,Made,2.0,,,,,,,,,D. White,1628401.0,1.0,,
62,PT06M02.00S,2022-02-04T00:20:53.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203473,6.652431011826544,50.0,1610612748,12,9,2022-02-04T00:21:00Z,620000,0.0,10.0,1,left,MISS D. Dedmon Layup - blocked,"[203473, 1629234]",1610612748.0,MIA,,,,Dedmon,D. Dedmon,,,,,,,,,1.0,Missed,,,,,,,,,,,,,Eubanks,1629234.0
63,PT06M02.00S,2022-02-04T00:20:53.8Z,1,REGULAR,block,,[],1629234,,,1610612748,12,9,2022-02-04T00:20:56Z,630000,,,0,,D. Eubanks BLOCK (1 BLK),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M59.00S,2022-02-04T00:20:56.8Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612759,12,9,2022-02-04T00:21:00Z,640000,,,0,,D. Eubanks REBOUND (Off:0 Def:2),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,,,62.0,2.0,2.0,0.0,,,,,,,,,
65,PT05M52.00S,2022-02-04T00:21:04.4Z,1,REGULAR,2pt,Jump Shot,[],1628401,78.79434954007884,59.80392156862745,1610612759,14,9,2022-02-04T00:21:08Z,650000,49.0,147.0,1,right,D. White 15' pullup Jump Shot (8 PTS),[1628401],1610612759.0,SAS,pullup,,,White,D. White,,,,,,,,,15.48,Made,8.0,,,,,,,,,,,,,
66,PT05M38.00S,2022-02-04T00:21:18.7Z,1,REGULAR,3pt,Jump Shot,[],1629130,32.40801576872536,59.31372549019608,1610612748,14,9,2022-02-04T00:21:25Z,660000,-47.0,252.0,1,left,MISS D. Robinson 25' 3PT,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,25.64,Missed,,,,,,,,,,,,,,
67,PT05M34.00S,2022-02-04T00:21:22.7Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,14,9,2022-02-04T00:21:25Z,670000,,,0,,J. Butler REBOUND (Off:1 Def:2),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,66.0,3.0,2.0,1.0,,,,,,,,,
68,PT05M31.00S,2022-02-04T00:21:25.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202710,8.492115637319317,46.81372549019608,1610612748,14,9,2022-02-04T00:23:13Z,680000,16.0,27.0,1,left,MISS J. Butler driving Layup,[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,,,,,3.16,Missed,,,,,,,,,,,,,,
69,PT05M29.00S,2022-02-04T00:21:27.2Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,14,9,2022-02-04T00:21:27Z,690000,,,0,,K. Johnson REBOUND (Off:0 Def:2),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,68.0,2.0,2.0,0.0,,,,,,,,,
70,PT05M22.00S,2022-02-04T00:21:33.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,69.72733245729303,66.17647058823529,1610612759,14,9,2022-02-04T00:21:39Z,700000,81.0,232.0,1,right,MISS D. White 24' pullup 3PT,[1628401],1610612759.0,SAS,pullup,,,White,D. White,,,,,,,,,24.58,Missed,,,,,,,,,,,,,,
71,PT05M21.00S,2022-02-04T00:21:35.6Z,1,REGULAR,rebound,offensive,[],1629022,,,1610612759,14,9,2022-02-04T00:21:35Z,710000,,,0,,L. Walker IV REBOUND (Off:1 Def:0),[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,70.0,1.0,0.0,1.0,,,,,,,,,
72,PT05M09.00S,2022-02-04T00:21:47.7Z,1,REGULAR,turnover,lost ball,[],1628401,,,1610612759,14,9,2022-02-04T00:21:51Z,720000,,,0,,D. White lost ball TURNOVER (2 TO),"[1628401, 200782]",1610612759.0,SAS,,,,White,D. White,,,,,2.0,Tucker,200782.0,,,,,,,,,,,,,,,,,
73,PT05M09.00S,2022-02-04T00:21:47.7Z,1,REGULAR,steal,,[],200782,,,1610612748,14,9,2022-02-04T00:21:49Z,730000,,,0,,P. Tucker STEAL (1 STL),[200782],1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M50.00S,2022-02-04T00:22:08.0Z,1,REGULAR,turnover,out-of-bounds,[],200768,,,1610612748,14,9,2022-02-04T00:22:17Z,740000,,,0,,K. Lowry lost ball out-of-bounds TURNOVER (2 TO),[200768],1610612748.0,MIA,lost ball,,,Lowry,K. Lowry,,,,,2.0,,,201246.0,,,,,,,,,,,,,,,,
75,PT04M50.00S,2022-02-04T00:22:13.7Z,1,REGULAR,substitution,out,[],1630170,,,1610612759,14,9,2022-02-04T00:22:24Z,750000,,,0,,SUB out: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M50.00S,2022-02-04T00:22:13.7Z,1,REGULAR,substitution,out,[],200768,,,1610612759,14,9,2022-02-04T00:22:24Z,760000,,,0,,SUB out: K. Lowry,[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M50.00S,2022-02-04T00:22:13.7Z,1,REGULAR,substitution,in,[],1630563,,,1610612759,14,9,2022-02-04T00:22:24Z,770000,,,0,,SUB in: J. Primo,[1630563],1610612759.0,SAS,,,,Primo,J. Primo,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M50.00S,2022-02-04T00:22:13.7Z,1,REGULAR,substitution,in,[],1629639,,,1610612759,14,9,2022-02-04T00:22:24Z,780000,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M37.00S,2022-02-04T00:22:43.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628401,67.62483574244416,59.55882352941176,1610612759,14,9,2022-02-04T00:22:50Z,790000,48.0,252.0,1,right,MISS D. White 25' 3PT,[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,25.63,Missed,,,,,,,,,,,,,,
80,PT04M33.00S,2022-02-04T00:22:47.5Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,14,9,2022-02-04T00:22:50Z,800000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,79.0,1.0,1.0,0.0,,,,,,,,,
81,PT04M26.00S,2022-02-04T00:22:56.4Z,1,REGULAR,foul,personal,[],1628401,,,1610612748,14,9,2022-02-04T00:23:33Z,810000,,,0,,D. White personal FOUL (1 PF),"[1628401, 1629639]",1610612759.0,SAS,,,,White,D. White,,,,,,,,201246.0,,,,,,,,1.0,0.0,Herro,1629639.0,,,,,
83,PT04M26.00S,2022-02-04T00:23:01.7Z,1,REGULAR,substitution,out,[],1628401,,,1610612748,14,9,2022-02-04T00:23:06Z,830000,,,0,,SUB out: D. White,[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M26.00S,2022-02-04T00:23:01.7Z,1,REGULAR,substitution,in,[],1630200,,,1610612748,14,9,2022-02-04T00:23:06Z,840000,,,0,,SUB in: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M26.00S,2022-02-04T00:23:21.9Z,1,REGULAR,foul,technical,['1freethrow'],200768,,,1610612748,14,9,2022-02-04T00:23:33Z,850000,,,0,,K. Lowry technical FOUL (1 Tech),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,201246.0,,,,,,,,1.0,1.0,,,,,,,
86,PT04M26.00S,2022-02-04T00:23:42.8Z,1,REGULAR,freethrow,1 of 1,[],1630200,,,1610612748,14,9,2022-02-04T00:23:42Z,860000,,,0,,MISS T. Jones technical Free Throw 1 of 1,[1630200],1610612759.0,SAS,technical,,,Jones,T. Jones,,,,,,,,,,Missed,,,,,,,,,,,,,,
87,PT04M26.00S,2022-02-04T00:23:42.8Z,1,REGULAR,rebound,defensive,"['deadball', 'team']",0,,,1610612748,14,9,2022-02-04T00:23:42Z,870000,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,
88,PT04M21.00S,2022-02-04T00:24:02.4Z,1,REGULAR,turnover,out-of-bounds,[],203473,,,1610612748,14,9,2022-02-04T00:24:10Z,880000,,,0,,D. Dedmon bad pass out-of-bounds TURNOVER (1 TO),[203473],1610612748.0,MIA,bad pass,,,Dedmon,D. Dedmon,,,,,1.0,,,202035.0,,,,,,,,,,,,,,,,
89,PT04M04.00S,2022-02-04T00:24:21.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629022,93.77463863337714,49.754901960784316,1610612759,14,9,2022-02-04T00:28:17Z,890000,-1.0,6.0,1,right,MISS L. Walker IV driving Layup,[1629022],1610612759.0,SAS,driving,,,Walker IV,L. Walker IV,,,,,,,,,0.61,Missed,,,,,,,,,,,,,,
