actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
17,PT10M51.00S,2021-11-11T01:42:48.2Z,1,REGULAR,rebound,defensive,[],203926,,,1610612759,5,0,2021-11-11T01:42:48Z,170000,,,0,,D. McDermott REBOUND (Off:0 Def:1),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M40.00S,2021-11-11T01:42:59.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,94.30026281208936,38.48039215686275,1610612759,7,0,2021-11-11T01:43:07Z,180000,-58.0,1.0,1,right,D. White driving floating bank Jump Shot (2 PTS) (D. Murray 1 AST),"[1628401, 1627749]",1610612759.0,SAS,driving floating bank,,,White,D. White,,,,,,,5.76,Made,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,
20,PT10M31.00S,2021-11-11T01:43:09.3Z,1,REGULAR,turnover,bad pass,[],1627741,,,1610612758,7,0,2021-11-11T01:43:20Z,200000,,,0,,B. Hield bad pass TURNOVER (1 TO),"[1627741, 1628401]",1610612758.0,SAC,,,,Hield,B. Hield,,,,,,1.0,,,,,,,,,,,,,,,White,1628401.0,,,
21,PT10M31.00S,2021-11-11T01:43:09.3Z,1,REGULAR,steal,,[],1628401,,,1610612759,7,0,2021-11-11T01:43:11Z,210000,,,0,,D. White STEAL (1 STL),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M29.00S,2021-11-11T01:43:14.7Z,1,REGULAR,turnover,out-of-bounds,[],1629234,,,1610612759,7,0,2021-11-11T01:43:27Z,220000,,,0,,D. Eubanks bad pass out-of-bounds TURNOVER (1 TO),[1629234],1610612759.0,SAS,bad pass,,,Eubanks,D. Eubanks,,,,,202901.0,1.0,,,,,,,,,,,,,,,,,,,
23,PT10M18.00S,2021-11-11T01:43:35.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628368,10.5946123521682,28.431372549019606,1610612758,7,2,2021-11-11T01:43:41Z,230000,108.0,47.0,1,left,D. Fox 11' pullup bank Jump Shot (2 PTS),[1628368],1610612758.0,SAC,pullup bank,,,Fox,D. Fox,,,,,,,11.76,Made,2.0,,,,,,,,,,,,,,,,
24,PT09M58.00S,2021-11-11T01:43:54.7Z,1,REGULAR,turnover,bad pass,[],1629234,,,1610612759,7,2,2021-11-11T01:44:02Z,240000,,,0,,D. Eubanks bad pass TURNOVER (2 TO),"[1629234, 1627741]",1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,2.0,,,,,,,,,,,,,,,Hield,1627741.0,,,
25,PT09M58.00S,2021-11-11T01:43:54.7Z,1,REGULAR,steal,,[],1627741,,,1610612758,7,2,2021-11-11T01:43:56Z,250000,,,0,,B. Hield STEAL (1 STL),[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M51.00S,2021-11-11T01:44:02.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203084,5.075558475689881,33.088235294117645,1610612758,7,4,2021-11-11T01:44:15Z,260000,85.0,-5.0,1,left,H. Barnes 8' floating Jump Shot (2 PTS) (B. Hield 1 AST),"[203084, 1627741]",1610612758.0,SAC,floating,,,Barnes,H. Barnes,,,,,,,8.47,Made,2.0,B. Hield,1627741.0,1.0,,,,,,,,,,,,,
28,PT09M39.00S,2021-11-11T01:44:14.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,94.30026281208936,62.00980392156863,1610612759,7,4,2021-11-11T01:44:19Z,280000,60.0,1.0,1,right,MISS D. Murray 6' pullup Shot,[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,,,6.0,Missed,,,,,,,,,,,,,,,,,
29,PT09M39.00S,2021-11-11T01:44:14.0Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,7,4,2021-11-11T01:44:19Z,290000,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,
30,PT09M33.00S,2021-11-11T01:44:20.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,25.04927726675427,81.12745098039215,1610612758,7,4,2021-11-11T01:45:33Z,300000,-156.0,183.0,1,left,MISS B. Hield 24' step back 3PT,[1627741],1610612758.0,SAC,step back,,,Hield,B. Hield,,,,,,,24.02,Missed,,,,,,,,,,,,,,,,,
31,PT09M29.00S,2021-11-11T01:44:24.6Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612759,7,4,2021-11-11T01:44:26Z,310000,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,
32,PT09M16.00S,2021-11-11T01:44:37.7Z,1,REGULAR,3pt,Jump Shot,[],203926,94.30026281208936,96.81372549019608,1610612759,10,4,2021-11-11T01:44:44Z,320000,234.0,1.0,1,right,D. McDermott 3PT  (3 PTS) (D. Eubanks 1 AST),"[203926, 1629234]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,23.41,Made,3.0,D. Eubanks,1629234.0,1.0,,,,,,,,,,,,,
34,PT09M07.00S,2021-11-11T01:44:45.3Z,1,REGULAR,2pt,Jump Shot,[],1628368,17.69053876478318,67.15686274509804,1610612758,10,4,2021-11-11T01:44:49Z,340000,-86.0,114.0,1,left,MISS D. Fox 14' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,,,14.25,Missed,,,,,,,,,,,,,,,,,
35,PT09M05.00S,2021-11-11T01:44:47.3Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612759,10,4,2021-11-11T01:44:49Z,350000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,
36,PT08M56.00S,2021-11-11T01:45:00.9Z,1,REGULAR,turnover,3-second-violation,[],1629234,,,1610612759,10,4,2021-11-11T01:45:10Z,360000,,,0,,D. Eubanks 3-second-violation TURNOVER (3 TO),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,1201.0,3.0,,,,,,,,,,,,,,,,,,,
37,PT08M40.00S,2021-11-11T01:45:22.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203084,11.383048620236531,3.1862745098039214,1610612758,10,7,2021-11-11T01:45:27Z,370000,234.0,55.0,1,left,H. Barnes 24' 3PT pullup (5 PTS) (M. Harkless 1 AST),"[203084, 203090]",1610612758.0,SAC,pullup,,,Barnes,H. Barnes,,,,,,,24.04,Made,5.0,M. Harkless,203090.0,1.0,,,,,,,,,,,,,
39,PT08M27.00S,2021-11-11T01:45:35.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,91.5407358738502,60.049019607843135,1610612759,12,7,2021-11-11T01:45:40Z,390000,50.0,27.0,1,right,D. Murray driving floating bank Jump Shot (2 PTS),[1627749],1610612759.0,SAS,driving floating bank,,,Murray,D. Murray,,,,,,,5.7,Made,2.0,,,,,,,,,,,,,,,,
40,PT08M14.00S,2021-11-11T01:45:46.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,14.799605781865965,37.00980392156863,1610612758,12,7,2021-11-11T01:45:56Z,400000,65.0,87.0,1,left,MISS D. Fox 10' floating Shot,[1628368],1610612758.0,SAC,floating,,,Fox,D. Fox,,,,,,,10.83,Missed,,,,,,,,,,,,,,,,,
41,PT08M09.00S,2021-11-11T01:45:52.4Z,1,REGULAR,rebound,offensive,[],1626158,,,1610612758,12,7,2021-11-11T01:45:52Z,410000,,,0,,R. Holmes REBOUND (Off:1 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,40.0,2.0,1.0,1.0,,,,,,,,,
42,PT08M09.00S,2021-11-11T01:45:52.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626158,5.590000152587891,50.0,1610612758,12,7,2021-11-11T01:45:52Z,420000,0.0,0.0,1,left,MISS R. Holmes tip Layup,[1626158],1610612758.0,SAC,tip,,,Holmes,R. Holmes,,,,,,,0.0,Missed,,,,,,,,,,,,,,,,,
43,PT08M08.00S,2021-11-11T01:45:53.3Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,12,7,2021-11-11T01:45:53Z,430000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,
44,PT08M08.00S,2021-11-11T01:45:56.8Z,1,REGULAR,foul,personal,['2freethrow'],203084,,,1610612759,12,7,2021-11-11T01:46:08Z,440000,,,0,,H. Barnes shooting personal FOUL (1 PF) (Johnson 2 FT),"[203084, 1629640]",1610612758.0,SAC,shooting,,,Barnes,H. Barnes,,,,,202901.0,,,,,,,,,,,,1.0,0.0,Johnson,1629640.0,,,,,
46,PT08M08.00S,2021-11-11T01:46:21.2Z,1,REGULAR,freethrow,1 of 2,[],1629640,,,1610612759,12,7,2021-11-11T01:46:21Z,460000,,,0,,MISS K. Johnson Free Throw 1 of 2,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Missed,,,,,,,,,,,,,,,,,
47,PT08M08.00S,2021-11-11T01:46:21.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,12,7,2021-11-11T01:46:21Z,470000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,
48,PT08M08.00S,2021-11-11T01:46:22.7Z,1,REGULAR,substitution,out,[],1629234,,,1610612759,12,7,2021-11-11T01:46:30Z,480000,,,0,,SUB out: D. Eubanks,[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M08.00S,2021-11-11T01:46:22.7Z,1,REGULAR,substitution,in,[],201152,,,1610612759,12,7,2021-11-11T01:46:30Z,490000,,,0,,SUB in: T. Young,[201152],1610612759.0,SAS,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M08.00S,2021-11-11T01:46:38.4Z,1,REGULAR,freethrow,2 of 2,[],1629640,,,1610612759,13,7,2021-11-11T01:46:38Z,500000,,,0,,K. Johnson Free Throw 2 of 2 (4 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,
51,PT08M01.00S,2021-11-11T01:46:47.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,10.200394218134035,3.431372549019608,1610612758,13,7,2021-11-11T01:46:54Z,510000,233.0,43.0,1,left,MISS B. Hield 3PT,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,23.68,Missed,,,,,,,,,,,,,,,,,
52,PT07M56.00S,2021-11-11T01:46:52.6Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,13,7,2021-11-11T01:46:54Z,520000,,,0,,K. Johnson REBOUND (Off:0 Def:2),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,51.0,2.0,2.0,0.0,,,,,,,,,
70,PT07M49.00S,2021-11-11T01:46:55.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203926,87.86136662286465,49.50980392156863,1610612759,13,7,2021-11-11T01:50:57Z,525000,-2.0,62.0,1,right,MISS D. McDermott 6' driving Layup - blocked,"[203926, 1628368]",1610612759.0,SAS,driving,,,McDermott,D. McDermott,,,,,,,6.17,Missed,,,,,,,,,,,,,,,Fox,1628368.0,
71,PT07M49.00S,2021-11-11T01:46:55.5Z,1,REGULAR,block,,[],1628368,,,1610612759,13,7,2021-11-11T01:50:57Z,527500,,,0,,D. Fox BLOCK (1 BLK),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M49.00S,2021-11-11T01:46:55.5Z,1,REGULAR,rebound,offensive,[],1629640,,,1610612759,13,7,2021-11-11T01:50:57Z,528750,,,0,,K. Johnson REBOUND (Off:1 Def:2),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,70.0,3.0,2.0,1.0,,,,,,,,,
53,PT07M45.00S,2021-11-11T01:47:03.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629640,87.72996057818659,39.46078431372549,1610612759,15,7,2021-11-11T01:50:57Z,530000,-53.0,63.0,1,right,K. Johnson 8' floating Jump Shot (6 PTS),[1629640],1610612759.0,SAS,floating,,,Johnson,K. Johnson,,,,,,,8.2,Made,6.0,,,,,,,,,,,,,,,,
54,PT07M31.00S,2021-11-11T01:47:17.9Z,1,REGULAR,3pt,Jump Shot,[],1627741,31.750985545335087,46.07843137254902,1610612758,15,7,2021-11-11T01:47:25Z,540000,20.0,246.0,1,left,MISS B. Hield 24' pullup 3PT - blocked,"[1627741, 1629640]",1610612758.0,SAC,pullup,,,Hield,B. Hield,,,,,,,24.68,Missed,,,,,,,,,,,,,,,Johnson,1629640.0,
55,PT07M31.00S,2021-11-11T01:47:17.9Z,1,REGULAR,block,,[],1629640,,,1610612758,15,7,2021-11-11T01:47:20Z,550000,,,0,,K. Johnson BLOCK (1 BLK),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M27.00S,2021-11-11T01:47:21.9Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,15,7,2021-11-11T01:47:25Z,560000,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,54.0,2.0,2.0,0.0,,,,,,,,,
57,PT07M15.00S,2021-11-11T01:47:33.8Z,1,REGULAR,2pt,Jump Shot,[],1627749,74.06373193166885,50.98039215686274,1610612759,15,7,2021-11-11T01:47:41Z,570000,5.0,191.0,1,right,MISS D. Murray 19' pullup Shot,[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,,,19.14,Missed,,,,,,,,,,,,,,,,,
58,PT07M11.00S,2021-11-11T01:47:37.8Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,15,7,2021-11-11T01:47:41Z,580000,,,0,,R. Holmes REBOUND (Off:1 Def:2),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,57.0,3.0,2.0,1.0,,,,,,,,,
59,PT07M08.00S,2021-11-11T01:47:40.7Z,1,REGULAR,turnover,bad pass,[],1628368,,,1610612758,15,7,2021-11-11T01:47:48Z,590000,,,0,,D. Fox bad pass TURNOVER (1 TO),"[1628368, 1628401]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,,1.0,,,,,,,,,,,,,,,White,1628401.0,,,
60,PT07M08.00S,2021-11-11T01:47:40.7Z,1,REGULAR,steal,,[],1628401,,,1610612759,15,7,2021-11-11T01:47:44Z,600000,,,0,,D. White STEAL (2 STL),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M03.00S,2021-11-11T01:47:47.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627749,93.51182654402102,50.73529411764706,1610612759,17,7,2021-11-11T01:47:54Z,610000,4.0,8.0,1,right,D. Murray cutting Layup (4 PTS) (D. White 1 AST),"[1627749, 1628401]",1610612759.0,SAS,cutting,,,Murray,D. Murray,,,,,,,0.93,Made,4.0,D. White,1628401.0,1.0,,,,,,,,,,,,,
63,PT07M03.00S,2021-11-11T01:47:53.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,17,7,2021-11-11T01:47:53Z,630000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M03.00S,2021-11-11T01:50:00.8Z,1,REGULAR,substitution,out,[],203090,,,1610612758,17,7,2021-11-11T01:50:34Z,640000,,,0,,SUB out: M. Harkless,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M03.00S,2021-11-11T01:50:00.8Z,1,REGULAR,substitution,out,[],1626158,,,1610612758,17,7,2021-11-11T01:50:34Z,650000,,,0,,SUB out: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M03.00S,2021-11-11T01:50:00.8Z,1,REGULAR,substitution,out,[],1627741,,,1610612758,17,7,2021-11-11T01:50:34Z,660000,,,0,,SUB out: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M03.00S,2021-11-11T01:50:00.8Z,1,REGULAR,substitution,in,[],1629002,,,1610612758,17,7,2021-11-11T01:50:34Z,670000,,,0,,SUB in: C. Metu,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT07M03.00S,2021-11-11T01:50:00.8Z,1,REGULAR,substitution,in,[],1630558,,,1610612758,17,7,2021-11-11T01:50:34Z,680000,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT07M03.00S,2021-11-11T01:50:00.8Z,1,REGULAR,substitution,in,[],202684,,,1610612758,17,7,2021-11-11T01:50:34Z,690000,,,0,,SUB in: T. Thompson,[202684],1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M41.00S,2021-11-11T01:51:14.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,5.995400788436268,47.30392156862745,1610612758,17,7,2021-11-11T01:51:26Z,700000,13.0,4.0,1,left,MISS H. Barnes cutting Layup,[203084],1610612758.0,SAC,cutting,,,Barnes,H. Barnes,,,,,,,1.41,Missed,,,,,,,,,,,,,,,,,
74,PT06M36.00S,2021-11-11T01:51:19.6Z,1,REGULAR,rebound,offensive,[],202684,,,1610612758,17,7,2021-11-11T01:51:26Z,710000,,,0,,T. Thompson REBOUND (Off:1 Def:0),[202684],1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,,,,,,,,,73.0,1.0,0.0,1.0,,,,,,,,,
75,PT06M36.00S,2021-11-11T01:51:19.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202684,5.590000152587891,50.0,1610612758,17,7,2021-11-11T01:51:19Z,720000,0.0,0.0,1,left,MISS T. Thompson tip Layup,[202684],1610612758.0,SAC,tip,,,Thompson,T. Thompson,,,,,,,0.0,Missed,,,,,,,,,,,,,,,,,
76,PT06M33.00S,2021-11-11T01:51:22.1Z,1,REGULAR,rebound,offensive,[],203084,,,1610612758,17,7,2021-11-11T01:51:22Z,730000,,,0,,H. Barnes REBOUND (Off:1 Def:0),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,75.0,1.0,0.0,1.0,,,,,,,,,
77,PT06M33.00S,2021-11-11T01:51:22.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203084,5.590000152587891,50.0,1610612758,17,9,2021-11-11T01:51:22Z,740000,0.0,0.0,1,left,H. Barnes tip Layup (7 PTS),[203084],1610612758.0,SAC,tip,,,Barnes,H. Barnes,,,,,,,0.0,Made,7.0,,,,,,,,,,,,,,,,
78,PT06M22.00S,2021-11-11T01:51:34.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201152,94.30026281208936,62.745098039215684,1610612759,19,9,2021-11-11T01:51:45Z,750000,64.0,1.0,1,right,T. Young 6' turnaround Hook (2 PTS) (D. White 2 AST),"[201152, 1628401]",1610612759.0,SAS,turnaround,,,Young,T. Young,,,,,,,6.37,Made,2.0,D. White,1628401.0,2.0,,,,,,,,,,,,,
80,PT06M02.00S,2021-11-11T01:51:53.4Z,1,REGULAR,3pt,Jump Shot,[],203084,35.8245729303548,50.0,1610612758,19,9,2021-11-11T01:51:59Z,770000,0.0,284.0,1,left,MISS H. Barnes 28' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,28.43,Missed,,,,,,,,,,,,,,,,,
81,PT05M57.00S,2021-11-11T01:51:58.4Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,19,9,2021-11-11T01:51:59Z,780000,,,0,,D. Murray REBOUND (Off:0 Def:3),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,80.0,3.0,3.0,0.0,,,,,,,,,
82,PT05M53.00S,2021-11-11T01:52:02.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628401,94.30026281208936,46.568627450980394,1610612759,19,9,2021-11-11T01:52:11Z,790000,-17.0,1.0,1,right,MISS D. White reverse Layup,[1628401],1610612759.0,SAS,reverse,,,White,D. White,,,,,,,1.72,Missed,,,,,,,,,,,,,,,,,
84,PT05M48.00S,2021-11-11T01:52:07.7Z,1,REGULAR,rebound,defensive,[],202684,,,1610612758,19,9,2021-11-11T01:52:11Z,810000,,,0,,T. Thompson REBOUND (Off:1 Def:1),[202684],1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,,,,,,,,,82.0,2.0,1.0,1.0,,,,,,,,,
85,PT05M42.00S,2021-11-11T01:52:17.9Z,1,REGULAR,foul,offensive,[],202684,,,1610612758,19,9,2021-11-11T01:52:38Z,820000,,,0,,T. Thompson charge offensive FOUL (1 PF),"[202684, 201152]",1610612758.0,SAC,charge,,,Thompson,T. Thompson,,,,,202901.0,,,,,,,,,,,,1.0,0.0,Young,201152.0,,,,,
87,PT05M42.00S,2021-11-11T01:52:17.9Z,1,REGULAR,turnover,offensive foul,[],202684,,,1610612758,19,9,2021-11-11T01:52:17Z,840000,,,0,,T. Thompson offensive foul TURNOVER (1 TO),[202684],1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,202901.0,1.0,,,,,,,,,,,,,,,,,,,
88,PT05M42.00S,2021-11-11T01:52:24.8Z,1,REGULAR,substitution,out,[],1628401,,,1610612759,19,9,2021-11-11T01:52:39Z,850000,,,0,,SUB out: D. White,[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
