actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
15,PT10M46.00S,2021-11-27T01:41:22.9Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,2,0,2021-11-27T01:41:24Z,150000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
16,PT10M42.00S,2021-11-27T01:41:27.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,17.821944809461236,62.254901960784316,1610612759,2,0,2021-11-27T01:41:40Z,160000,-61.0,115.0,1,left,MISS D. Murray 13' pullup Shot,[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,13.03,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M41.00S,2021-11-27T01:41:28.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,2,0,2021-11-27T01:41:40Z,170000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,
18,PT10M41.00S,2021-11-27T01:41:34.4Z,1,REGULAR,foul,personal,[],201143,,,1610612759,2,0,2021-11-27T01:41:48Z,180000,,,0,,A. Horford loose ball personal FOUL (1 PF),"[201143, 1627751]",1610612738.0,BOS,loose ball,,,Horford,A. Horford,,,,,,,,,,,,1627963.0,1.0,0.0,Poeltl,1627751.0,,,,,,,,,
20,PT10M33.00S,2021-11-27T01:42:01.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627751,8.754927726675426,29.411764705882355,1610612759,2,0,2021-11-27T01:42:07Z,200000,103.0,30.0,1,left,MISS J. Poeltl 10' floating Shot,[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,10.71,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M30.00S,2021-11-27T01:42:04.8Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,2,0,2021-11-27T01:42:07Z,210000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
22,PT10M23.00S,2021-11-27T01:42:12.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,88.64980289093299,39.705882352941174,1610612738,2,0,2021-11-27T01:42:19Z,220000,-51.0,54.0,1,right,MISS J. Tatum 7' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,7.48,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M18.00S,2021-11-27T01:42:17.2Z,1,REGULAR,rebound,offensive,[],201143,,,1610612738,2,0,2021-11-27T01:42:19Z,230000,,,0,,A. Horford REBOUND (Off:1 Def:0),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
24,PT10M17.00S,2021-11-27T01:42:17.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,66.44218134034165,66.91176470588235,1610612738,2,0,2021-11-27T01:42:22Z,240000,85.0,263.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,27.62,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M17.00S,2021-11-27T01:42:17.7Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,2,0,2021-11-27T01:42:22Z,250000,,,0,,K. Bates-Diop REBOUND (Off:0 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
26,PT10M09.00S,2021-11-27T01:42:25.4Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1627749,7.703679369250986,28.676470588235293,1610612759,4,0,2021-11-27T01:42:34Z,260000,107.0,20.0,1,left,D. Murray 10' driving floating bank Jump Shot (4 PTS),[1627749],1610612759.0,SAS,driving floating bank,,,Murray,D. Murray,,,,,10.84,Made,,,,,4.0,,,,,,,,,,,,,,
27,PT10M00.00S,2021-11-27T01:42:36.6Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612738,4,0,2021-11-27T01:42:49Z,270000,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Brown 2 FT),"[1627751, 1627759]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,,,,,,,,1627963.0,1.0,0.0,Brown,1627759.0,,,,,,,,,
29,PT10M00.00S,2021-11-27T01:43:06.7Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,4,1,2021-11-27T01:43:06Z,290000,,,0,,J. Brown Free Throw 1 of 2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
30,PT10M00.00S,2021-11-27T01:43:17.7Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,4,1,2021-11-27T01:43:17Z,300000,,,0,,MISS J. Brown Free Throw 2 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
31,PT09M57.00S,2021-11-27T01:43:19.3Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,4,1,2021-11-27T01:43:19Z,310000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
32,PT09M49.00S,2021-11-27T01:43:27.8Z,1,REGULAR,3pt,Jump Shot,[],1628966,5.469776609724048,97.05882352941177,1610612759,4,1,2021-11-27T01:43:35Z,320000,-235.0,-1.0,1,left,MISS K. Bates-Diop 3PT,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,23.53,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M45.00S,2021-11-27T01:43:31.8Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,4,1,2021-11-27T01:43:35Z,330000,,,0,,J. Poeltl REBOUND (Off:1 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,32.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
34,PT09M43.00S,2021-11-27T01:43:33.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627749,8.886333771353483,38.970588235294116,1610612759,4,1,2021-11-27T01:49:26Z,340000,55.0,31.0,1,left,MISS D. Murray 6' Layup,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,6.32,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M40.00S,2021-11-27T01:43:36.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,4,1,2021-11-27T01:49:26Z,350000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
36,PT09M35.00S,2021-11-27T01:43:42.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201143,87.33574244415243,49.754901960784316,1610612738,4,1,2021-11-27T01:43:56Z,360000,-1.0,67.0,1,right,MISS A. Horford 6' Jump Shot,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,6.65,Missed,,,,,,,,,,,,,,,,,,,
37,PT09M32.00S,2021-11-27T01:43:45.6Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,4,1,2021-11-27T01:43:56Z,370000,,,0,,J. Poeltl REBOUND (Off:1 Def:3),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,36.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
38,PT09M26.00S,2021-11-27T01:43:51.6Z,1,REGULAR,2pt,Layup,[],1629640,4.681340341655716,33.33333333333333,1610612759,4,1,2021-11-27T01:44:01Z,380000,83.0,-8.0,1,left,MISS K. Johnson 8' driving finger roll Layup,[1629640],1610612759.0,SAS,driving finger roll,,,Johnson,K. Johnson,,,,,8.37,Missed,,,,,,,,,,,,,,,,,,,
39,PT09M26.00S,2021-11-27T01:43:51.6Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,4,1,2021-11-27T01:44:01Z,390000,,,0,,J. Poeltl REBOUND (Off:2 Def:3),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,38.0,5.0,3.0,2.0,,,,,,,,,,,,,,,
40,PT09M17.00S,2021-11-27T01:43:59.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627751,5.590000152587891,50.0,1610612759,6,1,2021-11-27T01:43:59Z,400000,0.0,0.0,1,left,J. Poeltl putback Layup (2 PTS),[1627751],1610612759.0,SAS,putback,,,Poeltl,J. Poeltl,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
41,PT09M09.00S,2021-11-27T01:44:07.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,94.56307490144546,57.35294117647059,1610612738,6,3,2021-11-27T01:44:14Z,410000,37.0,-1.0,1,right,J. Tatum driving Layup (2 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,3.68,Made,,,,,2.0,,,,,,,,,,,,,,
42,PT08M51.00S,2021-11-27T01:44:25.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627749,5.732588699080158,47.05882352941176,1610612759,8,3,2021-11-27T01:44:32Z,420000,15.0,1.0,1,left,D. Murray cutting DUNK (6 PTS) (J. Poeltl 1 AST),"[1627749, 1627751]",1610612759.0,SAS,cutting,,,Murray,D. Murray,,,,,1.48,Made,,,,,6.0,,,,,,J. Poeltl,1627751.0,1.0,,,,,,
44,PT08M38.00S,2021-11-27T01:44:38.5Z,1,REGULAR,3pt,Jump Shot,[],201143,67.88764783180025,24.264705882352942,1610612738,8,3,2021-11-27T01:44:45Z,440000,-129.0,249.0,1,right,MISS A. Horford 28' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,28.06,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M34.00S,2021-11-27T01:44:42.5Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,8,3,2021-11-27T01:44:45Z,450000,,,0,,K. Johnson REBOUND (Off:0 Def:2),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
46,PT08M26.00S,2021-11-27T01:44:50.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628966,5.206964520367937,62.745098039215684,1610612759,8,3,2021-11-27T01:45:02Z,460000,-64.0,-4.0,1,left,MISS K. Bates-Diop 6' driving Layup,[1628966],1610612759.0,SAS,driving,,,Bates-Diop,K. Bates-Diop,,,,,6.38,Missed,,,,,,,,,,,,,,,,,,,
47,PT08M23.00S,2021-11-27T01:44:53.5Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,8,3,2021-11-27T01:45:02Z,470000,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,46.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
48,PT08M19.00S,2021-11-27T01:44:56.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,86.94152431011827,53.67647058823529,1610612738,8,3,2021-11-27T01:45:11Z,480000,18.0,70.0,1,right,MISS J. Brown 7' driving Layup - blocked,"[1627759, 1627751]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,7.26,Missed,,,,,,,,,,,,,,Poeltl,1627751.0,,,,
49,PT08M19.00S,2021-11-27T01:44:56.9Z,1,REGULAR,block,,[],1627751,,,1610612738,8,3,2021-11-27T01:45:00Z,490000,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M15.00S,2021-11-27T01:45:00.9Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,8,3,2021-11-27T01:45:11Z,500000,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
51,PT08M12.00S,2021-11-27T01:45:04.4Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612759,8,3,2021-11-27T01:45:16Z,510000,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 203935]",1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,1.0,Smart,203935.0,
52,PT08M12.00S,2021-11-27T01:45:04.4Z,1,REGULAR,steal,,[],203935,,,1610612738,8,3,2021-11-27T01:45:07Z,520000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M04.00S,2021-11-27T01:45:12.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203935,89.56964520367937,54.90196078431373,1610612738,8,3,2021-11-27T01:45:23Z,530000,25.0,46.0,1,right,MISS M. Smart driving Layup,[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,5.17,Missed,,,,,,,,,,,,,,,,,,,
54,PT08M01.00S,2021-11-27T01:45:15.6Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,8,3,2021-11-27T01:45:15Z,540000,,,0,,K. Bates-Diop REBOUND (Off:0 Def:2),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
55,PT07M57.00S,2021-11-27T01:45:19.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,11.12023653088042,51.225490196078425,1610612759,8,3,2021-11-27T01:46:19Z,550000,-6.0,52.0,1,left,MISS D. White driving floating Shot,[1628401],1610612759.0,SAS,driving floating,,,White,D. White,,,,,5.24,Missed,,,,,,,,,,,,,,,,,,,
56,PT07M57.00S,2021-11-27T01:45:19.6Z,1,REGULAR,rebound,defensive,[],203471,,,1610612738,8,3,2021-11-27T01:45:33Z,560000,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
57,PT07M48.00S,2021-11-27T01:45:28.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.80354796320631,39.950980392156865,1610612738,8,3,2021-11-27T01:45:42Z,570000,-50.0,25.0,1,right,MISS J. Brown Layup,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,5.59,Missed,,,,,,,,,,,,,,,,,,,
58,PT07M44.00S,2021-11-27T01:45:32.2Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,8,3,2021-11-27T01:45:42Z,580000,,,0,,K. Johnson REBOUND (Off:0 Def:3),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,57.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
59,PT07M37.00S,2021-11-27T01:45:43.1Z,1,REGULAR,turnover,out-of-bounds,[],1627751,,,1610612759,8,3,2021-11-27T01:45:57Z,590000,,,0,,J. Poeltl bad pass out-of-bounds TURNOVER (1 TO),[1627751],1610612759.0,SAS,bad pass,,,Poeltl,J. Poeltl,,,,,,,,,,,,1627963.0,,,,,,,,,,1.0,,,
60,PT07M27.00S,2021-11-27T01:46:12.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203935,87.59855453350855,42.8921568627451,1610612738,8,3,2021-11-27T01:46:25Z,600000,-36.0,64.0,1,right,MISS M. Smart 7' floating Shot,[203935],1610612738.0,BOS,floating,,,Smart,M. Smart,,,,,7.33,Missed,,,,,,,,,,,,,,,,,,,
61,PT07M23.00S,2021-11-27T01:46:16.3Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,8,3,2021-11-27T01:46:25Z,610000,,,0,,J. Poeltl REBOUND (Off:2 Def:4),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,60.0,6.0,4.0,2.0,,,,,,,,,,,,,,,
62,PT07M09.00S,2021-11-27T01:46:29.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,11.645860709592641,36.76470588235294,1610612759,10,3,2021-11-27T01:46:54Z,620000,66.0,57.0,1,left,K. Johnson 8' driving floating Jump Shot (2 PTS) (D. Murray 1 AST),"[1629640, 1627749]",1610612759.0,SAS,driving floating,,,Johnson,K. Johnson,,,,,8.74,Made,,,,,2.0,,,,,,D. Murray,1627749.0,1.0,,,,,,
64,PT07M09.00S,2021-11-27T01:46:42.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,10,3,2021-11-27T01:46:42Z,640000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M09.00S,2021-11-27T01:49:07.2Z,1,REGULAR,substitution,out,[],1628966,,,1610612738,10,3,2021-11-27T01:49:16Z,650000,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M09.00S,2021-11-27T01:49:07.2Z,1,REGULAR,substitution,in,[],1629022,,,1610612738,10,3,2021-11-27T01:49:16Z,660000,,,0,,SUB in: L. Walker IV,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M53.00S,2021-11-27T01:49:41.3Z,1,REGULAR,2pt,Jump Shot,[],1628369,91.80354796320631,27.941176470588236,1610612738,10,3,2021-11-27T01:49:54Z,670000,-110.0,25.0,1,right,MISS J. Tatum 11' driving floating Shot,[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,11.3,Missed,,,,,,,,,,,,,,,,,,,
68,PT06M46.00S,2021-11-27T01:49:48.3Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,10,3,2021-11-27T01:49:54Z,680000,,,0,,J. Tatum REBOUND (Off:1 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,67.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
69,PT06M46.00S,2021-11-27T01:49:48.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,94.40999984741211,50.0,1610612738,10,3,2021-11-27T01:49:48Z,690000,0.0,0.0,1,right,MISS J. Tatum tip Layup,[1628369],1610612738.0,BOS,tip,,,Tatum,J. Tatum,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
70,PT06M45.00S,2021-11-27T01:49:49.3Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,10,3,2021-11-27T01:49:49Z,700000,,,0,,J. Poeltl REBOUND (Off:2 Def:5),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,69.0,7.0,5.0,2.0,,,,,,,,,,,,,,,
71,PT06M33.00S,2021-11-27T01:50:01.3Z,1,REGULAR,3pt,Jump Shot,[],1628401,27.94021024967148,12.990196078431374,1610612759,13,3,2021-11-27T01:50:10Z,710000,185.0,210.0,1,left,D. White 27' 3PT  (3 PTS) (L. Walker IV 1 AST),"[1628401, 1629022]",1610612759.0,SAS,,,,White,D. White,,,,,27.99,Made,,,,,3.0,,,,,,L. Walker IV,1629022.0,1.0,,,,,,
73,PT06M19.00S,2021-11-27T01:50:15.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,92.32917214191852,35.53921568627451,1610612738,13,5,2021-11-27T02:08:39Z,730000,-72.0,20.0,1,right,M. Smart 7' Layup (2 PTS) (J. Tatum 1 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,7.49,Made,,,,,2.0,,,,,,J. Tatum,1628369.0,1.0,,,,,,
75,PT06M03.00S,2021-11-27T01:50:32.7Z,1,REGULAR,3pt,Jump Shot,[],1627749,33.722076215505915,29.411764705882355,1610612759,13,5,2021-11-27T01:50:37Z,750000,103.0,264.0,1,left,MISS D. Murray 28' 3PT,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,28.38,Missed,,,,,,,,,,,,,,,,,,,
76,PT06M00.00S,2021-11-27T01:50:35.2Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612759,13,5,2021-11-27T01:50:35Z,760000,,,0,,D. White REBOUND (Off:1 Def:0),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,75.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
77,PT05M50.00S,2021-11-27T01:50:44.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629022,25.706307490144546,16.42156862745098,1610612759,16,5,2021-11-27T01:50:50Z,770000,168.0,189.0,1,left,L. Walker IV 25' 3PT  (3 PTS) (D. White 1 AST),"[1629022, 1628401]",1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,25.29,Made,,,,,3.0,,,,,,D. White,1628401.0,1.0,,,,,,
79,PT05M25.00S,2021-11-27T01:51:09.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,85.75886990801577,58.333333333333336,1610612738,16,5,2021-11-27T01:51:23Z,790000,42.0,81.0,1,right,MISS D. Schroder 9' driving floating Shot,[203471],1610612738.0,BOS,driving floating,,,Schroder,D. Schroder,,,,,9.15,Missed,,,,,,,,,,,,,,,,,,,
80,PT05M24.00S,2021-11-27T01:51:10.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,16,5,2021-11-27T01:51:23Z,800000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,
81,PT05M24.00S,2021-11-27T01:51:22.2Z,1,REGULAR,substitution,out,[],1627749,,,1610612738,16,5,2021-11-27T01:51:52Z,810000,,,0,,SUB out: D. Murray,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M24.00S,2021-11-27T01:51:22.2Z,1,REGULAR,substitution,out,[],1627751,,,1610612738,16,5,2021-11-27T01:51:52Z,820000,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M24.00S,2021-11-27T01:51:22.2Z,1,REGULAR,substitution,in,[],1627854,,,1610612738,16,5,2021-11-27T01:51:52Z,850000,,,0,,SUB in: B. Forbes,[1627854],1610612759.0,SAS,,,,Forbes,B. Forbes,,,,,,,,,,,,,,,,,,,,,,,,,
