actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
25,PT09M38.00S,2021-11-23T01:43:35.8Z,1,REGULAR,3pt,Jump Shot,[],1627749,11.251642575558476,96.81372549019608,1610612759,6,5,2021-11-23T01:43:40Z,250000,-234.0,53.0,1,left,MISS D. Murray 24' 3PT,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,Missed,,,,,24.01,,,,,,,,,,
26,PT09M35.00S,2021-11-23T01:43:38.8Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,6,5,2021-11-23T01:43:40Z,260000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,
27,PT09M32.00S,2021-11-23T01:43:41.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626164,70.25295663600527,13.725490196078432,1610612756,6,5,2021-11-23T01:43:49Z,270000,-181.0,227.0,1,right,MISS D. Booker 29' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,,,,,,Missed,,,,,29.07,,,,,,,,,,
28,PT09M27.00S,2021-11-23T01:43:46.7Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,6,5,2021-11-23T01:43:49Z,280000,,,0,,K. Bates-Diop REBOUND (Off:1 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,27.0,2.0,1.0,1.0,,,,,,,,,,,
29,PT09M14.00S,2021-11-23T01:43:59.1Z,1,REGULAR,2pt,Jump Shot,[],1627749,16.245072273324574,27.205882352941174,1610612759,6,5,2021-11-23T01:44:05Z,290000,114.0,100.0,1,left,MISS D. Murray 15' pullup Shot,[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,,,,,,Missed,,,,,15.18,,,,,,,,,,
30,PT09M11.00S,2021-11-23T01:44:02.1Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,6,5,2021-11-23T01:44:05Z,300000,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,,
31,PT09M04.00S,2021-11-23T01:44:09.1Z,1,REGULAR,2pt,Jump Shot,[],1629028,73.9323258869908,41.42156862745098,1610612756,6,5,2021-11-23T01:44:14Z,310000,-43.0,193.0,1,right,MISS D. Ayton 19' Jump Shot,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,Missed,,,,,19.72,,,,,,,,,,
32,PT09M01.00S,2021-11-23T01:44:12.1Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612759,6,5,2021-11-23T01:44:14Z,320000,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,,,
33,PT08M44.00S,2021-11-23T01:44:31.1Z,1,REGULAR,turnover,lost ball,[],1628966,,,1610612759,6,5,2021-11-23T01:44:37Z,330000,,,0,,K. Bates-Diop lost ball TURNOVER (1 TO),"[1628966, 101108]",1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,1.0,Paul,101108.0,,,
34,PT08M44.00S,2021-11-23T01:44:31.1Z,1,REGULAR,steal,,[],101108,,,1610612756,6,5,2021-11-23T01:44:34Z,340000,,,0,,C. Paul STEAL (1 STL),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M44.00S,2021-11-23T01:44:40.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,6,5,2021-11-23T01:44:40Z,350000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M33.00S,2021-11-23T01:45:17.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629028,86.41590013140605,44.11764705882353,1610612756,6,5,2021-11-23T01:45:24Z,360000,-29.0,75.0,1,right,MISS D. Ayton 8' Jump Shot - blocked,"[1629028, 1627749]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,Missed,,,,,8.07,,,,,,,,Murray,1627749.0,
37,PT08M33.00S,2021-11-23T01:45:17.2Z,1,REGULAR,block,,[],1627749,,,1610612756,6,5,2021-11-23T01:45:20Z,370000,,,0,,D. Murray BLOCK (1 BLK),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M29.00S,2021-11-23T01:45:21.2Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612759,6,5,2021-11-23T01:45:24Z,380000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,
39,PT08M21.00S,2021-11-23T01:45:33.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,6,5,2021-11-23T01:45:33Z,390000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M11.00S,2021-11-23T01:45:56.0Z,1,REGULAR,3pt,Jump Shot,[],1627749,31.225361366622867,69.6078431372549,1610612759,6,5,2021-11-23T01:46:05Z,400000,-98.0,241.0,1,left,MISS D. Murray 26' pullup 3PT,[1627749],1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,,,,,,Missed,,,,,26.02,,,,,,,,,,
41,PT08M04.00S,2021-11-23T01:46:03.0Z,1,REGULAR,rebound,offensive,[],1628966,,,1610612759,6,5,2021-11-23T01:46:05Z,410000,,,0,,K. Bates-Diop REBOUND (Off:2 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,40.0,3.0,1.0,2.0,,,,,,,,,,,
42,PT08M04.00S,2021-11-23T01:46:02.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628966,5.590000152587891,50.0,1610612759,8,5,2021-11-23T01:46:02Z,420000,0.0,0.0,1,left,K. Bates-Diop tip Layup (4 PTS),[1628966],1610612759.0,SAS,tip,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,Made,,,,,0.0,4.0,,,,,,,,,
43,PT07M53.00S,2021-11-23T01:46:13.1Z,1,REGULAR,2pt,Jump Shot,[],101108,91.40932982917214,71.32352941176471,1610612756,8,5,2021-11-23T01:46:23Z,430000,107.0,28.0,1,right,MISS C. Paul 11' fadeaway Shot,[101108],1610612756.0,PHX,fadeaway,,,Paul,C. Paul,,,,,,,,,,Missed,,,,,11.03,,,,,,,,,,
44,PT07M50.00S,2021-11-23T01:46:16.1Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,8,5,2021-11-23T01:46:23Z,440000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,
45,PT07M41.00S,2021-11-23T01:46:25.2Z,1,REGULAR,2pt,Jump Shot,[],1628401,14.011169513797633,73.2843137254902,1610612759,8,5,2021-11-23T01:46:32Z,450000,-116.0,79.0,1,left,MISS D. White 14' pullup Shot,[1628401],1610612759.0,SAS,pullup,,,White,D. White,,,,,,,,,,Missed,,,,,14.08,,,,,,,,,,
46,PT07M37.00S,2021-11-23T01:46:29.2Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,8,5,2021-11-23T01:46:32Z,460000,,,0,,D. Ayton REBOUND (Off:0 Def:3),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,45.0,3.0,3.0,0.0,,,,,,,,,,,
47,PT07M21.00S,2021-11-23T01:46:44.2Z,1,REGULAR,2pt,Jump Shot,[],1626164,94.1688567674113,13.725490196078432,1610612756,8,7,2021-11-23T01:46:51Z,470000,-181.0,2.0,1,right,D. Booker 18' pullup Jump Shot (2 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,,,,,,Made,,,,,18.14,2.0,,,,,,,,,
48,PT07M20.00S,2021-11-23T01:46:52.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,8,7,2021-11-23T01:46:52Z,480000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M20.00S,2021-11-23T01:49:26.5Z,1,REGULAR,substitution,out,[],1628966,,,1610612759,8,7,2021-11-23T01:49:42Z,490000,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M20.00S,2021-11-23T01:49:26.5Z,1,REGULAR,substitution,out,[],1627751,,,1610612759,8,7,2021-11-23T01:49:42Z,500000,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M20.00S,2021-11-23T01:49:26.5Z,1,REGULAR,substitution,in,[],1629234,,,1610612759,8,7,2021-11-23T01:49:42Z,510000,,,0,,SUB in: D. Eubanks,[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M20.00S,2021-11-23T01:49:26.5Z,1,REGULAR,substitution,in,[],1630170,,,1610612759,8,7,2021-11-23T01:49:42Z,520000,,,0,,SUB in: D. Vassell,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M02.00S,2021-11-23T01:50:05.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629640,13.354139290407357,54.90196078431373,1610612759,10,7,2021-11-23T01:50:10Z,530000,-25.0,73.0,1,left,K. Johnson 7' Hook (2 PTS),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,Made,,,,,7.7,2.0,,,,,,,,,
54,PT06M46.00S,2021-11-23T01:50:21.1Z,1,REGULAR,turnover,bad pass,[],101108,,,1610612756,10,7,2021-11-23T01:50:32Z,540000,,,0,,C. Paul bad pass TURNOVER (1 TO),"[101108, 1627749]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,1.0,Murray,1627749.0,,,
55,PT06M46.00S,2021-11-23T01:50:21.1Z,1,REGULAR,steal,,[],1627749,,,1610612759,10,7,2021-11-23T01:50:23Z,550000,,,0,,D. Murray STEAL (1 STL),[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT06M42.00S,2021-11-23T01:50:25.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627749,8.229303547963205,49.50980392156863,1610612759,10,7,2021-11-23T01:50:44Z,560000,2.0,25.0,1,left,MISS D. Murray driving finger roll Layup,[1627749],1610612759.0,SAS,driving finger roll,,,Murray,D. Murray,,,,,,,,,,Missed,,,,,2.5,,,,,,,,,,
57,PT06M40.00S,2021-11-23T01:50:27.3Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612759,10,7,2021-11-23T01:50:27Z,570000,,,0,,D. White REBOUND (Off:1 Def:1),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,56.0,2.0,1.0,1.0,,,,,,,,,,,
58,PT06M38.00S,2021-11-23T01:50:28.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance', 'fastbreak']",1628401,6.915243101182654,50.49019607843137,1610612759,12,7,2021-11-23T01:50:52Z,580000,-2.0,13.0,1,left,D. White putback Layup (4 PTS),[1628401],1610612759.0,SAS,putback,,,White,D. White,,,,,,,,,,Made,,,,,1.27,4.0,,,,,,,,,
59,PT06M22.00S,2021-11-23T01:50:44.8Z,1,REGULAR,2pt,Jump Shot,[],1628969,78.9257555847569,30.637254901960787,1610612756,12,7,2021-11-23T01:51:05Z,590000,-97.0,146.0,1,right,MISS M. Bridges 17' step back Shot,[1628969],1610612756.0,PHX,step back,,,Bridges,M. Bridges,,,,,,,,,,Missed,,,,,17.48,,,,,,,,,,
60,PT06M22.00S,2021-11-23T01:50:44.8Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612759,12,7,2021-11-23T01:51:05Z,600000,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,,,
61,PT06M09.00S,2021-11-23T01:50:57.2Z,1,REGULAR,foul,personal,['2freethrow'],1629028,,,1610612759,12,7,2021-11-23T01:51:08Z,610000,,,0,,D. Ayton shooting personal FOUL (1 PF) (Eubanks 2 FT),"[1629028, 1629234]",1610612756.0,PHX,shooting,,,Ayton,D. Ayton,,,,,203591.0,1.0,0.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,
63,PT06M09.00S,2021-11-23T01:51:27.5Z,1,REGULAR,freethrow,1 of 2,[],1629234,,,1610612759,13,7,2021-11-23T01:51:27Z,630000,,,0,,D. Eubanks Free Throw 1 of 2 (1 PTS),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,Made,,,,,,1.0,,,,,,,,,
64,PT06M09.00S,2021-11-23T01:51:41.5Z,1,REGULAR,freethrow,2 of 2,[],1629234,,,1610612759,14,7,2021-11-23T01:51:41Z,640000,,,0,,D. Eubanks Free Throw 2 of 2 (2 PTS),[1629234],1610612759.0,SAS,,,,Eubanks,D. Eubanks,,,,,,,,,,Made,,,,,,2.0,,,,,,,,,
65,PT05M54.00S,2021-11-23T01:51:58.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,92.85479632063075,51.225490196078425,1610612756,14,9,2021-11-23T01:52:05Z,650000,6.0,15.0,1,right,D. Ayton Layup (2 PTS) (D. Booker 2 AST),"[1629028, 1626164]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,Made,,,,,1.59,2.0,D. Booker,1626164.0,2.0,,,,,,
67,PT05M37.00S,2021-11-23T01:52:19.6Z,1,REGULAR,foul,personal,[],203109,,,1610612759,14,9,2021-11-23T01:52:25Z,670000,,,0,,J. Crowder personal FOUL (1 PF),"[203109, 1629234]",1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,202027.0,1.0,0.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,
69,PT05M37.00S,2021-11-23T01:52:28.7Z,1,REGULAR,substitution,out,[],101108,,,1610612759,14,9,2021-11-23T01:52:33Z,690000,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M37.00S,2021-11-23T01:52:28.7Z,1,REGULAR,substitution,out,[],203109,,,1610612759,14,9,2021-11-23T01:52:33Z,700000,,,0,,SUB out: J. Crowder,[203109],1610612756.0,PHX,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M37.00S,2021-11-23T01:52:28.7Z,1,REGULAR,substitution,in,[],1626166,,,1610612759,14,9,2021-11-23T01:52:33Z,710000,,,0,,SUB in: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M37.00S,2021-11-23T01:52:28.7Z,1,REGULAR,substitution,in,[],1629661,,,1610612759,14,9,2021-11-23T01:52:33Z,720000,,,0,,SUB in: C. Johnson,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M29.00S,2021-11-23T01:52:53.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,8.360709592641262,41.66666666666667,1610612759,16,9,2021-11-23T01:53:06Z,730000,42.0,26.0,1,left,D. White finger roll Layup (6 PTS),[1628401],1610612759.0,SAS,finger roll,,,White,D. White,,,,,,,,,,Made,,,,,4.92,6.0,,,,,,,,,
74,PT05M10.00S,2021-11-23T01:53:11.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,83.39356110381078,50.49019607843137,1610612756,16,11,2021-11-23T01:53:24Z,740000,2.0,104.0,1,right,D. Ayton 10' Hook (4 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,Made,,,,,10.36,4.0,,,,,,,,,
75,PT04M53.00S,2021-11-23T01:53:29.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,6.521024967148489,40.68627450980392,1610612759,16,11,2021-11-23T01:53:35Z,750000,47.0,9.0,1,left,MISS D. Murray driving floating Shot,[1627749],1610612759.0,SAS,driving floating,,,Murray,D. Murray,,,,,,,,,,Missed,,,,,4.74,,,,,,,,,,
76,PT04M50.00S,2021-11-23T01:53:32.5Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612756,16,11,2021-11-23T01:53:35Z,760000,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,75.0,1.0,1.0,0.0,,,,,,,,,,,
77,PT04M46.00S,2021-11-23T01:53:36.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626164,93.64323258869908,47.794117647058826,1610612756,16,13,2021-11-23T01:54:29Z,770000,-11.0,7.0,1,right,D. Booker running finger roll Layup (4 PTS),[1626164],1610612756.0,PHX,running finger roll,,,Booker,D. Booker,,,,,,,,,,Made,,,,,1.32,4.0,,,,,,,,,
78,PT04M35.00S,2021-11-23T01:53:47.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,8.09789750328515,58.57843137254902,1610612759,16,13,2021-11-23T01:53:54Z,780000,-43.0,24.0,1,left,MISS K. Johnson driving floating bank Shot,[1629640],1610612759.0,SAS,driving floating bank,,,Johnson,K. Johnson,,,,,,,,,,Missed,,,,,4.9,,,,,,,,,,
79,PT04M32.00S,2021-11-23T01:53:50.7Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,16,13,2021-11-23T01:53:54Z,790000,,,0,,D. Ayton REBOUND (Off:0 Def:4),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,78.0,4.0,4.0,0.0,,,,,,,,,,,
80,PT04M22.00S,2021-11-23T01:54:00.3Z,1,REGULAR,2pt,Jump Shot,[],1626166,89.17542706964521,81.12745098039215,1610612756,16,15,2021-11-23T01:54:09Z,800000,156.0,49.0,1,right,C. Payne 16' pullup Jump Shot (2 PTS) (D. Ayton 1 AST),"[1626166, 1629028]",1610612756.0,PHX,pullup,,,Payne,C. Payne,,,,,,,,,,Made,,,,,16.32,2.0,D. Ayton,1629028.0,1.0,,,,,,
82,PT04M06.00S,2021-11-23T01:54:16.4Z,1,REGULAR,2pt,Jump Shot,[],1630170,5.995400788436268,67.8921568627451,1610612759,18,15,2021-11-23T01:54:22Z,820000,-89.0,4.0,1,left,D. Vassell 8' fadeaway Jump Shot (2 PTS) (D. Eubanks 1 AST),"[1630170, 1629234]",1610612759.0,SAS,fadeaway,,,Vassell,D. Vassell,,,,,,,,,,Made,,,,,8.96,2.0,D. Eubanks,1629234.0,1.0,,,,,,
84,PT03M47.00S,2021-11-23T01:54:37.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,18,15,2021-11-23T01:54:37Z,840000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
