actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
15,PT10M30.00S,2022-01-29T01:11:53.8Z,1,REGULAR,3pt,Jump Shot,[],1630544,35.8245729303548,31.862745098039213,1610612760,0,4,2022-01-29T01:13:24Z,150000,91.0,284.0,1,left,MISS T. Mann 29' running pullup 3PT,[1630544],1610612760.0,OKC,running pullup,,,Mann,T. Mann,,,,,29.84,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M26.00S,2022-01-29T01:11:57.8Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,0,4,2022-01-29T01:11:58Z,160000,,,0,,D. Sabonis REBOUND (Off:0 Def:3),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,15.0,3.0,3.0,0.0,,,,,,,,,,,,,,
17,PT10M20.00S,2022-01-29T01:12:03.8Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612754,0,4,2022-01-29T01:12:07Z,170000,,,0,,D. Sabonis lost ball TURNOVER (1 TO),"[1627734, 1630526]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,1.0,Robinson-Earl,1630526.0,,,,,,,,
18,PT10M20.00S,2022-01-29T01:12:03.8Z,1,REGULAR,steal,,[],1630526,,,1610612760,0,4,2022-01-29T01:17:48Z,180000,,,0,,J. Robinson-Earl STEAL (1 STL),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M12.00S,2022-01-29T01:12:11.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628983,30.17411300919842,73.0392156862745,1610612760,0,4,2022-01-29T01:15:24Z,190000,-115.0,231.0,1,left,MISS S. Gilgeous-Alexander 25' step back 3PT,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,25.82,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M12.00S,2022-01-29T01:12:11.6Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612754,0,4,2022-01-29T01:12:32Z,200000,,,0,,T. Craig REBOUND (Off:0 Def:1),[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT09M51.00S,2022-01-29T01:12:31.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,81.42247043363994,48.03921568627451,1610612754,0,4,2022-01-29T01:12:37Z,210000,-10.0,122.0,1,right,MISS C. LeVert 12' fadeaway Shot - blocked,"[1627747, 1628983]",1610612754.0,IND,fadeaway,,,LeVert,C. LeVert,,,,,12.25,Missed,,,,,,,,,,,,Gilgeous-Alexander,1628983.0,,,,,,
22,PT09M51.00S,2022-01-29T01:12:31.9Z,1,REGULAR,block,,[],1628983,,,1610612754,0,4,2022-01-29T01:12:35Z,220000,,,0,,S. Gilgeous-Alexander BLOCK (1 BLK),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT09M47.00S,2022-01-29T01:12:35.9Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,0,4,2022-01-29T01:12:37Z,230000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:2),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
24,PT09M31.00S,2022-01-29T01:12:52.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629652,14.931011826544022,38.72549019607843,1610612760,2,4,2022-01-29T01:12:57Z,240000,56.0,88.0,1,left,L. Dort 10' driving floating bank Jump Shot (2 PTS),[1629652],1610612760.0,OKC,driving floating bank,,,Dort,L. Dort,,,,,10.44,Made,2.0,,,,,,,,,,,,,,,,,,
25,PT09M15.00S,2022-01-29T01:13:08.1Z,1,REGULAR,turnover,bad pass,[],203200,,,1610612754,2,4,2022-01-29T01:13:11Z,250000,,,0,,J. Holiday bad pass TURNOVER (1 TO),"[203200, 1629652]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,1.0,Dort,1629652.0,,,,,,,,
26,PT09M15.00S,2022-01-29T01:13:08.1Z,1,REGULAR,steal,,[],1629652,,,1610612760,2,4,2022-01-29T01:13:09Z,260000,,,0,,L. Dort STEAL (1 STL),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M09.00S,2022-01-29T01:13:14.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629652,8.623521681997373,42.8921568627451,1610612760,4,4,2022-01-29T01:16:54Z,270000,36.0,29.0,1,left,L. Dort running finger roll Layup (4 PTS),[1629652],1610612760.0,OKC,running finger roll,,,Dort,L. Dort,,,,,4.56,Made,4.0,,,,,,,,,,,,,,,,,,
28,PT08M50.00S,2022-01-29T01:13:32.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,82.07950065703022,51.71568627450981,1610612754,4,4,2022-01-29T01:14:03Z,280000,9.0,116.0,1,right,MISS C. LeVert 11' pullup Shot,[1627747],1610612754.0,IND,pullup,,,LeVert,C. LeVert,,,,,11.63,Missed,,,,,,,,,,,,,,,,,,,
29,PT08M50.00S,2022-01-29T01:13:32.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,4,4,2022-01-29T01:13:43Z,290000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,
30,PT08M50.00S,2022-01-29T01:13:42.8Z,1,REGULAR,foul,personal,[],1630544,,,1610612754,4,4,2022-01-29T01:18:13Z,300000,,,0,,T. Mann loose ball personal FOUL (1 PF),"[1630544, 1627734]",1610612760.0,OKC,loose ball,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,202037.0,1.0,0.0,Sabonis,1627734.0,
32,PT08M39.00S,2022-01-29T01:14:03.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627734,92.06636005256242,56.86274509803921,1610612754,4,6,2022-01-29T01:19:36Z,320000,34.0,22.0,1,right,D. Sabonis cutting finger roll Layup (4 PTS) (C. Duarte 1 AST),"[1627734, 1630537]",1610612754.0,IND,cutting finger roll,,,Sabonis,D. Sabonis,,,,,4.08,Made,4.0,,,,,C. Duarte,1630537.0,1.0,,,,,,,,,,,
34,PT08M27.00S,2022-01-29T01:14:14.6Z,1,REGULAR,3pt,Jump Shot,[],1629652,5.338370565045992,95.09803921568627,1610612760,4,6,2022-01-29T01:14:20Z,340000,-225.0,-2.0,1,left,MISS L. Dort 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,22.55,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M23.00S,2022-01-29T01:14:18.6Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612754,4,6,2022-01-29T01:14:20Z,350000,,,0,,T. Craig REBOUND (Off:0 Def:2),[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,
36,PT08M14.00S,2022-01-29T01:14:28.8Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612754,4,6,2022-01-29T01:14:32Z,360000,,,0,,D. Sabonis lost ball TURNOVER (2 TO),"[1627734, 1628983]",1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,2.0,Gilgeous-Alexander,1628983.0,,,,,,,,
37,PT08M14.00S,2022-01-29T01:14:28.8Z,1,REGULAR,steal,,[],1628983,,,1610612760,4,6,2022-01-29T01:14:30Z,370000,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M09.00S,2022-01-29T01:14:33.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630581,31.35676741130092,22.54901960784314,1610612760,4,6,2022-01-29T01:21:04Z,380000,137.0,242.0,1,left,MISS J. Giddey 27' running 3PT,[1630581],1610612760.0,OKC,running,,,Giddey,J. Giddey,,,,,27.85,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M05.00S,2022-01-29T01:14:37.5Z,1,REGULAR,rebound,defensive,[],203200,,,1610612754,4,6,2022-01-29T01:14:42Z,390000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT07M56.00S,2022-01-29T01:14:46.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203200,91.14651773981603,51.9607843137255,1610612754,4,8,2022-01-29T01:14:49Z,400000,10.0,31.0,1,right,J. Holiday cutting DUNK (2 PTS) (D. Sabonis 1 AST),"[203200, 1627734]",1610612754.0,IND,cutting,,,Holiday,J. Holiday,,,,,3.22,Made,2.0,,,,,D. Sabonis,1627734.0,1.0,,,,,,,,,,,
42,PT07M31.00S,2022-01-29T01:15:10.2Z,1,REGULAR,2pt,Jump Shot,[],1630544,12.040078843626807,68.38235294117648,1610612760,4,8,2022-01-29T01:15:14Z,420000,-92.0,61.0,1,left,MISS T. Mann 11' pullup Shot - blocked,"[1630544, 1627734]",1610612760.0,OKC,pullup,,,Mann,T. Mann,,,,,11.01,Missed,,,,,,,,,,,,Sabonis,1627734.0,,,,,,
43,PT07M31.00S,2022-01-29T01:15:10.2Z,1,REGULAR,block,,[],1627734,,,1610612760,4,8,2022-01-29T01:15:12Z,430000,,,0,,D. Sabonis BLOCK (1 BLK),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M30.00S,2022-01-29T01:15:11.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,4,8,2022-01-29T01:15:14Z,440000,,,0,,D. Sabonis REBOUND (Off:0 Def:4),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,42.0,4.0,4.0,0.0,,,,,,,,,,,,,,
45,PT07M14.00S,2022-01-29T01:15:28.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630537,92.19776609724047,60.29411764705882,1610612754,4,8,2022-01-29T01:23:07Z,450000,51.0,21.0,1,right,MISS C. Duarte driving Layup,[1630537],1610612754.0,IND,driving,,,Duarte,C. Duarte,,,,,5.55,Missed,,,,,,,,,,,,,,,,,,,
46,PT07M11.00S,2022-01-29T01:15:31.2Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,4,8,2022-01-29T01:24:40Z,460000,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT07M07.00S,2022-01-29T01:15:36.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630526,8.623521681997373,43.627450980392155,1610612760,6,8,2022-01-29T01:25:40Z,470000,32.0,29.0,1,left,J. Robinson-Earl cutting finger roll Layup (2 PTS) (J. Giddey 1 AST),"[1630526, 1630581]",1610612760.0,OKC,cutting finger roll,,,Robinson-Earl,J. Robinson-Earl,,,,,4.28,Made,2.0,,,,,J. Giddey,1630581.0,1.0,,,,,,,,,,,
49,PT07M07.00S,2022-01-29T01:15:39.8Z,1,REGULAR,foul,personal,['1freethrow'],203200,,,1610612760,6,8,2022-01-29T01:15:52Z,490000,,,0,,J. Holiday shooting personal FOUL (1 PF) (Robinson-Earl 1 FT),"[203200, 1630526]",1610612754.0,IND,shooting,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,202037.0,1.0,0.0,Robinson-Earl,1630526.0,
51,PT07M07.00S,2022-01-29T01:16:03.8Z,1,REGULAR,freethrow,1 of 1,[],1630526,,,1610612760,7,8,2022-01-29T01:16:03Z,510000,,,0,,J. Robinson-Earl Free Throw 1 of 1 (3 PTS),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
52,PT06M57.00S,2022-01-29T01:16:20.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203200,79.97700394218134,58.82352941176471,1610612754,7,10,2022-01-29T01:16:23Z,520000,44.0,136.0,1,right,J. Holiday 14' pullup Jump Shot (4 PTS) (D. Sabonis 2 AST),"[203200, 1627734]",1610612754.0,IND,pullup,,,Holiday,J. Holiday,,,,,14.27,Made,4.0,,,,,D. Sabonis,1627734.0,2.0,,,,,,,,,,,
54,PT06M41.00S,2022-01-29T01:16:35.8Z,1,REGULAR,2pt,Jump Shot,[],1630526,22.026938239159,55.88235294117647,1610612760,7,10,2022-01-29T01:16:39Z,540000,-29.0,155.0,1,left,MISS J. Robinson-Earl 15' Jump Shot,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,15.74,Missed,,,,,,,,,,,,,,,,,,,
55,PT06M39.00S,2022-01-29T01:16:37.8Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,7,10,2022-01-29T01:16:39Z,550000,,,0,,D. Sabonis REBOUND (Off:0 Def:5),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,54.0,5.0,5.0,0.0,,,,,,,,,,,,,,
56,PT06M30.00S,2022-01-29T01:16:46.3Z,1,REGULAR,3pt,Jump Shot,[],1628470,92.32917214191852,4.901960784313726,1610612754,7,13,2022-01-29T01:16:50Z,560000,-225.0,20.0,1,right,T. Craig 3PT  (3 PTS) (J. Holiday 1 AST),"[1628470, 203200]",1610612754.0,IND,,,,Craig,T. Craig,,,,,22.64,Made,3.0,,,,,J. Holiday,203200.0,1.0,,,,,,,,,,,
58,PT06M28.00S,2022-01-29T01:16:53.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,7,13,2022-01-29T01:16:53Z,580000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M07.00S,2022-01-29T01:20:15.2Z,1,REGULAR,3pt,Jump Shot,[],1630544,29.77989487516426,75.24509803921569,1610612760,10,13,2022-01-29T01:20:19Z,590000,-126.0,227.0,1,left,T. Mann 26' 3PT step back (3 PTS),[1630544],1610612760.0,OKC,step back,,,Mann,T. Mann,,,,,26.01,Made,3.0,,,,,,,,,,,,,,,,,,
62,PT05M56.00S,2022-01-29T01:20:26.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,92.46057818659659,55.392156862745104,1610612754,10,15,2022-01-29T01:28:14Z,600000,27.0,18.0,1,right,C. LeVert driving Layup (2 PTS),[1627747],1610612754.0,IND,driving,,,LeVert,C. LeVert,,,,,3.27,Made,2.0,,,,,,,,,,,,,,,,,,
64,PT05M40.00S,2022-01-29T01:20:49.2Z,1,REGULAR,foul,personal,[],203200,,,1610612760,10,15,2022-01-29T01:20:58Z,620000,,,0,,J. Holiday personal FOUL (2 PF),"[203200, 1628983]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,202037.0,2.0,0.0,Gilgeous-Alexander,1628983.0,
66,PT05M40.00S,2022-01-29T01:20:58.6Z,1,REGULAR,substitution,out,[],203200,,,1610612760,10,15,2022-01-29T01:21:06Z,640000,,,0,,SUB out: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M40.00S,2022-01-29T01:20:58.6Z,1,REGULAR,substitution,out,[],1627734,,,1610612760,10,15,2022-01-29T01:21:06Z,650000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M40.00S,2022-01-29T01:20:58.6Z,1,REGULAR,substitution,in,[],1630613,,,1610612760,10,15,2022-01-29T01:21:06Z,660000,,,0,,SUB in: D. Washington Jr.,[1630613],1610612754.0,IND,,,,Washington Jr.,D. Washington Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M40.00S,2022-01-29T01:20:58.6Z,1,REGULAR,substitution,in,[],1629048,,,1610612760,10,15,2022-01-29T01:21:06Z,670000,,,0,,SUB in: G. Bitadze,[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M37.00S,2022-01-29T01:21:18.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630526,7.30946123521682,58.57843137254902,1610612760,10,15,2022-01-29T01:21:23Z,680000,-43.0,16.0,1,left,MISS J. Robinson-Earl Layup - blocked,"[1630526, 1629048]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,4.59,Missed,,,,,,,,,,,,Bitadze,1629048.0,,,,,,
71,PT05M37.00S,2022-01-29T01:21:18.2Z,1,REGULAR,block,,[],1629048,,,1610612760,10,15,2022-01-29T01:21:21Z,690000,,,0,,G. Bitadze BLOCK (1 BLK),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M32.00S,2022-01-29T01:21:23.2Z,1,REGULAR,rebound,offensive,[],1630526,,,1610612760,10,15,2022-01-29T01:21:23Z,700000,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:2),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,70.0,3.0,2.0,1.0,,,,,,,,,,,,,,
73,PT05M32.00S,2022-01-29T01:21:23.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630526,7.966491458607096,55.14705882352941,1610612760,10,15,2022-01-29T01:21:27Z,710000,-26.0,22.0,1,left,MISS J. Robinson-Earl putback Layup,[1630526],1610612760.0,OKC,putback,,,Robinson-Earl,J. Robinson-Earl,,,,,3.41,Missed,,,,,,,,,,,,,,,,,,,
74,PT05M29.00S,2022-01-29T01:21:25.3Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612754,10,15,2022-01-29T01:21:25Z,720000,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,,,,,,,
75,PT05M22.00S,2022-01-29T01:21:32.5Z,1,REGULAR,3pt,Jump Shot,[],1628470,90.09526938239159,2.696078431372549,1610612754,10,15,2022-01-29T01:21:36Z,730000,-237.0,41.0,1,right,MISS T. Craig 24' 3PT,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,24.0,Missed,,,,,,,,,,,,,,,,,,,
76,PT05M21.00S,2022-01-29T01:21:33.5Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,10,15,2022-01-29T01:21:36Z,740000,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:3),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,75.0,4.0,3.0,1.0,,,,,,,,,,,,,,
77,PT05M13.00S,2022-01-29T01:21:42.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630581,7.046649145860711,55.63725490196079,1610612760,12,15,2022-01-29T01:29:32Z,750000,-28.0,14.0,1,left,J. Giddey driving Layup (2 PTS),[1630581],1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,3.14,Made,2.0,,,,,,,,,,,,,,,,,,
78,PT05M04.00S,2022-01-29T01:21:50.7Z,1,REGULAR,turnover,bad pass,[],1629048,,,1610612754,12,15,2022-01-29T01:21:54Z,760000,,,0,,G. Bitadze bad pass TURNOVER (1 TO),"[1629048, 1630544]",1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,,,,,,,,,,1.0,Mann,1630544.0,,,,,,,,
79,PT05M04.00S,2022-01-29T01:21:50.7Z,1,REGULAR,steal,,[],1630544,,,1610612760,12,15,2022-01-29T01:21:52Z,770000,,,0,,T. Mann STEAL (1 STL),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M59.00S,2022-01-29T01:21:55.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630581,4.28712220762155,96.07843137254902,1610612760,12,15,2022-01-29T01:30:25Z,780000,-230.0,-12.0,1,left,MISS J. Giddey running 3PT,[1630581],1610612760.0,OKC,running,,,Giddey,J. Giddey,,,,,23.07,Missed,,,,,,,,,,,,,,,,,,,
81,PT04M56.00S,2022-01-29T01:21:58.6Z,1,REGULAR,rebound,offensive,[],1630526,,,1610612760,12,15,2022-01-29T01:21:58Z,790000,,,0,,J. Robinson-Earl REBOUND (Off:2 Def:3),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,80.0,5.0,3.0,2.0,,,,,,,,,,,,,,
82,PT04M55.00S,2022-01-29T01:21:59.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630526,8.229303547963205,44.85294117647059,1610612760,14,15,2022-01-29T01:22:06Z,800000,26.0,25.0,1,left,J. Robinson-Earl putback Layup (5 PTS),[1630526],1610612760.0,OKC,putback,,,Robinson-Earl,J. Robinson-Earl,,,,,3.58,Made,5.0,,,,,,,,,,,,,,,,,,
83,PT04M38.00S,2022-01-29T01:22:17.5Z,1,REGULAR,turnover,bad pass,[],1627747,,,1610612754,14,15,2022-01-29T01:22:20Z,810000,,,0,,C. LeVert bad pass TURNOVER (1 TO),"[1627747, 1630544]",1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,1.0,Mann,1630544.0,,,,,,,,
84,PT04M38.00S,2022-01-29T01:22:17.5Z,1,REGULAR,steal,,[],1630544,,,1610612760,14,15,2022-01-29T01:32:57Z,820000,,,0,,T. Mann STEAL (2 STL),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
