actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
18,PT11M02.00S,2022-01-16T01:12:48.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202324,7.440867279894875,48.03921568627451,1610612760,3,0,2022-01-16T01:12:57Z,130000,10.0,17.0,1,left,D. Favors putback Layup (2 PTS),[202324],1610612760.0,OKC,putback,,,Favors,D. Favors,,,,,,,,,,Made,,2.0,2.0,,,,,,,,,,,
19,PT10M46.00S,2022-01-16T01:13:03.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630205,79.97700394218134,37.745098039215684,1610612739,3,0,2022-01-16T01:13:09Z,140000,-61.0,136.0,1,right,MISS L. Stevens 14' pullup Shot,[1630205],1610612739.0,CLE,pullup,,,Stevens,L. Stevens,,,,,,,,,,Missed,,,14.89,,,,,,,,,,,
20,PT10M43.00S,2022-01-16T01:13:06.5Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,3,0,2022-01-16T01:13:30Z,150000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,19.0,,,1.0,1.0,0.0,,,,,,,,
21,PT10M33.00S,2022-01-16T01:13:18.2Z,1,REGULAR,turnover,out-of-bounds,[],1630581,,,1610612760,3,0,2022-01-16T01:13:27Z,160000,,,0,,J. Giddey bad pass out-of-bounds TURNOVER (1 TO),[1630581],1610612760.0,OKC,bad pass,,,Giddey,J. Giddey,,,,,2005.0,,,,,,,,,,,,1.0,,,,,,,
22,PT10M24.00S,2022-01-16T01:13:33.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629636,78.13731931668858,32.59803921568628,1610612739,3,0,2022-01-16T01:13:37Z,170000,-87.0,153.0,1,right,MISS D. Garland 17' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,,,,,,Missed,,,17.6,,,,,,,,,,,
23,PT10M21.00S,2022-01-16T01:13:36.9Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,3,0,2022-01-16T01:13:37Z,180000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,22.0,,,1.0,1.0,0.0,,,,,,,,
24,PT10M13.00S,2022-01-16T01:13:44.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,4.681340341655716,38.23529411764706,1610612760,3,0,2022-01-16T01:13:51Z,190000,59.0,-8.0,1,left,MISS L. Dort reverse Layup,[1629652],1610612760.0,OKC,reverse,,,Dort,L. Dort,,,,,,,,,,Missed,,,5.94,,,,,,,,,,,
25,PT10M08.00S,2022-01-16T01:13:49.7Z,1,REGULAR,rebound,offensive,[],202324,,,1610612760,3,0,2022-01-16T01:13:51Z,200000,,,0,,D. Favors REBOUND (Off:3 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,24.0,,,4.0,1.0,3.0,,,,,,,,
26,PT10M08.00S,2022-01-16T01:13:49.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202324,5.590000152587891,50.0,1610612760,5,0,2022-01-16T01:13:49Z,210000,0.0,0.0,1,left,D. Favors putback Layup (4 PTS),[202324],1610612760.0,OKC,putback,,,Favors,D. Favors,,,,,,,,,,Made,,4.0,0.0,,,,,,,,,,,
27,PT09M53.00S,2022-01-16T01:14:04.3Z,1,REGULAR,3pt,Jump Shot,[],1628374,74.58935611038108,85.5392156862745,1610612739,5,0,2022-01-16T01:14:08Z,220000,178.0,186.0,1,right,MISS L. Markkanen 25' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,Missed,,,25.75,,,,,,,,,,,
28,PT09M50.00S,2022-01-16T01:14:07.3Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,5,0,2022-01-16T01:14:08Z,230000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:2),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,27.0,,,2.0,2.0,0.0,,,,,,,,
29,PT09M37.00S,2022-01-16T01:14:20.5Z,1,REGULAR,3pt,Jump Shot,[],1629652,28.86005256241787,17.15686274509804,1610612760,5,0,2022-01-16T01:14:26Z,240000,164.0,219.0,1,left,MISS L. Dort 27' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,Missed,,,27.36,,,,,,,,,,,
30,PT09M33.00S,2022-01-16T01:14:24.5Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,5,0,2022-01-16T01:14:26Z,250000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,29.0,,,1.0,1.0,0.0,,,,,,,,
31,PT09M21.00S,2022-01-16T01:14:35.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,89.30683311432325,34.80392156862745,1610612739,5,2,2022-01-16T01:14:42Z,260000,-76.0,48.0,1,right,E. Mobley 8' turnaround Hook (2 PTS) (D. Garland 1 AST),"[1630596, 1629636]",1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,,,,,,Made,,2.0,8.99,,,,,D. Garland,1629636.0,1.0,,,,
33,PT09M15.00S,2022-01-16T01:14:44.1Z,1,REGULAR,2pt,Layup,[],1629652,4.681340341655716,32.59803921568628,1610612760,7,2,2022-01-16T01:14:49Z,280000,87.0,-8.0,1,left,L. Dort 8' running Layup (2 PTS) (S. Gilgeous-Alexander 1 AST),"[1629652, 1628983]",1610612760.0,OKC,running,,,Dort,L. Dort,,,,,,,,,,Made,,2.0,8.74,,,,,S. Gilgeous-Alexander,1628983.0,1.0,,,,
35,PT09M15.00S,2022-01-16T01:14:47.2Z,1,REGULAR,foul,personal,['1freethrow'],1628374,,,1610612760,7,2,2022-01-16T01:15:03Z,300000,,,0,,L. Markkanen shooting personal FOUL (1 PF) (Dort 1 FT),"[1628374, 1629652]",1610612739.0,CLE,shooting,,,Markkanen,L. Markkanen,,,,,1627526.0,1.0,0.0,Dort,1629652.0,,,,,,,,,,,,,,,
37,PT09M15.00S,2022-01-16T01:15:12.0Z,1,REGULAR,freethrow,1 of 1,[],1629652,,,1610612760,8,2,2022-01-16T01:15:12Z,320000,,,0,,L. Dort Free Throw 1 of 1 (3 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,Made,,3.0,,,,,,,,,,,,
38,PT09M06.00S,2022-01-16T01:15:24.8Z,1,REGULAR,foul,personal,[],1630581,,,1610612739,8,2,2022-01-16T01:15:32Z,330000,,,0,,J. Giddey personal FOUL (1 PF),"[1630581, 1628374]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,2005.0,1.0,0.0,Markkanen,1628374.0,,,,,,,,,,,,,,,
40,PT09M02.00S,2022-01-16T01:15:46.5Z,1,REGULAR,3pt,Jump Shot,[],1629636,72.22404730617609,76.47058823529412,1610612739,8,2,2022-01-16T01:15:50Z,350000,132.0,209.0,1,right,MISS D. Garland 24' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,Missed,,,24.71,,,,,,,,,,,
41,PT08M58.00S,2022-01-16T01:15:50.5Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,8,2,2022-01-16T01:15:50Z,360000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:3),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,40.0,,,3.0,3.0,0.0,,,,,,,,
42,PT08M47.00S,2022-01-16T01:16:06.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,8,2,2022-01-16T01:16:06Z,370000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M44.00S,2022-01-16T01:16:13.6Z,1,REGULAR,2pt,Jump Shot,[],1630526,4.812746386333772,87.74509803921569,1610612760,8,2,2022-01-16T01:16:18Z,380000,-189.0,-7.0,1,left,MISS J. Robinson-Earl 18' Jump Shot,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,Missed,,,18.88,,,,,,,,,,,
44,PT08M42.00S,2022-01-16T01:16:15.6Z,1,REGULAR,rebound,defensive,[],1629636,,,1610612739,8,2,2022-01-16T01:16:18Z,390000,,,0,,D. Garland REBOUND (Off:0 Def:1),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,43.0,,,1.0,1.0,0.0,,,,,,,,
45,PT08M39.00S,2022-01-16T01:16:18.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630596,93.64323258869908,51.470588235294116,1610612739,8,4,2022-01-16T01:16:24Z,400000,7.0,7.0,1,right,E. Mobley running Layup (4 PTS) (D. Garland 2 AST),"[1630596, 1629636]",1610612739.0,CLE,running,,,Mobley,E. Mobley,,,,,,,,,,Made,,4.0,1.04,,,,,D. Garland,1629636.0,2.0,,,,
47,PT08M21.00S,2022-01-16T01:16:38.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,6.521024967148489,41.66666666666667,1610612760,8,4,2022-01-16T01:18:18Z,420000,42.0,9.0,1,left,MISS S. Gilgeous-Alexander driving finger roll Layup,[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,Missed,,,4.26,,,,,,,,,,,
48,PT08M21.00S,2022-01-16T01:16:38.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,8,4,2022-01-16T01:18:18Z,430000,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,
49,PT08M00.00S,2022-01-16T01:17:10.0Z,1,REGULAR,3pt,Jump Shot,[],1628374,68.01905387647832,69.6078431372549,1610612739,8,7,2022-01-16T01:17:14Z,440000,98.0,248.0,1,right,L. Markkanen 26' 3PT  (3 PTS) (E. Mobley 1 AST),"[1628374, 1630596]",1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,Made,,3.0,26.68,,,,,E. Mobley,1630596.0,1.0,,,,
51,PT07M47.00S,2022-01-16T01:17:35.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,8,7,2022-01-16T01:17:35Z,460000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M34.00S,2022-01-16T01:20:33.2Z,1,REGULAR,3pt,Jump Shot,[],1630526,7.703679369250986,94.85294117647058,1610612760,8,7,2022-01-16T01:20:38Z,470000,-224.0,20.0,1,left,MISS J. Robinson-Earl 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,Missed,,,22.52,,,,,,,,,,,
53,PT07M31.00S,2022-01-16T01:20:36.2Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,8,7,2022-01-16T01:20:38Z,480000,,,0,,J. Giddey REBOUND (Off:1 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,52.0,,,2.0,1.0,1.0,,,,,,,,
54,PT07M30.00S,2022-01-16T01:20:36.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630581,7.178055190538765,50.98039215686274,1610612760,10,7,2022-01-16T01:20:42Z,490000,-5.0,15.0,1,left,J. Giddey putback Layup (2 PTS),[1630581],1610612760.0,OKC,putback,,,Giddey,J. Giddey,,,,,,,,,,Made,,2.0,1.58,,,,,,,,,,,
55,PT07M14.00S,2022-01-16T01:20:52.7Z,1,REGULAR,3pt,Jump Shot,[],1628374,66.44218134034165,49.26470588235294,1610612739,10,7,2022-01-16T01:20:57Z,500000,-4.0,263.0,1,right,MISS L. Markkanen 26' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,Missed,,,26.29,,,,,,,,,,,
56,PT07M12.00S,2022-01-16T01:20:54.7Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,10,7,2022-01-16T01:20:57Z,510000,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,55.0,,,1.0,0.0,1.0,,,,,,,,
57,PT07M03.00S,2022-01-16T01:21:05.8Z,1,REGULAR,turnover,out-of-bounds,[],1630596,,,1610612739,10,7,2022-01-16T01:21:12Z,520000,,,0,,E. Mobley step out-of-bounds TURNOVER (1 TO),[1630596],1610612739.0,CLE,step,,,Mobley,E. Mobley,,,,,1627526.0,,,,,,,,,,,,1.0,,,,,,,
58,PT06M51.00S,2022-01-16T01:21:31.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629652,32.14520367936925,65.68627450980392,1610612760,10,7,2022-01-16T01:21:36Z,530000,-78.0,250.0,1,left,MISS L. Dort 26' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,Missed,,,26.17,,,,,,,,,,,
59,PT06M46.00S,2022-01-16T01:21:36.5Z,1,REGULAR,rebound,offensive,[],1630526,,,1610612760,10,7,2022-01-16T01:21:36Z,540000,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:3),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,58.0,,,4.0,3.0,1.0,,,,,,,,
60,PT06M39.00S,2022-01-16T01:21:43.1Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612760,10,7,2022-01-16T01:21:46Z,550000,,,0,,J. Giddey bad pass TURNOVER (2 TO),"[1630581, 1628374]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,2.0,,,,Markkanen,1628374.0,,
61,PT06M39.00S,2022-01-16T01:21:43.1Z,1,REGULAR,steal,,[],1628374,,,1610612739,10,7,2022-01-16T01:21:45Z,560000,,,0,,L. Markkanen STEAL (1 STL),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M34.00S,2022-01-16T01:21:48.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630596,92.9862023653088,52.20588235294118,1610612739,10,7,2022-01-16T01:21:54Z,570000,11.0,13.0,1,right,MISS E. Mobley running Layup,[1630596],1610612739.0,CLE,running,,,Mobley,E. Mobley,,,,,,,,,,Missed,,,1.73,,,,,,,,,,,
63,PT06M30.00S,2022-01-16T01:21:52.2Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,10,7,2022-01-16T01:21:52Z,580000,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:4),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,62.0,,,5.0,4.0,1.0,,,,,,,,
64,PT06M24.00S,2022-01-16T01:21:58.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,6.652431011826544,54.41176470588235,1610612760,10,7,2022-01-16T01:22:02Z,590000,-22.0,10.0,1,left,MISS S. Gilgeous-Alexander driving Layup,[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,Missed,,,2.43,,,,,,,,,,,
66,PT06M21.00S,2022-01-16T01:22:01.3Z,1,REGULAR,rebound,offensive,[],202324,,,1610612760,10,7,2022-01-16T01:22:02Z,610000,,,0,,D. Favors REBOUND (Off:4 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,64.0,,,5.0,1.0,4.0,,,,,,,,
67,PT06M18.00S,2022-01-16T01:22:03.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630581,23.078186596583443,10.784313725490197,1610612760,10,7,2022-01-16T01:22:07Z,620000,196.0,164.0,1,left,MISS J. Giddey 25' 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,Missed,,,25.59,,,,,,,,,,,
68,PT06M15.00S,2022-01-16T01:22:06.5Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,10,7,2022-01-16T01:22:07Z,630000,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,67.0,,,2.0,1.0,1.0,,,,,,,,
69,PT06M09.00S,2022-01-16T01:22:14.7Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612739,10,7,2022-01-16T01:22:25Z,640000,,,0,,L. Dort shooting personal FOUL (1 PF) (Allen 2 FT),"[1629652, 1628386]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,2005.0,1.0,0.0,Allen,1628386.0,,,,,,,,,,,,,,,
71,PT06M09.00S,2022-01-16T01:22:37.7Z,1,REGULAR,freethrow,1 of 2,[],1628386,,,1610612739,10,7,2022-01-16T01:22:37Z,660000,,,0,,MISS J. Allen Free Throw 1 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,Missed,,,,,,,,,,,,,,
72,PT06M09.00S,2022-01-16T01:22:37.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,10,7,2022-01-16T01:22:37Z,670000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,
73,PT06M09.00S,2022-01-16T01:22:40.0Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,10,7,2022-01-16T01:22:46Z,680000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M09.00S,2022-01-16T01:22:40.0Z,1,REGULAR,substitution,out,[],1630205,,,1610612739,10,7,2022-01-16T01:22:46Z,690000,,,0,,SUB out: L. Stevens,[1630205],1610612739.0,CLE,,,,Stevens,L. Stevens,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M09.00S,2022-01-16T01:22:40.0Z,1,REGULAR,substitution,in,[],201567,,,1610612739,10,7,2022-01-16T01:22:46Z,700000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M09.00S,2022-01-16T01:22:40.0Z,1,REGULAR,substitution,in,[],1630171,,,1610612739,10,7,2022-01-16T01:22:46Z,710000,,,0,,SUB in: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M09.00S,2022-01-16T01:23:03.6Z,1,REGULAR,freethrow,2 of 2,[],1628386,,,1610612739,10,8,2022-01-16T01:23:03Z,720000,,,0,,J. Allen Free Throw 2 of 2 (1 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
78,PT05M51.00S,2022-01-16T01:23:22.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202324,7.5722733245729295,53.18627450980392,1610612760,12,8,2022-01-16T01:23:26Z,730000,-16.0,19.0,1,left,D. Favors cutting DUNK (6 PTS) (S. Gilgeous-Alexander 2 AST),"[202324, 1628983]",1610612760.0,OKC,cutting,,,Favors,D. Favors,,,,,,,,,,Made,,6.0,2.45,,,,,S. Gilgeous-Alexander,1628983.0,2.0,,,,
80,PT05M39.00S,2022-01-16T01:23:33.2Z,1,REGULAR,2pt,Jump Shot,[],1629636,82.07950065703022,22.54901960784314,1610612739,12,10,2022-01-16T01:23:37Z,750000,-137.0,116.0,1,right,D. Garland 17' pullup Jump Shot (2 PTS),[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,,,,,,Made,,2.0,17.97,,,,,,,,,,,
81,PT05M30.00S,2022-01-16T01:23:42.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,5.601182654402102,52.20588235294118,1610612760,12,10,2022-01-16T01:23:45Z,760000,-11.0,0.0,1,left,MISS J. Giddey driving Layup,[1630581],1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,,,,,,Missed,,,1.1,,,,,,,,,,,
82,PT05M28.00S,2022-01-16T01:23:44.5Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612739,12,10,2022-01-16T01:23:45Z,770000,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,,,,,,,81.0,,,1.0,1.0,0.0,,,,,,,,
83,PT05M22.00S,2022-01-16T01:23:50.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,92.19776609724047,50.73529411764706,1610612739,12,12,2022-01-16T01:23:54Z,780000,4.0,21.0,1,right,J. Allen cutting DUNK (3 PTS) (D. Garland 3 AST),"[1628386, 1629636]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,,,,,,Made,,3.0,2.11,,,,,D. Garland,1629636.0,3.0,,,,
85,PT05M06.00S,2022-01-16T01:24:06.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,8.360709592641262,43.627450980392155,1610612760,14,12,2022-01-16T01:24:11Z,800000,32.0,26.0,1,left,S. Gilgeous-Alexander driving Layup (3 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,Made,,3.0,4.12,,,,,,,,,,,
86,PT04M53.00S,2022-01-16T01:24:19.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,87.99277266754271,43.627450980392155,1610612739,14,14,2022-01-16T01:26:15Z,810000,-32.0,60.0,1,right,D. Garland 6' driving floating Jump Shot (4 PTS),[1629636],1610612739.0,CLE,driving floating,,,Garland,D. Garland,,,,,,,,,,Made,,4.0,6.83,,,,,,,,,,,
