actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
15,PT10M55.00S,2021-10-28T00:11:37.6Z,1,REGULAR,block,,[],201599,,,1610612760,0,0,2021-10-28T00:31:49Z,150000,,,0,,D. Jordan BLOCK (1 BLK),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M55.00S,2021-10-28T00:11:37.6Z,1,REGULAR,rebound,defensive,[],1628370,,,1610612747,0,0,2021-10-28T00:31:49Z,160000,,,0,,M. Monk REBOUND (Off:0 Def:1),[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M43.00S,2021-10-28T00:11:48.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,79.71419185282524,37.5,1610612747,0,2,2021-10-28T00:11:53Z,170000,-62.0,138.0,1,right,A. Davis 15' Jump Shot (2 PTS) (K. Bazemore 1 AST),"[203076, 203145]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,15.17,Made,,,,,,,2.0,K. Bazemore,203145.0,1.0,,,,,,,
19,PT10M27.00S,2021-10-28T00:12:04.8Z,1,REGULAR,3pt,Jump Shot,[],1629647,32.53942181340342,50.245098039215684,1610612760,0,2,2021-10-28T00:12:11Z,190000,-1.0,253.0,1,left,MISS D. Bazley 25' pullup 3PT,[1629647],1610612760.0,OKC,pullup,,,Bazley,D. Bazley,,,,,,,25.34,Missed,,,,,,,,,,,,,,,,,
20,PT10M24.00S,2021-10-28T00:12:07.8Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,0,2,2021-10-28T00:12:11Z,200000,,,0,,R. Westbrook REBOUND (Off:0 Def:2),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,
21,PT10M23.00S,2021-10-28T00:12:14.9Z,1,REGULAR,foul,personal,[],202324,,,1610612747,0,2,2021-10-28T00:12:20Z,210000,,,0,,D. Favors personal FOUL (1 PF),"[202324, 203076]",1610612760.0,OKC,,,,Favors,D. Favors,,,,,204058.0,,,,,,,,,,,,,,1.0,0.0,Davis,203076.0,,,
23,PT10M18.00S,2021-10-28T00:12:38.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203076,93.24901445466492,49.26470588235294,1610612747,0,4,2021-10-28T00:12:44Z,230000,-4.0,11.0,1,right,A. Davis alley-oop DUNK (4 PTS) (R. Westbrook 1 AST),"[203076, 201566]",1610612747.0,LAL,alley-oop,,,Davis,A. Davis,,,,,,,1.16,Made,,,,,,,4.0,R. Westbrook,201566.0,1.0,,,,,,,
25,PT10M00.00S,2021-10-28T00:12:55.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,6.258212877792378,48.77450980392157,1610612760,0,4,2021-10-28T00:13:03Z,250000,6.0,6.0,1,left,MISS S. Gilgeous-Alexander driving Layup,[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,0.88,Missed,,,,,,,,,,,,,,,,,
26,PT09M56.00S,2021-10-28T00:12:59.5Z,1,REGULAR,rebound,offensive,[],202324,,,1610612760,0,4,2021-10-28T00:13:03Z,260000,,,0,,D. Favors REBOUND (Off:1 Def:0),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,,,,,,
27,PT09M56.00S,2021-10-28T00:12:59.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202324,5.590000152587891,50.0,1610612760,0,4,2021-10-28T00:12:59Z,270000,0.0,0.0,1,left,MISS D. Favors tip Layup,[202324],1610612760.0,OKC,tip,,,Favors,D. Favors,,,,,,,0.0,Missed,,,,,,,,,,,,,,,,,
28,PT09M56.00S,2021-10-28T00:13:00.1Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,0,4,2021-10-28T00:13:00Z,280000,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,
29,PT09M50.00S,2021-10-28T00:13:05.7Z,1,REGULAR,turnover,bad pass,[],203145,,,1610612747,0,4,2021-10-28T00:13:10Z,290000,,,0,,K. Bazemore bad pass TURNOVER (1 TO),"[203145, 1630581]",1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,1.0,,,,,,,,,,,,,,,,,Giddey,1630581.0,
30,PT09M50.00S,2021-10-28T00:13:05.7Z,1,REGULAR,steal,,[],1630581,,,1610612760,0,4,2021-10-28T00:13:07Z,300000,,,0,,J. Giddey STEAL (1 STL),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M39.00S,2021-10-28T00:13:16.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629647,31.750985545335087,31.127450980392158,1610612760,3,4,2021-10-28T00:13:22Z,310000,94.0,246.0,1,left,D. Bazley 26' 3PT  (3 PTS) (J. Giddey 1 AST),"[1629647, 1630581]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,26.35,Made,,,,,,,3.0,J. Giddey,1630581.0,1.0,,,,,,,
33,PT09M27.00S,2021-10-28T00:13:28.8Z,1,REGULAR,3pt,Jump Shot,[],1628370,65.78515111695138,54.166666666666664,1610612747,3,7,2021-10-28T00:17:09Z,330000,21.0,269.0,1,right,M. Monk 26' 3PT  (3 PTS) (R. Westbrook 2 AST),"[1628370, 201566]",1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,26.99,Made,,,,,,,3.0,R. Westbrook,201566.0,2.0,,,,,,,
35,PT09M08.00S,2021-10-28T00:13:47.7Z,1,REGULAR,3pt,Jump Shot,[],1629647,24.52365308804205,10.53921568627451,1610612760,3,7,2021-10-28T00:13:53Z,350000,197.0,178.0,1,left,MISS D. Bazley 26' 3PT,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,26.57,Missed,,,,,,,,,,,,,,,,,
36,PT09M04.00S,2021-10-28T00:13:51.7Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,3,7,2021-10-28T00:13:53Z,360000,,,0,,D. Jordan REBOUND (Off:0 Def:2),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,,,,,,
37,PT08M57.00S,2021-10-28T00:13:59.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203076,84.44480946123521,51.225490196078425,1610612747,3,9,2021-10-28T00:14:04Z,370000,6.0,94.0,1,right,A. Davis 9' Hook (6 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,9.39,Made,,,,,,,6.0,,,,,,,,,,
38,PT08M37.00S,2021-10-28T00:14:18.1Z,1,REGULAR,3pt,Jump Shot,[],1629652,26.757555847568987,78.43137254901961,1610612760,3,9,2021-10-28T00:14:23Z,380000,-142.0,199.0,1,left,MISS L. Dort 24' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,24.46,Missed,,,,,,,,,,,,,,,,,
39,PT08M34.00S,2021-10-28T00:14:21.1Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,3,9,2021-10-28T00:14:23Z,390000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,
40,PT08M28.00S,2021-10-28T00:14:28.0Z,1,REGULAR,3pt,Jump Shot,[],203145,95.0886990801577,3.431372549019608,1610612747,3,12,2021-10-28T00:14:32Z,400000,-233.0,-6.0,1,right,K. Bazemore 3PT  (3 PTS) (R. Westbrook 3 AST),"[203145, 201566]",1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,,23.29,Made,,,,,,,3.0,R. Westbrook,201566.0,3.0,,,,,,,
42,PT08M12.00S,2021-10-28T00:14:43.4Z,1,REGULAR,3pt,Jump Shot,[],1628983,32.53942181340342,29.65686274509804,1610612760,3,12,2021-10-28T00:15:03Z,420000,102.0,253.0,1,left,MISS S. Gilgeous-Alexander 27' 3PT,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,27.3,Missed,,,,,,,,,,,,,,,,,
43,PT08M09.00S,2021-10-28T00:14:46.6Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,3,12,2021-10-28T00:14:46Z,430000,,,0,,R. Westbrook REBOUND (Off:0 Def:3),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,42.0,3.0,3.0,0.0,,,,,,,,,,,,,
44,PT08M08.00S,2021-10-28T00:14:50.0Z,1,REGULAR,foul,personal,['2freethrow'],1628983,,,1610612747,3,12,2021-10-28T00:15:05Z,440000,,,0,,S. Gilgeous-Alexander shooting personal FOUL (1 PF) (Davis 2 FT),"[1628983, 203076]",1610612760.0,OKC,shooting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,1162.0,,,,,,,,,,,,,,1.0,0.0,Davis,203076.0,,,
46,PT08M08.00S,2021-10-28T00:15:21.2Z,1,REGULAR,freethrow,1 of 2,[],203076,,,1610612747,3,13,2021-10-28T00:15:21Z,460000,,,0,,A. Davis Free Throw 1 of 2 (7 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,
47,PT08M08.00S,2021-10-28T00:15:27.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,3,13,2021-10-28T00:15:27Z,470000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M08.00S,2021-10-28T00:18:18.9Z,1,REGULAR,freethrow,2 of 2,[],203076,,,1610612747,3,14,2021-10-28T00:18:18Z,480000,,,0,,A. Davis Free Throw 2 of 2 (8 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,,,,,,,8.0,,,,,,,,,,
49,PT07M58.00S,2021-10-28T00:18:30.6Z,1,REGULAR,3pt,Jump Shot,[],1629647,12.171484888304862,2.941176470588235,1610612760,6,14,2021-10-28T00:18:36Z,490000,235.0,62.0,1,left,D. Bazley 24' 3PT  (6 PTS) (J. Giddey 2 AST),"[1629647, 1630581]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,24.33,Made,,,,,,,6.0,J. Giddey,1630581.0,2.0,,,,,,,
51,PT07M40.00S,2021-10-28T00:18:47.1Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612747,6,14,2021-10-28T00:18:50Z,510000,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 1629647]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,1.0,,,,,,,,,,,,,,,,,Bazley,1629647.0,
52,PT07M40.00S,2021-10-28T00:18:47.1Z,1,REGULAR,steal,,[],1629647,,,1610612760,6,14,2021-10-28T00:19:59Z,520000,,,0,,D. Bazley STEAL (1 STL),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M35.00S,2021-10-28T00:18:52.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629647,4.812746386333772,50.0,1610612760,8,14,2021-10-28T00:19:01Z,530000,0.0,-7.0,1,left,D. Bazley running DUNK (8 PTS) (S. Gilgeous-Alexander 1 AST),"[1629647, 1628983]",1610612760.0,OKC,running,,,Bazley,D. Bazley,,,,,,,0.73,Made,,,,,,,8.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,
55,PT07M26.00S,2021-10-28T00:19:01.8Z,1,REGULAR,3pt,Jump Shot,[],201566,75.50919842312747,85.29411764705883,1610612747,8,17,2021-10-28T00:19:08Z,550000,176.0,178.0,1,right,R. Westbrook 25' 3PT running pullup (3 PTS),[201566],1610612747.0,LAL,running pullup,,,Westbrook,R. Westbrook,,,,,,,25.05,Made,,,,,,,3.0,,,,,,,,,,
56,PT07M06.00S,2021-10-28T00:19:21.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202324,7.046649145860711,46.32352941176471,1610612760,10,17,2021-10-28T00:21:17Z,560000,18.0,14.0,1,left,D. Favors alley-oop Layup (2 PTS) (J. Giddey 3 AST),"[202324, 1630581]",1610612760.0,OKC,alley-oop,,,Favors,D. Favors,,,,,,,2.29,Made,,,,,,,2.0,J. Giddey,1630581.0,3.0,,,,,,,
58,PT06M53.00S,2021-10-28T00:19:34.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203076,79.71419185282524,41.66666666666667,1610612747,10,17,2021-10-28T00:19:39Z,580000,-42.0,138.0,1,right,MISS A. Davis 14' Hook,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,14.44,Missed,,,,,,,,,,,,,,,,,
59,PT06M50.00S,2021-10-28T00:19:37.7Z,1,REGULAR,rebound,defensive,[],202324,,,1610612760,10,17,2021-10-28T00:19:39Z,590000,,,0,,D. Favors REBOUND (Off:1 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,58.0,2.0,1.0,1.0,,,,,,,,,,,,,
60,PT06M48.00S,2021-10-28T00:19:41.7Z,1,REGULAR,foul,personal,['2freethrow'],1628370,,,1610612760,10,17,2021-10-28T00:19:52Z,600000,,,0,,M. Monk shooting personal FOUL (1 PF) (Giddey 2 FT),"[1628370, 1630581]",1610612747.0,LAL,shooting,,,Monk,M. Monk,,,,,204058.0,,,,,,,,,,,,,,1.0,0.0,Giddey,1630581.0,,,
62,PT06M48.00S,2021-10-28T00:20:08.2Z,1,REGULAR,freethrow,1 of 2,[],1630581,,,1610612760,10,17,2021-10-28T00:20:08Z,620000,,,0,,MISS J. Giddey Free Throw 1 of 2,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,Missed,,,,,,,,,,,,,,,,,
63,PT06M48.00S,2021-10-28T00:20:08.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,10,17,2021-10-28T00:20:08Z,630000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,
64,PT06M48.00S,2021-10-28T00:20:24.8Z,1,REGULAR,freethrow,2 of 2,[],1630581,,,1610612760,11,17,2021-10-28T00:20:24Z,640000,,,0,,J. Giddey Free Throw 2 of 2 (1 PTS),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,
65,PT06M30.00S,2021-10-28T00:20:41.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201599,94.1688567674113,52.69607843137255,1610612747,11,19,2021-10-28T00:20:46Z,650000,13.0,2.0,1,right,D. Jordan alley-oop DUNK (2 PTS) (R. Westbrook 4 AST),"[201599, 201566]",1610612747.0,LAL,alley-oop,,,Jordan,D. Jordan,,,,,,,1.37,Made,,,,,,,2.0,R. Westbrook,201566.0,4.0,,,,,,,
67,PT06M12.00S,2021-10-28T00:20:59.4Z,1,REGULAR,2pt,Jump Shot,[],1630581,29.77989487516426,47.549019607843135,1610612760,13,19,2021-10-28T00:21:06Z,670000,12.0,227.0,1,left,J. Giddey 22' pullup Jump Shot (3 PTS),[1630581],1610612760.0,OKC,pullup,,,Giddey,J. Giddey,,,,,,,22.77,Made,,,,,,,3.0,,,,,,,,,,
68,PT05M59.00S,2021-10-28T00:21:12.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201599,93.11760840998686,50.49019607843137,1610612747,13,21,2021-10-28T00:21:17Z,680000,2.0,12.0,1,right,D. Jordan reverse DUNK (4 PTS) (M. Monk 1 AST),"[201599, 1628370]",1610612747.0,LAL,reverse,,,Jordan,D. Jordan,,,,,,,1.25,Made,,,,,,,4.0,M. Monk,1628370.0,1.0,,,,,,,
70,PT05M44.00S,2021-10-28T00:21:27.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,15.588042049934298,50.0,1610612760,13,21,2021-10-28T00:24:41Z,700000,0.0,94.0,1,left,MISS S. Gilgeous-Alexander 9' turnaround Shot,[1628983],1610612760.0,OKC,turnaround,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,9.4,Missed,,,,,,,,,,,,,,,,,
71,PT05M41.00S,2021-10-28T00:21:30.1Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,13,21,2021-10-28T00:21:30Z,710000,,,0,,D. Jordan REBOUND (Off:0 Def:3),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,70.0,3.0,3.0,0.0,,,,,,,,,,,,,
72,PT05M39.00S,2021-10-28T00:21:31.9Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612747,13,21,2021-10-28T00:21:35Z,720000,,,0,,R. Westbrook bad pass TURNOVER (2 TO),"[201566, 1629647]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,2.0,,,,,,,,,,,,,,,,,Bazley,1629647.0,
73,PT05M39.00S,2021-10-28T00:21:31.9Z,1,REGULAR,steal,,[],1629647,,,1610612760,13,21,2021-10-28T00:21:33Z,730000,,,0,,D. Bazley STEAL (2 STL),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M39.00S,2021-10-28T00:21:36.3Z,1,REGULAR,foul,personal,[],201566,,,1610612760,13,21,2021-10-28T00:22:05Z,740000,,,0,,R. Westbrook take personal FOUL (1 PF),"[201566, 1629647]",1610612747.0,LAL,take,,,Westbrook,R. Westbrook,,,,,1162.0,,,,,,,,,,,,,,1.0,0.0,Bazley,1629647.0,,,
76,PT05M39.00S,2021-10-28T00:21:41.9Z,1,REGULAR,substitution,out,[],202324,,,1610612760,13,21,2021-10-28T00:21:56Z,760000,,,0,,SUB out: D. Favors,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M39.00S,2021-10-28T00:21:41.9Z,1,REGULAR,substitution,out,[],201599,,,1610612760,13,21,2021-10-28T00:21:56Z,770000,,,0,,SUB out: D. Jordan,[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M39.00S,2021-10-28T00:21:41.9Z,1,REGULAR,substitution,out,[],201566,,,1610612760,13,21,2021-10-28T00:21:56Z,780000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M39.00S,2021-10-28T00:21:41.9Z,1,REGULAR,substitution,in,[],1630526,,,1610612760,13,21,2021-10-28T00:21:56Z,790000,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M39.00S,2021-10-28T00:21:41.9Z,1,REGULAR,substitution,in,[],200765,,,1610612760,13,21,2021-10-28T00:21:56Z,800000,,,0,,SUB in: R. Rondo,[200765],1610612747.0,LAL,,,,Rondo,R. Rondo,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M39.00S,2021-10-28T00:21:41.9Z,1,REGULAR,substitution,in,[],2546,,,1610612760,13,21,2021-10-28T00:21:56Z,810000,,,0,,SUB in: C. Anthony,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M24.00S,2021-10-28T00:22:18.1Z,1,REGULAR,turnover,out-of-bounds,[],1628983,,,1610612760,13,21,2021-10-28T00:22:26Z,820000,,,0,,S. Gilgeous-Alexander bad pass out-of-bounds TURNOVER (1 TO),[1628983],1610612760.0,OKC,bad pass,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,1162.0,1.0,,,,,,,,,,,,,,,,,,,
83,PT05M13.00S,2021-10-28T00:22:35.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203145,95.48291721419186,94.85294117647058,1610612747,13,24,2021-10-28T00:22:43Z,830000,224.0,-10.0,1,right,K. Bazemore 3PT  (6 PTS) (C. Anthony 1 AST),"[203145, 2546]",1610612747.0,LAL,,,,Bazemore,K. Bazemore,,,,,,,22.45,Made,,,,,,,6.0,C. Anthony,2546.0,1.0,,,,,,,
85,PT05M00.00S,2021-10-28T00:22:48.7Z,1,REGULAR,3pt,Jump Shot,[],1630581,29.77989487516426,73.52941176470588,1610612760,13,24,2021-10-28T00:22:53Z,850000,-118.0,227.0,1,left,MISS J. Giddey 25' 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,25.6,Missed,,,,,,,,,,,,,,,,,
86,PT04M56.00S,2021-10-28T00:22:52.1Z,1,REGULAR,rebound,offensive,[],1628983,,,1610612760,13,24,2021-10-28T00:22:52Z,860000,,,0,,S. Gilgeous-Alexander REBOUND (Off:1 Def:0),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,85.0,1.0,0.0,1.0,,,,,,,,,,,,,
87,PT04M49.00S,2021-10-28T00:22:59.3Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612760,13,24,2021-10-28T00:23:03Z,870000,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 2546]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,1.0,,,,,,,,,,,,,,,,,Anthony,2546.0,
88,PT04M49.00S,2021-10-28T00:22:59.3Z,1,REGULAR,steal,,[],2546,,,1610612747,13,24,2021-10-28T00:23:01Z,880000,,,0,,C. Anthony STEAL (1 STL),[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M39.00S,2021-10-28T00:23:26.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,13,24,2021-10-28T00:23:26Z,890000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M32.00S,2021-10-28T00:23:27.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628370,75.77201051248358,14.705882352941178,1610612747,13,24,2021-10-28T00:23:31Z,900000,-176.0,175.0,1,right,MISS M. Monk 24' 3PT,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,24.87,Missed,,,,,,,,,,,,,,,,,
