actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
18,PT10M39.00S,2022-01-03T00:12:29.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630581,9.937582128777924,70.83333333333334,1610612760,2,2,2022-01-03T00:12:34Z,180000,-104.0,41.0,1,left,J. Giddey 11' step back Jump Shot (2 PTS),[1630581],1610612760.0,OKC,step back,,,Giddey,J. Giddey,,,,,,,,,,11.19,Made,2.0,,,,,,,,,,,,,
19,PT10M17.00S,2022-01-03T00:12:51.4Z,1,REGULAR,2pt,Jump Shot,[],1628973,94.69448094612353,72.54901960784314,1610612742,2,2,2022-01-03T00:12:55Z,190000,113.0,-3.0,1,right,MISS J. Brunson 11' pullup Shot,[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,,,,,,11.27,Missed,,,,,,,,,,,,,,
20,PT10M14.00S,2022-01-03T00:12:54.4Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,2,2,2022-01-03T00:12:55Z,200000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,
21,PT10M07.00S,2022-01-03T00:13:01.0Z,1,REGULAR,3pt,Jump Shot,[],1630598,10.200394218134035,3.9215686274509802,1610612760,5,2,2022-01-03T00:13:05Z,210000,230.0,43.0,1,left,A. Wiggins 3PT  (3 PTS) (J. Giddey 1 AST),"[1630598, 1630581]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,23.45,Made,3.0,,,,,,,,J. Giddey,1630581.0,1.0,,,
23,PT09M54.00S,2022-01-03T00:13:14.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,93.24901445466492,51.225490196078425,1610612742,5,4,2022-01-03T00:13:20Z,230000,6.0,11.0,1,right,D. Powell alley-oop DUNK (2 PTS) (L. Doncic 1 AST),"[203939, 1629029]",1610612742.0,DAL,alley-oop,,,Powell,D. Powell,,,,,,,,,,1.26,Made,2.0,,,,,,,,L. Doncic,1629029.0,1.0,,,
25,PT09M34.00S,2022-01-03T00:13:33.6Z,1,REGULAR,3pt,Jump Shot,[],1630197,2.8416557161629434,96.07843137254902,1610612760,5,4,2022-01-03T00:13:37Z,250000,-230.0,-26.0,1,left,MISS A. Pokusevski 3PT,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,23.18,Missed,,,,,,,,,,,,,,
26,PT09M32.00S,2022-01-03T00:13:35.6Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,5,4,2022-01-03T00:13:37Z,260000,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,
27,PT09M27.00S,2022-01-03T00:13:41.6Z,1,REGULAR,3pt,Jump Shot,[],1627827,69.85873850197109,73.0392156862745,1610612742,5,4,2022-01-03T00:13:58Z,270000,115.0,231.0,1,right,MISS D. Finney-Smith 25' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,25.8,Missed,,,,,,,,,,,,,,
28,PT09M26.00S,2022-01-03T00:13:45.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,5,4,2022-01-03T00:13:45Z,280000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,
29,PT09M26.00S,2022-01-03T00:13:46.6Z,1,REGULAR,foul,personal,[],1629676,,,1610612742,5,4,2022-01-03T00:13:52Z,290000,,,0,,I. Roby loose ball personal FOUL (1 PF),"[1629676, 203939]",1610612760.0,OKC,loose ball,,,Roby,I. Roby,,,,,1201.0,1.0,0.0,Powell,203939.0,,,,,,,,,,,,,,,,
31,PT09M13.00S,2022-01-03T00:14:16.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629029,67.88764783180025,17.647058823529413,1610612742,5,7,2022-01-03T00:14:22Z,310000,-162.0,249.0,1,right,L. Doncic 29' 3PT pullup (3 PTS) (D. Powell 1 AST),"[1629029, 203939]",1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,,,,,,29.73,Made,3.0,,,,,,,,D. Powell,203939.0,1.0,,,
33,PT08M57.00S,2022-01-03T00:14:31.1Z,1,REGULAR,3pt,Jump Shot,[],1630598,8.492115637319317,3.431372549019608,1610612760,5,7,2022-01-03T00:14:38Z,330000,233.0,27.0,1,left,MISS A. Wiggins 3PT,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,23.44,Missed,,,,,,,,,,,,,,
34,PT08M54.00S,2022-01-03T00:14:34.1Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,5,7,2022-01-03T00:14:38Z,340000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,
35,PT08M40.00S,2022-01-03T00:14:48.4Z,1,REGULAR,3pt,Jump Shot,[],1627827,73.66951379763469,12.745098039215685,1610612742,5,7,2022-01-03T00:14:56Z,350000,-186.0,195.0,1,right,MISS D. Finney-Smith 26' 3PT - blocked,"[1627827, 1630197]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,26.97,Missed,,,,,,,,,,,,Pokusevski,1630197.0,
36,PT08M40.00S,2022-01-03T00:14:48.4Z,1,REGULAR,block,,[],1630197,,,1610612742,5,7,2022-01-03T00:14:50Z,360000,,,0,,A. Pokusevski BLOCK (1 BLK),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M36.00S,2022-01-03T00:14:52.4Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,5,7,2022-01-03T00:14:56Z,370000,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,,
38,PT08M35.00S,2022-01-03T00:14:53.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630197,6.1268068331143235,49.50980392156863,1610612760,5,7,2022-01-03T00:15:05Z,380000,2.0,5.0,1,left,MISS A. Pokusevski running DUNK,[1630197],1610612760.0,OKC,running,,,Pokusevski,A. Pokusevski,,,,,,,,,,0.57,Missed,,,,,,,,,,,,,,
39,PT08M35.00S,2022-01-03T00:14:53.6Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,5,7,2022-01-03T00:15:05Z,390000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:2),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,38.0,2.0,2.0,0.0,,,,,,,,,
40,PT08M29.00S,2022-01-03T00:14:59.7Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612742,5,7,2022-01-03T00:15:08Z,400000,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 1630197]",1610612742.0,DAL,,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,1.0,Pokusevski,1630197.0,,,,,,
41,PT08M29.00S,2022-01-03T00:14:59.7Z,1,REGULAR,steal,,[],1630197,,,1610612760,5,7,2022-01-03T00:15:01Z,410000,,,0,,A. Pokusevski STEAL (1 STL),[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M26.00S,2022-01-03T00:15:02.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630197,5.469776609724048,49.754901960784316,1610612760,7,7,2022-01-03T00:15:19Z,420000,1.0,-1.0,1,left,A. Pokusevski running DUNK (2 PTS),[1630197],1610612760.0,OKC,running,,,Pokusevski,A. Pokusevski,,,,,,,,,,0.16,Made,2.0,,,,,,,,,,,,,
43,PT08M07.00S,2022-01-03T00:15:20.7Z,1,REGULAR,3pt,Jump Shot,[],1628467,66.5735873850197,21.07843137254902,1610612742,7,10,2022-01-03T00:15:27Z,430000,-145.0,262.0,1,right,M. Kleber 29' 3PT  (3 PTS) (J. Brunson 1 AST),"[1628467, 1628973]",1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,29.9,Made,3.0,,,,,,,,J. Brunson,1628973.0,1.0,,,
45,PT07M53.00S,2022-01-03T00:15:35.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,5.206964520367937,42.64705882352941,1610612760,9,10,2022-01-03T00:15:40Z,450000,37.0,-4.0,1,left,A. Wiggins driving Layup (5 PTS) (J. Giddey 2 AST),"[1630598, 1630581]",1610612760.0,OKC,driving,,,Wiggins,A. Wiggins,,,,,,,,,,3.7,Made,5.0,,,,,,,,J. Giddey,1630581.0,2.0,,,
47,PT07M29.00S,2022-01-03T00:15:58.9Z,1,REGULAR,3pt,Jump Shot,[],1628467,95.87713534822602,94.6078431372549,1610612742,9,10,2022-01-03T00:16:03Z,470000,223.0,-14.0,1,right,MISS M. Kleber 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,22.34,Missed,,,,,,,,,,,,,,
48,PT07M27.00S,2022-01-03T00:16:00.9Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,9,10,2022-01-03T00:16:03Z,480000,,,0,,J. Giddey REBOUND (Off:0 Def:3),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,47.0,3.0,3.0,0.0,,,,,,,,,
51,PT07M23.00S,2022-01-03T00:16:05.8Z,1,REGULAR,turnover,bad pass,[],1630598,,,1610612760,9,10,2022-01-03T00:16:17Z,510000,,,0,,A. Wiggins bad pass TURNOVER (1 TO),"[1630598, 1627827]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,1.0,Finney-Smith,1627827.0,,,,,,
52,PT07M23.00S,2022-01-03T00:16:05.8Z,1,REGULAR,steal,,[],1627827,,,1610612742,9,10,2022-01-03T00:16:14Z,520000,,,0,,D. Finney-Smith STEAL (1 STL),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M03.00S,2022-01-03T00:16:25.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627827,81.02825229960578,4.411764705882353,1610612742,9,10,2022-01-03T00:16:32Z,530000,-228.0,126.0,1,right,MISS D. Finney-Smith 26' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,26.03,Missed,,,,,,,,,,,,,,
54,PT07M01.00S,2022-01-03T00:16:27.5Z,1,REGULAR,rebound,offensive,[],203939,,,1610612742,9,10,2022-01-03T00:16:32Z,540000,,,0,,D. Powell REBOUND (Off:1 Def:0),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,53.0,1.0,0.0,1.0,,,,,,,,,
55,PT07M00.00S,2022-01-03T00:16:29.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203939,92.46057818659659,49.754901960784316,1610612742,9,10,2022-01-03T00:16:37Z,550000,-1.0,18.0,1,right,MISS D. Powell putback Layup,[203939],1610612742.0,DAL,putback,,,Powell,D. Powell,,,,,,,,,,1.84,Missed,,,,,,,,,,,,,,
56,PT07M00.00S,2022-01-03T00:16:29.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,9,10,2022-01-03T00:16:37Z,560000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,
57,PT06M59.00S,2022-01-03T00:16:38.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612742,9,10,2022-01-03T00:16:38Z,570000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M59.00S,2022-01-03T00:16:41.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,9,10,2022-01-03T00:16:41Z,580000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M54.00S,2022-01-03T00:19:29.5Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1628973,75.50919842312747,70.34313725490196,1610612742,9,10,2022-01-03T00:20:08Z,590000,102.0,178.0,1,right,MISS J. Brunson 20' pullup Shot,[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,,,,,,20.47,Missed,,,,,,,,,,,,,,
60,PT06M48.00S,2022-01-03T00:19:35.5Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,9,10,2022-01-03T00:19:36Z,600000,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,59.0,1.0,1.0,0.0,,,,,,,,,
61,PT06M44.00S,2022-01-03T00:19:41.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,9,10,2022-01-03T00:19:41Z,610000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M44.00S,2022-01-03T00:19:50.9Z,1,REGULAR,substitution,out,[],1629029,,,1610612760,9,10,2022-01-03T00:20:01Z,620000,,,0,,SUB out: L. Doncic,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M44.00S,2022-01-03T00:19:50.9Z,1,REGULAR,substitution,out,[],1628467,,,1610612760,9,10,2022-01-03T00:20:01Z,630000,,,0,,SUB out: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M44.00S,2022-01-03T00:19:50.9Z,1,REGULAR,substitution,out,[],203939,,,1610612760,9,10,2022-01-03T00:20:01Z,640000,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M44.00S,2022-01-03T00:19:50.9Z,1,REGULAR,substitution,in,[],1629650,,,1610612760,9,10,2022-01-03T00:20:01Z,650000,,,0,,SUB in: M. Brown,[1629650],1610612742.0,DAL,,,,Brown,M. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M44.00S,2022-01-03T00:19:50.9Z,1,REGULAR,substitution,in,[],203493,,,1610612760,9,10,2022-01-03T00:20:01Z,660000,,,0,,SUB in: R. Bullock,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M44.00S,2022-01-03T00:19:50.9Z,1,REGULAR,substitution,in,[],203501,,,1610612760,9,10,2022-01-03T00:20:01Z,670000,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M41.00S,2022-01-03T00:20:13.9Z,1,REGULAR,3pt,Jump Shot,[],1629676,30.962549277266753,66.17647058823529,1610612760,12,10,2022-01-03T00:20:18Z,680000,-81.0,239.0,1,left,I. Roby 25' 3PT  (3 PTS) (T. Jerome 1 AST),"[1629676, 1629660]",1610612760.0,OKC,,,,Roby,I. Roby,,,,,,,,,,25.18,Made,3.0,,,,,,,,T. Jerome,1629660.0,1.0,,,
70,PT06M13.00S,2022-01-03T00:20:42.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629650,92.19776609724047,49.01960784313725,1610612742,12,10,2022-01-03T00:20:49Z,700000,-5.0,21.0,1,right,MISS M. Brown reverse DUNK,[1629650],1610612742.0,DAL,reverse,,,Brown,M. Brown,,,,,,,,,,2.14,Missed,,,,,,,,,,,,,,
71,PT06M10.00S,2022-01-03T00:20:44.3Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,12,10,2022-01-03T00:20:44Z,710000,,,0,,A. Wiggins REBOUND (Off:0 Def:2),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,70.0,2.0,2.0,0.0,,,,,,,,,
72,PT06M06.00S,2022-01-03T00:20:48.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629660,10.068988173455978,3.431372549019608,1610612760,15,10,2022-01-03T00:20:54Z,720000,233.0,42.0,1,left,T. Jerome 3PT  (3 PTS) (J. Giddey 3 AST),"[1629660, 1630581]",1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,,,,23.66,Made,3.0,,,,,,,,J. Giddey,1630581.0,3.0,,,
74,PT05M46.00S,2022-01-03T00:21:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,93.11760840998686,47.549019607843135,1610612742,15,12,2022-01-03T00:21:12Z,740000,-12.0,12.0,1,right,J. Brunson driving Layup (4 PTS),[1628973],1610612742.0,DAL,driving,,,Brunson,J. Brunson,,,,,,,,,,1.73,Made,4.0,,,,,,,,,,,,,
75,PT05M37.00S,2022-01-03T00:21:16.4Z,1,REGULAR,3pt,Jump Shot,[],1630598,2.447437582128778,94.85294117647058,1610612760,18,12,2022-01-03T00:21:20Z,750000,-224.0,-29.0,1,left,A. Wiggins 3PT  (8 PTS) (J. Giddey 4 AST),"[1630598, 1630581]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,22.62,Made,8.0,,,,,,,,J. Giddey,1630581.0,4.0,,,
77,PT05M14.00S,2022-01-03T00:21:39.9Z,1,REGULAR,2pt,Jump Shot,[],1627827,91.50788436268068,8.333333333333343,1610612742,18,12,2022-01-03T00:24:16Z,770000,-208.0,27.0,1,right,MISS D. Finney-Smith 21' Jump Shot,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,21.01,Missed,,,,,,,,,,,,,,
78,PT05M12.00S,2022-01-03T00:21:41.9Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,18,12,2022-01-03T00:21:44Z,780000,,,0,,A. Wiggins REBOUND (Off:0 Def:3),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,77.0,3.0,3.0,0.0,,,,,,,,,
79,PT05M05.00S,2022-01-03T00:21:50.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630197,12.828515111695138,60.78431372549019,1610612760,18,12,2022-01-03T00:25:01Z,790000,-54.0,68.0,1,left,MISS A. Pokusevski 8' driving floating Shot,[1630197],1610612760.0,OKC,driving floating,,,Pokusevski,A. Pokusevski,,,,,,,,,,8.68,Missed,,,,,,,,,,,,,,
80,PT04M59.00S,2022-01-03T00:21:56.0Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612742,18,12,2022-01-03T00:21:57Z,800000,,,0,,M. Brown REBOUND (Off:0 Def:1),[1629650],1610612742.0,DAL,,,,Brown,M. Brown,,,,,,,,,,,,,79.0,1.0,1.0,0.0,,,,,,,,,
81,PT04M55.00S,2022-01-03T00:22:00.2Z,1,REGULAR,3pt,Jump Shot,[],203501,69.99014454664915,15.196078431372548,1610612742,18,12,2022-01-03T00:22:08Z,810000,-174.0,230.0,1,right,MISS T. Hardaway Jr. 28' 3PT,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,28.81,Missed,,,,,,,,,,,,,,
82,PT04M50.00S,2022-01-03T00:22:05.2Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,18,12,2022-01-03T00:22:08Z,820000,,,0,,A. Wiggins REBOUND (Off:0 Def:4),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,81.0,4.0,4.0,0.0,,,,,,,,,
83,PT04M43.00S,2022-01-03T00:22:13.2Z,1,REGULAR,foul,offensive,[],1630598,,,1610612760,18,12,2022-01-03T00:22:28Z,830000,,,0,,A. Wiggins charge offensive FOUL (1 PF),"[1630598, 1628973]",1610612760.0,OKC,charge,,,Wiggins,A. Wiggins,,,,,1201.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,,,,
85,PT04M43.00S,2022-01-03T00:22:13.2Z,1,REGULAR,turnover,offensive foul,[],1630598,,,1610612760,18,12,2022-01-03T00:22:13Z,850000,,,0,,A. Wiggins offensive foul TURNOVER (2 TO),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,1201.0,,,,,,,,,,,,2.0,,,,,,,,
86,PT04M43.00S,2022-01-03T00:22:22.5Z,1,REGULAR,substitution,out,[],1630581,,,1610612742,18,12,2022-01-03T00:22:34Z,860000,,,0,,SUB out: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M43.00S,2022-01-03T00:22:22.5Z,1,REGULAR,substitution,out,[],1630197,,,1610612742,18,12,2022-01-03T00:22:34Z,870000,,,0,,SUB out: A. Pokusevski,[1630197],1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M43.00S,2022-01-03T00:22:22.5Z,1,REGULAR,substitution,out,[],1630598,,,1610612742,18,12,2022-01-03T00:22:34Z,880000,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M43.00S,2022-01-03T00:22:22.5Z,1,REGULAR,substitution,in,[],1630177,,,1610612742,18,12,2022-01-03T00:22:34Z,890000,,,0,,SUB in: T. Maledon,[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M43.00S,2022-01-03T00:22:22.5Z,1,REGULAR,substitution,in,[],1630306,,,1610612742,18,12,2022-01-03T00:22:34Z,900000,,,0,,SUB in: R. Edwards,[1630306],1610612760.0,OKC,,,,Edwards,R. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT04M43.00S,2022-01-03T00:22:22.5Z,1,REGULAR,substitution,in,[],1629026,,,1610612742,18,12,2022-01-03T00:22:34Z,910000,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT04M24.00S,2022-01-03T00:22:54.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203493,73.27529566360053,82.84313725490196,1610612742,18,15,2022-01-03T00:22:58Z,920000,164.0,199.0,1,right,R. Bullock 25' 3PT  (3 PTS) (J. Brunson 2 AST),"[203493, 1628973]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,25.78,Made,3.0,,,,,,,,J. Brunson,1628973.0,2.0,,,
