actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
18,PT10M27.00S,2022-02-01T01:12:48.6Z,1,REGULAR,foul,offensive,[],203994,,,1610612757,2,6,2022-02-01T01:13:54Z,180000,,,0,,J. Nurkic offensive FOUL (2 PF),"[203994, 1630581]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,1204.0,2.0,0.0,Giddey,1630581.0,,,,,,,,,,,,,,,,
20,PT10M27.00S,2022-02-01T01:12:48.6Z,1,REGULAR,turnover,offensive foul,[],203994,,,1610612757,2,6,2022-02-01T01:13:54Z,200000,,,0,,J. Nurkic offensive foul TURNOVER (1 TO),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,1204.0,,,,,,,,,,,,,,,1.0,,,,,
21,PT10M16.00S,2022-02-01T01:13:08.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630544,30.305519053876477,20.34313725490196,1610612760,5,6,2022-02-01T01:13:13Z,210000,148.0,232.0,1,left,T. Mann 27' 3PT  (3 PTS) (J. Giddey 1 AST),"[1630544, 1630581]",1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,27.57,Made,3.0,,,,,J. Giddey,1630581.0,1.0,,,,,,
23,PT09M59.00S,2022-02-01T01:13:25.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,90.75229960578186,56.61764705882353,1610612757,5,6,2022-02-01T01:13:32Z,230000,33.0,34.0,1,right,MISS J. Nurkic Layup,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,4.77,Missed,,,,,,,,,,,,,,
24,PT09M55.00S,2022-02-01T01:13:29.6Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,5,6,2022-02-01T01:13:32Z,240000,,,0,,J. Nurkic REBOUND (Off:1 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,23.0,2.0,1.0,1.0,,,,,,,,,
25,PT09M55.00S,2022-02-01T01:13:29.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203994,94.40999984741211,50.0,1610612757,5,8,2022-02-01T01:13:29Z,250000,0.0,0.0,1,right,J. Nurkic tip Layup (2 PTS),[203994],1610612757.0,POR,tip,,,Nurkic,J. Nurkic,,,,,,,,,,0.0,Made,2.0,,,,,,,,,,,,,
26,PT09M39.00S,2022-02-01T01:13:45.2Z,1,REGULAR,3pt,Jump Shot,[],1629652,34.641918528252305,29.411764705882355,1610612760,8,8,2022-02-01T01:13:57Z,260000,103.0,273.0,1,left,L. Dort 29' 3PT  (3 PTS) (T. Mann 1 AST),"[1629652, 1630544]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,29.18,Made,3.0,,,,,T. Mann,1630544.0,1.0,,,,,,
28,PT09M24.00S,2022-02-01T01:14:03.0Z,1,REGULAR,violation,kicked ball,[],1630581,,,1610612757,8,8,2022-02-01T01:14:44Z,280000,,,0,,J. Giddey kicked ball VIOLATION,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,201246.0,,,,,,,,,,,,,,,,,,,,
29,PT09M19.00S,2022-02-01T01:14:19.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626181,90.48948751642575,55.88235294117647,1610612757,8,8,2022-02-01T01:14:22Z,290000,29.0,37.0,1,right,MISS N. Powell DUNK,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,4.72,Missed,,,,,,,,,,,,,,
30,PT09M17.00S,2022-02-01T01:14:21.3Z,1,REGULAR,rebound,defensive,[],1630544,,,1610612760,8,8,2022-02-01T01:14:22Z,300000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,
31,PT09M10.00S,2022-02-01T01:14:28.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,9.149145860709593,40.931372549019606,1610612760,8,8,2022-02-01T01:14:34Z,310000,45.0,34.0,1,left,MISS A. Wiggins driving Layup,[1630598],1610612760.0,OKC,driving,,,Wiggins,A. Wiggins,,,,,,,,,,5.63,Missed,,,,,,,,,,,,,,
32,PT09M08.00S,2022-02-01T01:14:30.1Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,8,8,2022-02-01T01:14:34Z,320000,,,0,,J. Nurkic REBOUND (Off:1 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,31.0,3.0,2.0,1.0,,,,,,,,,
33,PT09M01.00S,2022-02-01T01:14:38.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,8,8,2022-02-01T01:14:38Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M57.00S,2022-02-01T01:15:01.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,8,8,2022-02-01T01:15:01Z,340000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M50.00S,2022-02-01T01:15:26.8Z,1,REGULAR,2pt,Jump Shot,[],203468,78.26872536136662,64.70588235294117,1610612757,8,10,2022-02-01T01:15:30Z,350000,74.0,152.0,1,right,C. McCollum 16' pullup Jump Shot (5 PTS),[203468],1610612757.0,POR,pullup,,,McCollum,C. McCollum,,,,,,,,,,16.87,Made,5.0,,,,,,,,,,,,,
36,PT08M31.00S,2022-02-01T01:15:45.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629652,15.850854139290407,39.46078431372549,1610612760,8,10,2022-02-01T01:15:49Z,360000,53.0,96.0,1,left,MISS L. Dort 11' pullup Shot,[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,,,,,,11.0,Missed,,,,,,,,,,,,,,
37,PT08M28.00S,2022-02-01T01:15:48.8Z,1,REGULAR,rebound,defensive,[],203468,,,1610612757,8,10,2022-02-01T01:15:49Z,370000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,
38,PT08M21.00S,2022-02-01T01:15:55.8Z,1,REGULAR,3pt,Jump Shot,[],203496,71.04139290407359,82.35294117647058,1610612757,8,10,2022-02-01T01:16:00Z,380000,162.0,220.0,1,right,MISS R. Covington 27' 3PT,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,27.29,Missed,,,,,,,,,,,,,,
39,PT08M17.00S,2022-02-01T01:15:59.8Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,8,10,2022-02-01T01:16:00Z,390000,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,
40,PT08M12.00S,2022-02-01T01:16:05.4Z,1,REGULAR,turnover,out-of-bounds,[],1630581,,,1610612760,8,10,2022-02-01T01:16:10Z,400000,,,0,,J. Giddey lost ball out-of-bounds TURNOVER (1 TO),[1630581],1610612760.0,OKC,lost ball,,,Giddey,J. Giddey,,,,,201246.0,,,,,,,,,,,,,,,1.0,,,,,
41,PT07M56.00S,2022-02-01T01:16:29.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203994,87.33574244415243,39.705882352941174,1610612757,8,12,2022-02-01T01:16:33Z,410000,-51.0,67.0,1,right,J. Nurkic 8' Hook (4 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,8.41,Made,4.0,,,,,,,,,,,,,
42,PT07M35.00S,2022-02-01T01:16:50.9Z,1,REGULAR,3pt,Jump Shot,[],1630544,31.09395532194481,79.90196078431373,1610612760,8,12,2022-02-01T01:16:54Z,420000,-150.0,240.0,1,left,MISS T. Mann 28' 3PT,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,28.26,Missed,,,,,,,,,,,,,,
43,PT07M32.00S,2022-02-01T01:16:53.9Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,8,12,2022-02-01T01:16:54Z,430000,,,0,,A. Simons REBOUND (Off:0 Def:1),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,
44,PT07M21.00S,2022-02-01T01:17:04.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,91.01511169513797,59.55882352941176,1610612757,8,14,2022-02-01T01:17:07Z,440000,48.0,32.0,1,right,J. Nurkic Layup (6 PTS) (C. McCollum 1 AST),"[203994, 203468]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,5.75,Made,6.0,,,,,C. McCollum,203468.0,1.0,,,,,,
46,PT07M14.00S,2022-02-01T01:17:14.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,8,14,2022-02-01T01:17:14Z,460000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M04.00S,2022-02-01T01:20:17.9Z,1,REGULAR,3pt,Jump Shot,[],1630581,22.421156373193167,89.2156862745098,1610612760,8,14,2022-02-01T01:20:23Z,470000,-196.0,158.0,1,left,MISS J. Giddey 25' 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,25.2,Missed,,,,,,,,,,,,,,
48,PT07M00.00S,2022-02-01T01:20:21.9Z,1,REGULAR,rebound,defensive,[],1629014,,,1610612757,8,14,2022-02-01T01:20:23Z,480000,,,0,,A. Simons REBOUND (Off:0 Def:2),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,,,,47.0,2.0,2.0,0.0,,,,,,,,,
49,PT06M50.00S,2022-02-01T01:20:32.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,84.83902759526939,40.931372549019606,1610612757,8,16,2022-02-01T01:20:36Z,490000,-45.0,90.0,1,right,J. Nurkic 10' Hook (8 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,10.08,Made,8.0,,,,,,,,,,,,,
50,PT06M31.00S,2022-02-01T01:20:50.4Z,1,REGULAR,2pt,Jump Shot,[],202324,4.02431011826544,85.7843137254902,1610612760,8,16,2022-02-01T01:20:55Z,500000,-179.0,-15.0,1,left,MISS D. Favors 17' Jump Shot,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,17.95,Missed,,,,,,,,,,,,,,
51,PT06M28.00S,2022-02-01T01:20:53.4Z,1,REGULAR,rebound,defensive,[],203496,,,1610612757,8,16,2022-02-01T01:20:55Z,510000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,
52,PT06M28.00S,2022-02-01T01:21:02.2Z,1,REGULAR,foul,personal,[],1630581,,,1610612757,8,16,2022-02-01T01:28:09Z,520000,,,0,,J. Giddey double personal FOUL (1 PF),"[1630581, 1626181]",1610612760.0,OKC,double,,,Giddey,J. Giddey,,,,,1204.0,1.0,0.0,Powell,1626181.0,,,,,,,,,,,,,,,,
84,PT06M28.00S,2022-02-01T01:21:02.2Z,1,REGULAR,foul,personal,[],1626181,,,1610612757,8,16,2022-02-01T01:28:19Z,535000,,,0,,N. Powell double personal FOUL (1 PF),"[1626181, 1630581]",1610612757.0,POR,double,,,Powell,N. Powell,,,,,1204.0,1.0,0.0,Giddey,1630581.0,,,,,,,,,,,,,,,,
57,PT06M13.00S,2022-02-01T01:21:32.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203994,92.06636005256242,38.970588235294116,1610612757,8,16,2022-02-01T01:21:36Z,570000,-55.0,22.0,1,right,MISS J. Nurkic Jump Shot - blocked,"[203994, 202324]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,5.94,Missed,,,,,,,,,,Favors,202324.0,,,
58,PT06M13.00S,2022-02-01T01:21:32.7Z,1,REGULAR,block,,[],202324,,,1610612757,8,16,2022-02-01T01:21:35Z,580000,,,0,,D. Favors BLOCK (1 BLK),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M10.00S,2022-02-01T01:21:35.7Z,1,REGULAR,rebound,defensive,[],202324,,,1610612760,8,16,2022-02-01T01:21:36Z,590000,,,0,,D. Favors REBOUND (Off:0 Def:1),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,57.0,1.0,1.0,0.0,,,,,,,,,
60,PT06M07.00S,2022-02-01T01:21:37.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630598,10.85742444152431,44.36274509803921,1610612760,10,16,2022-02-01T01:21:43Z,600000,28.0,50.0,1,left,A. Wiggins running Layup (2 PTS),[1630598],1610612760.0,OKC,running,,,Wiggins,A. Wiggins,,,,,,,,,,5.71,Made,2.0,,,,,,,,,,,,,
61,PT05M56.00S,2022-02-01T01:21:49.0Z,1,REGULAR,3pt,Jump Shot,[],1629014,66.04796320630749,67.8921568627451,1610612757,10,16,2022-02-01T01:21:52Z,610000,89.0,267.0,1,right,MISS A. Simons 28' 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,28.12,Missed,,,,,,,,,,,,,,
62,PT05M54.00S,2022-02-01T01:21:51.1Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,10,16,2022-02-01T01:21:51Z,620000,,,0,,J. Nurkic REBOUND (Off:2 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,61.0,4.0,2.0,2.0,,,,,,,,,
63,PT05M50.00S,2022-02-01T01:21:55.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629014,71.96123521681997,14.460784313725492,1610612757,10,19,2022-02-01T01:22:00Z,630000,-178.0,211.0,1,right,A. Simons 27' 3PT  (3 PTS) (R. Covington 2 AST),"[1629014, 203496]",1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,27.59,Made,3.0,,,,,R. Covington,203496.0,2.0,,,,,,
65,PT05M30.00S,2022-02-01T01:22:15.5Z,1,REGULAR,turnover,lost ball,[],1630581,,,1610612760,10,19,2022-02-01T01:22:20Z,650000,,,0,,J. Giddey lost ball TURNOVER (2 TO),"[1630581, 203496]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,2.0,,,Covington,203496.0,
66,PT05M30.00S,2022-02-01T01:22:15.5Z,1,REGULAR,steal,,[],203496,,,1610612757,10,19,2022-02-01T01:22:17Z,660000,,,0,,R. Covington STEAL (1 STL),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M14.00S,2022-02-01T01:22:31.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626181,88.91261498028909,96.07843137254902,1610612757,10,19,2022-02-01T01:22:35Z,670000,230.0,52.0,1,right,MISS N. Powell 3PT,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,,,,,,23.61,Missed,,,,,,,,,,,,,,
68,PT05M10.00S,2022-02-01T01:22:35.3Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,10,19,2022-02-01T01:22:35Z,680000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,67.0,1.0,1.0,0.0,,,,,,,,,
69,PT05M01.00S,2022-02-01T01:22:44.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,8.623521681997373,55.392156862745104,1610612760,12,19,2022-02-01T01:22:47Z,690000,-27.0,29.0,1,left,L. Dort Layup (5 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,3.93,Made,5.0,,,,,,,,,,,,,
70,PT04M47.00S,2022-02-01T01:22:58.1Z,1,REGULAR,3pt,Jump Shot,[],1629014,92.72339027595268,3.6764705882352944,1610612757,12,19,2022-02-01T01:23:01Z,700000,-232.0,16.0,1,right,MISS A. Simons 3PT,[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,,,,,,23.21,Missed,,,,,,,,,,,,,,
71,PT04M45.00S,2022-02-01T01:23:00.1Z,1,REGULAR,rebound,defensive,[],202324,,,1610612760,12,19,2022-02-01T01:23:01Z,710000,,,0,,D. Favors REBOUND (Off:0 Def:2),[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,70.0,2.0,2.0,0.0,,,,,,,,,
72,PT04M42.00S,2022-02-01T01:23:08.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,9.806176084099869,40.44117647058824,1610612760,12,19,2022-02-01T01:23:14Z,720000,48.0,40.0,1,left,MISS J. Giddey 6' driving Layup - blocked,"[1630581, 203496]",1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,,,,,,6.21,Missed,,,,,,,,,,Covington,203496.0,,,
73,PT04M42.00S,2022-02-01T01:23:08.6Z,1,REGULAR,block,,[],203496,,,1610612760,12,19,2022-02-01T01:23:11Z,730000,,,0,,R. Covington BLOCK (1 BLK),[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M42.00S,2022-02-01T01:23:08.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,12,19,2022-02-01T01:23:14Z,740000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,
75,PT04M42.00S,2022-02-01T01:23:14.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,12,19,2022-02-01T01:23:14Z,750000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M42.00S,2022-02-01T01:23:14.9Z,1,REGULAR,substitution,out,[],202324,,,1610612760,12,19,2022-02-01T01:23:28Z,760000,,,0,,SUB out: D. Favors,[202324],1610612760.0,OKC,,,,Favors,D. Favors,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M42.00S,2022-02-01T01:23:14.9Z,1,REGULAR,substitution,out,[],1630544,,,1610612760,12,19,2022-02-01T01:23:28Z,770000,,,0,,SUB out: T. Mann,[1630544],1610612760.0,OKC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M42.00S,2022-02-01T01:23:14.9Z,1,REGULAR,substitution,out,[],203468,,,1610612760,12,19,2022-02-01T01:23:28Z,780000,,,0,,SUB out: C. McCollum,[203468],1610612757.0,POR,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M42.00S,2022-02-01T01:23:14.9Z,1,REGULAR,substitution,out,[],203994,,,1610612760,12,19,2022-02-01T01:23:28Z,790000,,,0,,SUB out: J. Nurkic,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M42.00S,2022-02-01T01:23:14.9Z,1,REGULAR,substitution,in,[],1629026,,,1610612760,12,19,2022-02-01T01:23:28Z,800000,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M42.00S,2022-02-01T01:23:14.9Z,1,REGULAR,substitution,in,[],1629603,,,1610612760,12,19,2022-02-01T01:23:28Z,810000,,,0,,SUB in: M. Diakite,[1629603],1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M42.00S,2022-02-01T01:23:14.9Z,1,REGULAR,substitution,in,[],1630570,,,1610612760,12,19,2022-02-01T01:23:28Z,820000,,,0,,SUB in: T. Watford,[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M42.00S,2022-02-01T01:23:14.9Z,1,REGULAR,substitution,in,[],203463,,,1610612760,12,19,2022-02-01T01:23:28Z,830000,,,0,,SUB in: B. McLemore,[203463],1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M26.00S,2022-02-01T01:23:53.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629603,7.5722733245729295,41.911764705882355,1610612760,14,19,2022-02-01T01:23:56Z,840000,40.0,19.0,1,left,M. Diakite Layup (2 PTS) (L. Dort 1 AST),"[1629603, 1629652]",1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,,,,4.45,Made,2.0,,,,,L. Dort,1629652.0,1.0,,,,,,
88,PT04M00.00S,2022-02-01T01:24:19.9Z,1,REGULAR,3pt,Jump Shot,[],203463,74.58935611038108,87.5,1610612757,14,22,2022-02-01T01:24:24Z,860000,188.0,186.0,1,right,B. McLemore 26' 3PT  (3 PTS) (A. Simons 1 AST),"[203463, 1629014]",1610612757.0,POR,,,,McLemore,B. McLemore,,,,,,,,,,26.44,Made,3.0,,,,,A. Simons,1629014.0,1.0,,,,,,
90,PT03M49.00S,2022-02-01T01:24:33.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,14,22,2022-02-01T01:24:33Z,880000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT03M49.00S,2022-02-01T01:24:34.4Z,1,REGULAR,substitution,out,[],1630598,,,1610612760,14,22,2022-02-01T01:24:40Z,890000,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT03M49.00S,2022-02-01T01:24:34.4Z,1,REGULAR,substitution,in,[],1629647,,,1610612760,14,22,2022-02-01T01:24:40Z,900000,,,0,,SUB in: D. Bazley,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT03M38.00S,2022-02-01T01:25:03.2Z,1,REGULAR,foul,personal,['2freethrow'],203496,,,1610612760,14,22,2022-02-01T01:25:10Z,910000,,,0,,R. Covington shooting personal FOUL (1 PF) (Diakite 2 FT),"[203496, 1629603]",1610612757.0,POR,shooting,,,Covington,R. Covington,,,,,201246.0,1.0,0.0,Diakite,1629603.0,,,,,,,,,,,,,,,,
95,PT03M38.00S,2022-02-01T01:25:31.1Z,1,REGULAR,freethrow,1 of 2,[],1629603,,,1610612760,15,22,2022-02-01T01:25:53Z,930000,,,0,,M. Diakite Free Throw 1 of 2 (3 PTS),[1629603],1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
